wake up in the sky (with gucci mane & kodak black),"Fly, fly, fly. It's Gucci (it's Gucci). Huh? Fly (woo). I drink 'til I'm drunk (yeah) , smoke til I'm high (yeah). Castle on the hill (well damn) , wake up in the sky. You can't tell me I ain't fly. (you can't tell me I ain't fly). I know I'm super fly (I know) , I know I'm super fly. The ladies love the luxury (yeah). That's why they all fuck with me (woo). Out here with the moves (yeesh) like I invented smooth. You can't tell me I ain't fly. (you can't tell me I ain't fly). I know I'm super fly (I know) , I know I'm super fly. Huh, huh, huh. I stay fresh as hell, take a pic, I might as well, hell. Drop the top and take a selfie, my car drives itself. I got white girls blushin', homie. college girls rushin' on me (woo). All my diamonds custom so they clutchin'. and they touchin' on me. Ooh, pick his vegetables. Ooh, that kid's edible. Ooh, it's incredible. Ooh, ooh, ooh. I smell like Bond Number 9, nine. Section full of foreign dimes. Bitch is starin' at me sayin', ""Wow"". Unforgettable like Nat King Cole. Gucci berry wine, don't sneak and tell your ho (well damn). Her one night show, a human bank roll (whoa). She lost in the sauce 'cause Gucci got the glow (huh). I drink 'til I'm drunk (brra) , smoke 'til I'm high (it's Guc'). Castle on the hill (heh) , wake up in the sky (you won't). You can't tell me I ain't fly. (you can't tell me I ain't fly). I know I'm super fly (I know) , I know I'm super fly. The ladies love the luxury. that's why they all fuck with me. Out here with the moves like I invented smooth. You can't tell me I ain't fly. (you can't tell me I ain't fly). I know I'm super fly (I know) , I know I'm super fly. Now watch me fly, fly. Now watch me fly, fly. You can't tell me I ain't fly. You can't tell me I ain't fly. I know I'm super fly, I know I'm super fly. Kodak, Kodak. Mine so fly, don't need no flight attendant. Big Cuban link, don't need no pendant. I ain't never had no pot to piss in, yeah. Now all my records trendin'. Oh my, I came from stealing bikes to flying on a G5. I don't know why I been smokin' this Cherry Pie so much. But this my life. I'm on adderall, I be smellin' Hi-Tec when I piss. Like it's basketball, I drop 50-pointer on my wrist. It's Lil Kodak take a pic. I came home to drop the heat. All these diamonds got me sick, I'm actin' spoiled. Cutlass sittin' high, I feel like I can fly. So fresh to death it's crazy, I feel like I can die. I done finally got my wings. they make me wanna sing (glee). I drink 'til I'm drunk ('til I'm drunk). Smoke 'til I'm high ('til I'm high). Castle on the hill (ayy) , wake up in the sky. You can't tell me I ain't fly. (you can't tell me I ain't fly, baby). I know I'm super fly (I know it). I know I'm super fly (I know it). The ladies love in luxury, that's why they all fuck with me (ayy). Out here with the moves like I invented smooth. You can't tell me I ain't fly. (you can't tell me I don't fly, baby). I know I'm super fly (I know it). I know I'm super fly (I know it). Now, now watch me fly, fly. Now watch me fly, fly. You can't tell me I ain't fly. I know I'm super fly, I know I'm super fly"
when i was your man,"Same bed, but it feels just. A little bit bigger now. Our song on the radio,. But it don't sound the same. When our friends talk about you. All that it does is just tear me down. Cause my heart breaks a little. When I hear your name. And all just sounds like. Ooh, ooh, ooh, ooh, ooh. Too young, too dumb to realize. That I should've bought you. Flowers and held your hand. Should've gave you all my hours. When I had the chance. Take you to every party. Cause all you wanted to do was dance. Now my baby's is dancing,. But she's dancing. With another man. My pride, my ego. My needs and my selfish ways. Caused a good strong woman like you. To walk out my life. Now I never, never get to clean up. The mess I made. And it haunts me. Every time I close my eyes. It all just sounds like. Ooh, ooh, ooh, ooh, ooh. Mm,too young, too dumb to realize. That I should've bought you. Flowers and held your hand. Should've gave you all my hours. When I had the chance. Take you to every party. Cause all you wanted to do was dance. Now my baby's is dancing,. But she's dancing. With another man. Although it hurts. I'll be the first to say. That I was wrong. Oh, I know I'm probably. Much too late. To try and apologize for my mistakes. But I just want you to know. I hope he buys you flowers,. I hope he holds your hand. Give you all his hours. When he has the chance. Take you to every party. Cause I remember. How much you loved to dance. Do all the things. I should've done. When I was your man. Do all the things. I should've done. When I was your man"
just the way you are,"Oh her eyes, her eyes. Make the stars look like they're not shining. Her hair, her hair. Falls perfectly without her trying. She's so beautiful. And I tell her every day. Yeah I know, I know. When I compliment her. She won't believe me. And it's so, it's so. Sad to think that she don't see what I see. But every time she asks me do I look okay. I say. When I see your face. There's not a thing that I would change. 'Cause you're amazing. Just the way you are. And when you smile. The whole world stops and stares for a while. 'Cause girl you're amazing. Just the way you are. Her lips, her lips. I could kiss them all day if she'd let me. Her laugh, her laugh. She hates but I think it's so sexy. She's so beautiful. And I tell her every day. Oh you know, you know, you know. I'd never ask you to change. If perfect is what you're searching for. Then just stay the same. So don't even bother asking. If you look okay. You know I'll say. When I see your face. There's not a thing that I would change. 'Cause you're amazing. Just the way you are. And when you smile. The whole world stops and stares for a while. 'Cause girl you're amazing. Just the way you are. The way you are. The way you are. Girl you're amazing. Just the way you are. When I see your face. There's not a thing that I would change. 'Cause you're amazing. Just the way you are. And when you smile. The whole world stops and stares for a while. 'Cause girl you're amazing. Just the way you are"
the lazy song,"Today I don't feel like doing anything. I just wanna lay in my bed. Don't feel like pickin up my phone. So leave a message at the tone. 'Cause today I swear I'm not doing anything. I'm gonna kick my feet up, then stare at the fan. Turn the Tv on, throw my hand in my pants. Nobody's gonna tell me I can't. (Naahh). I'll be lounging on a couch, just chillin in my snuggie. Click to Mtv so they can teach me how to Douggie,. 'Cause in my castle I'm the freakin man. Ooooh. Yes I said it. I said it. I said it 'cause I can!. Today I don't feel like doing anything. I just wanna lay in my bed. Don't feel like pickin up my phone. So leave a message at the tone. 'Cause today I swear I'm not doing anything. (Nothing at all). Huhul, huhuuuul. (Nothing at all). Huhuuul, huhuuul. Tomorrow I'll wake up. Do some P90x. Meet a really nice girl. Have some really nice sex. And she's gonna scream out this is great. (Oh my God, this is great). Yeeaah. I might mess around. And get my college degree,. I bet my old man will be so proud of me.. But sorry paps you'll just have to wait. Ooooh. Yes I said it. I said it. I said it 'cause I can!. Today I don't feel like doing anything. I just wanna lay in my bed. Don't feel like pickin up my phone. So leave a message at the tone. 'Cause today I swear I'm not doing anything. No, I ain't gonna comb my hair. 'Cause I ain't going anywhere. No, no, no, no, no,. No, no, no, no, ooooh. I'll just strut in my birthday suit,. And let everything hang loose. Yeah, yeah, yeah, yeah, yeah,. Yeah, yeah, yeah, yeah, yeeeaaah. Oooh, today I don't feel like doing anything. I just wanna lay in my bed. Don't feel like pickin up my phone. So leave a message at the tone. 'Cause today I swear I'm not doing anything. (Nothing at all). Huhul, huhuuuul. (Nothing at all). Huhul, huhuuuul. (Nothing at all)"
that's what i like,"I got a condo in manhattan. Baby girl, what's hatnin'?. You and your ass invited. So gon' and get to clappin'. So pop it for a pimp. Pop, pop it for me. Turn around and drop it for a pimp. Drop, drop it for me. I'll rent a beach house in miami. Wake up with no jammies. Lobster tail for dinner. Julio serve that scampi. You got it if you want it. Got, got it if you want it. Said you got it if you want it. Take my wallet if you want it now. Jump in the cadillac, girl. Let's put some miles on it. Anything you want, just to put a smile on it. You deserve it baby, you deserve it all. And I'm gonna give it to you. Gold jewelry shining so bright. Strawberry champagne on ice. Lucky for you, that's what I like. That's what I like. Lucky for you, that's what I like. That's what I like. Sex by the fire at night. Silk sheets and diamonds all white. Lucky for you, that's what I like. That's what I like. Lucky for you, that's what I like. That's what I like. I'm talkin' trips to Puerto Rico. Say the word and we go. You can be my freaka. Girl, I'll be on fleek, ah, mamicita. I will never make a promise. That I can't keep. I promise that you'll smile. And gon' never leave. Shopping sprees in paris. Everything 24 karats. Take a look in that mirror. Now tell me who's the fairest. Is it you? (is it you?) is it me? (is it me?). Say it's us (say it's us). And I'll agree, baby. Jump in the cadillac, girl. Let's put some miles on it. Anything you want, just to put a smile on it. You deserve it baby, you deserve it all. And I'm gonna give it to you. Gold jewelry shining so bright. Strawberry champagne on ice. Lucky for you, that's what I like. That's what I like. Lucky for you, that's what I like. That's what I like. Sex by the fire at night. Silk sheets and diamonds all white. Lucky for you, that's what I like. That's what I like. Lucky for you, that's what I like. That's what I like. If you say you want a good time. Well here I am baby, here I am baby. Talk to me, talk to me, talk to me. Tell me what's on your mind. If you want it, girl come and get it. All this is here for you. Tell me baby, tell me, tell me baby. What you tryna do. Gold jewelry shining so bright. Strawberry champagne on ice. Lucky for you, that's what I like. That's what I like. Lucky for you, that's what I like. That's what I like. Sex by the fire at night. Silk sheets and diamonds all white. Lucky for you, that's what I like. That's what I like. Lucky for you, that's what I like. That's what I like"
nothin' on you,"[Chorus- Bruno Mars] (B.o.B). Beautiful girls all over the world, I could be chasing. But my time would be wasted,. they got nothing on you, baby. Nothing on you, baby. They might say hi, and I might say hey. But you shouldn't worry, about what they say. Cause they got nothing on you, baby (Yeah). Nothing on you, baby. (N-n-n-nothing on you baby, n-nothing on you). [Verse 1- B.o.B]. I know you feel where I'm coming from. Regardless of the things in my past that I've done. Most of it really was for the hell of the fun. On a carousel, so around I spun. With no direction, just tryna get some. Tryna chase skirts, living in the summer sun. And so I lost more than I had ever won. And honestly, I ended up with none. [Bridge- Bruno Mars]. It's so much nonsense, it's on my conscience. I'm thinking ""maybe I should get it out"". And I don't wanna sound redundant. But I was wondering,. if there was something that you wanna know. But never mind that, we should let it go. Cause we don't wanna be a t.v. episode. And all the bad thoughts, just let em go, go, go. [Chorus]. Beautiful girls all over the world, I could be chasing. But my time would be wasted,. they got nothing on you, baby. Nothing on you, baby. They might say hi, and I might say hey. But you shouldn't worry, about what they say. Cause they got nothing on you, baby (Yeah). Nothing on you, baby. (N-n-n-nothing on you baby, n-nothing on you). [Verse 2- B.o.B]. Hands down, there will never be another one (nope). I've been around, and I've never seen another one (never). Because your style, I 'aint really got nothin' on. (nothing). And you wild when you 'aint got nothin' on? (haha). Baby you the whole package. Plus you pay your taxes. And you keep it real, while them others stay plastic. You're my Wonder Woman, call me Mr. Fantastic. Stop- now think about it. [Bridge 2- Bruno Mars]. I've been to London, I've been to Paris. Even way out there in Tokyo. Back home down in Georgia, to New Orleans. But you always steal the show. And just like that girl, you got me froze. Like a Nintendo 64. If you never knew, well, now you know, know, know. [Chorus]. Beautiful girls all over the world, I could be chasing. But my time would be wasted,. they got nothing on you, baby. Nothing on you, baby. They might say hi, and I might say hey. But you shouldn't worry, about what they say. Cause they got nothing on you, baby (Yeah). Nothing on you, baby. (N-n-n-nothing on you baby, n-nothing on you). [Bridge 3- B.o.B]. Everywhere I go, I'm always hearing your name. And no matter where I'm at, girl you make me wanna sing. Whether a bus or a plane, or a car, or a train. No other girl's on my brain, and you the one to blame. [Chorus]. Beautiful girls all over the world, I could be chasing. But my time would be wasted,. they got nothing on you, baby. Nothing on you, baby. They might say hi, and I might say hey. But you shouldn't worry, about what they say. Cause they got nothing on you, baby (Yeah). Nothing on you, baby. (N-n-n-nothing on you baby, n-nothing on you). [B.o.B]. Yeah (laughing). And that's just how we do it (laughing). And I'ma just let this ride. B.o.B. And Bruno Mars"
talking to the moon,"I know you're somewhere out there. Somewhere far away. I want you back. I want you back. My neighbours think I'm crazy. But they don't understand. You're all I have. You're all I have. (Chorus:). At night when the stars light up my room. I sit by myself. Talking to the Moon. Trying to get to you. In hopes you're on the other side. Talking to me too. Or am I a fool who sits alone. Talking to the moon?. I'm feeling like I'm famous. The talk of the town. They say I've gone mad. Yeah, I've gone mad. But they don't know what I know. Cause when the sun goes down. Someone's talking back. Yeah, they're talking back. (Chorus:). At night when the stars light up my room. I sit by myself. Talking to the Moon. Trying to get to you. In hopes you're on the other side. Talking to me too. Or am I a fool who sits alone. Talking to the moon?. Ahh... Ahh... Ahh.... Do you ever hear me calling?. (Ahh... Ahh... Ahh...). Oh oh ooh oooh. 'Cause every night. I'm talking to the Moon. Still trying to get to you. In hopes you're on the other side. Talking to me too. Or am I a fool who sits alone. Talking to the moon?. Ohoooo.... I know you're somewhere out there. Somewhere far away"
count on me,"If you ever find yourself stuck in the middle of the sea,. I'll sail the world to find you. If you ever find yourself lost in the dark and you. can't see,. I'll be the light to guide you. Find out what we're made of. When we are called to help our friends in need. You can count on me like one, two, three. I'll be there. And I know when I need it I can count on you like. Four, three, two. And you'll be there. Cause that's what friends are supposed to do,. Oh yeah. Wooooh, wooooh. If you're tossing and you're turning. and you just can't fall asleep. I'll sing a song beside you. And if you ever forget how much you really mean to me. Everyday I will remind you. Oh. Find out what we're made of. When we are called to help our friends in need. You can count on me like one, two, three. I'll be there. And I know when I need it I can count on you like. Four, three, two. And you'll be there. Cause that's what friends are supposed to do,. Oh yeah. Wooooh, wooooh. You'll always have my shoulder when you cry. I'll never let go, never say good-bye. You know you can count on me like one, two, three. I'll be there. And I know when I need it I can count on you like. Four, three, two. And you'll be there. Cause that's what friends are supposed to do,. Oh yeah. Wooooh, wooooh. You can count on me cause I can count on you."
24k magic,"Tonight. I just want to take you higher. Throw your hands up in the sky. Let's set this party off right. Players, put yo' pinky rings up to the moon. Girls, what y'all trying to do?. 24 karat magic in the air. Head to toe so player. Uh, look out!. Pop pop, it's show time (Show time). Show time (Show time). Guess who's back again?. Oh they don't know? (Go on tell 'em). Oh they don't know? (Go on tell 'em). I bet they know soon as we walk in (Showin' up). Wearing Cuban links (ya). Designer minks (ya). Inglewood's finest shoes (Whoop, whoop). Don't look too hard. Might hurt ya'self. Known to give the color red the blues. Ooh shit, I'm a dangerous man. with some money in my pocket. (Keep up). So many pretty girls around me. and they waking up the rocket. (Keep up). Why you mad? Fix ya face. Ain't my fault y'all be jocking. (Keep up). Players only, come on. Put your pinky rings up to the moon. Girls, what y'all trying to do?. 24 karat magic in the air. Head to toe so player. Uh, look out!. Second verse for the hustlas (hustlas). Gangstas (gangstas). Bad bitches and ya ugly ass friends (Haha). Can I preach? (Uh oh) Can I preach? (Uh oh). I gotta show 'em how a pimp get it in. First, take your sip (sip) , do your dip (dip). Spend your money like money ain't shit (Whoop, whoop). We too fresh. Got to blame in on Jesus. Hashtag blessed. They ain't ready for me. I'm a dangerous man with some money in my pocket. (Keep up). So many pretty girls around me. and they waking up the rocket. (Keep up). Why you mad? Fix ya face. Ain't my fault y'all be jocking. (Keep up). Players only, come on. Put your pinky rings up to the moon. Hey girls. What y'all trying to do?. 24 karat magic in the air. Head to toe soul player. Uh, look out!. (Wooh). Everywhere I go they be like. Ooh, soul player ooh. Everywhere I go they be like. Ooh, so player ooh. Everywhere I go they be like. Ooh, so player ooh. Now, now, now. Watch me break it down like (Uh). 24 karat, 24 karat magic. What's that sound?. 24 karat, 24 karat magic. Come on now. 24 karat, 24 karat magic. Don't fight the feeling. Invite the feeling. Just put your pinky rings up to the moon. Girls, what y'all trying to do?. 24 karat magic in the air. Head to toe so player. Put your pinky rings up to the moon. Girls, what y'all trying to do? (Do). 24 karat magic in the air. Head to toe so player. (24 karat). Uh, look out. (24 karat magic, magic, magic)"
billionaire,"I wanna be a billionaire so fucking bad. buy all of the things I never had. I wanna be on the cover of Forbes magazine. smiling next to Oprah and the Queen. Oh every time I close my eyes. I see my name in shining lights. A different city every night oh. I swear the world better prepare. for when I'm a billionaire. Yeah I would have a show like Oprah. I would be the host of everyday of Christmas. Give Travie a wish list. I'd probably pull an Angelina and Brad Pitt. And adopt a bunch of babies that ain't never had shit. Give away a few Mercedes like here lady have this. And last but not least grant. somebody their last wish. It's been a couple months since I've single. So you can call me Travie Claus minus the Ho Ho. Get it, hehe, I'd probably visit where Katrina hit. And damn sure do a lot more than Fema did. Yeah can't forget about me stupid. Everywhere I go Imma have my own theme music. Oh every time I close my eyes. I see my name in shining lights. A different city every night oh. I swear the world better prepare. for when I'm a billionaire. oh oooh oh oooh for when I'm a Billionaire. oh oooh oh oooh for when I'm a Billionaire. I'll be playing basketball with the President. Dunking on his delegates. Then I'll compliment him on his political etiquette. Toss a couple milli in the air just for the heck of it. But keep the fives, twentys, tens, and. bens completely separate. And yeah I'll be in a whole new tax bracket. We in recession but let me take a crack at it. I'll probably take whatever's left. and just split it up. So everybody that I love can have a couple bucks. And not a single tummy around me would know what hungry was. Eating good sleeping soundly. I know we all have a similar dream. Go in your pocket pull out your wallet. And put it in the air and sing. [. I wanna be a billionaire so fucking bad. buy all of the things I never had. uh, I wanna be on the cover of Forbes magazine. smiling next to Oprah and the Queen. Oh every time I close my eyes. I see my name in shining lights. A different city every night oh. I swear the world better prepare. for when I'm a Billionaire. oh oooh oh oooh for when I'm a Billionaire. oh oooh oh oooh. I wanna be a billionaire so fuckin bad!"
