havana (feat. young thug),"Hey. Havana, ooh na-na (ay). Half of my heart is in Havana. ooh-na-na (ay, ay). He took me back to East Atlanta. na-na-na. All of my heart is in Havana (ay). There's somethin' 'bout his manners (uh huh). Havana, ooh na-na (uh). He didn't walk up with that ""how you doin'? "". (When he came in the room). He said there's a lot of girls. I can do with. (But I can't without you). I'm doin' forever in a minute (hey). (That summer night in June). And papa says he got malo in him (uh). He got me feelin' like. Ooh-ooh-ooh, I knew it when I met him. I loved him when I left him. Got me feelin' like. Ooh-ooh-ooh, and then I had to tell him. I had to go, oh na-na-na-na-na. Havana, ooh na-na (ay, ay). Half of my heart is in Havana. ooh-na-na. He took me back to East Atlanta. na-na-na. All of my heart is in Havana (ay). My heart is in Havana (ay). Havana, ooh na-na. Just graduated, fresh on campus. Fresh out East Atlanta. with no manners, damn. Fresh out East Atlanta. Bump on her bumper. like a traffic jam. Hey, I was quick to pay that girl. like Uncle Sam (here you go, ay). Back it on me. shawty cravin' on me. Get to diggin' on me (on me). She waited on me (then what?). Shawty cakin' on me. got the bacon on me (wait up). This is history in the makin' on me (on me). Point blank, close range, that be. If it cost a million, that's me (that's me). I was gettin' mula. man they feel me. Havana, ooh na-na (ay, ay). Half of my heart is in Havana. ooh-na-na. He took me back to East Atlanta. na-na-na (oh no). All of my heart is in Havana (ay). My heart is in Havana (ay). Havana, ooh na-na. Ooh na-na, oh na-na-na (oo-ooh). Take me back, back, back like. Ooh na-na, oh na-na-na (yeah, babe). Take me back, back, back like. Ooh na-na, oh na-na-na (yea, yeah). Take me back, back, back like. Havana, ooh na-na (ay, ay). Half of my heart is in Havana. He took me back to East Atlanta. na-na-na (oh no). All of my heart is in Havana (ay). My heart is in Havana (ay). Havana, ooh na-naa"
never be the same,"Something must've gone wrong in my brain. Got your chemicals all in my veins. Feeling all the highs, feeling all the pain. Let go on the wheel. it's the bullet lane. Now I'm seeing red. not thinking straight. Blurring all the lines, you intoxicate me. Just like nicotine, heroin, morphine. Suddenly, I'm a fiend and you're all I need. All I need, yeah yeah, all I need. It's you, babe. And I'm a sucker for the way that you move, babe. And I could try to run, but it would be useless. You're to blame. Just one hit of you. I knew I'll never be the same. It's you, babe. And I'm a sucker for the way that you move, babe. And I could try to run, but it would be useless. You're to blame. Just one hit, I knew I'll never. ever, ever be the same. I'll never be the same. I'll never be the same. I'll never be the same. Sneaking in L.A. when the lights are low. Off of one touch I could overdose. You said, ""stop playing it safe. Girl, I wanna see you lose control"". Just like nicotine, heroin, morphine. Suddenly, I'm a fiend and you're all I need. All I need, yeah yeah, all I need. It's you, babe. And I'm a sucker for the way that you move, babe. And I could try to run, but it would be useless. You're to blame. Just one hit of you. I knew I'll never be the same. It's you, babe. And I'm a sucker for the way that you move, babe. And I could try to run, but it would be useless. You're to blame. Just one hit, I knew I'll never. ever, ever be the same. I'll never be the same. I'll never be the same. I'll never be the same. You're in my blood. you're in my veins. you're in my head (I blame). You're in my blood. you're in my veins. you're in my head (I blame). I'm saying it's you, babe. And I'm a sucker for the way that you move, babe. And I could try to run, but it would be useless. You're to blame (you're to blame). Just one hit, I knew. I'll never be the same. (I'll never be the). It's you, babe. And I'm a sucker for the way that you move, babe. And I could try to run, but it would be useless. You're to blame. Just one hit, I knew I'll never. ever, ever be the same"
consequences,"Dirty tissues, trust issues. Glasses on the sink, they didn't fix you. Lonely pillows in a stranger's bed. Little voices in my head. Secret keeping,. Stop the bleeding. Lost a little weight because I wasn't eating. All the souls that I can't listen to,. To tell the truth. Loving you was young, and wild, and free. Loving you was cool, and hot, and sweet. Loving you was sunshine, safe and sound. A steady place to let down my defenses. But loving you had consequences. Hesitation, awkward conversation. Running on low expectation. Every siren that I was ignoring. I'm paying for it. Loving you was young, and wild, and free. Loving you was cool, and hot, and sweet. Loving you was sunshine, safe and sound. A steady place to let down my defenses. But loving you had consequences. No, ooh-ooh-ooh-ooh-ooh-ooh. Said no, ooh-ooh-ooh-ooh-ooh-ooh-ooh. I, no, ooh-ooh-ooh-ooh-ooh-ooh, mhm. Loving you was dumb, dark, and cheap. Loving you will still take shots at me. Loving you was sunshine, but then it poured. And I lost so much more than my senses. 'cause loving you had consequences"
something's gotta give,"Loving you, I thought I couldn't get no higher. Your november rain could set night on fire. Night on fire. But we could only burn so long. Counterfeit emotions only run skin deep. Know you're lying when you're lying next to me. Next to me. How did we get so far gone?. I should know by now, you should know by now. We should know by now. Something's gotta give, something's gotta break. But all I do is give, and all you do is take. Something's gotta change, but I know it won't. No reason to stay is a good reason to go. Is a good reason to go. I have never heard a silence quite so loud. I walk in the room and you don't make a sound. Make a sound. You're good at making me feel small. If it doesn't hurt me, why do I still cry?. If it didn't kill me, then I'm half alive. Half alive. How did we get so far gone?. I should know by now, you should know by now. We should know by now. Something's gotta give, something's gotta break. But all I do is give, and all you do is take. Something's gotta change, but I know it won't. No reason to stay is a good reason to go. Is a good reason to go. I should know by now, you should know by now. I think I'm breaking right now. I should know by now, you should know by now. I think I'm breaking right now. Something's gotta give, something's gotta break. But all I do is give, and all you do is take. Something's gotta change, but I know it won't. No reason to stay is a good reason to go. Is a good reason to go. Something's gotta give"
real friends,"No, I think I'll stay in tonight. Skip the conversations. and the ""oh, I'm fine""s. No, I'm no stranger to surprise. This paper town has let me down. Too many times. Why do I even try?. Give me a reason why. I thought that I could trust you, never mind. Why are we switching sides?. Where do I draw the line?. I guess I'm too naive to read the signs. I'm just lookin' for some real friends. All they ever do is let me down. Every time I let somebody in. Then I find out what they're all about. I'm just lookin' for some real friends. Wonder where they're all hidin' out. I'm just lookin' for some real friends. Gotta get up out of this town. Oh, ohh. Ohh, ah. I stay up. Talkin' to the moon. And feelin' so alone. In every crowded room. Can't help but feel like. Something's wrong, yeah. 'Cause the place I'm livin' in. Just doesn't feel like home. I'm just lookin' for some real friends. All they ever do is let me down. Every time I let somebody in. Then I find out what they're all about. I'm just lookin' for some real friends. Wonder where they're all hidin' out. I'm just lookin' for some real friends. Gotta get up out of this town. Lookin' for some new friends. Oh, ohh. Ohh, ah. I just wanna talk about nothin'. With somebody that means something. Spell the names of all our dreams and demons. For the times that I don't understand. Tell me what's the point of a moon like this. When I'm alone again. Can I run away to somewhere beautiful. Where nobody knows my name?. I'm just lookin' for some real friends. All they ever do is let me down. Every time I let somebody in. But I find out what they're all about. I'm just lookin' for some real friends. All they ever do is let me down. I'm just lookin' for some real friends. Gotta get up out of this town. Oh, ohh. Ohh, ah"
all these years,"Your hair's grown a little longer. Your arms look a little stronger. Your eyes just as I remember (oh). Your smile's just a little softer. And I, yeah. I never prepared for a moment like that. Yeah,in a second, it all came back. It all came back. 'cause after all these years. I still feel everything when you are near. And it was just a quick ""hello"". And you had to go. And you probably will never know. You're still the one. I'm after all these years. Couldn't help but overhear you. Sounds like you're happy with her. But does she kiss you like I kissed you?. Ooh, I wish I loved you. Like I miss you. And I, yeah. I never prepared for a moment like that. Yeah, suddenly, it all came back. It all came back. 'cause after all these years. I still feel everything when you are near. And it was just a quick ""hello"". And you had to go. And you probably will never know. You're still the one. I'm after all these years, oh. 'cause after all these years. I still feel everything when you are near. And it was just a quick ""hello"". And you had to go. And you probably will never know. You're still the one. I'm after all these years. I never told you. I should've told you. I never told you after all these years. Told you. Told you. Told you. I never told you after all these years"
she loves control,"Cold, 'cause she has been here before. She doesn't cry anymore, no looking back. No, she doesn't go to the bar. Too many lovers she scarred. And they want her back. She loves control, she wants it her way. And there's no way she'll ever stay. unless you give it up. She loves control, she wants it her way. And all it takes is just one taste. You wanna give it up. Bold, you know she lives for the thrill. You know she lusts for the kill. So they won't come back. No, no, no, no, no, no, no. Don't, don't you try taming the storm. Don't say you haven't been warned. 'cause she won't like that, like that. 'cause she loves control, she wants it her way. And there's no way she'll ever stay. Unless you give it up. She loves control, she wants it her way. And all it takes it just one taste. You wanna give it up. She loves control (control, hey). She loves control (control, hey). Say what you want. But the way she kills you makes you feel alive. And you know that it feels right. She loves control, she wants it her way. And there's no way she'll ever stay. Unless you give it up. She loves control, she wants it her way. And all it takes is just one taste. You wanna give it up. She loves control (control, hey). She loves, she loves. She loves, she loves. She loves control (control, hey)"
crying in the club,"You think that you'll die without him. You know that's a lie that you tell yourself. You fear that you lay alone forever now. Ain't true, ain't true, ain't true, no. So put your arms around me tonight. Let the music lift you up. like you've never been so high. Open up your heart to me. Let the music lift you up. like you've never been this free. 'Til you feel the sunrise. Let the music warm your body. like the heat of a thousand fires. The heat of a thousand fires. Ain't no crying in the club (hey, hey). Let the beat carry your tears as they fall baby. Ain't no crying in the club (hey, hey). With a little faith, your tears turn to ecstasy. Ain't no crying in the club. Ain't no crying in the club. Ain't no crying in the club. You may think that you'll die without her. But you know that's a lie that you told yourself. You fear that you'll never meet another so pure. But it ain't true, ain't true, ain't true, no. So put your arms around me tonight. Let the music lift you up. like you've never been so high. Open up your heart to me. Let the music lift you up. like you've never been this free. 'Til you feel the sunrise. Let the music warm your body. like the heat of a thousand fires. The heat of a thousand fires. Ain't no crying in the club (hey, hey). Let the beat carry your tears as they fall baby. Ain't no crying in the club (hey, hey). With a little faith, your tears turn to ecstasy. Ain't no crying in the club. Ain't no crying in the club. Ain't no crying in the club. You think that you'll die without him. You know that's a lie that you tell yourself. You fear that you lay alone forever now. Ain't true, ain't true, ain't true, no. I said ain't no (ain't no). Ain't no crying. Ain't no crying in the club, no crying. I said ain't no (ain't no). Ain't no crying. Ain't no crying in the club, no crying. Ain't no crying in the club (Hey, hey). Let the beat carry, your tears as they fall baby. Ain't no crying in the club (Hey, hey). With a little faith, your tears turn to ecstasy. Ain't no crying in the club. I won't, I won't, I. Ain't no crying in the club. I won't, I won't, I. Ain't no crying in the club. (Ain't no crying, no crying, no crying, no). I won't, I won't, I. Ain't no crying in the club. (Ain't no crying, no crying, no crying, no). I won't, I won't, I. Ain't no crying in the club"
i have questions/crying in the club,"Why?. Did you leave me here to burn?. I'm way too young to be this hurt. I feel doomed in hotel rooms staring straight up at the wall. Counting wounds and I am trying to numb them all. Do you care?. Do you care?. Why don't you care?. I gave you all of me. My blood, my sweat, my heart, and my tears. Why don't you care?. Why don't you care?. I was there, I was there. When no one was. Now you gone and I'm here. (I have questions for you). Number one: Tell me who you think you are?. You've got some nerve trying to tear my faith apart. (I have questions for you). Number two: Why would you try and play me for a fool?. I should have never ever, ever trusted you. (I have questions for you). Number three: Why weren't you who you swore that you would be?. I have questions, I've got questions haunting me. (Oh,Oh,Oh,Oh). I have questions for you. I have questions for you (I have questions). I have questions for you. You think, that you'll die without him. You know (Know), that's a lie that you tell yourself. You fear, that you lay alone forever now. It ain't true, ain't true, ain't true, no. So put your arms around me tonight. Let the music lift you up like you've never been so high. Open up your heart to me. Let the music lift you up like you've never been this free. Until you feel the sunrise. Let the music warm your body like the heat of a thousand fires. The heat of a thousand fires (Yeah). Ain't no crying in the club (Hey, hey). Let the beat carry, your tears as they fall baby. Ain't no crying in the club (Hey, hey). With a little faith, your tears turn to ecstasy. Ain't no crying in the club (I won't, I won't, I). Ain't no crying in the club (I won't, I won't, I). Ain't no crying in the club. You may think, that you'll die without her. But you know, that's a lie that you told yourself. You fear, that you'll never meet another so pure. But it ain't true, ain't true, ain't true, no. So put your arms around me tonight. Let the music lift you up like you've never been so high. Open up your heart to me. Let the music lift you up like you've never been this free. Until you feel the sunrise. Let the music warm your body like the heat of a thousand fires. The heat of a thousand fires (Yeah). Ain't no crying in the club (Hey, hey). Let the beat carry, your tears as they fall baby. Ain't no crying in the club (Hey, hey). With a little faith, your tears turn to ecstasy. Ain't no crying in the club (I won't, I won't, I). Ain't no crying in the club (I won't, I won't, I). Ain't no crying in the club. You think, that you'll die without him. You know, that's a lie that you tell yourself. You fear, that you lay alone forever now. It ain't true, ain't true, ain't true, no. I said ain't no (Ain't no). Ain't no crying. Ain't no crying in the club, no crying. I said ain't no, ain't no crying. Ain't no crying in the club. Ain't no crying in the club (Hey, hey). Let the beat carry, your tears as they fall baby. Ain't no crying in the club (Hey, hey). With a little faith, your tears turn to ecstasy. Ain't no crying in the club (I won't, I won't, I). Ain't no crying in the club (I won't, I won't, I). Ain't no crying in the club [I (Ain't no crying, no crying, no crying, no) I]. Ain't no crying in the club [I (Ain't no crying, no crying, no crying, no) I]. Ain't no crying in the club"
in the dark,"Blank stares, faithless. Vampires at the same places. Shadow, traces. I know that you feel me. You're runnin', runnin', runnin', runnin'. Making the rounds with all your fake friends. Runnin', runnin' away from it. You can strip down without showing skin, yeah. I can see you're scared of your emotions. I can see you're hoping. you're not hopeless. So why can't you show me?. Why can't you show me?. I can see you're looking for distractions. I can see you're tired of the acting. So why can't you show me?. Who are you in the dark? (I, I). Show me the scary parts (I, I). Who are you when it's 3 am. And you're all alone. And L.A doesn't feel like home? (I, I, I). Who are you in the dark?. Plus one, guest list. But you don't even know what her name is. Secrets, endless. I know that you feel me. You're runnin', runnin', runnin', runnin'. Making the rounds with all your fake friends. Runnin', runnin' away from it. You can strip down without showing skin. I, I can see you're scared of your emotions. I can see you're hoping not hopeless. So why can't you show me?. Why can't you show me?. I can see you're looking for distractions. I can see you're tired of the acting. So why can't you show me?. Who are you in the dark? (I, I). Show me the scary parts (I, I). Who are you when it's 3 am. And you're all alone. And L.A doesn't feel like home? (I, I, I). Who are you in the dark?. Darling, come on and let me in. Darling, all of the strangers are gone. They're gone. I said, darling, come on and let me see. Darling, I promise then I won't run. So tell me. Who are you in the dark? (I, I). Show me the scary parts (I, I). Who are you when it's 3 am. And you're all alone (and you're all alone). And L.A doesn't feel like home?. No, I, I, I. Who are you in the dark?. Mm, mm, mm. Who are you in the dark?. Mm, mm, mm. Who are you in the dark?. Mm, mm, mm. Who are you in the dark?"
