party for one,"If you didn't know that you were right for me. Then there's nothing I can say. Try to call you up to spend some time to see. But somebody's in your way. Tried to let it go and say I'm over you. I'm not over you. But I'm trying. Party for one. If you don't care about me. I'll just dance for myself. Back on my beat. I'll be the one. If you don't care about me. Making love to myself. Back on my beat. You don't want my love. If you don't care about me. I'll just dance for myself. Back on my beat. Party for one. If you don't care about me. Making love to myself. Back on my beat. Once upon a time, I thought you wanted me. Was there no one else to kiss?. (No one else to kiss). Was it all a dream I let myself believe?. I'm not over this. (I'm not over this). But I'm trying. Party for one (Hey). If you don't care about me. I'll just dance for myself. Back on my beat. I'll be the one. If you don't care about me. (You don't care that I'm). Making love to myself. Back on my beat. You don't want my love. If you don't care about me. I'll just dance for myself. Back on my beat. (Back on my beat). Party for one. If you don't care about me. (You don't care about me). Making love to myself. (Hey). Back on my beat. (Back on my beat). Back on my beat. Back on my beat. Party for one. 'Cause you don't care about me. Back on my beat. Back on my beat. Party for one. Back on my beat. You don't want my love. If you don't care about me. (If you don't care about me). I'll just dance for myself. Back on my beat. (Back on my beat). Party for one. If you don't care about me. (You don't care that I'm). Making love to myself. Back on my beat. Back on my beat. Back on my beat. Party for one. (Back on my beat). Back on my beat. Back on my beat. Party for one"
call me maybe,"I threw a wish in the well,. Don't ask me, I'll never tell. I looked to you as it fell,. And now you're in my way. I trade my soul for a wish,. Pennies and dimes for a kiss. I wasn't looking for this,. But now you're in my way. Your stare was holdin',. Ripped jeans, skin was showin'. Hot night, wind was blowin'. Where you think you're going, baby?. Hey, I just met you,. And this is crazy,. But here's my number,. So call me, maybe?. It's hard to look right,. At you baaaabeh,. But here's my number,. So call me, maybe?. Hey, I just met you,. And this is crazy,. But here's my number,. So call me, maybe?. And all the other boys,. Try to chase me,. But here's my number,. So call me, maybe?. You took your time with the call,. I took no time with the fall. You gave me nothing at all,. But still, you're in my way. I beg, and borrow and steal. Have foresight and it's real. I didn't know I would feel it,. But it's in my way. Your stare was holdin',. Ripped jeans, skin was showin'. Hot night, wind was blowin'. Where you think you're going, baby?. Hey, I just met you,. And this is crazy,. But here's my number,. So call me, maybe?. It's hard to look right,. At you baby,. But here's my number,. So call me, maybe?. Hey, I just met you,. And this is crazy,. But here's my number,. So call me, maybe?. And all the other boys,. Try to chaaase me,. But here's my number,. So call me, maybe?. Before you came into my life. I missed you so bad. I missed you so bad. I missed you so, so bad. Before you came into my life. I missed you so bad. And you should know that. I missed you so, so bad. It's hard to look right,. At you baaaabeh,. But here's my number,. So call me, maybe?. Hey, I just met you,. And this is crazy,. But here's my number,. So call me, maybe?. And all the other boys,. Try to chaaase me,. But here's my number,. So call me, maybe?. Before you came into my life. I missed you so bad. I missed you so bad. I missed you so so bad. Before you came into my life. I missed you so bad. And you should know that. So call me, maybe?"
i really like you,"I really wanna stop. But I just gotta taste for it. I feel like I could fly with the boy on the moon. So honey hold my hand. You like making me wait for it. I feel like I could die walking up to the room, oh yeah. Late night watching television. But how'd we get in this position?. It's way too soon, I know this isn't love. But I need to tell you something. I really really really really really really like you. And I want you, do you want me, do you want me, too?. I really really really really really really like you. And I want you, do you want me, do you want me, too?. Oh, did I say too much?. I'm so in my head. When we're out of touch. I really really really really really really like you. And I want you, do you want me, do you want me, too?. It's like everything you say is a sweet revelation. All I wanna do is get into your head. Yeah we could stay alone, you and me, in this temptation. Sipping on your lips, hanging on by thread, baby. Late night watching television. But how we get in this position?. It's way too soon, I know this isn't love. But I need to tell you something. I really really really really really really like you. And I want you, do you want me, do you want me, too?. I really really really really really really like you. And I want you, do you want me, do you want me, too?. Oh, did I say too much?. I'm so in my head. When we're out of touch. I really really really really really really like you. And I want you, do you want me, do you want me, too?. Who gave you eyes like that?. Said you could keep them. I don't know how to act. Or if I should be leaving. I'm running out of time. Going out of my mind. I need to tell you something. Yeah, I need to tell you something. I really really really really really really like you. And I want you, do you want me, do you want me, too?. I really really really really really really like you. And I want you, do you want me, do you want me, too?. Oh, did I say too much?. I'm so in my head. When we're out of touch. I really really really really really really like you. And I want you, do you want me, do you want me, too?. I really really really really really really like you. And I want you, do you want me, do you want me, too?. I really really really really really really like you. And I want you, do you want me, do you want me, too?"
run away with me,"You're stuck in my head. Stuck on my heart. Stuck on my body, body. I wanna go. Get out of here. I'm sick of the party, party. I'd run away. I'd run away with you. This is the part. You've got to say. All that you're feeling, feeling. Packing a bag. Leaving tonight. When everyone's sleeping, sleeping. Let's run away. I'll run away with you. Cause you make me feel like. I could be driving you all night. And I'll find your lips in the streetlights. I wanna be there with you ooh. Baby, take me to the feeling. I'll be your sinner in secret. When the lights go out. Run away with me. Run away with me. Baby, every single minute. I'll be your hero and win it. When the lights go out. Run away with me. Run away with me. Up in the clouds. High as a kite. Over the city, city. We never sleep. We never tired. When you are with me, with me. I wanna stay. I wanna stay here with you ooh. Cause you make me feel like. I could be driving you all night. And I'll find your lips in the streetlights. I wanna be there with you ooh. Baby, take me to the feeling. I'll be your sinner in secret. When the lights go out. Run away with me. Run away with me. Baby, every single minute. I'll be your hero and win it. When the lights go out. Run away with me. Run away with me. Hold on to me I never want to let you go ooh. (Run away with me, run away with me). Over the weekend we could turn the world to gold ooh. (Run away with me, run away with me). (We could turn the world to gold). Over the weekend we could turn the world to gold. My baby, take me to the feeling. (Take me to, take me to it). I'll be your sinner, in secret. Oh when the lights go out. Run away with me. (Just run away). Run away with me. Baby, every single minute. I'll be your hero and win it. When the lights go out. Run away with me. Run away with me. Run away with me. Run away with me. Run away with me. Run away with me"
tonight i'm getting over you,"I wanna smash your fears. And get drunk in all of your tears. Don't you share your smile with anyone else but me. I wanna touch your heart. I wanna crush it in my hands. Make you plead and cry. As you give up all the lies. We're not lovers, but more than friends. Put our flame to every single word you ever said. No more crying to get me through. I'll keep dancing till the morning with somebody new. Tonight I'm getting over you. Tonight I'm getting over you. Tonight I'm getting over you. Tonight I'm getting over you. Over you, o-over you. Stuck in a real bad dream,. And, man, it feels so new to me. Should be in your arms,. But I'm begging at your feet. It's been a real hard night. And I just hold my pillow tight. You won't love me back,. No, it's not you and I. We're not lovers, but more than friends. Put our flame to every single word you ever said. No more crying, to get me through. I'll keep dancing till the morning with somebody new. Tonight I'm getting over you. Tonight I'm getting over you. Tonight I'm getting over you. Tonight I'm getting over you. Over you, o-over you. Tonight I'm getting over you. Tonight I'm getting over you. Tonight I'm getting over you. Tonight I'm getting over you. Over you, o-over you. We're not lovers, but more than friends. Put our flame to every single word you ever said. No more crying, to get me through. I keep dancing til the morning with somebody new. Tonight I'm getting over you"
e.mo.tion,"Be tormented by me babe. Wonder, wonder how I do. How's the weather?. Am I better, better. Now that there's no you?. Drink tequila for me babe. Let it hit you cool and hot. Let your feelings be revealing. That you can't forget me not. Not a flower on the wall. I am growing ten feet, ten feet tall. In your head and I won't stop. Until you forget me, get me not. In your fantasy, dream about me. And all that we could do with this emotion. Fantasy, dream about me. And all that we could do with this emotion. This emotion, I feel it. This emotion, you feel it. All that we could do with this emotion. Paint a picture for me, boy. Where the sky's forever blue. Tell me there is nothing. I can't have and nothing you won't do. Toss and turn without me, boy. Let it hit you cold and hot. All my kisses, say you'll miss it. And you can forget me not. Not a flower on the wall. I am growing ten feet, ten feet tall. In your head and I won't stop. Until you forget me, get me not. In your fantasy, dream about me. And all that we could do with this emotion. Fantasy, dream about me. And all that we could do with this emotion. This emotion, I feel it. This emotion, you feel it. All that we could do with this emotion. What if I turn the lights right down?. I feel it. What if I turn the lights right down?. You feel it. You and me in the dark right now. I feel it. In your fantasy, dream about me. And all that we could do with this emotion. Fantasy, dream about me. And all that we could do with this emotion. This emotion, I feel it. This emotion, you feel it. All that we could do with this emotion"
your type,"I used to be in love with you. You use to be the first thing on my mind. I know I'm just a friend to you. That I will never get to call you mine. But I still love you. I'm sorry, I'm sorry, I love you. I didn't mean to say what I said. I miss you, I mean it, I tried not to feel it. But I can't get you out of my head. And I want you to miss me. When I'm not around you. I know that you're in town. Why won't you come around. To the spot that we met. I'm not the type of girl for you. And I'm not going to pretend. That I'm the type of girl. You call more than a friend. And I'd break all the rules for you. Break my heart and start again. I'm not the type of girl. You call more than a friend. I bet she acts so perfectly. You probably eat up every word she says. And if you ever think of me. I bet I'm just a flicker in your head. But I still love you. I'm sorry, I'm sorry, I love you. I didn't mean to say what I said. I miss you, I mean it, I tried not to feel it. But I can't get you out of my head. And I want you to miss me. When I'm not around you. I know that you're in town. Why won't you come around. To the spot that we met. I'm not the type of girl for you. And I'm not going to pretend. That I'm the type of girl. You call more than a friend. And I'd break all the rules for you. Break my heart and start again. I'm not the type of girl. You call more than a friend. I'll make time for you (time for you-ooh). I'll make time for you (time for you-ooh). I love you, I'm sorry, I'm sorry, I love you. I didn't mean to say what I said. I miss you, I mean it, I tried not to feel it. But I can't get you out of my head. I'm not the type of girl for you. And I'm not going to pretend. That I'm the type of girl. You call more than a friend. And I'd break all the rules for you. Break my heart and start again. I'm not the type of girl. You call more than a friend. I'll make time for you (time for you-ooh). I'll make time for you (time for you-ooh). I'll make time for you (time for you-ooh). I'll make time for you (time for you-ooh)"
boy problems,"If you're gonna go then go. She said to me on the phone. So tired of hearin' all your boy problems. If you're gonna stay then stay. He's not gonna change anyway. So tired of hearin' all your boy problems. And I know that she's right. And I should not be offended. That I know what it looks like. From the outside. And I know that she's right. And I should not be offended. That I know what it looks like. From the outside, from the outside. Boy problems, who's got 'em?. I've got them too. Boy trouble, we've got double. Don't know what to do. I think I broke up with my boyfriend today. And I don't really care. I've got worse problems. (I broke up with my boyfriend). I think I broke up with my boyfriend today. And I don't really care. I've got worse problems. (I broke up with my boyfriend). ""Carly, you got to let it go! "". She said to me on the phone. So tired of hearin' all your boy problems. It could be the perfect day. He'll just make it rain anyway. So tired of hearin' all your boy problems. And I know that she's right. And I should not be offended. That I know what it looks like. From the outside. And I know that she's right. And I should not be offended. That I know what it looks like. From the outside, from the outside. Boy problems, who's got 'em?. I've got them too. Boy trouble, we've got double. Don't know what to do. I think I broke up with my boyfriend today. And I don't really care. I've got worse problems. (I broke up with my boyfriend). I think I broke up with my boyfriend today. And I don't really care. I've got worse problems. (I broke up with my boyfriend). What's worse?. Losin' a lover or losin' your best friend. What's worse is when you discover. You're not good for each other. She's been giving, you've been taking, taking, taking. Boy problems, who's got 'em?. I've got them too. Boy trouble, you've got double. Don't know what to do. I think I broke up with my boyfriend today. And I don't really care. I've got worse problems. (I broke up with my boyfriend). I think I broke up with my boyfriend today. And I don't really care. I've got worse problems. (I broke up with my boyfriend). Boy problems, who's got 'em?. I've got them too. Boy trouble, you've got double. Don't know what to do. Boy problems, who's got 'em?. I've got them too. Boy trouble, you've got double. Don't know what to do. Boy problems, who's got 'em?. I've got them too. Boy trouble"
this kiss,"I went out last night. I'm going out tonight again. Anything to capture your attention (your attention). And she's a real sweet girl. And you know I got a boy. Details we both forgot to mention. (forgot to mention). And you. I always know where you are. And you always know where I am. We're taking it way too far. But I don't want it to end. This kiss is something I can't resist. Your lips are undeniable. This kiss is something I can't risk. Your heart is unreliable. Something so sentimental. You make so detrimental. And I wish it didn't feel like this. Cause I don't wanna miss this kiss. I don't wanna miss this kiss. You know you're just my type. And your eyes are lock and key. To my heart, tempting my confession. (my confession). And you're a real hot thing. But you know I've got a boy. Somewhere, so can you feel the tension?. (feel the tension). And you. I'm dancin' to where you are. And you're dancin' to where I am. We're takin' it way too far. But I don't want it to end. This kiss is something I can't resist. Your lips are undeniable. This kiss is something I can't risk. Your heart is unreliable. Something so sentimental. You make so detrimental. And I wish it didn't feel like this. Cause I don't wanna miss this kiss. But if you ask me to. I couldn't, I couldn't, I. You're leaning closer and. I shouldn't, I shouldn't, I. But if you ask me to. I couldn't, I couldn't, I. I shouldn't, I shouldn't, I shouldn't. I don't wanna miss this kiss. This kiss is something I can't resist. Your lips are undeniable. This kiss is something I can't risk. Your heart is unreliable. Something so sentimental. You make so detrimental. And I wish it didn't feel like this. Cause I don't wanna miss this kiss. I wish it didn't feel like this. I don't wanna miss this kiss"
making the most of the night,"You and me, we've been hanging around. For the longest time. I know when you're done. Know what you need to get you high. Top down, like the wind through your hair. on a summer's night. Outside, all of your fears, leave them behind. Baby I'm speeding and red lights are run. What I got you need it, and I'll run to your side. When your heart is bleeding, I'm coming to get you. I know you've had a rough time. Here I've come to hijack you (hijack you) , I love you. I'm making the most of the night. I know you've had a rough time. Here I've come to hijack you (hijack you) , I love you. I'm making the most of the night. I know you've had a rough time. Here I've come to hijack you (hijack you) , I love you. I'm making the most of the night. Eyes wide, like you've never seen the ocean. never seen the tides. No hope, now you're seeing things that you'd lost sight of. Taking off, got your hands in the air. and you're feeling alright. Gold mines, glistening on my skin for you. Baby I'm speeding and red lights are run. What I got you need it, and I'll run to your side. When your heart is bleeding, I'm coming to get you. I know you've had a rough time. Here I've come to hijack you (hijack you) , I love you. I'm making the most of the night. I know you've had a rough time. Here I've come to hijack you (hijack you) , I love you. I'm making the most of the night. I know you've had a rough time. Here I've come to hijack you (hijack you) , I love you. I'm making the most of the night. Baby take my hand now, don't you cry. I won't let you sleep, I won't let you hide. No more tears, don't waste another day. Go on and fight, don't lay down to die. Come on get up, you'll make it through okay. Come on get up, don't waste another day. I know you've had a rough time. But here I've come to hijack you (hijack you) , I love you. I'm making the most of the night. I know you've had a rough time. Here I've come to hijack you (hijack you) , I love you. I'm making the most of the night. I know you've had a rough time. Here I've come to hijack you (hijack you) , I love you. I'm making the most of the night"
