you've got a friend,"When you're down and troubled. and you need some love and care,. And nothing, nothing is going right,. Close your eyes and think of me and soon I will be there. To brighten up even your darkest night.. You just call out my name, and you know wherever I am,. I'll come running to see you again.. Winter, spring, summer, or fall,. all you have to do is call. And I'll be there. You've got a friend.. If the sky above you grows dark and full of clouds,. And that old north wind begins to blow,. Keep your head toget-her and call my name out loud.. Soon you'll hear me knockin' at your door.. You just call out my name, and you know wherever I am,. I'll come running to see you again.. Winter, spring, summer, or fall,. all you have to do is call. And I'll be there, yes, I will.. Now ain't it good to know that you've got a. Friend when people can be so cold.. They'll hurt you, yes, and desert you. And, take your soul if you let them.. Oh, but don't you let them.. You just call out my name, and you know wherever I am,. I'll come running to see you again.. Winter, spring, summer, or fall,. all you have to do is call. And I'll be there, yes, I will.. You've got a friend.. You've got a friend.. Ain't it good to know you've got a friend?"
it's too late,"Stayed in bed all mornin'. Just to pass the time. There's somethin' wrong here. There can be no denying. One of us is changin'. Or maybe we just stopped trying. And it's too late, baby. Now it's too late. Though we really did try to make it. Somethin' inside has died. And I can't hide and I just can't fake it. Oh, no, no, no, no, no, no. It used to be so easy. Livin' here with you. You were light and breezy. And I knew just what to do. Now you look so unhappy. And I feel like a fool. And it's too late, baby. Now it's too late. Though we really did try to make it. Somethin' inside has died. And I can't hide and I just can't fake it. Oh, no, no. There'll be good times again. For me and you. But we just can't stay together. Don't you feel it too?. Still I'm glad for what we had. And how I once loved you. But it's too late, baby. Now it's too late. Though we really did try to make it. Somethin' inside has died. And I can't hide and I just can't fake it. Oh, no, no, no, no, no, no. It's too late, baby. It's too late, now, darlin'. It's too late"
so far away,"So far away, doesn't anybody stay in one place anymore?. It would be so fine to see your face at my door. Doesn't help to know you're just time away. Long ago I reached for you and there you stood. Holding you again could only do me good. How I wish I could, but you're so far away. One more song about movin' along the highway. Can't say much of anything that's new. If I could only work this life out my way. I'd rather spend in bein' close to you.. But you're so far away,. doesn't anybody stay in one place any more. It would be so fine to see your face at my door. Doesn't help to know you're so far away. Travelin' around sure gets me down and lonley. Nothin' else to do but close my mind. I sure hope the road don't come to own me. There's so many dreams. I've yet to find. But your so far away. Doesn't anybody stay in one place anymore. It would be so fine to see your face at my door. And it doesn't help to know youre so far away"
(you make me feel like) a natural woman,"Looking out on the morning rain. I used to feel uninspired. And when I knew I had to face another day. Lord, it made me feel so tired. Before the day I met you, life was so unkind. but your love was the key to my peace of mind. cause you make me feel. you make me feel. you make me feel. like a natural woman. And when my soul was in the lost-and-found. You came along to claim it. I didn't know just what was wrong with me. till your kiss helped me name it. now I'm no longer doubtful. of what I'm living for. cause if I make you happy I don't need to do more. you make me feel. you make me feel. you make me feel. like a natural woman. oh baby what you've done to me (what you've done to me). you make me feel so good inside (good inside). and I just wanna be (wanna be). close to you you make me feel so alive. you make me feel. you make me feel. you make me feel. like a natural, natural woman. you make me feel. you know you make me feel. you make me feel. like a natural woman. you know you. you make me feel. you make me feel. you make me feel. like a natural woman. natural woman."
a fine way to go,He makes love to her every night. And you know this ain't no lie. She makes love in the afternoon. With another guy. He comes in saying where ya been. She just look him in the eye. She says you can get everything you need. At the movie. It's a fine way to go. Livin' in someone else's shoes. For just a little while. It's a fine way to go. If anyone asks ya how you know. You just tell them I told you so. Well Sidewalk Joe he lives alone. And he waits till the sun goes down. So he can slip out on the streets. And go down to movietown. Well he sits on the side. Half alive. Hoping that when the lights go down. Ya know Old Joe really gets off at the movie. It's a fine way to go. Livin' in someone else's shoes. For just a little while. It's a fine way to go. If anyone asks ya how you know. You just tell them I told you so ohhh. It's a fine way to go. Livin' in someone else's shoes. For just a little while. It's a fine way to go. If anyone asks ya how you know. You just tell them I told you so ohhh
i feel the earth move,"I feel the earth move. Under my feet.. I feel the sky tumblin' down.. I feel my heart start. To tremblin' whenever you're around.. Ooh, baby, when I see your face,. Mellow as the month of may,. Oh, darlin', I can't stand it. When you look at me that way.. Hey, I feel the earth move. Under my feet.. I feel the sky tumblin' down.. I feel my heart start. To tremblin' whenever you're around.. Ooh, darlin', when you're near me. And you tenderly call my name,. I know that my emotions. Are somethin' I just can't tame.. I just got to have ya, baby.. Uh, uh, uh.. Uh, uh, uh, yeah.. I feel the earth move. Under my feet.. I feel the sky tumblin' down, a-tumblin' down.. I feel the earth move. Under my feet.. I feel the sky tumblin' town, a-tumblin' down.. I just a-lose control. Down to my very soul.. I get hot and cold. All over, all over, all over, all over.. I feel the earth move. Under my feet.. I feel the sky tumblin' town, a-tumblin' down.. I feel the earth move. Under my feet.. I feel the sky tumblin' town, a-tumblin' down,. A-tumblin' down, a-tumblin' down,. A-tumblin' down, a-tumblin' down,. Tumblin' down."
beautiful,"You've got to get up every morning with a smile on your face. And show the world all the love in your heart. Then people gonna treat you better. You're gonna find, yes you will. That you're beautiful as you feel. Waiting at the station with a workday wind a-blowing. I've got noting to do but watch the passers-by. Mirrored in their faces I see frustration growing. And they don't see it showing, why do I?. You've got to get up every morning with a smile on your face. And show the world all the love in your heart. Then people gonna treat you better. You're gonna find, yes you will. That you're beautiful as you feel. I have often asked myself the reason for the sadness. In a world where tears are just a lullabye. If there's any answer, maybe love can end the madness. Maybe not, oh but we can only try. You've got to get up every morning with a smile on your face. And show the world all the love in your heart. Then people gonna treat you better. You're gonna find, yes you will. That you're beautiful as you feel"
will you still love me tomorrow,Tonight you're mine completely. You give your love so sweetly. Tonight the light of love is in your eyes. But will you love me tomorrow. Is this a lasting treasure. Or just a moment's pleasure. Can I believe the magic of your sights. will you love me tomorrow. Tonight with words unspoken. You say that I'm the only one. But will my heart be broken. When the night meets the morning sun. I'd like to now that your love. Is a love I can be sure of. So tell me now and I won't ask again. Will you still love me tomorrow. Will you still love me tomorrow. Will you still love me tomorrow
up on the roof,"When this old world starts getting me down. And people are just too much for me to face. I climb way up to the top of the stairs. And all my cares just drift right into space. On the roof it's peaceful as can be. And there the world below can't bother me. Let me tell you now. When I come home feelin' tired and beat. I go up where the air is fresh and sweet. I get away from the hustling crowds. And all that rat race noise down in the street. Up on the roof. On the roof's the only place I know. Where you just have to wish to make it so. Oh, let's go up on the roof. At night the stars put on a show for free. And darling, you can share it all with me. I keep a-telling you. Right smack dab in the middle of town. I found a paradise that's trouble-proof. Up on the roof. So if this world starts getting you down. There's room enough for two, up on the roof. Up on the roof, everything is allright. Up on the roof, oh, come on, baby. Up on the roof. Up on the roof"
a natural woman,"Looking out on the morning rain. I used to feel uninspired. And when I knew I had to face another day. Lord, it made me feel so tired. Before the day I met you, life was so unkind. But your love was the key to peace of mind. Cause you make me feel, you make me feel,. You make me feel like a natural woman. When my soul was in the lost-and-found. You came along to claim it. I didn't know just what was wrong with me. Till your kiss helped me name it. Now I'm no longer doubtful of what I'm living for. And if I make you happy I don't need to do more. Cause you make me feel, you make me feel,. You make me feel like a natural woman. Oh, baby, what you've done to me. You make me feel so good inside. And I just want to be close to you. You make me feel so alive. Cause you make me feel, you make me feel,. You make me feel like a natural woman"
