call you (feat. nasri),"I can't change the way things are. Even though it feels wrong in my heart. Even though it kills me to breathe this air. See life does what it thinks is fair. When I'm driving through the night. With no strength left inside. Can I call you? Can I call you?. When the radio don't play. The song to ease my pain. Can I call you? (Can I call you?). Can I call you? (Can I call you?). Can I call you? Can I call you?. Can I call you? Can I call you?. Can I call you? Can I call you?. Can I call you? Can I call you?. See, I can't change the way things are. Even though it feels wrong in my heart. When I'm driving through the night. With no strength left inside. Can I call you? Can I call you?. When the radio don't play. The song to ease my pain. Can I call you? (Can I call you?). Can I call you? (Can I call you?). Can I call you? Can I call you?. Can I call you? Can I call you?. Maybe the stars will show me something. Something I can hold on to. And maybe the stars will show me something. Shine a light so I know it's you. Can I call you? Can I call you?. Can I call you? Can I call you?. Maybe the stars will show me something. Something I can hold on to. And maybe the stars will show me something. Shine a light so I know it's you. Can I call you? Can I call you?. Can I call you? Can I call you?"
take me home (feat. bebe rexha),"I'm falling to pieces. but I need this, yeah I need this. you my fault, my weakness. when did you turn so cold?. you cut me down to the bone. now you are dancing all over my soul. I'm falling to pieces, to pieces, to pieces. But I still stay cuz you're the only thing I know. so won't you take, oh. won't you take me home?. take me home, home, home. take me home, home, home. Round in circles, here we go. with the highest highs, and the lowest lows. but no one shakes me like you do. my best mistake was you. you're my sweet affliction. cuz you hurt me right, but you do it nice. round in circles, here we go... ooh yeah. But I still stay cuz you're the only thing I know. so won't you take, oh. won't you take me home?. take me home, home, home. take me home, home, home"
i like it loud,"Get this night off right. And turn the bass up. Blow my ear drums up. Just like a firetruck. Get this night off right. And turn the bass up,. Yeah, I like it loud. I like it loud. You know I like it loud, can't hear a f*cking sound. My ears are ringing now. Cause that's how we get down. Down, down, down. Now move your body so the rhythm can set you free. Another round and we can drown out our hearts beating. Just like a drug I let the music set me free. I like it loud, I like it loud. Chorus:. Get this night off right. And turn the bass up. Blow my ear drums up. Just like a firetruck. Get this night off right. And turn the bass up,. Yeah, I like it loud. I like it loud. Shaking through your legs, the way the sub drops. Feel it in your chest, the way your heart stops. Get this night off right. And turn the bass up,. Yeah, I like it loud. I like it loud. You know I like it loud. Than your old f*cking sound. You know I like it loud. Cause that's how we get down. bass up, bass up, bass up. Turn the bass up, bass up, bass up. up-up-up-up-up-up-up-up. Now move your body so the rhythm can set you free. Another round and we can drown out our hearts beating. Just like a drug I let the music set me free. I like it loud, I like it loud. Now move your body so the rhythm can set you free. Another round and we can drown out our hearts beating. Just like a drug I let the music set me free. I like it loud, I like it loud. I like it loud. You know I like it loud. Than your old f*cking sound. You know I like it loud. I like it loud. Chorus:. Get this night off right. And turn the bass up. Blow my ear drums up. Just like a firetruck. Get this night off right. And turn the bass up,. Yeah, I like it loud. I like it loud. Shaking through your legs, the way the sub drops. Feel it in your chest, the way your heart stops. Get this night off right. And turn the bass up,. Yeah, I like it loud. I like it loud. I like it loud. I like it loud. Yeah, I like it loud. I like it loud"
sexin' on the dance floor (feat. jeffree star),"Sexin' on the dancefloor,. getting hot hot, sexin' on the dancefloor. getting hot hot. Sexin' on the dancefloor. She got me looking, dancing like she don't give a damn. Her body's working, pumpin' to the sound of my jam. She got me sweating, and she don't even know. who I am.. She call me sleeping, and I ain't even drinking tonight. Feeling dizzy, and I ain't even tipsy,. I've been thinkin' bout you baby, baby all night long. Singing 1, 2, 3, 4... sexin' on the dancefloor!. I don't know what your daddy would do, girl. The way you work it baby, makes me wanna misbehave. I don't know what my daddy would do, boy. If you tell me hardcore, sexin' on the dancefloor!. Oh oh, you're the girl I've been looking for. Oh oh, cause sexin' on the dancefloor!. Oh oh, you're the girl I've been looking for all night!. getting hot hot Sexin' on the dancefloor. getting hot hot. Sexin' on the dancefloor. Hot and sweaty, I think it's time we'll take off our clothes. We're in the bedroom, she's moving like it still love the clock. Her dad is calling, I think it's time you'll turn off our phone (turn your phone off, girl). You feel erotic in every little thing that you do. We're gettin' naughty, and we ain't even tipsy. I've been thinkin' bout you baby, baby all night long. Singing 1, 2, 3, 4... sexin' on the dancefloor!. I don't know what your daddy would do, girl. The way you work it baby, makes me wanna misbehave. I don't know what my daddy would do, boy. If you tell me hardcore, sexin' on the dancefloor!. Oh oh, you're the girl I've been looking for. Oh oh, cause sexin' on the dancefloor!. Oh oh, you're the girl I've been looking for all night!. getting hot hot. Sexin' on the dancefloor. [Jeffree Star]. Cash Cash… Jeffree Star!. Hey slut!. Hurry up no time to waste.. It’s friday, Rebecca Black’s sittin’ on my face.. They say, That I’m always actin’ like a bitch! (Whatever). Take your clothes off, Baby suck this big stick.. This feels So primal, time to fuck you like an animal. I’m done, Wait... (haha) Who the hell are you?. Now I’m gonna let Cash Cash run a train on you…. I don't know what your daddy would, girl. But I don't really care, love it when you pull my hair. I don't know what my daddy would do. When 1, 2, 3, 4... sexin' on the dancefloor. I don't know what your daddy would do, girl. The way you work it baby, makes me wanna misbehave. I don't know what my daddy would do, boy. If you tell me hardcore, sexin' on the dancefloor!. Oh oh, you're the girl I've been looking for. Oh oh, cause sexin' on the dancefloor!. Oh oh, you're the girl I've been looking for all night!. Oh oh, you're the girl I've been looking for. Oh oh, cause sexin' on the dancefloor!. Oh oh, you're the girl I've been looking for all night!. getting hot hot. Sexin' on the dancefloor. getting hot hot. Sexin' on the dancefloor"
overtime,"Get down, get up again. Come on, come on move. Get down, get up again. Work it, do it overtime. Get down, get up again. Come on, come on right to down. Get up again, Work it, do it overtime. Work it, wo-wo-wo-work it. wo-wo-wo-work it do it overtime. Get down, get down. Get down, get up again. Come on, come on move. Get down, get up again. Get down, down. Get down. Get down, get up again. Come on, come on move. Get down, get up again. Work it, do it overtime. Get down, get up again. Come on, come on right to down. Get up again, work it, do it overtime. wo-wo-wo-work it do it overtime. A feeling that I know so well. Oh it's got me in it's spell. It's such a sweet sensation, oh, oh. Get down, get up again. Come on, come on move. Get down, get up again. Work it, do it overtime. Get down, get up again. Come on, come on right to down. Get up again, work it, do it overtime. The feeling that I know so well. Oh it's got me in it's spell. You got me burning up with your love. Oh it's got me in its spell"
party in your bedroom,"There's a party in your bedroom all night long. There's a party in your bedroom all night long. There's a lot of talk about you. Cause there's a party in your bedroom all night long. Pretty girl, it's your show, let it go,. when you're alone (x2). Lips sealed tight, don't say goodnight. Walking down the street keeping hush hush on the. scene. No one knows you, such a mystery. Opposite of fun, till you turn the power on.. Then you come out, turning up the heat. Upstairs all alone, one click for a show. Your roof is on fire you're losing control. There's a party in your bedroom all night long. There's a lot of talk about you. Cause there's a party in your bedroom all night long. Pretty girl, it's your show, let it go,. When you're alone. Lips sealed tight, don't say goodnight. Dancing with your hands turning strangers into. friends. Touch the keys please, and unlock my heart. You`re free to be a freak, change your picture every week. Show the camera, you're a superstar. Upstairs all alone, one click for a show. Your roof is on fire you're losing control. There's a party in your bedroom all night long. There's a lot of talk about you. Cause there's a party in your bedroom all night long. Pretty girl, it's your show, let it go, when you're alone. Lips sealed tight, don't say goodnight. It's no debate, when I think of you can't stay on. track. Cause I can't wait, can't stay on track can't hide the fact. You're all I want, you're all I need, let's get this party started, kick it hard just you and me. There's a party in your bedroom all night long. There's a lot of talk about you. Cause there's a party in your bedroom all night long. Pretty girl, it's your show, let it go, when you're alone. Lips sealed tight, don't say goodnight..."
tongue twister,"I want your tongue twister. You got me beggin for your head spinner. I want it, I want it. Lets get loud. Cause I can't fight the feeling of your tongue twister. I want it, I want it, I want it, I want it. (Get crazy). I Wanna get you in a tongue twister. tied up in a tongue twister. Wanna get you in a tongue twister. tied up in a tongue twister. I Wanna get you in a tongue twister. tied up in a tongue twister. Wanna get you in a tongue twister. tied up in a tongue twister. Yeah Im on a acen's diet (Yup). I need me or start a riot. (Uh-huh). Twilight, wanna sink my teeth in. (MM). So fine girl I must be dreamin'. (Yeah Girl). Grade A, your a dime with a a**, shakin' it right. makin' me forget my pass. Now move aside, cause I got that cash. Rich guys first, Nice guys last. Imma comin' in and you got me talkin'. It's about time, let my lips start walkin'. I wanna getcha in a tongue twister. tie you up so I can be your mister. Im's seeing double like sister, sister. Baby get real close cause I wanna kiss ya. Now you wanna make my head drop. getcha in ya sweet spot, gonna make you body go crazy. I want your tongue twister. You got me beggin for your head spinner. I want it, I want it. Lets get loud. Cause I can't fight the feeling of your tongue twister. I want it, I want your tongue twister. You got my body shakin' head spinner. I want it, I want it. One more time. I can't find the words to sing it. Tongue twister, I want it, I want it. I Wanna get you in a tongue twister. tied up in a tongue twister. Wanna get you in a tongue twister. tied up in a tongue twister. I Wanna get you in a tongue twister. tied up in a tongue twister. Wanna get you in a tongue twister. tied up in a tongue twister. Baby girl lets hit the road. so I can put the cream on your arlamo. All night till ya break a sweat. Now go and get your coat and a cigarette, yeahh. Ohh, Ohh, Ill take you hoomme. Ohh, Ohh, Ill make you mooaan. Ohh, Ohh, Ill take you hoomme. Ohh, Ohh, Ill make you mooaan. Wanna get you in a tongue twister. tied up in a tongue twister. Common boy. I want your tongue twister. (OOhh yeah). You got me beggin for your head spinner. (OOhh). I want it, I want it. Lets get loud. Cause I can't fight the feeling of your tongue twister. I want it, I want your tongue twister. (OOhhoohh). You got my body shakin' head spinner. I want it, I want it. One more time. I can't find the words to sing it. Tongue twister (Ohh). I want it, I want it. I Wanna get you in a tongue twister. tied up in a tongue twister. Wanna get you in a tongue twister. tied up in a tongue twister"
how to love,"One two three. I been running from the pain. Trying not to feel the same. But it's a shame that we're sinking. See my confidence is shaking. And my heart is feeling vacant. So you try to fill it in. You say ""I can fix the broken in your heart. You're worth saving darling"". But I don't know why you're shooting in the dark. I got faith in nothing. But love, pray for me. I never had somebody. So I don't know how to love. Pray for me. I know I need somebody. So I can learn how to love. I know it's been a while. Cause my memory's on trial. For the way I used to be. My head is running miles. Round in circles and I try. To find the little light in me. You say ""I can fix the broken in your heart. You're worth saving darling"". But I don't know why you're shooting in the dark. I got faith in nothing. But love, pray for me. I never had somebody. So I don't know how to love. Pray for me. I know I need somebody. So I can learn how to love. I know I need somebody. I know I need somebody. I know I need somebody. So I can learn how to love. How to love. How to love. So I can learn how to love. How to love. How to love. How to love. Love, love, love, love, love, love, oh. I know I need somebody. I know I need somebody. I know I need somebody. So I can learn how to love. (Need somebody now. How to love, love. How to love, love)"
millionaire (feat. nelly & digital farm animals),"I feel like a millionaire. I feel like a millionaire. Whenever she comes around. Whenever I hear her sound. I feel like a millionaire. I feel like a millionaire. Whenever she comes around. Whenever I hear her sound. She smell like money when she walk by. All heat, no smoke, but she on fire. If they suicide doors. then she gon' ride. She got that passport pussy cause she don't fly. no love. She gon' make you pay to see you work it. She only twerk it for a Birkin. I gotta see if shawty worth it. Hey, she must be the money. I feel like a millionaire. I feel like a millionaire. Whenever she comes around. Whenever I hear her sound. I feel like a millionaire. I feel like a millionaire. Whenever she comes around. Whenever I hear her sound. Shawty work her way, the way she go down. Shawty worth her weight, her weight in gold pounds. Call me young money. put that milli on me. She the reason why I keep. a milli on me. Shawty work her way, the way she go down. Shawty worth her weight, her weight in gold pounds. Call me young money. put that milli on me. Cause she the reason why I keep. a milli on me. She gon' make you pay to see you work it. She only twerk it for a Birkin. I gotta see if shawty worth it. Hey, she must be the money. She must be the money. She only looking like money. I feel like a millionaire. I feel like a millionaire. Whenever she comes around. Whenever I hear her sound. I feel like a millionaire. I feel like a millionaire. Whenever she comes around. Whenever I hear her sound. I feel like a. I feel like a. I feel like a. I feel like a millionaire. I feel like a millionaire. I feel like a millionaire. Whenever she comes around. Whenever I hear her sound"
your love,"I'd see her always hanging around, always hanging. around. night after night traffic light. she'd probably let me but i acted polite, acted. polite. cos times in my way. but there's a chance for us today. So, wrap me up in your love girl. yeah, just wrap me up in your love. oh i can't stop, with my love can't make you stay. and wrap me up in your love. you did what you did. then you hid but you still kept me hanging around. turn me upside down. you did what you did then you hid. now I'll never see you hanging around, hanging around. spot in the crowd singing loud. it's kind of lonely haven't seen you around haven't. seen you around. night after night traffic light. she would have let me now she's out of my sight out of. my sight. her eyes keep looking away like there's nothing left. to say. So, wrap me up in your love girl. yeah, just wrap me up in your love. oh i can't stop, with my love can't make you stay. and wrap me up in your love. So, wrap me up in your love girl. yeah, just wrap me up in your love. oh i can't stop, with my love can't make you stay. and wrap me up in your love. Biggest regret i'll ever have. ?leaving myself? for a check i could have cashed. and now i stand here waiting ready to make this work. So, wrap me up in your love girl. yeah, just wrap me up in your love. oh i can't stop, with my love can't make you stay. and wrap me up in your love. So, wrap me up in your love girl. yeah, just wrap me up in your love. oh i can't stop, with my love can't make you stay. and wrap me up in your love. wrap me up in your love"
