rockabyebaby,"Rock-a-Bye Baby. [Verse 1:]. Already got the pen with the crown. So pull motherfucker cocked to the side. Mink to the ground. Yeah Mink to the ground like the motherfucker drag on the floor. Got a runway strut even when a bitch walking to the store. But a bitch never walking. But a bitch never walkin that's why. I'm outta here, left you. Giuseppe smell like Jack fuel [?]. Bitches exit stage left. Couldn't step in my left shoe. Like Left Eye I burn it down. Queen Latifah, I set it off. They copy my every move. So it's rockabye ?till your head is off. [Hook:]. We be shinin like a diamond that your money can't buy. Search for a high that you're never gon' find. I ain't got time, tryna get mine. Ridin shotgun and I'm killin it. Bye-bye (baby) , rock-a-bye bye (baby). Bye, rock-a-bye (baby) , rock-a-bye bye (baby). Bye, rock-a-bye (baby) , Bye, rock-a-bye (baby). Bye-bye (baby) , rock-a-bye bye (baby). [Verse 2:]. [?]. I blow her brains out and hop on the truck. No talk, no dough. You know those on the motherfuckin ride?. [?]. Got my Gaga, poker face. And these weak bitches gon' fold up. So you better play your hand. [?]. [Hook]"
me & u,"U've been waiting so long. I'm here to answer your calls. I know that I shouldn't have had you waiting at all. I've been so busy. but I've been thinking 'bout- what I wanna do with you. I know them other guys. they've been talking 'bout the way I do what I do. They heard I was good, they wanna see if it's true. They know your the one I wanna give it to. I can see you want me too. Now it's Me & U. [Hook]. It's Me & U now (uh). I've been waiting (waitin). Think I'm gonna make that move now. Baby Tell me if you like it (tell me if you like it). It's Me & U now. I've been waitin. Think I'm gonna make that move now. Baby tell me if you like it. I was waitin for you to tell me you were ready. I know what to do if only you would let me. As long as your cool with it I'll treat ya right. Here is where you wanna be. I know them other guys. they've been talkin 'bout the way I do what I do. They heard I was good they wanna see if it's true. They know you r the one I wanna give it to. I can see you want me too. And now it's Me & U. [Chorus]. It's Me & U now (baby it's). I've been waitin (Me & U). Think I'm gonna make that move now. (I'm thinkin 'bout making that move). Baby tell me if you like it. (Tell me if you like it, uh huh, hey!). Think I'm gonna make that move now. (gonna make a move). Baby tell me if you like it. Baby I'll love you all the way down (uh). Get you right where you like it. I promise you'll like it (I swear). Just relax and let me make that move. (It's our secret babe). We'll keep it between Me & U. [Chorus]. It's Me & U now (oh yeah, yeah). I've been waitin. Think I'm gonna make that move now (move now). Baby tell me if you like it (tell me if you like it). It's Me & U now (yeah, yeah, uh). I've been waitin. Think I'm gonna make that move now. (gonna make a move now). Baby tell me how you like it (uh huh). It's Me & U now (me and u). I've been waitin (its just me and u). Think I'm gonna make that move now (its just us two). Baby tell me if you like it (its just me and you now)"
me & u (remix),"Ray J-. ah RJ kelz for the wooooorld to see. Ray J-. I mean a half on what's going down tonight. Bet I'm gon pop that chris tonight. Bet shorty coming out them clothes tonight. Get the telly, slap the skin all night. I'ma drop the top, hit the club all night. I'ma sex you wet, all the thugs be like. Yo, was up mama, whatchu doing tonight?. How would you like to roll on 24's tonight?. If you pimp heartbreaker when you do that booty shaka. All out hustla, and the money *maker. You're good to your man, but I know *shit, nigga. Come holla atcha boy, I'm about that paper. Cassie-. You've been waiting so long. I'm hear to answer your call. I know that I shouldn't have had you waiting at all. I've been so busy, but I've been thinking about what I wanna do with you. Bridge-. I know them other guys, they been talking bout the way I do what I do. They heard I was good, they wanna see if it's true. They know you're the one I wanna give it to. I can see you want me too. Now, it's me and you. Chours-. It's me and you, now. I've been waiting (Waiting). Think I wanna make that move, now. Baby, tell me if you like it (Tell me if you like it). It's me and you, now. I've been waiting. Think I wanna make that move, now. Baby, tell me *if you like it. Cassie-. I was waiting for you to tell me you were ready. I know what to do, if only you would let me. As long as you're cool with it, I'll treat you right. Here is where you wanna be. Bridge-. I know them other guys, they been talking bout the way I do what I do. They heard I was good, they wanna see if it's true. They know you're the one I wanna give it to. I can see you want me too. And now, it's me and you. Chours-. it's me and you now (Baby, it's me and you). I've been waiting. Think I wanna make that move, now (Thinking bout making that move). Baby, tell me if you like it (Tell me if you like it). It's me and you, now (Uh-huh). I've been waiting (Hey). Think I wanna make that move, now (Wanna make a move). Baby, tell me how you like it (Yea). Cassie-. Baby, I'll love you all the way down. Get cha right where you like it, I promise you'll like it (I swear). Just relax and let me make that move (It's our secret thang). Keep it between me and you. Chours-. It's me and you, now (Oh Yea-a). I've been waiting. Think I wanna make that move, now (Move now). Baby, tell me if you like (Tell me if you like it). It's me and you, now (Yea). I've been waiting. Think I wanna make that move, now (Gonna make a move now). Baby, tell me how you like it. It's me and you. Ray J-. Get cha glass ready. Yep, your songs on. She's getting so hot, she can't keep her clothes on. Ray mack and Kells, hotels for Cassidy. We take it to the tour bus, this ones nasty. You can see if she's cluck, and here's my introduction. And, we can do it all damn night with no interruption. Chingy or Nelly, it's your boy Durell. Getting big spends with Ray J and Durelly. Chours-. It's me and you, now (Oh Yea-aa). I've been waiting. Think I wanna make that move, now (Move now). Baby, tell me if you like it (Tell me if you like it). It's me and you, now (Yea). I've been waiting. Think I wanna make that move, now (Gonna make a move now). Baby, tell me how you like it (Uh-huh). It's me and you, now (Me and you). I've been waiting (It's just me and you). Think I wanna make that move, now (It's just you). Baby, tell me if you like it (It's just me and you, now). It's me and you, now (I've been waiting). I've been waiting (You know I've been waiting). Think I wanna make that move now (Gonna make a move, now). Baby Tell me how you like it"
long way 2 go,"Verse 1:. I love it when they try to get intimate. Even through they know I really ain't into it. (You're not into it?). I'm not into it. I already know they game and I've been through it. See I buy my own bags, my boots, my jeans. Wear La Rok with my Rebel Yell underneath. You wanna step to me?. Said you gotta' long way 2 go. (Rock wit me now). Hook: Claim that you're so hott and you say you got skills in the bedroom. You try to flirt when you're so not. Had a chance you still never come through. You say you wanna come see me. Cuz' you know you're girlfriend wanna be me (uh). I'ma tell you why you can't. Said you gotta long way 2 go. Say you wanna love me ?. Chorus:. Wanna love me?. Wanna touch me?. Think twice cuz' you gotta long way 2 go. Don't know how to act. You betta' fall back. It's like that cuz you gotta long way 2 go. It's not that deep. Take it easy. You wanna please me?. Got a long way 2 go. I'ma bad girl. You wanna get close?. Ease up cuz you gotta a long way-. Verse 2:. I love it when they try to gat scandalous. Even though they know they really can't handle it. ( They can't handle it?). They can't handle it. Try and take me out to dinner I cancel it. If you really wanna know me first of all. You should never try to get to personal. Cuz' i meant it when i said. That you gotta long way to go. Hook: Claim that you're so hott and you say yo got skills in the bedroom. You try to flirt when you're so not. Had a chance you still never come through. You say you wanna come see me. Cuz' you know you're girlfriend wanna be me (uh). I'ma tell you why you can't. Said you gotta long way 2 go. Say you wanna love me ?. Chorus:. Wanna love me?. Wanna touch me?. Think twice cuz' you gotta long way 2 go. Don't know how to act. You betta' fall back. It's like that cuz you gotta long way 2 go. It's not that deep. Take it easy. You wanna please me?. Got a long way 2 go. I'ma bad girl. You wanna get close?. Ease up cuz you gotta a long way-. Bridge:. Claim that you're so hott and you say yo got skills in the bedroom. You try to flirt when you're so not. Had a chance you still never come through. You say you wanna come see me. Cuz' you know you're girlfriend wanna be me. Said you gotta' long way to go. Chorus:. Wanna love me?. Wanna touch me?. Think twice cuz' you gotta long way 2 go. Don't know how to act. You betta' fall back. It's like that cuz you gotta long way 2 go. It's not that deep. Take it easy. You wanna please me?. Got a long way 2 go. I'ma bad girl. You wanna get close?. Ease up cuz you gotta a long way 2 go."
i know what you want,"(Hook). I know what you want, I know what you want. I know what you want, I know what you want. I know what you want, I know what you want. I know what you want. You want everything, so let's do everything. (Verse). I'm in a two-door, I'm in a new lane. I gotta know my name, I need a new name. I know what you want. (Hook). I know what you want, I know what you want. I know what you want. You want everything, so let's do everything. (Verse). They moving too slow, we are a new play. So high I lift funny, your love is not safe. (Hook). I know what you want, I know what you want. I know what you want. You want everything, so let's do everything. Man down, where you're from, nigger. Fuck who you know, where you're from, my nigger?. Where your grandma stay home my nigger. Best rockabye I've grown my nigger"
sound of love,"Okay, you have me sprung from day 1. Right off the jump baby. Your voice is like the sweetest melody, yeah, yeah, yeah. Ok like a number 1 my favorite song you off the charts baby. Together we’re like perfect harmony, yeah, yeah, yeah. I could lay up all day, would you let the music play. Love the way it feels here in your arms, yeah. We can go out at night, kiss under the city lights. Just, just, just don’t stop what you doing, doing, doing. Boy you make my heart pam pam pam param pam pam. Pounding on my chest bip bip bip just like a drum. Music to my ears, ram pam pam param pam pam. Tonight we gonna turn this up. Cause it’s the sound of love, love, love, love. The sound of love, love, love. Cause it’s the sound of love, love, love. The sound of love. Baby you and me have been equal to a symphony. Boy you keep me dancing on my feet, yeah, yeah, yeah. Baby you’re my star, a work of art, a master piece. Boy let’s keep this going on repeat, yeah, yeah, yeah. I could lay up all day, would you let the music play. Love the way it feels here in your arms, yeah. We can go out at night, kiss under the city lights. Just, just, just don’t stop what you doing, doing, doing. Boy you make my heart pam pam pam param pam pam. Pounding on my chest bip bip bip just like a drum. Music to my ears, ram pam pam param pam pam. Tonight we gonna turn the sound. Cause it’s the sound of love, love, love, love. The sound of love, love, love. Cause it’s the sound of love, love, love. The sound of love. L is for the life you breathe in me. O I can’t believe this feeling. V is for the vacancy you fill in me. Tonight we gonna turn it up. Cause this is the sound of love. Pam pam pam param pam pam. Pounding on my chest bip bip bip just like a drum. Music to my ears, ram pam pam param pam pam. Tonight we gonna turn the sound. Cause it’s the sound of love, love, love, love. The sound of love, love, love. Cause it’s the sound of love, love, love. The sound of love."
can you feel me,"I know you sensin me missin you. Must be feeling a vibe. My heart is on fire, about to explode. Theres too much space between me and you. Gets hard over time, its a crime. I'm hoping my love overflows. And finds its way for me. Into your arms, where I belong. Come to me. I'm sending love at lightning speed. I've been in need since you've been gone. Heres my love, reaching you like I wanted. Call my name and I'll come running. Lovesick, boy I need you to heal me. Can you feel me?. Can you feel me?. Can you feel me?. Ca-ca-ca Can you feel me?. Ca-ca-ca Can you feel me? (me, me, me, me, me). Can you feel me?. Ca-ca-ca Can you feel me?. Ca-ca-ca Can you feel me? (me, me, me, me, me). Impulse is urging you to get closer to me. You're wondering why its so intense in your mind. Don't go against what you know. I'm where you wanna be. I'm hoping my love will fly. And find its way for me. Into your arms, where I belong. Come to me. I'm sending love at lightning speed. I've been in need since you've been gone. Heres my love, reaching you like I wanted. Call my name and I'll come running. Lovesick, boy I need you to heal me. Can you feel me?. Can you feel me?. Heres my love, reaching you like I wanted. Call my name and I'll come running. Lovesick, boy I need you to heal me. Can you feel me?. Can you feel me?. Feel me. Ca-ca-ca Can you feel me?. Ca-ca-ca Can you feel me? (me, me, me, me, me). Can you feel me?. Ca-ca-ca Can you feel me?. Ca-ca-ca Can you feel me? (me, me, me, me, me). I'm touching you, though you don't feel my hands on your skin. I'm loving you from a distance until there no end. You feel the vibration I make through the sound waves. Your love is my lifeline, I need to be saved. Feel me. Ca-ca-ca Can you feel me?. Ca-ca-ca Can you feel me? (me, me, me, me, me). Can you feel me?. Ca-ca-ca Can you feel me?. Ca-ca-ca Can you feel me? (me, me, me, me, me)"
paradise (feat. wiz khalifa),"So hot, don't know what to do. Cuz I'm so shy, I'm fucking with you. I'm f*cking with you. I know what I wanna, no shame no hating. But if that's your date, then you need a replacement. No shame no hating, no lines, no waitin'. No body language, no conversation. Just meet me in the back of the room. When I find out that you will. I wanted to do it here. I think we should make it. You can be my souvenir, yeah. Cause kissing you was very nice. The rest of you was paradise. You shook me like a paradise. Got me rolling like a paradise. I be f*cking with him every night. F*cking with him every night. I know what I wanna. No wait no patients. Don't trip, Don't say shit. Private Location. No shade, No hatin'. Your girl can't say shit. Loud body language, No conversation. Just let me do whatever with you. Give me some I'm not scared. Give it back, yea I'll share. Vacation at my place. I can be your souvenir. Yeah, cuz kissin' you was very nice. The rest of you is paradise. I walked in through the back. Can't go through the front. My engine go in the back, truck go in the front. She was giving me brains when I was rolling with her. When I shoot it I score. When I hit it she jumps. Don't see no keys when I'm pulling up these. When I'm pulling up he's really"
thirsty,"T H I R S T Y, what?. T H I R S T Y, what?. T H I R S T Y, what?. Thirsty Ah, Thirsty Ah. Picture this while you drive. On the late night over here your in that dust. So try to survive. But it's hot out there. All alone, by yourself. Wondering each mouth...when will it be over?. Run out of breath and you need my help. And you say that's your thirsty. You're Thirsty, so thristy it's not my fault. You had a glass waiting for you. But you ain't come. That's how you feel. What you want. And you shouldn't try to front. Keep it real. Do me that. Now your tryna get me back, Oh. T H I R S T Y. You're so thirsty. You're so thirsty. T H I R S T Y. Oh,. Come and get me. Come and get me. Gonna drip down your mouth. I'm a tease you show you what you been missing. Lay with me tonight I'll let you get another sip. Appreciate what you get. Cause it's someone who act like he ain't want it. No I ain't forget. Beggin` me to give you this. And you say that your thirsty. You're Thirsty, so thristy it's not my fault. You had a glass waiting for you. But you ain't come. That's how you feel. What you want. And you shouldn't try to front. Keep it real. Do me that. Now your tryna get me back, Oh. Ooh I got you dreaming. Wishing you was in the deep end. Here we could be fully submurdged. Mmm, I think about it. I doubt I should make you live without it. & keep you dying of thirst. I'm just playing wit`chu. You're Thirsty, so thristy it's not my fault. You had a glass waiting for you. But you ain't come (and you say that your thirsty). That's how you feel. What you want. Then you shouldn't try to front. Keep it real. Do me that. Now your tryna get me back, Oh. T H I R S T Y. Your so thirsty. Your so thirsty. T H I R S T Y. Oh,. Come and get me. Come and get me"
skydiver,"Not hard to prove. Both eyes closed. Proof my lies. Take the bad and ill be right behind ya. And if love falls, why hesitate at all. I cut that rope, Para shoot down. I was jumping off a bridge and im going …. Theres only one way to go and its not that way running for no reason. And now hes running for my way. First time with you-ah you-ah. Risk taker just kiss me now. Forget oh you skydiver. Come down breathing my sky diver. From high up. Just to find ya and fall with you skydiver. My skydiver , I fall with you say fall (fall fall x4). Fall with you say. And I move through you too. My high dry words get lost full speed love and im falling right behind ya. Crash land, as hard as we can. Whole world shook, we don’t care. Walk away from everything am going into my land. Theres only one way to go and its not that way running for no reason. And now hes running for my way. First time with you-ah you-ah. Risk taker just kiss me now. Forget oh you skydiver. Come down breathing my sky diver. From high up. Just to find ya and I fall with you skydiver. My skydiver , I fall with you say fall. No I'm not afraid of leaving the ground. Baby if you wana go down im down yea (im down im down yea). And your love is really filling me down. I'm not afraid of hitting the ground. I'm down im down yea im down im down yea. Risk taker just kiss me now. Forget oh you skydiver. Come down breathing my sky diver. From high up. Just to find ya and I fall with you skydiver. My skydiver , I fall with you say fall (fall fall x). Fall with you say"
