father and son,"It's not time to make a change. Just relax, take it easy. You're still young, that's your fault. There's so much you have to know. Find a girl, settle down. If you want, you can marry. Look at me, I am old. But I'm happy. I was once like you are now. And I know that it's not easy. To be calm when you've found. Something going on. But take your time, think a lot. I think of everything you've got. For you will still be here tomorrow. But your dreams may not. How can I try to explain. When I do he turns away again. And it's always been the same. Same old story. From the moment I could talk. I was ordered to listen. Now there's a way and I know. That I have to go away. I know I have to go. It's not time to make a change. Just sit down and take it slowly. You're still young that's your fault. There's so much you have to go through. Find a girl, settle down. If you want, you can marry. Look at me, I am old. But I'm happy. All the times that I've cried. Keeping all the things I knew inside. And it's hard, but it's harder. To ignore it. If they were right I'd agree. But it's them they know, not me. Now there's a way and I know. That I have to go away. I know I have to go"
wild world,"Now that I've lost everything to you. You say you wanna start something new. And it's breakin' my heart you're leavin'. Baby, I'm grievin'. But if you wanna leave, take good care. I hope you have a lot of nice things to wear. But then a lot of nice things turn bad out there. Chorus:. Oh, baby, baby, it's a wild world. It's hard to get by just upon a smile. Oh, baby, baby, it's a wild world. I'll always remember you like a child, girl. You know I've seen a lot of what the world can do. And it's breaking my heart in two. Because I never wanna see you sad, girl. Don't be a bad girl. But if you wanna leave, take good care. I hope you make a lot of nice friends out there. But just remember there's a lot of bad and beware. Chorus. Baby, I love you. But if you wanna leave, take good care. I hope you make a lot of nice friends out there. But just remember there's a lot of bad and beware. Chorus"
morning has broken,"Morning has broken, like the first morning. Blackbird has spoken, like the first bird. Praise for the singing, praise for the morning. Praise for the springing fresh from the world. Sweet the rain's new fall, sunlit from heaven. Like the first dewfall, on the first grass. Praise for the sweetness of the wet garden. Sprung in completeness where his feet pass. Mine is the sunlight, mine is the morning. Born of the one light, eden saw play. Praise with elation, praise every morning. God's recreation of the new day."
heaven (where true love goes),"The moment you walked inside my door. I knew that I need not look no more,. I've seen many other souls before - ah but,. Heaven must've programmed you. The moment you fell inside my dreams. I realized all I had not seen,. I've seen many other souls before - ah but,. Heaven must've programmed you.. Oh will you? Will you? Will you?. I go where True Love goes,. I go where True Love goes. I go where True Love goes,. I go where True Love goes. And if you walk along and if you lose your way,. Don't forget the one who gave you this today. Follow True Love, follow True Love,. Follow True Love, follow True Love. Oh will you? Will you? Will you?. I go where True Love goes,. I go where True Love goes. I go where True Love goes,. I go where True Love goes. And if a storm should come and if you face away,. That may be the chance for you to be safe. And if you make it through the trouble and the pain,. That may be the time for you to know his name. The moment you walked inside my door. I knew that I need not look no more,. I've seen many other souls before - ah but,. Heaven must've programmed you. The moment you fell inside my dreams. I realized all I had not seen,. I've seen many other souls before - ah but,. Heaven must've programmed you.. The moment you said ""I will"". I knew that this love was real,. And that my faith was seen - oh. Heaven must've programmed you. The moment I looked into your eyes. I knew that they told no lies,. There would be no good byes - Ah. 'cause Heaven must've programmed you. I go where True Love goes,. I go where True Love goes. I go where True Love goes,. I go where True Love goes"
oh very young,Oh very young. What will you leave us this time. You're only dancing on this earth for a short while. And though your dreams may toss and turn you now. They will vanish away like your daddy's best jeans. Denim Blue fading up to the sky. And though you want him to last forever. You know he never will. (You know he never will ). And the patches make the goodbye harder still. Oh very young. What will you leave us this time. There'll never be a better chance to change your mind. And if you want this world to see a better day. Will you carry the words of love with you. Will you ride the great white bird into heaven. And though you want to last forever. You know you never will. (You know you never will ). And the goodbye makes the journey harder still. Oh very young. What will you leave us this time. You're only dancing on this earth for a short while. Oh very young. What will you leave us this time
lady d'arbanville,"My Lady d'Arbanville, why do you sleep so still?. I'll wake you tomorrow. and you will be my fill, yes, you will be my fill.. My Lady d'Arbanville why does it grieve me so?. But your heart seems so silent.. Why do you breathe so low, why do you breathe so low,. My Lady d'Arbanville why do you sleep so still?. I'll wake you tomorrow. and you will be my fill, yes, you will be my fill.. My Lady d'Arbanville, you look so cold tonight.. Your lips feel like winter,. your skin has turned to white, your skin has turned to. white.. My Lady d'Arbanville, why do you sleep so still?. I'll wake you tomorrow. and you will be my fill, yes, you will be my fill.. La la la la la..... My Lady d'Arbanville why does it grieve me so?. But your heart seems so silent.. Why do you breathe so low, why do you breathe so low,. I loved you my lady, though in your grave you lie,. I'll always be with you. This rose will never die, this rose will never die.. I loved you my lady, though in your grave you lie,. I'll always be with you. This rose will never die, this rose will never die."
where do the children play?,"Well I think it's fine, building jumbo planes.. Or taking a ride on a cosmic train.. Switch on summer from a slot machine.. Yes, get what you want to if you want, 'cause you can get anything.. I know we've come a long way,. We're changing day to day,. But tell me, where do the children play?. Well you roll on roads over fresh green grass.. For your lorry loads pumping petrol gas.. And you make them long, and you make them tough.. But they just go on and on, and it seems that you can't get off.. Oh, I know we've come a long way,. We're changing day to day,. But tell me, where do the children play?. Well you've cracked the sky, scrapers fill the air.. But will you keep on building higher. 'til there's no more room up there?. Will you make us laugh, will you make us cry?. Will you tell us when to live, will you tell us when to die?. I know we've come a long way,. We're changing day to day,. But tell me, where do the children play?"
how can i tell you,"How can I tell you that I love you... I love you. But I can't think of right words to say. And I long to tell you that I'm always thinking of you. I'm always thinking of you. But my words just blow away. Just blow away. It always ends up to one thing honey. And I can't think of right words to say. wherever Iam, girl, I'm always walking with you. I'm always walking with you. But I look and you're not there. Whomever I'm with, I'm always always talking to you. I'm always talking to you. And I'm sad that you can't hear. Sad that you can't hear. It always ends up to one thing honey. When I look and you're not there. I need to know you. Need to feel my arms around you, feel my arms around you. Like sea around the shore. Each night and day I pray. And hope that I might find you. And hope that I might find you. Because hearts can do no more. Can do.... It always ends up to one thing honey. Still I kneel upon the floor. How can I tell you that I love you... I love you. But I can't think of right words to say. I long to tell you that I'm always thinking of you. I'm always thinking of you. It always ends up to one thing honey. And I can't think of right words to say"
peace train,"Now, I've been happy lately,. Thinkin' about the good things to come. And I believe it could be;. Something good has begun.. Oh, I've been smilin' lately,. Dreamin' about the world as one. And I believe it could be;. Some day it's going to come. 'Cause out on the edge of darkness,. There rides a peace train.. Oh, peace train take this country.. Come take me home again.. Now, I've been smiling lately,. Thinkin' about the good things to come. And I believe it could be;. Something good has begun.. Oh, peace train soundin' louder.. Glide on the peace train.. Ooh, ah, ee, ah, ooh, ah.. Come on, now peace train.. Yes, peace train holy roller.. Everyone jump on the peace train.. Ooh, ah, ee, ah, ooh, ah.. Come on, now peace train.. Get your bags together.. Go bring your good friends too. Because it's gettin' nearer;. It soon will be with you.. Now, come and join the livin'.. It's not so far from you. And it's gettin' nearer;. Soon it will all be true.. Oh, peace train soundin' louder.. Glide on the peace train.. Ooh, ah, ee, ah, ooh, ah.. Come on, now peace train.. Peace train.. Now, I've been cryin' lately,. Thinkin' about the world as it is.. Why must we go on hating?. Why can't we live in bliss?. 'Cause out on the edge of darkness,. There rides a peace train.. Oh, peace train take this country.. Come take me home again.. Oh, peace train soundin' louder.. Glide on the peace train.. Ooh, ah, ee, ah, ooh, ah.. Come on, now peace train.. Yes, peace train holy roller.. Everyone jump on the peace train.. Ooh, ah, ee, ah, ooh, ah.. Come on, come on, come on.. Yeah, come on, peace train.. Yes, it's the peace train.. Ooh, ah, ee, ah, ooh, ah.. Come on, now peace train.. Peace train.. Ooh, ah, ee, ah, ooh, ah."
you are my sunshine,"You are my sunshine, my only sunshine. You make me happy when skies are grey. You never know, oh, how much I love you. Please don't take my sunshine away. The other night, as I lay sleeping. I dreamt a light entered my heart. When I awoke, I was mistaken. Ah, but the curtains were still blown apart. You are my sunshine, my only sunshine. You make me happy when skies are grey. You never know, how much I love you. Please don't take my sunshine away. My mama once told me. What a soul should know. It's about the devil, and I hate him so. He'll be crying, if we don't frown. And keep on smiling. He'll stop hanging round. You are my sunshine, my only sunshine. You make me happy when skies are grey. You never know, how much I love you. Oh, please don't take my sunshine away"
the wind,"I listen to the wind. to the wind of my soul. Where I'll end up well I think,. only God really knows. I've sat upon the setting sun. But never, never never never. I never wanted water once. No, never, never, never. I listen to my words but. they fall far below. I let my music take me where. my heart wants to go. I swam upon the devil's lake. But never, never never never. I'll never make the same mistake. No, never, never, never."
don't be shy,"Don't be shy just let your feelings roll on by. Don't wear fear or nobody will know you're there. Just lift your head, and let your feelings out instead. And don't be shy, just let your feeling roll on by. On by. You know love is better than a song. Love is where all of us belong. So don't be shy just let your feelings roll on by. Don't wear fear or nobody will know you're there. You're there. Don't be shy just let your feelings roll on by. Don't wear fear or nobody will know you're there. Just lift your head, and let your feelings out instead. And don't be shy, just let your feeling roll on by."
(remember the days of the) old schoolyard,"Remember the days of the old schoolyard. We used to laugh a lot, oh don't you. Remember the days of the old schoolyard. When we had imaginings and we had. All kinds of things and we laughed. And needed love... yes, I do. Oh and I remember you. Remember the days of the old schoolyard. We used to cry a lot, oh don't you. Remember the days of the old schoolyard. When we had simplicity and we had. Warm toast for tea and we laughed. And needed love.. yes, I do. Oh and I remember you. You were my sweet love, my first sweet love. My lovey dove, my love lovey dove. No matter what place, whichever the place. I still see your face, your smiling face. In childish dreams, inside my dreams. Like King and Queen, God save our dreams. N'though time may face, though time may fade. It ain't never too late, to learn about love. Learn about love. Remember the days of the old schoolyard. We used to laugh a lot, oh don't you. Remember the days of the old schoolyard. When we had imaginings and we had. All kinds of things and we laughed. And needed love... yes, I do. Oh and I remember you."
how many times,"How many times must I get up. Look out and see the same old view. How many times must I wear the same old things. And hear the same old things that I do, I do. How many times must I clean this face my face. And how many times must I shine my shoes, oh Lord. How many times must I drink the same old drink. And dream the same old dreams that I do. Because I, I know one thing. There ain't nothing that could ever ease the pain. But for your line and mine. I want that loving again. How many times must I pass your place. your place. And how many times must I follow you, you. How many times must I see the same old things. When all I should be seeing is you. Because I, I know one thing. There ain't nothing that could ever ease the pain. But for your line and mine"
another saturday night,"Another Saturday night and I ain't got nobody. I've got some money 'cause I just got paid. Now, how I wish I had someone to talk to. I'm in an awful way. I got in town a month ago. I seen a lot of girls since then. If I could meet 'em I could get 'em. But as yet I haven't met 'em. That's how I'm in the state I'm in. Oh,. Another Saturday night and I ain't got nobody. I've got some money 'cause I just got paid. Now, how I wish I had someone to talk to. I'm in an awful way. Another fella told me. He had a sister who looked just fine. Instead of bein' my deliv'rance. She had a strange resemblance. To a cat named Frankenstein. Ooh, la,. Another Saturday night and I ain't got nobody. I've got some money 'cause I just got paid. Now, how I wish I had someone to talk to. I'm in an awful way. It's hard on a fella. When he don't know his way around. If I don't find me a honey. To help me spend my money. I'm gonna have to blow this town. Oh, no. Another Saturday night and I ain't got nobody. I've got some money 'cause I just got paid. Now, how I wish I had someone to talk to. I'm in an awful way"
don't let me be misunderstood,"People, do you understand me now,. If sometimes I feel a little mad. Don't you know no one alive can. Always be an angel. When things go wrong I seem a little sad. But I'm just a soul whose intentions are good. Oh Lord, please don't let me be misunderstood. You know sometimes, I'm so carefree. With a joy that's hard to hide. Sometimes seems that all I have is worry. And then you're bound to see my other side. But I'm just a soul whose intentions are good. Oh Lord, please don't let me be misunderstood. If I seem edgy, I want you to know. That I never mean to take it out on you. Life has its problems and I get more. Than my share. But that's one thing I never mean to do. I don't mean it. People, don't you know I'm only human. Don't you know I have faults like any one. But sometimes I find myself alone regretting. Some little thing; some foolish thing. That I have done,. But I'm just a soul whose intentions are good. Oh Lord, please don't let me be misunderstood. Don't let me be misunderstood. I'm just someone whose intentions are good. Don't let me be misunderstood,. Don't let me be misunderstood"
100 i dream,"They brang us up with hornns and hollywooden songs. Dead snakes and poisoned wisdoms between our teeth. The evil that's been done sitll is carrying on. And on this night there'll be no peace. The old leaders' bones still beat on our homes. They built our life before us, we had no choice. The evil that's been done still is carring on. And when they're done we will be the voice. Blue bird on a rock, slow wind blowing soft. Across the bare face of the sleeping lake. Rise up and be free, voice whispered to me. And in this way you will awake. Go climb up a hill, stand perfectly still. And silently soak up the day. Don't rush and don't you roam, don't feel so alone. And in this way you will awake. And in this way you will awake. And this way you will awake. Pick up the pieces you see before you. Don't let your weaknesses destroy you. You know wherever you go the world will follow. So let your reasons be true to you. Stay close to your friends up until the end. And when they know that you feel the same way. Rise up and be free and die happily. And in this way you will awake. And in this way you will awake. And this way you will awake."
here comes my baby,"In the midnight moonlight. I'll be walking a long and lonely mile.. And every time I do,. I keep seeing this picture of you.. Here comes my baby, here she comes now,. And it comes as no surprise to me, with another guy.. Here comes my baby, here she comes now,. Walking with a love, with a love that's all so fine,. Never could be mine, no matter how I try.. You never walk alone, and you're forever talking on the phone.. I've tried to call you names, but every time it comes out the same.. Here comes my baby, here she comes now,. And it comes as no surprise to me, with another guy.. Here comes my baby, here she comes now,. Walking with a love, with a love that's all so fine,. Never could be mine, no matter how I try.. I'm still waiting for your heart, cuz I'm sure that some day it's gonna start.. You'll be mine to hold each day, but 'til then this is all that I can say.. Here comes my baby, here she comes now,. And it comes as no surprise to me, with another guy. Here comes my baby, here she comes now,. Walking with a love, with a love that's all so fine"
i love my dog,"I love my dog as much as I love you. But you may fade, my dog will always come through.. All he asks from me is the food to give him strength. All he ever needs is love and that he knows he'll get. So, I love my dog as much as I love you. But you may fade, my dog will always come through.. All the pay I need comes shining through his eyes. I don't need no cold water to make me realize that. I love my dog as much as I love you. But you may fade, my dog will always come through.. Na, na, na, na, na, na, nana.... I love my dog as much as I love you. But you may fade, my dog will always come through.. Na, na, na, na, na, na, nana.... I love my dog, Baby, I love my dog. Na, na, na...."
o caritas,"hunc ornatum mundi. nolo perdere. video flagrare. omnia res. audio clamare. homines. nune extinguitur. mund(i) et astrorum lamen. nune concipitur. mali hominis crimen. tristetat(e) et lacrimis. gravis est dolor. de terraeque maribus. magnus est clamor. O caritas, O caritas. nobis semper sit amor. mos perituri mortem salutamus. sola resurgit vita. Ah, this world is burning fast. Oh, the world will never last. I don't want to lost it here in my time. Give me time forever here in my time.. Translation of Latin:. (I don't want to lose the harmony of the universe. I see all things... burning, I hear men... shouting.. Now is the light of the world and the stars going out. Now does the blame for the disaster fall upon men.. Grief is heavy with sadness and tears. Great is the noise from the earth and the seas. O love, O love be with us always.."
you can do (whatever),"You can do whatever you want to do. Anything you want? you can do. You can ride a tiger or walk the dog. Anything you wish can be true. You can watch the world as it passes by. Or you can make it stop for you. You can stay at home or brave a storm. When the blizzard blows. You can dance around in the rain. Or watch from the window. You can lay in bed and do nothing. Or rise and shine. You can take whatever comes around. But please don't take what's mine. You can do whatever you want to do. Anything you want? you can do. You can say whatever you wish to say. But if you do then, please make it true. You can chase a dream in the black of night. Or you can make it walk to you. Ooh, ooh. Ooh, ooh. Ooh, ooh. Ooh. You can treat the world like a piece of dust. Or a pot of gold. You can be a child in your heart. Or you can grow old. You can laze around in your jeans. Or put on a suit. You can be the be the boss of the company. Or just join the queue. You can close your eyes to the dark. Or make it bright. You can't stop the wrongs of the world. If you can't make it right. You can hide at home. When the soldiers start to march out. You can listen to what they say. Or you can shout!"
