under the sun,"We all got light days. Gets stuck in the face. I can see the sun is shining bright right on through the haze. I complain to say. Is this really my life. Now that I'm over you, and I'm sober too. I can finally feel alive. But I won't give you my heart,. Cause it don't break twice. Just to let you know, let you know. And if you play the part, and play it real nice. Baby I'll let go, I'll let go. I'm sure you'll tell me anything under the sun. Like how you think I'm special and the only one. Cause normally I'll probably just get up and run. But you're looking so damn good to me under the sun. Under the sun. Are we on the same page, don't need to play. All these games just to get a little. Feel the sunshine on my face. And I feel pain, today,. Is this really my life. Now that I'm over you, and I'm sober too. I can finally feel alive. But I won't give you my heart,. Cause it don't break twice. Just to let you know, let you know. And if you play the part, and play it real nice. Baby I'll let go, I'll let go. I'm sure you'll tell me anything under the sun. Like how you think I'm special and the only one. Cause normally I'll probably just get up and run. But you're looking so damn good to me under the sun. Well do you get, do you get what I need, na na na. Could you show me something that I want to see, na na na na na. And maybe you can get underneath, na na na na na. If you watch the sun go down on me, na na na na na. Go down on me!. I'm sure you'll tell me anything under the sun. Like how you think I'm special and the only one. Cause normally I'll probably just get up and run. But you looking so damn good to me under the sun"
it's about time,"I'm asking myself if living without a feeling is really living. Is having everything any good. If everything's all you have. I locked myself away. I became untouchable. Got colder by the day. Dreaming of blue skies. Nothing in my way, just the person in the mirror. Take me to the flame. It's now or never. It's about time that I start loving again. It's about time the sunshine touches my skin. I won't give in til my heart beats again. Will somebody show me what I've been missing. Yeah, it's about time that I start loving again. For all that time I was so scared of flying so I stuck to the running. But I'm not running anymore. I'm dancing my nights away. Now I'm wide awake. I've got my eye on the horizon. Watch me fly away. Into the blue sky. Nothing in my way, just the person in the mirror. Take me to the flame. It's now or never. It's about time that I start loving again. It's about time the sunshine touches my skin. I won't give in til my heart beats again. Will somebody show me what I've been missing. Yeah, it's about time that I start loving again. Each bottled up emotion. Each tear I never cried. I need a big explosion. It's time for me to fly. Each bottled up emotion. Each tear I never cried. I need a big explosion. It's time for me to fly. It's about time that I start loving again. It's about time the sunshine touches my skin. I won't give in til my heart beats again. Will somebody show me what I've been missing. Yeah, it's about time that I start loving again. Each bottled up emotion. Each tear I never cried. I need a big explosion. It's time for me to fly. Each bottled up emotion. Each tear I never cried. I need a big explosion. It's time for me to fly"
stand up,"(Chorus:). Cuz I came here to dance. I'm gonna put up my hands,. And stand up, stand up. Cuz I came here to dance. I'm gonna put up my hands. And stand up, stand up. Get up, get up. When the music gets a hold of you. Get up, get up. When the music gets control of you. Get up, get up. When the music gets a hold of you. Get up, get up, get up, get up, get up. I can see the light calling me out. I can see the searchlight spinning around. I can see the moment where I belong. I can see the music turning me on. Oh oh oh oh oh oh oh (on). Oh oh oh oh oh oh oh (turning me on). (Chorus). I've got this emotion covering me. While moving in the fast lane taking the lead. There's nowhere to hide a feeling this strong. I can feel the music turning me on. Oh oh oh oh oh oh oh oh (on). Oh oh oh oh oh oh oh oh (turning me on). (Chorus). Ok Cheryl, let's dance, cos I just copped my advance. ""So I can slide on my Louboutins"". And I'm a put on my brand new Vans. And take it to the club. I don't give a what, and you don't give a what. We goin' while out like we just got paid. Looking so fresh in our Rockstar shades. (Chorus)"
happy hour,"How can I know what you mean?. If you never ask. How can I drive you crazy?. When I've got no gas. How could we be together. When we're so far apart?. You tell me that you love me then you go and break my heart. I'll admit that I've got problems. If you say that you will help me solve 'em yes. I realize some days I can be sweet and some I'm sour. But I can't help but drink you up. Cause you're my happy hour. Just because. I'm never happy when I'm sobered up. I'm only good if I can have a cup. Somedays I'm sweet and some I'm sour. But I can't help but drink you up. Cause you're my happy hour. Only when. You go away and I can get my things. I'm only good if I can have a scene. Somedays I'm sweet and some I'm sour. But I can't help but drink you up. Cause you're my happy hour. Why should I be your woman. When you've got to move. Why should I say that I do. When I know you don't. Why should I stay here with you. When you are always gone. And why should I be open when you stay so bottled up. I'll admit that I've got problems. If you say that you will help me solve 'em yes. I realize some days I can be sweet and some I'm sour. But I can't help but drink you up. Cause you're my happy hour. Just because. I'm never happy when I'm sobered up. I'm only good if I can have a cup. Somedays I'm sweet and some I'm sour. But I can't help but drink you up. Cause you're my happy hour. Only when. You go away and I can get my things. I'm only good if I can have a scene. Somedays I'm sweet and some I'm sour. But I can't help but drink you up. Cause you're my happy hour. You were are all I ever needed. You were all I ever had. You were all I ever wanted. But you were making me bad. Oh, oh, ooooh. You're my happy hour. Oh, oh, ooooh. Sometimes I'm sweet sometimes I'm sour. Oh, oh, ooooh. Yeah. Just because. I'm never happy when I'm sobered up. I'm only good if I can have a cup. Somedays I'm sweet and some I'm sour. But I can't help but drink you up. Cause you're my happy hour. Only when. You go away and I can get my things. I'm only good if I can have a scene. Somedays I'm sweet and some I'm sour. But I can't help but drink you up. Cause you're my happy hour. Just because I'm never happy when I'm sobered up. I'm only good if I have you. Somedays I'm sweet and some I'm sour. But I can't help but drink you up. Cause you're my happy hour. Only cause I'm never happy when I'm sobered up. And I'm only good if I have you. Somedays I'm sweet and some I'm sour. But I can't help but drink you up. Cause you're my happy hour"
make me cry,"If you're trying to hurt me, like I hurt you. Then you win. And if you're trying to love me, like I love you. Then we win. And if you're trying to finish what we started,. Then we'll lose the love. And I don't wanna lose you. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Stop trying cause I'm d-d-dying-d-d. I believe in us, and I really do. I can barely take it, can't get over you. If you're trying to lose me then you're going to the right way boy. I can't take this shit much more and staring at the door. Start to love me like I love you, treat me good. I give you a lot I love you a lot tell me why I. should. If you're trying to hurt me like I hurt you then you win. I can't turn back the clock, take what I got. Give me everything. If you're trying to hurt me, like I hurt you. Then you win. And if you're trying to love me, like I love you. Then we win. And if you're trying to finish what we started,. Then we'll lose the love. And I don't wanna lose you. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Stop trying cause I'm d-d-dying-d-d. It's gotta stop we argue a lot no matter what we do. Be careful what you're saying because I'm trying to stay with you. So let's make a future plan, cause this ain't the way of living boy. I know that I hurt you bad, boy I know that I hurt you bad. Baby it's time to face it, to know that you want this too. And if you want to save this, then we both know what you can do. Ain't no point in looking back, and I know that I love you mad. So quite how you act don't turn your back. Think about what we have. If you're trying to hurt me, like I hurt you. Then you win. And if you're trying to love me, like I love you. Then we win. And if you're trying to finish what we started,. Then we'll lose the love. And I don't wanna lose you. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Stop trying cause I'm d-d-dying. d-d-dying. d-d-dying. d-d-dying. Cause I'm d-d-dying. d-d-dying. d-d-dying. d-d-dying. dying. dying. dying. Are you trying. Are you trying. Are you trying. Are you trying. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Are you trying to make me cry. Stop trying cause I'm dying"
love made me do it,"I took the fast lane all of my life. I've been the bad girl. I've been the good wife. I don't stop to think, when I go in I go in. I've fallen hard like a million times. On number seven of my nine lives. The ink on my skin, is all the places I've been. Oh my god, I'm such a sucker. I fall in love with every fucker. But oh no, I won't apologise (No). ‘Cause I'm breaking all my rules. But love made me do it. Should have used my head. 'cause my heart really blew it. Love made me do it (it wasn't my fault). Love made me do it (it wasn't my fault). And now I'm losing all my cool. But love made me do it. Should have used my head. 'cause my heart really blew it. Love made me do it (it wasn't my fault). Love made me do it, and I'd do it again. Yeah, yeah, yeah, yeah... yeah, yeah. Yeah, yeah, yeah, yeah... yeah, yeah. Yeah, yeah, yeah, yeah... yeah, yeah. Love made me do it, and I'd do it again. I did my time on the yellow brick road. I saw some shit that make your head explode. Had to do what I do, just to get me to you. And all my friends are like “woah girl, stop”. ‘Cause they're the ones who pick the pieces up. It's bad for my health, but I just can't help myself. Oh my god, I'm such a sucker. I fall in love with every fucker. But oh no, I won't apologise (No). ‘Cause I'm breaking all my rules. But love made me do it. Should have used my head. 'cause my heart really blew it. Love made me do it (it wasn't my fault). Love made me do it (it wasn't my fault). And now I'm losing all my cool. But love made me do it. Should have used my head. 'cause my heart really blew it. Love made me do it (it wasn't my fault). Love made me do it, and I'd do it again. Yeah, yeah, yeah, yeah... yeah, yeah. Yeah, yeah, yeah, yeah... yeah, yeah. Yeah, yeah, yeah, yeah... yeah, yeah. Love made me do it, and I'd do it again. I'm not gonna justify why I wanna change my mind. ‘Cause I'm a lover not a hater. Sure as hell won't take no blame for my behaviour. No, I'm not gonna justify why I wanna change my mind. ‘Cause I'm a lover not a hater. Sure as hell won't take no blame for my behaviour. Breaking all my rules. But love made me do it. Should have used my head. 'cause my heart really blew it. Love made me do it (it wasn't my fault). Love made me do it (it wasn't my fault). And now I'm losing all my cool. But love made me do it. Should have used my head. 'cause my heart really blew it. Love made me do it (it wasn't my fault). Love made me do it, and I'd do it again. Yeah, yeah, yeah, yeah... yeah, yeah. Yeah, yeah, yeah, yeah... yeah, yeah. Yeah, yeah, yeah, yeah... yeah, yeah. Love made me do it, and I'd do it again. Yeah, yeah, yeah, yeah... yeah, yeah. Yeah, yeah, yeah, yeah... yeah, yeah. Yeah, yeah, yeah, yeah... yeah, yeah. Love made me do it, and I'd do it again"
i like it,"Must be somethin' in the air. (you you you you). You know what I want. Feel it all over my body. everytime we touch. Talk me to into something now. I'm trying to back it up. Should I back it up or should I back it up.. (Give it to me) back it up. You know what I want. Grinding up on me. If you want it try your luck. Gimme gimme goodies. just don't do it in the club. All the people looking at us, so what. You know damn well that I don't. Usually do, all of this, but here's a kiss. Look me in the eyes. and tell me that you like me. Why don't you invite me,. yeah yeah yeah. CHORUS. Whoa! Whoa!. I just wanna give you my body. Whoa! Whoa!. Boy you make me feel so naughty. You say the right things baby, I like it. You say the right things baby, I like it. Whoa! Whoa!. Baby I like it. Keep on talking to me. keep talking to me. Keep on talking to me. keep talking to me. Keep on talking to me. keep talking to me. Keep on talking to me. keep talking to me. What happened here. Started off with just a whisper in my ear. Say it louder cause it's. getting harder to hear. Take it off cause its getting hot here. it's hot in here. Do it do it do it baby do it all night long. Do it do it baby. now you got me in your palm. I'd rather do it and regret it in the morn. You know damn well that I don't. Usually do, all of this, but here's a kiss. Look me in the eyes. and tell me that you like me. Why don't you invite me,. yeah yeah yeah. CHORUS. Whoa! Whoa!. I just wanna give you my body. Whoa! Whoa!. Boy you make me feel so naughty. You say the right things baby, I like it. You say the right things baby, I like it. Whoa! Whoa!. Baby I like it. Keep on talking to me. keep talking to me. Keep on talking to me. keep talking to me. Keep on talking to me. keep talking to me. Keep on talking to me. keep talking to me. [Jim Beanz]. Baby you're the finest. meet me on the late night. Mus've went to college. cause you know ya head right. Way you move is hypnotic. If you want we can go. somewhere more private, private. Baby it's nothing. you can have all my loving. You ain't busy later. maybe we can get into something. you ain't ready for me through. I can tell you think you're something. by the size of your ego. [Jim Beanz]. Girl you know you want it. (Do it do it do it baby). So why you running from me. (Do it do it do it baby). There goes the bed hopping,. lets get it popping. Til we hear the neighbours. come knocking, knocking. Like, like, like, whoa. CHORUS. Whoa! Whoa!. I just wanna give you my body. Whoa! Whoa!. Boy you make me feel so naughty. You say the right things baby, I like it. You say the right things baby, I like it. Whoa! Whoa!. Baby I like it. Keep on talking to me. keep talking to me. Keep on talking to me. keep talking to me. Keep on talking to me. keep talking to me. Keep on talking to me. keep talking to me"
i don't care,"Waking up diagonal like an animal. In a cold and empty bed. Shaking off the dream of you. I got shit to do and I'm ready to forget. I heard you brought that girl around in half a gown. And asked if I've been there. Ask me how I'm doing now. I scream aloud, I tell 'em I don't care. And I don't care. I don't care. And it feels so fucking good to say I swear. That I don't care. And everywhere. There are ordinary hearts that don't play fair. But I don't care. I don't care, ooh. I don't care, oh nah. I don't care, ooh. I don't care, oh nah. In this town, word gets around. It don't bring me down, it's just static in my head. So take me out and turn it up. Let's make it rough, we're gonna wake the dead, oh baby. Everyone is saying now. To slow it down or I'll get hurt again. When these sins are feeling me. It's healing me and screaming I don't care. And I don't care. I don't care. And it feels so fucking good to say I swear. That I don't care. And everywhere. There are ordinary hearts that don't play fair. But I don't care. I don't care, ooh. I don't care, oh nah. I don't care, ooh. I don't care, oh nah. Doesn't matter anyway. Doesn't matter anyway. I can see the milky way. And it seems so far away. It doesn't matter anyway. It's all fallen into place. Just another pretty face. Disappears without a trace. There ain't nothing left to say. I don't care. Feels so good, oh. I don't care. I don't care. I don't care. And it feels so fucking good to say I swear. That I don't care. And everywhere. There are ordinary hearts that don't play fair. But I don't care. I don't care, ooh. I don't care, oh nah. I don't care, ooh. I don't care, oh nah"
live life now,What do you desire?. What do you desire?. If money was no object. What would it require?. What would you desire?. What are you doing. In this moment?. What are you doing right. Now?. Live life now. What are you doing in. This moment?. You'd better live your life now. What do you desire?. What do you desire?. If money was no object. What would it require?. Live life now. (The things you think you need). Get what you desire. (Whatever sets you free). If money was no object. (We got this precious life). What would your life require?. (One chance to get this right). You'd better live your life now. Live your life now. Is it poetry. What you want?. Is it poetry?. Ride a white horse. Live your life now. What do you desire?. If money was no object. What would it require?. What would you desire?. Live your life now. (The things you think you need). What do you desire?. (Whatever sets you free). If money was no object. (We got this precious life). What would it require?. (One chance to get this right). What would you desire?. Live your life now. Let's just stay here in this moment. Let's dance on the tables. Wave our arms and get unstable. Let's show. Everybody how. Let's show everybody how. To live right now. Let's dance on the tables. Wave our arms and get unstable. Let's show everybody how. Let's show everybody how. To live right now. To live right
parachute,"I don't tell anyone about the way you hold my hand. I don't tell anyone about the things that we have planned. I won't tell anybody. Won't tell anybody. They wanna push me down. They wanna see you fall Down. Won't tell anybody how you turn my world around. I won't tell anyone how your voice is my favourite sound. I won't tell anybody. Won't tell anybody. They wanna see us fall. They wanna see us fall. I don't need a parachute. Baby, if I've got you. Baby, if I've got you. I don't need a parachute. You're gonna catch me. You're gonna catch if I fall. Down, down, down. I don't need a parachute. Baby, if I've got you. Baby, if I've got you. I don't need a parachute. You're gonna catch me. You're gonna catch if I fall. Down, down, down. Don't believe the things you tell yourself so late at night. You are your own worst enemy. You'll never win the fight. Just hold onto me. I'll hold onto you. It's you and me up against the world. It's you and me love. I don't need a parachute. Baby, if I've got you. Baby, if I've got you. I don't need a parachute. You're gonna catch me. You're gonna catch if I fall. Down, down, down. I don't need a parachute. Baby, if I've got you. Baby, if I've got you. I don't need a parachute. You're gonna catch me. You're gonna catch if I fall. Down, down, down. I won't fall out of love. I won't fall out of,. I won't fall out of love. I won't fall out of,. I won't fall out of love. I won't fall out of,. I won't fall out of love. I'll fall into you. I won't fall out of love. I won't fall out of,. I won't fall out of love. I won't fall out of,. I won't fall out of love. I won't fall out of,. I won't fall out of love. I fall into you. I don't need a parachute. Baby, if I've got you. Baby, if I've got you. I don't need a parachute. You're gonna catch me. You're gonna catch if I fall. Down, down, down. I don't need a parachute. Baby, if I've got you. Baby, if I've got you. I don't need a parachute. You're gonna catch me. You're gonna catch if I fall. Down, down, down"
