beautiful,"Don't look at me. Everyday is so wonderful, and suddenly, it's hard to breathe. Now and then, I get insecure from all the pain. I'm so ashamed. I am beautiful, no matter what they say. Words can't bring me down. I am beautiful in every single way. Yes, words can't bring me down, oh no. So don't you bring me down today. To all your friends, you're delirious. So consumed in all your doom, ooh. Trying hard to fill the emptiness, the pieces gone. Left the puzzle undone, is that the way it is?. You are beautiful, no matter what they say. Words can't bring you down, oh no. You are beautiful in every single way. Yes, words can't bring you down, oh no. So don't you bring me down today. No matter what we do (no matter what we do). No matter what we say (no matter what we say). We're the song inside the tune (yeah, oh yeah). Full of beautiful mistakes. And everywhere we go (and everywhere we go). The sun will always shine (sun will always shine). But tomorrow we might awake on the other side. 'Cause we are beautiful, no matter what they say. Yes, words won't bring us down, oh no. We are beautiful in every single way. Yes, words can't bring us down, oh no. So don't you bring me down today. Oooh, yeay yeay yeay. Don't you bring me down today. Don't you bring me down... humm, today"
say something,Say something I'm giving up on you. I'll be the one if you want me to. Anywhere I would've followed you. Say something I'm giving up on you. And I. Am feeling so small. It was over my head. I know nothing at all. And I. Will stumble and fall. I'm still learning to love. Just starting to crawl. Say something I'm giving up on you. I'm sorry that I couldn't get to you. Anywhere I would've followed you. Say something I'm giving up on you. And I. Will swallow my pride. You're the one that I love. And I'm saying goodbye. Say something I'm giving up on you. And I'm sorry that I couldn't get to you. And anywhere I would've followed you. Say something I'm giving up on you. Say something I'm giving up on you. Say something
i turn to you,"When I'm lost in the rain,. In your eyes I know. I'll find the light to light my way.. When I'm scared, losing ground. When my world is going crazy,. you can turn it all around.. (yes). And when I'm down you're there. pushing me to the top.. You're always there giving me all you've got.. Chorus. For a shield from the storm;. For a friend, for a love. To keep me safe and warm,. I turn to you.. For the strength to be strong;. For the will to carry on;. For everything you do;. For everything that's true,. I turn to you. (oooo yeah). When I lose the will to win,. I just reach for you and. I can reach the sky again.. I can do anything,. 'Cause your love is so amazing;. 'Cause your love inspires me.. And when I need a friend,. you're always on my side;. Giving me faith, taking me through the night.. For a shield (For a shield). from the storm; (from the storm). For a friend; for a love. (for a love to keep me safe and warm). To keep me safe and warm,. I turn to you. (I turn to you). For the strength (for the strength) to be strong;. For the will to carry on;. For everything you do;. I turn to you. (ooo yeah oohhh). For the arms to be my shelter through all the rain;. For truth that will never change;. For someone to lean on;. For a heart I can rely on through anything;. For the one who I can run to;. (I turn to you). For a shield from the storm;. For a friend; for a love. (to keep me safe a warm yeah yeah,. I turn to you). To keep me safe and warm,. I turn to you. (I turn to you). For the strength (for the strength) to be strong;. For the will to carry on;. For everything you do; (everything you do). For everything that's true;. For everything you do;. For everything that's true,. I turn to you."
hurt,Seems like it was yesterday when I saw your face. You told me how proud you were. But I walked away. If only I knew What I know today. Ooh ooh. I would hold you in my arms. I would take the pain away. Thank you for all you've done. Forgive all your mistakes. There's nothing I wouldn't do to hear your voice again. Sometimes I wanna call you. But I know you won't be there. Ooh I'm sorry for blaming you. For everything I just couldn't do. And I've hurt myself by hurting you. Some days I feel broke inside. But I won't admit. Sometimes I just wanna hide. Cause it's you I miss. And it's so hard to say goodbye. When it comes to this ooh. Would you tell me I was wrong. Would you help me understand. Are you looking down upon me. Are you proud of who I am. There's nothing I wouldn't do to have just one more chance. To look into your eyes. And see you looking back. Ooh I'm sorry for blaming you. For everything I just couldn't do. And I've hurt myself. Ooh. If I had just one more day. I would tell you how much that I missed you since you've been away. Ooh. It's dangerous. It's so out of line. To try and turn back time. I'm sorry for blaming you. For everything I just couldn't do. And I've hurt myself by hurting you
fall in line (feat. demi lovato),"Little girls, listen closely. 'Cause no one told me. But you deserve to know. That in this world, you are not beholden. You do not owe them. Your body and your soul. All the youth in the world will not save you from growing older. And all the truth in a girl. is too precious to be stolen from her. It's just the way it is. Maybe it's never gonna change. But I got a mind to show my strength. And I got a right to speak my mind. And I'm gonna pay for this. They're gonna burn me at the stake. But I got a fire in my veins. I wasn't made to fall in line. No, I wasn't made to fall in line, no. Show some skin, make him want you. 'Cause God forbid you. Know your own way home. And ask yourself why it matters. Who it flatters. You're more than flesh and bones. All the youth in the world will not save you from growing older. And all the truth in a girl. is too precious to be stolen from her. It's just the way it is. Maybe it's never gonna change. But I got a mind to show my strength. And I got a right to speak my mind. And I'm gonna pay for this. They're gonna burn me at the stake. But I got a fire in my veins. I wasn't made to fall in line. No, no, I wasn't made to fall in line. No, I weren't made to fall in line, oh. 1, 2, 3. Right - 2, 3. Shut your mouth. Stick your ass out for me. March - 2, 3. 1, 2, 3. Who told you you're allowed to think?. 1, 2, 3. Right - 2, 3. Shut your mouth. Stick your ass out for me. March - 2, 3. 1, 2, 3. Who told you you're allowed to think?. It's just the way it is. Maybe it's never gonna change. But I got a mind to show my strength. And I got a right to speak my mind. And I'm gonna pay for this. They're gonna burn me at the stake. But I got a fire in my veins. 'Cause I wasn't made to fall in line. I wasn't made to leave my fate. I'm never gonna fall in line, oh. 1, 2, 3. Right - 2, 3. Shut your mouth. Stick your ass out for me. March - 2, 3. 1, 2, 3. Who told you you're allowed to think?. 1, 2, 3. Right - 2, 3. Shut your mouth. Stick your ass out for me. March - 2, 3. 1, 2, 3. Who told you you're allowed to think?"
fighter,"After all you put me through. You'd think I despise you. But in the end, I wanna thank you. 'Cause you make me that much stronger. When I, thought I knew you. Thinking that you were true. I guess I, I couldn't trust. Called your bluff, time is up. 'Cause I've had enough. You were, there by my side. Always down for the ride. But your, joy ride just came down in flames. 'Cause your greed sold me out of shame. After all of the stealing and cheating. You probably think that I hold resentment for you. But, oh no, you're wrong. 'Cause if it wasn't for all that you tried to do. I wouldn't know just how capable I am to pull through. So I wanna say thank you. 'Cause it makes me that much stronger. Makes me work a little bit harder. It makes me that much wiser. So thanks for making me a fighter. Made me learn a little bit faster. Made my skin a little bit thicker. Makes me that much smarter. So thanks for making me a fighter. Never saw it coming. All of your backstabbing. Just so you could cash in. On a good thing before I realized your game. I heard you're going round. Playing the victim now. But don't even begin. Feeling I'm the one to blame. 'Cause you dug your own grave. After all of the fights and the lies. Yes you wanted to harm me but that won't work anymore. No more, oh no, it's over. 'Cause if it wasn't for all of your torture. I wouldn't know how to be this way now. And never back down. So I wanna say thank you. 'Cause it makes me that much stronger. Makes me work a little bit harder. Makes me that much wiser. So thanks for making me a fighter. Made me learn a little bit faster. Made my skin a little bit thicker. It makes me that much smarter. So thanks for making me a fighter. How could this man I thought I knew. Turn out to be unjust, so cruel. Could only see the good in you. Pretended not to see the truth. You tried to hide your lies, disguise yourself. Through living in denial. But in the end you'll see. You won't stop me. I am a fighter and I. I ain't goin' stop. There is no turning back. I've had enough. 'Cause it makes me that much stronger. Makes me work a little bit harder. It makes me that much wiser. So thanks for making me a fighter. Made me learn a little bit faster. Made my skin a little bit thicker. Makes me that much smarter. So thanks for making me a fighter. Thought I would forget. But I remember. So I remember. I'll remember. Thought I would forget. But I remember. So I remember. I'll remember. 'Cause it makes me that much stronger. Makes me work a little bit harder. It makes me that much wiser. So thanks for making me a fighter. Made me learn a little bit faster. Made my skin a little bit thicker. Makes me that much smarter. So thanks for making me a fighter"
can't hold us down (feat. lil' kim),"So what am I not supposed to have an opinion. Should I keep quiet just because I'm a woman. Call me a bitch cos I speak what's on my mind. Guess it's easier for you to swallow if I sat and smiled. When a female fires back. Suddenly big talker don't know how to act. So he does what any little boy will do. Making up a few false rumors or two. That for sure is not a man to me. Slanderin' names for popularity. It's sad you only get your fame through controversy. But now it's time for me to come and give you more to say. This is for my girls all around the world. Who've come across a man who don't respect your worth. Thinking all women should be seen, not heard. So what do we do girls?. Shout out loud!. Letting them know we're gonna stand our ground. Lift your hands high and wave them proud. Take a deep breath and say it loud. Never can, never will, can't hold us down. Nobody can hold us down. Nobody can hold us down. Nobody can hold us down. Never can, never will. So what am I not supposed to say what I'm saying. Are you offended by the message I'm bringing. Call me whatever cos your words don't mean a thing. Guess you ain't even a man enough to handle what I sing. If you look back in history. It's a common double standard of society. The guy gets all the glory the more he can score. While the girl can do the same and yet you call her a whore. I don't understand why it's okay. The guy can get away with it & the girl gets named. All my ladies come together and make a change. Start a new beginning for us everybody sing. This is for my girls all around the world. Who've come across a man who don't respect your worth. Thinking all women should be seen, not heard. What do we do girls?. Shout out loud!. Letting them know we're gonna stand our ground. Lift your hands high and wave 'em proud. Take a deep breath and say it loud. Never can, never will, can't hold us down. Check it - Here's something I just can't understand. If the guy have three girls then he's the man. He can either give us some head, sex her off. If the girl do the same, then she's a whore. But the table's about to turn. I'll bet my fame on it. Cats take my ideas and put their name on it. It's aiight though, you can't hold me down. I got to keep on movin'. To all my girls with a man who be tryin to mack. Do it right back to him and let that be that. You need to let him know that his game is whack. And Lil' Kim and Christina Aguilera got your back. But you're just a little boy. Think you're so cute, so coy. You must talk so big. To make up for smaller things. So you're just a little boy. All you'll do is annoy. You must talk so big. To make up for smaller things. This is for my girls.... This is for my girls all around the world. Who've come across a man who don't respect your worth. Thinking all women should be seen, not heard. So what do we do girls?. Should out loud!. Letting them know we're gonna stand our ground. Lift your hands high and wave 'em proud. Take a deep breath and say it loud. Never can, never will, can't hold us down. This is for my girls all around the world. Who've come across a man who don't respect your worth. Thinking all women should be seen, not heard. So what do we do girls?. Should out loud!. Letting them know we're gonna stand our ground. Lift your hands high and wave 'em proud. Take a deep breath and say it loud. Never can, never will, can't hold us down. Spread the word, can't hold us down"
genie in a bottle,"I feel like I've been locked up tight. For a century of lonely nights. Waiting for someone to release me. You're lickin' your lips. And blowing kisses my way. But that don't mean I'm gonna give it away. Baby baby baby (baby, baby, baby). Ooooh (my body's sayin' let's go). Ooooh (but my heart's sayin' no). If you wanna be with me. Baby there's a price to pay. I'm a genie in a bottle. You gotta rub me the right way. If you wanna be with me. I can make your wish come true. You gotta make a big impression. I gotta like what you do. I'm a genie in a bottle baby. You gotta rub me the right way honey. I'm a genie in a bottle baby. Come, come, come on and let me out. The music's banging and the light's down low. Just one more dance and we're good to go. Waitin' for someone who needs me. Hormones racing at the speed of light. But that don't mean it's gotta be tonight. Baby, baby, baby (baby, baby, baby). Ooooh (my body's sayin' let's go). Ooooh (but my heart's sayin' no). If you wanna be with me. Baby there's a price to pay. I'm a genie in a bottle (I'm a genie in a bottle). You gotta rub me the right way. If you wanna be with me (Ooh). I can make your wish come true (Wish come true...woah). Just come and set me free baby. And I'll be with you. I'm a genie in a bottle baby. You gotta rub me the right way honey. I'm a genie in a bottle baby. Come, come, come on and let me out. I'm a genie in a bottle baby. You gotta rub me the right way honey (if you wanna be with me). I'm a genie in a bottle baby. Come, come, come on and let me out. Ooooh (my body's sayin' let's go). Ooooh (but my heart's sayin' no). If you wanna be with me. Baby there's a price to pay. I'm a genie in a bottle. You gotta rub me the right way. If you wanna be with me. I can make your wish come true (Ooh). You gotta make a big impression. I gotta like what you do (Oh Yeah). If you wanna be with me. Baby there's a price to pay. I'm a genie in a bottle. You gotta rub me the right way (you gotta rub me the right way). If you wanna be with me. I can make your wish come true. Just come and set me free baby. And I'll be with you. I'm a genie in a bottle baby. Come, come, come, on and let me out"
your body,"I came here tonight to get you out of my mind. I'm gonna take what I find, uh oh, yeah. So open the box, don't need no key I'm unlocked. And I won't tell you to stop, uh oh, yeah. Hey boy. I don't need to know where you've been. All I need to know is you. And no need for talking. Hey boy. So don't even tell me your name. All I need to know is whose place. And let's get walkin'. All I wanna do is love your body. Oooooh ooooh oooooh oooooooh. Tonight's your lucky night, I know you want it. Oooooh ooooh oooooh oooooooh. All I wanna do is love your body. Oooooh ooooh oooooh oooooooh. Tonight's your lucky night, I know you want it. Oooooh ooooh oooooh oooooooh. It's true what you heard, I am a freak, I'm disturbed. So come on and give me your worst, uh oh, yeah. We're moving faster than slow. If you don't know where to go. I'll finish off on my own, uh oh, yeah. Hey boy. I don't need to know where you've been. All I need to know is you. And no need for talking. Hey boy. So don't even tell me your name. All I need to know is whose place. And let's get walkin'. All I wanna do is love your body. Oooooh ooooh oooooh oooooooh. Tonight's your lucky night, I know you want it. Oooooh ooooh oooooh oooooooh. All I wanna do is love your body. Oooooh ooooh oooooh oooooooh. Tonight's your lucky night, I know you want it. Oooooh ooooh oooooh oooooooh. I think you already know my name. I think you already know my name. Hey. Ha. Alright. Say. I think you already know my name. All I wanna do is love your body. Oooooh ooooh oooooh oooooooh (say). Tonight's your lucky night, I know you want it. Oooooh ooooh oooooh oooooooh. All I wanna do is love your body. Oooooh ooooh oooooh oooooooh (say, say, hey). Tonight's your lucky night, I know you want it. Oooooh ooooh oooooh oooooooh"
candyman,"Tarzan and Jane were swingin' on a vine. (Candyman, candyman). Sippin' from a bottle of vodka double wine. (Sweet, sugar, candyman). Hey, yeah, yeah, uh. I met him out for dinner on a Friday night. He really got me working up an appetite. He had tattoos up and down his arm. There's nothing more dangerous than a boy with charm. He's a one-stop shop, makes my panties drop. He's a sweet talkin' sugar coated candyman. A sweet talkin' sugar coated candyman. Ooh, yeah, yeah, yeah. He took me to the Spider Club at Hollywood and Vine. We drank champagne and we danced all night. We shook the paparazzi for a big surprise. (a big surprise). The gossip tonight will be tomorrow's headline. He's a one-stop shop, makes my cherry pop. He's a sweet talkin' sugar coated candyman. (ooh yeah). A sweet talkin sugar coated candyman. patipadudria, patchu, papa, parudadrui, undal, papal. Hey, yeah. (chudubadiba,dubadia,druira unbal) yeah.... (chudubadiba,dubadia,druira unbal). (chudubadiba,dubadia,swin dunbal). He's a one-stop shop, makes my cherry pop. He's a sweet talkin' sugar coated candyman (oh). A sweet talkin sugar coated candyman. Whoa, yeah. Well, by now I'm getting all bothered and hot. When he kissed my mouth he really hit the spot. (hit the spot). He got lips like sugar cane (oh). Good things come for boys who wait. Tarzan and Jane were swingin' on a vine. (Candyman, candyman). Sippin' from a bottle of vodka double wine. (Candyman, candyman). (Sweet, sugar, candyman). He's a one-stop, gotcha hot,. makin all the panties drop. (Sweet, sugar, candyman). He's a one-stop, got me hot,. makin' my *uh* pop. (Sweet, sugar, candyman). He's a one-stop,. get it while it's hot, baby don't stop. (Sweet, sugar...). He got those lips like sugar cane (yeah). Good things come for boys who wait. He's a one-stop shop with a real big *uh*. He's a sweet talkin' sugar coated candyman. (Say what) a sweet talkin sugar coated candyman. (Say) a sweet talkin sugar coated candyman, woo. A sweet talkin sugar coated candyman. Oooh, whoa. Candyman, candyman. Candyman, candyman. Candyman, candyman.... Tarzan and Jane were swingin' on a vine. (Tarzan and Jane were swingin' on a vine). Sippin' from a bottle of vodka double wine. (Sippin' from a bottle of vodka double wine). Jane lost her grip and a-down she fell. (Jane lost her grip and a-down she fell). Squared herself away as she let out a yell. (Squared herself away as she let out a yell)"
