a thousand years,Heart beats fast. Colors and promises. How to be brave. How can I love. When I'm afraid to fall. But watching you stand alone. All of my doubt suddenly goes away somehow. One step closer. I have died every day waiting for you. Darling don't be afraid. I have loved you for a thousand years. I'll love you for a thousand more. Time stands still. Beauty in all she is. I will be brave. I will not let anything take away. What's standing in front of me. Every breath. Every hour has come to this. One step closer. I have died every day waiting for you. Darling don't be afraid. I have loved you for a thousand years. I'll love you for a thousand more. And all along I believed I would find you. Time has brought your heart to me. I have loved you for a thousand years. I'll love you for a thousand more. One step closer. One step closer. I have died every day waiting for you. Darling don't be afraid I have loved you. For a thousand years. I'll love you for a thousand more. And all along I believed I would find you. Time has brought your heart to me. I have loved you for a thousand years. I'll love you for a thousand more
human,"I can hold my breath. I can bite my tongue. I can stay awake for days. If that's what you want. Be your number one. I can fake a smile. I can force a laugh. I can dance and play the part. If that's what you ask. Give you all I am. I can do it. I can do it. I can do it. But I'm only human. And I bleed when I fall down. I'm only human. And I crash and I break down. Your words in my head, knives in my heart. You build me up and then I fall apart. 'Cause I'm only human. I can turn it on. Be a good machine. I can hold the weight of worlds. If that's what you need. Be your everything. I can do it. I can do it. I'll get through it. But I'm only human. And I bleed when I fall down. I'm only human. And I crash and I break down. Your words in my head, knives in my heart. You build me up and then I fall apart. 'Cause I'm only human. I'm only human. I'm only human. Just a little human. I can take so much. Until I've had enough. 'Cause I'm only human. And I bleed when I fall down. I'm only human. And I crash and I break down. Your words in my head, knives in my heart. You build me up and then I fall apart. 'Cause I'm only human"
a thousand years (lullaby),Heart beats fast. Colors and promises. How to be brave. How can I love. When I'm afraid to fall. But watching you stand alone. All of my doubt suddenly goes away somehow. One step closer. I have died every day waiting for you. Darling don't be afraid. I have loved you for a thousand years. I'll love you for a thousand more. Time stands still. Beauty in all she is. I will be brave. I will not let anything take away. What's standing in front of me. Every breath. Every hour has come to this. One step closer. And I have died every day waiting for you. Darling don't be afraid. I have loved you for a thousand years. I'll love you for a thousand more. And all along I believed I would find you. Time has brought your heart to me. I have loved you for a thousand years. I'll love you for a thousand more
jar of hearts,"I know I can't take one more step towards you. Cause all that's waiting is regret. Don't you know I'm not your ghost anymore. You lost the love I loved the most. I learned to live, half alive. And now you want me one more time. And who do you think you are?. Runnin' 'round leaving scars. Collecting your jar of hearts. Tearing love apart. You're gonna catch a cold. From the ice inside your soul. So don't come back for me. Who do you think you are?. I hear you're asking all around. If I am anywhere to be found. But I have grown too strong. To ever fall back in your arms. I've learned to live, half alive. And now you want me one more time. And who do you think you are?. Runnin' 'round leaving scars. Collecting your jar of hearts. And tearing love apart. You're gonna catch a cold. From the ice inside your soul. So don't come back for me. Who do you think you are?. Dear, it took so long just to feel alright. Remember how to put back the light in my eyes. I wish I had missed the first time that we kissed. Cause you broke all your promises. And now you're back. You don't get to get me back. And who do you think you are?. Running around leaving scars. Collecting your jar of hearts. And tearing love apart. You're gonna catch a cold. From the ice inside your soul. Don't come back for me. Don't come back at all. (2x). Who do you think you are?. Who do you think you are?. Who do you think you are?"
a thousand years (part 2) (feat. steve kaze),"(Christina Perri). The day we met,. Frozen I held my breath. Right from the start. I knew that I found a home for my heart. Beats fast, colors and promises. How to be brave?. How can I love when I am afraid to fall?. And watching you stand alone. All of my doubt suddenly goes away somehow. One step closer. I have died every day waiting for you. Darling don't be afraid. I have loved you for a thousand years. I'll love you for a thousand more. (Steve Kaze). Time stand still. beauty in all she is. I will be brave. I will not let anything take away. What's standing in front of me. every breath every hour has come to this. (Christina Perri feat. Steve Kaze). One step closer. I have died every day waiting for you. Darling don't be afraid I have loved you. For a thousand years. I'll love you for a thousand more. And all along I believed I would find you. Time has brought your heart to me. I have loved you for a thousand years. I'll love you for a thousand more. I'll love for a thousand more. (Christina Perri). One step closer. I have died every day waiting for you. Darling don't be afraid I have loved you. For a thousand years. I'll love you for a thousand more. And all along I believed I would find you. Time has brought your heart to me. I have loved you for a thousand years. I'll love you for a thousand more"
i believe,"I believe if I knew where I was going. I'd lose my way. I believe that the words that he told you. Are not your grave. I know that we are not the weight of all our memories. I believe in the things that I am afraid to say. Hold on, hold on. I believe in the lost possibilities you can't see. And I believe that the darkness reminds us. Where light can be. I know that your heart is still beating beating darling. I believe that you fell. So you would land next to me. Cause I have been where you are before. And I have felt the pain of losing who you are. And I have died so many times. But I am still alive. I believe that tomorrow is stronger than yesterday. And I believe that your head is the only thing. In your way. I wish that you could see. Your scars turn into beauty. I believe that today it's ok to be not ok. Hold on, hold on. Cause I have been where you are before. And I have felt the pain of losing who you are. And I have died so many times. But I am still alive. This is not the end of me. This is the beginning. This is not the end of me. This is the beginning. This is not the end of me. This is the beginning. This is not the end of me. This is the beginning. (Hold on). This is not the end of me. This is the beginning. (Hold on). This is not the end of me. This is the beginning. (Hold on). (I am still alive) This is not the end of me. This is the beginning. (Hold on). (I am still alive) This is not the end of me. This is the beginning. (Hold on). (I am still alive) This is not the end of me. This is the beginning. (Hold on). (I am still alive) This is not the end of me. This is the beginning. (Hold on). (I am still alive) This is not the end of me. This is the beginning. (Hold on). (I am still alive) This is not the end of me. This is the beginning"
the words,"All of the lights land on you. The rest of the world fades from view. And all of the love I see. Please please say you feel it too. And all of the noise I hear inside. Restless and loud unspoken and wild. And all that you need to say to make it all go away. It's that you feel the same way too. And I know the scariest part is letting go. Cause love is a ghost you can't control. I promise you the truth can't hurt us now. So let the words slip out of your mouth. And all of the steps that land me to you. And all of the hell I had to walk through. But I wouldn't trade a day for the chance to say. My love I'm in love with you. And I know the scariest part is letting go. Cause love is a ghost you can't control. I promise you the truth can't hurt us now. So let the words slip out of your mouth. I know that we're both afraid. We both made the same mistakes. An open heart is an open wound to you. And in the wind of a heavy choice. Love has a quiet voice. Still your mind, now I'm yours to choose. And I know the scariest part is letting go. Let my love be the light that guides you home. And I know the scariest part is letting go. Cause love is a ghost you can't control. I promise you the truth can't hurt us now. So let the words slip out of your mouth"
distance (feat. jason mraz),"The sun is filling up the room. And I can hear you dreaming. Do you feel the way I do right now?. I wish we would just give up. 'Cause the best part is falling. Call it anything but love. And I will make sure to keep my distance. Say ""I love you"" and you're not listening. How long can we keep this up, up, up?. And please don't stand so close to me. I'm having trouble breathing. I'm afraid of what you'll see right now. I give you everything I am. All my broken heartbeats. Until I know you understand. And I will make sure to keep my distance. Say ""I love you"" and you're not listening. How long can we keep this up, up, up?. And I keep waiting. For you to take me. You keep waiting. To say what we have. So I make sure to keep my distance. Say ""I love you"" and you're not listening. How long can we keep this up, up, up?. Make sure to keep my distance. Say ""I love you"" and you're not listening. How long til we call this love, love, love?"
i'm yours,"Well you done done me and you bet i felt it. I tried to beat you but you're so hot that i melted. I fell right through the cracks, now i'm trying to get back. Before the cool done run out, i'll be giving it my bestest. And nothings going to stop me but divine intervention. I reckon it's again my turn to win some or learn some. But i won't hesitate no more, no more. It cannot wait, i'm yours. Well open up your mind and see like me. Open up your plans and damn you're free. Look into your heart and you'll find love, love, love. Listen to the music of the moment people dance and sing. We're just one big family, and. It's our god-forsaken right to be loved, love, loved, love, loved. So i won't hesitate no more, no more. It cannot wait i'm sure. There's no need to complicate, our time is short. This is our fate, i'm yours. D-d-do you, but you, d-d-do. But do you want to come on. Scooch on over closer dear. And i will nibble your ear. I've been spending way too long checking my tongue in the mirror. And bending over backwards just to try to see it clearer. But my breath fogged up the glass. And so i drew a new face and laughed. I guess what i'm saying is there ain't no better reason. To rid yourself of vanities and just go with the seasons. It's what we aim to do, our name is our virtue. But i won't hesitate no more, no more. It cannot wait i'm yours. Come on and open up your mind and see like me. Open up your plans and damn you're free. Look into your heart and you'll find that the sky is yours. So please don't, please don't, please don't. There's no need to complicated. Cause our time is short. This is, this is, this is our fate, i'm yours!. . by Gabriel Leite"
give me love,"Give me love like him. 'Cause lately I've been waking up alone. Pain splattered teardrops on my shirt. Told you I'd let them go. And I'll fight my corner. Maybe tonight I'll call ya. After my blood turns into alcohol. No I just wanna hold ya. Give a little time to me, we'll burn this down. We'll play hide and seek, to turn this around. All I want is the taste that your lips allow. My my, my my give me love. My my, my my. Give me love like never before. 'Cause lately I've been craving more. And it's been a while but I still feel the same. Maybe I should let you go. And then I'll fight my corner. And maybe tonight I'll call ya. After my blood, turns into alcohol. No I just wanna hold you. Give a little time to me, we'll burn this out. We'll play hide and seek, to turn this around. All I want is the taste that your lips allow. My my, my my, give me love. My my, my my give me love. My my, my my give me love. My my, my my give me love. My my, my my, give me love, love. My my, my my, give me love, love. My my, my my, give me love, love. My my, my my, give me love, love. My my, my my, give me love, love. My my, my my, give me love, love. My my, my my, give me love. My my, my my, give me love. My my, my my give me love. My my, my my"
