sailing,"Well, it's not far down to paradise. At least it's not for me. And if the wind is right you can sail away. And find tranquility. Oh, the canvas can do miracles. Just you wait and see. Believe me. It's not far to never-never land. No reason to pretend. And if the wind is right you can find the joy. Of innocence again. Oh, the canvas can do miracles. Just you wait and see. Believe me. Sailing takes me away to where I've always heard it could be. Just a dream and the wind to carry me. And soon I will be free. Fantasy, it gets the best of me. When I'm sailing. All caught up in the reverie. Every word is a symphony. Won't you believe me?. Sailing takes me away to where I've always heard it could be. Just a dream and the wind to carry me. And soon I will be free. Well it's not far back to sanity. At least it's not for me. And if the wind is right you can sail away. And find serenity. Oh, the canvas can do miracles. Just you wait and see. Believe me. Sailing takes me away to where I've always heard it could be. Just a dream and the wind to carry me. And soon I will be free"
arthur's theme (best that you can do),"Once in your life you find her. Someone that turns your heart around. And next thing you know you're closing down the town. Wake up and it's still with you. Even though you left her way across town. Wondering to yourself, ""Hey, what've I found?"". When you get caught between the Moon and New York City. I know it's crazy, but it's true. If you get caught between the Moon and New York City. The best that you can do. The best that you can do is fall in love. Arthur he does as he pleases. All of his life, he's mastered choice. Deep in his heart, he's just, he's just a boy. Living his life one day at a time. And showing himself a really good time. Laughing about the way they want him to be. When you get caught between the Moon and New York City. I know it's crazy, but it's true. If you get caught between the Moon and New York City. The best that you can do. The best that you can do is fall in love. When you get caught between the Moon and New York City. I know it's crazy, but it's true. If you get caught between the Moon and New York City. The best that you can do. The best that you can do is fall in love"
forever,"Don't explain yourself. Doesn't matter reasons why. I'd just as soon you leave it never said. I'd just as soon you go. I can feel your sympathy. And there's pity in your eyes. Well, do you think you mean so much to me. Do you think I'll die?. Chorus:. Well you go and you play. But don't ever think a minute. That you took my love away. Well I know, I said a lot of things. But forever really means until the day it ends. That's tonight,. It's gonna be tonight. I've been turned around. And unsure of what to do. But like nature's streams that wash away. We must let it through. Now you just can't disguise. There's a hardness in your eyes. And we'll never know how much we had. Until it's far behind. (Chorus). And I'll remember the days I spent with you. Never to lose (never, never, no). Never, never, no. (Chorus). I know you said a lot of things. But forever really means until the day it ends. (repeat)"
all right,"I know, I know what's on your mind. And I know it gets tough sometimes. But you can give it one more try. Find a reason why. You should pick it up. And try it again. 'Cause it's all right. I think we're gonna make it. I think it might just work out this time. It's all right. I think we're gonna make it. I think it might work out fine this time. It's all right. I think we're gonna make it. I think it might just work out. 'Cause it's not too late for that. Too late for me. I know I've been hurt before. And I know I really shouldn't give any more. But this time. This time things seem just a little different. And when I look in your eyes. You know I can see that it's true. And I hear you say it's. All right. I think we're gonna make it. I think it might just work out this time. It's all right. I think we're gonna make it. I think it might work out fine this time. It's all right. I think we're gonna make it. I think it might just work out. 'Cause it's not too late for that. Too late for love. Just when you feel helpless. Nothing left to say. Love will find us. The past behind us. Then we're on our way. Time and time again I see. People so unsure like me. We all know it gets hard sometimes. You can give it one more try. Find another reason why. You should pick it up. You should kick it up. And try it again."
never be the same,It was good for me. It was good for you. Now nothing either of us can say or do. Can change the way you feel tonight. Sometimes love just slips out of sight. Just one thing before you go. Just one thing that you've got to know. No one will ever touch me that way. The way that you did that very first day. And I'll. Never be the same without you here. I'll live alone. Hide myself behind my tears. And I'll. Never be the same without your love. I'll live alone. Try so hard to rise above. The years go by. There's always someone new. To try and help me forget about you. Time and again it does me no good. Love never feels the way that it should. I loved you then I guess I'll love you forever. And even though I know we could never stay together. I think about how it could have been. If we could just start all over again. And I'll. Never be the same without you here. I'll live alone. Hide myself behind my tears. And I'll. Never be the same without your love. I'll live alone. Try so hard to rise above. It was good for me. It was good for you. Now nothing either of us can say or do. Can change the way you feel today. Sometimes love just slips away. Just one thing before you go. Just one thing that you've got to know. No one will ever touch me that way. The way that you did that very first day. And I'll. Never be the same without you here. I'll live alone. Hide myself behind my tears. And I'll. Never be the same without your love. I'll live alone. Try so hard to rise above
best that you can do,"Once in your life you find her. Someone that turns your heart around. And next thing you know you're closing down the town. Wake up and it's still with you. Even though you left her way across town. Wondering to yourself, ""Hey, what've I found?"". When you get caught between the Moon and New York City. I know it's crazy, but it's true. If you get caught between the Moon and New York City. The best that you can do ....... The best that you can do is fall in love. Arthur he does as he pleases. All of his life, he's mastered choice. Deep in his heart, he's just, he's just a boy. Living his life one day at a time. And showing himself a really good time. Laughing about the way they want him to be. When you get caught between the Moon and New York City. I know it's crazy, but it's true. If you get caught between the Moon and New York City. The best that you can do ...... The best that you can do is fall in love. When you get caught between the Moon and New York City. I know it's crazy, but it's true. If you get caught between the Moon and New York City. The best that you can do ...... The best that you can do is fall in love"
a fisherman's tale,Took my troubles. Down to the sea. Put my ear to a seashell. Inquisitively. Thought I heard a heartbeat. It could have been mine. I guess it doesn't matter. In the grand design. Like a windblown sail. Like a fisherman's tale. There's no end to the glory. Like a windblown sail. Like a fisherman's tale. There's no end to the story. Don't let your vision. Go down with the sun. 'Cause it might be cloudy. When tomorrow comes. Where the winds of a heart. Meet the wiles of a mind. There will be stillness. At the waterline. When I was young and time was free. I thought the world was reaching out for me. I believed I could. I believed I would. Live forever and ever. Took my troubles. Down to the sea. Put my ear to a seashell. Inquisitively
ride like the wind,It is the night. My body's weak. I'm on the run. No time to sleep. I've got to ride. Ride like the wind. To be free again. And I've got such a long way to go. To make it to the border of Mexico. So I'll ride like the wind. Ride like the wind. I was born the son of a lawless man. Always spoke my mind with a gun in my hand. Lived nine lives. Gunned down ten. Gonna ride like the wind. And I've got such a long way to go. To make it to the border of Mexico. So I'll ride like the wind. Ride like the wind. Accused and tried and told to hang. I was nowhere in sight when the church bells rang. Never was the kind to do as I was told. Gonna ride like the wind before I get old. It is the night. My body's weak. I'm on the run. No time to sleep. I've got to ride. Ride like the wind. To be free again. And I've got such a long way to go. To make it to the border of Mexico. So I'll ride like the wind. Ride like the wind
i will (take you forever),I was a man who always played around in love. so quick to take. but so afraid to give enough.. But now. I've found the one. and heaven will only know. what only my eyes can say and time can't take away.. I was a girl who trusted no one with my heart. and the dreams that young girls dream were just vanishing in the. dark.. But now. I've found the one. and heaven will only know. what only my eyes can say. they say -. That I will take you forever. and there will never be anyone else in my heart but you.. And I will take you forever. and there will never be anyone else but you. anyone else but you.. Now my touch belongs to you and I will always be your best friend. now my secrets are safe with you and the magic will never end.. Now you are the one. and heaven will only know. what only our eyes can say. they say -. That I will take you forever. and there will never be anyone else in my heart but you.. And I will take you forever. and there will never be anyone else but you. anyone else but you. anyone else but you.. That I will take you forever. .... That I will take you forever. .... That I will take you forever. ....
say you'll be mine,"Say you'll be mine. Say you'll be mine until the sun shines. Say you'll be mine. And bring me the dream of a lifetime. I just can't hide the truth no more. I've got to get my feet back down on the floor. I love you so. I need you so. I just don't think I can let you go. Say you'll be mine. Say you'll be mine until the sun shines. Say you'll be mine. And bring me the dream of a lifetime. Well, it's you that keeps me feeling this way. I don't think I can take it even one more day. It don't seem right. That I should be alone tonight. Say you'll be mine. Say you'll be mine until the sun shines. Say you'll be mine. And bring me the dream of a lifetime. I just can't hide the truth no more. I've got to get my feet back down on the floor. I love you so. I need you so. I just don't think I can let you go. Say you'll be mine. Say you'll be mine until the sun shines. Say you'll be mine. And bring me the dream of a lifetime."
