flower,"I know I'll never be the apple of your eye. But I'll pick you a flower. If you'd like. I know I'll never be the stars up in your sky. But I'll pick you a flower. If you'd like. She loves me. She loves, now, she says. She loves me. Has she forgotten that she loves me. Love me one more time. I know I'll never be the apple of your eye. But I could pick you a flower. If you'd like. I'll meet you down by the end of the road. Where the sunset goes. And the garden grows. I got one pair of shoes. With twenty holes in the toes. But I'll walk twenty miles just to get. To those blue eyes. If you would smile to me. To my surprise. I would stay a while to see what comes next. Or we could take off our clothes. And have long conversations in french. I know I'll never be the apple of your eye. But I'll pick you a flower. If you'd like. I know I'll never be the stars up in your sky. But I'll pick you a flower. If you'd like. She loves me. She loves, now, she says. She loves me. Has she forgotten that she loves me. Love me one more time. I know I'll never be the apple of your eye. But I'll pick you a flower. If you'd like. Let's go. Roses are red, violets are blue. I need us two, I'll be doomed if I don't have you. So I'll just chill up on the hill. Picking daffodils. Making wishes. About you, miss. 'Cause I know I'll never be the apple of your eye. But I'll pick you a flower"
daybreak (with the tide),"I'm campin' outside your castle cryin'. Hopin' you see me here. Tonight I feel like a man on fire. But I'm in the cool night air. I'm just a-waiting for day to break. Is this love or just a mistake?. I'm just a-waiting for day to break. Baby, how long will it take?. Waiting for day to break. Do you love me, do you love me. Put somebody else above me. Just don't leave me here alone. Aphrodite, Aphrodite. Put your body here beside me. 'Cause I'm burnin' all alone. I'm just a-waiting for day to break. Is this love or just a mistake?. I'm just a-waiting for day to break. Baby, how long will it take?. Waiting for day to break. Shout at the mountains high. I'm prayin' that it finds your ear. I'm at the guarding gate, take me in dear. I collapse on the lawn, a guitar at my side. And the diamonds of dawn in your eyes. I'm out here on my own. On my own. When you're breakin' the silence. The sun starts to rise. It's the first time that I felt alive. I'm just a-waiting for day to break. Is this love or just a mistake?. I'm just a-waiting for day to break. Baby, how long will it take?. Waiting for day to break"
don't let me go (with the tide),"Move with me, move with me. We could shut this whole thing down here tonight. Ride with me, ride with me. We could kick everyone out anytime. Don't let me go, don't let me out of your sight anymore. I'm gonna give you the high and the low, here we go. Do anywhere, letting it rock from the side to the side. Faster or slow, that's for you to decide. So let's roll. Don't let me go, go, go, go, go, go. There's something you should know, know, know, know, know. We can take it slow, slow, slow, slow, slow, slow. Just don't let me go, no, no, no. Just don't let me go, just don't let me go. Staying out till the daylight. But it feels like a lifetime. So I know it's the right time, oh yeah yeah. Getting lost in the feeling. And you got me feeling. Got my feet on the ceiling, oh yeah yeah yeah. Don't let me go, don't let me out of your sight anymore. I'm gonna give you the high and the low, here we go. Do anywhere, letting it rock from the side to the side. Faster or slow, that's for you to decide. So let's roll. Don't let me go, go, go, go, go, go. There's something you should know, know, know, know, know. We can take it slow, slow, slow, slow, slow, slow. Just don't let me go, no, no, no. Just don't let me go, just don't let me go. Don't need the diamond rings. Don't need the finer things. Nothing designer, now that I've found ya. Don't need what money brings. Come with me on this flight. Let's get away tonight. Trip to the islands. We could be wild as long as you're by my side. Don't let me go, go, go, go, go, go. There's something you should know, know, know, know, know. We can take it slow, slow, slow, slow, slow, slow. Just don't let me go, no, no, no. Just don't let me go, just don't let me go. Don't let me go, go, go, go, go, go. There's something you should know, know, know, know, know. We can take it slow, slow, slow, slow, slow, slow. Just don't let me go, no, no, no. Just don't let me go, just don't let me go"
la da dee,"There's no way to say this song is. About someone else. Everytime you're not in my arms. I start to lose myself. Someone please pass me my shades. Don't let them see me down. You have taken over my days. So tonight I'm going out. Yet, I'm feeling like there is no better place. Than right by your side. I had a little taste. And I'll only spoil the party anyway. Cause all the girls are looking fine. But you're the only one on my mind. La da dee, la la la do. La da me, la da you. La da dee, la la la do. There's only me, there's only you. La da dee, la la la do. La da me, la da you. La da dee, la la la do. When you were gone I think of you. Oh this place is packed with people. But your face is all I see. And the music's way to loud. But your voice won't let me be. So many pretty girls around. They're just dressin' to impress. But the thought of you alone. Has got me spun. And I don't know what to say next. Yet, I'm feeling like there is no better place. Than right by your side. I had a little taste. And I'll only spoil the party anyway. Cause all the girls are looking fine. But you're the only one on my mind. La da dee, la la la do. La da me, la da you. La da dee, la la la do. There's only me, there's only you. La da dee, la la la do. La da me, la da you. La da dee, la la la do. When you were gone I think of you. La da dee, la la la do. La da me, la da you. La da dee, la la la do. There's only me, there's only you. La da dee, la la la do. La da me, la da you. La da dee, la la la do. When you were gone I think of you. I pretend the night is so beautiful. Take a photo with the bro's. La da dee, la la la do. They won't see through my disguise. Right here behind my eyes. Replaying in my mind. La da da. Yet, I'm feeling like there is no better place. Than right by your side. I had a little taste. And I'll only spoil the party anyway. Cause all the girls are looking fine. But you're the only one on my mind. La da dee, la la la do. La da me, la da you. La da dee, la la la do. There's only me, there's only you. La da dee, la la la do. La da me, la da you. La da dee, la la la do. When you were gone I think of you. La da dee, la la la do. La da me, la da you. La da dee, la la la do. There's only me, there's only you. La da dee, la la la do. La da me, la da you. La da dee, la la la do. When you were gone I think of you"
free,"She looks good in the morning sun. But even better with a thigh dot on. Feather in her head, flower in her hair. And I love the way that she just don't care. She got a cat that she calls Tattoo. She got herself a couple tattoos too yeah. And when she drinks you know she love a cigarette. Got a little black pearl hanging around her neck. No, she ain't one for commotion. She living just like the ocean. She just wanna be free. Just let her be. I'll take a ride on the breeze. Why can't you see?. She just wanna be cool. And doing what she do. Barefeet swaying to a laid back beat. She just wanna be free. She blowing smoke rings in my head. To collide I scope the dreams running on my bed. And I know, I know I know I know. We gonna take it slow. The kind of soul that can do no wrong. A little soul to the earth that I blew so wrong. And I know, I know I know I know. She gonna take it slow. She just wanna be free. Just let her be. I'll take a ride on the breeze. Why can't you see?. She just wanna be cool. And doing what she do. Barefeet swaying to a laid back beat. Baby doll, she just wanna be free. She like to keep it emotion, woah. She's steady flow like the ocean. Oh, she just wanna be free, so free. Just let her be. I'll take a ride on the breeze, baby please. Why can't you see?. She just wanna be cool. Doing what she do. Barefeet swaying to a laid back beat. She just wanna be free"
sun go down (with the tide),"Walk with me. To where the mountains hit the sea. Let the moment take you over. Will take you where you wanna be. 'Cause if wanna trust me. I could set you free. And if you wanna love me, babe. I keep you right [?]. Feel your body moving. To the sound of the drumbeat now. Everybody wanna fall in love. While the sun go down. While the sun go. Sun go down. Sun go down. While the sun go down. Sun go down. Sun go down. While the sun go down. Talk to me. And tell me what I wanna hear. And tell me that you'll never leave me. And that we'll try to ease your spirit. 'Cause if wanna trust me, oh. Then I could trust you too. 'Cause even though I can't trust myself. With somebody like you. Feel your body moving. To the sound of the drumbeat now, oh. Everybody wanna fall in love. While the sun go down. While the sun go down. While the sun go. Sun go down. Sun go down. While the sun go down. Sun go down. Sun go down. While the sun go down. Sun go down. Sun go down. While the sun go down. Sun go down. Sun go down. While the sun go down"
valentine,"Call the paramedic,. Call-call the paramedic,. C-c-call the paramedic. Cupid-cupid just shot me. Like this right here.. Call the paramedic,. Call-call the paramedic,. C-c-call the paramedic. Cupid-cupid just shot me. It's the first of february,. And I can't get you outta my head. I've spent a lot of time searching. For the one I wanna be with.. The prettiest girl I ever did see.. Didn't look good,. But was she aiming at me?. I wonder if, I wonder if. She knows, yeah... oh. So if you've found the one throw your heart in the sky. Let 'em know that love has started. Now I'll never have to wonder why. 'cause she'll know for sure. She's the reason Imma buy a lot of candy,. In the mall spending all my money. I gotta make it clear so she understands me. I ain't got a girlfriend. But baby you could be my valentine. Baby you could, baby you, baby you could be my,. Baby you could, baby you, baby you could be my,. Baby you could, baby you, baby you could be my,. Baby you could, baby you, baby you could be my,. Call the paramedic,. Call-call the paramedic,. C-c-call the paramedic. Cupid-cupid just shot me. Call the paramedic,. Call-call the paramedic,. C-c-call the paramedic. Cupid-cupid just shot me. So many pretty faces,. But you are the special one. And about to give my heart. Is like a kick in the drum. I never wanna leave you. 'cause I know how much I need you. I'm happy just to be around you, you,. So if you've found the one throw your heart in the sky. Let 'em know that love has started. Now I never have to wonder why. 'cause she'll know for sure. She's the reason Imma buy a lot of candy,. In the mall spending all my money. I gotta make it clear so she understands me. I ain't got a girlfriend. But baby you could be my valentine. Baby you could, baby you could,. Baby you could, baby, baby you could be my. Baby you could, baby you could,. Baby you could, baby, baby you could be my. Just say yes and the rest will be okay. 'cause I got you girl, yeah,. 'cause you're in my world, yeah,. Everyday will be a valentine. As long as you're close. She's the reason Imma buy a lot of candy,. In the mall spending all my money,. I gotta make it clear so she understands me. I ain't got a girlfriend. But baby you could be my valentine. Eh, baby you could be my. Baby you could be my. Can you be my valentine, valentine. Yeah. [speaking]. ""license and registration please ma'am,. You just stole my heart.. It's gold coast's finest, baby, yeah.. 2, 3, go"". Call the paramedic,. Call-call the paramedic,. C-c-call the paramedic. Cupid just shot me. Call the paramedic,. Call-call the paramedic,. C-c-call the paramedic. Cupid-cupid just shot me. Call the paramedic,. Call-call the paramedic,. C-c-call the paramedic. Cupid just shot me. Call the paramedic,. Call-call the paramedic,. C-c-call the paramedic. Cupid-cupid just shot me"
tell me why (with the tide),"Oh, yeah, yeah, yeah, yeah. Tell me why, tell me why. You ain't living, but you do not die. Tell me why, tell me why. You ain't laughing, but you do not cry. Cry for the young man who's fighting for your mind. Cry for the old man who's just past his time. Tell me why, tell me why. You ain't living, but you do not die. Oh, tell me why. Tell me why the leaves, well, they fall with your breath. And if the leaves don't fall when they leave your breath to rest. Your rebellion puts you up to test. To the nation for evaluation [watching washing?] wild with their radio station. With their radio station. Now I'm done playing the game, oh, yeah. Just searching for shading with the tide with your tired mind. Put your breakup to the side. Tell me why, tell me why. You ain't living, but you do not die. Tell me why, tell me why. You ain't laughing, but you do not cry. Cry for the young man who's fighting for your mind. Cry for the old man who's just past his time. Tell me why, tell me why. You ain't living, but you do not die. You do not"
all day,"Our life is right here.... Oh, oh, oh... Woah.... This young girl,. She's so cute.. Everytime I see her. Wear a fresh pair of shoes.. Cause this young girl,. She's such a killer.. Can't wait till I have it. I'ma spend half a milla.. I can see us together on top,. We livin like we hit the jackpot.. Cha-ching like money in the bank.. You should be with me. You're like my favorite song on the radio, radio, radio, radio.. I could listen to you, all day.. You're like a music video, video, vid, vid, video. I could look at you, all day.. You make me do my two step, all day.. You keep me looking happier, all day. So you should be my girlfriend, all day.. Like a hit on the radio, radio. You, you, you, you, you,. Got this young boy rackin his brain.. Tryna make you mine, but I don't got a ring.. You got this young boy, going insane.. Tell me that you're single and you're waiting for me.. I can see us together on top.. We're living like we hit the jackpot.. Cha-Ching, money in the bank.. You should be with me.. You're like my favorite song on the radio, radio, radio, radio.. I could listen to you, all day.. You're like a music video, video, vid, vid, video. I could look at you, all day.. You make me do my two step, all day.. You keep me looking happier, all day. So you should be my girlfriend, all day. We're like a hit on the radio, radio. Singin to this song all day, day.... Singin to this song all day, day..."
underwater (with the tide),"Let's get away wanna take you to somewhere I know. Somewhere I know. Baby I just wanna go. Take you somewhere I know, oh. Uncivilized islands are waiting outside of the bar. Out of the bar. I'm waiting outside in the car. Let's get up out of the bar. Cause I wanna go. Somewhere I know. Where we can take it slow. I wanna go, I wanna go. I wanna go. Somewhere I know. Where we can take it slow. I wanna go, I wanna go. I'm underwater. ‘Cause I'm drowning in your body. Baby we can leave this party. Take you somewhere that I know. I wanna go. Underwater. ‘Cause I'm drowning in your body. Baby we can leave this party. Take you somewhere that I know. I wanna go. Topping up the fuel. Filled with azure cool. To the crystal pool. Let's get away now. Let's get away now. The silver engine hums. Pirates ship is done. Million ways to run. Let's get away now. Let's get away now. Cause I wanna go. Somewhere I know. Where we can take it slow. I wanna go, I wanna go. I wanna go. Somewhere I know. Where we can take it slow. I wanna go, I wanna go. I'm underwater. ‘Cause I'm drowning in your body. Baby we can leave this party. Take you somewhere that I know. I wanna go. Underwater. ‘Cause I'm drowning in your body. Baby we can leave this party. Take you somewhere that I know. I wanna go. Let's get away wanna take you to somewhere I know. Somewhere I know. Baby I just wanna go. Take you somewhere I know, oh. Uncivilized islands are waiting outside of the bar. Out of the bar. I'm waiting outside in the car. Let's get up out of the bar. Cause I wanna go. Somewhere I know. Where we can take it slow. I wanna go, I wanna go. I wanna go. Somewhere I know. Where we can take it slow. I wanna go, I wanna go. I'm underwater. ‘Cause I'm drowning in your body. Baby we can leave this party. Take you somewhere that I know. I wanna go. Underwater. ‘Cause I'm drowning in your body. Baby we can leave this party. Take you somewhere that I know. I wanna go"
