bubbly,"I've been awake for a while now. You've got me feeling like a child now. 'Cause everytime I see your bubbly face. I get the tingles in a silly place. It starts to my toes. and I crinkle my nose. Wherever it goes I always know. that you make me smile. please stay for a while now. just take your time. wherever you go. The rain is falling on my window pane. but we are hiding in a safer place. under covers staying dry and warm. you give me feelings that I adore. It starts in my toes. makes me crinkle my nose. wherever it goes. I always know. that you make me smile. please stay for a while now. just take your time. wherever you go. What am I gonna say. when you make me feel this way. I just........mmmmmmmmmmm. It starts in my toes. makes me crinkle my nose. wherever it goes. I always know. that you make me smile. please stay for a while now. just take your time. wherever you go. I've been asleep for a while now. You tucked me in just like a child now. Cause everytime you hold me in your arms. I'm comfortable enough to feel your warmth. It starts to my soul. And I lose all control. When you kiss my nose. The feeling shows. Cause you make me smile. Baby just take your time now. Holding me tight. Wherever, wherever, wherever you go. Wherever, wherever, wherever you go....."
try,"Put your makeup on. Get your nails done. Curl your hair. Run the extra mile. Keep it slim so they like you. Do they like you?. Get your sexy on. Don't be shy, girl. Take it off. This is what you want to belong. So they like you. Do you like you?. You don't have to try so hard. You don't have to give it all away. You just have to get up, get up, get up, get up. You don't have to change a single thing. You don't have to try, try, try, try. You don't have to try, try, try, try. You don't have to try, try, try, try. You don't have to try. You don't have to try. Ooh. Ooh. Get your shopping on. At the mall. Max your credit cards. You don't have to choose. Buy it all. So they like you. Do they like you?. Waiting a second. Why should you care. What they think of you. When you're all alone. Do you like you?. Do you like you?. You don't have to try so hard. You don't have to give it all away. You just have to get up, get up, get up, get up. You don't have to change a single thing. You don't have to try so hard. You don't have to bend until you break. You just have to get up, get up, get up, get up. You don't have to change a single thing. You don't have to try, try, try, try. You don't have to try, try, try, try. You don't have to try, try, try, try. You don't have to try. You don't have to try, try, try, try. You don't have to try, try, try, try. You don't have to try, try, try, try. You don't have to try. You don't have to try. Nooh. Ooh. You don't have to try so hard. You don't have to give all away. You just have to get up, get up, get up, get up. You don't have to change a single thing. You don't have to try, try, try,try. You don't have to try, try, try, try. You don't have to try. You don't have to try. Take your make up off. Let your hair down. Take a breath. Look into the mirror at yourself. Don't you like you?. 'Cause I like you"
fallin' for you,I don't know but. I think I may be. Falling for you. Dropping so quickly. Maybe I should. Keep this to myself. Waiting 'till I know you better. [Bridge]. I am trying. Not to tell you. But I want to. I'm scared of what you'd say. So I'm hiding. What I'm feeling. But I'm tired of. Holding this inside my head. [Chorus]. I've been spending all my time. Just thinking 'bout you. I don't know what to do. I think I'm fallin' for you. I've been waiting all my life. And now I found you. I don't know what to do. I think I'm fallin' for you. I'm fallin' for you. As I'm standing here. And you hold my hand. Pull me towards you. And we start to dance. All around us. I see nobody. Here in silence. It's just you and me. [Bridge]. I am trying. Not to tell you. But I want to. I'm scared of what you'd say. So I'm hiding. What I'm feeling. But I'm tired of. Holding this inside my head. . [Chorus]. I've been spending all my time. Just thinking 'bout you. I don't know what to do. I think I'm fallin' for you. I've been waiting all my life. And now I found you. I don't know what to do. I think I'm fallin' for you. I'm fallin' for you. . Oh I just can't take it. My heart is racing. Emotions keep spinning out. [Chorus]. I've been spending all my time. Just thinking 'bout you. I don't know what to do. I think I'm fallin' for you. I've been waiting all my life. And now I found you. I don't know what to do. I think I'm fallin' for you. I'm fallin' for you. I think I'm fallin' for you. I can't stop thinking 'bout it. I want you all around me. And now I just can't hide it. I think I'm fallin' for you. I think I'm fallin' for you. Fallin' for you
i do,"It's always been about me myself and I. I thought relationships were nothing but a waste of time. I never wanted to be anybody's other half. I was happy saying that our love wouldn't last. That was the only way I knew till I met you. You make me wanna say I do, I do, I do, do do do do do do doo. Yeah, I do, I do, I do, do do do do do do doo. Cause every time before it's been like. Maybe yes and maybe no. I could live without it, I could let it go. Ooh, what did I get myself into. You make me wanna say I do, I do, I do, I do, I do, I do. Tell me is it only me. Do you feel the same?. You know me well enough to know that I'm not playing games. I promise I won't turn around and I won't let you down. You can trust I never felt like I feel it now. Baby there's nothing, there's nothing we can't get through. So can we say. I do, I do, I do, do do do do do do doo. Oh baby, I do, I do, I do, do do do do do do doo. Cause every time before it's been like. Maybe yes and maybe no. I won't live without it, I won't let it go. Wooh can I get myself into. You make me wanna say. Meet my family, how is your family. Ooh, can we be a family?. And when I'm many years old and sitting next to you. And we'll remember when we said. I do, I do, I do, do do do do do do doo. Oh baby, I do, I do, I do, do do do do do do doo. Cause every time before it's been like. Maybe yes and maybe no. I won't live without it, I won't let us go. Just look at what we got ourselves into. You make me wanna say I do, I do, I do, I do, I do, I do. Love you"
i never told you,"I miss those blue eyes. How you kiss me at night. I miss the way we sleep. Like there's no sunrise. Like the taste of your smile. I miss the way we breathe. But I never told you. What I should have said. No, I never told you. I just held it in. And now,. I miss everything about you. Can't believe that I still want you. and after all the things we've been through. I miss everything about you. Without you. I see your blue eyes. Everytime I close mine. You make it hard to see. Where I belong to. When I'm not around you. It's like I'm alone with me. But I never told you. What I should have said. No, I never told you. I just held it in. And now,. I miss everything about you. Can't believe that I still want you. and after all the things we've been through. I miss everything about you. Without you. But I never told you. What I should have said. No, I never told you. I just held it in. And now,. I miss everything about you. Can't believe that I still want you. and after all the things we've been through. I miss everything about you. Without you"
midnight bottle,"Midnight bottle take me come. With me my memories and everything come back to me. Midnight bottle make it real. What feels like make believe. So I can see a little more clearly. Like every single move you make. Kissing me so carefully. On the corners of my dreaming eyes. I've got a midnight bottle gonna drink it down. A one way ticket takes me to the times we had before. When everything felt so right. If only for tonight I've got a midnight bottle gonna. Ease my pain. From all these feelings driving me insane. When I think of you and everything's all right. If only for tonight. Got a midnight bottle drifting off into. The candlelight where I can find you in your time. A midnight bottle I forgot how good. It felt to be in a dream just like you had me. Cuz lately I've been stumbling. Feels like I'm recovering. But I think it's only for tonight. I've got a midnight bottle gonna drink it down. A one way ticket takes me to the times we had before. When everything felt so right. If only for tonight I've got a midnight bottle gonna. Ease my pain. From all these feelings driving me insane. When I think of you. and everything's all right if only for tonight. If only for tonight, if only for tonight,. if only for Tonight. I've got a midnight bottle gonna drink it down. A one way ticket takes me to the times we had before. When everything felt so right. If only for tonight I've got a midnight bottle gonna. Ease my pain. From all these feelings driving me insane. When I think of you. and everything's all right if only for tonight. If only for tonight, if only for tonight,. if only for Tonight"
realize,"Take time to realize. That your warmth is. Crashing down on in. Take time to realize. That I am on your side. Well didn't I, didn't I tell you. But I can't spell it out for you. No it's never gonna be that simple. No I can't spell it out for you. If you just realize. What I just realized. That we'd be perfect for each other. And we'll never find another. Just realize. What I just realized. We'd never have to wonder. If we missed out on each other, now. Take time to realize. Oh oh, I'm on your side. Didn't I, didn't I tell you. Take time to realize. This all can pass you by. Didn't I tell you. But I can't spell it out for you. No, it's never gonna be that simple. No, I can't spell it out for you. If you just realize. What I just realized. That we'd be perfect for each other. And we'll never find another. Just realize. What I just realized. We'd never have to wonder. If we missed out on each other, but. It's not the same. No it's never the same. If you don't feel it too. If you meet me half way. If you would meet me half way. It could be the same for you. If you just realize. What I just realized. That we'd be perfect for each other. And we'll never find another. Just realize. What I just realized. We'd never have to wonder. If we missed out on each other. Just realize. What I just realized. That we'd be perfect for each other. And we'll never find another. Just realize. What I just realized. We'd never have to wonder. If we missed out on each other, now. Missed out on each other now. Missed out on each other now. Missed out on each other now owa, owa ohh. Realize. Realize"
lucky (ft. jason mraz),"Do you hear me, I'm talking to you. Across the water, across the deep blue. ocean under the open sky. Oh my, Baby I'm trying. Boy I hear you in my dreams. I feel your whisper across the sea. I keep you with me in my heart. You make it easier when life gets hard. Lucky I'm in love with my best friend. Lucky to have been where I have been. Lucky to be coming home again. Ooohh oooh oooh oooh ooh ooh ooh ooh. They don't know how long it takes. waiting for a love like this. Every time we say goodbye. I wish we had one more kiss. I'll wait for you I promise you, I will. Lucky I'm in love with my best friend. Lucky to have been where I have been. Lucky to be coming home again. Lucky we're in love in every way. Lucky to have stayed where we have stayed. Lucky to be coming home someday. And so I'm sailing through the sea. to an island where we'll meet. You'll hear the music, feel the air. I'll put a flower in your hair. Through the breezes through trees. move so pretty you're all I see. As the world keeps spinning 'round. you hold me right here right now. Lucky I'm in love with my best friend. Lucky to have been where I have been. Lucky to be coming home again. Lucky we're in love in every way. Lucky to have stayed where we have stayed. Lucky to be coming home someday. Ooohh oooh oooh oooh ooh ooh ooh ooh. Ooohh oooh oooh oooh ooh ooh ooh ooh"
never gonna let you down,"Low. When you're feeling low. And you just don't know where to run to. Broke. If your heart's been broke. And you feel like you're all alone. If you need something to believe in. If you're looking for a light to guide you home. Just look inside. Your light is shining brighter than you know. You should know. I'm never gonna let you down. I'm always gonna build you up. And when you're feeling lost. I will always find you love. I'm never gonna walk away. I'm always gonna have your back. And if nothing else you can always count on that. When you need me. I promise I will never let you down. Laugh. I will make you laugh. If you ever feel like crying. Close. I will hold you close. You won't be alone anymore. If you need someone to believe in. If you're reaching for a hand to guide you home. Just take my hand and I won't let you go. I hope you know. I'm never gonna let you down. I'm always gonna build you up. And when you're feeling lost. I will always find you love. I'm never gonna walk away. I'm always gonna have your back. And if nothing else you can always count on that. When you need me. I promise I will never let you down. Ain't never gonna let you down. If you need something to believe in. If you feel you've reached the end of the road. Don't be afraid, I'll always guide you home. You should know. I'm never gonna let you down. I'm always gonna build you up. And when you're feeling lost. I will always find you love. I'm never gonna walk away. I'm always gonna have your back. And if nothing else you can always count on that. When you need me. I promise I will never let you down"
anything at all,"I could tell by the tone of your voice. That this isn't working out. I can tell by the look in your eyes. You've made up your mind you haven't got a doubt. I remember when I first saw you. I remember the way I felt. And you're breaking me to pieces. And I don't know how I deal with this, but I fight. Learned, anything at all it was to. Always be true to yourself and I know this isn't the end of this. I will fall. Have you ever watched the shadows. fly across the midnight sky?. I always used to watch the sunset. But it seems that I haven't got the time anymore. But if I learned anything at all it was to. Always be true to yourself and I see what I can do now. I'm gonna try. I've been thinking for days (for days). I've been sleepless for nights (for nights). But it all came to me. Driving home crying my eyes out. And if I learned anything at all it was to. never give in. cause I see all my dreams laid out in front of me. And for once, it doesn't seem so tough. no it doesn't seem so tough"
