girls just want to have fun,"I come home in the morning light. My mother says when you're gonna live your life right. Oh mother dear we're not the fortunate ones. And girls they wanna have fun. Oh girls just wanna have fun. The phone rings in the middle of the night. My father yells what you're gonna do with your life. Oh daddy dear you know you're still number one. But girls they wanna have fun. Oh girls just wanna have... That's all they really want. Some fun. When the working day is done. Oh girls... they wanna have fun. Oh girls just wanna have fun. Wanna have fun. Girls wanna have.... Some boys take a beautiful girl. And hide her away from the rest of the world. I wanna be the one to walk in the sun. Oh girls they wanna have fun. Oh girls just wanna have. That's all they really want. Some fun. When the working day is done. Oh girls... they wanna have fun. Oh girls just wanna have fun,. Wanna have fun. Girls wanna have.... They just wanna.... (girls). They just wanna.... (girls just wanna have fun). They just wanna have fun.... When the working. When the working day is done.... When the working day is done.... Oh girls.... Girls just want to have fun.... They just wanna.... (girls). They just wanna.... (girls just wanna have fun). They just wanna have fun..."
time after time,"Lying in my bed. I hear the clock tick and think of you. Caught up in circles. Confusion is nothing new. Flashback warm night, almost left behind. Suitcase of memories. Time after. Sometime you pictured me. I'm walking too far ahead. You're calling to me. I can't hear what you've said. Then you said: Go slow, I fall behind. The second hand unwinds. If you're lost you can look. And you will find me, time after time. If you fall I will catch you. I'll be waiting, time after time. If you're lost you can look. And you will find me, time after time. If you fall, I will catch you. I'll be waiting, time after time. After my picture fades. And darkness has turned to grey. Watching through windows. You're wondering if I'm ok. Secrets stolen from deep inside. The drum beats out of time. If you're lost you can look. And you will find me, time after time. If you fall I will catch you. I'll be waiting, time after time. If you're lost you can look. And you will find me, time after time. If you fall I will catch you. I'll be waiting, time after time. You said: Go slow, I fall behind. The second hand unwinds. If you're lost you can look. And you will find me, time after time. If you fall I will catch you. I'll be waiting, time after time. If you're lost you can look. And you will find me, time after time. If you fall I will catch you. I'll be waiting, time after time. Time after time"
true colors,"You with the sad eyes. Don't be discouraged. Oh I realize. It's hard to take courage. In a world full of people. You can lose sight of it all. And the darkness inside you. Can make you feel so small. But I see your true colors. Shining through. I see your true colors. And that's why I love you. So don't be afraid to let them show. Your true colors. True colors are beautiful,. Like a rainbow. Show me a smile then,. Don't be unhappy, can't remember. When I last saw you laughing. If this world makes you crazy. And you've taken all you can bear. You call me up. Because you know I'll be there. And I see your true colors. Shining through. I see your true colors. And that's why I love you. So don't be afraid to let them show. Your true colors. True colors are beautiful,. Like a rainbow. I can't remember. When I last saw you laughing. If this world makes you crazy. And you've taken all you can bear. You call me up. Because you know I'll be there. And I see your true colors. Shining through. I see your true colors. And that's why I love you. So don't be afraid to let them show. Your true colors, true colors. True colors are shining through. I see your true colors. And that's why I love you. So don't be afraid to let them show. Your true colors. True colors are beautiful,. Like a rainbow"
all through the night,"All through the night. I'll be awake. And I'll be with you. All through the night. This precious time. When time is new. Oh. All through the night today. Knowing that we feel the same. Without saying. We have no past, we won't reach back. Keep with me forward all through the night. And once we start the meter clicks. And it goes running all through the night. Until it ends, there is no end. All through the night. Stray cat is crying. So stray cat sings back. All through the night. They have forgotten. What binding they lack. Oh. Under those white street lamps. There is a little chance they may see. We have no past, we won't reach back. Keep with me forward all through the night. And once we start the meter clicks. And it goes running all through the night. Until it ends, there is no end. Oh. The sleep in your eyes is enough. Let me be there, let me stay there a while. We have no past, we won't reach back. Keep with me forward all through the night. And once we start the meter clicks. And it goes running all through the night. Until it ends, there is no end"
the goonies 'r' good enough,Here we are. Hanging on to strains of greed and blues. Break the chain and we break down. Oh it's not real if you don't feel it. Unspoken expectations. Ideals you used to play with. They've finally taken shape. [Chorus:]. What's good enough for you. Is good enough for me. It's good enough. It's good enough for me. Yeah yeah yeah yeah yeah. Now you say. You're startin' to feel the push and pull. Of what could be and never can. You mirror me stumblin' through those. Old fashioned superstitions. I find too hard to break. Oh maybe you're out of place. [Chorus]. Old fashioned superstitions. I find too hard to break. Oh maybe you're out of place. [Chorus]
money changes everything,"I said I'm sorry baby I'm leaving you tonight. I found someone new he's waitin' in the car outside. Ah honey how could you do it. We swore each other everlasting love. She said well yeah I know but when. We did--there was one thing we weren't. Really thinking of and that's money--. Money changes everything. I said Money, money changes everything. We think we know what we're doin'. That don't mean a thing. It's all in the past now. Money changes everything. They shake your hand and they smile. And they buy you a drink. They say we'll be your friends. We'll stick with you till the end. Ah but everybody's only. Looking out for themselves. And you say well who can you trust. I'll tell you it's just. Nobody else's money--. Money, Money changes everything. I said Money, Money changes everything. We think we know what we're doin'. We don't pull the strings. It's all in the past now. Money changes everything. Money changes everything. Money changes everything. We think we know what we're doing. We don't know a thing. It's all in the past now. Money changes everything. Money changes everything. Money changes everything"
i drove all night,"I had to escape. The city was sticky and cruel. Maybe I should have called you first. But I was dying to get to you. I was dreaming while I drove. The long straight road ahead, uh, huh. Could taste your sweet kisses. Your arms open wide. This fever for you is just burning me up inside. I drove all night to get to you. Is that alright. I drove all night. Crept in your room. Woke you from your sleep. To make love to you. Is that alright. I drove all night. What in this world. Keep us from tearing apart. No matter where I go I hear. The beating of your heart. I think about you. When the night is cold and dark. No one can move me. The way that you do. Nothing erases this feeling between me and you. I drove all night to get to you. Is that alright. I drove all night. Crept in your room. Woke you from your sleep. To make love to you. Is that alright. I drove all night. Could taste your sweet kisses. Your arms open wide. This fever for you is just burning me up inside. I drove all night to get to you. Is that alright. I drove all night. Crept in your room. Woke you from your sleep. To make love to you. I drove all night... to hold you tight"
change of heart,Here I am. Just like I said I would be. I'm your friend. Just like you think it should be. Did you think I would stand here and lie. As our moment was passing us by. Oh I am here. Waiting for your change of heart. It just takes a beat. To turn it around. Yes I'm waiting for your change of heart. At the edge of my seat. Please turn it around. Days go by. Leaving me with a hunger. I could fly. Back to when we were younger. When adventures like cars we would ride. And the years lied ahead still untried. While I stand here. Waiting for your change of heart.... Blind leading blind. Never hear the laughter. Search through time. Nothing reveals the answer. If it's truth that you're looking to find. It is nowhere outside of your mind. I bide my time. Waiting for your change of heart...
funnel of love,"Here I go. Going down, down, down. My mind is a blank. My head is spinning around and around. As I go deep into the funnel of love. It's such a crazy, crazy feeling. I get weak in the knees. My poor old head is a reelin'. As I go deep into the funnel of love. I tried and I tried, to run and hide. I even tried to run away. Ya just can't run from the funnel of love. It's gonna get ya someday. It's such a crazy, crazy feeling. I get weak in the knees. My poor old head is a reelin'. As I go deep into the funnel of love. I tried and I tried, to run and hide. I even tried to run away. Ya just can't run from the funnel of love. It's gonna get ya someday. Here I go, going down, down, down. My mind is a blank. My head is spinning around and around. As I go deep into the funnel of love. Deep into the funnel of love. Deep into the funnel of love"
a night to remember,I look out my window. Into the pouring rain. I wish I could tell you. That I stopped hearing your name. And then I realize every thought of you. Runs a circle around my heart. I hear your voice haunting me. I feel your touch in the dark. It was a night to remember. All your kisses I still taste. It was a night to remember. Can't forget the look on your face. It was a night. Starlight send a message. Like a beacon into the night. To tell you I'm lonely. When I shut out the light. Because a part of me left with you. So I feel lost inside. Sometimes I look into my mirror. I see you shining through my eyes. It was a night to remember. All your kisses I still taste. It was a night to remember. Can't forget the look on your face. It was a night to remember. All these feelings I can't erase. From my heart. Endless dreams. Around my shoulders. I cannot free this restless heart. It was a night to remember. ...Not enough time for you to stay.... ...Can't forget the look on your face.
