titanium (feat. sia),"You shout it loud. But I can't hear a word you say. I'm talking loud not saying much. I'm criticized but all your bullets ricochet. You shoot me down, but I get up. I'm bulletproof, nothing to lose. Fire away, fire away. Ricochets, you take your aim. Fire away, fire away. You shoot me down but I won't fall. I am titanium. You shoot me down but I won't fall. I am titanium. Cut me down. But it's you who'll have further to fall. Ghost town, haunted love. Raise your voice. Sticks and stones may break my bones. I'm talking loud not saying much. I'm bullet proof, nothing to lose. Fire away, fire away. Ricochets, you take your aim. Fire away, fire away. You shoot me down but I won't fall. I am titanium. You shoot me down but I won't fall. I am titanium. I am titanium. I am titanium. Stone hard, machine gun. Firing at the ones who run. Stone hard, as bulletproof glass. You shoot me down but I won't fall. I am titanium. You shoot me down but I won't fall. I am titanium. You shoot me down but I won't fall. I am titanium. You shoot me down but I won't fall. I am titanium. I am titanium"
flames (with sia),"One foot in front of the other babe. One breath leads to another yeah. Just keep moving. Look within for the strength today. Listen now for the voice to say. Just keep moving. Go, go, go. Figure it out. figure it out, but don't stop moving. Go, go, go. Figure it out. figure it out, you can do this. So my love, keep on running. You gotta get through today. There my love, keep on running. Gotta keep those tears at bay. Oh, my love, don't stop burning. Gonna send them up in flames. In flames. Don't stop, tomorrow's another day. Don't stop, tomorrow you'll feel no pain. Just keep moving. Don't stop, the past'll trip you up. You know, right now gotta be enough. Just keep moving. Go, go, go. Figure it out. figure it out, but don't stop moving. Go, go, go. Figure it out. figure it out, you can do this. So my love, keep on running. You gotta get through today. There my love, keep on running. Gotta keep those tears at bay. Oh, my love, don't stop burning. Gonna send them up in flames. In flames. In flames. In flames. Go, go, go. Figure it out. figure it out, but don't stop moving. Go, go, go. Figure it out. figure it out, you can do this. So my love, keep on running. You gotta get through today. There my love, keep on running. Gotta keep those tears at bay. Oh, my love, don't stop burning. Gonna send them up in flames. In flames"
2u (feat. justin bieber),"No limit in the sky. That I won't fly for ya. No amount of tears in my eyes. That I won't cry for ya, oh no. With every breath that I take. I want you to share that air with me. There's no promise that I won't keep. I'll climb a mountain, there's none too steep. When it comes to you. There's no crime. Let's take both of our souls. And intertwine. When it comes to you. Don't be blind. Watch me speak from my heart. When it comes to you, comes to you. Want you to share that. (It comes to you). Cupid in a line. Arrow got your name on it, oh yeah. Don't miss out on a love. And regret yourself on it, oh. Open up your mind, clear your head. Ain't gotta wake up to an empty bed. Share my life, it's yours to keep. Now that I give to you all of me, oh. When it comes to you. There's no crime. Let's take both of our souls. And intertwine. When it comes to you. Don't be blind. Watch me speak from my heart. When it comes to you, comes to you. Want you to share that. (Share) When it comes to you. Want you to share that. When it comes to you. There's no crime. Let's take both of our souls. And intertwine. When it comes to you. Don't be blind. Watch me speak from my heart. When it comes to you, comes to you"
don't leave me alone (feat. anne-marie),"I don't wanna lie, can we be honest?. Right now while you're sitting on my chest. I don't know what I'd do without your comfort. If you really go first if you really left. I don't know if I would be alive today. With or without you like night and day. Read and repeat every conversation. Being with you, every day is a Saturday. But every Sunday you've got me praying. Don't you ever leave me, don't you ever go. I've seen it on TV, I know how it goes. Even when you're angry, even when I'm cold. Don't you ever leave me, don't leave me alone. Don't leave me a. Ah, ah, alone. Ah, ah, ha. Ah, ah, alone. Ah, ah, ha. I don't wanna call and you don't answer. Never see your face light up my phone. Never see you singing tiny dancer. Every time my head hurts, every time I'm low. Because I don't know if I would be alive today. With or without you like night and day. Everything about you uncomplicated. Here with you, every day is a Saturday. But every Sunday, you've got me praying. Don't you ever leave me, don't you ever go. I've seen it on TV, I know how it goes. Even when you're angry, even when I'm cold. Don't you ever leave me, don't leave me alone. Don't leave me a. Ah, ah, alone. Ah, ah, ha. Ah, ah, alone. Ah, ah, ha (make me, alo-). Don't you ever leave me. Don't you ever go. Don't you ever leave me. No, oh. Don't you ever leave me, don't you ever go. I've seen it on TV, I know how it goes. Even when you're angry, even when I'm cold. Don't you ever leave me, don't leave me alone. Don't you ever leave me, don't you ever go. I've seen it on TV, I know how it goes. Even when you're angry, even when I'm cold. Don't you ever leave me, don't leave me alone. Even when you're angry, even when I'm cold. Don't you ever leave me, don't leave me alone"
without you (feat. usher),"I can't win, I can't reign. I will never win this game without you. Without you. I am lost, I am vain. I will never be the same without you. Without you. I won't run, I won't fly. I will never make it by without you. Without you. I can't rest, I can't fight. All I need is you and I. Without you. Without.... You! You! You! You!. You! You! You! You!. Without.... You! You! You! You!. Without you. Can't erase, so I'll take blame. But I can't accept that we were strange without you. Without you. I can't quit now, this can't be right. I can't take one more sleepless night without you. Without you. I won't soar, I won't climb. If you're not here, I'm paralyzed without you. Without you. I can't look, I'm so blind. Lost my heart, I lost my mind without you. Without..... You! You! You! You!. You! You! You! You!. Without.... You! You! You! You!. Without you. I am lost, I am vain. I will never be the same without you. Without you. Without you. Crédito: Eduardo Soares Roncoletta"
she wolf (falling to pieces) (feat. sia),"A shot in the dark,. A past lost in space. Where do I start?. The past and the chase?. You hunted me down. Like a wolf, a predator. I felt like a deer in love lights. You loved me and l froze in time. Hungry for that flesh of mine. But I can't compete with a she wolf. Who has brought me to my knees. What do you see in those yellow eyes. Cause I'm falling to pieces. I'm falling to pieces. Falling to pieces. I'm falling to pieces. Falling to pieces. Did she lie in wait. Was I bait to pull you in. The thrill of the kill. You feel, is a sin. I lay with the wolves. Alone, it seems. I thought I was part of you. You loved me and l froze in time. Hungry for that flesh of mine. But I can't compete with a she wolf. Who has brought me to my knees. What do you see in those yellow eyes. Cause I'm falling to pieces. I'm falling to pieces. Falling to pieces. I'm falling to pieces. Falling to pieces. I'm falling to pieces. Falling to pieces. I'm falling to pieces. Falling to pieces"
"hey mama (feat. nicki minaj, bebe rexha & afrojack)","Be my woman, girl. I'll be your man. Be my woman, girl. I'll be your man. Yes I'll be your woman. Yes I'll be your baby. Yes I'll be whatever, that you tell me when you're ready. Yes I'll be your girl, forever your lady. You ain't never gotta worry, I'm down for you baby. Best believe that, when you need that. I'll provide that, you will always have it. I'll be on deck, keep it in check. When you need that, I'ma let you have it. Beating my drum like, dum di di dey. I like the dirty rhythm you play. I wanna hear you calling my name. Like, hey mama, mama, hey mama, ma. Banging the drum like, dum di di dey. I know you want it in the worst way. I wanna hear you calling my name. Like, hey mama, mama, hey mama, ma. Be my woman, girl. I'll be your man. Be my woman, girl. I'll be your man. Yes I'll do the cooking. Yes I'll do the cleaning. Plus I keep the na-na real sweet for your eating. Yes you be the boss, yes I be respecting. Whatever that you tell me cause it's game you be spitting. Best believe that, when you need that. I'll provide that, you will always have it. I'll be on deck, keep it in check. When you need that, I'ma let you have it. Beating my drum like, dum di di dey. I like the dirty rhythm you play. I wanna hear you calling my name. Like, hey mama, mama, hey mama, ma. Banging the drum like, dum di di dey. I know you want it in the worst way. I wanna hear you calling my name. Like, hey mama, mama, hey mama, ma. Yo, yo. Whole crew got the juice. Your dick game the truth. My screams is the proof. Them other dudes get the deuce. I might speed in the coupe. Leaving this interview. It ain't nothing new, I been fucking with you. None of them bitches ain't taking you. Just tell them to make a U. That how it be, I come first like debuts. So baby when you need that. Give me that word. I'm no good, I'll be bad for my baby. Make sure that he's getting his share. Make sure that his baby take care. Make sure I'm on my toes, on my knees. Keep him pleased, rub him down. Be the Lady and A Freak. Beating my drum like, dum di di dey. I like the dirty rhythm you play. I wanna hear you calling my name. Like, hey mama, mama, hey mama, ma. Banging the drum like, dum di di dey. I know you want it in the worst way. I wanna hear you calling my name. Like, hey mama, mama, hey mama, ma. Be my woman, girl. I'll be your man. Be my woman, girl. I'll be your man"
dangerous (feat. sam martin),"You. You take me down. Spin me around. You got me running all the lights. Don't make a sound. Talk to me now. Let me inside your mind. I don't know what you're thinking, sugar. But I just got that feeling sugar. And I can hear the sirens burning. Red lights turning. I can't turn back now. So hold on tight. I don't know where the lights are taking us. But something in the night is dangerous. And nothing's holding back the two of us. Baby this is getting serious. Oh oh oh. Da-dan-da-dangerous. Oh oh oh. Show me your soul. I gotta know. Bet that you're beautiful inside. Toes on that glass. Car moving fast. Come take the wheel and drive. I don't know what you're thinking, sugar. But I just got that feeling sugar. And I can hear the sirens burning. Red lights turning. I can't turn back now. So hold on tight. I don't know where the lights are taking us. But something in the night is dangerous. And nothing's holding back the two of us. Baby this is getting serious. Oh oh oh. Dan-dan-dan-dangerous. Oh oh oh. Dan-dan-dan-dangerous. It's dangerous, so dangerous. I wanna do it again. Come on baby. It's dangerous, so dangerous. I wanna do it again. It's dangerous, so dangerous. I wanna do it again. I don't know where the lights are taking us. But something in the night is dangerous. And nothing's holding back the two of us. Baby this is getting serious. Oh oh oh. Dan-dan-dan-dangerous. Oh oh oh. Dan-dan-dan-dangerous"
"play hard (feat. ne-yo, akon)","C'ome on baby and drop it, ok. Scrub that floor and just mop it, ok. Show these gangsters how you pop lock it, ok. Don't care what you've got in your pocket, ok. I hate the way that you rockin'. Flip that thang thang girl stop it. Wanna just bang bang and pop it. While the club crowded just watch you. Work it out. Got a gang of cash and it's going all on the bar. Now work it out. And it's going fast cos I feel like a superstar. Now work it out. And you may not have it I might've just broke the law. Now work it out. It's your time to grab it. Now make this whole thing yours. Now work it out. Hey, said a hustler's work is never through. We're making it cause we make it move. The only thing we know how to do. Said it's the only thing we know how to do. Work hard, play hard, work hard, play hard. We work hard, play hard. Keep partying like it's your job. Work hard, play hard, work hard, play hard. We work hard, play hard. Keep partying like it's your job, eh. So I'm fresh to death looking plush, ok. Ladies can't get enough, ok. Got my fitness on looking buff, ok. And all my people with my trust, ok. Holding down for my city. If they askin' you I'm not guilty. Only thing that I'm guilty of. Is making you rock with me work it out. Got a gang of cash and it's going all on the bar. Now work it out. And it's going fast cos I feel like a superstar. Now work it out. And you may not have it I might've just broke the law. Now work it out. It's your turn to grab it. Now make this whole thing yours. Now work it out. Hey, said a hustler's work is never through. We're making it cos we make it move. The only thing we know how to do. Said it's the only thing we know how to do. Work hard, play hard, work hard, play hard. We work hard, play hard. Keep partying like it's your job. Work hard, play hard, work hard, play hard. We work hard, play hard. Keep partying like it's your job, eh. Hey, said a hustler's work is never through. We're making it cos we make it move. The only thing we know how to do. Said it's the only thing we know how to do. Work hard, play hard, work hard, play hard. We work hard, play hard. Keep partying like it's your job. Work hard, play hard, work hard, play hard. We work hard, play hard. Keep partying like it's your job, eh"
sexy bitch (feat. akon),Yes I can see her. Cause every girl in here wanna be her. Oh she's a diva. I feel the same and I wanna meet her. They say she low down. It's just a rumor and I don't believe them. They say she needs to slow down. The baddest thing around town. She's nothing like a girl you've ever seen before. Nothing you can compare to your neighbourhood hoe. I'm trying to find the words to describe this girl. Without being disrespectful. The way that booty movin I can't take no more. Have to stop what I'm doin so I can pull up close. I'm trying to find the words to describe this girl. Without being disrespectful. Damn girl. Damn you're a sexy bitch. A sexy bitch. Damn you're a sexy bitch. Damn girl. Damn you're a sexy bitch. A sexy bitch. Damn you're a sexy bitch. Damn girl. Yes I can see her. Cause every girl in here wanna be her. Oh she's a diva. I feel the same and I wanna meet her. They say she low down. It's just a rumor and I don't believe them. They say she needs to slow down. The baddest thing around town. She's nothing like a girl you've ever seen before. Nothing you can compare to your neighbourhood hoe. I'm tryna find the words to describe this girl. Without being disrespectful. The way that booty movin' I can't take no more. Have to stop what I'm doing so I can pull up close. I'm tryna find the words to describe this girl. Without being disrespectful. Damn girl. Damn you're a sexy bitch. A sexy bitch. Damn you're a sexy bitch. Damn girl. Damn you're a sexy bitch. A sexy bitch. Damn you're a sexy bitch. Damn girl. Damn you're a sexy bitch. A sexy bitch. Damn you're a sexy bitch. Damn girl. Damn you're a sexy bitch. A sexy bitch. Damn you're a sexy bitch. Damn you're a sexy bitch
