stone cold,"Stone cold, stone cold. You see me standing but I'm dying on the floor. Stone cold, stone cold. Maybe if I don't cry, I won't feel anymore. Stone cold, baby. God knows I try to feel happy for you. Know that I am. Even if I can't understand. I'll take the pain, give me the truth. Me and my heart, we'll make it through. If happy is her, I'm happy for you. Stone cold, stone cold. You're dancing with her. While I'm staring at my phone. Stone cold, stone cold. I was your amber but now she's your shade of gold. Stone cold, baby. God knows I try to feel happy for you. Know that I am. Even if I can't understand. I'll take the pain, give me the truth. Me and my heart, we'll make it through. If happy is her, I'm happy for you. Don't wanna be stone cold, stone. I wish I could mean this but here's my goodbye. I'm happy for you. Know that I am. Even if I can't understand. If happy is her, if happy is her, I'm happy for you"
tell me you love me,"Oh no, here we go again. Fighting over what I said. I'm sorry, yeah I'm sorry. Bad at love, no, I'm not good at this. But I can't say I'm innocent. Not hardly, but I'm sorry. And all my friends, they know and it's true. I don't know who I am without you. I got it bad, baby. Got it bad. Oh, tell me you love me. I need someone on days like this, I do. On days like this. Oh, tell me you love me. I need someone. On days like this, I do. On days like this. Oh, can you hear my heart say. OOhh, ooh. No, you ain't nobody 'til you got somebody. You ain't nobody 'til you got somebody. And I hope I never see the day. That you move on and be happy without me. Without me. What's my hand without your heart to hold?. I don't know what I'm living for. If I'm living without you. All my friends, they know and it's true. I don't know who I am without you. I've got it bad, baby. I got it bad. Oh, tell me you love me. I need someone on days like this, I do. On days like this. Oh, tell me you love me. I need someone. On days like this, I do. On days like this. Oh, can you hear my heart say. OOhh, ooh. You ain't nobody 'til you got somebody. You ain't nobody 'til you got somebody. My heart's like. OOh, ooh. No, you ain't nobody 'til you got somebody. You ain't nobody 'til you got somebody. Everything I need. Is standing in front of me. I know that we will be alright, alright, yeah. Through the ups and downs. Baby, I'ma stick around. I promise we will be alright, alright. Oh, tell me you love me. I need someone on days like this, I do. On days like this. Oh, tell me you love me. I need someone. On days like this, I do. On days like this. Oh, can you hear my heart say. OOhh, ooh. You ain't nobody 'til you got somebody. You ain't nobody 'til you got somebody. My heart's like. OOh, ooh. Everything I need. Is standing in front of me. I know that we will be alright, alright, yeah"
give your heart a break,"The day I first met you. You told me you'd never fall in love. Now that I get you. I know fear is what it really was. Now here we are, so close. Yet so far, haven't I passed the test?. When will you realize. Baby, I'm not like the rest?. Don't wanna break your heart. Wanna give your heart a break. I know you're scared, it's wrong. Like you might make a mistake. There's just one life to live. And there's no time to waste, to waste. So let me give your heart a break,. give your heart a break. Let me give your heart a break, your heart a break. Oh yeah, yeah. On Sunday, you went home alone. There were tears in your eyes. I called your cell phone, my love. But you did not reply. The world is ours if we want it. We can take it, if you just take my hand. There's no turning back now. Baby, try to understand. Don't wanna break your heart. Wanna give your heart a break. I know you're scared, it's wrong. Like you might make a mistake. There's just one life to live. And there's no time to waste, to waste. So let me give your heart a break,. give your heart a break. Let me give your heart a break, your heart a break. There's just so much you can take,. Give your heart a break. Let me give your heart a break, your heart a break. Oh yeah, yeah. When your lips are on my lips. Then our hearts beat as one. But you slip out of my finger tips. Everytime you run. Don't wanna break your heart. I wanna give your heart a break. I know you're scared, it's wrong. Like you might make a mistake. There's just one life to live. And there's no time to waste, to waste. So let me give your heart a break. 'Cause you've been hurt before. I can see it in your eyes. You try to smile away. Some things you can't disguise. Don't wanna break your heart. Maybe I can ease the ache, the ache. So let me give your heart a break,. give your heart a break. Let me give your heart a break, your heart a break. There's just so much you can take,. Give your heart a break. Let me give your heart a break, your heart a break. Oh yeah, yeah. The day I first met you. You told me you'd never fall in love"
sorry not sorry,"Payback is a bad bitch. And baby, I'm the baddest. Now I'm out here looking like revenge. Feelin like a 10, the best I ever been. And yeah, I know how bad it must hurt. To see me like this but it gets worse (wait a minute). Now you're out here looking like regret. Ain't too proud to beg. second chance you'll never get. And yeah, I know how bad it must hurt to see me like this. But it gets worse (wait a minute). Now payback is a bad bitch. And baby, I'm the baddest. You fuckin' with a savage. Can't have this, can't have this. And it'd be nice for me to take it easy on ya, but nah. Baby, I'm sorry (I'm not sorry). Baby, I'm sorry (I'm not sorry). Being so bad got me feeling so good. Showing you up like I know that I would. Baby, I'm sorry (I'm not sorry). Baby, I'm sorry (I'm not sorry). Feeling inspired 'cause the tables have turned. Yeah, I'm on fire and I know that it burns. Baby, fineness is the way to kill. Tell me how it feel, bet it's such a bitter pill. And yeah, I know you thought you had bigger, better things. Bet right now this stings (wait a minute). Cause the grass is greener under me. Bright as technicolor, I can tell that you can see. And yeah, I know how bad it must hurt to see me like this. But it gets worse (wait a minute). Now payback is a bad bitch. And baby, I'm the baddest. You fuckin' with a savage. Can't have this, can't have this. And it'd be nice for me to take it easy on ya, but nah. Baby, I'm sorry (I'm not sorry). Baby, I'm sorry (I'm not sorry). Being so bad got me feeling so good. Showing you up like I know that I would. Baby, I'm sorry (I'm not sorry). Baby, I'm sorry (I'm not sorry). Feeling inspired 'cause the tables have turned. Yeah, I'm on fire and I know that it burns. Talk that talk, baby. Better walk, better walk that walk, baby. If you talk, if you talk that talk, baby. Better walk, better walk that walk, baby. Oh yeah. Talk that talk, baby. Better walk, better walk that walk, baby. If you talk, if you talk that talk, baby. Better walk, better walk that walk, baby. Baby, I'm sorry (I'm not sorry). Baby, I'm sorry (I'm not sorry). Being so bad got me feeling so good. Showing you up like I know that I would. Baby, I'm sorry (I'm not sorry). Baby, I'm sorry (I'm not sorry). Feeling inspired 'cause the tables have turned. Yeah, I'm on fire and I know that it burns. Payback is a bad bitch. And baby, I'm the baddest. I'm the baddest, I'm the baddest"
sober,"I got no excuses. For all of these goodbyes. Call me when it's over. 'Cause I'm dying inside. Wake me up when the shakes are gone. And the cold sweats disappear. Call me when it's over. And myself has reappeared. I don't know, I don't know, I don't know, I don't know why. I do it every, every, every time. It's only when I'm lonely. Sometimes I just wanna cave. And I don't wanna fight. I try and I try and I try and I try and I try. Just hold me, I'm lonely. Momma, I'm so sorry, I'm not sober anymore. And daddy, please forgive me for. the drinks spilled on the floor. To the ones who never left me. We've been down this road before. I'm so sorry, I'm not sober anymore. I'm sorry to my future love. For the man that left my bed. For making love the way I saved for you. inside my head. And I'm sorry for the fans I lost. Who watched me fall again. I wanna be a role model. But I'm only human. I don't know, I don't know, I don't know, I don't know why. I do it every, every, every time. It's only when I'm lonely. Sometimes I just wanna cave. And I don't wanna fight. I try and I try and I try and I try and I try. Just hold me, I'm lonely. Momma, I'm so sorry I'm not sober anymore. And daddy, please forgive me. for the drinks spilled on the floor. To the ones who never left me. We've been down this road before. I'm so sorry, I'm not sober anymore. I'm not sober anymore. I'm sorry that I'm here again. I promise I'll get help. It wasn't my intention. I'm sorry to myself"
this is me (gotta find you) (feat. joe jonas),"I've always been the kind of girl. That hid my face. So afraid to tell the world. What I've got to say. But I have this dream. Right inside of me. I'm gonna let it show, it's time. To let you know. To let you know. Refrão. This is real, this is me. I'm exactly where I'm suppose to be, now. Gonna let the light, shine on me. Now I've found, who I am. There's no way to hold it in. No more hiding who I wanna be. This is me. Do you know what it's like. To feel so in the dark. To dream about a life. Where you're the shining star. Even though it seems. Like it's too far away. I have to believe in myself. It's the only way. This is real, This is me. I'm exactly where I'm suppose to be, now. Gonna let the light, shine on me. Now I've found, who I am. There's no way to hold it in. No more hiding who I wanna be. This is me. [Joe]. You're the voice I hear inside my head. The reason that I'm singing. I need to find you, I gotta find you. You're the missing piece I need. The song inside of me. Jonas E Demi]. I need to find you, I gotta find you. This is real, this is me. I'm exactly where I'm suppose to be, now. Gonna let the light, shine on me. Now I've found, who I am. There's no way to hold it in. No more hiding who I wanna to be. [Demi]. This is me. [Joe]. You're the missing piece I need. The song inside of me. [Demi]. This is me. [Joe]. You're the voice I hear inside my head. The reason that I'm singing. [Joe E Demi]. Now I've found, who I am. There's no way to hold it in. No more hiding who I wanna be. This is me"
heart attack,"Putting my defenses up. Cause I don't wanna fall in love. If I ever did that. I think I'd have a heart attack. Never put my love out on the line. Never said yes to the right guy. Never had trouble getting what I want. But when it comes to you, I'm never good enough. When I don't care. I can play 'em like a Ken doll. Won't wash my hair. Then make 'em bounce like a basketball. But you. Make me wanna act like a girl. Paint my nails and wear high heels. Yes you. Make me so nervous. That I just can't hold your hand. You make me glow. But I cover up. Won't let it show. So I'm putting my defenses up. 'Cause I don't wanna fall in love. If I ever did that. I think I'd have a heart attack. I think I'd have a heart attack. I think I'd have a heart attack. Never break a sweat for the other guys. When ya come around, I get paralyzed. And everytime I try to be myself. It comes out wrong like a cry for help. It's just not fair. Pain's more trouble than love is worth. I gasp for air. It feels so good, but you know it hurts. But you. Make me wanna act like a girl. Paint my nails and wear perfume. For you. Make me so nervous. That I just can't hold your hand. You make me glow. But I cover up. Won't let it show. So I'm putting my defenses up. 'Cause I don't wanna fall in love. If I ever did that. I think I'd have a heart attack. I think I'd have a heart attack. I think I'd have a heart attack. The feelings got lost in my lungs. They're burning, I'd rather be numb. And there's no one else to blame. So scared I take off and run. I'm flying too close to the sun. And I burst into flames. You make me glow. But I cover up. Won't let it show. So I'm putting my defenses up. 'Cause I don't wanna fall in love. If I ever did that. I think I'd have a heart attack. I think I'd have a heart attack. I think I'd have a heart attack. I think I'd have a heart attack. I think I'd have a heart attack"
let it go,"Let it go, let it go. Can't hold it back anymore. Let it go, let it go. Turn my back and slam the door. The snow glows white on the mountain tonight. Not a footprint to be seen. A kingdom of isolation and it looks like I'm the queen. The wind is howling. Like the swirling storm inside. Couldn't keep it in. Heaven knows I tried. Don't let them in, don't let them see. Be the good girl you always had to be. Conceal, don't feel, don't let them know. Well now they know. Let it go, let it go. Can't hold it back anymore. Let it go, let it go. Turn my back and slam the door. And here I stand. And here I'll stay. Let it go, let it go. The cold never bothered me anyway. It's funny how some distance. Makes everything seem small. And the fears that once controlled me. Can't get to me at all. Up here in the cold thin air I finally can breathe. I know I left a life behind. But I'm too relieved to grieve. Let it go, let it go. Can't hold it back anymore. Let it go, let it go. Turn my back and slam the door. And here I stand. And here I'll stay. Let it go, let it go. The cold never bothered me anyway. Standing frozen in the life I've chosen. You won't find me, the past is so behind me. Buried in the snow. Let it go, let it go. Can't hold it back anymore. Let it go, let it go. Turn my back and slam the door. And here I stand. And here I'll stay. Let it go, let it go. The cold never bothered me anyway. Let it go. And here I'll stay, let it go, let it go. Let it go"
gift of a friend,"Sometimes you think you'll be fine by yourself. 'Cause a dream is a wish you make all alone. It's easy to feel like you don't need help. But It's harder to walk on your own. You'll change inside. When you realize. The world comes to life. And everything's right. From beginning to end. When you have a friend. By your side. That helps you to find. The beauty of all. When you'll open your heart and. Believe in. The gift of a friend. You'll change inside. When you realize. The world comes to life. And everything's right. From beginning to end. When you have a friend. By your side. That helps you to find. The beauty of all. When you'll open your heart and. Believe in. The gift of a friend. Someone who knows when you're lost and you're scared. There through the highs and the lows. Someone to count on, someone who cares. Beside you wherever you go. You'll change inside. When you realize. The world comes to life. And everything's right. From beginning to end. When you have a friend. By your side. That helps you to find. The beauty of all. When you'll open your heart and. Believe in. The gift of a friend. And when the hope crashes down. Shattering to the ground. You, you'll feel all alone. When you don't know which way to go. And there's no signs leading you on. You're not alone. The world comes to life. And everything's alright. From beginning to end. When you have a friend. By your side. That helps you to find. The beauty of all. When you'll open your heart and. Believe in. When you believe in. When you believe in. The gift of a friend"
skyscraper,"Skies are crying. I am watching. Catching teardrops in my hands. Only silence, has its ending. Like we never had a chance. Do you have to make me feel like. There's nothing left of me?. You can take everything I have. You can break everything I am. Like I'm made of glass. Like I'm made of paper. Go on and try to tear me down. I will be rising from the ground. Like a skyscraper. Like a skyscraper. As the smoke clears. I awaken and untangle you from me. Would it make you feel better. To watch me while I bleed. All my windows, still are broken. But I'm standing on my feet. You can take everything I have. You can break everything I am. Like I'm made of glass. Like I'm made of paper. Go on and try to tear me down. I will be rising from the ground. Like a skyscraper. Like a skyscraper. Go run, run, run. I'm gonna stay right here. Watch you disappear, yeah. Go run run run. Yeah it's a long way down. But I'm closer to the clouds up here. You can take everything I have. You can break everything I am. Like I'm made of glass. Like I'm made of paper. Go on and try to tear me down. I will be rising from the ground. Like a skyscraper. Like a skyscraper. Like a skyscraper. Like a skyscraper. Like a skyscraper"
