the boys of summer,"Nobody on the road. Nobody on the beach. I feel it in the air, the summer's out of reach. Empty lake, empty streets. The sun goes down alone. I'm drivin' by your house. Though I know you're not home. But I can see you. Your brown skin shinin' in the sun. You got your hair combed back. And your sunglasses on, baby. And I can tell you my love for you. Will still be strong after the boys of summer have gone. I never will forget those nights. I wonder if it was a dream. Remember how you made me crazy?. Remember how I made you scream?. Now I don't understand what's happened to our love. But baby when I get you back. I'm gonna show you what I'm made of. I can see you. Your brown skin shinin' in the sun. I see you walkin' real slow and you're smilin' at everyone. I can tell you my love for you will still be strong. After the boys of summer have gone. Out on the road. Today I saw a deadhead sticker. On a Cadillac. A little voice inside my head said:. ""Don't look back. You can never look back."". I thought I knew what love was,. What did I know?. Those days are gone forever. I should just let them go but. I can see you. Your brown skin shinin' in the sun. You got that top pulled down and that radio on baby. And I can tell you my love for you will still be strong. After the boys of summer have gone. I can see you. Your brown skin shining in the sun. You got that hair slicked back and those Wayfarers on, baby. I can tell you my love for you will still be strong. After the boys of summer have gone"
talking to the moon,"When the hot September sun down in Texas. Sucked the streams bone dry. Turned to roads to dust. In the sleepy little towns down in Texas,. the shades are all pulled down;. the streets are all rolled up.. And the only thing that breaks the silence. Are the trucks a-passin' by. Late at night on the front porch swing. You can hear their mournful sigh. And the lonesome weeping willow cries to the stars above. He was callin' out for his lady love. She's been gone so long. I was just talkin' to the moon. Hopin' someday soon that I'd be over. The memory of you-too hard to hold. And the wind across the plains. Is all that now remains. And the night shakes loose the names. But they never quite go back the way they came. So, good-bye rodeo. It's a long, funny way for men to go. Never change. Never change at all. I was just talkin' to the moon. Hopin' someday soon that I'd be over. The memory of you- too hard to hold on. I was just talkin' to the moon. Hopin' someday soon that I'd be over the. Memory of you."
if dirt were dollars,"Walkin' like a millionaire. Smilin' like a king. He leaned his shopping cart against the wall. He said, ""I been a lot of places. And I seen a lot of things. But, sonny, I seen one thing that beats 'em all. I was flyin' back from Lubbock. I saw Jesus on the plane. ...or maybe it was Elvis. You know, they kinda look the same. Hey, look out, Junior, you're steppin' on my bed"". I said, ""I don't see nothin"". He just glared at me and said,. If dirt were dollars. If dirt were dollars. If dirt were dollars. I wouldn't worry anymore. Lookin' like a beauty queen. Loyal as a wife. She raised her little voice and testified,. ""I am a good girl. I've been one all my life"". But her virtue was as swollen as her pride. She should've had the Oscar. She must have been miscast. Her fifteen minutes went by so fast. I said, ""Now, baby, have you got no shame?"". She just looked at me, uncomprehendingly. Like cows at a passing train. If dirt were dollars. If dirt were dollars. If dirt were dollars. I wouldn't worry anymore. We got the bully pulpit. And the poisoned pen. We got a press no better. Than the public men. This brave new world. Gone bad again. God's finest little creatures. Looking brave and strong. Whistling past the graveyard. Nothing can go wrong. Quoting from the scriptures. With patriotic tears. We got the same old men. With the same old fears. Standing at attention. Wrapped in stars and stripes. They hear the phantom drummers. And the nonexistent pipes. These days the buck stops nowhere. No one takes the blame. But evil is still evil. In anybody's name. If dirt were dollars. If dirt were dollars. If dirt were dollars. We'd all be in the black."
annabel,"(Don Henley/John Corey). I watch you sleeping. My weary heart rises up on wings. I hear your laughter. Something deep down inside me sings. Way down here in the land of cotton. You were born on a rainy day. Since then, sweet things long forgotten. They just keep flooding back my way. Oh child, I cannot tell you how the time just flies. But I have had my days of glory under sunny skies. These days, your bright dreams are all I want to see. Sleep tight, Annabel. You can always count on me. In this cold world, folks will judge you. Though they don't know you at all. And I may not be there to catch you. Anytime that you might fall. But, you got my hard head. And your mother's grace. All the likeness of the loved ones right there in your face. And I know in the end you'll be who you will be. So sleep tight, Annabel. You can always count on me."
building the perfect beast,"The power of reason, the top of the heap. We're the ones who can kill the things we. don't eat. Sharper than a serpent's tongue. Tighter than a bongo drum. Quicker than a one-night stand. Slicker than a mambo band. And now the day is come. Soon he will be released. Glory hallelujah!. We're building the Perfect Beast. (building, building, etc..). It's Olympus this time- Olympus or bust. For we have met the enemy -and he is us. And now the day is come. Soon he will be released. Glory hallelujah!. We're building the Perfect Beast. (Building, Building). Ever since we crawled out of the ocean. and stood upright on the land. There are some things that we just don't. understand:. Relieve all pain and suffering. and lift us out of the dark. Turn us all into Methuselah-. But where are we gonna park?. (Building, Building). The secrets of eternity-. We've found the lock and turned the key. We're shakin' up those building blocks. Going deeper into that box- (Pandora. wouldn't like it). And now the day is come. Soon he will be released. Glory hallelujah!. We're building the Perfect Beast. (building, building). All the way to Malibu from the Land of the. Talking Drum-. Just look how far-look how far we've come."
a month of sundays,"I used to work for Harvester. I used to use my hands. I used to make the tractors and the. combines that plowed and harvested this. great land. Now I see my handiwork on the block. everywhere I turn. And I see the clouds cross the weathered. faces and I watch the harvest burn. I quit the plant in '57. Had some time for farmin' then. Banks back then was lendin' money. The banker was the farmer's friend. And I've seen dog days and dusty days;. Late spring snow and early fall sleet;. I've held the leather reins in my hands. and I've felt the soft ground under my feet. Between the hot, dry weather and the taxes. and the Cold War it's been hard to make. ends meet. But I always kept the clothes on out backs;. I always put the shoes on our feet. My grandson, he comes home from college. He says, ""We get the government we. deserve."". My son-in-law just shakes his head and says,. ""That little punk, he never had to serve."". And I sit here in the shadow of the suburbs. and look out across these empty fields. I sit here in earshot of the bypass and all. night I listen to the rushin' of the wheels. The big boys, they all got computers:. got incorporated, too. Me, I just know how to raise things. That was all I ever knew. Now, it all comes down to numbers. Now I'm glad that I have quit. Folks these days just don't do nothin'. simply for the love of it. I went into town of the Fourth of July. Watched 'em parade past the Union Jack. Watched 'em break out the brass and beat. on the drum. One step forward and two steps back. And I saw a sign on Easy Street,. said ""Be Prepared to Stop."". Pray for the Independent , little man. I don't see next year's crop. And I sit here on the back porch in the. twilight. And I hear the crickets hum. I sit and watch the lightning in the distance. but the showers never come. I sit here and listen to the wind blow. I sit here and rub my hands. I it here and listen to the clock strike,. and I wonder when I'll see my. companion again."
the end of the innocence,"Remember when the days were long. And rolled beneath a deep blue sky. Didn't have a care in the world. With mommy and daddy standin' by. But ""happily ever after"" fails. And we've been posisoned by these fairy tales. The lawyers dwell on small details. Since daddy had to fly. But I know a place where we can go. That's still untouched by men. We'll sit and watch the clouds roll by. And the tall grass waves in the wind. You can lay your head back on the ground. And let your hair fall all around me. Offer up your best defense. But this is the end. This is the end of the innocence. O' beautiful, for spacious skies. But now those skies are threatening. They're beating plowshares into swords. For this tired old man that we elected king. Armchair warriors often fail. And we've been poisoned by these fairy tales. The lawyers clean up all details. Since daddy had to lie. But I know a place where we can go. And wash away this sin. We'll sit and watch the clouds roll by. And the tall grass waves in the wind. Just lay your head back on the ground. And let your hair spill all around me. Offer up your best defense. But this is the end. This is the end of the innocence. Who knows how long this will last. Now we've come so far, so fast. But, somewhere back there in the dust. That same small town in each of us. I need to remember this. So baby give me just one kiss. And let me take a long last look. Before we say goodbye. Just lay your head back on the ground. And let your hair fall all around me. Offer up your best defense. But this is the end. This is the end of the innocence"
where i am now,"I've done some foolish things. I've been downright stupid. I've been a sucker for a pretty face. Lord, I was poltuted. When people say, ""Would you go back? "". I say, ""No way, nohow''. Because I like where I am now. I took it hard when I found out. That life just isn't fair. I used to bellyache and moan. But now I just don't care. I'm making one last victory lap and then I'll take a bow. Because I like where I am now. Where I am now. Father Time is a friend. I feel at home. In my own skin. There ain't no limit to the havoc he can wreak. When a young man slips into his self·destructive streak. I been east, west, north and south. But I made it through somehow. And I like where I am now. You know, I like where I am now. I said, I like where I am now"
come rain or come shine,"I'm gonna love you, like nobody's loved you. Come rain or come shine. High as a mountain, deep as a river. Come rain or come shine. I guess when you met me. It was just one of those things. But don't you ever bet me. 'Cause I'm gonna be true if you let me. You're gonna love me, like nobody's loved me. Come rain or come shine. We'll be happy together, unhappy together. Now won't that be just fine. The days may be cloudy or sunny. We're in or out of the money. But I'm with you always. I'm with you rain or shine."
johnny can't read,"Johnny Can't Read. . Football, baseball, basket ball games. Drinkin' bear, kickin' ass and takin' down names. With the top down, get-a-round, shootin' the line. Summer is here and Johnny's feelin' fine. But Johnny can't read. Summer is over and he's gone to seed. Johnny can't read. He never learned nothin' that he'll ever need. Well, Johnny can dance and Johnny can love. Johnny can push and Johnny can shove. Johnny can hang out; Johnny can talk tough. Johnny can get down and Johnny can throw up. But Johnny can't read. Summer is over and he's gone to seed. (You know that), Johnny can't read. He never learned nothin' that he'll ever need. Well, is it Teacher's fault? Oh No!. Is it Mommy's fault? Oh No!. Is it society's fault? Oh No!. Well is it Johnny's fault? OhhHHH NooOOO!. Couple years later, Johnny's on the run. Johnny got confused and he bought himself a gun. Well, he went and did something that he shouldn't. oughta done. F.B.I. on his tail. ""Use A Gun-Go To Jail"". But Johnny can't read. Summer is over and he's gone to seed. (You know that), Johnny can't read. He never learned nothin' that he'll ever need. Well is is Teacher's fault? Oh No. Is it Mommie's fault? Oh No. Is it the President's fault? Oh No. Well is it Johnny's fault? OhhHHH NooOOO!. Johnny can dance and Johnny can love. Johnny can push and Johnny can shove. Johnny can pinball; Johnny can talk tough. Johnny can get down and Johnny can throw up. Well, recess is over. Recess is over!. Sitcoms, ""T.&A."". Johnny's mind is blown away. Cop shows, horror flicks. Johnny's brain is full of bricks. Rock show, Video. Boob tube, Rubik's cube. Game fools, Sunday school. Gain fans(?), Gobble gangs(?). Wonka wonka wonka. There's a new kid in town...."
