i found a way,"I never thought that it'd be so simple but. I found a way, I found a way. I always thought that it'd be too crazy but. I found a way, I found a way. If you open up your mind. See what's inside. It's gonna take some time, to realign. But if you look inside, I'm sure you'll find. Over your shoulder you know that, I told you. I'll always be pickin' you up when you're down. So just turn around. Now that I know that anything's possible. I found a way, I found a way. No one can break what is so unbreakable. I found a way, I found a way. If you open up your mind. See what's inside. It's gonna take some time, to realign. But if you look inside, I'm sure you'll find. Over your shoulder you know that, I told you. I'll always be pickin' you up when you're down. So just turn around. No one cares, what you give. You know you gotta live like you wanna live. When it's time to be free. You know you gotta be what you wanna be. If you open up your mind. See what's inside. It's gonna take some time, to realign. But if you look inside, I'm sure you'll find. Over your shoulder you know that, I told you. I'll always be pickin' you up when you're down. So just turn around"
bob dylan,"Bob Dylan. Drake Bell. Composição: Indisponível. How may roads must a man walk down. I wish I could write so profound. The words he spoke were blown in the wind. Pick up my air guitar and write like him. Awwww Bob Dylan. I live my life like a Rolling Stone. Feel my words are not my own. You can't tell me what to sing. But the times they are changing. Awwww Bob Dylan. Awwww Bob Dylan. Look out kid. There's something you did. God knows when but you're doin' it again. Searchin' around for dignity. A little less of Bob and a little more of me. Awwww. How does it feel to be on your own. Lower than a complete unknown. Searchin' for poetry in all the wrong places. Looking for acceptance it strangers faces. Awwww Bob Dylan. Awwww Bob Dylan. Awwww Bob Dylan. Awwww Bob Dylan. Bob Dylan. Bob Dylan, yeah. Oooh Bob Dylan. Bob Dylan"
drake & josh theme song,"I never thought that it'd be so simple but. I found a way, I found a way. I always thought that it'd be too crazy but. I found a way, I found a way. If you open up your mind. (See what's inside). Chorus:. It's gonna take some time, to realize (Ooh Ooh...). But if you look inside, I'm sure you'll find (Ooh Ooh...). Over your shoulder you know that I told you. I'll always be pickin' you up when you're down. So just turn around. Now that I know that anything is possible. I found a way, I found a way. No one can break what is so unbreakable. I found a way, I found a way. If you open up your mind. (See what's inside). Chorus:. It's gonna take some time, to realize (Ooh Ooh...). But if you look inside, I'm sure you'll find (Ooh Ooh...). Over your shoulder you know that I told you. I'll always be pickin' you up when you're down. So just turn around. No one cares, what you give. You know you gotta live like you wanna live. When it's time, to be free. You know you gotta be what you wanna be. If you open up your mind. (See what's inside). Chorus:. It's gonna take some time, to realize. But if you look inside, I'm sure you'll find. Over your shoulder you know that I told you. I'll always be pickin' you up when you're down. So just turn around. Ooh Ooh"
makes me happy,Well hello let's go. Everybody must know. Love's in my heart like a bomb. It's blowing a song. Inside I'm singing. Sunshine that your bringing now. and it makes me happy. Listen to the radio. Playin back in stero. Sounds like my favorite song. I'm humming along my head is ringing. And I just can't stop singing now. Cause it makes me happy. You're everything I need. Handed from above. I can't get enough of your love. Cause it makes me happy. Living in a day-dream. I'll show you what it all means. Spending some time in the sun. Let's get up and run. It's just beginning. And I just can't stop singing now. Cause it makes me happy. Like a fantasy that you never find. Right in Front of me all the time. And it makes me happy. I want it all but not too much. I wanna feel the way you touch me. I'm the kind of guy who's always there to come and find you. Save the raining days for another time. I'm just here to say read between the lines. I'm so glad that your mine. Cause you make me happy. You make me wanna sing. do do dodododo. do do do do. do do dodododo. do do do do. do do dodododo. do do do do. do do dodododo. do do do do. do do dodododo. do do do do
i know,"All alone. Guess again. You've been known. To take the hand of any man. Who will fill your fantasy. See you there. A big mistake. You're the pride. Of everything that comes around. This messed up town. You know. And I know, and I know. It's always better when you know. And I know, and I know. It's always better when you. Find out we've been lying, cheating. Baby, give me a sign. Give me a reason. Make up your mind. Darling. Only a fool. Couldn't see through us. To know what we do (know what we do). Just because. You're a fan. Doesn't mean. You've joined the band. And found a way. To make them think that. You're a star. Silly girl. Only i can fool the world. It's plain to see. 'Cause you're just like me. You know. And I know, and I know. It's always better when you know. And I know, and I know. It's always better when you. Find out we've been lying, cheating. Baby, give me a sign. Give me a reason. Make up your mind. Darling, only a fool. Couldn't see through us. To know we do (know what we do). And I know, and I know. It's always better when you know. And I know, and I know. It's always better when you know. And I know, and I know. It's always better when you. Find out we've been lying, cheating. Baby, give me a sign. Give me a reason. Make up your mind. Darling, only a fool. Couldn't see through us. To know we do. You know that it's true. The things that you do. I'm out of my mind. And in love with you"
superhero! movie theme,"(I am the Hourglass). Darkness has found you. Evil surrounds you. No one to save you. You're almost out of time. What'd ya do with nothing can be done. Where do you go with nowhere left to run. Where is the one who. Stands up and tells you. I'm here to save you. We're almost out of time. Nobody knows just who he's tryin to be. Behind this mask, his wings, his suit of green. Just in time to reach up for the sky. And fly away. Don't worry you're safe. In my arms cause it. Takes your love to lift me up. It's safe to say. You and I will always meant to be. So I will show you why. I'm here to stay. Don't they know that I protect you. Don't they know they'll have to get through me. Don't worry you're safe. (You're time is up!). Watch out behind you. This is designed to. Quickly remind you. We're almost out of time. Somebody tell me what he's trying to be. Behind this mask, his wings, his suit of green. Just in time to reach up for the sky. And fly away. Don't worry you're safe. In my arms cause it. Takes your love to lift me up. It's safe to say. You and I will always meant to be. So I will show you why. I'm here to say. Don't you worry. I'm the one who let them know that I'll protect you. Don't they know they have to get through me. Don't worry you're safe. In my arms. So believe. It's easy.... dragonfly dragonfly he's a special kinda guy. dragonfly dragonfly maybe you should sue him if he let's you die. dragonfly dragonfly put a sign up in the sky. dragonfly dragonfly he's always available anytime. remember the plan. all over the land. he does what he can. for he is the man. look out it's the dragonfly. By Alice Petry"
baby you know,"Tell me, could it be the last time. And tell me, is it that i love you. I'll carry on and walk another way. Tell me how. Say why can't you find the right words. Is it that you're feelin' unsure. I see it through. And walk another way. Tell me how can i hide away. Baby you know. You know what I am feelin'. I can't bear it anymore. You know how I have tried. Just don't know what good it's for. It's so easy to see what's on you mind. Baby you know - the truth is hard to find. Tell me that I'll be without you. Where coldness stands against believing. The world moves on. Will show another way. Tells me how I can hide away. Baby you know .... by Alice Petry"
down we fall,"You were so clever. You kept it together today. By the way. I'll no longer ignore you. I wanted to show you again. I'm your friend. Sometimes we just pretend. And all I can say is you saved me. Changed all the things that have made me. Entertaining. Thoughts are raining. Down we fall. It's all ok. When I say. You and I. Take your time. I can't wait. To see you fly. You don't have to wonder. I've finally discovered tonight. Where we're at. This is just the beginning. It's all that I'm tryin' to say. If I may. You're never in my way. And all I can say is you saved me. Changed all the things that have made me. Entertaining. Thoughts are raining. Down we fall. It's all ok. When I say. You and I. Take your time. I can't wait. To see you fly. And all I can say is you saved me. Changed all the things that have made me. Entertaining. Thoughts are raining. Down we fall. Entertaining. Thoughts are raining. Down we fall. Entertaining. Thoughts are raining. Down we fall, (and all I can say is you saved me). Entertaining. Thoughts are raining. Down we fall, (changed all the things that have made me). Entertaining. Thoughts are raining. Down we fall, (changed all the things that have made me). Crédito: larita bell"
you're not thinking,"You showed up with your head in your hands. You said I'm the only one that ever really understands you. That's not true. So take my hands and wipe away your tears. Whispering ""Will it be okay if I stay here?"". And I want you to. (pré-refrão). Dm. But I know, it's just a moment. You're gonna run while the moon's still shining. And you can't hide it, oh oh oh. (refrão). Please, please, please don't go and give me those. Eye, eye, eyes, I can even see that you're not thinking. You're not thinking. So please, please, please, you gotta let me go. You, you, you, you don't even know you're not thinking. You're not thinking about me. Now I got these pictures in my head. Dancing to the words I never said. But I want to, yeah I have to. You wore a white dress with yellow lace. On the night you leaned in and kissed my face. Remember? I remember. (pré-refrão). I should have known, it's just a moment. You're gonna run while the moon's still shining. And I can't fight it, oh oh oh. (refrão). Please, please, please don't go and give me those. Eye, eye, eyes, I can even see that you're not thinking. You're not thinking. So please, please, please, you gotta let me go. You, you, you, you don't even know you're not thinking. You're not thinking about me. Maybe it's time, I stopped crossing these lines. I can't seem to draw. But baby it's hard, and I wanna go on. If this is nothing at all. (refrão). Please, please, please don't go and give me those. Eye, eye, eyes. Please, please, please don't go and give me those. Eye, eye, eyes, I can even see that you're not thinking. You're not thinking. So please, please, please, you gotta let me go. You, you, you, you don't even know you're not thinking. You're not thinking. So please, please, please don't go and give me those. Eye, eye, eye, I can even see that you're not thinking. You're not thinking. So please, please, please, you gotta let me go. You, you, you, you don't even know you're not thinking. You're not thinking about me"
found a way,"I never thought that it'd be so simple but. I found a way, I found a way. I always thought that it'd be too crazy but. I found a way, I found a way. And if you open up your mind. See what's inside. . Chorus:. It's gonna take some time to realize. But if you look inside, I'm sure you'll find. Over your shoulder you know that I told you. I'll always be pickin' you up when you're down. So just turn around. Now that I know that anything's possible. I found a way, I found a way. No one can break what is so unbreakable. I found a way, I found a way. And if you open up your mind. See what's inside. Chorus:. It's gonna take some time to realize. But if you look inside, I'm sure you'll find. Over your shoulder you know that I told you. I'll always be pickin' you up when you're down. So just turn around. No one cares what you give. You know you gotta live like you wanna live. When it's time, to be free. You know you gotta be what you wanna be. And if you open up your mind. See what's inside. Chorus:. It's gonna take some time to realize. But if you look inside, I'm sure you'll find. Over your shoulder you know that I told you. I'll always be pickin' you up when you're down. So just turn around. Ooh Oooh"
bitchcraft,"I didn't know you collected souls. Gambling fire, rolling bones. I shoulda known you would take it all. But I never planned to be your voodoo doll. Use your lips to pull me in. Just to stick in another pin. But if you want this heart of mine. Your evil just wont work this time. I'm done with all your bitchcraft. I gotta get my soul back. We've played this game so long. I'm not sure that it will come back. I'm not trying to make you feel bad. But baby I just can't live with all your bitchcraft. Every time you cast another spell. I lose a little more of my free will. Put me in a kettle full of broken hearts. Add a little pinch from your magic jar. Just so I forget the kind of girl you are. Baby I'm catching on real fast. This isn't going to last. And I'm through eating your poison seeds. And I've built up my immunity. I'm done with all your bitchcraft. I gotta get my soul back. We've played this game so long. I'm not sure that it will come back. I'm not trying to make you feel bad. But baby I just can't live with all your bitchcraft. Baby why you gotta act like that. You're not the girl that I thought I had. I guess I thought I knew who you were. And it's a drag knowing you're so quick to kill. It's the only way you get your thrills. But baby I'm about to show you how it feels. 'Cause I'm done with all your bitchcraft. I gotta get my soul back. We've played this game so long. I'm not sure that it will come back. I'm not trying to make you feel bad. But baby I just can't live with all your bitchcraft. I'm not trying to make you feel bad. I gotta get my soul back. 'Cause baby I can't live with all your bitchcraft"
leave it all to me,"I know, you see. Somehow the world will change for me. And be so wonderful. Live life, breathe air. I know somehow we're gonna get there. And feel so wonderful. I will make you change your mind. These things happen all the time. And it's all real. I'm telling you just how I feel. Chorus:. So wake up the members of my nation. It's your time to be. There's no chance unless you take one. And it's time to see. The brighter side of every situation. Somethings are meant to be. So give your best. And leave the rest to me. I know. This time. To raise the hand that draws the line. And be so wonderful. Gold and sunshine. I know somehow it's gonna be mine. And feel so wonderful. Show me what you can become. There's a dream in. Everyone. And it's all real. I'm telling you just how i feel. (chorus). Leave it all to me. Leave it all to me. So make it mine and see it through. You know you won't be free until you. (chorus). Leave it all to me. Leave it all to me. Just leave it all to me"
things behind the sun,"Please beware of them that stare. They'll only smile to see you while. Your time away. And once you've seen what they have been. To win the earth just won't seem worth. Your night or your day. Who'll hear what I say.. Look around you find the ground. Is not so far from where you are. But not too wise. For down below they never grow. They're always tired and charms are hired. From out of their eyes. Never surprise.. Take your time and you'll be fine. And say a prayer for people there. Who live on the floor. And if you see what's meant to be. Don't name the day or try to say. It happened before.. Don't be shy you learn to fly. And see the sun when day is done. If only you see. Just what you are beneath a star. That came to stay one rainy day. In autumn for free. Yes, be what you'll be.. Please beware of them that stare. They'll only smile to see you while. Your time away. And once you've seen what they have been. To win the earth just won't seem worth. Your night or your day. Who'll hear what I say.. Open up the broken cup. Let goodly sin and sunshine in. Yes that's today.. And open wide the hymns you hide. You find reknown while people frown. At things that you say. But say what you'll say. About the farmers and the fun. And the things behind the sun. And the people round your head. Who say everything's been said. And the movement in your brain. Sends you out into the rain.. by Alice Petry"
do what you want,"People, around the world say I'm bitter. but I can say I'm not a quitter. and you can't. and people. no they don't apologize. that why we have to advertise. in the paper. I can't make you stop and listen that won't save you.. I can't believe. everybody wants to party all night long until the birds are singing. so do what you want to do. be what you want to be. live how you want to live. if you want to be free. then your going to be free. people. don't you know its not polite. to point and stare. no that's no the way to show you care. about the way you live. but I bet you don't give a. And people. you've got to give it up with gratitude. but you only did it cause I told you to. well too bad. so sad. hope I didn't make you mad. I can't make you stop and listen that won't save you.. I can't believe. everybody wants to party all night long until the birds are singing. so do what you want to do. be what you want to be. live how you want to live. if you want to be free. then your going to be free. So do what you want to do. be what you want to be. live how you want to live. if you want to be free. then you're going to be free. so say what you want to say. hear what you want to hear. live how you want to live. if you want to be. then you're going to be free. I can't make you stop and listen that won't save you.. I can't believe. everybody wants to party all night long until the birds are singing. so do what you want to do. be what you want to be. live how you want to live. if you want to be free. then your going to be free. so say what you want to say. hear what you want to hear. live how you want to live. if you want to be. then you're going to be free. if you want to be. got to be. have to be. defenitly. By Ygor Gomes"
