mercy,"Yeah Yeah Yeah x4. I love you. but i gotta stay true. my morals got me on my knees. I'm begging please stop playing games. i don't know what this is. But you got me good. just like you knew you would. i don't know what you do. but you do it well. I'm under your spell. Chorus. You got me begging you for mercy. why won't you release me. you got me begging you for mercy. why won't you release me. I said release me. Now you think that. I will be something on the side. but you got to understand. that I need a man. who can take my hand. yes i do. I don't know what this is. but you got me good. just like you knew you would. I don't know what you do. but you do it well. I'm under your spell. You got me begging you for mercy. why wont you release me. you got me begging you for mercy. why wont you release me. I said you'd better release yeah yeah yeah. I'm begging you for mercy. yes why won't you release me. I'm begging you for mercy. you got me begging. you got me begging. you got me begging. Mercy, why wont you release me. I'm begging you for mercy. why won't you release me. you got me begging you for mercy. I'm begging you for mercy. I'm begging you for mercy. I'm begging you for mercy. I'm begging you for mercy. Why won't you release me yeah yeah. break it down"
warwick avenue,"When I get to Warwick Avenue. Meet me by the entrance of the tube. We can talk things over a little time. Promise me you won't step out of line. When I get to Warwick Avenue. Please drop the past and be true. Don't think we're okay. Just because I'm here. You hurt me bad but I wont shed a tear. I'm leaving you for the last time baby. You think you're loving,. But you don't love me. And I've been confused. Outta my mind lately. You think you're loving,. But I want to be free, baby. You've hurt me.. When I get to Warwick Avenue. We'll spend an hour but no more than two. Our only chance to speak once more. I showed you the answers, now here's the door. When I get to Warwick Avenue. I'll tell baby that we're through. Cause I'm leaving you for the last time baby. You think you're loving,. But you don't love me. I've been confused. And outta my mind lately. You think you're loving,. But you don't love me. I want to be free, baby. You've hurt me.. All the days spent together. I wish for better,. But I didn't want the train to come. Now it's departed, I'm broken hearted. Seems like we never started. All those days spent together. When I wished for better. And I didn't want the train to come.. No, no.. You think you're loving. But you don't love me. I want to be free, baby. You've hurt me. You don't love me. I want to be free. Baby you've hurt me"
stepping stone,"I remember way back. Way back when. I said i never wanna see. Your face again. Cause you were loving yes. Your loving somebody else. And i knew oh yes i knew. I couldn't control myself. And now they bring you back. Into my life again. And so i put on a face. Just like your friends. But i think you know. Oh, yes you know whats going on. Cause the feelings in me. Oh, yes. In me are. Burning strong. Chorus:. But I will never be. Your stepping stone. Take it all. Or leave me alone. I will never be. Your stepping stone. I'm standing upright. On my own. You used to call me up. From time to time. And it would be. So hard for me. Not to cross the line. The words of love. Lay on my lips. Just like a curse. And i knew oh. Yes i knew. They'd only make. It worse. And now you. Have the nerve. To play along. Just like. The mistro beats. In your song. You got your kicks you. Get your kicks. From playing me. And the less you give. The more. I want so foolishly. (Chorus). No i will never be. Your stepping stone. Take it all. Or leave me alone. I will never be. Your stepping stone. I'm standing. Upright on my own. Never be. Your stepping stone. Take it all. Or leave me alone. I will never be. Your stepping stone. I'm standing upright. On my own"
endlessly,Endlessly. I'm counting down the days. When you will come my way. Endlessly. I fall asleep to dream. And you're here again it seems. Endlessly. I'm looking for you everywhere that I go. In all of the things I do. Still I'll keep looking. 'Till I find you. 'Till I find you. Endlessly. I turn to every door. And It's you I'm hoping for. So endlessly. I'm looking for you everywhere that I go. In all of the things I do. Still I'll keep looking. 'Till I find you. 'Till I find you. 'Till I find you. 'Till I find you
rain on your parade,"I wish you well. I hope you survive. I hope you live, oh baby, so I can watch you cry.. 'Cause I know in time you'll see what you did to me. And you'll come running back.. I'm gonna rain on your parade. No, I won't take it again. And I'll keep raining, raining, raining over you.. I'm gonna rain on your parade.. No, I won't take it again.. And I'll keep raining, raining, raining over you.. I pity the fools who bathe in you. 'Cause I know someday now, they'll see your colours too.. And if you see a smile, besides my face, no I'm doing good.. Since you've been erased.. 'Cause I know in time you'll see what you did to me. And you'll come running back.. I'm gonna rain on your parade.. No, I won't take it again.. And I'll keep raining, raining, raining over you.. I'm gonna rain on your parade.. No, I won't take it again.. And I'll keep raining, raining, raining over you.. I'm gonna rain on your parade.. No, I won't take it again.. And I'll keep raining, raining, raining over you.. I'm gonna rain on your parade.. No, I won't take it again.. And I'll keep raining, raining, raining over you.. I'm gonna rain on your parade.. No, I won't take it again.. And I'll keep raining, raining, raining over you.. Lua Roque"
rockferry,"I'd move to Rockferry,. Tomorrow. And I'd build my house, baby. With sorrow. I'd leave my shadow,. To fall behind. And I wouldn't write to you. 'cos I'm not that kind. The midnight trains are boarding. All wrap up 8s. I pick my load and I fill my truck. before its too late. I leave the stars to judge. my every move. I'm not going to think of you, oh. I'd get the blues. There's no sleep on the journey. away from time. A bag of songs and a heavy heart. won't make me down. I'll give it all my strength and my mind. I'll make this decision win all the fights. I'd move to Rockferry,. Tomorrow. And I'd build my house, baby. With sorrow. I'd leave my shadow,. To fall behind. And I wouldn't write to you. 'cos I'm not that kind. not that kind. Rockferry, not that kind (repeat). (fading)"
borderline,"Something in the way. You love me. Won't let me be. I don't want to be. Your prisoner. So baby. Won't you set me free. Stop playing. With my heart. Finish what you start. When you make. My love come down. If you want me. Let me know. Baby, let it show. Honey. Don't you fool around. Just try to understand. I've given all I can. Cause you got. The best of me. Chorus:. Borderline. Feels like I'm going. To lose my mind. You just keep on. Pushing my love. Over the borderline. Something in your eyes. Is makin' such. A fool of me. When you hold me. In your arms you love me. Till I just can't see. But then you let me down. When I look around. Baby. You just can't be found. Stop driving me away. I just wanna stay. There's something. I just got to say. Just try to understand. I've given all I can. Cause you got. The best of me. (Chorus 2x). Someday we'll be together. Someday we'll be together. Yes, we will. Someday we'll be together. Someday we'll be together. Someday we'll be together. (Chorus)"
my boy,"I'm his lover not his mother. Why you starin' at each other?. What's your problem?. I'm not his keeper, I'm his teacher. Ho, 'n it goes deeper. What's your problem?. I can't control these feelings I have inside. I had to let go, let go of my pride. Age is a number. Don't steal my thunder. Can't love no other, other, other. You're my boy,. Keepin' you inside so they don't see that you're my boy. Keepin' you inside so they don't see that you're my boy. Keepin' you inside so they don't see that you're my boy. My boy, my boy!. Where's the blame, where's the shame?. We're just two hearts come together. What's your problem?. He's not a boy, not a toy. He's man enough to understand. What's your problem?. I can't control these feelings I have inside. I had to let go, let go of my prize. Age is a number. Don't steal my thunder. I can't love no other, other, other. You're my boy,. Keepin' you inside so they don't see that you're my boy. Keepin' you inside so they don't see that you're my boy. Keepin' you inside so they don't see that you're my boy. My boy, my boy!. Don't mind tellin' you baby, she says he's my boy. My boy, my boy .... Yes, you're my boy,. Keepin' you inside so they don't see that you're my boy. Keepin' you inside so they don't see that you're my boy. Keepin' you inside so they don't see that you're my boy. My boy, my boy!"
serious,"Serious. Serious. I'm a trophy on your arm. You wear me like a charm. Yes, you do. An accessory that suits. Your new suede boots. Ohhh. I get a feeling. Deep down, inside. Something. Just ain't right. I get a feeling. That tells me I know. Baby you never show. How you. Really feel for me. Tell me. Can we ever be. Serious?. Serious in love?. A joke on my expense. In front. Of all your friends. All the time. A game. You like to play. Leaves me solo. Every day. I get a feeling. Deep down inside. Something. Just ain't right. I get a feeling. That tells me I know. Baby you never show. How you really. Feel for me. Tell me. Can we ever be. Serious?. Serious in love?. Serious?. Serious in love?. I get a feeling. Deep down inside. That something. Just ain't right. I get a feeling. That tells me I know. Baby you never show. How you. Really feel for me. Tell me. Can we ever be. Tell me. Serious?. Serious in love?. Serious. So serious. Serious. So serious. Break it down. Serious. Break it down. Serious. Baby. Serious"
hanging on too long,"It was just my mistake. Thinking you cared. It was just my mistake. Thinking you'd be there. That you'd be by my side. And that you wouldn't lie. My mistake. It was just my false hope. Thinking we'd last, yeah. It was just my false hope. Forgot all your past. All those girls you denied. Smashed up hearts. Hung out to dry. I know it's wrong. Hanging on too long. I know it's wrong. Hanging on too long. But I need to move on. Hanging on too long. I was a fool for you. Right from the start. Yeah. I was a fool for you. Hoping for a spark. For some kind of sign. That you would be mine. I know it's wrong, I do. Hanging on too long. And I know it's wrong. Hanging on too long. My heart was clutching. To what felt right. My head was hoping. It could put up a fight. I know it's wrong. Hanging on too long. And I know it's wrong. Hanging on too long. And I need to move on. I'm hanging on too long. I know it's wrong. Hanging on too long. And I know it's wrong. Hanging on too long"
