ordinary world,"Came in from a rainy thursday. On the avenue. Thought I heard you talking softly. I turned on the lights, the tv. And the radio. Still I can't escape the ghost of you. What has happened to it all?. Crazy, some say. Where is the life that I recognize?. Gone away. But I won't cry for yesterday. There's an ordinary world. Somehow I have to find. And as I try to make my way. To the ordinary world. I will learn to survive. Passion or coincidence. Once prompted you to say. ""pride will tear us both apart"". Well now pride's gone out the window. Cross the rooftops. Run away. Left me in the vacuum of my heart. What is happening to me?. Crazy, some say. Where is my friend when I need you most?. Gone away. But I won't cry for yesterday. There's an ordinary world. Somehow I have to find. And as I try to make my way. To the ordinary world. I will learn to survive. Papers in the roadside. Tell of suffering and greed. Fear today, forgot tomorrow. Ooh, here besides the news. Of holy war and holy need. Ours is just a little sorrowed talk. And I don't cry for yesterday. There's an ordinary world. Somehow I have to find. And as I try to make my way. To the ordinary world. I will learn to survive. Every one. Is my world, I will learn to survive. Any one. Is my world, I will learn to survive. Any one. Is my world. Every one. Is my world"
save a prayer,"You saw me standing by the wall. Corner of the main street. And the lights are flashing on your window sill. All alone ain't much fun. So you're looking for the thrill. And you know just what it takes and where to go. Don't say a prayer for me now. Save it 'til the morning after. No, don't say a prayer for me now. Save it 'til the morning after. Feel the breeze deep on the inside. Look you down into your well. If you can, you'll see the world in all his fire. Take a chance. Like all dreamers can't find another way. You don't have to dream it all, just live a day. Don't say a prayer for me now,. Save it 'til the morning after. No, don't say a prayer for me now. Save it 'til the morning after. Save it 'til the morning after. Save it till the morning after. Pretty looking road,. Try to hold the rising floods that fill my skin. Don't ask me why I'll keep my promise. Melt the ice. And you wanted to dance so I asked you to dance. But fear is in your soul. Some people call it a one night stand. But we can call it paradise. Don't say a prayer for me now,. Save it 'til the morning after. No, don't say a prayer for me now,. Save it 'til the morning after. Save it 'til the morning after. Save it 'til the morning after. Save it 'til the morning after. Save it 'til the morning after. Save a prayer 'til the morning after"
come undone,"Mine, immaculate dream made breath and skin. I've been waiting for you. Signed, with a home tattoo. Happy birthday to you was created for you. Can't ever keep from falling apart at the seams?. Can't I believe you're taking my heart to pieces?. Oh, it'll take a little time,. Might take a little crime. To come undone now. We'll try to stay blind. To the hope and fear outside. Hey child, stay wilder than the wind. And blow me in to cry. Who do you need, who do you love. When you come undone?. Who do you need, who do you love. When you come undone?. Words, playing me deja vu. Like a radio tune I swear I've heard before. Chill, is it something real. Or the magic I'm feeding off your fingers. Can't ever keep from falling apart at the seams. Can't I believe you're taking my heart to pieces. Lost, in a snow filled sky,. We'll make it alright. To come undone now. We'll try to stay blind. To the hope and fear outside. Hey child, stay wilder than the wind. And blow me in to cry. Who do you need, who do you love. When you come undone?. Who do you need, who do you love. When you come undone?"
a matter of feeling,How does it feel. When everyone surrounds you?. How do you deal. Do crowds just make you feel lonely?. What do you say?. When people come and try to pin you down?. Aquaintainces smile. But that's no understanding. How after a while. You keep falling off the same mountain. Try to explain it. But nothing really gets them that high. Steal away in the morning. Love's already history to you. It's a habit you're forming. This body's desperate for something new. Just a matter of feeling. This moment's madness is sure to pass. And tears will dry as you're leaving. Who knows you might find something to last. Emotion's a game. Saved up for a rainy Monday. But you laught just the same. 'Cause it's been pouring on Sunday. Call up your numbers. And never let the zeros bring you down. How does it feel?. Is time too heavy to hold?. Whatever you decide. For the moment is holy. Whenever you slow down. To see life is passing by. Steal away in the morning. Love's alredy history to you. It's a habit you're forming. This body's desperate for something new. Just a matter of feeling. This moment's madness is sure to past. And tears will dry as your're leaving. Who knows you might find something to last. You can steal away in the morning. Love's already history to you. It's a habit you're forming. This body's desperate for something new. Just a matter of feeling. This moment's madness is sure to pass. And tears will dry as you're leaving. Who knows you might find something to last. A matter of feeling. A matter of feeling. (He comes to steal the world). A matter of feeling. (He comes and steal the world). A matter of feeling. (He comes and taste the blood). A matter of feeling
a view to a kill,Meeting you with a view to a kill. Face to face in secret places feel the chill. Nightfall covers me but you know the plans I'm making. Still over sea could it be the whole earth opening wide. A sacred why a mystery gaping inside. The weekends why until we. Dance into the fire that fatal kiss is all we need. Dance in the the fire to fatal sounds of broken dreams. Dance in to the fire that fatal kiss is all we need. Dance into the fire. Choice for you is the view to a kill. Between the shades assassination standing still. First crystal tears fall of snowflakes on your body. First time in years to drench your skin with lovers rosy stain. A chance to find a phoenix for the flame. A chance to die but can we. Dance into the fire that fatal kiss is all we need. Dance into the fire to fatal sounds of broken dreams. Dance into the fire that fatal kiss is all we need. Dance into the fire. when all we see is the view to a kill
notorious,"No.. no.. notorious!. No.. no.. notorious!. I.. can't read about it, burns the skin from your eyes,. I'll do fine without it, here's one you don't compromise.. Lies come hard to disguise. Let me to fight it out, not wild about it. Lay your seedy judgements, who says they're part of our lives?. You own the money, you control the witness,. I hear you're lonely - don't monkey with my business. You pay the prophets to justify the reasons. I heard your promise but I don't believe it -. That's why I'll do it again. . No.. no.. notorious.. . Girls will keep the secrets, so long as boys make the noise,. Fools run rings to break up, something they'll never destroy.. Grand notorious slam, (Bam!) and who really gives a damn -. For a flaky bandit?. Don't ask me to bleed about it, I need this blood to survive.. (chorus). No.. no.. notorious. Notorious!. Notorious!. (chorus) (chorus). No!. No..no.. (That's why I'll do it again). No!. Notorious! (Yeh! that's why I'll do it again). No..no.. notorious.. Yeeeehh! that's why I'll do it again. No.. notorious.. No..no.. notorious.. Yeeeehh! that's why I'll do it again. No.. notorious.. No..no.. notorious."
what are the chances?,"Any other day and you might have gone walking by. Without a second look. Any other way but I'm still mystified. I'm just trying to change my luck. Staring out the world waiting for the one. But the world won't look away. The world does not explain. So, what are the chances?. We'll never know. If we take it for granted. The diamond explodes. What are the chances?. Playing with your life or is it destiny. Which sets you on a path?. Is it out of tries that you're here next to me. Or just the aftermath. Of moments as they pass. So, what are the chances?. We'll never know. If we take it for granted. The diamond explodes. What are the chances?. We are last in the flow. I'm looking for answers, oho. So, what are the chances?. We'll never know. If we take it for granted. The diamond explodes. What are the chances?. We are last in the flow. I'm looking for answers, oho"
rio,"Wow!. Moving on the floor now babe,. You're a bird of paradise. Cherry ice cream smile, I suppose it's very nice. With a step to your left and a flick to the right. You catch that mirror way out west. You know you're something special. And you look like you're the best. CHORUS. Her name is Rio and she dances on the sand. Just like that river twisting through a dusty land. And when she shines she really shows you all she can. Oh Rio, Rio dance across the Rio Grande. I've seen you on the beach and I've seen you on TV. Two, of a billion stars, it means so much to me. Like a birthday or a pretty view. But then I'm sure that you know it's just for you. CHORUS. Hey now (wow), look at that,. Did he nearly run you down?. At the end of the drive, the lawmen arrive,. You make me feel. Alive, alive, alive. I'll take my chance, 'cause luck is on my side. I tell you something, I know what you're thinking. I tell you something, I know what you're thinking. CHORUS. Her name is Rio, she don't need to understand. I might find her if I'm looking like I can. Oh Rio, Rio hear them shout across the land. From mountains in the north down to the Rio Grande"
none of the above,"I am, I self alone,. Realise, I never had to use no-one.. When it comes down to my soul,. Freedom puts my faith in none of the above. There was a time I was so afraid. Of everything people around me said. That I wanted to hide my face in the shadows. There was a time on a bed of nails. I was dreaming a plan I thought could not fail. But no power under the sun, could pull it together. I can't take this attitude. Got to show now I got to move on. God knows where I'm going to. Its a lonely burning question. I am, I myself alone. Realise I never nedd to use no-one. Money, power, holy roads,. Freedom puts my faith in none above.. . If there's a time, that we ever see. The nature of life in reality. Then I want to be there -. To kick at the answer. I can't take this attitude. Got to show now I got to move on. God knows where I'm going to. Its a lonely burning question. . I am, I myself alone. Realize I never need to use no-one. Money, power, holy roads,. Freedom puts my faith in none of the above. (chorus). -. I am, I myself alone. Realize I never need to use no-one. Money, power, holy road,. Freedom puts my faith in none of the above. (chorus). (None of the above). (My faith in none of the above). (None of the above). (I stand by none of the above). (None of the above). (I stand by none of the above)."
the chauffeur,"Out on the tar plains. the glides are moving. All looking for a new place to drive. You sit beside me. so newly charming. Sweating dew drops glisten. freshing your side. The sun slips down. bedding heavy behind. The front of your dress all shadowy lined. And the droning engine throbs in time. With your beating heart. Way down the lane away, living for another day. The aphids swarm up in the drifting haze. Swim seagull in the sky. Towards that hollow western isle. My envied lady holds you fast. in her gaze. The sun slips down. bedding heavy behind. The front of your dress all shadowy lined. And the droning engine throbs in time. With your beating heart. The sun slips down. bedding heavy behind. The front of your dress all shadowy lined. And the droning engine throbs in time. With your beating heart. Sing Blue Silver. And watching lovers part, I feel you smiling. What glass splinters. lie so deep in your mind. To tear out from your eyes. With a word to stiffen. brooding lies. But I'll only watch you leave me further behind. The sun slips down. bedding heavy behind. The front of your dress all shadowy lined. And the droning engine throbs in time. With your beating heart. Sing Blue Silver. The sun slips down. bedding heavy behind. The front of your dress all shadowy lined. And the droning engine throbs in time. With your beating heart. Sing Blue Silver. Sing Sing blue silver. [spoken] There's more to this kind of camoflauge. More than just colour and shape. Who's calling now?. From the twilight's last gleaming"
