love me like you do,"You're the light, you're the night. You're the color of my blood. You're the cure, you're the pain. You're the only thing I wanna touch. Never knew that it could mean so much, so much. You're the fear, I don't care. Cause I've never been so high. Follow me to the dark. Let me take you past our satellites. You can see the world you brought to life, to life. So love me like you do, lo-lo-love me like you do. Love me like you do, lo-lo-love me like you do. Touch me like you do, to-to-touch me like you do. What are you waiting for?. Fading in, fading out. On the edge of paradise. Every inch of your skin is a holy grail I've got to find. Only you can set my heart on fire, on fire. Yeah, I'll let you set the pace. Cause I'm not thinking straight. My head spinning around I can't see clear no more. What are you waiting for?. Love me like you do, lo-lo-love me like you do. Love me like you do, lo-lo-love me like you do. Touch me like you do, to-to-touch me like you do. What are you waiting for?. Love me like you do, lo-lo-love me like you do. Love me like you do, lo-lo-love me like you do. Touch me like you do, to-to-touch me like you do. What are you waiting for?. I'll let you set the pace. Cause I'm not thinking straight. My head spinning around I can't see clear no more. What are you waiting for?. Love me like you do, lo-lo-love me like you do. Love me like you do, lo-lo-love me like you do. Touch me like you do, to-to-touch me like you do. What are you waiting for?. Love me like you do, lo-lo-love me like you do. Love me like you do, lo-lo-love me like you do. Touch me like you do, to-to-touch me like you do. What are you waiting for?"
burn,"We, we don't have to worry about nothing. 'Cause we got the fire. And we're burning one hell of a something. They, they gonna see us from outer space, outer space. Light it up. Like we're the stars of the human race. Human race. When the lights turned down. They don't know what they heard. Strike the match, play it loud. Giving love to the world. We'll be raising our hands, shining up to the sky. 'Cause we got the fire, fire, fire. Yeah we got the fire, fire, fire. And we gonna let it burn, burn, burn, burn. We gonna let it burn, burn, burn, burn. Gonna let it burn, burn, burn, burn. We gonna let it burn, burn, burn, burn. We don't wanna leave. No, we just wanna be right now. And what we see. Is everybody's on the floor acting crazy. Getting lurker to the lights out. Music's on, I'm waking up, we stop the vibe. And we bump it up. And it's over now, we got the love. There's no secret now, no secret now. When the lights turned down. They don't know what they heard. Strike the match, play it loud. Giving love to the world. We'll be raising our hands, shining up to the sky. 'Cause we got the fire, fire, fire. Yeah we got the fire, fire, fire. And we gonna let it burn, burn, burn, burn. We gonna let it burn, burn, burn, burn. Gonna let it burn, burn, burn, burn. We gonna let it burn, burn, burn, burn. When the lights turned down. They don't know what they heard. Strike the match, play it loud. Giving love to the world. We gonna let it burn, burn, burn, burn. Burn, burn, burn, burn. Burn, burn, burn, burn. We can light it up, up, up. So they can't put it out, out, out. We can light it up, up, up. So they can't put it out, out, out. We can light it up, up, up. So they can't put it out, out, out. We can light it up, up, up. So they can't put it out, out, out. When the lights turned down. They don't know what they heard. Strike the match, play it loud. Giving love to the world. We'll be raising our hands, shining up to the sky. 'Cause we got the fire, fire, fire. Yeah we got the fire, fire, fire. And we gonna let it burn, burn, burn, burn. We gonna let it burn, burn, burn, burn. Gonna let it burn, burn, burn, burn. We gonna let it burn, burn, burn, burn. When the lights turned down. They don't know what they heard. Strike the match, play it loud. Giving love to the world. We'll be raising our hands, shining up to the sky. 'Cause we got the fire, fire, fire. Yeah we got the fire, fire, fire. And we gonna let it burn"
how long will i love you,How long will I love you?. As long as stars are above you. And longer if I can. How long will I need you?. As long as the seasons need to. Follow their plan. How long will I be with you?. As long as the sea is bound to. Wash upon the sand. How long will I want you?. As long as you want me to. And longer by far. How long will I hold you?. As long as your father told you. As long as you can. How long will I give to you?. As long as I live through you. However long you say. How long will I love you?. As long as stars are above you. And longer if I may. How long will I love you?. As long as stars are above you
"close to me (with diplo, feat. swae lee)","Even though we both know we're liars. and we start each other's fires. We just know that we'll be alright. Even though we're kicked out the party. 'cause we both hate everybody. We're the ones they wanna be like. So don't let me down. Keep me in trouble. Born to be wild. Out in the jungle. And I don't wanna be somebody without your body. Close to me. And if it wasn't you, I wouldn't want anybody. Close to me (Yeah, yeah). 'Cause I'm an animal, animal-al. Like animal, like you. And I don't wanna be somebody without your body. Close to me (Woo). You can never come too close for comfort. I had to cut my bitch off, she bein' stubborn. I make it known I fuck with you, not undercover. And when I jump in, I'm burnin' rubber. Iced out body, didn't go to college. Price tag poppin', then you on a private. Don't say ""Sorry, "" everyone's watchin'. When you're where I am, everything's timeless (yeah, yeah). And I don't wanna be somebody without your body. Close to me. And if it wasn't you, I wouldn't want anybody. Close to me (Yeah, yeah). 'Cause I'm an animal, animal-al. Like animal, like you. And I don't wanna be somebody without your body. Close to me (Yee). Close to me. Close to me (Woo). Yeah. Animal, animal-al. Like animal, like you. And I don't wanna be somebody without your body (Yeah). Close to me. And if it wasn't you, I wouldn't want anybody. Close to me (Yeah, yeah). Because I'm an animal, animal-al. Like animal, like you. And I don't wanna be somebody without your body. Close to me. Close to me. (To me). Close to me"
lights,"I had a way then losing it all on my own. I had a heart then but the Queen has been overthrown. And I'm not sleeping now the dark is too hard to beat. And I'm not keeping now the strength I need to push me. You show the lights that stop me turn to stone. You shine it when I'm alone. And so I tell myself that I'll be strong. And dreaming when they're gone. 'Cause they're calling, calling, calling me home. Calling, calling, calling home. You show the lights that stop me turn to stone. You shine it when I'm alone. Home. Noises, I play within my head. Touch my own skin and hope that I'm still breathing. And I think back to when my brother and my sister slept. In an unlocked place the only time I feel safe. You show the lights that stop me turn to stone. You shine it when I'm alone. And so I tell myself that I'll be strong. And dreaming when they're gone. 'Cause they're calling, calling, calling me home. Calling, calling, calling home. You show the lights that stop me turn to stone. You shine it when I'm alone. Home. Yeah, hee. Light, lights, lights, lights. Light, lights, lights, lights. Light, lights, lights, lights. Light, lights. You show the lights that stop me turn to stone. You shine it when I'm alone. And so I tell myself that I'll be strong. And dreaming when they're gone. 'Cause they're calling, calling, calling me home. Calling, calling, calling home. You show the lights that stop me turn to stone. You shine it when I'm alone. Home, home. Light, lights, lights, lights"
i need your love,"I need your love. I need your time. When everything's wrong. You make it right. I feel so high. I come alive. I need to be free with you tonight. I need your love. I need your love. I take a deep breath everytime I pass your door. I know you're there but I can't see you anymore. And that's the reason you're in the dark. I've been a stranger ever since we fell apart. And I feel so helpless here. Watch my eyes are filled with fear. Tell me do you feel the same. Hold me in your arms again. I need your love. I need your time. When everything's wrong. You make it right. I feel so high. I come alive. I need to be free with you tonight. I need your love. I need your love. Now I'm dreaming, will I ever find you now?. I walk in circles but I'll never figure out. What I mean to you, do I belong. I try to fight this but I know I'm not that strong. And I feel so helpless here. Watch my eyes are filled with fear. Tell me do you feel the same. Hold me in your arms again. I need your love. I need your time. When everything's wrong. You make it right. I feel so high. I come alive. I need to be free with you tonight. I need your love. I need your love. All the years. All the times. You have never been to blame. And now my eyes are open. And now my heart is closing. And all the tears, all the lies, all the waste. I've been trying to make a change. And now my eyes are open. I need your love. I need your time. When everything's wrong. You make it right. I feel so high. I come alive. I need to be free"
on my mind,"It's a little blurry how the whole thing started. I don't even really know what you intended. Thought that you were cute and you could make me jealous. Poured it down, so I poured it down. Next thing that I know I'm in a hotel with you. You were talking deep like it was mad love to you. You wanted my heart but I just liked your tattoos. Poured it down, so I poured it down. And now I don't understand it. You don't mess with love, you mess with the truth. And I know I shouldn't say it. But my heart don't understand. Why I got you on my mind. Why I got you on my mind. Why I got you on my mind. Why I got you on my mind. But my heart don't understand. Why I got you on my mind. Why I got you on my mind. Why I got you on my mind. Why I got you on my mind. I always hear, always hear them talking. Talking 'bout a girl, 'bout a girl with my name. Saying that I hurt you but I still don't get it. You didn't love me, no, not really. Wait. I could have really liked you. I'll bet, I'll bet that's why I keep on thinking 'bout you. It's a shame (shame) , you said I was good. So I poured it down, so I poured it down. And now I don't understand it. You don't mess with love, you mess with the truth. And I know I shouldn't say it. But my heart don't understand. Why I got you on my mind. Why I got you on my mind. Why I got you on my mind. Why I got you on my mind. But my heart don't understand. Why I got you on my mind. You think you know somebody. Why I got you on my mind. You think you know somebody. Why I got you on my mind. You think you know somebody. Why I got you on my mind. You got yourself in a dangerous zone. Cause we both have the fear, fear of being alone. And I still don't understand it. You don't mess with love, you mess with the truth. And my heart don't understand it. Understand it, understand it. Why I got you on my mind. You think you know somebody. Why I got you on my mind. You think you know somebody. Why I got you on my mind. You think you know somebody. Why I got you on my mind. But my heart don't understand. Why I got you on my mind. You think you know somebody. Why I got you on my mind. You think you know somebody. Why I got you on my mind. You think you know somebody. Why I got you on my mind. But my heart don't understand. Why I got you on my mind. You think you know somebody. Why I got you on my mind. You think you know somebody. Why I got you on my mind. You think you know somebody. Why I got you on my mind"
your song,"It's a little bit funny, this feeling inside. I'm not one of those who can easily hide. I don't have much money, but boy if I did. I'd buy a big house where we both could live. So excuse me forgetting, but these things I do. See I've forgotten if they're green or they're blue. Anyway the thing is what I really mean. Yours are the sweetest eyes I've ever seen. And you can tell everybody this is your song. It may be quite simple, but now that it's done. I hope you don't mind. I hope you don't mind that I put down in words. How wonderful life is now you're in the world. If I was a sculptor, but then again no. Or a girl who makes potions in a traveling show. I know it's not much, but it's the best I can do. My gift is my song, and this one's for you. And you can tell everybody this is your song. It may be quite simple, but now that it's done. I hope you don't mind. I hope you don't mind that I put down in words. How wonderful life is now you're in the world"
something in the way you move,"It's the strangest feeling. Feeling this way for you. There's something in the way you move. Something in the way you move. With you I'm never healing. This heartache through and through. Something in the way you move. I don't know what it is you do. Not one bone in your body. Good enough for me. But this heart is open. Bloodstains on my sleeve. When our eyes meet. I can only see the end. But tonight I'm here yours again. But tonight I'm gonna lose it all. Playing with fire, I was the first to fall. Heart is sinking like a cannonball. Baby, kill it, what you're waiting for?. Something in the way you move. Something in the way you do it. Something in the way you move, oh oh. Something in the way you move. Something in the way you do it. Something in the way you move, oh oh. Oh oh oh, oh oh oh. Oh oh oh, oh oh oh. There's an evil night air. The stars don't shine tonight, no. Something in the way you do. Something in the way you. Push me closer, further. Break me just enough. Yours lies always seem so true. There's nothing left for me to lose. There's not one thing I can do. To change your ways. But I can't sit back. And take the lonely days. When our eyes meet. I can only see the end. And tonight the rain pours again. But tonight I'm gonna lose it all. Playing with fire, I was the first to fall. Heart is sinking like a cannonball. Baby, kill it, what you're waiting for?. Something in the way you move. Something in the way you do it. Something in the way you move, oh oh. Something in the way you move. Something in the way you do it. Something in the way you move, oh oh. Oh oh oh, oh oh oh. Oh oh oh, oh oh oh. Oh oh oh oh. Oh oh oh, oh oh oh. Oh oh oh, oh oh oh. Oh oh oh oh. But tonight I'm gonna lose it all. Playing with fire, I was the first to fall. Heart is sinking like a cannonball. Baby, kill it, what you're waiting for?. Something in the way you move. Something in the way you do it. Something in the way you move, oh oh. Something in the way you move. Something in the way you do it. Something in the way you move, oh oh. Something in the way you move. Something in the way you do it. Something in the way you move, oh oh. Something in the way you move. Something in the way you do it. Something in the way you move, oh oh"
outside,"Look at what you've done. Stand still, falling away from me. When it takes so long. Fire's out, what do you want to be?. Now I'm holding on. Myself was never enough for me. Gotta be so strong. There's a power in what you do. Now every other day, I'll be watching you. I'll show you what it feels like. Now I'm on the outside. We did everything right. Now I'm on the outside. I'll show you what it feels like. Now I'm on the outside. We did everything right. Now I'm on the outside. So, you give me no reason. For me to stay close to you. Tell me what lovers do. How are we still breathing?. It's never for us to choose. I'll be the strength in you. Now I'm holding on. Myself was never enough for me. Gotta be so strong. There's a power in what you do. Now every other day, I'll be watching you. I'll show you what it feels like. Now I'm on the outside. We did everything right. Now I'm on the outside. I'll show you what it feels like. Now I'm on the outside. We did everything right. Now I'm on the outside. I'll show you what it feels like. Now I'm on the outside. I'll show you what it feels like. I'll show you what it feels like. Now I'm on the outside. We did everything right. Now I'm on the outside"
