hero,"Would you dance. If I asked you to dance?. Would you run. And never look back?. Would you cry. If you saw me cryin'. Would you save my soul tonight?. Would you tremble. If I touched your lips?. Would you laugh?. Oh please tell me this.. Now would you die. For the one you love?. Hold me in your arms tonight.. Chorus:. I can be your hero, baby.. I can kiss away the pain.. I will stand by you forever.. You can take my breath away.. Would you swear. That you'll always be mine?. Would you lie?. Would you rub in mind?. Am I in too deep?. Have I lost my mind?. Well,I don't care you're here tonight.. Chorus:. I can be your hero baby.. I can kiss away the pain.. I will stand by you forever.. You can take my breath away.. Oh, I just wanna hold you.. I just wanna hold you.. Am I in too deep?. Have I lost my mind?. Well, I don't care you're here tonight.. Chorus:. I can be your hero baby.. I can kiss away the pain.. I will stand by you forever.. You can take my breath away.. I can be your hero baby.. I can kiss away the pain.. I will stand by you forever.. You can take my breath away.. You can take my breath away.. I can be your hero."
"tonight (i'm f**kin' you) (feat. ludacris, dj frank e)","I know you want me. I made it obvious that I want you too. So put it on me. Let's remove the space between me and you. Now rock your body (oooh). Damn I like the way that you move. So give it to me (oooo oooh). Cause I already know what you wanna do. Here's the situation. Been to every nation. Nobody's ever made me feel the way that you do. You know my motivation. Given my reputation. Please excuse I don't mean to be rude. But tonight I'm fucking you. Oh you know. That tonight I'm fucking you. Oh you know. That tonight I'm fucking you. You're so damn pretty. If I had a type than baby it'd be you. I know your ready. If I never lied, than baby you'd be the truth. Here's the situation. Been to every nation. Nobody's ever made me feel the way that you do. You know my motivation. Given my reputation. Please excuse I don't mean to be rude. But tonight I'm fucking you. Oh you know. That tonight I'm fucking you. Oh you know. That tonight I'm fucking you. [Ludacris]. Luda... Tonight I'm gonna do. Everything that I want with you. Everythin that u need. Everything that u want I wanna honey. I wanna stunt with you. From the window. To the wall. Gotta give u, my all. Winter n summertime. When I get you on the springs. Imma make you fall. You got that body. That make me wanna get on the boat. Just to see you dance. And I love the way you shake that ass. Turn around and let me see them pants. You stuck with me. I'm stuck with you. Lets find something to do. (Please) excuse me. I dont mean to be rude. [Enrique Iglesias]. But tonight I'm fucking you. Oh you know. That tonight I'm fucking you. Oh you know. That tonight I'm fucking you"
i will survive,You like to think. That you'll the only one who understands my needs. And you tell everyone. That I can't live without you even for one day. But who gave you the right. To talk about the way I feel so deep inside. Now I realize you were never mine. We were never right. Baby you will find. I will survive. I'm gonna make it through. Just give me time. I will get over you. I will survive. No matter what you do. Just need to see. I will get over you. Cause baby I will survive. Cause baby I will survive. What makes you think. That I don't see the way you made a fool of me. Don't laugh behind my back. Because what goes around I promise you comes back. Now I realize you were never mine. We were never right. Baby you will find. I will survive. I'm gonna make it through. Just give me time. I will get over you. I will survive. No matter what you do. Just need to see. I will get over you. Cause baby I will survive. I will survive. I'm gonna make it through. Just give me time. I will get over you. I will survive. No matter what you do. Just need to see. I will get over you. I will survive(I will survive). I'm gonna make it through. Just give me time(just give me time). I will get over you(get over you). I will survive. No matter what you do(no matter what you do). Just need to see. I will get over you. I will survive. I'm gonna make it through. I will survive. I will get over you. Cause baby I will survive.
3 letters (feat. pitbull),"One love. Enrique Iglesias. Pitbull. I don't care if you're taken. Long as you're single I come around. I don't care for love making. I wanna beat it till you walls come down. I put the key in your ignition. Turn you on. So you revved up, ready to go. Now I can tell you what I'm thinking, if you want. But you already know, already know. I got three letters on my brain. I shouldn't have to spell it for you. I've for three letters on my brain. I can't wait to put it on you. And have you like, wo-oh, make your body, explode. I got three letters on my brain. I shouldn't have to spell it for you. I don't care what you're wearing. Because it all looks good on a flow. I wanna see you standing. With nothing on but the heels you own. I put the key in your ignition. And turn you on. So you revved up, ready to go. Now I can tell you what I'm thinking, if you want. But you already know, already know. I got three letters on my brain. I shouldn't have to spell it for you. I've for three letters on my brain. I can't wait to put it on you. And have you like, wo-oh, make your body, explode. I got three letters on my brain. I shouldn't have to spell it for you. [Pitbull]. I'm going down, going down, going down. Cause baby you're sexy. So turn around, turn around, turn around. Cause baby you're sexy. I got three letters on my brain. I shouldn't have to spell it for you. I've for three letters on my brain. I can't wait to put it on you. And have you like, wo-oh, make your body, explode. I got three letters on my brain. I shouldn't have to spell it for you. I got three letters. I got three letters"
addicted,"Have I told you how good it feels to be me,. when I'm in you?. I can only stay clean. when you are around.. Don't let me fall.. If I close my eyes forever,. would it ease the pain?. Could I breathe again?. Maybe I'm addicted,. I'm out of control,. but you're the drug. that keeps me from dying.. Maybe I'm a liar,. but all I really know is. you're the only reason I'm trying.. I am wasted away,. I made a million mistakes.. Am I too late?. There is a storm in my head;. it rains on my bed. when you are not here.. I'm not afraid of dying,. but I am afraid of losing you.. Maybe I'm addicted,. I'm out of control,. but you're the drug. that keeps me from dying.. Maybe I'm a liar,. but all I really know is. you're the only reason I'm trying.. When you're lying next to me. love is going through to me.. Oh it's beautiful.. Everything is clear to me. 'till I hit reality. and I lose it all.... I lose it all.... I lose it all.. I lose it all.... You're the only reason,. Yeah, you're the only reason I'm trying,. Oh, I'm trying, I'm trying, I'm trying,. Don't want to lose it all,. Don't want to lose it all,. I'm trying, I'm trying... I'm trying .... Yeah, you know I'm addicted,. You know I'm addicted,. Yeah, you know I'm addicted...."
alabao,"When I’m with you a chain reaction. Like a rush of satisfaction. Suddenly coming over me. Your eyes telling me that you hold the key. The key to unlock my fantasies. Baby this is where I want to be. My heart is beating so hard; it’s frightening. Feels like I’m hit by lightening. Every time I watch you move. You’re so in tune with your body. And I can see that no one else will do. Cause I’m so into you. Chorus:. Alabao, you got the touch. Alabao, you got the motion. Alabao, just can’t hold back any more. Alabao, you lift me up. Alabao, you knock me down. Alabao, you’re the one that I adore. You can take care of my affliction. Satisfy my addiction. You know what you have to do. When your body wants my affection. You take me in a new direction. One where there’s only you and me. And there we rise to the moment. And I can feel your love all around me. Now it’s time to give it all. Chorus: #. Just look in your eyes and I’m in heaven. There’s so much that I want; I go insane. Take me here, make me yours now and forever. I can take all the pleasure and the pain. Chorus: # (2)."
alive,"Come on!. It is you and me. I see you standin' there. And I'm watchin' every move you make. I'm just waiting for the moment to. walk up to you and tell the truth. You will understand. Something about you makes me lose control. Takes my thoughts into another world. Where you touchin' me and you can't let go. I see you standin'. Across a floor. I'm comin' to ya, to ya, to ya. Baby I. I'm gonna make you feel alive. Ohh I'm standin' right in front of you. All you have to do. Is see it, see it, see it. Baby I. You know I make you feel alive. Ohh Love's right in front of you. All you have to do. Is see it, see it, see it. Sometimes I try to find. A million reasons not to be with you. Now you are way deep inside of me. And it makes me weak. Ohh I just can't breathe. I see you dancin'. On the floor. I'm comin to you, to you, to you. Baby I. I'm gonna make you feel alive. Ohh I'm standin' right in front of you. All you have to do. Is see it, see it, see it. Baby I. You know I make you feel alive. Ohh Love's right in front of you. All you have to do. Is see it, see it, see it. I make you feel alive. Baby I (Baby I...). I'm gonna make you feel alive (Gonna make you feel alive). Ohh.I'm standin' right in front of you. All you have to do. Is see it, see it, see it. Baby I, I. You know I make you feel alive (Somethin's wrong with you baby). Ohh Love's right in front of you (You're not gonna feel). All you have to do (You're not gonna feel so alive). See it, see it (So alive), see it"
away,"Away away, oh yea away away. this feels like the coldest day. in a hurricane looking through. a glass window. and ya screaming. to the top of yours lungs,. and the bells done rung. and the crowd can't hear you. and all that i can see. is a building burning. i just gotta rescue my baby. but you don't even recognize me. and even though. the feeling's been gone. i just wanna be here to pick up. the little pieces of remains. i'm going down. the plane is smoking. and the only one. who can save me. is you but you. wanna throw me. Chorus:. Away, away, away, away,. oh why i wanna know. i wanna know why. you wanna throw me. Away, away, away, away,. oh why. i gotta know why. you wanna throw me away. you used to ask why. i was i so skeptic of love. girl cuz it changes,. and it ain't got to be. no real reason. you start to live the dream. and before you know. there's a door that open,. and the moment. you walk in it close. maybe it's somebody else. or a situation. that you can't help. oh love, oh love, oh love,. oh love. just ain't what it. used to be. i confronted my fears. with open arms. although you said. you will never give up on us. but now you blow me away. Chorus2. Perfect. we said we'd never be. so why. is this happening to me. no way no way no way"
baby hold on,"She bought a ticket to nowhere. And she told me that she's sick of this life. She said don't worry, it's alright. Cause she doesn't wanna see me cry. I wish that she could see. How beautiful she is to me. Chorus. Baby baby hold on, oh please don't let go. Baby baby be strong, so much you don't know. Life is crazy sometimes, I know it's not easy. But baby baby hold on. I wiped the tears from her face. She's forgotten how her smile used to feel. She holds my hand and she whispers. Tell me why you love a loser like me. I wish that she could see. How beautiful she is to me. Chorus. Baby baby hold on, ooh baby hold on. Oh baby baby hold on, oh yeah. I wish that you could see. How beautiful you are to me. Baby baby hold on, oh please don't let go. Baby baby be strong, so much you don't know. Life is crazy sometimes, I know it's not easy. I know it's not easy but baby baby hold on. Baby baby hold on, baby baby hold on"
"bailando (feat. sean paul, descemer bueno & gente de zona) (english version)","[Intro: Sean Paul]. Bless 'em this one is straight. For di girl 'em. Enrique Iglesias longside Gente de Zona. Get di girl them in a di zone. Dem a big man, Sean a Paul let me there yeah. What me tell 'em 'pon the zone. Like it just like that. Di girl 'em move 'pon track. Sean a Paul let me there yeah. Enriquee, sing 4 'em. [Enrique:]. You look at me. And girl you take me to another place. Got me feeling like I'm flying, like I'm outer space. Something 'bout your body says ""come and take me"". Got me begging, got me hoping that the night don't stop. [Gente De Zona:]. (Bailando, bailando, bailando, bailando). Tu cuerpo y el mio llenando el vacío. Subiendo y bajando (subiendo y bajando). (Bailando, bailando, bailando, bailando). Ese fuego por dentro me esta enloqueciendo. Me va saturando. [Enrique:]. Girl I like the way you move. Come and show me what to do. People tell me that you want me. Girl you got nothing to lose. I can't wait no more. (ya no puedo mas). I can't wait no more. (ya no puedo mas). [Sean Paul:]. Sean!. She a call a me for fit it. Cause you nah say me not pretty. Me a tell you no for pit it. Ant time when me get it. Is gonna be alright. we take it full play. So we do this all night, baby girl... rbam bam. [Enrique:]. I wanna be contigo. And live contigo, and dance contigo. Para have contigo una noche loca. Y besar tu boca. I wanna be contigo. And live contigo, and dance contigo. Para have contigo una noche loca. Y besar tu boca. [Sean Paul:]. Oh oh oh say when baby girl oh oh ohhaa. Stay with me girl! oh oh ohh. Play with me girl! oh oh ohaa. Say when baby girl. [Enrique:]. I look at you and it feels like paradise. When you got me spinning, got me crazy. Got me hypnotized. I need your love, I need you closer. Keep me begging, keep me hoping that the night don't stop. [Gente De Zona:]. (Bailando, bailando, bailando, bailando). Tu cuerpo y el mio llenando el vacío. Subiendo y bajando (subiendo y bajando). (Bailando, bailando, bailando, bailando). Ese fuego por dentro me esta enloqueciendo. Me va saturando. [Enrique:]. Girl I like the way you move. Come and show me what to do. People tell me that you want me. Girl you got nothing to lose. I can't wait no more. (ya no puedo mas). I can't wait no more. (ya no puedo mas). [Sean Paul:]. Sean!. She a call a me for fit it. Cause you nah say me not pretty. Me a tell you no for pit it. Ant time when me get it. Is gonna be alright. we take it full play. So we do this all night, baby girl... rbam bam. [Enrique:]. I wanna be contigo. And live contigo, and dance contigo. Para have contigo una noche loca. Y besar tu boca. I wanna be contigo. And live contigo, and dance contigo. Para have contigo una noche loca. Y besar tu boca. [Sean Paul:]. Oh oh oh say when baby girl... oh oh ohhaa. Stay with me girl! oh oh ohh. Play with me girl! oh oh ohaa. Say when baby girl. [Outro: Sean Paul]. Rbam bam. Baby girl, you are the bomb bomb. The job job, kill it with the wine. The way you move girl, let me. I'll be gwan stop. Tik a tik a tok, never gonna stop girl. Let me, I'll be there, when you fit and turn. And when you give me. The girl you round the world. Sexy body she a full of body girl. Let me turn your body to right of there. Long time me looking listen my world. Oh oh oh say when baby girl... oh oh ohhaa. Stay with me girl! oh oh ohh. Play with me girl! oh oh ohaa. Say when baby girl"
