a little respect,"I try to discover a little something to make me sweeter. Oh baby refrain from breaking my heart. I'm so in love with you. I'll be forever blue. That you gimme no reason. why you make me work so hard. That you gimme no. That you gimme no. That you gimme no. That you gimme no. So, I hear you calling. Oh baby please. Give a little respect to me. And if I should falter would you open your arms out to me?. We can make love not war. and live at peace with our hearts. I'm so in love with you. I'll be forever blue. What religion or reason. could drive a man to forsake his lover?. Don't you tell me no. Don't you tell me no. Don't you tell me no. Don't you tell me no. So, I hear you calling. Oh baby please. Give a little respect to me. I'm so in love with you. I'll be forever blue. That you gimme no reason,. you know you make me work so hard. That you gimme no. That you gimme no. That you gimme no. That you gimme no. So, I hear you calling. Oh baby please (give a little respect). Give a little respect to me. So, I hear you calling. Oh baby please (give a little respect). Give a little respect to me"
oh l'amour,Oh L'Amour. Broke my heart. Now I'm aching for you. Mon amour. What's a boy in love. Supposed to do. Looking for you. You were looking for me. Always reaching for you. You were too blind to see. Oh love of my heart. Why leave me alone. I'm falling apart. No good on my own. Oh L'Amour. Broke my heart. Now I'm aching for you. Mon amour. What's a boy in love. Supposed to do. Why throw it away. Why walk out on me. I just live for the day. For the way it should be. There once was a time. Had you here by my side. You said I wasn't your kind. Only here for the ride. Oh L'Amour. Broke my heart. Now I'm aching for you. Mon amour. What's a boy in love. Supposed to do. No emotional ties. You don't remember my name. I lay down and die. I'm only to blame. Oh love of my heart. It's up to you now. You've tore me apart. I hurt inside-out. Oh L'Amour. Broke my heart. Now I'm aching for you. Mon amour. What's a boy in love. Supposed to do. Oh L'Amour. Broke my heart. Now I'm aching for you. Mon amour. What's a boy in love. Supposed to do. Oh L'Amour. Broke my heart. Now I'm aching for you. Mon amour. What's a boy in love. Supposed to do
love to hate you,I'm crazy flowing over with ideas. A thousand ways to woo a lover so sincere. Love and hate what a beautiful combination. Sending shivers up and down my spine. For every Casanova that appears. My sense of hesitation disappears. Love and hate what a beautiful combination. Sending shivers up and down my spine. And the lovers that you sent for me. Didn't come with any satisfaction guarantee. So I return them to the sender. And the note attached will read. How I love to hate you. I love to hate you. I love to hate you. I love to hate you. Oh you really still expect me to believe. Every single letter I receive. Sorry you what a shameful situation. Sending shivers up and down my spine. I like to read a murder mystery. I like to know the killer isn't me. Love and hate what a beautiful combination. Sending shivers make me quiver. Feel it sliver up and down my spine. How I love to hate you. I love to hate you. I love to hate you. I love to hate you
always,"Open your eyes, I see. Your eyes are open. Wear no disguise for me. Come into the open. When it's cold outside. Am I here in vain?. Hold on to the night. There will be no shame. Always. I wanna be with you. And make-believe with you. And live in harmony, harmony. Oh love. Always. I wanna be with you. And make-believe with you. And live in harmony, harmony. Oh love. (always). Melting the ice for me. Jump into the ocean. Hold back the tide, I see. Your love in motion. (Repeat)"
stop!,"We'll be together again. I've been waiting for a long time. We're gonna be, we're gonna be together again. I'll be connected to the right line. We'll be together. And nobody ain't never gonna. Disconnect us. Or ever separate us. Or say to us you've got to. Stop!. Stand there where you are. Before you go too far. Before you make a fool out of love. Stop!. Don't jump before you look. Get hung up on a hook. Before you make a fool out of love. We'll be together again. I've been waiting for a long time. We're gonna be, we're gonna be together again. I'll be connected to the right line. We'll be together. And nobody ain't never gonna. Disconnect us. Or ever separate us. Or say to us you've got to. Stop!. Stand there where you are. Before you go too far. Before you make a fool out of love. Stop!. Don't jump before you look. Get hung up on a hook. Before you make a fool out of love. We'll be together. And nobody ain't never gonna. Disconnect us. Or ever separate us. Or say to us you've got to. Stop!. Stand there where you are. Before you go too far. Before you make a fool out of love. Stop!. Don't jump before you look. Get hung up on a hook. Before you make a fool out of love"
blue savannah,"Blue Savannah song. Oh blue Savannah song. Somewhere 'cross the desert. Sometime in the early hours. In a restless world. On the open highway. My home is where the heart is. Sweet to surrender to you only. I send my love to you. Blue Savannah song. Oh blue Savannah song. Racing 'cross the desert. At a hundred miles an hour. To the orange side. Through the clouds and thunder. My home is where the heart is. Sweet to surrender to you only. I send my love to you. I'm on my way back and your love will bring me home. (Say that your loving will bring me home). I'm travelling fast and your love will bring me home. (Say that your loving will bring me home). Will I discover that your love will bring me home?. (Dream away, darling). Will I discover that your love will bring me home?. (Yeah). Somewhere 'cross the desert. Sometime in the early hours. To the orange side. Through the clouds and thunder. My home is where the heart is. Sweet to surrender to you only. I send my love to you. Home is where the heart is. Sweet to surrender to you only. I send my love to you. Savannah song. Sweet to surrender to you only. I send my love to you. Savannah song. To you only. To you only"
2000 miles,There's something I need to say. I'm not sad you're gone away no way. Won't be calling information. Or waiting at the railway station. You walked out of my front door. I wasn't then but now I'm sure. I need to be at least 2000 miles away from you. 2000 miles away from you. 2000 miles away from you. 2000 miles away from you. 2000 miles away from you. Had to get me to the church on time. To say that silly I do I do nursery rhyme. You've been bitching at me for awhile. Say hey now baby don't you cramp my style. Don't go beating me like that. I'm glad I won't be coming back. I need to be at least 2000 miles away from you. 2000 miles away from you. 2000 miles away from you. 2000 miles away from you. 2000 miles away from you.
all this time still falling out of love,"Erasure - All This Time Still Falling Out Of Love. [Nightbird 2005]. . As a means of release. Pick up my little pieces of heaven. 'Tis a social disease when I cry. As you head for the door. I want it all, you can take it all leave it. With the light coming in. My desire to give in runs away with me. If I'm not good enough and my love is too much. Then forget it. Now I am strong carry me home. You can take it or leave it. God help me but forgive my true intention. It hurts me but I've nowhere left to run. All this time still falling out of love. As we cut to the thrust. This could well be the year of decision. Do you know what I mean. Like a song spinning round in my head?. Now I am strong carry me home. You can take it or leave it. God help me but forgive my true intention. It hurts me but I've nowhere left to run. All this time still falling out of love. I want it all, give me it all. I want it all, give me it all. God help me but forgive my true intention. It hurts me but I've nowhere left to run. God help me but forgive my true intention. It hurts me but I've nowhere left to run. All this time still falling out of love. All this time still falling out of love"
a whole lotta love run riot,"She was still a movie star when the lights went out. Ooh-oh. She had such a glittering career. Ooh-oh. She could never memorise her opening lines. Ooh-oh. Couldn't understand why they would leave. A whole lotta. A whole lotta love run. All my lovin' tonight. A whole lotta love. And see you later. Ain't nothing more to come. Won't make it right. A whole lotta love. And see you later. Ain't nothing more to come. No lovin' tonight. See was on another psychic frequency. Ooh-oh. Just as well the brakes went out on the car. Ooh-oh. Her hands were tied with velvet rope behind her back. Ooh-oh. The causes have become her guilded cage. A whole lotta. A whole lotta love run. All my lovin' tonight. A whole lotta love. And see you later. Ain't nothing more to come. Won't make it right. A whole lotta love. And see you later. Ain't nothing more to come. No lovin' tonight. Je ne suis pas model. Je ne suis pas une dame. Superil etais une fois j'etais un dieu. Je ne suis pas une force de la nature. Whole, love, riot. A whole lotta love run. No more lovin' tonight. She ain't no model. Or super lady. We've had it up to here. With your strange behaviour. A whole lotta love. Ain't nothing more to come. Tonight"
a long goodbye,"In these days of mine for keeps I'm trying to hold on. when suddenly you're all out of reach & everything goes wrong. what we say & what we do are entirely different things. meaningless straight through the roof it's not how it should be. easy like a bird I ride the breeze my mind is falling. You're so ordinary, you're my sanctuary in the morning darling. new sensation, love vibration, heart to heart & a long goodbye. you go your way, I'll go my way, life is truer than fiction in this crazy. land of milk & honey life is just an illusion. I just don't know what to believe in, if the truth be known. suffering from soul fatigue, weathering the storm. what we say & what we do are entirely different things. the whisperings dissolve the room well it's not how it should be. swaying like a tree I feel the sky somebody calling. You're so ordinary, be my sanctuary in the morning darling. new sensation, love vibrations, heart to heart & a dumb goodbye. then you go your way, I'll go my way, life is truer than fiction in this. crazy mixed up world of honey life is just an illusion darling. easy like a bird I ride the breeze my mind is falling. You're so ordinary, be my sanctuary in the morning darling. new sensation, love vibrations, heart to heart & a long goodbye. you go your way, I'll go my way, life is truer than fiction in this crazy. mixed up world of honey life is just an illusion. You're so ordinary, sanctuary, be my one in the morning darling. the new sensation, love vibrations, heart to heart & a dumb goodbye. then you go your way, I'll go my way, life is truer than fiction in this. crazy mixed up world of honey life is just an illusion. You're so ordinary, sanctuary, be my light in the morning darling. the new sensation, love vibrations, heart to heart & a long goodbye. then you go your way, I'll go my way, life is truer than fiction in this. crazy mixed up world of honey life is just an illusion darling. ."
