hotter than fire (feat. dev),"Dev. And Eric Saade. Let's go. I'm dressing up for tonight. Don't need no list no invite. I'm here to dance, dance. D-d-dance, dance. We headed straight to the bar. One drink became many more. We're here to dance, dance. Dd-d-dance, dance. Moving, moving. I feel the vibe is getting loud yeah. Moving, moving. And now the club is overcrowded. And at the top of the night. I caught her right in my sight. I took a chance, chance. She's cooler than ice. Flyer than wind. Hotter than fire. This is the night. I'm burning within. She's hotter than fire. I say I'm flammable, I'm TNT, light it up. She's hotter than fire. I say I'm flammable, I'm TNT, light it up. She's hotter than fire. She rocks that outfit for me. Red dress, H-O-T indeed. So I advance-vance, a-advance-vance. Her silhouette triggers death. She's got me catching my breath. She's so advance-vance, a-advance-vance. Moving, moving. I feel the vibe is getting loud yeah. Moving, moving. We're meant to be no doubt about it. And at the end of the night. I'm leaving right by her side. I took a chance, chance. She's cooler than ice. Flyer than wind. Hotter than fire. This is the night. I'm burning within. She's hotter than fire. I say I'm flammable, I'm TNT, light it up. She's hotter than fire. I say I'm flammable, I'm TNT, light it up. She's hotter than fire. I said I'm TNT. Burning up, get about your seat. They try but can't compete. 'Cause I'm complete. I said I'm TNT. Burning up, get about your seat. They try but can't compete. 'Cause I'm complete. She's cooler than ice. Flyer than wind. Hotter than fire. This is the night. I'm burning within. She's hotter than fire. I say I'm flammable, I'm TNT, light it up. She's hotter than fire. I say I'm flammable, I'm TNT, light it up. She's hotter than fire"
beautiful,"You know we are, we are, we are, we are, we are alright. I can't believe it my shitty monday kinda feels alright. The way I'm feeling, I'm overheated but the breeze is nice. Getting high from the vibe. Above the cloud nobody's around no. Ain't gonna lie I'm scared of heights but I won't come down. You're the reason. The coldest winter feels like summer nights. You know we are, we are beautiful, how beautiful is life. You know we are, we are beautiful, baby. how beautiful is life. You know we are, we are, we are, we are, we are. You know we are, we are beautiful. Baby how beautiful is life. It's like we're rose gold cuz' baby with no effort we still shine. And I see no road, so take the wheel. and now enjoy the ride. Getting high above the vibe. Above the club Baby don't slow down, no. We gotta try so I roll the dice. so we won't come down, you're the reason. The coldest winter feels like summer nights. You know we are. You know we are, we are beautiful, how beautiful is life. You know we are, we are beautiful, baby, how beautiful is life. You know we are, we are, we are, we are, we are. You know we are, we are beautiful, Baby how beautiful is life. You know we are. You know we are, we are beautiful, how beautiful is life. You know we are, we are beautiful, baby, how beautiful is life. You know we are, we are, we are, we are, we are. You know we are, we are beautiful. You know we are. You know we are, we are beautiful, how beautiful is life. Gettin' high from the vibe. Nobody's around. Ain't gonna lie. I won't come down. High from the vibe. Baby don't slow down. We gotta try. You know we are. You know we are, we are beautiful, how beautiful is life. You know we are, we are beautiful, baby, how beautiful is life. You know we are. You know we are, we are beautiful, how beautiful is life. You know we are, we are beautiful, baby, how beautiful is life. You know we are, we are, we are, we are, we are. You know we are, we are beautiful how beautiful is life. You know we are, we are, we are, we are, we are. (beautiful). You know we are, we are, we are, we are, we are. (beautiful). You know we are, we are, we are, we are, we are. (beautiful). You know we are, we are, we are, we are, we are. (beautiful). You know we are, we are, we are, we are, we are. (beautiful)"
backseat,"You're the pilot, girl. I'm cruising, cruising. With the best out of my closet. It's all about the girls. Got my shades, something italian-talian. Destination is the venue. It's all about the girls. All the ladies all look fresh for tonight. The fellas hatin' but the can not deny. So I'm putting on my image, image. Haters can not come between. 'Cause it's all about the girls. I'm riding in your backseat. If you let me. You can be my taxi. Come and get me. I'm riding in your backseat. If you let me. You can be my taxi. Come and get me. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. Call it, ladies. Feel I kick back, kick back. 'Cause I'll never lose my swagger. It's all about the girls. Throwing parties as our hobby, hobby. All the fellas getting ditched. It's all about the girls. Pretty ladies I just can not deny. You're VIP don't need to stand in the line. Tonight I'm putting on my image, image. I am ready to deliver. 'Cause it's all about the girls. I'm riding in your backseat. If you let me. You can be my taxi. Come and get me. I'm riding in your backseat. If you let me. You can be my taxi. Come and get me. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. Calling all the girls. All around the world. All around the world. Calling all the girls. All around the world. All around the world. I said I'm calling all the girls. All around the world. All around the world. Calling all the girls. All around the world. All around the world. I'm riding in your backseat. If you let me. You can be my taxi. Come and get me. I'm riding in your backseat. If you let me. You can be my taxi. Come and get me. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. (Calling all the girls...). I'm riding in your back-back-seat-seat. (Calling all the girls...). I'm riding in your back-back-seat-seat"
colors,I need adrenaline to cover all my sins. Back to be crazy. Back to be crazy. I'm living carelessly like I'm seventeen. Do what I wanna. Be who I wanna. Round and round we fly. Raise your glasses and toss this life. Bring it to the top. And up we go. We're higher than the sun. It's spinning round like. One million pills in my mind. I can feel my dreams slowly coming to life. Take another sip from this trip. Drink it up. I need to recover from black. And white to colors. Let's just stay in bed. And leave the rest unsaid. No need to stress it. There's no need to stress it. So let us freeze the time. To feel forever young. And enjoy all the madness. Enjoy all the madness. Round and round we fly. Raise your glasses. And toss this life. Bring it to the top. And up we go. We're higher than the sun. It's spinning round like. One millon pills in my mind. I can feel my dreams slowly coming to life. Take another sip from this trip. Drink it up. I need to recover from black. And white to colors. I'm living carelessly like I'm seventeen. Do what I wanna. It's spinning round like. One million pills in my mind. I can feel my dreams slowly coming to life. Take another sip from this trip. Drink it up. I need to recover fron black. And white to colors. It's spinning round like. One million pills in my mind. So move a little closer. We're wasting no time. We take another sip from this cup. Drink it up. I need to recover from black. And white to colors. Black and white to colors. To colors
forgive me,"We started off so amazing. To say it was love is really underrated. So we're alone, guess I faded. Treated you wrong and I hate it. Behavior so bad I guess that I was jaded. So sorry my lady. (you won't come back). I can't take another damn day. Sorry that I'm out of your way. Hope your happy now. No matter what, I'll never erase. Your face. We were meant to be and you should know. I regret the day I let you go, for real. It's no where that I should be than beside you. Love is hard to find, but worth to keep. Guess that I was falling into deep, to see. I took you for granted. And so I ask you to forgive me. Forgive me, forgive me. I, I. Forgive me, forgive me. Na-na-na-na. And so I ask you to forgive me. Forgive me, forgive me. I, I. Forgive me, forgive me. Na-na-na-na. You spend all your time with him lately. Don't mean to be all up in your business baby. Already gone but I'm raising. (you won't com back around). Feels like I'm caught in the matrix. Sweating all night driving my pillow crazy. How can I face it. (you won't come back). I can't take another damn day. Sorry that I'm out of your way. Hope your happy now. No matter what, I'll never erase. Your face. We were meant to be and you should know. I regret the day I let you go, for real. It's no where that I should be than beside you. Love is hard to find, but worth to keep. Guess that I was falling into deep, to see. I took you for granted. And so I ask you to forgive me. Forgive me, forgive me. I, I. Forgive me, forgive me. Na-na-na-na. And so I ask you to forgive me. Forgive me, forgive me. I, I. Forgive me, forgive me. Na-na-na-na. Can't believe I let you walk away. Now there is only shade for me. Only shade for me. Lost your love and this what I became. And I put the blame on me. All the blame on me. And so I ask you to forgive me. Forgive me, forgive me. I, I. Forgive me, forgive me. Na-na-na-na. And so I ask you to forgive me. Forgive me, forgive me. I, I. Forgive me, forgive me. Na-na-na-na. And so I ask you to forgive me. Forgive me, forgive me. I, I. Forgive me, forgive me. Na-na-na-na. And so I ask you to forgive me. Forgive me, forgive me. I, I. Forgive me, forgive me. Na-na-na-na. Forgive me"
sky falls down (feat. j-son),"(Eric Saade). Something amazing, contagious can feel what I feel. I got the clouds on the ground and,. I don't know if this is for real. (J-Son). We do what we gotta do. Got a first class seat ticket to the moon. And the star's not far away-ay. Never cared about what they say. We do what we gotta do. Got a first class seat ticket to the moon. And the star's not far away-ay. Never cared about what they say. (Eric Saade). We're watching the stars. But not from a far. It feels like the sky falls down. My heaven's around. Right here on the ground. It feels like the sky falls down. Don't need to bring it back up-up-up-up-up. Don't need to bring it back up-up-up-up-up. Don't need to bring it back up-up-up-up-up. Don't need to bring it back up-up-up-up-up. I'm not flying away gravity brings me back to the ground. I do what I want and I got what I need to stay down. (J-Son). We do what we gotta do. Got a first class seat ticket to the moon. And the star's not far away-ay. Never cared about what they say. We do what we gotta do. Got a first class seat ticket to the moon. And the star's not far away-ay. Never cared about what they say. (Eric Saade). We're watching the stars. But not from a far. It feels like the sky falls down. My heaven's around. Right here on the ground. It feels like the sky falls down. Don't need to bring it back up-up-up-up-up. Don't need to bring it back up-up-up-up-up. Don't need to bring it back up-up-up-up-up. Don't need to bring it back up-up-up-up-up. (J-Son). Happily, fly away, no gravity. Full free soul's what I'd rather be. Is so ****. So take turn we never learn. In charge for capacity. And we magnifying the stars. They around so we never travel far. Like a ***. Let the sky fall down. Up in here like you I'm outta my mind. (Eric Saade). We're watching the stars. It feels like the sky falls down. My heaven's around. It feels like the sky falls down. We're watching the stars. But not from a far. It feels like the sky falls down. My heaven's around. Right here on the ground. It feels like the sky falls down. Don't need to bring it back up-up-up-up-up. Don't need to bring it back up-up-up-up-up. Don't need to bring it back up-up-up-up-up. Don't need to bring it back up-up-up-up-up"
backseat,"You're the pilot, girl. I'm cruising, cruising. With the best out of my closet. It's all about the girls. Got my shades, something italian-talian. Destination is the venue. It's all about the girls. All the ladies all look fresh for tonight. The fellas hatin' but the can not deny. So I'm putting on my image, image. Haters can not come between. 'Cause it's all about the girls. I'm riding in your backseat. If you let me. You can be my taxi. Come and get me. I'm riding in your backseat. If you let me. You can be my taxi. Come and get me. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. Call it, ladies. Feel I kick back, kick back. 'Cause I'll never lose my swagger. It's all about the girls. Throwing parties as our hobby, hobby. All the fellas getting ditched. It's all about the girls. Pretty ladies I just can not deny. You're VIP don't need to stand in the line. Tonight I'm putting on my image, image. I am ready to deliver. 'Cause it's all about the girls. I'm riding in your backseat. If you let me. You can be my taxi. Come and get me. I'm riding in your backseat. If you let me. You can be my taxi. Come and get me. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. Calling all the girls. All around the world. All around the world. Calling all the girls. All around the world. All around the world. I said I'm calling all the girls. All around the world. All around the world. Calling all the girls. All around the world. All around the world. I'm riding in your backseat. If you let me. You can be my taxi. Come and get me. I'm riding in your backseat. If you let me. You can be my taxi. Come and get me. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. I'm riding in your back-back-seat-seat. (Calling all the girls...). I'm riding in your back-back-seat-seat. (Calling all the girls...). I'm riding in your back-back-seat-seat"
beautiful,"You know we are, we are, we are, we are, we are alright. I can't believe it my shitty monday kinda feels alright. The way I'm feeling, I'm overheated but the breeze is nice. Getting high from the vibe. Above the cloud nobody's around no. Ain't gonna lie I'm scared of heights but I won't come down. You're the reason. The coldest winter feels like summer nights. You know we are, we are beautiful, how beautiful is life. You know we are, we are beautiful, baby. how beautiful is life. You know we are, we are, we are, we are, we are. You know we are, we are beautiful. Baby how beautiful is life. It's like we're rose gold cuz' baby with no effort we still shine. And I see no road, so take the wheel. and now enjoy the ride. Getting high above the vibe. Above the club Baby don't slow down, no. We gotta try so I roll the dice. so we won't come down, you're the reason. The coldest winter feels like summer nights. You know we are. You know we are, we are beautiful, how beautiful is life. You know we are, we are beautiful, baby, how beautiful is life. You know we are, we are, we are, we are, we are. You know we are, we are beautiful, Baby how beautiful is life. You know we are. You know we are, we are beautiful, how beautiful is life. You know we are, we are beautiful, baby, how beautiful is life. You know we are, we are, we are, we are, we are. You know we are, we are beautiful. You know we are. You know we are, we are beautiful, how beautiful is life. Gettin' high from the vibe. Nobody's around. Ain't gonna lie. I won't come down. High from the vibe. Baby don't slow down. We gotta try. You know we are. You know we are, we are beautiful, how beautiful is life. You know we are, we are beautiful, baby, how beautiful is life. You know we are. You know we are, we are beautiful, how beautiful is life. You know we are, we are beautiful, baby, how beautiful is life. You know we are, we are, we are, we are, we are. You know we are, we are beautiful how beautiful is life. You know we are, we are, we are, we are, we are. (beautiful). You know we are, we are, we are, we are, we are. (beautiful). You know we are, we are, we are, we are, we are. (beautiful). You know we are, we are, we are, we are, we are. (beautiful). You know we are, we are, we are, we are, we are. (beautiful)"
big love,"I'm addicted to the rush you give me. Come, get close, hear my heart's confession. Beat keeps pumping and my feet keep dancing. Come get close, you're the one obsession. Four, on the floor, I want more. And nothing's gonna stop the way I feel. On the floor, I want more, more, more. 4, 3, 2, 1.... There is a big big love in the air. There is a big big love everywhere. It's the way that you make me feel. Got me down for real. Got me down for real. There is a big big love in the air. There is a big big love everywhere. It's the way that you make me feel. Got me down for real. Got me down for real. Big love!. We'll keep moving 'til the break of dawn. Skinny jeans cut like an indiscretion. Short term love girl, it's not my thing. I'm for good, I'll be your possession. Four, on the floor, I want more. And nothing's can stop the way I feel. On the floor, I want more, more, more. 4, 3, 2, 1.... There is a big big love in the air. There is a big big love everywhere. It's the way that you make me feel. Got me down for real. Got me down for real. There is a big big love in the air. There is a big big love everywhere. It's the way that you make me feel. Got me down for real. Got me down for real. (You got me down for real) big love. I wanna see you dance now. Baby, just move it, move it, yeah!. I've got this big big love (big big love now). Baby you know got me down.... There is a big big love in the air. There is a big big love everywhere. It's the way that you make me feel. Got me down for real. Got me down for real. There is a big big love in the air. There is a big big love everywhere. It's the way that you make me feel. Got me down for real. Got me down for real (yeah!). There is a big big love in the air. There is a big big love everywhere. It's the way that you make me feel. Got me down for real. Got me down for real. Big love!"
boomerang,"Eh-eh, eh-eh. Eh-eh, eh-eh. I think I need rehab from you. 'Cause you are addictive. Slowly you're breaking me down. So I'm done with the tripping. You're bad for my heart. Wearing it out. But I can never predict it. You don't care what I say. You keep poisoning me. She's the baddest I know. The hottest in town. Didn't know when I seduced her. I be feeling for more. 'Cause baby I drowned. I guess I'm right back to the future, future ooh. I battle your love everyday. You're like a drug with a smile on your face. When I wake up, you're going no trace. Now I'm messed up, like a hangover, babe. Eh-eh, eh-eh. Said that I never come back again. Eh-eh, eh-eh. But I'm right back like a boomerang. Biting your lips, just right. In your Victoria's Secrets. Girl you're a first class flight. But it's a curse that you gifted. The more I resist the taste of your kiss. The more I'm in love with your kisses. It feels like you're in my veins. It's torturing me. She's the baddest I know. The hottest in town. Didn't know when I seduced her. I be feeling for more. 'Cause baby I drowned. I guess I'm right back to the future, future, ooh. I battle your love everyday. You're like a drug with a smile on your face. When I wake up, you're going no trace. Now I'm messed up, like a hangover, babe. Eh-eh, eh-eh. Said that I never come back again. Eh-eh, eh-eh. But I'm right back like a boomerang. Yeah I know you're not the one to blame. And I don't ever want you to change. I said that I never come back again. Yeah. But I'm right back like a boomerang. OOh. I battle your love everyday. You're like a drug with a smile on your face. When I wake up, you're going no trace. Now I'm messed up, like a hangover, babe. I battle your love everyday. You're like a drug with a smile on your face. When I wake up, you're going no trace. Now I'm messed up, like a hangover, babe. Eh-eh, eh-eh. Said that I never come back again. Eh-eh, eh-eh. But now I'm right back like a boomerang. Eh-eh, eh-eh. Why would I ever come back again?. Eh-eh, eh-eh. But I'm right back like a boomerang"
