"like a g6 (feat. the cataracs, dev)","Poppin bottles in the ice, like a blizzard. When we drink we do it right gettin slizzard. Sippin sizzurp in my ride, like Three 6. Now I'm feelin so fly like a G6. Like a G6, Like a G6. Now I'm feelin so fly like a G6. Gimme that Mo-Moet. Gimme that Cry-Crystal. Ladies love my style, at my table gettin wild. Get them bottles poppin. We get that drip and that drop. Now give me 2 more bottles. Cuz you know it don't stop. Hell Yeaa. Drink it up, drink-drink it up,. When sober girls around me,. They be actin like they drunk. They be actin like they drunk,. Actin-actin like they drunk. When sober girls around me. Actin-actin like they drunk. Poppin bottles in the ice, like a blizzard. When we drink we do it right gettin slizzard. Sippin sizzurp in my ride, like Three 6. Now I'm feelin so fly like a G6. Like a G6, Like a G6. Now I'm feelin so fly like a G6. Sippin on, sippin on sizz, Ima ma-make it fizz. Girl I keep it gangsta, poppin bottles at the crib. This is how we live, every single night. Take that bottle to the head, and let me see you fly. Hell Yeaa. Drink it up, drink-drink it up,. When sober girls around me. They be actin like they drunk. They be actin like they drunk. Actin-actin like they drunk. When sober girls around me. Actin-actin like they drunk. Poppin bottles in the ice, like a blizzard. When we drink we do it right gettin slizzard. Sippin sizzurp in my ride, like Three 6. Now I'm feelin so fly like a G6. Like a G6, Like a G6. Now I'm feelin so fly like a G6. It's that 808 bump, make you put yo hands up. Make you put yo hands up, put yo, put yo hands up. (You can't Touch this). It's that 808 bump, make you put yo hands up. Make you put yo hands up, put yo, put yo hands up. (You can't Touch this). Hell Yeaaa, Make you put yo hands up,. Put yo put yo hands up. Hell Yeaaa, Make you put yo hands up,. Put yo put yo hands up. Poppin bottles in the ice, like a blizzard. When we drink we do it right gettin slizzard. Sippin sizzurp in my ride, like Three 6. Now I'm feelin so fly like a G6. Like a G6, Like a G6. Now I'm feelin so fly like a G6"
live my life (party rock remix) (feat. justin bieber & redfoo),"Party Rock. Redfoo. Remix. I'm gonna live my life. No matter what, we party tonight. I'm gonna live my life. I know that we gon' be alright. Yo, hell yeah, dirty bass. Ghetto girl, you drive me cray. Hell yeah, dirty bass. Yo, yo. This beat make me go wow. This drink make me fall down. I party hard like carnival. Let's burn this motha down. This bass make me go ape (go ape). This girl circus so late. You're that Tally cake with a Cali shake. I got dough, who's down to fake?. Oh my, dirty bass. Oh you got it like that. I can work that bad. Let me get that. (Get your ass on the floor). Oh my, dirty bass. Oh you got that small. I can break that off. Let me get that. (Get your ass on the floor). I'm gonna live my life. No matter what, we party tonight. I'm gonna live my life. I know that we gon' be alright. Alright, alright, alright, alright. Alright, alright, alright, alright. Let's go. Alright, alright, alright, alright. Alright, alright, alright, alright. Alright, alright, alright, alright. Alright, alright, alright, alright. Alright, alright, alright, alright. Alright, alright, alright, alright. Yo, hell yeah, dirty bass. Ghetto girl, you drive me cray. Hell yeah, dirty bass. No matter where we be at Vip, or in the ceiling. All we need to start it is. The speakers in my chit-chat. I spot a couple hotties. Holla, we're the party, we that.... Girl move it like pilates. Put your head where you knee at. Oh my, dirty bass. Oh you got it like that. I can work that bad. Let me get that. (Get your ass on the floor). Oh my, dirty bass. Oh you got that small. I can break that off. Let me get that. (Get your ass on the floor). I'm gonna live my life. No matter what, we party tonight. I'm gonna live my life. I know that we gon' be alright. Alright, alright, alright, alright. Alright, alright, alright, alright. Alright, alright, alright, alright. Alright, alright, alright, alright. Alright, alright, alright, alright. Alright, alright, alright, alright. Yo, I never met a girl with a big booty. That I didn't like.. That I didn't like, hey!. I wanna get you alone. Because the feeling's right.. Tonight's the night!. This is how we do it.. Y'all get your hands up. Sippin on that fluid. Y'all get your hands up. Move to Far East Movement.. It's JB, baby, Party Rock's the crew and. This is how we do it.. Y'all get your hands up. Sippin on that fluid. Y'all get your hands up. Move to Far East Movement.. It's JB, baby, Party Rock's the crew and. I'm gonna live my life. No matter what, we party tonight. I'm gonna live my life. I know that we gon' be alright, alright, alright..."
live my life (feat. justin bieber),"I'm gonna live my life. No matter what, we party tonight. I'm gonna live my life. I know that we gon' be alright. Yo, hell yeah, dirty bass. Ghetto girl, you drive me cray. Hell yeah, dirty bass. Yo, yo. This beat make me go wow. This drink make me fall down. I party hard like carnival. Let's burn this motha down. This bass make me go ape (go ape). This girl circus so late. You're that Tally cake with a Cali shake. I got dough, who's down to fake?. Oh my, dirty bass. Oh you got it like that. I can work that bad. Let me get that. (Get your ass on the floor). Oh my, dirty bass. Oh you got that small. I can break that off. Let me get that. (Get your ass on the floor). I'm gonna live my life. No matter what, we party tonight. I'm gonna live my life. I know that we gon' be alright. I'm gonna live my life. No matter what, we party tonight. I'm gonna live my life. I know that we gon' be alright. I know that we gon' be alright. I know that we gon' be alright. Yo, hell yeah, dirty bass. Ghetto girl, you drive me cray. Hell yeah, dirty bass. No matter where we be at VIP, or in the ceiling. All we need to start it is. The speakers in my chit-chat. I spot a couple hotties. Holla, we're the party, we that.... Girl move it like pilates. Put your head where you knee at. Oh my, dirty bass. Oh you got it like that. I can work that bad. Let me get that. (Get your ass on the floor). Oh my, dirty bass. Oh you got that small. I can break that off. Let me get that. (Get your ass on the floor). I'm gonna live my life. No matter what, we party tonight. I'm gonna live my life. I know that we gon' be alright. I'm gonna live my life. No matter what, we party tonight. I'm gonna live my life. I know that we gon' be alright. This is my moment tonight. Hell yeah we doing it right. So get your hands up in the air. Like you living your life. This is my moment tonight. Hell yeah we doing it right. So get your hands up in the air. Like you living your life. Like you living your life. Like you living your life. Like you living your life. I'm gonna live my life. No matter what, we party tonight. I'm gonna live my life. I know that we gon' be alright. I know that we gon' be alright. I know that we gon' be alright"
rocketeer (feat bruno mars),"Here we go, come with me. There's a world out there that we should see. Take my hand, close your eyes. With you right here, I'm a rocketeer. [Chorus: Bruno Mars]. Let's fly, fly, fly, fly. Up, up, here we go, go. Up, up, here we go, go. Let's fly, fly, fly, fly. Up, up, here we go, go. Where we stop nobody knows [knows]. Where we go we don't need roads [roads]. Where we stop nobody knows [knows]. To the stars if you really want it. Got, got a jetpack with your name on it. Above the clouds in the atmosphere [phere]. Just say the words and we outta here [outta here]. Hold my hand if you feelin' scared [scared]. We flyin' up, up outta here. [Chorus: Bruno Mars]. Here we go, come with me. There's a world out there that we should see. Take my hand, close your eyes. With you right here, I'm a rocketeer. Let's fly, fly, fly, fly. Up, up here we go, go. Up, up here we go, go. Let's fly, fly, fly, fly. Up, up here we go, go [Here we go]. Where we stop nobody knows [knows]. Baby we can stay fly like a G6. Shop the streets of Tokyo get your fly kick. Girl you always on my mind. Got my head up in the sky. And I'm never looking down feelin' priceless yeah. Where we at, only few have known. Go on the next level, Super Mario. I hope this works out, Cardio. Til' then let's fly, Geronimo. [Chorus: Bruno Mars]. Here we go, come with me. There's a world out there that we should see. Take my hand, close your eyes. With you right here, I'm a rocketeer. Let's fly, [Yo]. Nah I never been in space before. But I never seen a face like yours. You make me feel like I could touch the planets. You want the moon, girl watch me grab it. See I never seen the stars this close. You got me stuck off the way you glow. I'm like, oh, oh, oh, oh. I'm like, oh, oh, oh, oh. [Chorus: Bruno Mars]. Here we go, Come with me. There's a world out there that we should see. Take my hand, close your eyes. With you right here, I'm a rocketeer. Let's fly, fly, fly, fly. Up, up here we go, go. Up, up here we go, go. Let's fly, fly, fly, fly. Up, up here we go, go. Up, up here we go, go. Where we stop nobody knows, knows, knows"
rocketeer (feat. ryan tedder),"Here we go, come with me. There's a world out there that we should see. Take my hand, close your eyes. With you right here, I'm a rocketeer. Let's fly. Up, up here we go. Up, up here we go. Let's fly. Up, up here we go, go. Where we stop nobody knows, knows. Where we go we don't need roads, roads. Where we stop nobody knows, knows. To the stars if you really want it. Got, got a jetpack with your name on it. Above the clouds in the atmosphere, phere. Just say the words and we outta here, outta here. Hold my hand if you feeling scared, scared. We flying up, up outta here. Here we go, come with me. There's a world out there that we should see. Take my hand, close your eyes. With you right here, I'm a rocketeer,. Let's fly. Up, up here we go, go. Let's fly. Up, up here we go, go, here we go. Where we stop nobody knows, knows. Baby, we can stay fly like a G6. Shop the streets of Tokyo, get you fly kicks. Girl you always on my mind, got my head up in the sky. And I'm never looking down feeling priceless, yeah. Where we at, only few have known. Go on the next level, Super Mario. I hope this works out, Cardio. Til' then let's fly, Geronimo. Here we go, come with me. There's a world out there that we should see. Take my hand, close your eyes. With you right here, I'm a rocketeer. Nah, I never been in space before. But I never seen a face like yours. You make me feel like I could touch the planets. You want the moon, girl watch me grab it. See I never seen the stars this close. You got me stuck off the way you glow. I'm like, oh, oh, oh, oh. I'm like, oh, oh, oh, oh. Here we go, come with me. There's a world out there that we should see. Take my hand, close your eyes. With you right here, I'm a rocketeer. Let's fly. Up, up here we go, go. Let's fly. Up, up here we go, go. Where we stop nobody knows, knows, knows"
turn up the love (feat. cover drive),"We are one tonight. And we're breathing in the same air. So turn up the love. Turn up the love. We turnin' up the love. Turn it up now. Get it poppin', hop the molly. Dirty bass, we so body body. Too legit, we can't quit the party. Super freaks, no Illuminati. So one, two hit the booze. We on YouTube, nothing to lose. So let it loose 'cause the sheep don't sleep. Like pop pop pop pop. Drop low to the L O. V E gotta get more. So clap your hands, clap clap your hands. I got nothing but love to give. Turn it up. Turned up you don't hear me no. Here's some love for your stereo. So clap your hands, clap clap your hands. I got nothing but love to give. We are one tonight. And we're breathing in the same air. So turn up the love. Turn up the love. We turnin' up the love. We are one tonight. And we're breathing in the same air. So turn up the love. Turn up the love. We turnin' up the love. Go ahead now flos your love like a heart of gold. Dirty bass to bake a tussy roll. If you don't low on the floor. I got a crew that will handle that cookie jar. Damn girl, I ain't tryin' to be rude. Spread love like a guestless you plus two. That's what you call a move. Like pop pop pop pop. Drop low to the L O V E gotta get more. So clap your hands, clap clap your hands. I got nothing but love to give. Turn it up. Turned up you don't hear me no. Here's a love for your stereo. So clap your hands, clap clap your hands. Like pop pop pop pop. Turn me on like this your song. Dirty bass got love to give. Turn it up now. Mad monopoly all night long. Dirty bass got love to give. Yo, let me see that grill from here to here. So much love in the atmosphere. The good times roll with me right here. I got nothing but love to give. We are one tonight. And we're breathing in the same air. So turn up the love. Turn up the love. We turnin' up the love. We are one tonight. And we're breathing in the same air. So turn up the love. Turn up the love. We turnin' up the love. Turn it up now. Turn it up now. Dirty bass got. Love to give. Love to give. Like pop pop pop pop"
like a g6 (feat 50 cent),"[Chorus:]. Poppin bottles in the ice, like a blizzard. When we drink we do it right gettin slizzard. Sippin sizzurp in my ride, like Three 6. Now I'm feelin so fly like a G6. Like a G6, Like a G6. Now I'm feelin so fly like a G6. [50 Cent:]. Hey, hey, hey. We ballin, another grand, another grand. When I roll 50 deep I blow a 100 grand. This the way I play ya'll understand?. Champagne bottle after bottle, damn. Glass after glass til you feel a buzz. Baby bring it over, let me fill it up. I ain't did little shit since a little kid. I'm a big boy now so I do it big. Rose, Moet, Dom P, just a taste of Hennessy. Cristal it go down how it supposed to go down. When you fuck with me. I mean my paper straight, I blow the cake. We bounce to the 808. I mean I'm super rich, super rich. Never mind why we do this shit. [Chorus:]. Poppin bottles in the ice, like a blizzard. When we drink we do it right gettin slizzard. Sippin sizzurp in my ride, like Three 6. Now I'm feelin so fly like a G6. Like a G6, Like a G6. Now I'm feelin so fly like a G6. [50 Cent:]. She ain't drunk, she acting like she drunk. So I can do what I want. I'm touching her where I want. From behind and up front. She's a freak I'm a freak. Funny how we just meet. Right here out on the floor. Give me more, give me more. [808:]. Hell Yeaa. Drink it up, drink-drink it up. When sober girls around me, they be actin like they drunk. They be actin like they drunk, actin-actin like they drunk. When sober girls around me actin-actin like they drunk. [Chorus:]. Poppin bottles in the ice, like a blizzard. When we drink we do it right gettin slizzard. Sippin sizzurp in my ride, like Three 6. Now I'm feelin so fly like a G6. Like a G6, Like a G6. Now I'm feelin so fly like a G6. [Bridge:]. It's that 808 bump, make you put yo hands up. Make you put yo hands up, put yo, put yo hands up. (You can't Touch this). It's that 808 bump, make you put yo hands up. Make you put yo hands up, put yo, put yo hands up. (You can't Touch this). Hell Yeaaa, Make you put yo hands up, put yo put yo hands up. Hell Yeaaa, Make you put yo hands up, put yo put yo hands up. [Chorus:]. Poppin bottles in the ice, like a blizzard. When we drink we do it right gettin slizzard. Sippin sizzurp in my ride, like Three 6. Now I'm feelin so fly like a G6. Like a G6, Like a G6. Now I'm feelin so fly like a G6"
2gether,"We can get together. Now I don't usually do this. But I ain't myself tonight. I wanna drink a lil more, more. Forget it all, all. And dance till I'm dead, dead,. (right here, right now). dead on the floor (floor). This is club is going crazy. You've got me goin' crazy. This dj's goin' crazy. And now I'm elevated. We havin' fun in here. So hands up in the air. We havin' fun in here. So get your hands up in the air (air, air, air...). We can get together. (Go get your hands up in the air). We can get together. (Right here, right now). I been loving my whole life. But something feels different tonight. I been jumpin' my whole life. But you got me jumpin' tonight (tonight). Yo. This is club is goin' crazy. You've got me goin' crazy. This dj's goin crazy. And now I'm elevated. We havin' fun in here. So hands up in the air. We havin fun in here. So get your hands up in the air (right now). We can get together. (Go get your hands up in the air). We can get together. (Right here, right now). Tonight I don't care. We waited all year. Everyone shine. Get yo hands in the air. [2x]. Tonight I don't care. Get yo-g-g-g-get yo hands in the air. We can get together. (Right here, right now). We can get together. (Right here, right now). Tonight tonight tonight tonight tonight tonight....... We can get together. (Right here, right now)"
don't look now (feat. keri hilson),"Don't look now. I saw you dancing on that speaker box, girl what's your name?. I see you texting on that bbm, can we exchange?. I got two glasses at my table, can I show you the way?. Tonight's the night to let it go, go, girl it's okay. Yeah, I'm not looking for no strings, you're not looking for a ring. If you're ready for this fling, then meet me in the back. I never knew it'd be like this, such an unexpected twist. Started off with just a kiss, I don't know how to act. (Keri Hilson). Dear heart, I know I promised you I'd take it slow. Dear love, I know I swore on everything I own. But I can't resist, oh it's just one kiss. But don't look now. You've got me going, I'm going, I'm gone. Don't look now. You've got me going, I'm going, I'm gone. Don't look now. But I can't resist, oh it's just one kiss. Don't look now. My heart is pumping like that bass before I pick you up. The way we stole each others hearts we playing Stick em up. I take a shot of ciroc to get me in the zone now. She took a step out the door, from head to toe she's all ""wow"". I'm not looking for no strings, you're not looking for a ring. If you're ready for this fling, then meet me in the back. I never knew it'd be like this, such an unexpected twist. started off with just a kiss, I don't know how to act. (Keri Hilson). Dear heart, I know I promised you I'd take it slow. Dear love, I know I swore on everything I own. But I can't resist, oh it's just one kiss. But don't look now. You've got me going, I'm going, I'm gone. Don't look now. You've got me going, I'm going, I'm gone. Don't look now. But I can't resist, oh it's just one kiss. Don't look now. Somethin' 'bout this girl. she shakin' up my world. she got me doin' things I never did before. Damn, there's somethin' 'bout this girl. she shakin' up my world. she got me out my zone, I'm losin' all control. (x2). (Keri Hilson). Dear heart, I know I promised you I'd take it slow. Dear love, I know I swore on everything I own. But I can't resist, oh it's just one kiss. But don't look now. You've got me going, I'm going, I'm gone. Don't look now. You've got me going, I'm going, I'm gone. Don't look now. You've got me going, I'm going, I'm gone. Don't look now. You've got me going, I'm going, I'm gone. Don't look now"
"don't speak (feat. tiffany hwang, king chain)","You're playing shy. Don't think that I don't wanna be. Treading 'round you carefully, I don't play games. I don't play, don't care to know your name. I just want you for tonight, I wanna dance. All night in L. A, I'll make your advance. We run like it's payday. There's crazy tension in the air. Think we should start a love affair. Breathe, don't speak. Why don't you come and dance with me?. Get weak, the beat'll leave you lost, just screamin'. Oh-oh oh-oh, someone help me, oh-oh oh-oh. The people help me scream it, breathe, don't speak. Why don't you come and dance with me?. Get weak, the beat'll leave you lost, just screamin'. Oh-oh oh-oh, someone help me, oh-oh oh-oh. Someone help me. Don't you people leave with me. Don't you people leave with me. Don't you people leave with me. Don't you people leave with me. People leave us screamin'. Don't you people leave with me. Don't you people leave with me. Don't you people leave with me. Don't you people leave with me. People leave us screamin'. I'm alive, this love is bound to last past five. We won't get out until the night, I wanna play. Tonight ain't over yet, don't know your name. Ain't nothing to regret, I wanna dance. All night in L. A, I'll make your advance. We run like it's payday. There's crazy tension in the air. Think we should start a love affair. Breathe, don't speak. Why don't you come and dance with me?. Get weak, the beat'll leave you lost, just screamin'. Oh-oh oh-oh, someone help me, oh-oh oh-oh. The people help me scream it, breathe, don't speak. Why don't you come and dance with me?. Get weak, the beat'll leave you lost, just screamin'. Oh-oh oh-oh, someone help me, oh-oh oh-oh. Someone help me. Don't you people leave with me. Don't you people leave with me. Don't you people leave with me. Don't you people leave with me. People leave it screamin'. Don't you people leave with me. Don't you people leave with me. Don't you people leave with me. Don't you people leave with me. People leave us screamin'. Don't you people leave with me. Don't you people leave with me. Don't you people leave with me. Don't you people leave with me"
