worth it (feat. kid ink),"Give it to me, I'm worth it. Baby, I'm worth it. Uh huh I'm worth it. Gimme, gimme, I'm worth it. Give it to me, I'm worth it. Baby I'm worth it. Uh huh I'm worth it. Gimme gimme I'm worth it. I tell her bring it back like. She left somethin?. Bring it bring it back like she left somethin?. In the club with the lights off. What you actin' shy for?. Come and show me that you're. wit it wit it wit it wit it. Stop playing now you know I'm. wit it wit it wit it wit it wit it. What you actin' shy for?. Just gimme you, just gimme you. Just gimme you, that's all I wanna do. And if what they say is true. If it's true, I won't get mad at you. I may talk a lot of stuff. Guaranteed, I can back it up. I think I'mma call your bluff. Hurry up, I'm walkin' out front. Uh huh see me in the spot like. 'Ooh I love your style. Uh huh show me what you got. Cuz I don't wanna waste my time. Uh huh see me in the spot like. 'Ooh I love your style?. Uh huh show me what you got. Now come and make it worth my while. Give it to me, I'm worth it. Baby I'm worth it. Uh huh I'm worth it. Gimme gimme I'm worth it. Give it to me, I'm worth it. Baby I'm worth it. Uh huh I'm worth it. Gimme gimme I'm worth it. It's all on you, it's all on you. It's all on you, so what you wanna do?. And if you don't have a clue. Not a clue, I'll tell you what to do. Come harder just because. I don't like it, like it too soft. I like it a little rough. Not too much, but maybe just enough. Uh huh see me in the spot like. 'Ooh I love your style. Uh huh show me what you got. Cuz I don't wanna waste my time. Uh huh see me in the spot like. 'Ooh I love your style. Uh huh show me what you got. Now come and make it worth my while. Give it to me, I'm worth it. Baby I'm worth it. Uh huh I'm worth it. Gimme gimme I'm worth it. Give it to me, I'm worth it (know what I mean?). Baby I'm worth it (give me everything). Uh huh I'm worth it. Gimme gimme I'm worth it. Okay. I I tell her bring it back like. She left somethin?. Bring it bring it back like she left somethin?. In the club with the lights off. What you actin' shy for?. Come and show me that you're. wit it wit it wit it wit it. Stop playing now you know I'm. wit it wit it wit it wit it wit it. What you actin? shy for?. Uh huh see me in the spot like. 'Ooh I love your style. Uh huh show me what you got. Cuz I don't wanna waste my time. Uh huh see me in the spot like. 'Ooh I love your style?. Uh huh show me what you got. Now come and make it worth my while. Give it to me, I'm worth it. Baby I'm worth it. Uh huh I'm worth it. Gimme gimme I'm worth it. Give it to me, I'm worth it (know what I mean?). Baby I'm worth it (give me everything). Uh huh I'm worth it. Gimme gimme I'm worth it. Give it to me, I'm worth it"
work from home (feat. ty dolla $ign),"I ain't worried 'bout nothin'. I ain't wearing na-nada. I'm sittin' pretty, impatient, but I know you gotta. Put in them hours, I'mma make it hotter. I'm sending pic after picture, I'mma get you fired. I know you're always on the night shift. But I can't stand these nights alone. And I don't need no explanation. Cause baby, you're the boss at home. You don't gotta go to work, work, work, work. Work, work, work, work. But you gotta put in work, work, work, work. Work, work, work, work. You don't gotta go to work, work, work, work. Work, work, work, work. Let my body do the work, work, work, work. Work, work, work, work, work. We can work from home, oh, oh, oh-oh. We can work from home, oh, oh, oh-oh. Let's put it into motion. I'mma give you a promotion. I'll make it feel like a vacay, turn the bed into an ocean. We don't need nobody, I just need your body. Nothin' but sheets in between us, ain't no getting off early. I know you're always on the night shift. But I can't stand these nights alone. And I don't need no explanation. Cause baby, you're the boss at home. You don't gotta go to work, work, work, work. Work, work, work, work. But you gotta put in work, work, work, work. Work, work, work, work. You don't gotta go to work, work, work, work. Work, work, work, work. Let my body do the work, work, work, work. Work, work, work, work, work. We can work from home, oh, oh, oh-oh. We can work from home, oh, oh, oh-oh. Girl gotta work for me. Can you make it clap, no hands for me?. Take it to the ground, pick it up for me. Look back at it all over me. Put in work like my timesheet. She ride it like a '63. I'mma buy her no Celine. Let her ride in a foreign with me. Oh, she the bae, I'm her boo. And she down to break the rules. La-di-da she gon' go. I won't judge, she finesse. I pipe her, she take that. Putting overtime on your body. You don't gotta go to work, work, work, work. Work, work, work, work. But you gotta put in work, work, work, work. Work, work, work, work. You don't gotta go to work, work, work, work. Work, work, work, work. Let my body do the work, work, work, work. Work, work, work, work, work. We can work from home, oh, oh, oh-oh. We can work from home, oh, oh, oh-oh"
that's my girl,"That's my girl. Who's been working so damn hard. You got that head on overload?. Got yourself this flawless body. Aching now from head to toe. Ain't nothing, ain't nothing. All my ladies 'round the world. Ain't nothing, ain't nothing. Good girls better get bad. You've been down before. You've been hurt before. You got up before. You'll be good to go, good to go. Destiny said it, you got to get up and get it. Get mad independent. And don't you ever forget it. Got some dirt on your shoulder. Then let me brush it off for ya. If you're feeling me, put your five high. That's my girl. That's my girl. That's my girl. That's my girl. (Get up, what you waiting for?). That's my girl. That's my girl. That's my girl. Nod if you been played by every boo. Just trying to show you off. Thought he was the best. You ever had until he cut you off. Ain't nothing, ain't nothing. Bet, you bet, you know your worth. Ain't nothing, ain't nothing. Good girls better get bad. You've been down before. You've been hurt before. You got up before. You'll be good to go, good to go. Destiny said it, you got to get up and get it. Get mad independent. And don't you ever forget it. Got some dirt on your shoulder. Then let me brush it off for ya. If you're feeling me, put your five high. That's my girl. That's my girl. That's my girl. That's my girl. (What you wait, what you wait, what you wait. What you waiting for?). That's my girl. That's my girl. That's my girl. You've been down before. You've been hurt before. You got up before. You'll be good to go, good to go. Destiny said it, you got to get up and get it. Get mad independent. And don't you ever forget it. Got some dirt on your shoulder. Then let me brush it off for ya. If you're feeling me, put your five high. That's my girl. That's my girl. That's my girl. That's my girl. (What you wait, what you wait. What you waiting for?). That's my girl. That's my girl. That's my girl. (That's my girl, that's my girl. That's my girl, that's my girl). Ain't nothing, ain't nothing, ain't nothing. Put your heart and your soul in it. Ain't nothing, ain't nothing, ain't nothing. Now put your heart and your soul in it. That's my girl. That's my girl. That's my girl. That's my girl. That's my girl. That's my girl. That's my girl"
don't say you love me,"Don't say you miss me. When you don't call. Don't say you're hurting. Without the scars. Don't promise me tonight. Without tomorrow too. Don't say you love me unless you do. We've been close, but inconsistent. You hold my heart at a safer distance, yeah. You think words can ease the tension. But you can't deny that something's missing. I need a little bit more. I need a little bit more. You gotta know what it's like. I know you been here before. I've been waiting, I've been patient. But I need a little more. So don't say you miss me. When you don't call. Don't say you're hurting. Without the scars. Don't promise me tonight. Without tomorrow too. Don't say you love me unless you do. Unless you do. How am I supposed to take it. When weeks go by and I'm still waiting?. I say I'm okay but I can't fake it, yeah. Even when I try, yeah, something's missing. I need a little bit more. I need a little bit more. (I need a little bit more). You gotta know what it's like. I know you been here before. I've been waiting, I've been patient. But I need a little more. So don't say you miss me. When you don't call (when you don't call). Don't say you're hurting. Without the scars. Don't promise me tonight. Without tomorrow too. Don't say you love me unless you do. unless you do. Don't say you love me (don't say you love me). Unless you do (unless you do). Don't say you love me. Don't say you love me. Don't promise me tonight. Without tomorrow too. Don't say you love me. Unless you do. Unless you do. I need a little bit more. I need a little bit more. You gotta know what it's like. I know you've been here before. I've been waiting, I've been patient. But I need a little bit more. So don't say you miss me. When you don't call. Don't say you're hurting. Without the scars. Don't promise me tonight. Without tomorrow too. Don't say you love me unless you do"
who are you,"Monday, you sent me flowers. Tuesday, made me feel stupid. Wednesday, the world was ours. Thursday, you didn't prove it. Friday, fell back in love. Saturday, we didn't talk. Sunday, you said you needed space. Do you miss me?. Am I crazy?. Am I losing hold of your love baby?. Either you want me or you don't. I need to know. I need to know. Who are you today?. Will you be the sun or the pouring rain?. Who are you tomorrow?. Will you make me smile or just bring me sorrow?. Who are you gonna be when I'm lost and I'm scared?. Who are you gonna be when there's nobody there?. Who are you today?. 'Cause I am still the same. Monday, you had my heart. Tuesday, you had me screaming. Wednesday, we didn't part. Thursday, you didn't mean it. Friday, I shook it off. Saturday, you got it wrong. Sunday, I said I needed space. Do you miss me?. Am I crazy?. Am I losing hold of your love baby?. Either you want me or you don't. I need to know. I need to know. Who are you today?. Will you be the sun or the pouring rain?. Who are you tomorrow?. Will you make me smile or just bring me sorrow?. Who are you gonna be when I'm lost and I'm scared?. Who are you gonna be when there's nobody there?. Who are you today. 'Cause I am still the same. It's so strange how the same face. Can make you feel so right then bring you so much pain. It's so strange how the same face. Can make you love until it hurts. Where do we go?. I need to know. Who are you today?. Will you be the sun or the pouring rain?. Who are you tomorrow?. Will you make me smile or just bring me sorrow?. Who are you gonna be when I'm lost and I'm scared?. Who are you gonna be when there's nobody there?. Who are you today. 'Cause I am still the same"
miss movin' on,"I'm breaking down, gonna start from scratch. Shake it off like an Etch A Sketch. My lips are saying goodbye. My eyes are finally dry. I'm not the way that I used to be. I took the record off repeat. You killed me but I survived. And now I'm coming alive. I'll never be that girl again. No oh oh. I'll never be that girl again. No oh oh. My innocence is wearing thin. But my heart is growing strong. So call me, call me, call me. Miss Movin' On. Oh oh oh oh oh oh. Miss Movin' On. Oh oh oh. I broke the glass that surrounded me. I ain't the way you remember me. I was such a good girl. So fragile but no more. I jumped the fence to the other side (the other side). My whole world was electrified (electrifide). Now I'm no longer afraid. It's Independence Day. (It'sindependence Day). I'll never be that girl again. No oh oh. I'll never be that girl again. No oh oh. My innocence is wearing thin. But my heart is growing strong. So call me, call me, call me. Miss Movin' On. Everything is changing. And I never wanna go back to the way it was. I'm finding who I am. And who I am from here on out is gonna be enough. It's gonna be enough. It's gonna be enough. I'll never be that girl again. No oh oh. I'll never be that girl again. Oh oh oh. My innocence is wearing thin. But my heart is growing strong. So call me, call me, call me. Miss Movin' On. Oh oh oh Oh oh oh. Miss Movin' On (On and on and on and on). Oh oh oh Oh oh oh. Miss Movin' On (On and on and on and on...). Oh oh oh Oh oh oh. Miss Movin' On. Oh oh oh (Hey yeah yeah...). I'm movin' on"
when i was your man (feat. boyce avenue),"Same bed. But it feels Just a little bit bigger now. Our song on the radio. But it don't sound the same. When our friends talk about you. All that it does is just tear me down. Cause my heart breaks a little. When I hear your name. And all just sounds like. Ooh, ooh, ooh, ooh, ooh. Too young, too dumb to realize. You should have bought me flowers. And held my hand. Should've give you all my hours. When I had the chance. Take me to every party. Cause all I wanted to do was dance. Now my baby is dancing,. But she's dancing. With another man. your pride, your ego. your needs and your selfish ways. Caused a good strong woman like me. To walk out your life. Now you never,. Never get to clean up. The mess you made. And it hurts me. Every time I close my eyes. It all just sounds like. Ooh, ooh, ooh, ooh, ooh. Too young, to dumb to realize. You should have bought me flowers. And held my hand. Should've give you all my hours. When I had the chance. Take me to every party. Cause all I wanted to do was dance. Now my baby is dancing,. But she's dancing. With another man. Although it hurts. I'll be the first to say that I was wrong. Oh, I know It's probably much too late. To try and apologize for your mistakes. So I just want you to know. I hope he buys me flowers,. I hope he holds my hand. Gives me all his hours,. When he has the chance. Take you to every party. Cause I remember. How much you loved to dance. Do all the things you should've done. When you were my man. Do all the things you should have done. When you were my man. Do all the things I should have done. When I was your man"
no way,"I know you don't want me anymore. By the look on your face. They say when it rains it pours. You can tell by my face. Oh, and I know. And you know that we've been here before. I think I know how it should end. We got an audience calling us crazy. We ignore those with opinions of hate. We're not like the rest of them. Friends with insanity as of lately. Everyone comes with scars. But you can love them away. I told you that I wasn't perfect. You told me the same. I think that's why we belong. Together and unashamed. I told you that I wasn't perfect. No way, way, way. Way, way, way. No way,No way. When I look in your eyes. I see through to my soul. I know the core of you is good. You're my tarnished hero. Oh, and I know. And you know how our story is told. Only we know what it is. We got an audience calling us crazy. We ignore those with opinions of hate. We're ain't like the rest of them. Friends with insanity as of lately. Everyone comes with scars. But you can love them away. I told you that I wasn't perfect. You told me the same. I think that's why we belong. Together and unashamed. I told you that I wasn't perfect. No way, way, way. Way, way, way. No way. No way. No way"
angel,"Who said I was an angel?. Who said I was an angel?. We was just a moment, nothing serious. Never really paid it no mind. Drop the back side and paying attention (Shakin' all that). Should've never not kept your word. Woulda had a reason to keep mine. You was too inconsistent (Shakin' all that). Should've never crossed that line with ya. Everything was cool, just drinkin' with ya. Way too young to be up in handcuffs. Wasn't tryna spend my life on the phone with ya. Gotta keep it on 100 with ya. The original me wouldn't fuck with ya. And I was beginning to fuck with ya. Who said I was an angel?. Who said I was an angel?. When you look at me, what do you see?. Open your eyes, I'm more brilliant than you'll ever be. Who said I was an angel?. Yeah, won't lie, say I don't lie. Yeah, I might've told a few lies, yeah. Won't lie, say I didn't try. But you're only worth a few tries, yeah. Track star, think you're running these streets. You ain't the only one running the streets. They making ground like they only wear cleats, yeah. Should've never crossed that line with ya. Everything was cool, just drinkin' with ya. Way too young to be up in handcuffs. Wasn't tryna spend my life on the phone with ya. Gotta keep it all 100 with ya. The original me wouldn't fuck with ya. And I was beginning to fuck with ya. Who said I was an angel?. (But you was wrong). Who said I was an angel?. (I'm no angel, when you look at me). When you look at me, what do you see? (What do you see?). Open your eyes, I'm more brilliant than you'll ever be. Who said I was an angel? (Who said I was an angel?). Who said I was an angel? (Who said I was an angel?). Don't know who I'll be, I'm far from an angel. Who said I was an angel?. Never took the time out, never had time to figure me out. When you look at me. When you look at me, what do you see, what do you see?. Open your eyes, I'm more brilliant than you'll ever be. Who said I was an angel? (Who said I was a, an angel?)"
impossible,"I remember years ago. someone told me I should take. caution when it comes to love. I did, I did. and you were strong and I was not. my illusion, my mistake. I was careless, I forgot. I did. and now, all is done. and there`s is nothing to say. you have gone and so effortlessly. you have won. you can go ahead tell them. tell them all I know now. shout it from the rooftops. write it on the sky line. all we had is gone now. tell them I was happy. and my heart is broken. all my scars are open. tell them what I hoped would be. impossible (impossible). impossible (impossible). impossible (impossible). impossible. I remember years ago. someone told me I should take. caution when it comes to love. I did ,I did. tell them all I know now. shout it from the rooftops. write it on the sky line. all we had is gone now. tell them I was happy. and my heart is broken. all my scars are open. tell them what I hoped would be. impossible (impossible). impossible (impossible). impossible (impossible). impossible. impossible. impossible. impossible. impossible"
