keep on movin',"I woke up today with this feeling. That better things are coming my way (way). And if the sunshine has a meaning. Telling me not to let things get in my way. When the rainy days are dying. Gotta keep on, keep on trying. All the bees and birds are flying (ahh ahh ahh). Never let go, gotta hold on in. Non-stop 'til the break of dawnin'. Keep on movin' don't stop rockin' (ahh ahh ahh). Get on up when you're down. Baby, take a good look around. I know it's not much, but it's okay. Keep on moving anyway. Feels like I should be screaming. Trying to get it through to my friends. Sometimes it feels that life has no meaning. But I know things will be alright in the end. When the rainy days are dying. Gotta keep on, keep on trying. All the bees and birds are flying (ahh ahh ahh). Never let go, gotta hold on in. Non-stop 'til the break of dawnin'. Keep on movin' don't stop rockin' (ahh ahh ahh). Get on up when you're down. Baby, take a good look around. I know it's not much, but it's okay. Keep on moving anyway. When the rainy days are dying. Gotta keep on, keep on trying. All the bees and birds are flying (ahh ahh ahh). Never let go, gotta hold on in. Non-stop 'til the break of dawnin'. Keep on movin' don't stop rockin' (ahh ahh ahh). Get on up when you're down. Baby, take a good look around. I know it's not much, but it's okay. Keep on moving anyway. Get on up when you're down. Baby, take a good look around. I know it's not much, but it's okay. Keep on moving anyway...."
when the lights go out,"(Yeah). we rock. (I like that). (You know what I mean). (You're looking kind of fly tonight, girl). (What's up?). (Check it). Baby, when the lights go out. (Hey). (Yeah, yeah). I'll show you what it's all about. (Coming at you, girl). (You're gonna like this, girl). (Here we go). (Check it). I ain't sorry for the way I feel. I know you think I'm being insincere. From the way I'm treating you. I never wanted to be so unkind. The only one thing on my mind. Is just kickin' it wit u gurl. Baby it's not the way I feel. You know you must believe me. ( You Must believe). Baby, it's not part of the deal. Oh no no. (Chorus). Baby, when the lights go out. Every single word could not express. The love and tenderness. I'll show you what it's all about. baby, I swear you will succumb to me. So, baby, come to me. When the lights go out. (Ah, yeah, check it). (Check it out). (Second verse, girl). I know you think it may be just a lie. Ain't no good in putting up a fight. 'Cos my heart is set on you. I see the trust is in your eyes. I ain't fooled by your thin disguise. I can see I'm getting through, baby. Girl, don't deny the way you feel. You know you gotta trust me. (You gotta trust). Give me the chance to prove I'm real. Oh yeah, yeah. (Repeat chorus twice). When I flick da switch. Make your hips wanna dip. Now I can get you off. 'Cos I'm ready and equipped now. Swing for me, baby. Give me all that you got. Never wanna stop. 'Cos you make me feel hot. I know what you wanna do. And that I feel the same way too. Give you what you want. Through the days and the night. Yeah, it's about time. That we turned out the lights. (Yeah, I like that). (What's up?). (Check it). (Repeat chorus). Baby, when the lights go out. (When the lights go out). Every single word could not express. The love and tenderness. I'll show you what it's all about. (I'll show you what it's all about). baby, I swear you will succumb to me. So, baby, come to me. When the lights go out. (Repeat chorus to fade)"
hear me now,"If you think you’re ready. Let the games begin. Just roll the dice now. May the best player win. Mamma told me it’s no sin (it’s no sin). (oh oh) oh yeah. Any way you like it. Just let me know. Don’t try to hide it. If you’re ready let’s go. I won’t be lazy with you no no no. Whoa whoa whoa whoa. CHORUS. I tried to call you but you wasn’t around. I tried to see you but you was outta town. I tried to find you, tried to track you down. But my phone didn’t make a sound. I know you hear me now. Now the show has started. And we’re on the road. My tank is full now. I’m about to explode. It’s dangerous in overload. (Oh oh) oh yeah. I can keep a secret. Won’t tell my boys. What you get up to with your favourite toys. If ya feel me baby make some noise. Whoa whoa whoa whoa. CHORUS. I know you hear me know (x6). If ya feel me baby make some noise. If ya feel me baby just enjoy. CHORUS x2."
when the lights go out (us),"(Yeah, like that). (You know what I mean). (You're looking kinda fly tonight girl). (What's up). (Check it). Baby when the lights go out. I'll show you what it's all about. (Coming at you girl, you know you like this girl). (Here we go) (Check it). I ain't sorry for the way I feel. I know you think I'm being insincere. From the way I'm treating you. I never wanted to be so unkind. The only one thing on my mind. Is just kicking it with you girl. Baby it's not the way I feel, you know you must believe me. Baby it's not part of the deal (oh no no). Baby when the lights go out. Every single word can not express, the love and tenderness. I'll show you what it's all about. Babe I swear you will succumb to me, so baby come to me. When the lights go out. (Yeah, check it) (Check it out, second verse girl). I know you think it may be just a lie. Ain't no use in putting up a fight. Cos my heart is set on you. I see the truth, it's in your eyes. I ain't fooled by your thin disguise. I can see I'm getting through babe. Girl don't deny the way you feel, you know you've gotta trust me. Give me a chance to prove I'm real (oh yeah yeah). Baby when the lights go out. Every single word can not express, the love and tenderness. I'll show you what it's all about. Babe I swear you will succumb to me, so baby come to me. When the lights go out. Every single word can not express, the love and tenderness. I'll show you what it's all about. Babe I swear you will succumb to me, so baby come to me. When the lights go out. It's a blackout girl the lights are off. I can feel you gettin' closer now take your clothes off. Your body looks so soft in between the sheets I lay you down. Girl I wanna knock your socks off, knock your blocks off girl I'm down for whatever. There are few things that are forever. Like you in my life girl that's all that I need to get by. Time to break it down cos you're makin me high. (Yeah, I like that). (So what's up, check it). Baby when the lights go out. Every single word can not express, the love and tenderness. I'll show you what it's all about. Babe I swear you will succumb to me, so baby come to me. When the lights go out. (Repeat until fade)."
everybody get up,"Chorus:. Everybody get up singing. 1, 2, 3, 4, Five will make you get down now. (x2). You gots to keep it real. You gots to keep it raw. I'm lyrically blessed. So don't try to ignore. Time for some action. Creeping up your back and. Keep the beat nasty. Like Janet my reaction. Hard I'm addictive. Better lock your kids in. Coming to you area. Ya don't know what you're missing. Go tell your family. Here comes the enemy. Blowing up the spot tech remedy. Chorus. Keep it moving on (x7). I'll be the resident, president. I'm the 5th element. Jimmy fly snooka stone. Cold is how I'm. Hittin' em' better get together. Put your hands in the sky. Stick em up punk. Hit em low, hit em high. Now I'm the bad boy. That you invite for dinners. Ain't got no manners. Cos I eat with my fingers. Lost boys terrorise the neighbourhood. And hounds of the Baskerville will be up to no good. So come on, come on. Everybody keep checking us. Coming with the funk. Bring it on wickedness. Chorus. Everybody better recognise. We got the funky rhymes. Keep it together, baby. Don't even try to organise. We be the roughnecks. No concept, no business. We here to get down. And make em grab your biscuits. So everybody, anybody, somebody. Put your hands together. Represent like John Gottë. Paragraph after grammar for gas. The party's Armageddon. Hit em with the heavy class. I'm bugging. Hitting with the hooligan bamn. I know I wanna stand-up. So baby jump!. Everybody get up singing. Five will make you get down now. Chorus (x2). Five will make you get down."
we will rock you,"We causing utter devastation. When we steppin' into place. And better believe that you can see. We're gonna rock and never stop. And here we go again. Hit you with the flow again. get up the second time around. and bring it on again - shout it out. Buddy you're a boy. Make a big noise playin' in the street. Gonna be a big man someday. You got blood in your face (c'mon). big disgrace. Kicking your can (ah ah) all over the place. Singing. We will, we will rock you. (ha, ha). We will, we will rock you. c'mon. How about a little something. To get you in the mood. Know what I mean?. Watch your back. We got Queen on this track. Bring the feedback. And let it drop. As long as five bring the funk. Queen bring the rock. And it don't stop. Buddy you're a young man. Hard man. shouting in the street. Gonna take on the world some day. You got blood on your face,. You big disgrace. Waving you're banner all over the place,. Singing. We will, we will rock you. (we're gonna rock, we're gonna rock, we're gonna rock you baby!). We will, we will rock you. (we're gonna rock, we're gonna rock yeah). We will, we will rock you. (we're gonna rock you baby!). We will, we will rock you ha ha. Go(x30). ah!. Buddy, you're an old man, poor man. Pleading with your eyes gonna. make you something someday. You got mud on your face (c'mon),. big disgrace. Somebody better put you back in your place. Singing. we will, we will rock you. We will, we will rock you. We will, we will rock you."
human,"Human (The Five Remix). I'm only human. of flesh and blood, I'm made. Human ... born to make mistakes. If 5 boys in da house say it loud. If 5 boys in da house check it out. (2x). Come on baby dry your eyes, wipe your tears. Never like to see you cry, please forgive me. I wouldn't ever try to hurt you. I just needed someone to hold me. To fill the void while you were gone. to fill this space of emptiness. CHORUS. If 5 boys in da house say it loud. If 5 boys in da house check it out. (2x). When I lay upon my bed reminisce then I wish. that I got you by my side with the cherry red kiss. hit me off make it soft hold me tight through the night. You know I'm gonna fight cos the thing we had was right. But if you go all I know I can't go a day without you. Here in my arms hypnotized with your charms now. I'm feeling for you baby ain't you hearing the alarms. You can't stop all the love that I got. Wanna rewind time to better days that were hot check it. bring back the better days for me baby. You gotta bring em back cos I'm going crazy. I go insane with your name up in my brain. Things will never be the same you ain't up in my frame. So what you gonna do what you gonna say. Tell me that you're gonna push your loving back my way. CHORUS. If 5 boys in da house say it loud. If 5 boys in da house check it out....."
don't you want it,"INTRO:. Don't you want it can't you feel it. there's something in the air tonight. 10,9,8,7,6,5. Don't you want it. Now hitting on the dancefloor what's it all about. Girl I give it all make me feel high. 10,9,8,7,6, Five time to turn it up cos you're getting hot. why do we bring the flow so raw. make you wanna dance so go on the floor. It's all about the monies, what. time to get down and get da honeys, yo Scott. BRIDGE:. Baby I can make the nights last forever. and I can make you satisfied. So if you feel like coming together. It's something that you must decide. Don't you want it, don't you need it. I can give it all and I mean it (aw!). don't you want it, Can't you feel it. there's something in the air tonight. Rising from the depths, I confess. Baby I can hit you off got a super on my chest. nothing but the very best. what you need and you best believin'. tell that you're feeling. the hand that I'm dealing. never hear me lack upon a track. style and whicky whack but you gotta. savour that a roller-coaster ride baby come and climb upon it. ruggedness I've shown it, tell me don't you want it. BRIDGE 2:. Baby I can make the sun shine forever. I know you've heard it all before. but if you feel like coming together. all of this will be yours. CHORUS. I got everything you want baby everything you need now. I can give it all I got everything you want. Baby everything you need now don't you want it, don't you. Don't you want it. Don't you need it. Don't you want it. Can't you feel it. 10,9,8,7,6, Five. CHORUS."
lay all your lovin' on me,"This one right here, is for all you freaks!. Get it on (c'mon). Now I know what I like and I like what you got,. get me hot make me wanna come and hit you in that freaky spot,. and anyway you wanna write it get excited, don't you fight it baby. you know, you know, you know, you know.. I wanna hit you off hard or soft smooth or rough. I can get the fire ignited. so we feelin' like we're taking off.. Now if you want to come and get it don't you fret it guarantee you won't regret it. as we kickin' bad athletics.. Check it out. BRIDGE. High heels, black leather.. Thigh high, even better.. Try me, any weather.. I wanna give it to you lady, more than ever.. CHORUS. Lay all your lovin' on me, (c'mon you know I'm gonna get ya). Lay all your lovin' on me.. 'Cause when the heat hits the fan. you won't find a better man. (so c'mon). Lay all your lovin' on me.. Strapped with the thigh high,. leather down to the toes,. she even got leather panty hoes and only I know 'cause the girl nasty get at me. you know, you know, you know.. She got tattoos of cupid, she got me on one,. dangerous with them jeans and the thong on.. So the next time a girl hits you with the line lay your love on me.. Make a move for the waist line.. BRIDGE. CHORUS. Gotta check it out can you feel it now we're comin' at you X3.. Gotta check it out, gotta check it. check it out now.."
c'mon c'mon,"Lately I've been thinking that I don't feel like I used to do,. I'm trying to keep my two feet on the ground.. Constantly surrounded, everywhere I turn I'm hounded,. People stop and stare and look me up and down.. Now you shouldn't feel down from what everybody says,. And don't let it bother you if anybody stares.. 'Cause you know that at times, people can be cruel.. Try to put you down, make you feel like a fool.. But you got one shot, now don't you ever stop.. Keep your dreams high, keep reaching for the top.. 'Cause you know and I know if they had the chance,. They'd be climbin' up on the stage, tryin' to dance.. CHORUS. C'mon c'mon and get together.. Let's take a chance, it's now or never.. Spread the word over the nation,. That we are the new generation.. C'mon c'mon and get together,. Start livin' your life like it's forever.. Don't wanna stop if you're dreamin',. Let everyone know what you're feelin'.. Questions I can't answer got me going round in circles,. Make me feel as if I'm losing self control.. It's feeling like a dream to me, I've lost a touch of reality While deep inside I've searched with my soul.. Now it's good to keep searching and bettering yourself,. But don't push too hard 'cause it's bad for your health.. And running round in circles will always get you dizzy,. And thinking too much, that will make your head busy.. So just sit back and relax, you gotta chill.. I promise that all of your dreams will be fulfilled.. One day if you keep on looking you'll find,. You just gotta go with your heart and your mind.. CHORUS (6X)."
