missing,"Locked in, shut out. Dark skies crashing down. Hanging by a thread. Without you I'm lost in my head. I don't need the world to love me. I just need to do what's right for me. Baby, I'm missing you. I'm one breath away, it's almost too late. Baby, I'm missing you. And all that remains is my broken faith. Missing you. Missing you. And I'm missing me too. And I'm missing me too. They ask ""what's wrong? "". In their eyes they know I'm gone. No words come out. In my mind I'm crying out. I don't need the world to love me. I just need to do what's right for me. Baby, I'm missing you. I'm one breath away, it's almost too late. Baby, I'm missing you. And all that remains is my broken faith. Missing you. Missing you. And I'm missing me too. And I'm missing me too, yeah. And I'm missing me too. Missing you baby, missing you baby. Baby, I'm missing you. I'm one breath away, it's almost too late. Baby, I'm missing you. And all that remains is my broken faith. Baby, I'm missing you. I'm one breath away, it's almost too late. Baby, I'm missing you. And all that remains is my broken faith. I'm missing you. (I'm missing you, missing you babe). I'm missing you. (I'm missing you, missing you babe). And I'm missing me too"
photograph,Loving can hurt. Loving can hurt sometimes. But it's the only thing that I know. And when it gets hard. You know it can get hard sometimes. It is the only thing that makes us feel alive. We keep this love in a photograph. We made these memories for ourselves. Where our eyes are never closing. Hearts were never broken. And time's forever frozen still. So you can keep me inside the pocket. Of your ripped jeans. Holding me close until our eyes meet. You won't ever be alone. Wait for me to come home. Loving can heal. Loving can mend your soul. And it's the only thing that I know. I swear it will get easier. Remember that with every piece of you. And it's the only thing we take with us when we die. We keep this love in a photograph. We made these memories for ourselves. Where our eyes are never closing. Our hearts were never broken. And time's forever frozen still. So you can keep me inside the pocket. Of your ripped jeans. Holding me close until our eyes meet. You won't ever be alone. And if you hurt me that's okay baby. Only words bleed. Inside these pages you just hold me. And I won't ever let you go. Wait for me to come home. Oh you can fit me. Inside the necklace you got. When you were sixteen. Next to your heartbeat where I should be. Keep it deep within your soul. And if you hurt me. Well that's okay baby. Only words bleed. Inside these pages you just hold me. And I won't ever let you go. When I'm away. I will remember how you kissed me. Under the lamppost back on 6th street. Hearing you whisper through the phone. Wait for me to come home
enough about me,"I can't think, hard to breathe. I've talking in my sleep. But I'm loving every second of it, oh-oh. How you pull me to you. Got me stuck like crazy glue. I'm addicted but ain't gonna quit, woah-woah. Your lips a time bomb. One kiss and I'm gone. Ticktock and my heart goes. Boom boom boom oh-oh. Caught up in your chains. But I can't complain. On my mind, what am I to do?. Enough about me, ooh. Let's talk about you, ooh. And how you drive me crazy, ooh. With everything you do, everything that you do. Enough about me, ooh. I want to talk about you, ooh. So I can hear you say, ooh. That you want me, that you want me too. Enough about me. There's a star in the sky that I wish on everynight. And it's falling since I've fallen for you, ooh. Play my heart like a string. It's like music to my brain. Keep on tuggin till we're beating in tune, yeah yeah. Got me worked up. Can't get enough. Tongue-tied nothing I can do, oh oh oh-oh. Electric eyes, I'm hipnotized. I don't mind what you put me through. Enough about me, ooh. Let's talk about you, ooh. And how you drive me crazy, ooh. With everything you do, everything that you do. Enough about me, ooh. I want to talk about you, ooh. So I can hear you say, ooh. That you want me, that you want me too... yeah. Nah, nah, nah, nah, nah, nah, nah, nah, nah, nah. Nah, nah, nah, nah, nah, nah, nah, nah, nah. Woah, oh, oh, woah, oh-oh. Nah, nah, nah, nah, nah, nah, nah, nah, nah, nah. Nah, nah, nah, nah, nah, nah, nah, nah, nah. Whoa, oh, oh, whoa, oh-oh. I can't fight it, I'm ignited. Play with fire just to get to you. Enough about me. Let's talk about you, ooh. And how you drive me crazy, ooh. With everything you do, everything that you do. Enough about me, ooh. I want to talk about you, ooh. So I can hear you say, ooh. That you want me, that you want me too. Enough about me. Nah, nah, nah, nah, nah, nah, nah, nah, nah. Nah, nah, nah, nah, nah, nah, nah, nah, nah. Woah, oh, oh, woah, oh-oh. Enough about me. Nah, nah, nah, nah, nah, nah, nah, nah, nah, nah. Nah, nah, nah, nah, nah, nah, nah, nah, nah. Woah, oh, oh, woah, oh-oh"
hurricane,"You're running 'round in my head. While I'm run, run, running out of breath. Static hearts, electric. With a thunder no one will forget. You've got the moves. The spark that's driving me insane. Break all the rules. My heart is going up in flames. Daydreaming in the dark. You make my head go 'round, 'round, 'round. Hurricane, when the lights go out. Let it rain, let our hearts pour out. You got me 'til the sun burns out like. Ooh, ooh, ooh. We felt right, where we both be in love. Dynamite when you're in my arms. You and I make thunder storms like. Ooh, ooh, ooh. My heart in chains. While you're take, take, taking over me. Perfect storm, blown away. Our eyes strike lightning when they meet. You've got the moves. The spark that's driving me insane. Break all the rules. My heart is going up in flames. Daydreaming in the dark. You make my head go 'round, 'round, 'round. Hurricane, when the lights go out. Let it rain, let our hearts pour out. You got me 'til the sun burns out like. Ooh, ooh, ooh. We felt right, where we both be in love. Dynamite when you're in my arms. You and I make thunder storms like. Ooh, ooh, ooh. Walking on clouds. Away... way up here together. Not coming down. We could stay up here forever. Hurricane, when the lights go out. Let it rain, let our hearts pour out. You got me 'til the sun burns out like. ('til the sun burns out, baby). We felt right, where we both be in love. Dynamite when you're in my arms. You and I make thunder storms like. Ooh, ooh, ooh"
whenever,"Hey, hey. I know it sounds crazy, but time doesn't faze me. Every since it's lost, it's hold on me. Hang out to midnight, miss the curfew's that's alright. And back to bed, right on time will see. Whenever you need me, I'm right there with you. Whenever there's something you wanna redo. The clock is ticking, but not for me. I'm living in a different reality. Whenever, whenever, whatever. I'm right there with you. Forgot your friends birthday, just make yesterday today. Do it over till we get it fine. Will seat in the front road. Take us two what futures show, before it even happen it's hold on time. Whenever you need me, I'm right there with you. Whenever there's something you wanna redo. The clock is ticking, but not for me. I'm living in a different reality. Whenever, whenever, whatever. I'm right there with you. You miss your chance, let's talk your plans. So try it all again. It's so fun, to be someone who travels in time. Whenever you need me, I'm right there with you. Whenever there's something you wanna redo. The clock is ticking, but not for me. I'm living in a different reality. Whenever, whenever, whatever. I'm right there with you"
compass,"I know that I never got to tell you. Everything that you deserve to hear. Trapped inside a picture frame. Am I just another name. Hanging onto you, do you hear?. Got a million miles worth of sorries. Never took the chance to say goodbye. Reaching out across the blue. To put myself right back to you. Stuck here drawing maps across the sky. Hold on. Hold on for dear life. One last time. Hit by the waves. Caught in a shipwreck. Oh, I'm breaking for you. I may be lost. But my heart's the compass. Oh, it points back to you. It points back to you. I never should have taken you for granted. But should've would've could've never helps. I miss you being next to me. A victim of reality. Knowing that you might have someone else. We were always thinking bout tomorrow. But now I'm feeling stuck in yesterday. The comfort that we left behind. Is something that we lost in time. And now I'm gonna find another way. To hold on. Hold on for dear life. One last try. Hit by the waves. Caught in a shipwreck. Oh, I'm breaking for you. I may be lost. But my heart's the compass. Oh, it points back to you. It points back to you [x2]. I know that we tried. But somehow we fell from the sky. I just hope that time. Can breath our old wings back to life. Hit by the waves. Caught in a shipwreck. Oh, I'm breaking for you. Hit by the waves. Caught in a shipwreck. Oh, I'm breaking for you. I may be lost. But my heart's the compass. Oh, it points back to you. It points back to you [x2]"
shake your booty,"Let's dance. Let's dance. Let's dance. Shake your booty. Shake your booty. Shake your booty. Shake your booty. Everybody. Get on the floor. Let's dance. Don't fight the feeling. Give yourself a chance. A chance. Shake, shake, shake. Shake, shake, shake. Shake your booty. Shake your booty. Shake, shake, shake. Shake, shake, shake. Shake your booty. Shake your booty. You can. You can do it. Very well. You're the. The best in the world. I can tell. Shake, shake, shake. Shake, shake, shake. Shake your booty. Shake your booty. Shake, shake, shake. Shake, shake, shake. Shake your booty. Shake your booty. Shake, shake. Shake, shake. (shake, shake, shake). Shake, shake. Shake, shake. Shaake! booty. Shake your booty. Shake, shake, shake. Shake, shake, shake. Shake your booty. Shake your booty. [x4]"
celebrate (it's christmas),"Light on my feet under the mistletoe. We're melting the ice in these moments. Got my heart shakin' off the snow. For a brand-new year, a new commotion. Free fallin'. Gravity can't stop us. So we just let go. Celebra-a-ate. Like it's christmas day. Every wa-a-ay. Till the cold air fades. Celebra-a-ate. When the seasons change. We'll still be having fun. Yeah, we'll still be having fun. Celebrate. It's christmas day. Celebrate. It's christmas. I got all I need, so I don't care. If santa skips my house this year. It's just you and me. Next to the dancing fire. Making the winter storm disappear. Free fallin'. Gravity can't hold us. So we just let go. We're painting the sky. All around us. Till the stars shine gold. Celebra-a-ate. Like it's christmas day. Every wa-a-ay. Till the cold air fades. Celebar-a-ate. When the season change. We'll still be having fun. Yeah, we'll still be having fun. Celebrate. It's christmas day. Celebrate. It's christmas. Celebrate. It's christmas. Celebrate. It's christmas. Free falling, gravity can't hold us. So we just let go. So we just let go. We're painting the sky. All around us. Till the stars shine gold. Celebra-a-ate. Like it's christmas day. Every wa-a-ay. Till the cold air fades. Celebra-a-ate. When the seasons change. We'll still be having fun. Yeah, we'll still be having fun. Celebrate. It's christmas day. Celebrate. It's christmas. Celebrate. It's christmas. Celebrate. It's christmas"
compass,"I know that I never got to tell you. Everything that you deserve to hear. Trapped inside a picture frame. Am I just another name. Hanging onto you, do you hear?. Got a million miles worth of sorries. Never took the chance to say goodbye. Reaching out across the blue. To put myself right back to you. Stuck here drawing maps across the sky. Hold on. Hold on for dear life. One last time. Hit by the waves. Caught in a shipwreck. Oh, I'm breaking for you. I may be lost. But my heart's the compass. Oh, it points back to you. It points back to you. I never should have taken you for granted. But should've would've could've never helps. I miss you being next to me. A victim of reality. Knowing that you might have someone else. We were always thinking bout tomorrow. But now I'm feeling stuck in yesterday. The comfort that we left behind. Is something that we lost in time. And now I'm gonna find another way. To hold on. Hold on for dear life. One last try. Hit by the waves. Caught in a shipwreck. Oh, I'm breaking for you. I may be lost. But my heart's the compass. Oh, it points back to you. It points back to you [x2]. I know that we tried. But somehow we fell from the sky. I just hope that time. Can breath our old wings back to life. Hit by the waves. Caught in a shipwreck. Oh, I'm breaking for you. Hit by the waves. Caught in a shipwreck. Oh, I'm breaking for you. I may be lost. But my heart's the compass. Oh, it points back to you. It points back to you [x2]"
dc classics medley,"Mirror, mirror on the wall. Who's the baddest of them all?. Welcome to my wicked world, wicked world. We're rotten to the core. Don't wanna stop, give up. I want it all 'cause I just ain't had enough. Keep up, we're gonna show the world. That there's just no stopping us. No one can hold us back. We're gonna break the rules. Can't hold us back. We're gonna light the fuse in us. I'm living on the wildside, wildside. No telling what I might find, might find. No stopping 'cause it feels right. Feels right. I'm living on the. Ooh, ooh. On the wildside, wildside. So ready, now it's my time, my time. No stopping 'cause it feels right. Feels right. I'm living on the. Ooh, ooh. We're soarin', flying. There's not a star in heaven. That we can't reach. If we're tryin', yeah, we're breakin' free. (yeah, we're breakin' free). We're runnin', flying. To get to the place to be all that we can be. If we're tryin', yeah, we're breakin' free. (yeah, we're breakin' free). More than hope, more than faith. This is truth, this is fate. And together we see it coming. More than you, more than me. Not a want, but a need. Both of us, breaking free. You're the voice I hear inside my head. The reason that I'm singing. I need to find you, I gotta find you. You're the missing piece I need. The song inside of me. I need to find you, I gotta find you. This is real, this is me. I'm exactly where I'm supposed to be now. Gonna let the lights shine on me. Now I've found, who I am. There's no way to hold it in. No more hiding who I wanna be. 'cause this is me. Ah, ah, ah. You better run, run, run 'cause here we come. Revving our engines under the sun. You're cruising for a bruising. Ow. Keeping it cool, smooth and steady. Slicked back hair, man. Things are getting heavy. You're cruising for a bruising. Don't stop, stop the music. We ride fast like a bullet. We do anything we want, anytime we want. Oh yeah, oh yeah. We just ride, ride, ride all day. We're not gonna live any other way. Oh, we're not gonna live any other way. Not gonna live any other way"
