follow you follow me,Stay with me. My love. I hope you'll always be. Right here by my side. if ever I need you. Oh my love. In your arms. I feel so safe and so secure. Everyday is such a perfect day to spend. Alone with you. I will follow you. will you follow me. All the days and nights. that we know will be. I will stay with you. will you stay with me. Just one single tear in each passing year. With the dark. Oh I see so very clearly now. All my fears. are drifting by me so slowly now. Fading away. I can say. The night is long but you are here. Close at hand. oh I'm better for the. smile you give. And while I live. I will follow you. will you follow me. All the days and nights. that we know will be. I will stay with you. will you stay with me. Just one single tear in. each passing year. there will be. I will follow you. will you follow me. All the days and nights. that we know will be. I will stay with you. will you stay with me
mama,"I can't see you mama. But I can hardly wait. Oh to touch and to feel you mama. Oh I just can't keep away. In the heat and the steam of the city. Oh its got me running and I just can't brake. So say you'll help me mama. 'Cause its getting so hard - oh. Now I can't keep you mama. But I know you're always there. You listen, you teach me mama. And I know inside you care. So get down, down here beside me. Oh you ain't going nowhere. No I won't hurt you mama. But its getting so hard - oh. Ha ha, ha ha ha ha, ha ha, argh. Ha ha, ha ha ha ha, ha ha, argh. Can't you see me here mama. Mama mama mama please. Can't you feel my heart. Can't you feel my heart. Can't you feel my heart oh. Now listen to me mama. Mama mama. You're taking away my last chance. Don't take it away. Can't you feel my heart?. Ha ha, ha ha ha, ha, argh. It's hot, too hot for me mama. But I can hardly wait. My eyes they're burning mama. And I can feel my body shake. Don't stop, don't stop me mama. Oh make the pain, make it go away - hey. No I won't hurt you mama. But its getting so hard - oh. Now I can't see you mama. But I know you're always there. You taunt, you tease me mama. But I never never can keep away. It's the heat and the steam of the city. Oh got me running and I just can't brake. So stay don't leave me mama. 'Cause its getting so hard - oh. Don't go no no, don't go. No no no, don't go...."
throwing it all away,"Need I say I love you. Need I say I care. Need I say that emotion's,. Something we don't share. I don't want to be sitting here. Trying to deceive you. Cos you know I know baby. That I don't wanna go.. We cannot live together. We cannot live apart. That's the situation. I've known it from the start. Every time that I look at you. I can see the future. Cos you know I know babe. That I don't wanna go.. Throwing it all away. Throwing it all away. Is there nothing that I can say. To make you change your mind. I watch the world go round and round. And see mine turning upside down. You're throwing it all away.. Now who will light up the darkness. Who will hold your hand. Who will find you the answers. When you don't understand. Why should I have to be the one. Who has to convince you. Cos you know I know baby. That I don't wanna go.. Someday you'll be sorry. Someday when you're free. Memories will remind you. That our love was meant to be. Late at night when you call my name. The only sound you'll hear. Is the sound of your voice calling. Calling after me.. Just throwing it all away. Throwing it all away. There's nothing I can say. We're throwing it all away."
i know what i like (in your wardrobe),"It's one o'clock and time for lunch,. When the sun beats down and I lie on the bench. I can always hear them talk.. There's always been Ethel:. ""Jacob, wake up! You've got to tidy your room now."". And then Mister Lewis:. ""Isn't it time that he was out on his own?"". Over the garden wall, two little lovebirds - cuckoo to you!. Keep them mowing blades sharp.... I know what I like, and I like what I know;. getting better in your wardrobe, stepping one beyond your show.. Sunday night, Mr Farmer called, said:. ""Listen son, you're wasting your time; there's a future for you. in the fire escape trade. Come up to town!"". But I remebered a voice from the past;. ""Gambling only pays when you're winning"". - I had to thank old Miss Mort for schooling a failure.. Keep them mowing blades sharp.... I know what I like, and I like what I know;. getting better in your wardrobe, stepping one beyond your show.. When the sun beats down and I lie on the bench,. I can always hear them talk.. Me, I'm just a lawnmower - you can tell me by the way I walk.."
that's all,"Just as I thought it was going alright. I find out I'm wrong, when I thought I was right. S'always the same, it's just a shame, that's all. I could say day, and you'd say night. Tell me it's black when I know that it's white. Always the same, it's just a shame, that's all. I could leave but I won't go. Though my heart might tell me so. I can't feel a thing from my head down to my toes. But why does it always seem to be. Me looking at you, you looking at me. It's always the same, it's just a shame, that's all. Turning me on, turning me off. Making me feel like I want too much. Living with you's just putting me through it all of the time. Running around, staying out all night. Taking it all instead of taking one bite. Living with you's just putting me through it all of the time. I could leave but I won't go. Well it'd be easier I know. I can't feel a thing from my head down to my toes. Why does it always seem to be. Me looking at you, you looking at me. It's always the same, it's just a shame, that's all. Truth is I love you. More than I wanted to. There's no point in trying to pretend. There's been no-one who. Makes me feel like you do. Say we'll be together till the end. But I could leave but I won't go. Well it'd be easier I know. I can't feel a thing from my head down to my toes. So why does it always seem to be. Me looking at you, you looking at me. It's always the same, it's just a shame, that's all. But I love you. More than I wanted to. There's no point in trying to pretend. There's been no-one who. Makes me feel like you do. Say we'll be together till the end. But just as I thought it was going alright. I find out I'm wrong when I thought I was right. It's always the same, it's just a shame, that's all. Well I could say day, and you'd say night. Tell me it's black when I know that it's white. It's always the same, it's just a shame, that's all"
home by the sea,"Creeping up the blind side, shinning up the wall. Stealing through the dark of night. Climbing through a window, stepping to the floor. Checking to the left and the right. Picking up the pieces, putting them away. Something doesn't feel quite right. Help me someone, let me out of here. Then out of the dark was suddenly heard. ""welcome to the home by the sea"". Coming out the woodwork, through the open door. Pushing from above and below. Shadows with no substance, in the shape of men. Round and down and sideways they go. Adrift without direction, eyes that hold despair. Then as one they sigh and they moan. Help us someone, let us out of here. Living here so long undisturbed. Dreaming of the time we were free. So many years ago. Before the time when we first heard. ""welcome to the home by the sea"". Sit down...Sit down. As we relive our lives in what we tell you. Images of sorrow, pictures of delight. Things that go to make up a life. Endless days of summer, longer nights of gloom. Waiting for the morning light. Scenes of unimportance, photos in a frame. Things that go to make up a life. Help us someone, let us out of here. Living here so long undisturbed. Dreaming of the time we were free. So many years ago. Before the time when we first heard. ""welcome to the home by the sea"". Sit down...Sit down. As we relive our lives in what we tell you. Let us relive our lives in what we tell you. Sit down...Sit down. Cause you won't get away. No with us you will stay. For the rest of your days. So sit down. As we relive our lives in what we tell you. Let us relive our lives in what we tell you"
hold on my heart,Hold on my heart. Just hold on to that feeling. We both know we've been here before. We both know what can happen. Hold on my heart. 'Cause I'm looking over your shoulder. Ooh please don't rush in this time. Don't show her how you feel. Hold on my heart. Throw me a lifeline. I'll keep a place for you. Somewhere deep inside. So hold on my heart. Please tell her to be patient. 'Cause there has never been a time. That I wanted something more. If I can recall this feeling. And I know there's a chance. Oh I will be there. Yes I will be there. Be there for you. Whenever you want me to. Whenever you call. Oh I will be there. Yes I will be there. Hold on my heart. Don't let her see you crying. No matter where I go. She'll always be with me. So hold on my heart. Just hold on to that feeling. We both know we've been here before. We both know what can happen. So hold on my heart. Just hold on my heart. Hold on my heart....
in too deep,"All the time I was searching. Nowhere to run to. It started me thinking. Wondering what I could make of my life. And who'd be waiting. Asking all kinds of questions to myself. But never finding the answers. Crying at the top of my voice. But no-one listening. All this time. I still remember everything you said. There's so much you promised. How could I ever forget. Listen. You know I love you but I just can't take this. You know I love you but I'm playing for keeps. Although I need you I'm not gonna make this. You know I want to but I'm in too deep. So listen, listen to me. Oh you must believe me. I can feel your eyes go thru me. But I don't know why. Oh I know you're going. But I can't believe. It's the way that you're leaving. It's like we never knew each other at all. It may be my fault. I gave you too many reasons for being alone. When I didn't want to. I thought you'd always be there. I almost believed you. All this time. I still remember everything you said. There's so much you promised. How could I ever forget. Listen. You know I love you but I just can't take this. You know I love you but I'm playing for keeps. Although I need you I'm not gonna make this. You know I want to but I'm in too deep. So listen, listen to me. I can feel your eyes go thru me. It seems I've spent too long. Only thinking about myself. Now I want to spend my life. Just caring about somebody else. Listen. You know I love you but I just can't take this. You know I love you but I'm playing for keeps. Although I need you I'm not gonna make this. You know I want to but I'm in too deep"
invisible touch,Well I've been waiting. Waiting here so long. But thinking nothing. Nothing could go wrong. But now I know. She has a built in ability. To take everything she sees. And now it seems. I'm falling. Falling for her. She seems to have. An invisible touch. Yeah. She reaches in. Grabs right hold of your heart. She seems to have. An invisible touch. Yeah. It takes control. and slowly tears you apart. I don't really know her. I only know her name. But she crawls under your skin. You're never quite the same. And now I know. She's got something. you just can't trust. It's something mysterious. And now it seems. I'm falling. Falling for her. She seems to have. An invisible touch. Yeah. She reaches in. Grabs right hold of your heart. She seems to have. An invisible touch. Yeah. It takes control. and slowly tears you apart. She don't like losing. To her it's still a game. And though she'll mess up your life. You'll want her just the same. Now I know. She has a built in ability. To take everything she sees. And now it seems I've fallen. Fallen for her. She seems to have. An invisible touch. Yeah. She reaches in. Grabs right hold of your heart. She seems to have. An invisible touch. Yeah. It takes control. And slowly tears you apart
land of confusion,"I must've dreamed a thousand dreams. Been haunted by a million screams. But I can hear the marching feet. They're moving into the street. Now did you read the news today. They say the danger's gone away. But I can see the fire's still alight. They're burning into the night. Too many men, too many people. Making too many problems. And not much love to go round. Can't you see this. is the land of confusion. This is the world we live in. And these are the hands we're given. Use them and let's start trying. To make it a place worth living in. Oh superman where are you now. Everything's gone wrong somehow. The men of steel, men of power. Are losing control by the hour. This is the time, this is the place. So we look for the future. But there's not much love to go round. Tell me why this is the land of confusion. This is the world we live in. And these are the hands we're given. Use them and let's start trying. To make it a place worth living in. I remember long ago. Oh when the sun was shining. And the stars were bright. all through the night. And the sound of your laughter. as I held you tight. So long ago. I won't be coming home tonight. My generation will put it right. We're not just making promises. That we know we'll never keep. Too many men, too many people. Making too many problems. And not much love to go round. Can't you see this. is the land of confusion. This is the world we live in. And these are the hands we're given. Use them and let's start trying. To make it a place worth. fighting for. This is the world we live in. And these are the names we're given. Stand up and let's start showing. Just where our lives are going to"
