careless whisper,"I feel so unsure. As I take your hand and lead to the dance floor. As the music dies, something in your eyes. Calls to mind the silver screen. And all its sad good-byes. I'm never gonna dance again. Guilty feet have got no rhythm. Though it's easy to pretend. I know you are not a fool. Should've known better than to cheat a friend. And waste the chance that I've been given. So I'm never gonna dance again. The way I danced with you. Time can never mend. The careless whispers of a good friend. To the heart and mind. Ignorance is kind. There's no comfort in the truth. Pain is all you'll find. I'm never gonna dance again. Guilty feet have got no rhythm. Though it's easy to pretend. I know you are not a fool. Should've known better than to cheat a friend. And waste this chance that I've been given. So I'm never gonna dance again. The way I danced with you. Never without your love. Tonight the music seems so loud. I wish that we could lose this crowd. Maybe it's better this way. We'd hurt each other. with the things we'd want to say. We could have been so good together. We could have lived this dance forever. But now who's gonna dance with me. Please stay. And I'm never gonna dance again. Guilty feet have got no rhythm. Though it's easy to pretend. I know you're not a fool. Should've known better than to cheat a friend. And waste the chance that I've been given. So I'm never gonna dance again. The way I danced with you. (now that you're gone) now that you're gone. (now that you're gone) what I did so wrong. That you had to leave me alone"
freedom '90,"I won't let you down. I will not give you up. Gotta have some faith in the sound. It's the one good thing that I've got. I won't let you down. So please don't give me up. Because I would really, really love to stick around. Heaven knows I was just a young boy. Didn't know what I wanted to be. I was every little hungry schoolgirl's pride and joy. And I guess it was enough for me towin the race?. A prettier face!. Brand new clothes and a big fat place. On your rock and roll TV. But today the way I play the game is not the same. No way. Think I'm gonna get me some happy. I think there's something you should know. I think it's time I told you so. There's something deep inside of me. There's someone else I've got to be. Take back your picture in a frame. Take back your singing in the rain. I just hope you understand. Sometimes the clothes do not make the man. All we have to do now. Is take these lies. and make them true somehow. All we have to see. Is that I don't belong to you. And you don't belong to me. Freedom, freedom, freedom. You've gotta give for what you take. Freedom, freedom, freedom. You've gotta give for what you take. Heaven knows we sure had some fun boy. What a kick just a buddy and me. We had every big shot good-time band on the run boy. We were living in a fantasy. We won the race. Got out of the place. I went back home got a brand new face. For the boys on MTV. But today the way I play the game has got to change. Oh yeah. Now I'm gonna get myself happy. I think there's something you should know. I think it's time I stopped the show. There's something deep inside of me. There's someone I forgot to be. Take back your picture in a frame. Don't think that I'll be back again. I just hope you understand. Sometimes the clothes do not make the man. All we have to do now. Is take these lies. and make them true somehow. All we have to see. Is that I don't belong to you. And you don't belong to me. Freedom, freedom, freedom. You've gotta give for what you take. Freedom, freedom, freedom. You've gotta give for what you take. Well it looks like the road to heaven. But it feels like the road to hell. When I knew which side my bread was buttered. I took the knife as well. Posing for another picture. Everybody's got to sell. But when you shake your ass. They notice fast. And some mistakes were built to last. That's what you get. I say that's what you get. That's what you get for changing your mind. And after all this time. I just hope you understand. Sometimes the clothes do not make the man. I'll hold on to my freedom. May not be what you want from me. Just the way it's got to be. Lose the face now. I've got to live"
one more try,"I've had enough of danger. And people on the streets. I'm looking out for angels. Just trying to find some peace. Now I think it's time. That you let me know. So if you love me. Say you love me. But if you don't. Just let me go. Cause teacher. There are things that I don't want to learn. And the last one I had. Made me cry. So I don't want to learn to. Hold you, touch you. Think that you're mine. Because there ain't no joy. For an uptown boy. Whose teacher has told him goodbye. Goodbye. Goodbye. When you were just a stranger. And I was at your feet. I didn't feel the danger. Now I feel the heat. That look in your eyes. Telling me no. So you think that you love me. Know that you need me. I wrote the song, I know it's wrong. Just let me go. And teacher. There are things. That I don't want to learn. Oh the last one I had. Made me cry. So I don't want to learn to. Hold you, touch you. Think that you're mine. Because there ain't no joy. For an uptown boy. Whose teacher has told him goodbye. Goodbye. Goodbye. So when you say that you need me. That you'll never leave me. I know you're wrong, you're not that strong. Let me go. And teacher. There are things. That I still have to learn. But the one thing I have is my pride. Oh so I don't want to learn to. Hold you, touch you. Think that you're mine. Because there ain't no joy. For an uptown boy. Who just isn't willing to try. I'm so cold. Inside. Maybe just one more try"
father figure,"That's all I wanted. Something special, something sacred. In your eyes. For just one moment. To be bold and naked. At your side. Sometimes I think that you'll never. Understand me. Maybe this time is forever. Say it can be. That's all you wanted. Something special, someone sacred. In your life. Just for one moment. To be warm and naked. At my side. Sometimes I think that you'll never. Understand me. But something tells me together. We'd be happy. (Baby). I will be your father figure. (Oh baby). Put your tiny hand in mine. (I'd love to). I will be your preacher teacher. (Be your daddy). Anything you have in mind. (It would make me). I will be your father figure. (Very happy). I have had enough of crime. (Please let me). I will be the one who loves you. Until the end of time. That's all I wanted. But sometimes love can be mistaken. For a crime. That's all I wanted. Just to see my baby's. Blue eyed shine. This time I think that my lover. Understands me. If we have faith in each other. Then we can be. Strong. I will be your father figure. Put your tiny hand in mine. I will be your preacher teacher. Anything you have in mind. I will be your father figure. I have had enough of crime. I will be the one who loves you. Until the end of time. If you are the desert. I'll be the sea. If you ever hunger. Hunger for me. Whatever you ask for. That's what I'll be. So when you remember the ones who have lied. Who said that they cared. But then laughed as you cried. Beautiful Darling. Don't think of me. Because all I ever wanted. It's in your eyes baby, baby. And love can't lie, no.... (Greet me with the eyes of a child). My love is always tell me to.... (Heaven is a kiss and a smile). Just hold on, hold on. I won't let you go, my baby. I will be your father figure. Put your tiny hand in mine. I will be your preacher teacher. Anything you have in mind. I will be your father figure. I have had enough of crime. (So I am gonna love you). Until the end of time. I will be your father. I will be your preacher. I will be your daddy. I will be the one who loves you until the end of time"
heal the pain,Let me tell you a secret. Put it in your heart and keep it. There's something that I want you to know. Do something for me. Listen to my simple story. And maybe we'll have someting to show. You tell me you're cold on the inside. How can the outside world. Be a place that your heart can embrace. Be good to yourself. Because nobody else. Has the power to make you happy. How can I help you?. Please let me try to. I can heal the pain. That you're feeling inside. Whenever you want me. You know that I will be. Waiting for the day. That you say you'll be mine. He must have really hurt you. To make you say the things that you do. He must have really hurt you. To make those pretty eyes look so blue. He must have known. That he could. That you'd never leave him. Now you can't see my love is good. And that I'm not him. How can I help you?. Please let me try to. I can heal the pain. Won't you let me inside. Whenever you want me. You know that I will be. Waiting for the day. That you say you'll be mine. Won't you let me in. Let this love begin. Won't you show me your heart now. I'll be good to you. I can make this thing true. Show me the heart right now. Who needs a lover. That can't be a friend. Something tells me I'm the one you've been looking for. If you ever should see him again. Won't you tell him you've found someone who gives you more. Someone who will protect you. Love and respect you. All those things. That he never could bring to you. Like I do. Or rather I would. Won't you show me your heart. Like you should. How can I help you?. Please let me try to. I can heal the pain. Won't you let me inside. Whenever you want me. You know that I will be. Waiting for the day. That you say you'll be mine. Won't you let me in. Let this love begin. Won't you show me your heart now. I'll be good to you. I can make this thing true. And get to your heart somehow
don't let the sun go down on me (feat. elton john),"I can't light no more of your darkness. All my pictures seem to fade to black and white. I'm growing tired and time stands still before me. Frozen here on the ladder of my life. It's much too late to save myself from falling. I took a chance and changed your way of life. But you misread my meaning when I met you. Closed the door and left me blinded by the light. Don't let the sun go down on me. Although I search myself, it's always someone else I see. I'd just allow a fragment of your life to wander free. But losing everything is like the sun going down on me. I can't find, oh the right romantic line. But see me once and see the way I feel. Don't discard me just because you think I mean you harm. But these cuts I have. They need love to help them heal. Don't let the sun go down on me. Although I search myself, it's always someone else I see. I'd just allow a fragment of your life to wander free. Cos losing everything is like the sun going down on me. Don't let the sun go down on me. Although I search myself, it's always someone else that I see. I'd just allow a fragment of your life to wander free, baby. Cos losing everything is like the sun going down on me"
faith,"Well, I guess it would be nice. If I could touch your body. I know not everybody. Has got a body like you.. Oh, but I gotta think twice. Before I give my heart away. And I know all the games you play. Because I play them, too.. Oh, but I need some time off from that emotion,. Time to pick my heart up off the floor.. And when that love comes down without devotion,. Well, it takes a strong man baby, but I'm. Showing you the door,. Cause I gotta have Faith. I gotta have... Faith. Yes, I've gotta have Faith, Faith, Faith. I gotta have Faith, Faith, Faith.. Baby, I know you're asking me to stay. Saying please, please, please don't go away. You say I'm giving you the blues.. Maybe you mean every word you say. Can't help but think of yesterday. And another who tied me down to loverboy rules. Before this river becomes an ocean. Before you throw my heart back on the floor. Oh baby, I reconsider my foolish notion. Well, I need someone to hold me,. But I'll wait for something more.. Cause I gotta have Faith.... (repeat chorus). Before this river. Becomes an ocean. Before you throw my heart back on the floor. (I've just got to have faith). I've reconsidered my foolish notion. Yeah, I need someone to hold me,. But I'll wait for something more..... (pause). Cause I gotta have Faith. (final chorus)"
kissing a fool,"You are far. When I could have been your star. You listened to people. Who scared you to death, and from my heart. Strange that you were strong enough. To even make a start. But you'll never find. Peace of mind. Till you listen to your heart. People. You can never change the way they feel. Better let them do just what they want. For they will. If you let them. Steal your heart from you. People. Will always make a lover feel a fool. But you knew I loved you. We could have shown them all. We should have seen love through. Fooled me with the tears in your eyes. Covered me with kisses and lies. So goodbye. But please don't take my heart. You are far. But I'm never gonna be your star. I'll pick up the pieces. And mend my heart. Maybe I'll be strong enough. I don't know where to start. But I'll never find. Peace of mind. While I listen to my heart. People.... You can never change the way they feel. Better let them do just what they want. For they will. If you let them. Steal your heart from you. People. Will always make a lover feel a fool. But you knew I loved you. We could have shown them all. We should have seen love through. But remember this. Every other kiss. That you ever give. Long as we both live. When you need the hand of another man. One you really can surrender with. I will wait for you. Like I always do. There's something there. That can't compare with any other. You are far. When I could have been your star. You listened to people. Who scared you to death, and from my heart. Strange that I was wrong enough. To think you'd love me too. I guess you were kissing a fool. You must have been kissing a fool"
praying for time,"These are the days of the open hand. They will not be the last. Look around now. These are the days of the beggars and the choosers. This is the year of the hungry man. Whose place is in the past. Hand in hand with ignorance. And legitimate excuses. The rich declare themselves poor. And most of us are not sure. If we have too much. But we'll take our chances. Because god's stopped keeping score. I guess somewhere along the way. He must have let us all out to play. Turned his back and all god's children. Crept out the back door. And it's hard to love, there's so much to hate. Hanging on to hope. When there is no hope to speak of. And the wounded skies above say it's much too late. Well maybe we should all be praying for time. These are the days of the empty hand. Oh you hold on to what you can. And charity is a coat you wear twice a year. This is the year of the guilty man. Your television takes a stand. And you find that what was over there. Is over here. So you scream from behind your door. Say ""what's mine is mine and not yours"". I may have too much but I'll take my chances. Because god's stopped keeping score. And you cling to the things they sold you. Did you cover your eyes when they told you. That he can't come back. Because he has no children to come back for. It's hard to love, there's so much to hate"
jesus to a child,"Kindness in your eyes. I guess you heard me cry. You smiled at me like Jesus to a child. I'm blessed I know. Heaven sent and heaven stole. You smiled at me like Jesus to a child. And what have I learned from all this pain. I thought I never feel the same about anyone or anything again. But now I know. Chorus:. When you find a love. When you know that it exists. Then the lover that you miss. Will come to you on those cold, cold nights. When you've been loved. When you know it holds such bliss. Then the lover that you kissed. Will comfort you when there's no hope in sight. Sadness in my eyes. No one guessed and no one tried. You smiled at me like Jesus to a child. Loveless and cold. With your last breath you saved my soul. You smiled at me like Jesus to a child. And what have I learned from all these tears. I've waited for you all those years. Then just when it began he took your love away. But I still say. Chorus. So the words you could not say. I'll sing them for you. And the love we would have made. I'll make it for two. For every single memory. Has become a part of me. You will always be my love. Well I've been loved so I know just what love is. And the lover that I kissed is always by my side. Oh the lover I still miss... was Jesus to a child"
