my boo,"My boo yeah, my boo yeah, my boo boo boo yeah. I'm not trying to be nosy but. Coulda sworn I heard you say. My baby's name. And I know I ain't tripping. His name ain't like no other name. Repeat yourself. I dare you to say it again. Chorus A:. Cause you sitting there talking about. How he be taking you out out out. Then you tell me you be kissing up on your momma's. couch couch couch. Well I don't believe. Chorus B:. My boo yeah, my boo yeah, my boo boo boo yeah. Girl I know that ain't who you're talking to. Cause that's my boo. My boo yeah, my boo yeah, my boo boo boo yeah. Girl you know that ain't even cool. That's my boo. Got to get down to the bottom of it. Tell me everything. Cause I gotta know what's going on. How he do it, where he do it, can you prove it. So comeone tell me again. Chorus A. Chorus B. Oh that's your what. That's your who. Girl funny thing. Cause that's my dude. I ain't the type of be confrontational. But check it out. I'm way to cute for this. Now get your self and walk it out. I know you wish. You'd would have peace. I've caught your stuff left on his boxer briefs. If I was you. I'd hate me too. Now cry a river build a bridge and get on over it. Chorus B. I don't believe it, I don't believe it. Cause I don't know you. I don't believe it, I don't believe it. Cause I trust my boo. I don't believe it, I don't believe it. I don't know you. I, I trust my boo. My boo yeah, my boo yeah, my boo yeah"
what a feeling (flashdance),"First, when there's nothing but a slow glowing dream. That your fear seems to hide deep inside your mind. All alone I have cried silent tears full of pride. In a world made of steel, made of stone. Well I hear the music, close my eyes, feel the rhythm. Wrap around, take a hold of my heart. [Chorus:]. What a feeling, bein's believin'. I can't have it all, now I'm dancin' for my life. Take your passion, and make it happen. Pictures come alive, you can dance right through your life. What a feeling. What a feeling. What a feeling. What a feeling. What a feeling, bein's believin'. I can't have it all, now I'm dancin' for my life. What a feeling"
game over,"You walkin' over like a solider. You should know that if you think you'll ask me, undress me,. Baby, you won't get it. I see you runnin', see you frontin' like you're dangerous. I hear talkin', tick-tokin' t-t-t-talk too much. Boy, whoa, you're just a boy and I n-need a man. Step it up, Step it up, you can't be serious. I'm not her, game over. Step it up, step it up, you can't be serious. I'm not her, game over. G-g-g-g, G-g-g-g, G-g-g-g-get gone. G-g-g-g, G-g-g-g, G-g-g-g-get gone. I hear you holler, pop your collar, Mr. Go-Getter. Already work the room, you think that I don't know better. I know you want it but you're gonna have to bounce alone. The only sex you get tonight is on the p-p-phone. Boy, whoa, you're just a boy and I n-need a man. Step it up, step it up, you can't be serious. I'm not her, game over. Step it up, step it up, you can't be serious. I'm not her, game over. G-g-g-g, G-g-g-g, G-g-g-g-get gone. G-g-g-g, G-g-g-g, G-g-g-g-get gone. You sit there trying to buy me a drink. I see you working like a fool, sure player, yeah, that's what I think. Say what, say what, I'm gonna say so, don't come to me like that. Like I'm a doll do you somehow know I ain't your pussycat. Step it up, step it up, you can't be serious. I'm not her, game over. Step it up, step it up, you can't be serious. I'm not her, game over. G-g-g-g, G-g-g-g, G-g-g-g-get gone. G-g-g-g, G-g-g-g, G-g-g-g-get gone. G-g-g-g, G-g-g-g, G-g-g-g-get gone. G-g-g-g, G-g-g-g, G-g-g-g-get gone"
sorry mama (intro),"I never been good at keeping my promises. and I never said that I was gonna be an angel for ya. I like to do all my dirt at night. I like to stay out until the sun is rising. Need you to understand, hear me out. Listen mama don't you worry. I'm so sorry. But I wanted you to hear it from me. Mama, I'm so sorry. I like to party. I just wanted you to hear it from me. Mama (Repeated). What my mama don't know (Repeated). Ohh I'm such a ....."
maniac,"Lock me up, lock me up, lock me up up up. Lock me up, lock me up, lock me up up up. [Chrystina]. I got a love disorder sick from paranoia. ‘Cause my heart’s been broken before ya. I need some anesthetic ’cause I start to panic. When the feelings get too familiar. And then I get that itch. And my eyes begin to twitch. Dr. Jekyll Mrs. Hyde. Someone is taking over. (Chorus). The walls are shaking now I’m paranoid. Can someone stop the noise in my head. Wow-Oh-Wow-Oh. The clock is ticking I’m about to crack. Just like a maniac on the eh-edge. No-Oh-Wow-O-Wow-Uh-Oh-Oh-Wow-O-Uh-Oh-Oh-Wow-Oh-Wow-Uh-Oh, A Maniac. No-Oh-Wow-O-Wow-Uh-Oh-Oh-Wow-O-Uh-Oh-Oh-Wow-Oh-Wow-Uh-Oh, A Maniac. [Nichole]. Psycho-logic could be schizophrenic. But all I know is I don’t remember. Where they took my feelings, I still mend the whispers. Is it cold ‘cause I got the shivers. Can’t feel my finger tips, saying things that don’t exist. Dr. Jekyll Mrs. Hyde. Which one is taking over. (Chorus). The walls are shaking now I’m paranoid. Can someone stop the noise in my head. Wow-Oh-Wow-Oh. The clock is ticking I’m about to crack. Just like a maniac on the eh-eh-eh-edge. No-Oh-Wow-O-Wow-Uh-Oh-Oh-Wow-O-Uh-Oh-Oh-Wow-Oh-Wow-Uh-Oh, A Maniac. No-Oh-Wow-O-Wow-Uh-Oh-Oh-Wow-O-Uh-Oh-Oh-Wow-Oh-Wow-Uh-Oh, A Maniac. [(Natalie]. Wah, Wah, Wah, Wah. I need a doctor. Blah, Blah, Blah, Blah. Ca-Ca-Ca-Crazy. La, La, La, La. There goes the neighborho-uh-od. The neighborho-uh-od. They should. Lock me up, lock me up, lock me up up up (Uhh-oohh). Lock me up, lock me up, lock me up up up (Ohhhh). (Chorus). The walls are shaking now I’m paranoid (Para-nooooo-id). Can someone stop the noise in my head. Wow-Oh-Wow-Oh. The clock is ticking I’m about to crack (About to cra-yak). Just like a maniac on the eh-edge. No-Oh-Wow-O-Wow-Uh-Oh-Oh-Wow-O-Uh-Oh-Oh-Wow-Oh-Wow-Uh-Oh, (Ohhhh-Woow) A Maniac. No-Oh-Wow-O-Wow-Uh-Oh-Oh-Wow-O-Uh-Oh-Oh-Wow-Oh-Wow-Uh-Oh, (Ohhhh-Woow) A Maniac (A Maniac). Lock me up, lock me up, lock me up up up. lock me up, lock me up, lock me up up up"
face the light,"Dance, d-dance, d-dance, d-dance. Keep it steady, steady rockin'. Don't take your hands off my waist, keep it right there. I wanna feel your body close to mine. You need to press rewind, just love me one more time. Don't hesitate, trying to fake the funk. Don't try and act like you don't like this. You know you wanna fight deep, deep in there. So tell me why you're fighting. You know me baby, I'll break it off. Don't disturb just move, come on. I'm bored, I'm bored but I'm not. I'm not ready to face the light (I'm not ready to face the light). Cause I really wanna dance all night (I wanna dance all night). Cause I'm sizzling from head to toe. There's a reason why I can't see straight no more. I'm not ready to face the light. I just wanna dance all night, dance all night. Keep it steady, steady rockin'. Don't tell me that you're tired already. Cause it's my song, come on, it's lonely on this dance floor. Don't you dare take off yet. Don't hesitate, trying to fake the funk. Don't try and act like you don't like this. You know you wanna fight deep, deep in there. So tell me why you're fighting. You know me baby, I'll break it off. Don't disturb just move, come on. I'm bored, I'm bored but I'm not. I'm not ready to face the light (I'm not ready to face the light). Cause I really wanna dance all night (I wanna dance all night). Cause I'm sizzling from head to toe. There's a reason why I can't see straight no more. I'm not ready to face the light. . I just wanna dance all night, dance all night. Dance all night, dance all night. Keep it steady, steady rockin'. Don't tell me that you're tired already. Cause it's my song, come on, it's lonely on this dance floor. Don't you dare take off yet. Don't hesitate, trying to fake the funk. Don't try and act like you don't like this. You know you wanna fight deep, deep in there. So tell me why you're fighting. You know me baby, I'll break it off. Don't disturb just move, come on. I'm bored, I'm bored but I'm not. I'm not ready to face the light (I'm not ready to face the light). Cause I really wanna dance all night (I wanna dance all night). Cause I'm sizzling from head to toe. There's a reason why I can't see straight no more. I'm not ready to face the light. I just wanna dance all night, dance all night. Dance all night, dance all night. Keep it steady, steady rockin'. Keep it steady, steady rockin'. Keep it steady, steady rockin'. I'm not ready to face the light (I'm not ready to face the light). Cause I really wanna dance all night (I wanna dance all night). Cause I'm sizzling from head to toe. There's a reason why I can't see straight no more. I'm not ready to face the light. I just wanna dance all night, dance all night. Dance all night, dance all night. I just wanna dance all night"
2 in the morning,"BRIDGE. We don't need no lights. Time to shine like a star. Tell the DJ turn it up. Fellas meet me at the bar. It's Girlicious. We don't need no lights. Time to shine like a star. Tell the DJ turn it up. Fellas meet me at the bar. VERSE 1. Inside the last thing. There till the weekend. They're tryna throw us out. But you know we ain't leaving. Gatta drink a little more. Till we stumble out the door. And it's the best that we ever had, Oh. PRE-CHORUS. Grab a girl, grab a guy. Don't be scared, don't be shy. We about to set it off. CHORUS. It's 2 in the morning, get your hands up. If your sitting, stand up!. DJ, better man up!. It's 2 in the morning, on the dance floor. Spinning like a disco. Hit me with the new flow. It's got me signing. La La La La La. It's got me signing. La La La La La. It's got me--. VERSE 2. Call the cops, no it won't even bother me. We won't let 'em in,. Cuz we're over capacity. Sweat dripping down my back,. slide an ice cube down my neck. Imma take another shot and it's on, Hey. PRE-CHORUS. Grab a girl, grab a guy. Don't be scared, don't be shy. We about to set it off. CHORUS. It's 2 in the morning, get your hands up. If your sitting, stand up!. DJ, better man up!. It's 2 in the morning, on the dance floor. Spinning like a disco. Hit me with that new flow. It's got me signing. La La La La La. It's got me signing. La La La La La. It's got me signing. La La La La La. It's got me signing. La La La La La. It's got me signing. La La La La La. BRIDGE. We don't need no lights. Time to shine like a star. Tell the DJ turn it up. Fellas meet me at the bar. We don't need no lights. Time to shine like a star. Tell the DJ turn it up. Fellas meet me at the bar. RAP. Hey Hey. Yeah you can meet me at the bar. If you wanna see the star. I like them diamond rings and things. Don't like them music less it's raw. Imma put my drink up on the bar. Drop, drop it cuz it's low. And do it like it ain't been done before. Imma 5 star chick put it down hardcore like La La La La La. CHORUS. It's 2 in the morning, get your hands up. If your sitting, stand up!. DJ, better man up!. It's 2 in the morning, on the dance floor. Spinning like a disco. Hit me with that new flow. It's 2 in the morning, get your hands up. If your sitting, stand up!. DJ, better man up!. It's 2 in the morning, on the dance floor. Spinning like a disco. Hit me with that new flow. It's got me signing. La La La La La. It's got me signing. La La La La La. It's got me signing. La La La La La. It's got me signing. La La La La La. It's got me signing. La La La La La"
already gone,"I thought that I knew you. Thought that you were true to. Why couldn't I have been right... right. While my spirit wasn't fighting. You were there in hiding. Didn't want to look in the light. While the words have escaped me. The love won't erase me. I just got so... so tired of asking why. While you were acting shady. I realize this shit's crazy. Nothing left to do, but say goodbye, bye bye. Chorus:. Yea I'm already gone. Why are you trying to hold on. Stop trying baby it's too late. Yea I'm already gone. I guess our love wasn't strong. There's nothing left for you to say. Yea I'm gone, yea I'm gone, yea I'm gone. Already gone. Yea I'm gone, yea I'm gone, yea I'm gone. Already gone. Don't want to rewrite it. Go back and define it. There's nothing here to make me stay. Day by day I'm stronger. My heart shows no longer. There's no guilt standing here in my way. While the words have escaped me. The love won't erase me. I just got so... so tired of asking why. While you were acting shady. I realize this shit's crazy. Nothing left to do, but say goodbye, bye bye. Chorus. I'm not gonna look the other way. I can't let myself waste another day. I don't hate you, I don't blame you. I just got to know the truth. I don't hate you, I don't blame you. But I know I'm done with you. Ain't coming back, ain't coming back, ain't coming. back. Ain't coming back, ain't coming back, ain't coming. back. Ain't coming back, ain't coming back, ain't coming. back. Ain't coming back, ain't coming back, ain't coming. back. Chorus"
baby doll,"Intro - Group. I need that spend a stack. Drop it like a Cadillac (x3). Verse 1 - Chrystina. I know why you're here you know. What I'm here for. Your breaking that bread just to save a earfull. Wanna lay me down slow. Let's make this clear tho. I'm worth it, invest it, I'll let you nurse it, caress it on. Pre-chrous - Nichole. Confess it. You know you wanna see me undress it. No pressure, you good right now but you could do better. Chorus - Group. Cause I need it all. Now is that so hard?. I'm your baby doll and I get what I want. Cause I need it all. The furs and stones I'm your baby doll. And that's what I'm on. Verse 2 - Natalie. I need that spend a stack. Drop it like a Cadillac. Things that bling that. Ring on my finger yeah. Verse 3 - Tiffanie. And what I need ain't gotta be material. That car (That house). Ain't what makes me pull near to you. But if you buy that car then I don't only wanna ride. Keep me running all night. Let me put it in overdrive. Pre-chrous - Nichole. Confess it. You know you wanna see me undress it. No pressure, you good right now but you could do better. Chorus - Group. Cause I need it all. Now is that so hard?. I'm your baby doll and I get what I want. Cause I need it all. The furs and stones I'm your baby doll. And that's what I'm on. Verse 4 - Natalie. I need that spend a stack. Drop it like a Cadillac. Things that bling that. Ring on my finger yeah (x2). Verse 5 - Chrystina (Nichole). Are you man enough to give me what I want?. So shine it up and jump off jump off, oh. Looks so good but it hurts. But I'mma make you work. (I'm work every penny, baby don't you forget it). Chorus - Group. Cause I need it all. Now is that so hard?. I'm your baby doll and I get what I want. Cause I need it all. The furs and stones I'm your baby doll. And that's what I'm on. Cause I need it all. Now is that so hard?. I'm your baby doll and I get what I want. Cause I need it all. The furs and stones I'm your baby doll. And that's what I'm on. Verse 6 - Natalie. I need that spend a stack. Drop it like a Cadillac. Things that bling that. Ring on my finger yeah (x2)"
blush,"BLUSH. [Verse 1 - Tiffanie]. Ooh, there you go again. Talking to me without saying a word. Don’t know what it is. That you’re doing when you’re looking at me. Can’t put my finger on it, just know I really want it. Never had, never had, never had. Someone that makes me feel like this. [Chrystina]. I’d go, like a race car or a pilot on the G5. I’d go, like a Hummer or a crook that sees police lights. [Tiffanie]. I wish I know how you do it. When you do it to me baby take you me through it. I lose control of myself. Boy you’re something else. [Chorus]. Boy when you’re staring at me. You do something crazy to me. You’re making me blush. Can’t keep my swag together (blush). You’re the one that’ll say, “I’ll make you better” (blush). You’re making me (blush). You’re making me (blush). You’re making me (blush). You’re making me (blush). [Verse 2 - Chrystina]. Ooh, when you gaze at me. My body be about to burn up. You have your way with me. And baby boy that’s unheard of. ‘Cause I ain’t never let nobody get that close. Of all the guys, you affect me the most. Never been, never been, never been. Looked at the way you look at me. I’d go, like a race car or a pilot on the G5. I’d go, like a Hummer or a crook that sees police lights. I wish I knew how you do it. When you do it to me baby you take you me through it. I lose control of myself. Boy you’re something else. [Chorus]. [Bridge]. Got my face looking all rosy. Like a record baby???. Tried to hide it but boy you exposed me. I think this crush is something special. All because you make me blush. I even like the way you touch me. Like a record babe???. So special (uh huh). Boy you’re something special. All because you make me blush. I even like the way you touch me babe. [Chorus x2]"
