don't stop believin',"Just a small town girl. Livin' in a lonely world. She took the midnight train. Goin' anywhere. Just a city boy. Born and raised in South Detroit. He took the midnight train. Goin' anywhere. A singer in a smokey room. A smell of wine and cheap perfume. For a smile they can share the night. It goes on and on and on and on. Strangers waiting. Up and down the boulevard. Their shadows searching in the night. Streetlights, people. Livin' just to find emotion. Hidin', somewhere in the night. Workin' hard to get my fill. Everybody wants a thrill. Payin' anything to roll the dice. Just one more time. Some will win, some will lose. Some were born to sing the blues. Oh, the movie never ends. It goes on and on and on and on. Strangers waiting. Up and down the boulevard. Their shadows searching in the night. Streetlights, people. Livin' just to find emotion. Hidin', somewhere in the night. Don't stop believin'. Hold on to the feelin'. Streetlights, people...(2x). Don't Stop"
we are young,"Give me a second. I need to get my story straight. My friends are in the bathroom,. Getting higher than the Empire State.. My lover, he is waiting for me. Just across the bar. My seats been taken by some sunglasses. Asking about a scar and,. I know I gave it to you months ago. I know you're trying to forget. But between the drinks and subtle things. The holes in my apologies, you know. I'm trying hard to take it back. So if by the time. The bar closes. And you feel like falling down. I'll carry you home.... Tonight, we are young. So let's set the world on fire. We can burn brighter. Than the sun. Tonight, we are young. So let's set the world on fire. We can burn brighter. Than the sun. Now I know that I'm not. All that you got. I guess that I. I just thought. Maybe we could find new ways to fall apart. But our friends are back. So let's raise a cup. Cause I found someone to carry me home. Tonight, we are young. So let's set the world on fire. We can burn brighter. Than the sun. Tonight, we are young. So let's set the world on fire. We can burn brighter. Than the sun. Carry me home tonight. Just carry me home tonight. Carry me home tonight. Just carry me home tonight. The world is on my side. I have no reason to run. So will someone come and carry me home tonight. The angels never arrived. But I can hear the choir. So will someone come and carry me home. Tonight, we are young. So let's set the world on fire. We can burn brighter. Than the sun. (We are young). Tonight, we are young. So let's set the world on fire. We can burn brighter. Than the sun. So if by the time the bar closes. And you feel like falling down. I'll carry you home tonight"
don't rain on my parade,"Don't tell me not to live. Just sit and putter. Life's candy and the sun's a ball of butter. Don't bring around a cloud to rain on my parade. Don't tell me not to fly. I've simply got to. If someone takes a spill. It's me and not you. Who told you you're allowed to rain on my parade. I'll marching my band out. I'll beating my drum. And if I'm fanned out. Your turn at bat, sir. At least I didn't fake it, hat, sir. I guess I didn't make it. But whether I'm the rose of sheer perfection. A freckle on the nose of life's complexion. The cinder or the shine apple of his eye. I gotta fly once. I gotta try once. Only can die once, right, sir?. Ooh, life is juicy. Juicy and you see. I gotta have my bite, sir. Get ready for me love. 'Cause I'm a ""comer"". I simply gotta march. My heart's a drummer. Don't bring around a cloud to rain on my parade. I'm gonna live and live now. Get what I want, I know how. One roll for the whole shebang. One throw that bell will go clang. Eye on the target and wam. One shot, one gun shot and bang. Hey, Mr. Arnstein, here I am.... I'll march my band out. I'll beat my drum. And if I'm fanned out. Your turn at bat, sir. At least I didn't fake it, hat, sir. I guess I didn't make it. Get ready for me love, 'cause I'm a ""comer"". I simply gotta march, my heart's a drummer. Nobody, no, nobody, is gonna rain on my parade!"
defying gravity,"[Rachel]. Something has changed within me.. Something is not the same,. I'm through with playing by the rules of. someone else's game.. [Kurt]. Too late for second guessing. Too late to go back to sleep. It's time to trust my instincts. Close my eyes and leap. [Ambos]. It's time to try defying gravity. I think I'll try defying gravity. Kiss me goodbye I'm defying gravity. And you won't bring me down. [Rachel]. I'm through accepting limits. Cause someone says they're so. [Kurt]. Somethings I cannot change but 'till. I Try I'll never know. [Rachel]. Too long I've been afraid of. [Kurt]. losing. Love I guess I've lost. [Ambos]. Well if that's love it comes at. Much too high a cost. I'd sooner buy defying gravity. Kiss me goodbye I'm defying gravity. I think I'll try defying gravity. And you won't bring me down. I'd sooner buy defying gravity. Kiss me goodbye I'm defying gravity. I think I'll try defying gravity. And you won't bring me down. Bring me down. [Rachel]. Ahhh - Ahhh!"
i'll stand by you,"Oh, Why you look so sad?. Tears are in your eyes. Come on and come to me now. Don't be ashamed to cry. Let me see you through. Cause I've seen the dark side too.. When the night falls on you. You don't know what to do. Nothing you confess. could make me love you less. I'll stand by you. I'll stand by you. Won't let nobody hurt you. I'll stand by you. So,. If you're mad, get mad. Don't hold it all inside. Come on and talk to me now. Hey, what you've got to hide. I get angry too. But I'm a lot like you. When you're standing at the crossroads. And don't know which path to choose. Let me come along. Cause even if you're wrong.... I'll stand by you. I'll stand by you. Won't let nobody hurt you. I'll stand by you. Take me in into your darkest hour. And I'll never desert you. I'll stand by you. And when,. When the night falls on you baby. You're feeling all alone. You won't be on your own. I'll stand by you. I'll stand by you. Won't let nobody hurt you. I'll stand by you. Take me in into your darkest hour. And I'll never desert you. I'll stand by you. I'll stand by you. Won't let nobody hurt you. I'll stand by you. Won't let nobody hurt you. I'll stand by you. I'll stand by you. Won't let nobody hurt you. I'll stand by you"
a house is not a home,"A chair is still a chair. Even when there's no one sitting there. But a chair is not a house. And a house is not a home. When there's no one there to hold you tight,. And no one there you can kiss good night.. A room is still a room. Even when there's nothing there but gloom;. But a room is not a house,. And a house is not a home. When the two of us are far apart. And one of us has a broken heart.. Now and then I call your name. And suddenly your face appears. But it's just a crazy game. When it ends it ends in tears.. Darling, have a heart,. Don't let one mistake keep us apart.. I'm not meant to live alone.. Turn this house into a home.. When I climb the stair and turn the key,. Oh, please be there still in love with me."
imagine,"Imagine there's no countries. It isn't hard to do. Nothing to kill or die for. And no religion too. Imagine all the people. Living life in peace. You may say, I'm a dreamer. But I'm not the only one. I hope some day you'll join us. And the world will be as one. Imagine no possessions. I wonder if you can. No need for greed or hunger. A Brotherhood of man. Imagine all the people. Sharing all the world. You may say, I'm a dreamer. But I'm not the only one. I hope some day you'll join us. And the world will be as one"
total eclipse of the heart,"(Turn around). Every now and then, I get a little bit lonely and. you're never coming round. (Turn around). Every now and then, I get a little bit tired of. listening to the sound of my tears. (Turn around). Every now and then,. I get a little bit nervous. that the best of all the years have gone by. I get a little bit terrified and then I see the look in your eyes. (Turn around, bright eyes). Every now and then, I fall apart. (Turn around, bright eyes). Every now and then, I fall apart. And I need you now tonight, and I need you more than ever. And if you only hold me tight, we'll be holding on forever. And we'll only be making it right. 'cause we'll never be wrong together. We can take it to the end of the line. Your love is like a shadow on me all of the time. (all of the time). I don't know what to do and I'm always in the dark. We're living in a powder keg and giving off sparks. I really need you tonight. Forever's gonna start tonight. (Forever's gonna start tonight). Once upon a time, I was falling in love. But now, I'm only falling apart. There's nothing I can do. A total eclipse of the heart. Once upon a time, there was light in my life. But now, there's only love in the dark. Nothing I can say. A total eclipse of the heart. (Instrumental Bridge). (Turn around, bright eyes). Every now and then, I fall apart. (Turn around, bright eyes). Every now and then, I fall apart. And I need you now tonight, and I need you more than ever. And if you'll only hold me tight, we'll be holding on forever. And we'll only be making it right. 'cause we'll never be wrong together. We can take it to the end of the line. Your love is like a shadow on me all of the time. (all of the time). I don't know what to do and I'm always in the dark. We're living in a powder keg and giving off sparks. I really need you tonight. Forever's gonna start tonight. (Forever's gonna start tonight). Once upon a time, I was falling in love. But now, I'm only falling apart. There's nothing I can do. A total eclipse of the heart. A total eclipse of the heart. A total eclipse of the heart. (Turn around, bright eyes)"
get it right,"What have I done. Wish I could run. Away from this ship going under. Just trying to help. Hurt everyone else. Now I feel the weight of the world. Is on my shoulders. What can you do. When your good isn't good enough. And all that you touch tumbles down. Cause my best intentions. Keep making a mess of things. I just wanna fix it somehow. But how many times will it take. Oh how many times will it take. For me to get it right. To get it right. Can I start again. With my faith shaken. Cause I can't go back and undo this. I just have to stay and face my mistakes. But if I get stronger and wiser. I'll get through this. What can you do. When your good isn't good enough. And all that you touch tumbles down. Cause my best intentions. Keep making a mess of things. I just wanna fix it somehow. But how many times will it take. Oh how many times will it take. For me to get it right. So I throw up my fist. Throw a punch in the air and. Accept the truth that sometimes life isn't fair. Yeah I'll send out a wish. Yeah I'll send up a prayer. And finally someone will see. How much I care. What can you do. When your good isn't good enough. And all that you touch tumbles down. Oh my best intentions. Keep making a mess of things. Just wanna fix it somehow. But how many times will it take. Oh, how many times will it take. To get it right, to get it right"
la isla bonita,"Como puede ser verdad. Last night I dreamt of san pedro. Just like I'd never gone, I knew the song. A young girl with eyes like the desert. It all seems like yesterday, not far away. Tropical the island breeze. All of nature wild and free. This is where I long to be. La isla bonita. And when the samba played. The sun would set so high. Ring through my ears and sting my eyes. Your spanish lullaby. I fell in love with san pedro. Warm wind carried on the sea, he called to me. Te dijo te amo. I prayed that the days would last. They went so fast. Tropical the island breeze. All of nature wild and free. This is where I long to be. La isla bonita. And when the samba played. The sun would set so high. Ring through my ears and sting my eyes. Your spanish lullaby. Yo quiero estar donde el sol toca cielo. Cuando es hora de siesta tu los puedes ver pasar. Cara tan bellas, si, y no importa nada. Where a girl loves a boy,. And a boy loves a girl. Last night I dream of san pedro. It all seems like yesterday, not far away. Tropical the island breeze. All of nature wild and free. This is where I long to be. La isla bonita. And when the samba played. The sun would set so high. Ring through my ears and sting my eyes. Your spanish lullaby. Tropical the island breeze. All of nature wild and free. This is where I long to be. La isla bonita. And when the samba played. The sun would set so high. Ring through my ears and sting my eyes. Your spanish lullaby. La la la la la la la. Te dijo te amo. La la la la la la la. El dijo que te ama. (la isla bonita). La isla bonita. Bonita, bonita. Spanish lullaby"
the scientist,"Come up to meet you, tell you I'm sorry.. You don't know how lovely you are. Running in circles, coming up tails. Heads on a silence apart. Nobody said it was easy. It's such a shame for us to part. Nobody said it was easy. No one ever said it would be this hard. Oh take me back to the start. I was just guessing at numbers and figures. Pulling the puzzles apart.. Questions of science, science and progress. Don't speak as loud as my heart.. So tell me you love me, come back and haunt me,. Oh, when I rush to the start. Running in circles, chasing in tails. Coming back as we are.. Nobody said it was easy. It's such a shame for us to part. Nobody said it was easy.. No one ever said it would be so hard. I'm going back to the start.. Ooooohhhhhhh"
