take a look at me now,So long to electric fences. Not much left for me to run from now. Guess I'll turn myself around. I'm putting down my defenses. These wings are gonna take me off the ground. It's freedom sweet as sound. And I'll admit that I was wrong. And it is obvious that I'm. Finally taking my fist down. Would you stop and take a look at me now. Could you stop and take a look at me now. When your standing right in front of me. Your looking at the positive that was negative. Would you stop and take a look at me now. Don't know what you get tomorrow. Not sure where I want to go tonight. Isn't that what life's about. So long for the fear and worry. Lets go and you wont be sorry. I'll be the one that gets you out. Chase the demons out tonight. You can see how fast they run. When you turn the lights will shine. Would you stop and take a look at me now. Could you stop and take a look at me now. When your standing right in front of me. Your looking at the positive that was negative. Would you stop and take a look at me now. And it gets more beautiful it gets more beautiful. As the sun turns into rain. And the hurt turns into shame. And it gets more wonderful it gets more wonderful. Can you get this through your brain. That you can not lose again. Would you stop and take a look at me now. Could you stop and take a look at me now. When your standing right in front of me. Your looking at the positive that was negative. Would you stop and take a look at me now
unfriend you,"I really thought you were the one. It was over before it begun. It's so hard for me to walk away. But I know I can't stay. You're beautiful and crazy too. Baby, that's why I fell into you. Even though you would pretend to be. You were never with me. So it's over, yeah we're through so I will unfriend you. You're the best liar I ever knew, so I will. unfriend you. Cause I should have known, right from the start. I'm deleting you right from my heart. Now it's over, my last move is to unfriend you. I thought in time that you could change. That my time and love would heal the pain. I didn't want this day to come. But now all I feel is numb. So it's over, yeah we're through so I will unfriend you. You're the best liar I ever knew, so I will. unfriend you. Cause I should have known, right from the start. I'm deleting you right from my heart. Now it's over, my last move is to unfriend you. You come on to everybody. Everybody all the time. You give up to anybody. What I thought was only mine. So it's over, yeah we're through so I will unfriend you. You're the best liar I ever knew, so I will. unfriend you. Cause I should have known, right from the start. That you didn't have, a human heart,. Yeah it's over, my last move is to unfriend you. Unfriend you, yeah,. Oh,. So I will unfriend you,. Oh,. So I will unfriend you."
twenty one,"I feel electric when we hit the highway. Go to the city, spend some money, and play. I got somebody, and I want them calling my name. Life is so hectic and I need to relax. My friends they tell me that I need to cut back. I live in the moment, burnt sleeves and cigarette ash. Cruising all summer. Cheap drinks, fast toys. Take another fall for a pretty boy. He puts a spell on me, puts a spell on me. Fucks me all up puts a hex on me. Dancing all night. Ripped jeans, red eyes. Take another hit tryna be a cool guy. It fits well on me, you fit well on me. Fuck me all up put your hands on me. One more, baby, have some fun. We only got one year to be 21. I'm feeling perfect when the music's too loud. I'm sick of working, i just want to hang out. I want somebody, i want a stranger in a crowd. Life is so crazy and i think am too. I easily forget ‘bout people it's true. I live in the moment, new faces, vintage tattoos. Cruising all summer. Cheap drinks, fast toys. Take another fall for a pretty boy. He puts a spell on me, puts a spell on me. Fucks me all up puts a hex on me. Dancing all night. Ripped jeans, red eyes. Take another hit tryna be a cool guy. It fits well on me, you fit well on me. Fuck me all up put your hands on me. One more, baby, have some fun. We only got one year to be 21"
take my heart,"Don't have no fancy occupation. I can't fly you to the moon. Ain't got nothing in my pocket. But I got enough love for you. I don't drive a Lamborghini (No, I don't). All my clothes are old and used. Ain't got no house up on the hill girl. But I got enough love for you. Girl what I give. You can't put a price tag on it. You're worth more than gold. And I'll do anything to have it. Spend all my time on you. I ain't got no dime to pay. But if I gave one thing away. Take my heart today. Take my heart today. And let me show you what you've been missing. And show what love is supposed to do. We don't need to mansion or money. Because I got enough love for you. It don't take no rocket science. To know that I'm your dream come true. Let me promise you this one thing. I got enough love for you. (Got so much love for you). Girl what I give. You can't put a price tag on it. You're worth more than gold. And I'll do anything to have it. Spend all my time on you. I ain't got no dime to pay. But if I gave one thing away. Take my heart today. Girl what I give. You can't put a price tag on it. You're worth more than gold. And I'll do anything to have it. Spend all my time on you. I ain't got no dime to pay. But if I gave one thing awa-a-a-ay. Girl what I give. You can't put a price tag on it. You're worth more than gold. And I'll do anything to have it. Spend all my time on you. I ain't got no dime to pay. But if I gave one thing away. Take my heart today"
waiting outside the lines,"You'll never enjoy your life,. living inside the box. You're so afraid of taking chances,. how you gonna reach the top?. Rules and regulations,. force you to play it safe. Get rid of all the hesitation,. it's time for you to seize the day. Instead of just sitting around. and looking down on tomorrow. You gotta let your feet off the ground,. the time is now.... I'm waiting...waiting...just waiting.... I'm waiting...waiting outside the lines. Waiting outside the lines. Waiting outside the lines. Try to have no regrets. even if it's just tonight. How you gonna walk ahead. if you keep living behind?. Stuck in my same position,. you deserve so much more. There's a whole world around us,. just waiting to be explored. Instead of just sitting around. and looking down on tomorrow. You gotta let your feet off the ground,. the time is now, just let it go. The world will force you to smile. I'm here to help you notice the rainbow. Cause I know,. What's in you is out there. I'm waiting...waiting...just waiting.... I'm waiting...waiting outside the lines. Waiting outside the lines. Waiting outside the lines. I'm trying to be patient (I'm trying to be patient). the first step is the hardest (the hardest). I know you can make it,. go ahead and take it. I'm Waiting...waiting...just waiting...I'm waiting. I'm waiting...waiting...just waiting. I'm waiting...waiting outside the lines. Waiting outside the lines. Waiting outside the lines. You'll never enjoy your life. Living inside the box. You're so afraid of taking chances,. How you gonna reach the top?"
low,"I am lost and I don't know where to go no more. I've been hurt but I've never been hurt this much before. I feel lonely, lonely, lonely traveling down this road. They say through time I'll find some healing. But the clock goes slow. I didn't know that I could get this low. And I, and I don't know where to go. And I, and I, know, know. And I, and I don't know where to go. And I, and I, know, know. I see a dark reflection in my dashboard. Don't even know where I'm driving to anymore. I think about us back together someday. What you doing this Sunday. I needed space so I left home. But now I'm desperate for the things I know. Like how you made me laugh on a bad day. Where are you now, I need you babe. And I don't know where to go, yeah. Cause I am lost and I don't know where to go no more. I've been hurt but I've never been hurt this much before. I feel lonely, lonely, lonely traveling down this road. They say through time I'll find some healing. But the clock goes slow. I didn't know that I could get this low. And I, and I don't know where to go. And I, and I, know, know. And I, and I don't know where to go. And I, and I, know, know. Remember older days when we were so young. Riding top down in a city that I used to love. I hear those words you said when you were shit faced. Told me to stop playing all those games. But I wasn't then, and I'm not now. Didn't know how to feel when you broke me down. I needed time to move around without you. But I think I'm ready to hear I love you. And I don't know where to go, yeah. Cause I am lost and I don't know where to go no more. I've been hurt but I've never been hurt this much before. I feel lonely, lonely, lonely traveling down this road. They say through time I'll find some healing. But the clock goes slow. I didn't know that I could get this low. And I, and I don't know where to go. And I, and I, know, know. And I, and I don't know where to go. And I, and I, know, know"
london,"You wandered through every chartered street. Knew where the flowing water goes. And down in every face you meet. You found a sadness, a story untold. You feel all the cries of all the man. You feel all of their fear. And in your voice and in your bed. My mind sees thoughts that I can't hear. Could you leave them all in london?. Could you leave them all there?. Could you run past your devils?. And let your mind be clear. Could you leave them all in london?. Could you leave them all there?. Cause in you, there's an angel. An angel trapped by fear. You're so trapped by fear. You live your life on the line. While every blackening church appals. And all their words run sapless and dry. And they run like bloods. On your apartment walls. You feel every cry of every man. You feel all of their fear. And in your voice and in your bed. My mind sees thoughts that I can't hear. Could you leave them all in london?. Could you leave them all there?. Could you run past your devils?. And let your mind be clear. Could you leave them all in london?. Could you leave them all there?. Cause in you, there's an angel. An angel plagued by fear. Cause in you, there's an angel. An angel trapped by fear. But I'll be here. But I'll be here. I'll be here. Oh, I'll be here. Oh, I'll be here. I'll be here. I'll be here"
sunshine and city lights,"It's taking us downtown. You're watching me, watching me, watching me go. But I never listen. No I never let you know. Now we're heading up town. Is there something or nothing you wanted to say?. 'Cause I need to go now. Do you want me to stay?. Stay.... What you need to know. Is to try and let it go, let it go. What you need to find. Is someone who never will let you go. And oh oh.... And sunshine and city lights will guide you home. And oh oh.... Yeah you gotta know, that I'll never let you go. Now were stuck in mid-town. Surrounded by people and nothing but sound. And were going nowhere. We are the lost and found. We're all over this town. Is there something or nothing you wanted to say?. Do you want me to go now?. 'Cause baby I wanna stay. Stay.... What you need to know. Is to try and let it go, let it go. What you need to find. Is someone who never will let you go. And oh oh.... And sunshine and city lights will guide you home. Woah oh.... Yeah you gotta know, that I will never let you go. And sunshine and city lights. Ooooooh. And sunshine and city lights.... What you need to know. Is to try and let it go, let it go. What you need to find. Is someone who never will let you go. What you need to know. Is to try and let it go, let it go. What you need to find. Is someone who never will let you go. And oh oh... And sunshine and city lights, will guide you home. And oh oh.... Yeah you gotta know, that I'll never let you go"
home is in your eyes,My heart beats a little bit slower. These nights are a lit bit colder. Now that you''re gone. My skies seem a little bit darker. Sweet dreams come a little bit harder. I hate when you''re gone. Everyday time is passing. I''m growing tired of all this traveling. Take me away to where you are. I wanna be holdin' your hand in the sand by the tire swing. Where we used to be. Baby you and me. I traveled a thousand miles. Just so I can see you smile. Feels so far away when you cry ‘cause home is in your eyes. Your heart beats a little bit faster. There''s tears where there used to be laughter. Now that I''m gone. You talk just a little bit softer. Things take just a little bit longer. You hate that I''m gone. Everyday time is passing. I''m growing tired of all this traveling. Take me away to where you are. I wanna be holdin' your hand in the sand by the tire swing. Where we used to be. Baby you and me. I traveled a thousand miles. Just so I can see you smile. Feels so far away when you cry ‘cause home is in your eyes. If I could write another ending. This wouldn''t even be our song. I''d find a way that we would never ever be apart. Right from the start. I wanna be holdin' your hand in the sand by the tire swing. Where we used to be. Baby you and me. I traveled a thousand miles. Just so I can see you smile. Feels so far away when you cry ‘cause home is in your eyes
afterlife,"We talk to the deep of the night. Moving by cigarette light. Waiting for something to spark. But you've left me in the dark. Mistakes that you made in the past. Cutting through you like they're glass. There are no words that can paint. The longing in your face. I just want to hold you. Keep you in my world. But you wanted to go higher. Take the chance and explode. Thought I was more than the afterlife. Thought I was more than the. You're at the edge of your desire. Left the story untold. Thought I was more than the afterlife. Thought I was more than the. More than the, more than the (baby). Love's never clear in a haze. But you feel good in a sway. Calling me up for a ride. I pick you up, we fight. I say the future is yours if you choose. And mine won't exist without you. Nothing I say hits your heart. You keep me in the dark. I just want to hold you. Keep you in my world. But you wanted to go higher. Take the chance and explode. Thought I was more than the afterlife. Thought I was more than the. You're at the edge of your desire. Left the story untold. Thought I was more than the afterlife. Thought I was more than the. More than the, more than the (baby). Don't tell me in my sleep. Don't tell me in my dreams. Don't tell me what you see. Show me with a touch. Show me with some love. Show me you'll stay with me. Don't tell me in my sleep. Don't tell me in my dreams. Don't tell me what you see. Show me with a touch. Show me with some love. Show me you'll stay with me. But you wanted to go higher. Take the chance and explode. Thought I was more than the afterlife. Thought I was more than the. You're at the edge of your desire. Left the story untold. Thought I was more than the afterlife. Thought I was more than the. More than the, more than the (baby)"
