hollaback girl,"Uh huh, this is my shit. All the girls stomp your feet like this. A few times I've been around that track. So it's not just gonna happen like that. Because I ain't no hollaback girl. I ain't no hollaback girl [x2]. Ooooh ooh, this my shit, this my shit [x4]. I heard that you were talking shit. And you didn't think that I would hear it. People hear you talking like that,. getting everybody fired up. So I'm ready to attack, gonna lead the pack. Gonna get a touchdown, gonna take you out. That's right, put your pom-poms downs,. getting everybody fired up. A few times I've been around that track. So it's not just gonna happen like that. Because I ain't no hollaback girl. I ain't no hollaback girl. Ooooh ooh, this my shit, this my shit. So that's right dude, meet me at the bleachers. No principals,no student-teachers. Both of us want to be the winner, but there can only be one. So I'm gonna fight, gonna give it my all. Gonna make you fall, gonna sock it to you. That's right I'm the last one standing,. another one bites the dust. A few times I've been around that track. So it's not just gonna happen like that. Because I ain't no hollaback girl. I ain't no hollaback girl. Ooooh ooh, this my shit, this my shit. Let me hear you say this shit is bananas. B-A-N-A-N-A-S. (This shit is bananas). (B-A-N-A-N-A-S). Again. This shit is bananas. B-A-N-A-N-A-S. (This shit is bananas). (B-A-N-A-N-A-S). A few times I've been around that track. So it's not just gonna happen like that. Because I ain't no hollaback girl. I ain't no hollaback girl. Ooooh ooh, this my shit, this my shit"
the sweet escape (feat. akon),"If I could escape I would but,. First of all, let me say. I must apologize for acting stank. And treating you this way. Cause I've been acting like sour milk all on the floor. It's your fault you didn't shut the refrigerator. Maybe that's the reason I've been acting so cold?. If I could escape and recreate. A place thats my own world. And I could be your favorite girl (forever). Perfectly together. Tell me boy now wouldn't that be sweet? (sweet escape). If I could be sweet. I know I've been a real bad girl. (I'll try to change). I didn't mean for you to get hurt. (whatsoever). We can make it better. Tell me boy now wouldn't that be sweet? (sweet escape). Akon:. I want to get away to our sweet escape. I want to get away, yeah. You held me down,. I'm at my lowest boiling point. Come help me out, I need to get me out of this joint. Come on let's bounce, counting on you to turn me around. Instead of clowning around,. Lets look for some common ground. So baby, times get a little crazy,. I've been gettin' a little lazy. Waitin' on you to come save me. I can see that your angry. By the way that you treat me. Hopefully you don't leave me, wanted you with me. If I could escape and recreate. A place that's my own world. And I could be your favorite girl (forever). Perfectly together. Tell me boy now wouldn't that be sweet? (sweet escape). If I could be sweet. I know I've been a real bad girl. (I'll try to change). I didn't mean for you to get hurt. (whatsoever). We can make it better. Tell me boy now wouldn't that be sweet? (sweet escape). If I could escape. If I could escape. Cause I've been acting like sour milk all on the floor. It's your fault you didn't shut the refrigerator. Maybe that's the reason I've been acting so cold. If I could escape and recreate. A place that's my own world. And I could be your favorite girl (forever). Perfectly together. And tell me boy now wouldn't that be sweet?. (the sweet escape). If I could be sweet. I know I've been a real bad girl. (I'll try to change). I didn't mean for you to get hurt. (whatsoever). We can make it better. And tell me boy now wouldn't that be sweet?. (the sweet escape). Akon:. I want to get away to our sweet escape. I want to get away, yeah"
rich girl (feat. eve),"Na, na, na, na, na, na, na, na, na, na, na, na. Na, na, na, na, na, na, na, na, na, na, na, na. . [Eve]. Come together all over the world. From the hoods of Japan, Harajuku girls. What, it's all love. What, give it up. What (shouldn't matter, what. Come together all over the world. From the hoods of Japan, Harajuku girls. What, it's all love. What, give it up. What (shouldn't matter. [Gwen]. If I was a rich girl (na, na...). See, I'd have all the money in the world. If I was a wealthy girl. No man could test me, impress me. My cash flow would never ever end. Cause I'd have all the money in the world. If I was a wealthy girl. Think what that money could bring. I'd buy everything. Clean out Vivienne Westwood. In my Galliano gown. No, wouldn't just have one hood. A Hollywood mansion if I could. Please book me first-class. To my fancy house in London town. All the riches baby, won't mean anything. All the riches baby, won't bring what your love can bring. All the riches baby, won't mean anything. Don't need no other baby. Your lovin' is better than gold, and I know. If I was rich girl (na, na...). See, I'd have all the money in the world. If I was a wealthy girl. No man could test me, impress me. My cash flow would never ever end. Cause I'd have all the money in the world. If I was a wealthy girl. I'd get me four Harajuku girls to (uh huh). Inspire me and they'd come to my rescue. I'd dress them wicked, I'd give them names (yeah). Love, Angel, Music, Baby. Hurry up and come and save me. All the riches baby, won't mean anything. All the riches baby, won't bring. What your love can bring. All the riches baby, won't mean anything. Don't need no other baby. Your lovin' is better than gold, and I know. [Eve]. Come together all over the world. From the hoods of Japan, Harajuku girls. What, it's all love. What, give it up. What (shouldn't matter, what. Come together all over the world. From the hoods of Japan, Harajuku girls. What, it's all love. What, give it up. What (shouldn't matter. What happened to my life. Turned upside down. Chicks that blew ya mind, ding, it's the second round. (Original track ending, mm). You know you can't buy these things (no). See Stefani and her L. A. M. B. , I rock the Fetish. People, you know who I am. Yes ma'am, we got the style that's wicked. I hope you can all keep up. We climbed all the way from the bottom to the top. Now we ain't gettin' nothin' but love. If I was rich girl (na, na...). See, I'd have all the money in the world. If I was a wealthy girl. No man could test me, impress me. My cash flow would never ever end. Cause I'd have all the money in the world. If I was a wealthy girl. Na, na, na, na, na, na, na, na, na, na, na, na. Na, na, na, na, na, na, na, na, na, na, na, na"
cool,"It's hard to remember how it felt before. Now I found the love of my life. Passes things get more comfortable. Everything is going right. And after all the obstacles. It's good to see you now with someone else. And it's such a miracle that. You and me are still good friends. After all that we've been through. I know we're cool. We used to think it was impossible. Now you call me by my new last name. Memories seem like so long ago. Time always kills the pain. Remember Harbor Boulevard. The dreaming days, where the mess was made. Look how all the kids have grown. We have changed but we're still the same. After all that we've been through. I know we're cool. And I'll be happy for you. If you can be happy for me. Circles and triangles. And now we're hanging out. With your new girlfriend. So far from where we've been. I know we're cool"
used to love you,"Never thought this would happen. Gotta let it sink in, you're gone. I don't know, know what I'm feeling. I must be dreaming, you're gone. Suitcase, band-aids. Pulling back out the driveway. You go, I'll stay. You can keep all the memories. I thought I was the best thing that ever happened to you. I thought you loved me the most. I don't know why I cry. But I think it's cause I remembered for the first time. Since I hated you. That I used to love you. I don't know why I cry. But I think it's cause I remembered for the first time. Since I hated you. That I used to love you. Oh, oh, oh, oh. I used to love you. Oh, oh, oh, oh. I used to love you. You're gone. There were no boundaries. What, you just pushed me too far. I guess nobody taught you. Nobody taught you how to love. Suitcase, band-aids. Pulling back out the driveway. You go, I'll stay. You can keep all the memories. I thought I was the best thing that ever happened to you. I thought you loved me the most. I don't know why I cry. But I think it's cause I remembered for the first time. Since I hated you. That I used to love you. I don't know why I cry. But I think it's cause I remembered for the first time. Since I hated you. That I used to love you. Oh, oh, oh, oh. I used to love you. Oh, oh, oh, oh. I used to love you. You know I was the best thing that ever happened to you. Oh, now look at what you lost. You know I was the best thing that ever happened to you. Now look at what you lost, oh. I don't know why I cry. But I think it's cause I remembered for the first time. Since I hated you. That I used to love you. I don't know why I cry. But I think it's cause I remembered for the first time. Since I hated you. That I used to love you. Oh, oh, oh, oh. I used to love you. Oh, oh, oh, oh. I used to love you. I don't know why I cry. I don't, I don't, I don't. I don't know why I used to love you. I don't, I don't, I don't. I don't know why I cry. I don't, I don't, I don't. I don't know why I used to love you. I don't, I don't, I don't"
jingle bells,"Dashing through the snow. In a one-horse open sleigh. O'er the fields we go. Laughing all the way. Bells on bobtails ring. Making spirits bright. What fun it is to laugh and sing. A sleighing song tonight!. Oh! Jingle bells, jingle bells. Jingle all the way. Oh! What fun it is to ride. In a one-horse open sleigh, hey!. Jingle bells, jingle bells. Jingle all the way. Oh! What fun it is to ride. In a one-horse open sleigh. Now the ground is white. Go it while you're young. Take the girls tonight. And sing this sleighing song. Just get a bobtailed bay. Two forty as his speed. Hitch him to an open sleigh. And crack! You'll take the lead. Oh! Jingle bells, jingle bells. Jingle all the way. Oh! What fun it is to ride. In a one-horse open sleigh, hey!. Jingle bells, jingle bells. Jingle all the way. Oh! What fun it is to ride. In a one-horse open sleigh"
it's my life,Funny how I find myself. In love with you. If I could buy my reasoning. I'd pay to lose. One half won't do. I've asked myself. How much do you. Commit yourself?. It's my life. Don't you forget. It's my life. It never ends. (It never ends). Funny how I blind myself. I never knew. If I was sometimes played upon. Afraid to lose. I'd tell myself. What good you do. Convince myself. It's my life. Don't you forget. It's my life. It never ends. (It never ends). I've asked myself. How much do you. Commit yourself?. It's my life. Don't you forget. Caught in the crowd. It never ends. It's my life. Don't you forget. Caught in the crowd. It never ends. It's my life. Don't you forget. Caught in the crowd. It never ends
make me like you,"I was fine before I met you. I was broken but fine. I was lost and uncertain. But my heart was still mine. I was free before I met you. I was broken but free. All alone in the clear view, but now you are all I see. Hey, wait a minute. No, you can't do this to me. Hey, wait a minute. No, that's not fair. Hey, wait a minute. You're on me like jewelry. I really like you, but I'm so scared. Why'd you have to go and make me like you?. Yeah this is a feeling I'm not used to. Why'd you have to go and make me like you?. I'm so mad at you cause now you got me missing you. Cause now you got me missing you. Something I could get used to. I could get used to this. It's getting harder to leave it. Your lips on my lips. Oh, I can't believe it. How good it could be. Didn't wanna believe it, but now you are all I see. Hey, wait a minute. No, you can't do this to me. Hey, wait a minute. No, that's not fair. Hey, wait a minute. You're on me like jewelry. I really like it, but I'm so scared. Why'd you have to go and make me like you?. Yeah this is a feeling I'm not used to. Why'd you have to go and make me like you?. I'm so mad at you cause now you got me missing you. Cause now you got me missing you. Why'd you have to go and make me like you?. Yeah this is a feeling I'm not used to. Why'd you have to go and make me like you?. I'm so mad at you cause now you got me missing you. Cause now you got me missing you. Oh God, thank God I found you. Oh God, cause now you got me missing you. Oh God, thank I found you. I'm so mad at you cause now you got me missing you. Thank God. Thank God that I found you, oh. Now you got me missing you. Now you got me missing you. Why'd you have to go and make me like you?. Yeah this is a feeling I'm not used to. Why'd you have to go and make me like you?. I'm so mad at you cause now you got me missing you. Cause now you got me missing you. Oh God, thank God I found you. Oh God, cause now you got me missing you. Oh God, thank I found you. I'm so mad at you cause now you got me missing you"
4 in the morning,"Waking up to find another day. The moon got lost again last night. But now the sun has finally had its say. I guess I feel alright. But it hurts when I think. When I let it sink in. It’s all over me. I’m lying here in the dark. Watching you sleep, it hurts a lot. And all I know is. You’ve got to give me everything. Nothing less cause. You know I give you all of me. I give you everything that I am. I’m handin’ over everything that I’ve got. Cause I wanna have a really true love. Don’t ever wanna have to go and give you up. Stay up till four in the morning. And the tears are pouring. And I want to make it worth the fight. What have we been doing for all this time?. Baby if we’re gonna do it, come on do it right. All I wanted was to know I’m safe. Don’t want to lose the love I’ve found. Remember when you said that you would change. Don’t let me down. It’s not fair how you are. I can’t be complete. Can you give me more?. And all I know is. You’ve got to give me everything. Nothing less cause. You know I give you all of me. I give you everything that I am. I’m handing over everything that I’ve got. Cause I wanna have a really true love. Don’t ever wanna have to go and give you up. Stay up till four in the morning. And the tears are pouring. And I want to make it worth the fight. What have we been doing for all this time?. Baby if we’re gonna do it, come on do it right. Oh please, you know what I need. Save all your love up for me. We can’t escape the love. Give me everything that you have. And all I know is. You’ve got to give me everything. Nothing less cause. You know I give you all of me. I give you everything that I am. I’m handing over everything that I’ve got. Cause I wanna have a really true love. Don’t ever wanna have to go and give you up. Stay up till four in the morning. And the tears are pouring. And I want to make it worth the fight. What have we been doing for all this time?. Baby if we’re gonna do it, come on do it right. Give you everything. Give you all of me"
baby don't lie,"We've been walking down this road some time. And you love, and you love me good, no lie. But there's something behind those eyes, those eyes. That you can't, that you can't disguise, disguise. Baby don't, baby don't. Baby don't lie. I don't wanna cry no longer. Baby don't, baby don't. Baby don't lie. I'mma need a love that's stronger. I tell you know, I tell you know. I tell you know, why. Know, why. If you ever give up, then we're gonna die. Look me in the eye, baby don't lie. Baby don't lie. We've been walking down this road some time. And you love, and you love me good, no lie. But there's something behind those eyes, those eyes. That you can't, that you can't disguise, disguise. Baby tell me there's nothing but love. Baby tell me there's nothing but love. Baby don't, baby don't. Baby don't lie. I don't wanna cry no longer. Baby don't, baby don't. Baby don't lie. I'mma need a love that's stronger. I tell you know, I tell you know. I tell you know, why. Know, why. If you ever give up, then we're gonna die. Look me in the eye, baby don't lie. Baby don't lie. What you hiding boy?. What you hiding boy?. I can tell what you've been hiding boy. And you can tell me if I'm getting warm. Am I getting warm?. Am I getting warm?. Am I getting warm?. And you can tell me if I'm getting warm. Baby don't, baby don't. Baby don't lie. I don't wanna cry no longer. Baby don't, baby don't. Baby don't lie. I'mma need a love that's stronger. I tell you know, I tell you know. I tell you know, why. Know, why. If you ever give up, then we're gonna die. Look me in the eye, baby don't lie. Baby don't lie"
