what dreams are made of,Have you ever seen such a beautiful night?. I could almost kiss the stars for shining so bright. When I see you smile and I go. oh oh oh. I would never want to miss this. cause in my heart I know what this is. [Chorus]. Hey now. Hey now. This is what dreams are made of. Hey now. Hey now. This is what dreams are made of. I've got somewhere I belong. I've got somebody to love. This is what dreams are made of. Have you ever wondered what life is about?. You could search the world and never figure it out. you don't have to sail all the oceans. no no no. happiness is no mystery it's. here and now it's you and me. [Chorus]. Hey now. Hey now. This is what dreams are made of. Hey now. Hey now. This is what dreams are made of. I've got somewhere I belong. I've got somebody to love. This is what dreams are made of. Hey now. This is what dreams are made of. hey hey hey hey. Hey now. Hey now. This is what dreams are made of. Open your eyes. (This is what dreams are made of). shout to the sky. (This is what dreams are made of). Then i see you smile and i go. oh oh oh. Yesterday my life was duller. Now everything's technicolor. [Chorus]. Hey now. Hey now. This is what dreams are made of. Hey now. Hey now. This is what dreams are made of. I've got somewhere I belong. I've got somebody to love. This is what dreams. Dreams. This is what dreams are made of. Hey now. Hey now. hey hey hey hey. Hey now. Hey now. hey hey hey hey. Hey now. Hey now. hey hey hey hey. Hey now. hey hey hey hey
come clean,"Let's go back. Back to the beginning. Back to when the earth, the sun, the stars all aligned. 'Cause perfect didn't feel so perfect. Trying to fit a square into a circle. Was no life. I defy. Chorus:. Let the rain fall down. And wake my dreams. Let it wash away. My sanity. 'cause I wanna feel the thunder. I wanna scream. Let the rain fall down. I'm coming clean, I'm coming clean. I'm shedding. Shedding every color. Trying to find a pigment of truth. Beneath my skin. 'Cause different. Doesn't feel so different. And going out is better. Than always staying in. Feel the wind. Chorus:. Let the rain fall down. And wake my dreams. Let it wash away. My sanity. 'Cause I wanna feel the thunder. I wanna scream. Let the rain fall down. I'm coming clean, I'm coming clean. Rain fall down. I'm coming clean. Rain fall down. I hear. Rain Fall Down. Let the rain fall. Let the rain fall. I'm coming.... Chorus:. Let the rain fall down. And wake my dreams. Let it wash away. My sanity. 'Cause I wanna feel the thunder. I wanna scream. Let the rain fall down. I'm coming clean. . I'm coming clean. Oh I'm coming clean. Oh I'm coming clean. Let the rain fall. Let the rain fall. Let the rain fall. I'm coming clean. . Let's go back. Back to the beginning"
wake up,"There's people talking. They talk about me. They know my name,. They think they know everything. But they don't know anything. About me. Give me a dance floor. Give me a DJ. Play me a record, forget what they say. Cause I need to go. Need to get away tonight. I put my make up on saturday night. I try to make it happen. Try make it alright. I know I make mistakes. I'm living life in a day. It's never really easy. But it's ok. Chorus:. Wake up! Wake up!. On a saturday night. Could be New York. Maybe Hollywood and vine. London, Paris maybe Tokyo. Something's going on. Anywhere I go tonight, tonight. Yeah tonight!. The city's restless. It's all around me. People in motion. Sick of all the same routines. And they need to go. They need to get away tonight!. I put my make up on saturday night. I try to make it happen. Try make it alright. I know I make mistakes. I'm living life day to day. It's never realy easy. But it's ok. Chorus:. Wake up! Wake up!. On a saturday night. Could be New York. Maybe Hollywood and vine. London, Paris maybe Tokyo. Something's going on. Anywhere I go tonight, tonight. Yeah tonight!. People all around you. Everywhere that you go. People all around you. They don't really know you. Everybody is watching. Like it's some kind of show. Everybody is watching. They don't really know you now. (They don't really know you). (They don't really know you). And forever. Wake up! Wake up!. Wake up! Wake up!. Wake up! Wake up!. Wake up! Wake up!. Wake up! Wake up!. On a saturday night. Could be New York. Maybe Hollywood and vine. London, Paris maybe Tokyo. Something's going on. Anywhere I go.... Wake up! Wake up!. On a saturday night. Could be New York. Maybe Hollywood and vine. London, Paris maybe Tokyo. Something's going on. Anywhere I go tonight, tonight. Yeah tonight!"
fly,"In a moment, everything can change. Feel the wind on your shoulder. For a minute, all the world can wait. Let go of your yesterday. Can you hear it calling?. Can you feel it in your soul?. Can you trust this longing. And take control?. Fly. Open up the part of you that wants to hide away. You can shine. Forget about the reasons why you can't in life. And start to try. Cause it's your time. Time to fly. All your worries, leave them somewhere else. Find a dream you can follow. Reach for something, when there's nothing left. And the world's feeling hollow. Can you hear it calling?. Can you feel it in your soul?. Can you trust this longing. And take control?. Fly. Open up the part of you that wants to hide away. You can shine. Forget about the reasons why you can't in life. And start to try. Cause it's your time. Time to fly. And when you're down and feeling alone. Just wanna run away. Trust yourself and don't give up. You know you better than anyone else. In a moment, everything can change. Feel the wind on your shoulder. For a minute, all the world can wait. Let go of yesterday. Fly. Open up the part of you that wants to hide away. You can shine. Forget about the reasons why you can't in life. And start to try. Fly. Forget about the reasons why you can't in life. And start to try. Cause it's your time. Time to fly. Any moment, everything can change"
my kind,"Moment of clarity. You're leading me where I follow. And all my insanity. You're real for now. So I keep telling me. You take the weight off my shoulders. You're every missing piece. You're real for now. I let my walls come down tonight. Will let you waste my time. I don't care if it's all a lie. I'm with you for the night. You're taking me, taking me high. You're loving me, you're loving me right. Think you're one of my kind, you're one of my kind. And so for now. Don't want you, don't want you to stop. I promise I won't get enough. Think you're one of my kind, you're one of my kind. Think you're one of my kind, you're one of my, one of my. Think you're one of my kind, you're one of my, one of my. You're standing out from the crowd. Strobe lights on your body. When everyone's fading out. You're real for now. Won't you just take me down. For you I'm the perfect target. I know when the sun comes out. I'm off but now. I let my walls come down tonight. Will let you waste my time. I don't care if it's all a lie. I'm with you for the night. You're taking me, taking me high. You're loving me, you're loving me right. Think you're one of my kind, you're one of my kind. And so for now. Don't want you, don't want you to stop. I promise I won't get enough. Think you're one of my kind, you're one of my kind. Think you're one of my kind, you're one of my, one of my. Think you're one of my kind, you're one of my. We'll be going, till I'm overloading. Even though it's breaking me, breaking me. Tearing me, tearing me. I'll be going, till I'm overloading. Even though it's breaking me, breaking me. I'm with you for the night. You're taking me, taking me high. You're loving me, you're loving me right. Think you're one of my kind, you're one of my, one of my. I'm with you for the night. You're taking me, taking me high. You're loving me, you're loving me right. Think you're one of my kind, you're one of my kind. And so for now. Don't want you, don't want you to stop. I promise I won't get enough. Think you're one of my kind, you're one of my kind. Think you're one of my kind, you're one of my, one of my. Think you're one of my kind, you're one of my. So for now. Don't want you, don't want you to stop. I promise I won't get enough. Think you're one of my kind, you're one of my kind"
sparks,"I can't hear a single word. Just know you're talking 'cause your lips keep movin'. Everything I though I learned. Goes out the window, all I want is one thing. You can promise castles, treasures. Babies, I don't care. 'Cause for now you're just enough for me. I want you near. Like a fairytale to feel your breath. Right on my neck. You remember what I love. So baby take me back. Turn the lights down low. And kiss me in the dark. 'Cause when you're touching me. Baby, I see sparks. You make my heart go. You. You, you make my heart go. You. You, you make my heart go. Ticking, tocking like a bomb. Throws me back to when I had you closer. Skin to skin we get it on. Without the love I feel you going bolder. You can promise castles, treasures. Babies, I don't care. 'Cause for now you're just enough for me. I want you near. Like a fairytale to feel your breath. Right on my neck. You remember what I love. So baby take me back. Turn the lights down low. And kiss me in the dark. 'Cause when you're touching me. Baby, I see sparks. You make my heart go. You. You, you make my heart go. You. You, you make my heart go. Take it all off. From every inch of you. Traveling back in time. Tangled up tight just like. We used to. Now do that thing I like. Turn the lights down low. And kiss me in the dark. 'Cause when you're touching me. Baby, I see sparks. You make my heart go. You. You, you make my heart go. You. You, you make my heart go"
stranger,"Nobody believes me when I tell them that you're out of. your mind. Nobody believes me when I tell them that there's so. much you hide. You treat me like a queen when we go out,. wanna show everyone what our love's about. All wrapped up in me whenever there is a crowd. But when no ones around. Theres no kindness in your eyes. The way you look at me, it's just not right. I can tell whats going on this time. Theres a stranger in my life. You're not the person that I once knew. Are you scared to let them know it's you?. If they could only see you like I do. Then they would see a stranger too. Did I ever do anything that was this cruel to you?. Did I ever make you wonder who was standing in the. room?. You made yourself look perfect in everyway. So when this goes down, I'm the one that will be. blamed. Your plan is working so you can just walk away. Baby, your secret's safe. Theres no kindness in your eyes. The way you look at me, it's just not right. I can tell whats going on this time. Theres a stranger in my life. You're not the person that I once knew. Are you scared to let them know it's you?. If they could only see you like I do. Then they would see a stranger too. Such a long way back, from this place that we were at. When I think of all the time I've wasted,. I could cry. Theres no kindness in your eyes. The way you look at me, it's just not right. I can tell whats going on this time. Theres a stranger in my life. You're not the person that I once knew. Are you scared to let them know it's you?. If they could only see you like I do. Then they would see a stranger too. Theres no kindness in your eyes. The way you look at me, it's just not right. I can tell whats going on this time. Theres a stranger in my life. You're not the person I once knew. Are you scared to let them know it's you?. If they could only see you like I do. Then they would see a stranger too"
someone's watching over me,"I found myself today. Oh, I found myself and ran away. Something pulled me back. Voice of reason I forgot I had. All I know is you're not here to say. What you always used to say. But it's written in the sky tonight. [CHORUS]. So I won't give up. No, I won't break down. Sooner than it seems life turns around. And I will be strong. Even if it all goes wrong. When I'm standing in the dark. I'll still believe. Someone's watching over me. I´ve Seen that red light. And it's shining on my destiny. Shining all the time. And I won't be afraid. To follow everywhere its taking me. All I know is yesterday is gone. And right now I belong. To this moment to my dreams. [REPEAT CHORUS]. It doesn't matter what people say. It doesn't matter how long it takes. Believe in yourself. And you'll fly high. And it only matters how true you are. Be true to yourself. And follow your heart. So I won't give up. No, I won't break down. Sooner than it seems life turns around. And I will be strong. Even if it all goes wrong. When I'm standing in the dark. I'll still believe. That I won't give up. No, I won't break down. Sooner than it seems life turns around. And I will be strong. Even when it all goes wrong. When I'm standing in the dark. I'll still believe. That someone's watching over. Someone's watching over. Someone's watching over me. Yeah, yeah. Oh, oh, someone's watching over me"
happy,"I understand why you're looking for tears in my eyes. Trust me they were there but now the well has been dried. I was in so deep but couldn't get out. I sat on feelings I buried deep down. I knew there come a day when all eyes would cross. And glad its today cause now I am strong. I'm happy and I can thank myself. If it were up to you I'd be in my bed crying. But I'm happy and I know that makes you sad. After all the things you put me through. I'm finally getting over you. I'm happy, I'm happy. There is a reason why we met. I'm glad that we did. But when we broke up. I got back a part of me I really missed. They say you that you brought me down all the time. There were moments I lived without light on my side. I'm happy and I can thank myself. If it were up to you I'd be in my bed crying. But I'm happy and I know that makes you mad. After all the things you put me through. I'm finally getting over you. All the bitterness has passed. And I only wish you. Someone who could do what I can't. I'm happy and I can thank myself. If it were up to you I'd be in my bed crying. But I'm happy and I know that makes you mad. After all the things you put me through. I'm finally getting over you"
why not,"Ah ah ah ya ah ya aha yah laah. Ah ah ah ya ah ya aha yah lah. You think you're going nowhere. When you're walking down the street. Acting like you just don't care. when life could be so sweet. why you wanna be like that. as if there's nothing new. you're not fooling no one. you're not even fooling you. So walk a little slower. and open up your eyes. Sometimes it's so hard to see. The good things passing by. There may never be a sign. No flashing neon light. Telling you to make you move. Or when the time is right. [Chorus]. (So) Why not (why not). Take a crazy chance. Why not (why not). Do a crazy dance. If you lose a moment. You might lose a lot. So why not. Why not. Why not. Take a crazy chance. Why not. Take a crazy chance. You always dress in yellow. When you wanna dress in gold. Instead of listen to your heart. You do just what you're told. You keep waiting where you are. For what you'll never know. Let's just get into your car. And go baby go. [Chorus]. (So) Why not (why not). Take a crazy chance. Why not (why not). Do a crazy dance. If you lose a moment. You might lose a lot. So why not. Why not. Oh. I could be the one for you. Oh, yeah. Maybe yes, maybe no. Oh. It could be the thing to do. What I'm saying is. You gotta let me know. You'll never get to heaven. Or even to L.A. If you don't believe there's a way. Why not (why not). Take a star from the sky. Why not (why not). Spread your wings and fly. Oh, It might take a little. And it might take a lot. But why not. Why not. [Chorus]. (So) Why not (why not). Take a crazy chance. Why not (why not). Do a crazy dance. If you lose a moment. You might lose a lot. So why not. Why not"
