i put a spell on you,I put a spell on you. Because you're mine. You better stop the things you do. I ain't lyin'. I ain't lyin'. You know I can't stand it. You're runnin' around. You know better daddy. I can't stand it. Cause you put me down. I put a spell on you. Because you're mine. I love you. I love you. I love you. I love you anyhow. And I don't care. If you don't want me. I'm yours right now. I put a spell on you. Because you're mine. You know I can't stand it. You're runnin' around. You know better daddy. I can't stand it. Cause you put me down. I put a spell on you. Because you're mine. Because you're mine. Because you're mine
xo (cover acústica),"Flight controllers here. looking very carefully at the situation. Obviously a major malfunction. Your love is bright as ever. Even in the shadows. Baby, kiss me. Before they turn the lights out. Your heart is glowing. And I'm crashing into you. Baby, kiss me. Before they turn the lights out. Before they turn the lights out. Baby, love me lights out. In the darkest night hour. (in the darkest night hour). I search through the crowd. (I search through the crowd). Your face is all that I see. I'll give you everything. Baby, love me lights out. Baby, love me lights out (Xo). You can turn my lights out. We don't have forever. Ooh, baby daylight's wasting. You better kiss me. Before our time has run out. MM, ye-e-eah. Nobody sees what we see. They're just hopelessly gazing. Oh, baby, take me, me. Before they turn the lights out. Before our time has run out. Baby, love me lights out. In the darkest night hour. (in the darkest night hour). I search through the crowd. (I search through the crowd). Your face is all that I see. I'll give you everything. Baby, love me lights out. Baby, love me lights out (Xo). You can turn my lights out. I love you like Xo. You love me like Xo. You kill me, boy, Xo. You love me like Xo. All that I see. Give me everything. Baby, love me lights out. Baby, love me lights out. You can turn my lights out. In the darkest night hour. (in the darkest night hour). I search through the crowd. (I search through the crowd). Your face is all that I see. I'll give you everything. Baby, love me lights out. Baby, love me lights out (Xo). You can turn my lights out"
fourfiveseconds (iza canta rihanna),"I think I've had enough. I might get a little drunk. I say what's on my mind. I might do a little time. 'Cause all of my kindness is taken for weakness. Now I'm fourfiveseconds from wildin'. And we got three more days 'til friday. I'm just tryna make it back home. by monday mornin'. I swear I wish somebody would tell me. Ooh, that's all I want. Woke up an optimist. Sun was shining, I'm positive. Then I heard you was talkin' trash. Hold me back, I'm bout' to spaz. Yeah, 'bout fourfiveseconds from wildin'. And we got three more days 'til friday. I'm tryna make it back home by monday mornin'. I swear I wish somebody would drive it. Ooh, that's all I want. And I know that you're up tonight. Thinking how could I be so selfish. But you called 'bout a thousand times. Wondering where I've been. Now I know that you're up tonight. Thinkin' how could I be so reckless. But I just can't apologize. I hope you can understand, yeah. If I go to jail tonight. Promise you'll pay my bail. See, they want to buy my pride. But that just ain't up for sale. See, all of my kindness, hmm. is taken for weakness. Now I'm fourfiveseconds from wildin'. And we got three more days 'til friday. I'm tryna make it back home by monday mornin'. I swear I wish somebody would tell me. Ooh, that's all I want. Oh, fourfiveseconds from wildin'. And we got three more days 'til friday. Just tryna make it back home by monday mornin'. I swear I wish somebody would tell me. Ooh, that's all I want"
bitch better have my money (iza canta rihanna),"Bitch, better have my money. Y'all should know me well enough. Bitch, better have my money. Please, don't call me on my bluff. Pay me what you owe me. Ballin' bigger than Lebron. Bitch, give me your money. Who y'all think y'all frontin' on?. Like brrap, brrap, brrap. Louis Xii, and it's all on me, nigga. you just bought a shot. Kamikaze if you think. that you gon' knock me off the top. Shit, your wife. in the backseat of my brand new foreign car. Don't act like you forgot. I call the shots, shots, shots. Like brrap, brrap, brrap. Pay me what you owe me. Don't act like you forgot. Bitch, better have my money. Bitch, better have my money. Pay me what you owe me. Bitch, better have my (bitch, better have my). Bitch, better have my (bitch, better have my). Bitch, better have my money. Turn up to Rihanna. while the whole club fuckin' wasted. Every time I drop. I am the only thing y'all playin'. In a drop top, doin' hundred. y'all in my rearview mirror racin'. Where y'all at? Where y'all at?. Where y'all at? Where y'all at?. Like brrap, brrap, brrap. Louis Xii, and it's all on me. nigga, you just bought a shot. Kamikaze if you think. that you gon' knock me off the top. Shit, your wife. in the backseat of my brand new foreign car. Don't act like you forgot. I call the shots, shots, shots. Like brrap, brrap, brrap. Pay me what you owe me. Don't act like you forgot. Bitch, better have my money. Bitch, better have my money. Pay me what you owe me. Bitch, better have my (bitch, better have my). Bitch, better have my (bitch, better have my). Bitch, better have my money. Bitch, better have my money. Pay me what you owe me. Bitch, better have my (bitch, better have my). Bitch, better have my (bitch, better have my). Bitch, better have my money. Bitch, better have my money. Bitch, better have my money. Bitch, bitch, bitch, better have my money. Yo, that bitch better have my money. Hold up, my money. Yo, my money. That bitch better have my money. Bitch, better have my money"
cool for the summer,"Tell me what you want. What you like, it's okay. I'm a little curious too. Tell me if it's wrong. If it's right, I don't care. I can keep a secret, can you?. Got my mind on your body. And your body on my mind. Got a taste for the cherry. I just need to take a bite. Don't tell your mother. Kiss one another. Die for each other. We're cool for the summer (summer). Ooh, ooh, ooh, ooh. Ooh, ooh, ooh, ooh. Take me down into your paradise. Don't be scared, 'cause I'm your body type. Just something that we wanna try. 'Cause you and I. We're cool for the summer. Tell me if I won. If I did, what's my prize?. I just wanna play with you too. Even if they judge. Fuck it, I'll do the time. I just wanna have some fun with you. Got my mind on your body. And your body on my mind. Got a taste for the cherry. I just need to take a bite. Don't tell your mother. Kiss one another. Die for each other. We're cool for the summer (summer). Ooh, ooh, ooh, ooh. Ooh, ooh, ooh, ooh. Take me down into your paradise. Don't be scared, 'cause I'm your body type. Just something that we wanna try. 'Cause you and I (you and I). We're cool for the summer. We're cool for the summer. We're cool for the summer. (Shh, don't tell your mother). Got my mind on your body. And your body on my mind. Got a taste for the cherry. I just need to take a bite. Take me down!. Take me down into your paradise. Don't be scared, 'cause I'm your body type. Just something that we wanna try (wanna try). 'Cause you and I (you and I). We're cool for the summer. (Take me down). We're cool for the summer. (Don't be scared). 'Cause I'm your body type. (Just something). Just something that we wanna try. 'Cause you and I (you and I). We're cool for the summer (summer). Ooh, ooh, ooh, ooh. We're cool for the summer"
fourfiveseconds (iza canta rihanna),"I think I've had enough. I might get a little drunk. I say what's on my mind. I might do a little time. 'Cause all of my kindness is taken for weakness. Now I'm fourfiveseconds from wildin'. And we got three more days 'til friday. I'm just tryna make it back home. by monday mornin'. I swear I wish somebody would tell me. Ooh, that's all I want. Woke up an optimist. Sun was shining, I'm positive. Then I heard you was talkin' trash. Hold me back, I'm bout' to spaz. Yeah, 'bout fourfiveseconds from wildin'. And we got three more days 'til friday. I'm tryna make it back home by monday mornin'. I swear I wish somebody would drive it. Ooh, that's all I want. And I know that you're up tonight. Thinking how could I be so selfish. But you called 'bout a thousand times. Wondering where I've been. Now I know that you're up tonight. Thinkin' how could I be so reckless. But I just can't apologize. I hope you can understand, yeah. If I go to jail tonight. Promise you'll pay my bail. See, they want to buy my pride. But that just ain't up for sale. See, all of my kindness, hmm. is taken for weakness. Now I'm fourfiveseconds from wildin'. And we got three more days 'til friday. I'm tryna make it back home by monday mornin'. I swear I wish somebody would tell me. Ooh, that's all I want. Oh, fourfiveseconds from wildin'. And we got three more days 'til friday. Just tryna make it back home by monday mornin'. I swear I wish somebody would tell me. Ooh, that's all I want"
i put a spell on you,I put a spell on you. Because you're mine. You better stop the things you do. I ain't lyin'. I ain't lyin'. You know I can't stand it. You're runnin' around. You know better daddy. I can't stand it. Cause you put me down. I put a spell on you. Because you're mine. I love you. I love you. I love you. I love you anyhow. And I don't care. If you don't want me. I'm yours right now. I put a spell on you. Because you're mine. You know I can't stand it. You're runnin' around. You know better daddy. I can't stand it. Cause you put me down. I put a spell on you. Because you're mine. Because you're mine. Because you're mine
rehab (música boa ao vivo),"They tried to make me go to rehab. But I said: No, no, no. Yes, I've been black, but when I come back. You'll know-know-know. I ain't got the time. And if my daddy thinks I'm fine. He's tried to make me go to rehab. But I won't go, go, go. I'd rather be at home with Ray. I ain't got seventy days. 'Cause there's nothing. There's nothing you can teach me. That I can't learn from Mr. Hathaway. I didn't get a lot in class. But I know it don't come in a shot glass. They tried to make me go to rehab. But I said: No, no, no. Yes, I've been black, but when I come back. You'll know-know-know. I ain't got the time. And if my daddy thinks I'm fine. He's tried to make me go to rehab. But I won't go, go, go. The man said: Why do you think you're here?. I said: I got no idea. I'm gonna, I'm gonna lose my baby. So I always keep a bottle near. He said: I just think you're depressed. Kiss me here, baby, and go rest. They tried to make me go to rehab. But I said: No, no, no. Yes, I've been black, but when I come back. You'll know, know, know. I don't ever want to drink again. I just, ooh, I just need a friend. I'm not going to spend ten weeks. And have everyone think I'm on the mend. It's not just my pride. It's just 'til these tears have dried. They tried to make me go to rehab. But I said: No, no, no. Yes, I've been black, but when I come back. You'll know-know-know. I ain't got the time. And if my daddy thinks I'm fine. He's tried to make me go to rehab. But I won't go, go, go"
work (iza canta rihanna),"Work, work, work, work, work, work. He said me haffi. Work, work, work, work, work, work. He see me do mi. Dirt, dirt, dirt, dirt, dirt, dirt!. So me put in. Work, work, work, work, work, work. When you ah guh. Learn, learn, learn, learn, learn. Meh nuh cyar if him. Hurt, hurt, hurt, hurt, hurting. Dry me ah desert him. Nuh time to have you lurking. Him ah go act like he nah like it. You know I dealt with you the nicest. Nuh body touch me in the righteous. Nuh botha text me in a crisis. I believed all of your dreams, adoration. You took my heart and my keys and my patience. You took my heart on my sleeve for decoration. You mistaken my love. I brought for you for foundation. All that I wanted from you was to give me. Something that I never had. Something that you've never seen. Something that you've never been!. MM. But I wake up and act like nothing's wrong. Just get ready fi. Work, work, work, work, work, work. He said me haffi. Work, work, work, work, work, work!. He see me do mi. Dirt, dirt, dirt, dirt, dirt, dirt!. So me put in. Work, work, work, work, work, work. Ner ner ner ner ner ner!. When you a guh ner ner ner ner ner ner!. Before the tables turn turn. turn turn turn turn!. Beg you something please. Baby don't you leave. Don't leave me stuck here in the streets. uh huh. If I get another chance to. I will never, no never neglect you. I mean who am I to hold your past against you?. I just hope that it gets to you. I hope that you see this through. I hope that you see this true. What can I say?. Please recognize I'm tryin', babe. I have to. Work, work, work, work, work, work. He said me haffi. Work, work, work, work, work, work!. He see me do mi. Dirt, dirt, dirt, dirt, dirt, dirt!. So me put in. Work, work, work, work, work, work. When you ah guh. Learn, learn, learn, learn, learn. Meh nuh cyar if him. Hurt, hurt, hurt, hurt, hurting. [Drake]. Yeah, okay. You need to get done, done. done, done at work, come over. We just need to slow the motion. Don't give that away to no one. Long distance, I need you. When I see potential. I just gotta see it through. If you had a twin, I would still choose you. I don't wanna rush into it, if it's too soon. But I know you need to get done. done, done, done. If you come over. Sorry if I'm way less friendly. I got niggas tryna end me, oh. I spilled all my emotions tonight, I'm sorry. Rollin', rollin', rollin', rollin', rollin'. How many more shots until you're rollin'?. We just need a face to face. You could pick the time and the place. You spent some time away. Now you need to forward and give me all the. Work, work, work, work, work, work. He said me haffi. Work, work, work, work, work, work. He se me do mi. Dirt, dirt, dirt, dirt, dirt, dirt!. So me put in. Work, work, work, work, work, work. When you ah guh. Learn, learn, learn, learn, learn. Meh nuh cyar if him. Hurt, hurt, hurt, hurt, hurting. MM, mm. MM, mm. Work, work, work, work, work, work. MM, mm"
xo (cover acústica),"Flight controllers here. looking very carefully at the situation. Obviously a major malfunction. Your love is bright as ever. Even in the shadows. Baby, kiss me. Before they turn the lights out. Your heart is glowing. And I'm crashing into you. Baby, kiss me. Before they turn the lights out. Before they turn the lights out. Baby, love me lights out. In the darkest night hour. (in the darkest night hour). I search through the crowd. (I search through the crowd). Your face is all that I see. I'll give you everything. Baby, love me lights out. Baby, love me lights out (Xo). You can turn my lights out. We don't have forever. Ooh, baby daylight's wasting. You better kiss me. Before our time has run out. MM, ye-e-eah. Nobody sees what we see. They're just hopelessly gazing. Oh, baby, take me, me. Before they turn the lights out. Before our time has run out. Baby, love me lights out. In the darkest night hour. (in the darkest night hour). I search through the crowd. (I search through the crowd). Your face is all that I see. I'll give you everything. Baby, love me lights out. Baby, love me lights out (Xo). You can turn my lights out. I love you like Xo. You love me like Xo. You kill me, boy, Xo. You love me like Xo. All that I see. Give me everything. Baby, love me lights out. Baby, love me lights out. You can turn my lights out. In the darkest night hour. (in the darkest night hour). I search through the crowd. (I search through the crowd). Your face is all that I see. I'll give you everything. Baby, love me lights out. Baby, love me lights out (Xo). You can turn my lights out"
