feliz navidad,"Feliz Navidad. Feliz Navidad. Feliz Navidad. Prospero año y felicidad. Feliz Navidad. Feliz Navidad. Feliz Navidad. Prospero antilde;o y felicidad. I wanna wish you a merry Christmas. I wanna wish you a merry Christmas. I wanna wish you a merry Christmas. From the bottom of my heart. I wanna wish you a merry Christmas. I wanna wish you a merry Christmas. I wanna wish you a merry Christmas. From the bottom of my heart. Feliz Navidad. Feliz Navidad. Feliz Navidad. Prospero año y felicidad. Oh!. Feliz Navidad. Feliz Navidad. Oh, feliz Navidad. Prospero año y felicidad. I wanna wish you a merry Christmas. I wanna wish you a merry Christmas. I wanna wish you a merry Christmas. From the bottom of my heart. I wanna wish you a merry Christmas. I wanna wish you a merry Christmas. I wanna wish you a merry Christmas. From the bottom of my heart. I wanna wish you a merry Christmas. I wanna wish you a merry Christmas. I wanna wish you a merry Christmas. From the bottom of my heart, oh!. I wanna wish you a merry Christmas. I wanna wish you a merry Christmas. I wanna wish you a merry Christmas. From the bottom of my heart, yeah!. Feliz Navidad. Feliz Navidad. I wanna wish you a merry Christmas. From the bottom of my heart!. . English Translation:. Merry Christmas. Merry Christmas. Merry Christmas. Prosperous year and happiness. . Written Jose Feliciano. J & H Publishing Co. (ASCAP) (Adm. by Stollman & Grubman). Drums: Javier Solis. Percussion: Ken Lewis. Bass Guitar: Abel Orta. Guitars: Michael Ripoll. Keyboards: Kent Hooper. Trumpet: Mike Haynes. Strings: David Davidson"
i promise,"I Promise. Lord, You know my heart. And all my desires. And the secret things I\'ll never tell.. Lord, You know them well.. Though I may be young,. I see and understand. That at times, like sheep, we go astray. And things get out of hand.. So I promise to be true to You,. To live my life in purity. As unto You, waiting for the day. When I hear You say,. Here is the one I have created. Just for you.. Until then, O Lord. I will be content. Knowing that true love will come someday.. It will only come from You.. \'Cause I have seen the suffering. That loneliness can cause. When we choose to give our love away. Without a righteous cause.. So I promise to be true to You,. To live my life in purity. As unto You, waiting for the day. When I hear You say,. Here is the one I have created. Just for you.. ."
you're my god,"A new day was beginning. And all the birds were singing. The sun was shining up in the sky. Sometimes the world around me. Is so awesome it astounds me. It leaves me feeling mystified. Oh I just can't believe. All the beauty I see. It takes my breath away. Sometimes I've gotta say. CHORUS. You're my God. What You've created. So many miracles in every day. You're my God. It's so amazing. It's so incredible I've gotta say. You're my God. I can't even imagine. How He made it happen. To see the silver moon from afar. It's almost unbelievable. It's truely unconceivable. To think of all the billions of stars. When I'm watching a rose. How it naturally grows. Just takes my breath away. There's just one thing to say. CHORUS. Oh all the gifts You've given me. Oh what You do's a mystery, just to be,. Ya got me fallin' to my knees. Oh I just can't believe"
lost without you,"I know I can be a little stubborn sometimes. You might say a little righteous and too proud. I was looking for a way to compromise. Thinking maybe I could work things out. I thought I had all the answers. Never givin' in. But You loved me all along. And I admit that I was wrong. All I know is I'm lost without You. I'm not gonna lie. I could never be strong without You. I need You by my side. If I ever thought we'd never be together. 'Cause of all my foolish pride. Don't know what I'd do. I'm lost without You. I keep tryin' to find my way. But all I know is I'm lost without You. I keep tryin' to face the day. But I'm lost without You. You're the only one who gets rid of these blues. When I fall, You'll catch me every time. The way You give me clarity when I'm confused. Just to hear Your voice can ease my mind. Oh, my world's so cold at night. When I wonder far away. Only You can make it right. No, I'm not too proud to say. All I know is I'm lost without You. I'm not gonna lie (I will not lie). I could never be strong without You. I need You by my side. If I ever thought we'd never be together. 'Cause of all my foolish pride. Don't know what I'd do. I'm lost without You. I keep tryin' to find my way. But all I know is I'm lost without You. I keep tryin' to face the day. But I'm lost without You. I know that You can hear me now. You make the pain just go away. Stop all the tears from running down my face. All I know is I'm lost without You. I'm not gonna lie. I could never be strong without You. I need You by my side. If I ever thought we'd never be together. 'Cause of all my foolish pride. Don't know what I'd do. I'm lost without You. I keep tryin' to find my way. But all I know is I'm lost without You. I keep tryin' to face the day."
where i belong,"Sometimes I'm saddened by the choices I've made. So many tears I have cried. Got what I wanted but the dream seemed to fade. Still feeling unsatisfied. But You saved me. Forgave me. How You've shown. You'd never leave me all alone. Oh, Lord. Every time I lose my place. The beauty of Your grace. Shines a light so I can see. Every time I lose my way. You make it all O.K.. I feel You're love surrounding me. You are here, calming my fears. You lead me back with Your sweet song. You're where I belong. You're always there to guide me through my mistakes. You've never once left my side. The way You pick me up each time my heart breaks. The way You always stood by. I'd feel You. You'd move right through my heart. We never really were apart. Oh, Lord. Every time I lose my place. The beauty of Your grace. Shines a light so I can see. Every time I lose my way. You make it all O.K.. I feel You're love surrounding me. You are here calming my fears. You lead me back with Your sweet song. You're where I belong. I will always put my faith in You. 'Cause I know You understand. I will try my best to follow You. 'Cause I know You've got a plan. Just to have You in my life. Is far more than enough. You are everywhere around me now. I can feel Your precious love. All the wonders of Your ways. I'm constantly amazed. How You make me safe and sound. It's the way You lift me up. You've given me so much. Only You would never let me down. You are here calming my fears. You lead me back with Your sweet song. You're where I belong"
imagine me without you,"Verse 1:. As long as stars shine down from heaven. And the rivers run into the sea. 'Til the end of time, forever. You're the only love I'll need. In my life, you're all that matters. In my eyes, the only truth I see. When my hopes and dreams have shattered. You're the one that's there for me. When I found you I was blessed. And I will never leave you. I need you. Chorus:. Imagine me without you. I'd be lost and so confused. I wouldn't last a day. I'd be afraid without you there to see me through. Imagine me without you. Lord, you know it's just impossible. Because of you. It's all brand new. My life is now worth while. I can't imagine me without you. Verse 2:. When you caught me I was falling. Your love lifted me back on my feet. It was like you heard my calling. And you rushed to set me free. When I found you I was blessed. And I will never leave you. I need you. Chorus. When I found you I was blessed. And I will never leave you. I need you. Chorus. I can't imagine me without you...."
with all my soul,"Beneath bright stars. Where children seek in a world gone crazy. Reveal your scars (when). My flesh is weak and my mind is hazy. The breath I breathe. Is mine to hold only for a moment. I need to believe in. Divine control, eternal flowing. I’m lifting up my hands. I’m opening my heart. I’m trusting You with all my soul. Chorus. I’m giving up. I’m letting go. ‘Cause I need You to take control. I’m giving up. I’m letting go. I’m trusting You with all my soul. With all my soul. From dusk to dawn. The sun still shines on devout pretenders. That girl is gone. Lord touch my eyes I will surrender. When skies are dark. My spirit cries for Your love only. Reveal Your heart. Please show me the light dear God most holy. I’m reaching for the truth. I’m opening up my eyes. I’m trusting You with all my soul. Chorus. If I let go of it all. I need You to break my fall. Like a faithful child. I’m calling out to You. I’m reaching out for You. Chorus"
tonight,"Sometimes I feel the rain. Fall on the twilight of the day. Watch the world fade away. Through all the stains of time. In the far corner of my mind. All the dreams I left behind. You`ll find. But tonight, I`m gonna live in your world. Where the stars come out and find you beautiful. Yeah tonight, I wanna live in your world. Where the stars come out and call you beautiful. Once I felt it all. The fear and freedom of the fall. Empty rooms and barren walls. And now the cold remains. From all the fallout of the day. Let it all fade away. I pray. That tonight, I`m gonna live in your world. Where the stars come out and find you beautiful. Yeah tonight, I wanna live in Your world. Where the stars come out and call you beautiful. Beautiful. Tonight, I`m gonna live in your world. Where the stars come out and find you beautiful. Yeah tonight, I wanna live in your world. Where the stars come out and call you beautiful. Beautiful. Beautiful"
something beautiful,"To pick up the pieces. Of all my broken promises. I might as well say I'm good enough. Only when failing. In need of saving. Can I surrender my life to Yours. When it's all said and done. Let this be real. This strength from above. I hope they see. Chorus. Something beautiful. Something wonderful. You are supernatural. The way You change my life. To something beautiful. I've taken chances. I've tried out romances. I want to breathe in all You've given me. Stepping out means I'm. Tripping and falling. Your loving hands would never let me, let me hit the floor. When it's all said and done. Let this be real. This strength from above. I hope they see. Chorus"
adore,"From the moment You opened my eyes. I have seen the world in a different light. From the dawn to the setting sun. I am overwhelmed. By all that You have done. Adore, adore, adore. Jesus I adore You, Yes I. Adore, adore, adore, adore. Jesus I adore You. And I lay my life before You, O Lord. There's a union of two becoming one. Deep inside my heart. I know that I belong. You have given everything to me. The least that I can do. Is give it back to You. Adore, adore, adore. Jesus I adore You, Yes I. Adore, adore, adore, adore. Jesus I adore You. And I lay my life before You, O Lord. And all I am and ever will be. Is for You, Lord. And everything within me cries. Adore, adore, adore. Jesus I adore You, Yes I. Adore, adore, adore, adore. Jesus I adore You. And I lay my life before You, O Lord. And I lay my life before You. I long to love and adore You. I lay my life before You, O Lord. I adore You."
