naked,"Hey, you there. Can we take it. To the next level. Baby, do you dare?. Don't be scared. 'Cause if you can say the words. I don't know Why I should care. 'Cause here I am. I'm giving all I can. But all you ever do is mess it up. Yeah, I'm right here. I'm trying to make it clear. that getting half of you. just ain't enough. I'm not gonna wait until you're done. Pretending you don't need anyone. I'm standing here naked (naked, naked). I'm standing here naked (naked, naked). I'm not gonna try til' you decide. You are ready to swallow all you pride. I'm standing here naked (naked, naked). I'm standing here naked (naked, naked). Hey, get out. I've got nothing left to give. And you give me nothing now. Read, my mouth. If you ever want me back. Than your walls need breaking down. 'Cause here I am. I'm giving all I can. But all you ever do is mess it up. Yeah, I'm right here. I'm trying to make it clear. that getting half of you. just ain't enough. I'm not gonna wait until you're done. Pretending you don't need anyone. I'm standing here naked (naked, naked). I'm standing here naked (naked, naked). (Can you see I'm naked). I'm not gonna try til' you decide. You are ready to swallow all you pride. I'm standing here naked (naked, naked). I'm standing here naked (naked, naked). Ooh, I wanna give you everything. I wanna give you everything. I wanna give you everything. I wanna give you everything. I'm not gonna wait until you're done. Pretending you don't need anyone. Can't you see I'm naked (naked, naked). Standing here I'm naked (naked, naked). I'm not gonna try til' you decide. You are ready to swallow all you pride. I'm standing here naked (naked, naked). I'm standing here naked (naked, naked). I'm standing. I'm standing"
say you won't let go,"I met you in the dark. You lit me up. You made me feel as though. I was enough. We danced the night away. We drank too much. I held your hair back when. You were throwing up. Then you smiled over your shoulder. For a minute, I was stone cold sober. I pulled you closer to my chest. And you asked me to stay over. I said ""I already told ya. I think that you should get some rest"". I knew I loved you then. But you'd never know. Cause I played it cool when I. Was scared of letting go. I knew I needed you. But I never showed. But I wanna stay with you. Until we're grey and old. Just say you won't let go. Just say you won't let go. I'll wake you up with some breakfast in bed. I'll bring you coffee. With a kiss on your head. And I'll take the kids to school. Wave them goodbye. And I'll thank my lucky stars. For that night. When you looked over your shoulder. For a minute, I forget that I'm older. I wanna dance with you right now, oh. And you look as beautiful as ever. And I swear that everyday you'll get better. You make me feel this way somehow. I'm so in love with you. And I hope you know. Darling, your love is more. Than worth its weight in gold. We've come so far my dear. Look how we've grown. And I wanna stay with you. Until we're grey and old. Just say you won't let go. Just say you won't let go. I wanna live with you. Even when we're ghosts. Cause you were always there for me. When I needed you most. I'm gonna love you till. My lungs give out. I promise, till death we part. Like in our vows. So I wrote this song for you. Now everybody knows. That it's just you and me. Until we're grey and old. Just say you won't let go. Just say you won't let go. Just say you won't let go. Oh, just say you won't let go"
impossible,"I remember years ago. Someone told me I should take. Caution when it comes to love. I did. And you were strong and I was not. My illusion, my mistake. I was careless, I forgot. I did. And now when all is done. There is nothing to say. You have gone and so effortlessly. You have won. You can go ahead tell them. Tell them all I know now. Shout it from the rooftops. Write it on the skyline. All we had is gone now. Tell them I was happy. And my heart is broken. All my scars are open. Tell them what I hoped would be. Impossible, impossible. Impossible, impossible. Falling out of love is hard. Falling for betrayal is worst. Broken trust and broken hearts. I know, I know. Thinking all you need is there. Building faith on love and words. Empty promises will wear. I know, I know. And now when all is gone. There is nothing to say. And if you're done with embarrassing me. On your own you can go ahead tell them. Tell them all I know now. Shout it from the rooftops. Write it on the skyline. All we had is gone now. Tell them I was happy. And my heart is broken. All my scars are open. Tell them what I hoped would be. Impossible, impossible. Impossible, impossible. I remember years ago. Someone told me I should take. Caution when it comes to love. I did. Tell them all I know now. Shout it from the rooftops. Write it on the skyline. All we had is gone now. Tell them I was happy. And my heart is broken. Oh, oh, oh, oh. hoped would be. Impossible, impossible. Impossible, impossible. Impossible, impossible. Impossible, impossible"
can i be him,"You walked into the room. And now my heart has been stolen. You took me back in time. To when I was unbroken. Now you're all I want. And I knew it from the very first moment. Cause a light came on when I heard that song. And I want you to sing it again. I swear that every word you sing. You wrote them for me. Like it was a private show. But I know you never saw me. When the lights come on and I'm on my own. Will you be there to sing it again. Could I be the one you talk. About in all your stories. Can I be him. I heard there was somone. But I know he don't deserve you. If you were mine I'd never. Let anyone hurt you. I wanna dry those tears, kiss those lips. It's all that I've been thinking about. Cause a light came on. When I heard that song. And I want you to sing it again. I swear that every word you sing. You wrote them for me. Like it was a private show. But I know you never saw me. When the lights come on and I'm on my own. Will you be there to sing it again. Could I be the one you talk about. In all your stories. Can I be the one. Can I be the one. Can I be the one. Oh, can I, can I be him. Won't you sing it again. Oh, when you sing it again. Can I be him. Won't you sing it again. Oh, when you sing it again. Can I be him. I swear that every word you sing. You wrote them for me. Like it was a private show. But I know you never saw me. When the lights come on and I'm on my own. Will you be there, will you be there. Can I be the one you talk about. In all your stories. Can I be him. Can I be him. Can I be him. Can I be him"
rewrite the stars (with anne-marie),"You know I want you. It's not a secret I try to hide. You know you want me. So don't keep saying our hands are tied. You claim it's not in the cards. And fate is pulling you miles away. And out of reach from me. But you're here in my heart. So who can stop me if I decide. That you're my destiny?. What if we rewrite the stars?. Say you were made to be mine. Nothing could keep us apart. You'd be the one I was meant to find. It's up to you, and it's up to me. No one can say what we get to be. So why don't we rewrite the stars?. Maybe the world could be ours. Tonight. You think it's easy. You think I don't want to run to you. But there are mountains (There are mountains). And there are doors that we can't walk through. I know you're wondering why. Because we're able to be. Just you and me. Within these walls. But when we go outside. You're gonna wake up and see. That it was hopeless after all. No one can rewrite the stars (Rewrite the stars). How can you say you'll be mine?. Everything keeps us apart. And I'm not the one you were meant to find. (I'm not the one you were meant to find). It's not up to you, it's not up to me, yeah. When everyone tells us what we can be (Tells us what we can). And how can we rewrite the stars?. Say that the world can be ours tonight (Be ours). All I want is to fly with you. All I want is to fall with you. So just give me all of you. It feels impossible. It's not impossible. Is it impossible?. Say that it's possible. And how do we rewrite the stars?. Say you were made to be mine. And nothing can keep us apart. 'Cause you are the one I was meant to find. It's up to you, and it's up to me. No one could say what we get to be. And why don't we rewrite the stars?. Changing the world to be ours. You know I want you. It's not a secret I try to hide. But I can't have you. We're bound to break and my hands are tied"
always,"Well, let me paint you a picture. Introduce some non-fiction. And you can watch how the truth unfolds. And I will wait till the morning. And you can tell me how nightmares. But they don't visit you in your dreams. And as you walk out the door. You will tell me that I'm right. And I will ask you, ""just what for? "". And you will tell me that tonight. That I'm the one to keep you warm. And I will look at you and smile. And you will tell me that I'm. Everything. That you wanted, that you needed. Everything. That you wanted, that you needed. And you don't want me to go away. Baby I'm here to stay. Always. Always. And your friends can go to hell. If when your backs turned. They twist the knife. Then lesson learned. No need to hold the burden of those. Glances over your shoulder. Don't you let them make you feel like you're worthless. You're worth more than anyone I have ever met before. And when I watch you, I'm in awe. And I'm here to reassure. That I'm the one to keep you warm. And I will look at you and smile. And I will tell you that you're. Everything. That I wanted, that I needed. Everything. That I wanted, that I needed. And I don't want you to go away. Baby I hope you'll stay. Always. I hope you'll stay. Always. Well, I hope you'll stay. Always. And I hope you'll stay. Always. Darling you are safe. No need to run away. I'll protect you I swear. Every single day. I made a promise I won't break. That I will love you everyday. With every piece of my soul. Every inch of my heart. And I will not forget that. And I will not forget that. Oh, my darling you are. Everything. That I wanted, that I needed. Everything. That I wanted, that I needed. Everything. That you wanted, that you needed. Everything. That you wanted, that you needed. And I don't you to go away. I hope you're here to stay. Always. You're here to stay. Always. I hope you're here to stay. Always. Cause I'm here to stay. Always"
empty space,"I don't see you. You're not in every window I look through. And I don't miss you. You're not in every single thing I do. I don't think we're meant to be. And you are not the missing piece. I won't hear it. Whenever anybody says your name. And I won't feel it. Even when I'm burstin' into flames. I don't regret the day I left. I don't believe that I was blessed. I'm probably lyin' to myself, again. I'm alone in my head. Looking for love in a stranger's bed. But I don't think I'll find it. 'Cause only you could fill this empty space. I wanna tell all my friends. But I don't think they would understand. It's somethin' l've decided. 'Cause only you could fill this empty space. Space, space. This empty space. Space, space. This—. 'Cause only you could fill this empty space. I've been drinking. I've been doin' things I shouldn't do. Overthinking. I don't know who I am without you. I'm a liar and a cheat. I let my ego swallow me. And that's why I might never see you again. I'm alone in my head. Looking for love in a stranger's bed. But I don't think I'll find it. 'Cause only you could fill this empty space. I wanna tell all my friends. But I don't think they would understand. It's somethin' l've decided. 'Cause only you could fill this empty space. Space, space. This empty space. Space, space. This—. 'Cause only you could fill this empty space. How could I make you love me?. How could I make you love me?. How could I make you love me?. How could I make you love me?. How could I make you love me?. How could I make you love me?. How could I make you love me? (space, space). How could I make you love me?. How could I make you love me? (space, space). How could I make you love me?. How could I make you love me?. How could I make you love me?"
back from the edge,"Back from the edge. Back from the dead. Back before demons took control of my head. Back to the start. Back to my heart. Back to the boy. Who would reach for the star. Oh, he would reach for the stars. You can take my home. You can take my clothes. You can take the drugs. I have that nobody know. You can take my watch. You can take my phone. You can take all I've got. 'til I'm skin and bone. I don't want control. I can dig my own hole. I can make my bed and I can lie in it cold. 'cause I don't need heat. I've been burning' in hell. But now I'm back with my own story to tell. Back from the edge. Back from the dead. Back before demons took control of my head. Back to the start. Back to my heart. Back to the boy. Who would reach for the stars. Back from the edge. Back from the dead. Back from the tears. That were too easily shed. Back to the start. Back to my heart. Back to the boy. Who would reach for the star. Oh, he woud reach for the stars. They don't like my lies. They don't like my songs. Except in karoake when they're sing along. Did yo see then build my up?. Watch me tears myself down. With a smile on my face. I dug my grave in the ground. We all make mistakes. We're so quick to judge. It's hard to forgive. When we hold onto a grudge. So turn down the heat. I've been burnin' in hell. But now I'm back with my own story to hell. Back from the edge. Back from the dead. Back before demons took control of my head. Back to the start. Back to my hearth. Back to the boy. Who would reach for the star. Back from the edge. Back from the dead. Back from the tears. That were too easily shed. Back to the start. Back to my heart. Back to the boy. Who would reach for the star. Oh, he woud reach for the stars. I don't want control. I can dig my own hole. I can make my bed and I can lie in it cold. 'cause I don't need heat. I've been burning' in hell. But now I'm back with my own story to tell. Backfrom the edge. Back from the dead. Back before demons took control of my head. Back to the start. Back to my heart. Back to the boy. Who would reach for the star. Back from the edge. Back from the dead. Back from the tears that were too easily shed. Back to the start. Back to my heart. Back to the boy. Who would reach for the star. Oh, he woud reach for the stars"
at my weakest,"It's a long night and a big crowd. Under these lights looking 'round for you. Yeah, I'm steppin' outside under moonlight. To get my head right, lookin' out for you, yeah. Could it be your eyes. Didn't know that I've been. Waitin', waitin' for you. When your by my side, everything's alright. Crazy, I'm crazy for you. Oh, here I go, down that road. Again and again the fool rushin' in. But I can't help when I feel so kind of way. Do you feel the same? 'course. And I fall, I fall for you. You caught me at my weakest. And I'll fall for you. Nah, It's a long night and a big crowd. Under these lights looking 'round for you. Mhmhmmhm. You, you give me hope right. Reason desire livin' this life. Only now for you. Oh, for you. When you by side everything's alright. I'm crazy, I'm crazy for you. Oh, here I go down that road. Again and again the fool rushin' in. But I can't help when I feel so kind of way. Do you feel the same? 'course. And I fall, I fall for you. You caught me at my weakest. I fall, I fall for you. You caught me at my weakest. I'll fall for you. Love you gonna-gonna hold on me. Tell me what you gonna do to me. Now you gonna got your hands on me. Tell me what you gonna do. And here I go down that road. Again and again the fool rushin' in. But I can't help when I feel so kind of way. Do you feel the same?. 'Cause I fall, I fall for you. You caught me at my weakest. Yeah, I fall, I fall for you. You caught me at my weakest. And I fall for you"
suicide,"One, two. You ready?. Here we go. It ain't the gun. It's the man behind the trigger. Gets blood on his fingers. And runs. It ain't the lie. It's the way that the truth is denied. But if there is one thing that I'm guilty of. It's loving and giving when you take too much. If somebody asked how we died. Please look them straight in the eye. Call it suicide. Don't fabricate. Just tell them baby. It was suicide. Don't sugarcoat it. Just let them know. It ain't the knife. It's the way that you use it. How you abuse it in fights. It ain't about the life. You feel you were given. As long as you're living in love. But if there is one thing that I'm guilty of. It's loving and giving when you take too much. If somebody asked how we died. You look them straight in the eye. Call it suicide. Don't fabricate. Just tell them baby. It was suicide. Don't sugarcoat it. Just let them know. You've been killing me softly. And finally that is too much. And I'm all out of whiskey. To soak up the damage you've done. If there is anything I'm guilty of. It's loving you too much. If anybody asked how we died. Call it suicide. Don't fabricate. Just tell them baby. It was suicide. Don't sugarcoat it. Just let them know. Call it suicide. Don't fabricate. Just tell them baby. It was suicide. Don't sugarcoat it. Just let them know"
