you're beautiful,"My life is brilliant. My life is brilliant. My love is pure. I saw an angel. Of that I'm sure. She smiled at me on the subway. She was with another man. But I won't lose no sleep on that. 'Cause I've got a plan. You're beautiful. You're beautiful. You're beautiful, it's true. I saw your face in a crowded place. And I don't know what to do. 'Cause I'll never be with you. Yes, she caught my eye. As we walked on by. She could see from my face that I was. Flying high. And I don't think that I'll see her again. But we shared a moment that will last 'till the. end. You're beautiful. You're beautiful. You're beautiful, it's true. I saw your face in a crowded place. And I don't know what to do. 'Cause I'll never be with you. La la la la la la la la la. You're beautiful. You're beautiful. You're beautiful, it's true. There must be an angel with a smile on her face. When she thought up that I should be with you. But it's time to face the truth. I will never be with you"
same mistake,"So while I turning in my sheets. And once again, I cannot sleep. Walk out the door and up the street. Look at the stars beneath my feet. Remember rights that I did wrong. So here I go. Hello, hello. There is no place I cannot go. My mind is muddy but my heart is heavy. Does it show?. I lose the track that loses me. So here I go. Oo oo oo oo oo oo. Oo oo oo oo oo oo. Oo oo oo oo oo oo. And so I sent some men to fight,. and one came back at dead of night. Said he'd seen my enemy. Said he looked just like me,. So I set out to cut myself and here I go. Oo oo oo oo oo oo. Oo oo oo oo oo oo. Oo oo oo oo oo oo. I'm not calling for a second chance. I'm screaming at the top of my voice. Give me reason, but don't give me choice. Cause I'll just make the same mistake again. Oo oo oo oo oo oo. And maybe someday we will meet. And maybe talk and not just speak. Don't buy the promises 'cause. There are no promises I keep. And my reflection troubles me. So here I go. Oo oo oo oo oo oo. Oo oo oo oo oo oo. Oo oo oo oo oo oo. I'm not calling for a second chance. I'm screaming at the top of my voice. Give me reason, but don't give me choice. Cause I'll just make the same mistake. I'm not calling for a second chance. I'm screaming at the top of my voice. Give me reason, but don't give me choice. Cause I'll just make the same mistake, again. Oo oo oo oo oo oo. Oo oo oo oo oo oo. Oo oo oo oo oo oo. So while I turning in my sheets. And once again, I cannot sleep. Walk out the door and up the street. Look at the stars. Look at the stars fall down. And I wonder where. Did I go wrong"
carry you home,"Trouble is her only friend and he's back again.. Makes her body older than it really is.. She says it's high time she went away,. No one's got much to say in this town.. Trouble is the only way is down.. Down, down.. Strong as you were, tender you go.. I'm watching you breathing for the last time.. A song for your heart, but when it is quiet,. I know what it means and I'll carry you home.. I'll carry you home.. If she had wings she would fly away,. And another day God will give her some.. Trouble is the only way is down,. Down, down.. Strong as you were, tender you go.. I'm watching you breathing for the last time.. A song for your heart, but when it is quiet,. I know what it means and I'll carry you home.. I'll carry you home.. And they were all born pretty in New York City lights,. And someone's little girl was taken from the world tonight,. Under the Stars and Stripes.. Strong as you were, tender you go.. I'm watching you breathing for the last time.. A song for your heart, but when it is quiet,. I know what it means and I'll carry you home.. I'll carry you home."
goodbye my lover,"Did I disappoint you or let you down?. Should I be feeling guilty. or let the judges frown?. 'Cause I saw the end before we'd begun,. Yes I saw you were blinded and I knew I had won.. So I took what's mine by eternal right.. Took your soul out into the night.. It may be over but it won't stop there,. I am here for you if you'd only care.. You touched my heart you touched my soul.. You changed my life and all my goals.. And love is blind and that I knew when,. My heart was blinded by you.. I've kissed your lips and held your hand.. Shared your dreams and shared your bed.. I know you well, I know your smell.. I've been addicted to you.. Goodbye my lover.. Goodbye my friend.. You have been the one.. You have been the one for me.. Goodbye my lover.. Goodbye my friend.. You have been the one.. You have been the one for me.. I am a dreamer but when I wake,. You can't break my spirit. it's my dreams you take.. And as you move on, remember me,. Remember us and all we used to be. I've seen you cry, I've seen you smile.. I've watched you sleeping for a while.. I'd be the father of your child.. I'd spend a lifetime with you.. I know your fears and you know mine.. We've had our doubts but now we're fine,. And I love you, I swear that's true.. I cannot live without you.. Goodbye my lover.. Goodbye my friend.. You have been the one.. You have been the one for me. Goodbye my lover.. Goodbye my friend.. You have been the one.. You have been the one for me.. And I still hold your hand in mine.. In mine when I'm asleep.. And I will bear my soul in time,. When I'm kneeling at your feet.. Goodbye my lover.. Goodbye my friend.. You have been the one.. You have been the one for me.. Goodbye my lover.. Goodbye my friend.. You have been the one.. You have been the one for me.. You have been the one for me.. I'm so hollow, baby, I'm so hollow.. I'm so, I'm so, I'm so hollow."
1973,"Simona. You're getting older. Your journey's been. Etched on your skin. Simona. Wish I had known that. What seemed so strong. Has been and gone. I would call you up every saturday night. And we'd both stay out 'til the morning light. And we sang ""here we go again"". And though time goes by. I will always be. In a club with you. In nineteen seventy three. Singing ""here we go again"". Simona. Wish I was sober. So I could see clearly now. The rain has gone. Simona. I guess it's over. My memory plays our tune. The same old song. I would call you up every saturday night. And we'd both stay out 'til the morning light. And we sang, ""here we go again"". And though time goes by. I will always be. In a club with you. In nineteen seventy three. Singing ""here we go again"". I would call you up every saturday night. And we'd both stay out 'til the morning light. And we sang, ""here we go again"". And though time goes by. I will always be. In a club with you. In nineteen seventy three. Singing ""here we go again"". I would call you up every saturday night. And we'd both stay out 'til the morning light. And we sang, ""here we go again"". And though time goes by. I will always be. In a club with you. In nineteen seventy three. Singing ""here we go again"". And though time goes by. I will always be. In a club with you. In nineteen seventy three"
high,"Beautiful dawn,. Lights up the shore for me.. There is nothing else in the world,. I'd rather wake up and see (with you).... Beautiful dawn,. I'm just chasing time again.. Thought I would die a lonely man, in endless night.. But now I'm high.... Running wild among all the stars above.. Sometimes.... It's hard to believe you remember me.. Beautiful dawn,. Melt with the stars again.. Do you remember the day, when my journey began?. Will you remember the end (of time)?. Beautiful dawn,. You're just blowing my mind again.. Thought I was born to endless night, until you shine.... High.... Running wild among all the stars above.. Sometimes... it's hard to believe you remember me.. Will you be my shoulder, when I'm grey and older?. Promise me tomorrow starts with you,. Getting high. Running wild among all the stars above.. Sometimes... it's hard to believe you remember me.. High.... Running wild among all the stars above.. Sometimes... it's hard to believe you remember me..."
bonfire heart,"Your mouth is a revolver. Firing bullets in the sky. Your love is like a soldier. Loyal till you die. And I've been looking at the stars. For a long, long time. I've been putting out fires. All my life. Everybody wants a flame. But they don't want to get burnt. And today is our turn. Days like these, lead to. Nights like this, lead to. Love like ours. You light the spark in my bonfire heart. People like us, we don't. Need that much. Just some-one that starts. Starts the spark in our bonfire hearts. This world is getting colder. Strangers passing by. No one offers you a shoulder. No one looks you in the eye. But I've been looking at you. For a long, long time. Just trying to break through. Trying to make you mine. Everybody wants a flame. But they don't want to get burnt. Well today is our turn. Days like these, lead to. Nights like this, lead to. Love like ours. You light the spark in my bonfire heart. People like us, we don't. Need that much. Just some-one that starts. Starts the spark in our bonfire hearts. Humm, our bonfire hearts. Our bonfire hearts. Ooh, our bonfire hearts. Humm, you light the spark. People like us, we don't. Need that much. Just some-one that starts. Starts the spark in our bonfire hearts. Days like these, lead to. Nights like this, lead to. Love like ours. You light the spark in my bonfire heart. People like us, we don't. Need that much. Just some-one that starts. Starts the spark in our bonfire hearts. Our bonfire hearts. Days like these, lead to. Nights like this, lead to. Love like ours. You light the spark in my bonfire heart. People like us, we don't. Need that much. Just some-one that starts. Starts the spark in our bonfire hearts"
love me better,"People say the meanest things. Yeah, I've been called a dick. I've been called so many things. I know I've done some shit that I admit deserves it. But that, that don't mean it doesn't sting. Saw you standing outside a bar. Would have said ""you're beautiful"". But I've used that line before. Now I've had my share of shallow nights. 'Cause I was scared to get it right. So I was hanging with whoever. But baby then you. You love, love, love me, love me better. You love, love, love me, love me better. There's been times I gave myself. To someone else, to someone lesser than you. Love, love, love me, love me better. Love me better. When I met you I was treading water. And baby I know you know I got an eye that wanders. But right now in this car that we're driving to your sister's. All I'm lookin' for is something that's forever. Baby then you. You love, love, love me, love me better. You love, love, love me, love me better. There've been people that I've loved before. But they were something lesser, 'cause you. Love, love, love me, love me better. Love me. Love me better. Love me. Love me better. People say the meanest things. Yeah, but truth be told, I don't care what they think. I got someone who is lying in my bed right next to me. Yeah she... love, love, loves me. Love, love, loves me... loves me better. Love me better. There's been times I gave myself. To someone else, to someone lesser than you. Love, love, love me, love me better"
face the sun,"Yes, this love's not good enough. Is time to let it go. Our weary hearts just fall apart. I feel it in my bones. And God knows. That it's hard to find the one. But in time. All the flowers turn to face the sun. So silently just walk with me. Like any other day. No sad goodbyes, no tears, no lies. Just go our separate ways. And God knows. That it's hard to find the one. But in time, all the flowers. Yes in time. All the flowers turn to face the sun. Yeah, you say what you say. Then you do it to me anyway. You do what you do. Then you walk away, you walk away. You say what you say. Then you do it to me anyway. You do what you do. Yeah, I know that's it's through. And God knows (Won't you stay with me?). That it's hard to find the one. But in time (I know you won't stay with me). Yes, in time (I know you won't stay with me). All the flowers turn to face the sun"
in flowers,"You're butterfly. And you want to be. In flowers. And you want to meet. Dalai lama. Reach nirvana. Because I love and you love me. I just want you to be. In flowers with me. I'm a little child. And I want to be. Held in your arms. Any fool can see. That it's nothing new, but. I need you. Because I love and you love me. I just want you to see. The little child in me. There's a butterfly. Is in my heart. It's lives in me. When we apart, but prefebly. You'll stay with me. Because I love and you love me. I just want you to be. The butterfly in me"
