hey now,"[Chorus x3]. Hey now, hey now. What's the matter with you?. Girls just wanna have fun now. Come on.... I come home in the morning light. My mother says when you gonna live your life right. Oh mother dear we're not the fortunate ones. And girls they want to have fun. Oh girls just want to have fun. [Chorus]. Hey now, hey now. What's the matter with you?. Girls just wanna have fun now. Come on.... The phone rings in the middle of the night. My father yells what you gonna do with your life. Oh daddy dear you know you're still number one. But girls they want to have fun. Oh girls just want to have. That's all they really want. Some fun. When the working day is done. You know girls. They want to have fun. [Chorus x2]. Hey now, hey now. What's the matter with you?. Girls just wanna have fun now. Come on.... Single mint double mint triple mint gum. We're just 3 girls that wanna have some fun. If you party with us. You're gonna be a while. You gotta roll like us triple image style. There ain't nothin gonna stop us or get in our way. We're gonna be on the top by the end of the day. Cuz we got the look and we got the groove. Triple image gonna make you move. Some boys take a beautiful girl. And hide her away from the rest of the world. I want to be the one to walk in the sun. Hey now, hey now. What's the matter with you?. Girls just wanna have fun now. Come on.... When the working day is done girls. They want to have fun. [Chorus x2]. Hey now, hey now. What's the matter with you?. Girls just wanna have fun now. Come on.... And the boys they wanna have fun. And the girls they wanna have fun. And the boys they wanna have fun. And the girls they wanna have fun. And the boys they wanna have fun. And the girls they wanna have fun. And the boys they wanna have fun. And the girls they wanna have.... Hey now, hey now. What's the matter with you?. Girls just wanna have fun now. Come on..."
are you ready?,"Oooh. I know you see me standing here. Do I look good my dear?. Do I look good today?. Uh, uh, uh. . I'm just another kind of girl. And you wanna see my world. So come and run away. Yeah, yeah. . If you wanna play. Come and play today. Let's just get away. . Yeah. . I will make you see. All of the things that you can be. Bealive in yourself. Oh Come, follow me. Yeah, yeah. . Yeah, yeah, you. Just gotta let it loose. And do what you choose to do. Don't walk away"
big bad world,"I fell hard for a boy one time, I cant say if it was love. Maybe it was how he wore his hat, or just because he had a truck. I ran down a dock and jumped in the boat. I gave that boy my heart. It was back in the time. When I thought you could buy a new one at the wal-mart. Oooooh, it's a big bad world. Oooooh, for a small town girl. I do my time in the Starbucks line giving up to chase the dream. I hear yes and I hear no but it's hard, oh in between. I feel a little homesick, to talk to someone who knows my name. I dig out a dollar for the homeless man. But I'm the one that could use the change. Oooooh, it's a big bad world. Oooooh, for a small town girl. I remember wondering what was out there. Beyond this small town, passed down simple plains. The city sure feels like the middle of nowhere. There's no-one here to remind me who I am. Oooooh, it's a big bad world. Oooooh, for a small town girl. Ooooh, it's a big bad world. Ooooh, for a small town girl"
chillin' with you,"You, you, you. I loved so much that I cried. I danced so much til I was tired. I drank some red wine. And now I'm walking on the sky. I had the time of my life. And you know, I, I, I. I'm feeling alright. 'Cause I don't got to worry 'bout a thing. And you know, I, I, I. I'm feeling alright. 'Cause I don't got to worry 'bout a thing. When I'm with you. I'm chillin', I'm chillin'. When I'm with you. I'm chillin', I'm chillin'. When I'm with you. I'm chillin', I'm chillin'. When I'm with you. I'm chillin', I'm chillin'. I'm chill. [Jamie]. I sang so loud that I smiled. I made it worth my while. I drank some white wine. Now I'm walking on the sky. I had the time of my life. And you know, I, I, I. I'm feeling alright. 'Cause I don't got to worry about a thing. And you know, I, I, I. I'm feeling alright. 'Cause I don't got to worry about a thing. When I'm with you. I'm chillin', I'm chillin'. When I'm with you. I'm chillin', I'm chillin'. When I'm with you. I'm chillin', I'm chillin'. When I'm with you. I'm chillin', I'm chillin'. I'm chill. Everyday, everyday, everyday. Chillin' with you. Everyday, everyday, everyday. Chillin' with you. I'm chillin' with you. I'm chillin' with you. I'm chillin' with you. I'm chillin' with you. I'm chillin' with you. I'm chillin' with you. I'm chillin' with you. And you know, I, I, I. I'm feeling alright. 'Cause I don't got to worry about a thing. And you know, I, I, I. I'm feeling alright. 'Cause I don't got to worry about a thing. When I'm with you. I'm chillin', I'm chillin'. When I'm with you. I'm chillin', I'm chillin'. When I'm with you. I'm chillin', I'm chillin'. When I'm with you. I'm chillin', I'm chillin'. I'm chill"
cry baby,"oooh. yeaaah. Good things come for boys who wait. My love is just the same. You've gotta have to understand. A kiss goodnight, so you get home. No, you can't come in. I know you wan't to bread my lips. (chorus). You can cry, cry, baby, baby all you wan't. You can try, try, but I'm gonna take this stop. Wanna make you wait, baby, baby, like in the night. Is the right time. The night tonight. (chorus 2). You can cry, cry, baby, if you want to. You can try, try, but you know I lean on you. At the right time I'll be here at all to you. Until that time you can cry, baby cry, baby. OOOHHHU. I know what you got in mind. All good things come in time. You gotta have to prove your love. Before I let you inside my heart. That time is not too far. We're gonna get there lonely to rode. You can cry, cry, baby, baby all you want. You can try, try, but I'm gonna take this stop. Wanna make you wait, baby, baby, like in the night. Is the right time. The night tonight. You can cry, cry, baby, if you want to. You can try, try, but you know I lean on you. At the right time I'll be here at all to you. Until that time you can cry, baby cry, baby. WOOOW. And I don't care what you say (no, I don't). Cause you just gotta ave to wait. You can cry like a little boy. But I won't change on me. Cause I don't care what you do (I don't care). When it comes to me and you. If you wanna make it right. Take a time. If you wanna be a love, you can love baby. Cryyyyyyyyy. You can cry, cry, baby, baby all you want. You can try, try, but I'm gonna take this stop. Wanna make you wait, baby, baby, like in the night. Is the right time. The night tonight. You can cry, cry, baby, if you want to. You can try, try, but you know I lean on you. At the right time I'll be here at all to you. Until that time you can cry, baby cry, baby. You can cry, cry, baby, baby all you want. You can try, try, but I'm gonna take this stop. Wanna make you wait, baby, baby, like in the night. Is the right time. The night tonight. You can cry, cry, baby, if you want to. You can try, try, but you know I lean on you. At the right time I'll be here at all to you. Until that time you can cry, baby cry, baby. You can cry, cry, baby, baby all you want. You can try, try, but I'm gonna take this stop. Wanna make you wait, baby, baby, like in the night. Is the right time. The night tonight. You can cry, cry, baby, if you want to. You can try, try, but you know I lean on you. At the right time I'll be here at all to you. Until that time you can cry, baby cry, baby"
diamond,"Ohh Yeahh. Everytime I turn the tv on. See another pretty face on my screen. Feels like I'm not good enough. To be on the cover of a magazine. -Turn Around-. I look in the mirror. And I wonder if I ever. Make sure up. All I want is someone. To make it's clear. Are I ever gonna find. A perfect love?. I you break through the maddness. And you tell me how it is. You're a diamond that shines. One of a kind. An shimmery glorius live. You're a star in a ring. One took me made. To shine like a sun. You're a diamond. Friends try tell me. Just lose it up a little. Gonna scear, it gonna comes a way. Gonna love with a hug. I found the middle. -Come on girl, you gonna get into the game-. Someone deep inside me insist. Are you sure that you really want to blake?. I'm trust you hard enough to hit. I'm not an decoration. So would you tell me how it is?. You're a diamond that shines. One of a kind. An shimmery glorius star. You're a star in a ring. One took me made. To shine like a sun. You're a diamond. Don't matter if they tell you how to live. Don't matter if they try to ignore you. Don't matter if they say what beautiful is. I not gonna let you tell, your a diamond -. Course they already showed you. You're a diamond, diamond. You're a diamond, diamond. -Oooooowww-. You're a diamond that shines. One of a kind. An shimmery glorius star. You're a star in a ring. One took me made. To shine like a sun. You're a diamond. You're a diamond that shines. One of a kind. An shimmery glorius star. You'r a star in a ring. One took me made. To shine like a sun. You're a diamond"
follow me,"Spoken:. Are you ready?. Oooh. I know you see me standing here.. Do I look good my dear?. Do I look good today?. Today, Today?. Boo Boo Boooo. I'm just another kind of girl.. And you wanna see my world.. So come and run away.. Yeah Yeah.. If you wanna play.. Come and play today.. Let's just get away.. Yeah.. I will make you see.. All of the things that you can be.. Believe in yourself come Follow Me.. Yeah Yeah Yeah. Yeah Yeah You have just gotta let it loose.. And do what you choose to do.. Don't walk away.. Yeah Yeah.. If you wanna play.. Come and play today.. Let's just get away.. Yeah.. I will make you see.. All of the things that you can be.. Believe in yourself come Follow Me.. Yeah Yeah"
hey now,"[Chorus x3]. Hey now, hey now. What's the matter with you?. Girls just wanna have fun now. Come on.... I come home in the morning light. My mother says when you gonna live your life right. Oh mother dear we're not the fortunate ones. And girls they want to have fun. Oh girls just want to have fun. [Chorus]. Hey now, hey now. What's the matter with you?. Girls just wanna have fun now. Come on.... The phone rings in the middle of the night. My father yells what you gonna do with your life. Oh daddy dear you know you're still number one. But girls they want to have fun. Oh girls just want to have. That's all they really want. Some fun. When the working day is done. You know girls. They want to have fun. [Chorus x2]. Hey now, hey now. What's the matter with you?. Girls just wanna have fun now. Come on.... Single mint double mint triple mint gum. We're just 3 girls that wanna have some fun. If you party with us. You're gonna be a while. You gotta roll like us triple image style. There ain't nothin gonna stop us or get in our way. We're gonna be on the top by the end of the day. Cuz we got the look and we got the groove. Triple image gonna make you move. Some boys take a beautiful girl. And hide her away from the rest of the world. I want to be the one to walk in the sun. Hey now, hey now. What's the matter with you?. Girls just wanna have fun now. Come on.... When the working day is done girls. They want to have fun. [Chorus x2]. Hey now, hey now. What's the matter with you?. Girls just wanna have fun now. Come on.... And the boys they wanna have fun. And the girls they wanna have fun. And the boys they wanna have fun. And the girls they wanna have fun. And the boys they wanna have fun. And the girls they wanna have fun. And the boys they wanna have fun. And the girls they wanna have.... Hey now, hey now. What's the matter with you?. Girls just wanna have fun now. Come on..."
how could i want more,"Lying in the green grass. Underneath the blue sky. Looking at a good man. Wanna be the right guy?. He's got that kinda heart that. Any girl would die for. So, how could I want more?. How could I want more?. Treats me like a princess. Let's me have it my way. I could tell he's hanging. On every word that I say. All he does is love me. He swears that's what he's here for. So, how could I want more?. How could I want more?. More fire, more feeling. More stars than what I'm seeing. More hurtful what I find behind that door. More power, more passion. Instead of just acting. Like I'm the one that he's been looking for. I oughta say I'm sorry. I oughta say it's over. Let him live his own life. Stop crying on his shoulder. He'd probably say it's alright. And hold me while my tears pour. So, how could I want more?. How could I want more?. More fire, more feeling. More stars than what I'm seeing. More hurtful what I find behind that door. More power, more passion. Instead of this acting. Like I'm the one that he's been looking for. Lying in the green grass. Underneath the blue sky. Looking at a good man. And I know he's the right guy. He's got that kinda heart that. Any girl would die for. So, how could I want more?. How could I want more?"
i beat,Bada bing. Get away from me. Bada boom. Not into what you say (Oh baby). Bada bing. I'm not that easy babe. So don't think that you can play with me (You're nasty nasty). Bada bing. Boy don't call my phone (Whoa). Bada boom. I gotta be alone. Bada bing. Bada boom. I've got to get away from you. I can't believe. You thought that I. Was dumb enough to believe all your lies. Time for you. To get on page. It's not a boy then what you retain. And if you think. There's any doubt. I might not know what you're about. I've heard the word. All over town. I know boy what's been goin' down. I've heard of guys like you. Playin' all your games. Givin' me attitude. 'Cause you didn't get one past me (Didn't get one past me). I'm not one to be. Givin' you my love (Givin' you my love). If your gonna change. Then hit the streets. Won't let you get. Can't get with me. Saw you at. The corner store. Now you want it like it was before. You never meant. To act that way. Decided for playin' all your games. I want you to. Get one thing straight. Not fallin' fallin' fallin' for what you say. I'll never be. Your fool again. I'm tellin' you boy this is the end. Sorry baby you're all done (Sorry baby you're all done). Got to give up on me and move on (Give up on me and move on). Call yourself another one (Call yourself another one). 'Cause baby I'm not comin' back (Not comin' back). Bada bing bada boom bada bing. bada boom bada bing bing bing bing bing. Bada bing bada boom bada bing. bada boom bada bing bing bing bing bing. Bada bing bada boom bada bing. bada boom bada bing bing bing bing bing. Bada bing bada boom bada bing. bada boom bada bing bing bing bing bing. Bada bing. Bada boom. I need to get away from you. Oh yeah. . By : F**bio Spears
