"goodbye (feat. david guetta, nicki minaj & willy william)","It's time to say goodbye. But don't leave me alone, just stay for the night. I need you, I need you tonight. Derulo. Ooh it's 3 in the morning. When you want some you phone me. One word in Español, bae. And I come and you know (what? huh). Girls in Haiti they throw it. In Jamaica they roll it. Girls in Spain do the mostest. But only you got my focus. Girl, I'm down for your lovin'. Down for my fatty, fatty. Down for your lovin'. Down for my naughty, naughty. Down for your lovin'. I'm giving you lovin'. Stay with me 'cause. It's time to say goodbye. But don't leave me alone, just stay for the night. I need you, I need you tonight. Baby you know that. It's time to say goodbye. But don't leave me alone, just stay for the night. I need you, I need you tonight. Baby you know that it's. Dame solo un momento. Quiero sentir tu cuerpo (yeah, yeah, yeah). Que ay no tengo tiempo. Tú y yo una noche de fuego (oui, oui, oui). Te hablo Francés like (sí, sí, sí). Te explico que soy de (Ti, Ti, Ti). Parlez-vous Français (oui, oui, oui). Síguelo, mami, vale. Girl, I'm down for your lovin'. Down for my fatty, fatty. Down for your lovin'. Down for my naughty, naughty. Down for your lovin'. I'm giving you lovin'. Stay with me 'cause. It's time to (it's time) say goodbye. But don't leave me alone, just stay for the night. I need you, I need you tonight. Baby, you know that it's time to say goodbye. (say goodbye, say goodbye). But don't leave me alone, just stay for the night. I need you, I need you tonight (ooh). Uh, tell 'em said ""Papa and prim"" (and prim). A mermaid ting, and he wanna swim (he wanna swim). A gyal bright so put them ice dim (they ice dim). Ch-ch-chain heavy but I'm light-skinned (I'm light-skinned). I pull up on 'em and let him put the pipe in (pipe in). Then I gotta dash like a hyphen (hyphen). I bring the cake let him lick the icing (icing). Some little open-toes Stuart Weitzman. Advising, ye-yes this ties in (okay). No-none of you hoes will ever see my pen. YSL Niki boot, just to drive in. The way my foot ball, just give me the Heisman. Touchdown, touchdown, touchdown, touch. 'Cause It's time to say goodbye (yeah). But don't leave me alone, just stay for the night. (just need to break). I need you, I need you tonight. Baby, you know that it's time to say goodbye. (I hate it). But don't leave me alone, just stay for the night. I need you, I need you tonight. Baby, you know that it's. Papi Chulo. ¿Cuánto amas este culo?. Culo, culo. ¿Cuánto amas este culo?. Say goodbye, stay the night. One more time, one more time (rrh)"
want to want me,"It's too hard to sleep. I got these sheets on the floor. Nothing on me. And I can't take it no more. It's a hundred degrees. I got one foot out the door. Where are my keys. 'Cause I gotta leave, yeah. In the back of the cab. I tip the driver ahead of time. Get me there fast. I got your body on my mind. I want it bad. Oh just the thought of you. Gets me so high. So high. Girl, you're the one. I want to want me. And if you want, then girl you got me. There's nothing I, no I wouldn't do. (I wouldn't do). Just to get up next to you. Girl, you're the one. I want you to want me. And if you want me girl you got me. There's nothing I, no I wouldn't do. (I wouldn't do). Just to get up next to you. Just to get up next to you. You open the door. Wearing nothing but a smile. Fell to the floor. And you whisper in my ear. ""Baby I'm yours"". Oh, just the thought of you gets me so high. So high (so high). Girl, you're the one. I want to want me. And if you want, then girl you got me. There's nothing I, no I wouldn't do. (I wouldn't do). Just to get up next to you. Girl, you're the one. I want to want me. And if you want, then girl you got me. There's nothing I, no I wouldn't do. (I wouldn't do). Just to get up next to you. Just to get up next to you. Just the thought of you. Gets me so high, so high. Just the thought of you. Gets me so high, so high. Girl, you're the one. I want to want me. And if you want, then girl you got me. There's nothing I, no I wouldn't do. (I wouldn't do). Just to get up next to you. Girl, you're the one. I want to want me. And if you want, then girl you got me. There's nothing I, no I wouldn't do. (I wouldn't do). Just to get up next to you. Just to get up next to you. Just to get up next to you. Just to get up next to you"
"swalla (feat. nicki minaj, ty dolla $ign)","Drank. Young Money. Love in a thousand different flavors. I wish that I could taste them all tonight. No, I ain't got no dinner plans. So you should bring all your friends. I swear that a-all y'all my type. All you girls in here. If you're feeling thirsty. Come on take a sip. 'Cause you know what I'm servin', ooh. Shimmy shimmy yay, shimmy yay, shimmy ya (drank). Swalla-la-la (drank). Swalla-la-la (swalla-la-la). Swalla-la-la. Shimmy shimmy yay, shimmy yay, shimmy ya (drank). Swalla-la-la (drank). Swalla-la-la (swalla-la-la). Swalla-la-la. Freaky, freaky gyal. My freaky, freaky gyal. Shimmy shimmy shimmy yay, shimmy yah. Bad girls gon' swalla-la-la. Bust down on my wrist in this bitch. My pinky-ring bigger than his. Met her out in Beverly Hills, ay. Dolla got too many girls, ay. Met her out in Beverly Hills. All she wear is red bottom heels. When she back it up, put it on the Snap. When she droppin' low, put it on the Gram. Dj poppin', she gon' swallow that. Champagne poppin', she gon' swallow that. All you girls in here. If you're feeling thirsty. Come on take a sip. 'Cause you know what I'm servin', ooh. Shimmy shimmy yay, shimmy yay, shimmy ya (drank). Swalla-la-la (drank). Swalla-la-la (swalla-la-la). Swalla-la-la. Shimmy shimmy yay, shimmy yay, shimmy ya (drank). Swalla-la-la (drank). Swalla-la-la (swalla-la-la). Swalla-la-la. Freaky, freaky gyal. My freaky, freaky gyal. Bad gyal no swalla nuttin. Word to the Dalai Lama. He know I'm a fashion killa. Word to John Galliano. He copping that Valentino, ain't no telling me no. I'm that bitch, and he know, he know. How y'all wifing these thots?. You don't get wins for that. I'm having another good year. We don't get blimps for that. Pussy game still cold. We don't get minks for that. When I'm poppin' them bananas. We don't link chimps for that. I gave these bitches two years. Now your time's up. Bless her heart. She throwing shots but every line sucks. I'm in that cherry red foreign with the brown guts. My shit slappin' like dude did Lebron's nuts. All you girls in here. If you're feeling thirsty. Come on take a sip. 'Cause you know what I'm servin'. Shimmy shimmy yay, shimmy yay, shimmy ya (my love) (drank). Swalla-la-la (my love) (drank). Swalla-la-la (swalla-la-la). Swalla-la-la. Shimmy shimmy yay, shimmy yay, shimmy ya (kyuh!) (drank). Swalla-la-la (drank). Swalla-la-la (swalla-la-la). Swalla-la-la. Young Money. Swalla-la-la. J.D. Freaky, freaky gyal. Swalla-la-la. My freaky, freaky gyal. Swalla-la-la. My freaky, freaky gyal. Swalla-la-la. My freaky, freaky gyal. Derulo"
wiggle (feat. snoop dogg),"Hey, yo, Jason. Say somethin' to her. Holla at her. I got one question. How do you fit all that in them jeans?. You know what to do with that big fat butt. Wiggle, wiggle, wiggle. Wiggle, wiggle, wiggle. Wiggle, wiggle, wiggle. Just a ittle bittle. Patty cake, oatty cake. With no hands. Got me in this club making wedding plans. If I take pictures while you do your dance. I can make you famous on Instagram. Hot damn it. Your booty like two planets. Go head, and go ham sandwich. Whoa. I can't stand it. 'Cause you know what to do with that big fat butt. Wiggle, wiggle, wiggle. Wiggle, wiggle, wiggle. Wiggle, wiggle, wiggle. Just a little bit of. Cadillac, cadillac, pop that trunk. Let's take a shot. Alley oops that dunk. Tired of working that 9 to 5. Oh baby let me come and change your life. Hot damn it. Your booty like two planets. Go head, and go ham sandwich. Whoa. I can't stand it. 'Cause you know what to do with that big fat butt. Wiggle, wiggle, wiggle. Wiggle, wiggle, wiggle. (wiggle, wiggle, wiggle). Wiggle, wiggle, wiggle. (shake it, shake it girl). Just a ittle bittle. (Little bit of, little bit of, little bit of, Swing!). [Snoop Dogg]. Shake what your mama gave you. Misbehave you. I just wanna strip you, dip you. Flip you, bubble bathe you. What they do. Taste my rain drops, Ok boo. Now what you will, what you want, what you may do. Completely separated, til my deeply penetrated. Then I take I out, and wipe it off. Eat it, ate it, love it, hate it. Overstated, underrated, everywhere I been king. You wiggle, wiggle for the D, O, double G, again?. Come on baby. Turn around. (turn around, turn around). You're a star girl. Take a bow. (take a bow, take a bow). It's just one thing that's killing me. How you get that in them jeans?. You know what to do with that big fat butt. Wiggle, wiggle, wiggle. (wiggle, wiggle, wiggle). Wiggle, wiggle, wiggle. (wiggle, wiggle, wiggle). Wiggle, wiggle, wiggle. (shake it, shake it girl). Just a ittle bittle. Now make it clap. Wiggle, wiggle, wiggle. Now make it clap. Wiggle, wiggle, wiggle. Make it clap. Now make it clap. Damn baby you got a bright future behind you"
whatcha say,"Wha- wha- what did she say. Mmmm whatcha say. Mmm that you only meant well?. Well of course you did. Mmmm whatcha say. Mmmm that it's all for the best?. Of course it is. I was so wrong for so long. Only tryin' to please myself. (myself). Girl, I was caught up in her lust. When I don't really want no one else. So no, I know I should've treated you better. But me and you were meant to last forever. So let me in (let me in). Give me another chance (another chance). To really be your man. Cause when the roof caved in and the truth came out. I just didn't know what to do. But when I become a star. We'll be living so large. I'll do anything for you. So tell me, girl. Mmmm whatcha say. Mmm that you only meant well?. Well of course you did. Mmmm whatcha say (whatcha say). Mmmm that it's all for the best?. Of course it is. Mmmm whatcha say. Mmm that you only meant well?. Well of course you did. Mmmm whatcha say (whatcha say). Wha- wha- wha- wha- what did she say. How could I live with myself. Knowing that I let our love go (love go). And ooh, when I do with one chance. I just gotta let you know. I know what I did wasn't clever. But me and you we're meant to be together. So let me in (let me in). Give me another chance. (another chance). To really be your man. Cause when the roof caved in and the truth came out. I just didn't know what to do. But when I become a star. We'll be living so large. I'll do anything for you. So tell me, girl. Mmmm whatcha say. Mmm that you only meant well?. Well of course you did. Mmmm whatcha say (whatcha say whatcha say). Mmmm that it's all for the best?. Of course it is. Mmmm whatcha say. Mmm that you only meant well?. Well of course you did. Mmmm whatcha say (whatcha say whatcha say). Wha- wha- wha- wha- what did she say. Girl tell me whatcha said (said). I don't want you to leave me. Though you caught me cheatin'. Tell me tell me whatcha said (said). I really need you in my life. Cuz things ain't right girl. Tell me tell me whatcha said (said). I don't want you to leave me. Though you caught me cheatin'. Tell me tell me whatcha said (said). I really need you in my life. Cuz things ain't right. Cause when the roof caved in and the truth came out. I just didn't know what to do. But when I become a star. We'll be living so large. I'll do anything for you. So baby watcha say!. Mmmm whatcha say. Mmm that you only meant well?. Well of course you did. Mmmm whatcha say. (whatcha say whatcha say). Mmmm that it's all for the best?. Of course it is. Mmmm whatcha say. Mmm that you only meant well?. Well of course you did. Mmmm whatcha say. (whatcha say whatcha say). Wha- wha- wha- wha- what did she say"
talk dirty (feat. 2 chainz),"Jason, ha ha. Jason Derulo. (ha ha). Get jazzy on me. I'm the flight that you get on, international. First class seat on my lap girl. Riding comfortable. Cause I know what the girl them need. New York to Haiti. I got lipstick stamps for my passport. You make it hard to leave. Been around the world, don't speak the language. But your booty dont need explaining. All I really need to understand is when you. Talk dirty to me. Talk dirty to me. Talk dirty to me. Talk dirty to me. Get jazzy on me. You know the words in my songs. No habla ingles. Our conversantion ain't long. But you know what is. I know what that girl them want, London to Taiwan. I got lipstick stamps for my passport. I think I need a new one. Been around the world, don't speak the language. But your booty don't need explaining. All I really need to understand is when you. You talk dirty to me. Talk dirty to me. Talk dirty to me. Talk dirty to me. Uno, met a friend in rio. Dos, she was all on me oh. Tres, we can ménage in trio. Cuatro, oh. [2 Chainz]. Dos Cadenas, clothes are genius. Sold out arenas, you can suck my penis. Get with arenas, guns on deck. Chest to chest, tongue on neck. International oral sex. Every picture I take, I pose a threat. Boat or jet, what do you expect?. Her pussy so good. I bought her a pet. Anyway, every day I'm trying to get to it. Got her saved in my phone under ""Big Booty"". Anyway, every day I'm trying to get to it. Got her saved in my phone under ""Big Booty"". Been around the world, dont speak the language. But your booty dont need explaining. All I really need to understand is when you. You talk dirty to me. Talk dirty to me. Talk dirty to me, talk to me. Talk dirty to me. Get jazzy on me. What? I don't understand"
it girl,"I've been looking under rocks and breaking locks. Just tryna find ya. I've been like a maniac insomniac. 5 steps behind you. Tell them other girls, they can hit the exit. Check please.... Cause I finally found the girl of my dreams. Much more than a Grammy award. That's how much you mean to me. You could be my it girl. Baby you're the shhh girl. Lovin' you could be a crime. Crazy how we fit girl. This it girl. Give me 25 to life. I just wanna rock all night long. And put you in the middle of my spotlight. You could be my it girl. You're my biggest hit girl. Let me play it loud. Let me play it loud like.... Oh oh oh oh. Let me play it loud. Let me play it loud like.... Oh oh oh oh. Let me play it loud. You can't help but turn them heads. Knockin' them dead. Dropping like flies around you. If I get your body close not letting go. Hoping you're about to. Tell them other guys they can lose your number. You're done!. They don't get another shot cause you're love drunk. Like a TV show playing reruns. Every chance I get. I'mma turn you on. You could be my it girl. Baby you're the shhh girl. Lovin' you could be a crime. Crazy how we fit girl. This it girl. Give me 25 to life. I just wanna rock all night long. And put you in the middle of my spotlight. You could be my it girl. You're my biggest hit girl. Let me play it loud. Let me play it loud like.... Oh oh oh oh. Let me play it loud. Let me play it loud like.... Oh oh oh oh. Let me play it loud!. Can't seem to stop you from running, running. Through my, through my mind, mind. Just keep it coming, coming. Till I make you mine, mine. You've got that something, something. I wanna be with girl. You're my greatest hit girl. Just say this is it girl. Hey baby. Don't you know you're my it girl. You could be my it girl. Baby you're the shhh girl. Lovin' you could be a crime. Crazy how we fit girl. This it girl. Give me 25 to life. I just wanna rock all night long. And put you in the middle of my spotlight. You could be my it girl. You're my biggest hit girl. Let me play it loud. Let me play it loud like.... Oh oh oh oh. Let me play it loud. Let me play it loud like.... Oh oh oh oh. Let me play it loud. Let me hear you sing it like. Oh oh oh oh. Everybody in the crows. Let me hear you sing it like. This is ""it girl"""
colors,"Oh, what a feeling. Look what we've overcome. Oh, I'm gonna wave-a-wave my flag. And count all the reasons. We are the champions. There ain't no turning, turning back. Saying ""Oh, can't you taste the feeling, feeling"". Saying ""Oh, we all together singing"". Look at how far we've come. Now, now, now, now. There's beauty in our unity we've found. I'm ready, I'm ready. We still got a long way. But look at how far we've come. Now, now, now, now. Hands up for your colors. Ready the people. A new day has just begun. And I wear my colors on my back (celebrate, celebrate). We're created equal. One race, and that's human. Can't wait to they all see, all see that. Saying ""Oh, can't you taste the feeling, feeling"". Saying ""Oh, we all together singing"". Look at how far we've come. Now, now, now, now (there's beauty). There's beauty in our unity we've found. I'm ready, I'm ready. We still got a long way. But look at how far we've come. Now, now, now, now. Hands up for your colors. One hand, two hands for your colors. Show your true colors. Here we go (here we go). Let's put on a show (let's put on a show right now). Let me see your hands up. Let me see your hands up. Here we go. Look at how far we've come. Now, now, now, now. There's beauty in our unity we've found. I'm ready, I'm ready. We still got a long way. But look at how far we've come. Now, now, now, now. Hands up for your colors. There's beauty in our unity we've found. One hand, two hands for your colors. There's beauty in our unity we've found. Show your true colors. Here we go (here we go). Let's put on a show. Hands up for your colors. Represent your country. Raise your flag. Show your true colors"
tip toe (feat. french montana),"Way you move ya spine is alarmin'. Mi wan you just. Big fat thang, overflowin'. Skin tight dress, couldn't hold it. Way too thick like it's swollen. Girl, you're too bad and you know it. When you drop down, lose focus. When that thing clap, that's a bonus. MM, that cake looking appetizing. Back pack full, that's a crisis. Bring that body my way. Can't take it off my brain. Look like you do ballet (yeah). Hold tight when you tip toe. Shake something when you tip toe. No breaks when you push that back. Left, right, do it just like that. Hold tight when you tip toe. Ayo, God bless you from behind and (I do). One hand up like the Heisman (touchdown). First class seat when ya ridin' (oh yeah). Wind that thing like ya spineless. Bring that body my way (my way). Can't take it off my brain (my brain). Look like you do ballet. Hold tight when you tip toe. Shake something when you tip toe. No breaks when you push that back. Left, right, do it just like that. Hold tight when you tip toe. Wine fa me darlin'. Way you move ya spine is alarmin'. Mi wan you just wine fa me, darlin'. One, tryna figure out who to give ya love. Two, dancin' like a freak till a quarter past. Three, you know I'm the one you been lookin' for. Left cheek, right cheek. Left cheek, right cheek. Left cheek, right cheek. Left cheek, right cheek (aye, aye). Tiptoe. Tiptoe. Chains on, got me lookin' like a disco. Who that be? And that drop be Mansory (skrrt). Who that be? Blowin' gas out the 'Rarri (sk-skrrt). French vanilla smooth like a 100 year wine. Come sneak up from behind, ""what's ya name? "". ""What's ya sign? "" (huh). Wine fa me, darlin'. ""You want to dock in or fly out? "". Wine fa me, darlin'. ""Baby, you want to lease, rent, or buy out? "". Wine fa me, darlin'. When dat money keep blowin', swat. why shorty tip toein. Got ya left cheek shown, mama. Tip... (huh). Bring that body my way (my way). Can't take it off my brain. Look like you do ballet. Hold tight when you tip toe (when you tip toe). Shake something when you tip toe (when you tip toe). No breaks when you push that back (that back). Left, right, do it just like that (like that). Hold tight when you tip toe (when you tip toe). Hold tight when ya. Wine fa me, darlin'. Way you move ya spine is alarmin'. Mi wan you just wine fa me, darlin'. One-time, two-time for the Dj. Tip toe"
naked,"You're my favorite. I treat my penthouse like basements, yeah. I treat a bad bitch like she basic, aw yeah. I hit three hundred hoes way before I was famous, yeah. I'm faded, I'm faded, I usually don't say shit. (Faded). (Faded). Fuck with a nigga even if I ain't had no bitch. She wanna take it slow. I told that bitch to go pop some xans. She said ""I took about three. I don't know how long it's gonna last"". I tell her ""shut the fuck up"". Cause she love when I talk like that. I just wanna get you naked. I just wanna get you naked. I, I just wanna get you naked. Out of all the pussy you're my favorite. And all my niggas say Jay you better chill. Better know you're a keeper. Bought you a benz with the windows tinted. Can't nobody see you. I just wanna get you naked. Out of all the pussy you're my favorite. Smoke that shit, boutta. Fuck her so good she like aw. My nigga I'm a CEO, oh, oh, oh. Look we can talk about hits or talk about who I hit. Did a song with 2 Chainz but I was rocking my shit. Yeah I broke up with my ex, I ain't talk to her since. The only time I need the sparks. Is when I light up my spliffs. Yeah I been all around the world. Probably write me a book. Three kitchens in the crib, I don't know how to cook. I got a mansion in Miami, I forgot how it look. All I need is two things and that's pussy and kush. Waving in the foreign, nigga always. Got a nigga feeling like the God. I think I'm Charlemagne. Too much for all the plaques in my hallways. Fuck with a nigga even if I ain't had no bitch. She wanna take it slow. I told that bitch to go pop some xans. She said ""I took about three. I don't know how long it's gonna last"". I tell her ""shut the fuck up"". Cause she love when I talk like that. I just wanna get you naked. I just wanna get you naked. I, I just wanna get you naked (get you naked baby). Out of all the pussy you're my favorite. And all my niggas say Jay you better chill. Better know you're a keeper. Bought you a benz with the windows tinted. Can't nobody see you. I just wanna get you naked. Out of all the pussy you're my favorite. Smoke that shit, boutta. Fuck her so good she like aw. My nigga I'm a CEO, oh, oh, oh. Out of all the pussy you're my favorite. Favorite, aw, aw no no no"
