down (feat. lil wayne),"Baby are you down down down down down,. Down, down,. Even if the sky is falling down,. Down, down. Ooh (ohhh). You oughta know, tonight is the night to let it go,. Put on a show, I wanna see how you lose control,. So leave it behind 'cause we,. Have a night to get away,. So come on and fly with me,. As we make our great escape.. So baby don't worry, you are my only,. You won't be lonely, even if the sky is falling down,. You'll be my only, no need to worry,. Baby are you down down down down down,. Down, Down,. Baby are you down down down down down,. Down, Down,. Even if the sky is falling down,. Just let it be,. Come on and bring your body next to me,. I'll take you away, hey,. Turn this place into our private getaway,. So leave it behind. 'cause we, have a night to get away,. So come on and fly with me,. As we make our great escape,. (So why don't we run away). So baby don't worry, you are my only,. You won't be lonely, even if the sky is falling down,. You'll be my only, no need to worry,. Baby are you down down down down down,. Down, Down,. Baby are you down down down down down,. Down, Down,. Even if the sky is falling down,. Lil Wayne. Even if the sky is falling down like she supposed to be,. She gets down low for me,. Down like her temperature, 'cause to me she zero. Degree,. She cold, overfreeze,. I got that girl from overseas,. Now she my miss America,. Now can I be her soldier please,. I'm fighting for this girl,. In a battlefield of love. Don't it look like baby cupid sent his arrows from above,. Don't you ever leave the side of me,. Indefinitely, not probably,. And honestly I'm down like the economy,. Yeahhhhhh. So baby don't worry, you are my only,. You won't be lonely, even if the sky is falling down,. You'll be my only, no need to worry,. Baby are you down down down down down,. Down, Down,. Baby are you down down down down down,. Down, Down,. Even if the sky is falling down"
"do you remember (feat. sean paul, lil jon)","Hey, Jay Sean, Sean Paul. Yeah, Lil Jon. This one right here is for all the ladies. Ladies, who want to take it back. Holler at them Jay. I've been thinking about you. And how we used to. Be then back when we didn't have to live. We could start again. There's nothing left to say. Don't waste another day. Just you and me tonight. Everything will be okay. If it's alright with you. Then it's alright with me. Baby, let's take this time. Let's make new memories. Do you remember, do you remember. Do you remember all of the times we had?. Do you remember, do you remember. Do you remember all of the times we had?. Let's bring it back. (Bring it back). Let's bring it back. (Bring it back). Let's bring it back. (Bring it back). Let's bring it back. (Bring it back). Let's bring it back. Yo Jay, sing to these ladies. So long since you've been missing. It's good to see you again. How you, how you doing?. And how about we don't let this happen again. There's nothing left to say. Don't waste another day. Just you and me tonight. Everything will be okay. If it's alright with you. Then it's alright with me. Baby, let's take this time. Let's make new memories. Do you remember, do you remember. Do you remember all of the times we had?. Do you remember, do you remember. Do you remember all of the times we had?. Let's bring it back. (Bring it back). Let's bring it back. (Bring it back). Let's bring it back. (Bring it back). Let's bring it back. (Bring it back). Yo, hey girl, yo. Bring it back to the time when you and me had just begun. When I was still your number one. Well, it might seem far-fetched, baby girl. But it can be done. I've got this feeling, fire blazing. And it's hot just like the sun. Know you feel it too, my girl. Just free it up, may the good vibes run. Girl, take a sip of the Champagne. Take a lil trip down my lane, my girl. While you know every night you'll feel alright. Look I tell you this girl out of my world. Don't change, I'mma rearrange, my girl. I'mma tell you straight, this out of my world. How many years do you want come kiss?. This I know you miss this, that's what I heard. That's what I heard, that's what I heard, word, girl. There's nothing left to say. Don't waste another day. Just you and me tonight. Everything will be okay. If it's alright with you. Then it's alright with me. Baby, let's take this time. Let's make new memories. Do you remember, do you remember. Do you remember all of the times we had?. Do you remember, do you remember. Do you remember all of the times we had?. Let's bring it back. (Let's bring it back). Let's bring it back. (Bring it back). Let's bring it back. (Let's bring it back). Let's bring it back. (Oh). Let's bring it back"
ride it,"It's been about a month and twenty days.... And were going round and round playing silly games.... Now your saying, slow it down, not right now.... Then you wink at me and walk away.... Now, let it be, let it be, let it be known.... Oh no, don't go.... Touching and teasing me, telling me no.... But this time I need to feel you.... [Chorus:]. (Ride it) were all alone.... (Ride it) just loose control.... (Ride it, ride it) touch my soul.... (Ride it, ride it) let me feel you.... (Ride it) turn the lights down low.... (Ride it) from head to toe.... (Ride it, ride it) touch my soul.... (Ride it, ride it) let me feel you.... (Let me feel you). It's been about a month and twenty days.... And were going round and round playing silly games.... Now your saying, slow it down, not right now.... Then you wink at me and walk away.... Now, let it be, let it be, let it be known.... Oh no, don't go.... Touching and teasing me, telling me no.... But this time I need to feel you.... [Chorus:]. (Ride it) were all alone.... (Ride it) just loose control.... (Ride it, ride it) touch my soul.... (Ride it, ride it) let me feel you.... (Ride it) turn the lights down low.... (Ride it) from head to toe.... (Ride it, ride it) touch my soul.... (Ride it, ride it) let me feel you.... It's been about a month and twenty days.... And were going round and round playing silly games.... Now your saying, slow it down, not right now.... Then you wink at me and walk away... Now, let it be, let it be, let it be known.... Oh no, don't go... Touching and teasing me, telling me no.... But this time I need to feel you.... [Chorus:]. (Ride it) were all alone.... (Ride it) just loose control.... (Ride it, ride it) touch my soul.... (Ride it, ride it) let me feel you.... (Ride it) turn the lights down low.... (Ride it) from head to toe.... (Ride it, ride it) touch my soul.... (Ride it, ride it) let me feel you..."
dance wid you,"Jay Sean, Rishi Rich, Juggy D. UK (C'mon). Girl you got exactly what I need. I aint gonna lie with you is where I wanna be. All up in the club the finest girl I see. I know that you want me to come over to you and talk. I'm just tryna keep it real with you. Are you feeling me the way I'm feeling you. You go call your crew and Ima call my crew. Coz Jay, Rishi Rich and Juggy D are coming through. Kurri soni te akh mastani. Tu giddha de rani, Ne gal sun ja. Tu dil kholeyain te mere man mohleyain. Te ek galan horiyan, Ne gal sun ja. Ho mehta tere naal nachnaa. Ho mehta tere naal nachnaa. I just wanna dance with you. Ho mehta tere naal nachnaa...nachnaa...nachnaa...nachnaa. Girl what have I told you. Been thinking of all the possible lyrical ways. To come and approach you. Haven't been able to think of anything. Other than wanting to reach ya. I aint tryna speach ya. I aint gonna use any lyrics to impress ya. A gentleman from the start. I'll get you a drink at the bar. Thinking I'm making you tickle and laugh. Telling me you wanna head to the car. If its alright with you then its alright with me. So get your coat coz tonight you're leaving with me. Now I've got you in my ride. Tell me what's on your mind. Shall we continue moving on, cruising on. Girl we're heading to my home (we're heading to my home...). We'll take it nice and slow (take it nice and slow...). And I will show you what it is I wanna do (but only if you dare..!). Ho mehta tere naal nachnaa. Ho mehta tere naal nachnaa. I just wanna dance with you. Ho mehta tere naal nachnaa...nachnaa...nachnaa...nachnaa. I just want you next to me. A lil taste of ecstacy. Tomorrow you'll be texting me. You know it's true. Girl if you just roll with me. Maybe get to know with me. If you wanna maybe come on home with me. And we can do whatever you wanna do. Ho mehta tere naal nachnaa. Ho mehta tere naal nachnaa. I just wanna dance with you. Ho mehta tere naal nachnaa...nachnaa...nachnaa...nachnaa. Ho mehta tere naal nachnaa. Ho mehta tere naal nachnaa. I just wanna dance with you. Ho mehta tere naal nachnaa...nachnaa...nachnaa...nachnaa"
sex 101 (feat. tyga),"Sex 101, sex 101, s-sex 101. Sex 101, sex 101, s-sex 101, sex 101. Girl you can have,. 1 and 2 and 3 and 4. Bottles or more. Ain't no feelings. You can stay longer. Whatever you wanna. Baby break it down like this. You gotta body that I cant resist. And there's so many things that I wanna see. Just a few things that I wanna see. Yeah, yeah. I wanna take you home. Are you coming?. Cos I shoulda point with my lovin. Yeah. You learning something new for the night. I can do you right, yeah. I can change your life. So tell me, tell me whats it gon be. Baby are you coming coming home with me. Baby. Its whatever you like. Yeah yeah. Girl you wanna leave. It ain't nothing better watching me. Me and you can get up in them sheets. Then sex 101 baby, yeah. And if you wanna leave. Show you things that you've never seen. Do the things that you wont believe. That sex 101 baby, baby, yeah. Sex 101, its one on one. Sex 101, its one on one. Sex 101, its one on one. So baby close the door. Let your dress slick down to the floor. Baby I'm sure. We gon get it in. I'm gon do it proper. We can take our time. You ain't even gotta rush. The only ones in class are us. And there's so many things that I wanna see. Plus a few things that I wanna teach. Oh oh. I wanna take you home. Are you coming. Cos I shoulda point with my lovin. Yeah. You learning something new for the night. I can do you right, yeah. Imma change your life. So tell me, tell me whats it gon be. Baby are you coming coming home with me. Baby. Its whatever you like. Yeah yeah. Girl you wanna leave. It ain't nothing better watching me. Me and you can get up in them sheets. Then sex 101 baby, yeah. And if you wanna leave. Show you things that you've never seen. Do the things that you wont believe. That sex 101 baby, baby, yeah. Sex 101, its one on one. Sex 101, its one on one. Sex 101, its one on one. Uh, lay down on the bed flat. Got your light I ain't know it was like that. Bite you near your neck. Don't be scared to bite back. Once I get you wet you cant fight that. Soaking in the sheets hope you got another set. Cos when I'm done guarantee we gon leave a mess. Rubbing on my tatts put this ice on your chest. Sex all night one on one no stress. Uh, get you high when I'm going low. Got the heavy metal shit no rock n roll. Roll you up now I'm licking in your ear lobe. Got that nice and slow, like usher dough. Most women they tempt me to move fast. But Imma make the time stretch like gym class. Bet you never had, keep you coming back. It back, it back, it back. She knows, that I really wanna test your body. Got so many questions. And you ain't even needa ask no body. Ill teach you the lesson. Touch me here, touch me there. Kiss me here, anywhere. Before I cant go off all night long. Sex 101, sex 101, s-sex 101. Sex 101, sex 101, s-sex 101. Girl you wanna leave. It ain't nothing better watching me. Me and you can get up in them sheets. Then sex 101 baby, yeah. And if you wanna leave. Show you things that you've never seen. Do the things that you wont believe. That's sex 101 baby, baby, yeah. Sex 101, its one on one. Sex 101, its one on one. Sex 101, its one on one. We can do it,. We can do it all night. We can do it,. We can do it all night. Yeah, all night yeah"
i won't tell,"[Part 1:]. It's like watching a movie. Double-featured. She plays like a good girl. But I don't believe her. Girl what's your sign?. You must be a gemini. A sweet girl from the ??. And I just can't leave her. . O-Oh there she goes on in turning. From Dr.Jekyll to Hyde. And I can't wait till the ??. turns to the freak inside.. It's like the man of the moon. And you just met 'em off the side. But this ain't no fairytale. Cuz I got you here tonight.. I won't tell ( 3 x ). She's a lady on the street but a freak on the weekend.. I won't tell ( 3 x ). She's a lady on the street but a freak but a freak... [Part 2:]. It's like mixing a showgirl. With a priestschool teacher. Every man is gonna see. That you wish you could meet her.. She's a girl gone wild. But I won't tame her,. She's mine mine mine... The girl is... O-Oh there she goes on in turning. From Dr.Jekyll to Hyde. And I can't wait till the ??. turns to the freak inside.. It's like the man of the moon. And you just met 'em off the side. But this ain't no fairytale. Cuz I got you here tonight.. I won't tell ( 3 x ). She's a lady on the street but a freak on the weekend.. I won't tell ( 3 x ). She's a lady on the street but a freak but a freak... I won't tell ( 3 x ). She's a lady on the street but a freak on the weekend.. I won't tell ( 3 x ). She's a lady on the street but a freak but a freak... I won't tell ( 3 x ). She's a lady on the street but a freak on the weekend.. I won't tell ( 3 x ). She's a lady on the street but a freak but a freak.."
maybe,"(Verse 1). Beep beep oh look now there goes my phone. And once again im just hoping its a text from you. (bridge). It aint right I read your messages twice thrice four times a night its true. Everyday I patiently wait. Feeling like a fool but I do anyway. Nothing can feel as sweet and as real. As knowing I wasn't waiting in vain. (chorus). And maybe its true (may be its true) im caught up on you. Maybe there's a chance that you're stuck on me too. Maybe im wrong its all,in my head. Maybe we're awaiting words we both hadnt said. (verse 2). I'm always connected online. Hooked on facebook all the time. Hoping you've checked my profile. (verse 3). Just can't help wondering why you play it cool but see I'm hopelessly falling for you. (verse 4). Every night on the phone and I flirt with you and I know you that you like it girl, all joking aside, what say you and i,come out and say what we're trying to hide.. (chorus). And maybe its true (may be its true) im caught up on you. Maybe there's a chance you're stuck on me too. Maybe im wrong its all,in my head. Maybe we're awaiting words we both hadnt said. (bridge) x2. Like I really want you, I think I need you, maybe I miss you, im thinking of you. Chorus). And maybe its true oh (may be its true) im caught up on you. (maybe yeh)maybe there's a chance you're stuck on me too. So maybe im wrong (maybe yeh)its all,in my head (oh no). Maybe we're awaiting words we both hadnt said. (chorus). And maybe its true (may be its true) im caught up on you. Maybe there's a chance you're stuck on me too. So maybe im wrong its all,in my head. Maybe we're awaiting words we both hadnt said"
war,"I would march across the desert to defeat my enemy. And I would lie here in the trenches with your picture next to me. And when I told you it's forever, then it's how it's gonna be. Don't, won't let him just take the place of me. (No...). Does he really know you like I know you, all the. little things?. Does he really love you, like I love you, how can he compete?. If he makes me fight for you, die for you, would he do the same?. This is turning into way more than a game.... Now it feels like soldiers in a war and none of us are backing down. And I will show you victory is mine before we leave this battleground. Cause he don't wanna leave, and I don't wanna go. And I know just how this battle goes. He don't wanna leave and I don't wanna fight this kind of war. You know he's not the man you think he is; he's hiding all his flaws. So tell me what's the point of fighting? Because we'll all end up with scars. But girl if that's what I must go through, then I'm not prepared to lose. Cause I've already bled so much for you (No...). Does he really know you like I know you, all the. little things?. Does he really love you, like I love you, how can he compete?. If he makes me fight for you, I die for you, would he do the same?. Baby this is turning into way more than a game.... Baby cause we're soldiers in a war and none of us are backing down. And I will show you victory is mine before we leave this battleground. Cause he don't wanna leave, and I don't wanna go. And I know just how this battle goes. He don't wanna leave and I don't wanna fight this kind of war (No, No...). Getting kind of sick of this battle. Wish I could take it back to when I had you. I'm always thinking that I can have you, just let him have you. It's getting kinda hard to convince you. After all the shit that we've been through. What, would you let all this happen?. You gotta choice to make it stop. It's already going too far.... Girl we're soldiers in a war and none of us are. backing down. And I will show you victory is mine before we leave this battleground. Cause he don't wanna leave, and I don't wanna go. And I know just how this battle goes. He don't wanna leave and I don't wanna fight this kind of war. Cause he don't wanna leave, and I don't wanna go. And I know just how this battle goes. He don't wanna leave and I don't wanna fight this kind of war..."
i used to love her,"I was crazy man you wouldn't believe what I seen. Got me reminiscing down too much memories. The only girl you know that in my heart. The one I almost gave that ring. But we were so young, mustve been only nineteen. I guess the time wasn't right and we said some mean things. A bitter day when I saw her face. She was the one that I let get away. I remember when I used to love her, used to love her, used to love her. I remember when I used to love her, used to love her, used to love her. The time goes on, goes on, goes on. The time goes on, goes on, goes on. There was talkin' in the room that everythings good. There was no love lost between us I couldn't. Believe how I truly noticed now that I wasn't over her. And now I'm like oh damn cause now I know man. Lookin' back at all our pictures while I'm playing slow jamz. What can I say, is that the way our situation worked out. Wish there was something I could do. Like stop the clock just lookin. Go back and revisit our relationship and start brand new. And do the things that I didn't do. I remember when I used to love her, used to love her, used to love her. I remember when I used to love her, used to love her, used to love her. The time goes on, goes on, goes on. The time goes on, goes on, goes on. Man I know it's crazy. She pulled me back with just a smile. Now I feel these things inside. I havent felt em' in a while. And I'm sure that they will go away just a little time. She'll always be that girl to me. But now I gotta let her see. I used to love her..."
come with me,"When I wake up in the morning I see. Everybody's looking at me. Whispering and talking, pointin fingers at me. What is it that they want me to be. Can't keep up this fight no more. Won't keep up this fight no more. So I run to my world, (my world) my world. Where I can do what I want and be free to be myself. I gotta run to my world, my world. Coz I aint comfortable with trying to be somebody else. [Chorus:]. I gotta get away from this crazy life. Get away from the hype. Get away from this two and two makes five. Take a look beyond what they see. Maybe you will realise. So come with me. On my roller-coaster ride. When you go to sleep at night you dream. Of all the things you've always wanted to be. But when you wake up in the morning you see. That everything is out of your reach. Can't keep up this fight no more. Won't keep up this fight no more. [Chorus]. Let me show you all the things you don't see. Come with me. If you don't already know. This life you see is so different on the inside. If you. Come with me. So let me know. [Chorus]"
