and i am telling you i'm not going,"And I am telling you. Im not going. You're the best man I'll ever know. There's no way I can ever go. No, no, there's no way. No, no, no, no way I'm living without you. Im not living without you. I dont wanna be free. Im staying. Im staying. And you, and you. You're gonna love me, oohh ooh mm mm. You're gonna love me. And I am telling you. I'm not going. Even though the rough times are showing. There's just no way, there's no way. We're part of the same place. We're part of the same time. We both share the same blood. We both have the same mind. And time and time, we've had so much to see and. No, no, no, no, no, no. Im not waking up tomorrow morning and finding that. there's nobody there. And darling there's no way. No, no, no, no way Im living without you. Im not living without you. You see there's just no way, there's no way. Tear down the mountains. Yell, scream, and shout like you can say what you want. Im not walking out. Stop all the rivers, push, strike, and kill. Im not gonna leave you. There's no way I will. And I am telling you. Im not going. You're the best man I'll ever know. There's no way I can ever, ever go. No, no, no, no way. No, no, no, no way Im living without you. Oh, Im not living without you, not living without you. I dont wanna be free. Im staying, Im staying. And you, and you, and you. You're gonna love me. You're gonna love me, yes you are. Ooh ooh love me, ooh ooh ooh love me. Love me, love me, love me, love me. You're gonna love me"
i will always love you,"If I should stay. I would only be in your way. So I'll go but I know. I'll think of you. Every step of the way. And I, will always love you. I will always love you. You, my darling you. Bitter sweet memories. That is all I'm taking with me. So goodbye, please don't cry. We both know I'm not what you, you need. And I, will always love you. I will always love you, oh. I hope life treats you kind. And I hope you'll have. All you've dreamed of. And I wished you joy. And happiness. But above all this, I wish you love. And I, will always love you. I will always love you. I will always love you. I will always love you. I will always love you. I, I will always love you, you. Darling I love you. I'll always. I'll always. Love you"
spotlight,"Are you a man who loves. And cherishes and cares for me?. Is that you? Is that you? Is that you?. Are you a guard in a prison maximum security?. Is that you? Is that you? Is that you?. Do we stay home all the time. 'Cause you want me to yourself?. Is that you? Is that you? Is that you?. Or am I locked away out of fear that I'll find someone else?. Is that you? Is that you? Is that you?. Well, I don't like (o-hoo). Living under your spotlight (o-hoo). Just because you think I might (o-hoo). Find somebody worthy. Oh, I don't like (o-hoo). Living under your spotlight. Maybe if you treat me right. You won't have to worry. Is this a relationship. Fulfilling your needs as well as mine?. Is that you? Is that you? Is that you?. Or is this just my sentence. Am I doing time?. Is that you? Is that you? Is that you?. If this is love, real, real love. Then I'm staying no doubt. Is that you? Is that you? Is that you?. But if I'm just love's prisoner. Then I'm busting out (oh). Is that you? Is that you? Is that you?. Well, I don't like (o-hoo). Living under your spotlight (o-hoo). Just because you think I might (o-hoo). Find somebody worthy. Oh, I don't like (o-hoo). Living under your spotlight. Maybe if you treat me right. You won't have to worry. Oh, you ought to be ashamed of yourself. What the hell do you think you're doing. Loving me, loving me so wrong?. Baby, all I do is try (try). To show you that you're mine (mine). One and only guy (only guy). No matter who may come along. Open your eyes 'cause, baby, I don't like. Ooh, ooh (oh, oh). Ooh, ooh (hey, 'cause I don't like!). Well, I don't like. Living under your spotlight (no, no). Just because you think I might (hee). Find somebody worthy (no, I don't like, yeah). And I don't like. Living under your spotlight. (Living under your spotlight). Maybe if you treat me right. (Treat me right, yeah!). You won't have to worry. (I don't like)"
one night only,"You want all my love and my devotion. You want my love and soul right on the line. I have no doubt that I could love you forever. The only trouble is. You really don't have the time. You've got one night only. One night only. That's all we have to spare. One night only. Let's not pretend to care. One night only. One night only. Come on, big baby, come on. One night only. We only have 'till dawn. In the morning this feeling will be gone. It has no chance going on. Something so right has got no chance to live. So let's forget about chances. It's one night I will give. One night only. One night only. You'll be the only one. One night only. Then you'll have to run. One night only. One night only. There's nothing more to say. One night only. Words get in the way. One night only. One night only. One night only"
i'm here,"I don't need you to love me,. I don't need you to love. I got.... I got.... I got my sister. I can feel her now. She may not be here, but she still mine. And i know she still love me. Got my house. It still keep the cold out. Got my chair. When my body can't hold out. Got my hands. Doin' good like they s'pose to. Showin' my heart. To the folks that i'm close to.. Got my eyes. Though they don't see as far now. I know more 'bout how things. Really are now .... I'm gonna take a deep breath. Gonna hold my head up. Gonna put my shoulders back. And look you straight in the eye. I'm gonna flirt with somebody. When they walk by. I'm gonna sing out... Sing out.. I believe i have inside of me. Everything that i need to live a bountiful life.. With all the love alive in me. I'll stand as tall as the tallest tree.. And i'm. Thankful for everyday that i'm given,. Both the easy and hard ones i'm livin'.. But most of all. I'm thankful for. Loving who i really am.. You're beautiful.. Yes, i'm beautiful,. And i'm here."
i love you i do,"Never met a man quite like you. doing all you can. making my dreams come true. you're strong and you'rer smart. you've taken my heart. and I'll give you the rest of me too. your the perfect man for me. I love you I do. mmm I love ya. never I have felt quite like this. good about myself. from our very first kiss. I'm here when you call. you've got it all. and confidence like I never knew. you're the perfect man for me. I love you I do. you've got the charm. you simply disarm me everytime. as long as you drive. I'm along for the ride your way. you've said it before. there won't be a door that's closed to us. I'm puttin' all my trust in you. cuz you, you'll always be true. aaaaaaaa-wwwww. I never could've known this would be. aaah you and you alone yeahhh. all for me. I know you're the best, you passed every test. it's almost too good to be true. you're the perfect man for me. I love you I do. your the perfect man for me. I love you I dooooo... dooooo"
remember me,"There you are, yeah you found me. Strong enough to break my sleep. Say you're hurt, say you're lonely. Say I forgot to give you what you need. But I promised you gold, yet I have it hold. I was bound to, I was bound to. I couldn't give anymore, 'cause it's already yours. Look around you, look around you. So do you, remember me?. In those moments just before you sleep. I know you, remember me. Swear to me the memory isn't seen. Promise me. That it doesn't make your heart beat. Doesn't make your heart beat. I know you, you know me. Aw baby we don't even have to speak. All you hear, same as you. What you feel, feel it too. All you gotta do is read. Nothing you ever said, that could drive me away. I'm inside you, I'm inside you. So if you make a mistake, let me carry your weight. I'm beside you, I'm beside you. I know you, remember me. In those moments just before you sleep. I know you, remember me. Swear to me the memory isn't seen. Promise me. That it doesn't make your heart beat. Doesn't make your heart beat. I'm here when you want me, when you want me. There's no place I'd rather be. You may not know it, may not know it. But it doesn't end like this, no it doesn't end like this.... I know you, remember me. In those moments just before you sleep. I know you, remember me. Swear to me, swear to me. You don't remember me. In those moments just before you sleep. I know you, remember me. Swear to me the memory isn't seen. Promise me. That it doesn't make your heart beat. No it doesn't make your heart beat"
"baby, i love you","If you want my lovin'. If you really do. don't be afraid baby. Just ask me. You know. I'm gonna give it to you. Oh, and I do declare. I want to see you with it. Stretch out. Your arms little boy. You're gonna get it. Cause I love you. ain't no doubt about it. Baby I love you. I love you, I love you. I love you. Baby I love you. If you feel. You want to kiss me. Go right ahead. I don't mind. All you got to do is. Snap your fingers. And I'll come running. I ain't lying. I ain't lying. I heard you. Once little boy. You know you got it. I'd deny my own self. Before I see you. Without it. I love you. Ain't no doubt about it. Baby I love you. I love you, I love you. I love you. Baby I love you. Someday you might. Want to run away. And leave me sittin'. Here cryin'. But if it's all. The same to you baby. I'm gonna stop you. From sayin' goodbye. Baby I love you. Baby I need ya. Said I want ya. Got to have you baby. Don't let your neighbors. Tell you. I don't want you"
i still love you,"Ain't it strange how I call out your name. I met silence again can't remember when. I last smiled with it doing bad is good. But I'm letting go, I'm giving in. Cause I still love you. Please come back to me. I still love you. He's everything I need. I still love you. You make my life complete. I still loooove you. I need to breathe I need you to succeed. I met silence again cause it's love where in I can hate to say. I'm immune to pain if you break these chains. Help me live again if I've knows it was you. I once said it was you. But you gave up too soon. You made it to you,. I will risk my heart if you risk yours again. Boy I'm letting go I'm giving in. Cause I still love you. Please come back to me. I still love you. He's everything I need. I still love you. You make my life complete. I still looooove you. No one ever wants to say goodbye. We shoulda give ourselves another try. Shoulda only be one thing, us against the wind. Now I only have myself to blame. I promise I think on rain. Wish our feelings never changed. But I'm letting go, I'm giving in. I still love you. Please come back to me. I still love you. He's everything I need. I still love you. You make my life complete. I still loooove you. I still love you. Please come back to me. He's everything I need. You make my life complete. I still love you baby. Please come back to me. He's everything I need. I still love you. You make my life complete. I still loooove you, yooouu"
i am changing,"Look at me. Look at me. I am changing, tryin' every way I can. I am changing, I'll be better than I am. I'm trying-to find a way to understand. But I need you, I need you-I need a hand. I am changing, seeing everything so clear now. I am changng, I'm gonna start right now, right here. I'm hoping to work it out, and I know that I can. But I need you, I need a hand. All my life I've been a fool. Who said I could do it all alone. How many good friends have I already lost. How many dark nights have I known. Walking down that wrong road, there was nothing I could. find. All those years of darkness-can make a person. blind. But now I can see. I am changing, tryin every way I can. I am changing, I'll be better than I am. But I need a friend-to help me start all over again,. oh-that would be just fine. I know it's gonna work out this time. 'Cause this time I am-This time I am. I am changing, gonna get my life together now. I am changing, yes, I know how. I'm gonna start again, I'm leaving my past. behind. I'll change my life-I'll make a vow. And nothing's gonna stop me now..."
