limitless,"I couldn't fight anymore. And I wouldn't lie anymore. All of the truths. That I couldn't ignore. I wouldn't fight in this war. No, no, no, no, no, no, no, no. No, no, no, no, no, no, no, no crying. No, no, no, no, no, no, no, no. No, no, no, no, no, no, no, no crying. I told myself I had to be a different someone. In order to win at a war I had already won. Yeah, I get it all from the saying: I'll never give up. But look at me now. Yeah, look at me, I'm limitless. Look at me now. Yeah, look at me, I'm limitless. I am a woman who roars. Nobody opened my doors. I am a woman saying I want more. So give me what I'm asking for. No, no, no, no, no, no, no, no. No, no, no, no, no, no, no, no crying. I told myself I had to be a different someone. In order to win at a war I had already won. Yeah, I get it all from the saying: I'll never give up. But look at me now. Yeah, look at me, I'm limitless. Look at me now. Yeah, look at me, I'm limitless. I made it home. I made it known. I am here to stay. I made it home. I made it known. I am here to stay. I made it home. I told myself I had to be a different someone. In order to win at a war I had already won. Yeah, I get it all from the saying: I'll never give up. But look at me now. Yeah, look at me, I'm limitless. Look at me now. Yeah, look at me, I'm limitless"
on the floor (feat. pitbull),"J-Lo!. You have the sound, man. It's a new generation. Mr. Worldwide. Party people. Get on the floor, darling. Get on the floor. Redone. Let me introduce you. To my party people. In the club. I'm loose. And everybody knows I get off the train. Baby it's the truth. I'm like inception I play with your brain. So I don't sleep I snooze. I don't play no games so don't get it confused, no. Cos you will lose, yeah. Now pump it up. And back it up like a Tonka truck, darling. If you're going hard you gotta get on the floor. If you're a party freak you better step on the floor. If you're an animal then tear up the floor. Break a sweat on the floor. Yeah, we work on the floor. Don't stop, keep it moving, put your drinks up. Keep the party, yeah, we're dropping on the floor. Let the rhythm change your world on the floor. You know we're running it tonight on the floor. Brazil, Morocco, London to Ibiza. Straight to L.A. New York. Vegas to Africa. Dance the night away. Live your life and stay out on the floor. Dance the night away. Grab somebody drink a little more. La la la la la la la la la la la la la la. Tonight we gon' be it on the floor. La la la la la la la la la la la la la la. Tonight we gon' be it on the floor. I know you got it, clap your hands on the floor. And keep on rocking work it up on the floor. If you're a criminal kill it on the floor. Steal it quick on the floor. On the floor. Don't stop keep it moving put your drinks up. It's getting ill, it's getting sick on the floor. We never quit, we never rest on the floor. If I am wrong, if I may die on the floor. Brazil, Morocco, London to Ibiza. Straight to L.A. New York. Vegas to Africa. Dance the night away. Live your life and stay out on the floor. Dance the night away. Grab somebody drink a little more. La la la la la la la la la la la la la la. Tonight we gon' be it on the floor. La la la la la la la la la la la la la la. Tonight we gon' be it on the floor. That badonka donk is like a trunk full of bass on an old school Chevy. All I need is some vodka and some coke. And watch the chica get donkey konged. Baby, if you're ready for things to get heavy. I get on the floor and act a fool if you let me. Don't believe me just vet me. My name ain't Keath but I see why you Sweat me. L.A. Miami New York. Say no more get on the floor. La la la la la la la la la la la la la la. Tonight we gon' be it on the floor. La la la la la la la la la la la la la la. Tonight we gon' be it on the floor"
get right,"(Fabolous): .... Guess who. J to the Lo. F to the 'ab'. Oh, yeah, oh, yeah, oh, yeah. I'm ain't Mr. Right, I'm Mr. Right Now (Oh!). I keep women in thongs comin' along (Oh!). Invisibly set stones, some of them prone. I can tell you ain't never had someone this long. One night, have them bumpin' my song like 'mmm, mmm'. girl. You ain't know I was comin' this strong. Now you know not to come at me wrong. I get right, uh. Verse 1:. You lookin' just a little too hard at me. Standin' just a little too close to me. You sayin not quite enough to me. You sippin' just a little too slow to me. No doubt you playin' real cool homie. Got me thinkin' what is it you can do for me. Trippin' ova, a little more than I should be. So let yourself go, and get right with me. Chorus:. I'm about to sign you up, we can get right. Before the night is up, we can get right. I'm about to fill you cup, we can get right. Before the night is up, we can get right. Your lips talkin' bout I play too much. Can't a woman take advantage of what she wants. My hips movin' oh so slow. Bar tab lookin' like a car note. All I need is you here right by my side. Take whatever you want, baby let's ride. And whatever you want you let me decide. Just put your name on the dotted line. Chorus:. I'm about to sign you up, we can get right. Before the night is up, we can get right. I'm about to fill you cup, we can get right. Before the night is up, we can get right (3x). So much we've got to say. But so little time. And if tonight ain't long enough. Don't leave love behind. Baby, take my hand, I'll show you why. Chorus:. I'm about to sign you up, we can get right. Before the night is up, we can get right. I'm about to fill you cup, we can get right. Before the night is up, we can get right (3x)"
if you had my love,"If you had my love. And I gave you all my trust. Would you comfort me?. And if somehow you knew. That your love would be untrue. Would you lie to me. And call me baby?. Now if I give you me. This is how it's got to be:. First of all, I won't take you cheatin' on me. Tell me who can I trust. If I can't trust in you. And I refuse to let you play me for a fool. You said that we could possibly. Spend eternity. (see that's what you told me; that's what you said). But if you want me. You have to be fulfilling all my dreams. (if you really want me, babe). If you had my love. And I gave you all my trust. Would you comfort me?. And if somehow you knew. That your love would be untrue. Would you lie to me. And call me baby?. Said you want my love and you've got to have it all. But first there are some things you need to know. If you wanna live with all I have to give. I need to feel true love or it's got to end, yeah. I don't want you tryin' to get with me. And I end up unhappy. (don't need the hurt and I don't need the pain). So before I do give myself to you. I have to know the truth. (if I spend my life with you). If you had my love. And I gave you all my trust. Would you comfort me?. And if somehow you knew. That your love would be untrue. Would you lie to me. And call me baby?"
all i have (feat. ll cool j),"Loving Life & Life Is Living. Very Special. Baby don't go, baby don't go. Baby don't go, baby don't go. (Jen):. It's such a shame but I'm leavin. Can't take the way you mistreated me. And it's crazy but oh baby. It don't matter, whatever. It don't phase me. (Ll Cool J):. I don't believe you wanna leave like this. I don't believe I just had my last real kiss. I do believe we'll laugh and reminisce. Wait a minute, dont bounce baby, let's talk about this. (Jen):. Well, I'm bouncin. And I'm out son. I gotta leave you alone. Cause I'm good. Holdin down my spot. And I'm good. Reppin' the girls on the block. And I'm good. I got this thing on lock. So without me you'll be fine, right?. (Jen):. All my pride is all I have. (Ll Cool J):. Pride is what you had, baby girl, I'm what you have. (Jen):. You'll be needing me, but too bad. (Ll Cool J):. Be easy, don't make decisions when you're mad. (Jen):. The path you chose to run alone. (Ll Cool J):. I know you're independent, you can make it on ya own. (Jen):. Here with me you had a home, oh yeah.... (Ll Cool J):. But time is of the essence, why spend it alone, huh. (Jen):. All the nights I waited up for you. Promises you made about coming through. So much time you wasted. That's why I had to replace you. (Ll Cool J):. It makes a cat nervous. The thought of settlin down. Especially me. I was creepin' all over town. I thought my tender touch could lock you down. I knew I had you. As cocky as it sounds. The way you used to give it right. Before I put it down *Jen laughs*. It's better when you angry. Come here, Ill prove it now. Come here. (Jen):. Stop playin'. You gamin'. I gotta leave you alone. Cause I'm good. Holdin down my spot. And I'm good. Reppin the girls on the block. And I'm good. I got this thing on lock. So without me you'll be fine, right?. (Jen):. All my pride is all I have. (Ll Cool J):. Pride is what you had, baby girl, I'm what you have. (Jen):. You'll be needing me, but too bad. (Ll Cool J):. Be easy, don't make decisions when you're mad. (Jen):. The path you chose to run alone. (Ll Cool J):. I know you're independent, you can make it on ya own. (Jen):. Here with me you had a home, oh yeah.... (Ll Cool J):. But time is of the essence, why spend it alone, huh. (Ll Cool J):. People make mistakes To make-up, to break-up, to wake-up. Cold and lonely Chill, baby, you know me. You love me I'm like your homie. Instead of beefin Come hold me. I promise I'm not a phony. So don't bounce baby Concole me. (Jen):. Ain't nothin you can say, to me That can change my mind. I gotta let you go now. Ain't nothin will ever be the same So just be on your way. Go ahead and do yo thing now. And there's no more to explain to me. You know, Iknow ya game I'm not feelin' what you do. So I'm bouncin'. And I'm out son. I gotta leave you alone. Yeah, yeah.... (Jen):. All my pride is all I have. (Ll Cool J):. Pride is what you had, baby girl, I'm what you have. (Jen):. You'll be needing me, but too bad. (Ll Cool J):. Be easy, don't make decisions when you're mad. (Jen):. The path you chose to run alone. (Ll Cool J):. I know you're independent, you can make it on ya own. (Jen):. Here with me you had a home, oh yeah.... (Ll Cool J):. But time is of the essence, why spend it alone, huh. (Jen):. All my pride is all I have. (Ll Cool J):. Pride is what you had, baby girl, I'm what you have. (Jen):. You'll be needing me, but too bad. (Ll Cool J):. Be easy, don't make decisions when you're mad. (Jen):. The path you chose to run alone. (Ll Cool J):. I know you're independent, you can make it on ya own. (Jen):. Here with me you had a home, oh yeah.... (Ll Cool J):. But time is of the essence, why spend it alone, huh"
ain't your mama,"[Chorus]. I ain't gon' be cooking all day, I ain't your mama. I ain't gon' do your laundry, I ain't your mama. I ain't your mama, boy, I ain't your mama. When you're gon' get your act together?. I ain't your mama. No, I ain't your mama. No, I ain't your mama, no. [Verse 1]. Wake up, rise and shine, ah-yeah-yeah-yeah. Let's get to work on time, ah-yeah-yeah-yeah. No more playing video games, ah-yeah-yeah-yeah. Things are about to change, 'round here, 'round here. [Pre-Chorus]. We used to be crazy in love. Can we go back to how it was?. When did you get too comfortable?. Cause I'm too good for that, I'm too good for that. Just remember that, hey. [Chorus]. I ain't gon' be cooking all day, I ain't your mama. I ain't gon' do your laundry, I ain't your mama. I ain't your mama, boy, I ain't your mama. When you're gon' get your act together?. I ain't your mama. No, I ain't your mama. No, I ain't your mama, no. [Verse 2]. Lucky to have these curves, ah-yeah-yeah-yeah. Stop getting on my nerves, ah-yeah-yeah-yeah. You still tryna ride this train? Ah-yeah-yeah-yeah. Cause some things have gotta change. 'round here, 'round here. [Pre-Chorus]. We used to be crazy in love. Can we go back to how it was?. When did you get too comfortable?. Cause I'm too good for that, I'm too good for that. Just remember that, hey. [Chorus]. I ain't gon' be cooking all day, I ain't your mama. (I ain't your mama, no). I ain't gon' do your laundry, I ain't your mama. (I ain't your mama, hey). I ain't your mama, boy, I ain't your mama. When you're gon' get your act together?. I ain't your mama (I ain't your mama). No, I ain't your mama. No, I ain't your mama, no. I ain't your mama, no. [Pre-Chorus]. We used to be crazy in love. Can we go back to how it was?. When did you get too comfortable?. Cause I'm too good for that, I'm too good for that. Just remember that, hey. [Chorus]. I ain't gon' be cooking all day, I ain't your mama. (I ain't your mama). I ain't gon' do your laundry, I ain't your mama. (I ain't your mama). I ain't your mama, boy (No, no, no). I ain't your mama, boy (No, no). When you're gon' get your act together?. (Cause I ain't your mama, hey). I ain't gon' be cooking all day, I ain't your mama. I ain't gon' do your laundry, I ain't your mama. (I ain't your mama, hey). I ain't your mama, boy (Na, na, na). I ain't your mama, boy (Na, na, na). When you're gon' get your act together?. (No, I ain't your mama, no). No, I ain't your mama. No, I ain't your mama"
"we are family (ice age 4) (with drake, heather morris, joy behar, nicki minaj, queen latifah","We are, we are. Not your ordinary fama-mily. But we can all agree that. We are, we are. Close as close can be. So it don't matter what it looks like. We look perfect to me. We got every kind of lover. We're so lucky indeed. They can keep on talking. It don't matter to me cause. We are, we are family. We are are are are (We are are). We are are are are (We are are). We are are are are (We are are). We are, we are family, family, family. We are, we are family. So what?. We don't look, we don't act. We don't walk, we don't talk. Like you do. So what?. If we hang just a hang and no shame. We both do what we want to. Cause we come from everywhere. Searching for ones to care. Somehow we found it here. We found us a home. We are, we are. Not your ordinary fami-mily. But we can all agree that. We are, we are. Close as close can be. So it don't matter what it looks like. We look perfect to me. We got every kind of lover. We're so lucky indeed. They can keep on talking. It don't matter to me cause. We are, we are family. Ok, so the links in our chains makes us strange. But really they make us stronger. And no one would replace not a thing. Mother or father. Cause we.... Cause we come from everywhere. Searching for ones to care. Somehow we found it here. We found us a home. We are, we are. Not your ordinary fami-mily. But we can all agree that. We are, we are. Close as close can be. So it don't matter what it looks like. We look perfect to me. We got every kind of lover. We're so lucky indeed. They can keep on talking. It don't matter to me cause. We are, we are family. (Family). (We are, we are). We are, we are family"
love don't cost a thing,"Think you gotta keep me iced. You don't. Think I'm gonna spend your cash. I won't. Even if you were broke. My love don't cost a thing. Think I wanna drive your Benz. I don't. If I wanna clothes I've got my own. Even if you were broke. My love don't cost a thing. When you rolled up in the Escalade. Saw that dub you gave to the valet. Knew that it was game when you looked at me. Pulling up your sleeve so I could see the Rolley bling. Saw you later in the corner booth. Raising up a toast so I would notice you. But you're hard to miss. Think you oughta know. Doesn't matter if you're ballin' out of control. All that matter's is. That you treat me right. Give me all the things I need. That money can't buy, yeah. Think you gotta keep me iced. You don't. Think I'm gonna spend your cash. I won't. Even if you were broke. My love don't cost a thing. Think I wanna drive your Benz. I don't. If I wanna clothes I've got my own. Even if you were broke. My love don't cost a thing. When I took a chance. Thought you'd understand. Baby, credit cards aren't romance. So you're tryin' to buy what's already yours. What I need from you is not available in stores. Seen a side of you that I really feel. Doing way too much, never keep it real. If it doesn't change, gotta hit the road. Now I'm leaving, with my keys. I've got to go. All that matter's is. That you treat me right. Give me all the things I need. That money can't buy, yeah. Think you gotta keep me iced. You don't. Think I'm gonna spend your cash. I won't. Even if you were broke. My love don't cost a thing. Think I wanna drive your Benz. I don't. If I wanna floss I've got my own. Even if you were broke. My love don't cost a thing. A thing, a thing, a thing. Yeah, yeah, yeah. You think the money that you've made. Can substitute the time you take. Take the keys here to my heart. Then you can win my heart. And get what's in my heart. I think you need to take some time. To show me that your love is true. There's more than dollar signs in you. Then you can win my heart. And get what's in my heart. Think you gotta keep me iced. You don't. Think I'm gonna spend your cash. I won't. Even if you were broke. My love don't cost a thing. Think I wanna drive your Benz. I don't. If I wanna clothes, I've got my own. Even if you were broke. My love don't cost a thing. My love don't cost a thing. My love don't cost a thing"
"dinero (feat. dj khaled, cardi b)","Me and Benjamín Franco stay at the banco. Getting checks like Nike, everywhere that I go. If you ain't getting no pesos, ¿qué estás haciendo? (J-Lo). Stack it up like legos, quiero dinero (another one). Me and my man, we stack it up to the ceiling (more money). Cállate la boca, let me finish (more money). Every day I'm alive I make a killing (let's get it). Yeah, I swear I'ma get it. Yo Quiero, Quiero dinero, ay. Yo Quiero, Quiero dinero, ay. I just want the green. want the money, want the cash flow. Yo quiero noventa si. cincuenta si, doscientos. Yo Quiero, Quiero dinero, ay. Yo Quiero, Quiero dinero, ay. I just want the green. want the money, want the cash flow. Yo quiero noventa sí. cincuenta sí, doscientos. Soy la Princesa, San Juan, Puerto Rico. They say money talk, but my talking bilingual. I should be cuffed 'cause I don't do singles. In love with the money so don't need to mingle (let's ride). Just back it up, hot talk yeah back it up. Holla at that if you actin' up. You ain't got that you can't sit with us, yeah. Designer frames make you double take. Bend it in in a double day. Yo Quiero, Quiero dinero, ay. Yo Quiero, Quiero dinero, ay. I just want the green. want the money, want the cash flow. Yo Quiero noventa sí. cincuenta sí, doscientos (Cardi B). (Look). They gon' do what I say so. Cardi B and J. Lo. Talk behind my back, but never up in my face, though. I just want my money, chips, guac, and queso. Y'all can kiss my ass, dame un beso. Dominicana, drippin' in designer. I got the juice, no Tropicana. I got the box that got the most flavor. Big fat cat like in the bodegas. Still making money moves (yeah). Tell me what you think (yeah). Merenge to the money (woo). Bachata to the bank (oww). I slice it up unlike sofrito. I need my money, yo necesito. I told y'all, I'm trap Selena. I'll back him in a beach side Serena. We need the guap. Pull up in your spot. Put it in your head like give me what you got. Two bad bitches that came from the Bronx. Cardi from the pole and Jenny from the block. Yo Quiero, Quiero dinero, ay. Yo Quiero, Quiero dinero, ay. I just want the green. want the money, want the cash flow. Yo Quiero noventa sí. cincuenta sí, doscientos. Yo Quiero, Quiero dinero (Dinero, di-, Dinero). I just want the dinero, di- (Dinero). I just want the dinero, dinero. I just want the dinero, dinero. Yo Quiero, yo Quiero dinero, ay. Yo Quiero, yo Quiero dinero, ay. I just want the green. want the money, want the cash flow. Yo Quiero noventa sí. cincuenta sí, doscientos. Me and Benjamín Franco stay at the banco. Getting checks like Nike, everywhere that I go. If you ain't getting no pesos, que estas haciendo?. Stack it up like legos, quiero dinero"
booty (feat. iggy azalea),"Big, big booty. What you got a big booty. Big, big booty. What you got a big booty. Big, big booty. What you got a big booty. Big, big booty. What you?. Big, big booty. What you got a big booty. Big, big booty. What you got a big booty. Big, big booty. What you got a big booty. Big, big booty. What you?. Have you seen her on the dancefloor. She got the boom, shake the room. That's the lightning in the thunder. You wanna meet her, you wanna touch her. See the light in her eyes. And it starts to make you wonder. All the sexy girls in the party. Go and grab a man. Bring him to the dancefloor. Go and light them jeans. Don't you worry you're dancing. It's his birthday. Give him what he ask for. Let me show you how to do it. Big, big booty. What you got a big booty. Work. Big, big booty. What you got a big booty. Shake that. Big, big booty. What you got a big booty. Big, big booty. What you?. The way she moves. I know you want her. She like the fire, get you right. That's the lightning in the thunder. You wanna meet her, you gotta touch her. Hold on tight for the ride. Cause you know you're gonna love her. All the sexy girls in the party. Go and grab a man. Bring him to the dancefloor. Go and light them jeans. Don't you worry you're dancing. It's his birthday. Give him what he ask for. Let me show you how to do it. Big, big booty. What you got a big booty. Work. Big, big booty. What you got a big booty. Shake that. Big, big booty. What you got a big booty. Big, big booty. . They begging me to drop down. On the floor right now. Iggy on the top. The last time the world's seen a booty this good. It was on ""Jenny From The Block"". I got 'em all crazy lately. Baby, all the men on my magnet. Wanna tell all of my ladies. To get up on the floor. And just shake it, shake it. Y'all know where I been on. Y'all know where I been on. Queen Booty Iggy. Now find me a bone to sit on. Girls with those cheeks, put they hands in the air. And pop that, pop. Let 'em know that you're in here. See everybody wanna get a taste. Ya know that we got enough to share. But fact we girls with the big fat booty. Too fancy to ever play fair. Mesmerized by the size of it. You can't fight it. If you like, take your turn. I can guarantee you'll have the time of your life. Throw up your hands if you love a big booty. Big, big booty. What you. Big, big booty. What you. Let me show you how to do it. Work. Shake that. Big, big booty. What you got a big booty. Big, big booty. What you got a big booty. Big, big booty. What you got a big booty. Big, big booty. What you got a big booty. Shake that"
