take my breath away,Watching every motion. In my foolish lover's game. On this endless ocean. Finally lovers know no shame. Turning and returning. To some secret place inside. Watching in slow motion. As you turn around and say. My love. Take my breath away. Take my breath away. Watching I keep waiting. Still anticipating love. Never hesitating. To become the fated ones. Turning and returning. To some secret place to inside. Watching in slow motion. As you turn to me and say. My love. Take my breath away. Through the hourglass I saw you. In time you slipped away. When the mirror crashed I called you. And turned to hear you say. If only for today. I am unafraid. Take my breath away. Take my breath away. Watching every motion. In this foolish lover's game. Haunted by the notion. Somewhere there's a love in flames. Turning and returning. To some secret place inside. Watching in slow motion. As you turn my way and say. Take my breath away. My Love. Take my breath away. My Love. Take my breath away. Take my breath away
these boots are made for walkin',"Are you ready boots?. Start walkin. Yee haw. C'mon, Let''s go. You keep saying you got something for me (uh). Well officer I don't mind to say you do. Now your looking right where I thought. You' be looking. Legs come handy when laws in front of you. Chorus. These boots are made for walkin. And that's just what they'll do. One of these days these boots are gonna walk all over you. You believe you've stopped me for a reason (uh). Now I'm pretending my bendings just for fun. You keep playing where I got you playing (yeah). These double - D's initials work to run. Chorus. I'm the girl with the good boys who don't mean you no harm. This gotten way with hazard county charm. There ain't no crime in havin' a little fun. Strut my stride. But my sexy eyes. Where my boots at (haha). Strut ya stuff come on. Hey ya'll. Wanna come and see something (uh uh, uh uh). Can't touch, can I get a hand clap for the way I work my back. Tick tock all around the clock drop it. Push ya tush, like that. Can I get a sueee. Can I get a yee haw. You keep thinking what you shouldn't be thinking. Another to far is down till you kissing ground. I'm a gonna send you back home as you crying. But Uncle Jesse he sure is gonna be proud. Chorus [2x]. Come on boots. Start walking. Come on ladies. Hey ya'll. Wanna come and see something (uh uh, uh uh). Can't touch, can I get a hand clap. For the way I work my back. Tick tock all around the clock drop it. Push ya tush, like that. Can I get a sueee. Can I get a yee haw. Come on Willie (ohh yeah, owww). Yeee haw. Willie Nelson everybody (uh). Let's go home now"
i wanna love you forever,"You set my soul at ease. Chased darkness out of view. left your desperate spell on me. Say you feel it too. I know you do. I've got so much more to give. this can't die, I yearn to live. Pour yourself all over me. and I'll cherish every drop here on my knees. Chorus. I wanna love you forever. and this is all I'm asking of you. ten thousand lifetimes together. is that so much for you to do?. 'Cause from the moment that I saw your face. and felt the fire in your sweet embrace. I swear I knew.. I'm gonna to love you forever.. My mind fails to understand. what my heart tells me to do. and I give up all I have just to be with you. and now I do. I've always been taught to win. and I never thought I'd fall. be at the mercy of a man. I've never been. now I only want to be right where you are.. Chorus. In my life I learned that heaven never waits, no. let's take this night before its gone like yesterday. 'Cause when I'm with you. there's no where else that I would ever wanna be. I'm craving for the next second I can feel you loving me. Chorus. Forever (ooh). I wanna love you forever. I wanna love you, boy."
i think i'm in love with you,"Yeah, yeah yeah yeah. Yeah yeah... Yeah yeah Ohhhhh. Everytime you're near baby. I get kinda crazy in my head for you. I don't know what to do. And oh baby. I get kinda shaky when they mention you. I just lose my cool. My friends tell me. Somethin has come over me. And I think I know what it is. I think I'm in love. Boy I think that I'm in love with you. Got me doin silly things when it comes to you. In love, boy I think that I'm in love with you. I've been tellin all my friends what I feel for you. Just the other night baby, I saw you hangin. You were with your crew. I was with mine too. You took me by surprise. When you turned and look me in my eyes. Boy you really blow my mind. I don't know what's gotten into me. But, I think I know what it is. I think I'm in love. Boy I think that I'm in love with you. Got me doin silly things when it comes to you. In love, boy I think that I'm in love with you. Got me tellin all my friends what I feel for you. Boy I think that I'm in love with you. Got me tellin all my friends what I feel for you. Somethin strange has come over me. Got me goin out of my mind. Never met a guy like you before. You make me feel special inside. I think I'm in love. Boy I think that I'm in love with you. Got me doin silly things when it comes to you. Boy I think I'm in love with you. I've been tellin all my friends what I feel for you. Boy I think that I'm in love with you. I've been doin silly things when it comes to you. Boy I think I'm in love with you. I've been tellin all my friends what I feel for you. Boy I think that I'm in love with you. I've been doin silly things when it comes to you. Boy I think I'm in love with you. I've been tellin all my friends what I feel for you. (repeat til fade)."
part of your world,"Look at this stuff. Isn't it neat?. Wouldn't you think my collection's complete?. Wouldn't you think I'm the girl. The girl who has ev'rything?. Look at this trove. Treasures untold. How many wonders can one cavern hold?. Lookin' around here you'd think. Sure. She's got everything. I've got gadgets and gizmos aplenty. I've got whozits and whatzits galore. You want thingamabobs?. I got twenty. But who cares?. No big deal. I want more. I wanna be where the people are. I wanna see. Wanna see 'em dancin'. Walkin' around on those. Whad'ya call 'em?. Oh - feet. Flippin' your fins you don't get too far. Legs are required for jumpin', dancin'. Strollin' along down a. What's that word again?. Street. Up where they walk. Up where they run. Up where they stay all day in the sun. Wanderin' free. Wish I could be. Part of that world. What would I give. If I could live. Outta these waters?. What would I pay. To spend a day. Warm on the sand?. Betcha on land. They understand. Bet they don't reprimand their daughters. Bright young women. Sick o' swimmin'. Ready to stand. And I'm ready to know what the people know. Ask 'em my questions. And get some answers. What's a fire and why does it. What's the word? Burn?. When's it my turn?. Wouldn't I love. Love to explore that shore up above?. Out of the sea. Wish I could be. Part of that world. Out of the sea. Wish I could be. Part of your world"
when you told me you loved me,"Once doesn?t mean anything to me. Come; show me the meaning of complete. Where did our love go wrong?. Once we were so strong. How can I go on?. (Chorus:). When you told me you loved me. Did you know it would take me the rest of my life?. To get over the feeling of knowing? in a dream. Didn?t turn out right. When you let me believe. That you were incomplete without me by your side. How could I know?. That you would go, that you would run. Baby I thought you were the one. Why can't I just leave it all behind?. I felt passion so bright that I was blind. Then something made me weak. Talking in my sleep. Baby I'm in so deep and you know I believe. (Chorus). Your lips, your face, something that time just can't erase. My heart could break all over again. (Chorus)"
angels,I sit and wait. Does an angel contemplate my fate. And do they know. The places where we go. When we're grey and old. 'cause I've been told. That salvation lets their wings unfold. So when I'm lying in my bed. Thoughts running through my head. And I feel that love is dead. I'm loving angels instead. Chorus:. And through it all he offers me protection. A lot of love and affection. Whether I'm right or wrong. And down the waterfall. Wherever it may take me. I know that life won't break me. When I come to call he won't forsake me. I'm loving angels instead. When I'm feeling weak. And my pain walks down a one way street. I look above. And I know I'll always be blessed with love. And as the feeling grows. He breathes flesh to my bones. And when love is dead. I'm loving angels instead. Chorus:. And through it all he offers me protection. A lot of love and affection. Whether I'm right or wrong. And down the waterfall. Wherever it may take me. I know that life won't break me. When I come to call he won't forsake me. I'm loving angels instead. Chorus:. And through it all he offers me protection. A lot of love and affection. Whether I'm right or wrong. And down the waterfall. Wherever it may take me. I know that life won't break me. When I come to call he won't forsake me. I'm loving angels instead
the little drummer boy (feat. ashlee simpson),"Our newborn King to see, pa rum pa. Pum pum. Our finest gifts we bring, pa rum pa pum pum. To lay before the King, pa rum pa pum pum,. Rum pa pum pum, rum pa pum pum,. So to honor Him, pa rum pa pum pum,. When we come. That's my baby, oh. Baby Yeshua, pa rum pa pum pum. I am a poor boy too, pa rum pa pum pum. I have no gift to bring, pa rum pa pum pum. That's fit to give a King, pa rum pa pum pum,. Rum pa pum pum, rum pa pum pum. Shall I play for you, pa rum pa pum pum,. On my drum? Yeah, c'mon.. Oh I wanna play. Ooh pa rum pa pum pum, pa rum pa, pa rum pa, pum pum. Yeah pa rum pa pum pum. Playing on my drum (playing on my drum). Ooh pa rum pa pum pum, pa rum pa, pa rum pa, pum pum. Yeah pa rum pa pum pum. Playing on my drum. Mary nodded, pa rum pa pum pum. (Yes she did oh, Mary nodded). The ox (the ox) and lamb kept time, pa rum pa pum pum. Pa rum pa pum pum. I played my drum for Him, pa rum pa pum pum. (Pa rum pa pum pum). I played my best for Him, pa rum pa pum pum. Rum pa pum pum, rum pa pum pum, oh. Then He smiled at me, pa rum pa pum pum. Me and my drum. Ooh yeah, me and my. Me and my drum"
irresistible (so so def remix) (feat. lil bow wow & jd),"[JD]. Uh-huh, ha, ha. Sing for me. [Jessica (JD)]. You know. I don't know what it is. (It's the remix). But everything about you is so irresistible. [Lil Bow Wow]. Fa' sure (So So Def). It's the 2k top dawg. Don't nobody want it. I got 10K on it, I'm the hottest thing out. If you look at me, you're lookin' at a kid with a plan. If you don't understand homie, check soundscan. So So Def to grain. You know our motto. In the street throwin' paper like we just won the lotto. Guest on the beat, like dubs hit on the six. Irresistible to all chicks. Listen to the remix. [Jessica (JD)]. Don't you try to tell me that he's not my type. To hide what I feel inside. When he makes me weak with desire. I know that I'm supposed to make him wait. Let him think I like the chase. But I can't stop fanning the fire. I know I'm meant to say no. (Uh, uh, handclap, oh). [Jessica]. But he's irresistible. Up close and personal. Now inescapable. I can hardly breathe. More than just physical. Deeper than spiritual. His ways are powerful. Irresistible to me. Oh I can hardly breathe, yeah. Don't you think I'm trying to tell my heart what's right. That I should really say goodnight. But I just can't stop myself. Maybe I'll tell him that I feel the same. That I don't want to play no game. Cause when I feel his arms hooked around me. I know I'm meant to say no (I'm meant to say no). (Clap your hands). [Jessica]. But he's irresistible. Up close and personal. Now inescapable. I can hardly breathe. More than just physical. Deeper than spiritual. His ways are powerful. Irresistible to me. Can't you see. Whenever he's close to me. I really find it hard to breathe. He's so irresistible. Think you know. Deeper than spiritual. His ways are powerful. He's so irresistable. (You're so irresistable). {Like that, oh}. [Jessica]. But he's irresistible. Up close and personal. Now inescapable. I can hardly breathe. More than just physical. Deeper than spiritual. His ways are powerful. Irresistible to me"
do you know (feat. dolly parton),"Lying here beside you in the dark. I feel the steady rhythm of your heart. I feel your face against my shoulder breath upon my skin. Embers barely smoldered, I make love to you again. Nothing in this world compares to this. The way our bodies feel the way we kiss. Passion love beneathness just adds to my desire (?). Seems that I am more less consumed here in your fire. Do you know how much I love you. Do you know how much you mean to me. The interest that you show. Do you know how beautiful you are here in the afterglow. Do you know I'd walk through hell for you barefoot on burning coal. A thousand ways I love you and I need to know you know. Do you know. Do you know. Ohh do you know. Do you know how much I love you. Do you know how much it means to me the way you make me feel. Like I could soar the heavens gathering shooting stars. Place them in a gold cave in the rainbow-studded jar (?). Everything that's heavenly to me is what you are. Do you know. Do you know. Do you know how much I love you. Something deep inside me tells me that you almost know. Do you know, do you know. Do you know. Ohhh do you know. Ohhh do you know"
