flashlight,"When tomorrow comes I'll be on my own. Feeling frightened of the things that I don't know. When tomorrow comes, tomorrow comes. Tomorrow comes. I know the road is long, now look up to the sky. And in the dark I found, last hope that I won't fly. Then I sing along, I sing along. I sing along. I got all I need when I got you and I. I look around me, and see a sweet life. I'm stuck in the dark but you're my flashlight. You're getting me, getting me through the night. Can't stop my heart when you're shining in my eyes. Can't lie, it's a sweet life. Stuck in the dark but you're my flashlight. You're getting me, getting me through the night. 'Cause you're my flashlight. you're My flashlight. You're my flashlight. I see the shadows low beneath the mountain top. I'm not afraid when the rain won't stop. 'Cause you light the way, you light the way. You light the way. I got all I need when I got you and I. I look around me, I see a sweet life. I'm stuck in the dark but you're my flashlight. You're getting me, getting me through the night. Kick start my heart when you shine it in my eyes. Can't lie, it's a sweet life. Stuck in the dark but you're my flashlight. You're getting me, getting me through the night. (Light, light, light, you're my flashlight). I got all I need when I got you and I. I look around me and see a sweet life. I'm stuck in the dark but you're my flashlight. You're getting me, getting me through the night. Kick start my heart when you shine it in my eyes. Can't lie, it's a sweet life. Stuck in the dark but you're my flashlight. You're getting me, getting me through the night. 'Cause you're my flashlight. My flashlight. You're my flashlight. You're my flashlight, light, light. You're my flashlight, light, light. You're my flashlight"
who you are,"I stare at my reflection in the mirror. Why am I doing this to myself. Losing my mind on a tiny error. I nearly left the real me on the shelf. No, no, no, no. Don't lose who you are, in the blur of the stars. Seeing is deceiving, dreaming is believing. It's okay not to be okay. Sometimes it's hard. To follow your heart. But tears don't mean you're losing. Everybody's bruising. Just be true to who you are. Who you are, who you are, who you are. Who you are, who you are, who you are. No no no no no no no. Who you are, who you are, who you are. Who you are, who you are, who you are. Brushing my hair, do I look perfect?. I forgot what to do to fit the mold. The more I try, the less it's working. Cause everything inside me screams:. No, no, no, no, no, no, no. Don't lose who you are in the blur of the stars. Seeing is deceiving, dreaming is believing. It's okay not to be okay. Sometimes it's hard. To follow your heart. But tears don't mean you're losing. Everybody's bruising. There's nothing wrong with who you are. Yes, nos, egos. Fake shows like woo. Just go, and leave me alone. Real talk, real life, good luck, good night. With a smile.... That's my home, yeah. That's my home.... No. No, no, no, no, no.... Don't lose who you are, in the blur of the stars. Seeing is deceiving, dreaming is believing. It's okay not to be okay. Sometimes it's hard. To follow your heart. But tears don't mean you're losing. Everybody's bruising. Just be true to who you are. Yeah, yeah...."
price tag (feat. b.o.b.),"Okay. Coconut man. Moonhead. And Pea. (Are) you ready?. Seems like everybody's got a price. I wonder how they sleep at night. When the sale comes first. And the truth comes second. Just stop, for a minute and. Smile. Why is everybody so serious. Acting so damn mysterious. You got your shades on your eyes. And your heels so high. That you can't even have a good. Time. Everybody look to their left. Everybody look to their right. Can you feel that (yeah). We're paying with love tonight. It's not about the money, money, money. We don't need your money, money, money. We just wanna make the world dance. Forget about the price tag. Ain't about the (ha) ch-ching ch-ing. Aint about the (yeah) ba-bling ba-bling. Wanna make the world dance. Forget about the price tag. (Okay). We need to take it back in time. When music made us all unite. And it wasn't low blows and video hoes. Am I the only one gettin'... tired?. Why is everybody so obsessed?. Money can't buy us happiness. Can we all slow down and enjoy right now. Guarantee we'll be feelin. All right. Everybody look to their left. Everybody look to their right. Can you feel that (yeah). We're paying with love tonight.... It's not about the money, money, money. We don't need your money, money, money. We just wanna make the world dance. Forget about the price tag. Ain't about the (ha) ch-ching ch-ing. Aint about the (yeah) ba-bling ba-bling. Wanna make the world dance. Forget about the price tag. Yeah yeah. Well, keep the price tag. And take the cash back. Just give me six strings and a half stack. And you can keep the cars. Leave me the garage. And all I. Yes all I need are keys and guittars. And guess what, in 30 seconds I'm leaving to mars. Yes we leaving across these undefeatable odds. It's like this man, you can't put a price on my life. We do this for the love. So we fight and sacrifice every night. So we ain't gon stumble and fall never. Waiting to see, a sign of defeat uh uh. So we gon keep everyone moving their feet. So bring back the beat and then everyone sing. It's not about. It's not about the money, money, money. We don't need your money, money, money. We just wanna make the world dance. Forget about the price tag. Ain't about the (ha) ch-ching ch-ing. Aint about the (yeah) ba-bling ba-bling. Wanna make the world dance. Forget about the price tag. It's not about the money, money, money. We don't need your money, money, money. We just wanna make the world dance. Forget about the price tag. Ain't about the (ha) ch-ching ch-ing. Aint about the (yeah) ba-bling ba-bling. Wanna make the world dance. Forget about the price tag. Yeah, yeah. Forget about the price tag..."
"bang bang (feat. ariana grande, nicki minaj)","She got a body like an hourglass. But I can give it to you all the time. She got a booty like a Cadillac. But I can send you into overdrive (oh). (You've been waiting for that, hey). (Step on that, swing your bat, oh). See anybody could be bad to you. You need a good girl to blow your mind, yeah. Bang bang into the room (I know you want it). Bang bang all over you (I'll let you have it). Wait a minute let me take you there (ah). Wait a minute tell you (ah). Bang bang there goes your heart (I know you want it). Back, back seat of my car (I'll let you have it). Wait a minute let me take you there (ah). Wait a minute tell you (ah). [Ariana Grande]. She might've let you hold her hand in school. But I'mma show you how to graduate. No, I don't need to hear you talk the talk. Just come and show me what your momma gave. (Ooh yeah). (I heard you gotta big shh... baby). (Mouth, but don't say a thing). See anybody could be good to you. You need a bad girl to blow your mind. Bang bang into the room (I know you want it). Bang bang all over you (I'll let you have it). Wait a minute let me take you there (ah). Wait a minute tell you (ah). Bang bang there goes your heart (I know you want it). Back, back seat of my car (I'll let you have it). Wait a minute let me take you there (ah). Wait a minute tell you (ah). [Nicki Minaj]. It's Myx Moscato. It's frizz in a bottle. It's Nicki full throttle. It's oh, oh. Swimming in the grotto. We winning in the lotto. We dipping in the pot of blue foam. Kitten so good. It's dripping on wood. Get a ride in the engine that could. Go, Batman robbin' it. Bang, bang, cockin' it. Queen Nicki dominant, prominent. It's me, Jessie, and Ari. If they test me they sorry. Riders look like a Harley. Then pull off in this Ferrari. If he hanging we banging. Phone ranging, he slanging. It ain't karaoke night but get the mic. 'Cause he singing. B to the A to the N to the G to the uh. B to the A to the N to the G to the hey. See anybody could be good to you. You need a bad girl to blow your mind (your mind). Bang bang into the room (I know you want it). Bang bang all over you (I'll let you have it). Wait a minute let me take you there (ah). Wait a minute tell you (ah). Bang bang there goes your heart (I know you want it). Back, back seat of my car (I'll let you have it). Wait a minute let me take you there (ah). Wait a minute tell you (ah). Bang bang into the room (I know you want it). Bang bang all over you (I'll let you have it). [Nicki Minaj]. Bang, bang, bang, bang, bang, bang, bang. Bang bang there goes your heart (I know you want it). Back, back seat of my car (I'll let you have it). Wait a minute let me take you there (ah). Wait a minute tell you (ah)"
nobody's perfect,"""If you look closely, the eye can tell more than you think. A simple blur becomes something. A light becomes a shade. A world becomes colorful. Look into my eyes"". When I'm nervous I have this thing yeah. I talk too much. Sometimes I just can't shut the hell up. It's like I need to tell someone anyone who'll listen. And that's where I seem to fuck up, yeah. I forget about the consequences,. For a minute there I lose my senses. And in the heat of the moment. My mouth's starts going the words start flowing. But I never meant to hurt you. I know it's time that I learnt to. Treat the people I love like I wanna be loved. This is a lesson learnt. I hate that I let you down. And I feel so bad about it. I guess karma comes back around. Cause now I'm the one that's hurting yeah. And I hate that I made you think. That the trust we had is broken. So don't tell me you can't forgive me. Cause nobody's perfect, no, no, no, no. No, no, no, no, no, no, no. No, no, no, nobody's perfect. If I could turn back the hands of time. I swear I never would've cross that line. I should've kept it between us. But I just went and told the whole world how I was feeling. So I sit and I realise. With these tears falling from my eyes. I gotta change if I wanna keep you forever. I promise that I'm gonna try. But I never meant to hurt you. I know it's time that I learnt to. Treat the people I love like I wanna be loved. This is a lesson learnt. I hate that I let you down. And I feel so bad about it. I guess karma comes back around. Cause now I'm the one that's hurting yeah. And I hate that I made you think. That the trust we had is broken. So don't tell me you can't forgive me. Cause nobody's perfect, no, no, no, no. No, no, no, no, no, no, no. No, no, no, nobody's perfect. No, no, no, no, no, no, no. I'm not a saint no not at all. But what I did it wasn't cool. But I swear that I'll never do that again to you. I'm not a saint, no not at all. But what I did it wasn't cool. But I swear that I'll never do that again to you. And I hate that I let you down. And I feel so bad about it. I guess karma comes back around. Cause now I'm the one that's hurting yeah. And I hate that I made you think. That the trust we had is broken. So don't tell me you can't forgive me. Cause nobody's perfect, no. No, no, no, no, no, no, no. Nobody's perfect"
masterpiece,"So much pressure, why you so loud?. If you don't like my sound you can turn me down. I gotta road, and I walk it alone. Uphill battle, I look good when I climb. I'm ferocious, precocious I get braggadocious. I'm not gonna stop, I like the view from the top. You talk that blah blah. That la la, that rah rah, shit. And I'm so done, I'm so over it. Sometimes I mess up, I ""eff"" up, I hit and miss. But I'm okay, I'm cool with it. I still fall on my face sometimes. And I, can't colour inside the lines. Cause, I'm perfectly incomplete. I'm still working on my masterpiece. And I, I wanna hang with the greatest. Got a way to go, but it's worth the wait. No, you haven't seen the best of me. I'm still working on my masterpiece. Those who mind don't matter. Those who matter don't mind. If you don't catch what I'm throwing. Then I leave you behind. Don't need a flash. And I am leaving like that. They talk that blah blah. That la la, that rah rah, shit. Go with the punches, and take the hits. Sometimes I mess up, I ""eff"" up, I swing and miss. But it's okay, I'm cool with it. I still fall on my face sometimes. And I, can't colour inside the lines. Cause, I'm perfectly incomplete. I'm still working on my masterpiece. And I, I wanna hang with the greatest. Got a way to go, but it's worth the wait. No, you haven't seen the best of me. I'm still working on my masterpiece. Oh oh oh oh oh I. Oh oh oh oh oh I. I still fall on my face sometimes. And I can't colour inside the lines cause. I'm perfectly incomplete. I'm still working on my masterpiece. Masterpiece, masterpiece. I still fall on my face sometimes. And I can't colour inside the lines cause. I'm perfectly incomplete. I'm still working on my masterpiece. And I, I wanna hang with the greatest. Got a way to go, but it's worth the wait. No, you haven't seen the best of me. I'm still working on my masterpiece. Oh oh oh oh oh I. Oh oh oh oh oh I. Still working on. Still working on. Still working on my masterpiece"
who's laughing now?,"Mummy they call me names. They wouldn't let me play. I'd run home, sit and cry almost everyday. ""Hey Jessica, you look like an alien. With green skin you don't fit in this playpen"". Well they pull my hair. They took away my chair. I keep it in and pretend that I didn't care. ""Hey Jessica, you're so funny. You've got teeth just like Bugs bunny"". Oh, so you think you know me now. Have you forgotten how. You would make me feel. When you drag my spirit down. But thank you for the pain. It made me raise my game. And I'm still rising, I'm still rising. Yeah. So make your jokes. Go for broke. Blow your smoke. You're not alone. But who's laughing now. But who's laughing now. So raise the bar. Hit me hard. Play your cards. Be a star. But who's laughing now. But who's laughing now. Cos I'm in L.A. You think I've made my fame. If it makes us friends. When you only really know my name. ""Oh Jessie, we knew you could make it. I've got a track and I'd love you to take it"". So now because I'm signed. You think my pockets lined. 4 years now and I'm still waiting in the line. ""Oh Jessie, I saw you on youtube. I tagged old photos from when we was at school"". Oh, so you think you know me now. Have you forgotten how. You would make me feel. When you drag my spirit down. But thank you for the pain. It made me raise my game. And I'm still rising, I'm still rising. Yeah!. So make your jokes. Go for broke. Blow your smoke. You're not alone. But who's laughing now. But who's laughing now. So raise the bar. Hit me hard. Play your cards. Be a star. But who's laughing now. But who's laughing now. Jessie!. She broke out of the box. Swallowed your pride. You got that ego cough. Let the haters hate. You're like way too late. See I got a message from you. ""Hola, I'm proud of you"". ""Oh my god babe your voice is like wow!"". My reply: Who's laughing now. Oh, so you think you know me now. Have you forgotten how. You would make me feel. When you drag my spirit down. But thank you for the pain. It made me raise my game. And I'm still rising, I'm still rising. Yeah!. So make your jokes. Go for broke. Blow your smoke. You're not alone. But who's laughing now. But who's laughing now. So raise the bar. Hit me hard. Play your cards. Be a star. But who's laughing now. But who's laughing now. So make your jokes. Go for broke. Blow your smoke. You're not alone. But who's laughing now. But who's laughing now. So raise the bar. Hit me hard. Play your cards. Be a star. But who's laughing now. Who's Laughing,Laughing Now?(3x). Yeah,Yeah,Yeah!. Who's Laughing,Laughing Now?(3x). Yeah,Yeah,Yeah!"
domino,"I'm feeling sexy and free. Like glitter's raining on me. You like a shot of pure gold. I think I'm 'bout to explode. I can taste the tension like a cloud of smoke in the air. Now I'm breathing like I'm running. Cause you're taking me there. Don't you know. You spin me out of control. Uuh uuh uuh uh. We can do this all night. Damn this love is skin tight. Baby come on. Uuh uuh uuh uh. Boomin' like a bass drum. Sparkin' up a rhythm. Baby, come on!. Uuh uuh uuh uh. Rock my world into the sunlight. Make this dream the best I've ever known. Dirty dancing in the moonlight. Take me down like I'm a domino. Every second is a highlight. When we touch don't ever let me go. Dirty dancing in the moonlight. Take me down like I'm a domino. Take me down like I'm a domino. You got me losing my mind. My heart beats out of time. I'm seeing Hollywood stars. You stroke me like a guitar. I can taste the tension like a cloud of smoke in the air. Now I'm breathing like I'm running. Cause you're taking me there. Don't you know. You spin me out of control. Uuh uuh uuh uh. We can do this all night. Turn this club, skin tight. Baby come on. Uuh uuh uuh uh. Pull me like a bass drum. Sparkin' up a rhythm. Baby, come on!. Uuh uuh uuh uh. Rock my world into the sunlight. Make this dream the best I've ever known. Dirty dancing in the moonlight. Take me down like I'm a domino. Every second is a highlight. When we touch don't ever let me go. Dirty dancing in the moonlight. Take me down like I'm a domino. Ooh baby baby got me feeling so right. Ooh baby baby dancing in the moonlight. Ooh baby baby got me feeling so right. Ooh baby baby dancing in the moonlight. Ooh baby baby got me feeling so right. Ooh baby baby dancing in the moonlight. Ooh baby baby got me feeling so right. Ooh baby baby. Uuh uuh uuh uh. Rock my world into the sunlight. Make this dream the best I've ever known. Dirty dancing in the moonlight. Take me down like I'm a domino. Every second is a highlight. When we touch don't ever let me go. Dirty dancing in the moonlight. Take me down like I'm a domino. Ooh baby baby got me feeling so right. Ooh baby baby dancing in the moonlight. Ooh baby baby got me feeling so right. Ooh baby baby dancing in the moonlight. Ooh baby baby got me feeling so right. Ooh baby baby dancing in the moonlight. Ooh baby baby got me feeling so right. Ooh baby baby baby baby baby baby"
do it like a dude,"Stomp stomp I've arrived. Drop the beat, nasty face. Why ya lookin' at me?. Flyin' flyin' flyin' flyin' through the sky. In my spaceship. I'm an alien tonight. Dirty dirty dirty dirty dirty dirty sucka. You think I can't get hurt like you, you motherf..... I can do it like a brother. Do it like a dude. Grab my crotch, wear my hat low like you. Do it like a brother. Do it like a dude. Grab my crotch, wear my hat low like you. We can do it like the man'dem, man'dem. We can do it like the man'dem. Sugar sugar sugar. We can do it like the man'dem, man'dem. We can do it like the man'dem. Sugar sugar sugar. Boom Boom, pull me a beer. No pretty drinks, I'm a guy out here. Rollin' rollin' rollin' rollin' money like a pimp. My B I T C H's on my d*ck like this. Dirty dirty dirty dirty dirty dirty sucka. You think I can't get hurt like you, you motherf..... I can do it like a brother. Do it like a dude. Grab my crotch, wear my hat low like you. Do it like a brother. Do it like a dude. Grab my crotch, wear my hat low like you. We can do it like the man'dem, man'dem. We can do it like the man'dem. Sugar sugar sugar. We can do it like the man'dem, man'dem. We can do it like the man'dem. Sugar sugar sugar. Boys, come say what you wanna. Boys, you need to lick my dollar. Boys, gettin' hot under the collar. Holla holla woah. Boys, come say what you wanna. Boys, you need to lick my dollar. Boys, gettin' hot under the collar. Holla holla woah. I can do it like a brother. Do it like a dude. Grab my crotch, wear my hat low like you. Do it like a brother. Do it like a dude. Grab my crotch, wear my hat low like you. We can do it like a brother. Do it like a dude. Grab my crotch, wear my hat low like you. Do it like a brother. Do it like a dude. Grab my crotch, wear my hat low like you. We can do it like the man'dem, man'dem. We can do it like the man'dem. Sugar sugar sugar. We can do it like the man'dem, man'dem. We can do it like the man'dem. Sugar sugar sugar. Do it, do it like a dude. Do it, do it low like you. Do it, do it like a dude. Do it, do it like a dude. Do it, do it like a dude. Do it, do it low like you. Do it, do it like a dude. Do it, do it low like you"
strip,Don't want your money. Don't need your gold. Are all the fancy. Can cause your ruin. Tripping in diamonds. That's all you know. Did you mistake me. 4 for a hoe. [pré-refrão]. So why you talk me up. You won't get let me down. I gon' have to interrupt. Let go oh oaah. Cuz honey i ain't your bitch. You need to turn it around. I think is time for a strip. [refrão]. Show me your love. Let's stay up all night. Tell me your secret. And not your lies. Take it all out. What you got inside. Baby strip strip strip. This could be love yeah. You blow my mind. Oh don't you dare with. Me all disguise. Take it all out. What you got inside. Baby strip strip strip. You thinks is flashy. The things you do. I call it trashy. And fucking rude. You say you want me. Oh his a blue. Stop trying to fake it. And just be you. [pré-refrão]. So why you talk me up. You won't get let me down. I gon' have to interrupt. Let go oh oaah. Cuz honey i ain't your bitch. You need to turn it around. I think is time for a strip. [refrão]. Show me your love. Let's stay up all night. Tell me your secret. And not your lies. Take it all out. What you got inside. Baby strip strip strip. This could be love yeah. You blow my mind. Oh don't you dare with. Me all disguise. Take it all out. What you got inside. Baby strip strip strip. Strip Strip Strip. [ponte]. Show me your love. Let's stay up all night (night night). Take it all out. What you got inside. Show me your love. Let's stay up all night (yeah yeah). [refrão]. Show me your love. Let's stay up all night. Tell me your secret. And not your lies. Take it all out. What you got inside. Baby strip strip strip. This could be love yeah. You blow my mind. Oh don't you dare with. Me all disguise. Take it all out. What you got inside. Baby strip strip strip
