"too little, too late",Come with me. Stay the night. You say the words but boy it doesn't feel right. What do you expect me to say?. You know it's just too little too late. You take my hand. And you say you've changed. But boy you know your begging don't fool me. Because to you it's just a game. You know it's just too little too late. So let me on down. Cause time has made me strong. I'm starting to move on. I'm gonna say this now. Your chance has come and gone. And you know. It's just too little too late. A little too wrong. And I can't wait. Boy you know all the right things to say. You know it's just too little too late. You say you dream of my face. But you don't like me. You just like the chase. To be real it doesn't matter anyway. You know it's just too little too late. Yeah yeah it's just too little too late. I was young and in love. I gave you everything but it wasn't enough. And now you wanna communicate. You know it's just too little too late. Go find someone else. In letting you go I'm loving myself. You got a problem. But don't come asking me for help. Cause you know. It's just too little too late. A little too wrong. And I can't wait. Boy you know all the right things to say. You know it's just too little too late. You say you dream of my face. But you don't like me. You just like the chase. To be real it doesn't matter anyway. You know it's just too little too late. I can love with all of my heart baby. I know I have so much to give(I have so much to give). With a player like you I don't have a prayer. That's the way to live. Oooh no it's just too little too late yeah. It's just too little too late. A little too wrong. And I can't wait. Boy you know all the right things to say. You know it's just too little too late. You say you dream of my face. But you don't like me. You just like the chase. To be real it doesn't matter anyway. You know it's just too little too late. You know it's just too little too late. It's just too little too late. A little too wrong. And I can't wait. Boy you know all the right things to say. You know it's just too little too late. You say you dream of my face. But you don't like me. You just like the chase. To be real it doesn't matter anyway. You know it's just too little too late
say love,This is us at our best and at our worse. But when we speak does it feel unrehearsed. Because where I want to be is far apart. From where we are. From where we are. And I thought I found the place. Where we could start. Talk from the heart. Talk from the heart. But you just say I'm perfect. Say I'm pretty. Say I'm worth it. But if you really care for me. Say love. I want you to say love. I want you to say love. When I say love you. You just say me too. But I want you to say love. It feels like we can't get out of first. When we do it's like. We're stuck in reverse. Because where I wanna be is far apart. From where we are. From where we are. And I thought I found the place. Where we could start. Talk from the heart. Talk from the heart. But you just say I'm perfect. Say I'm pretty. Say I'm worth it. But if you really care for me. Say love. I want you to say love. I want you to say love. When I say love you. You just say me too. But I want you to say love. But you just say I'm perfect. Say I'm pretty. Say I'm worth it. But if you really care for me. Say love. I want you to say love. I want you to say love. When I say love you. You just say me too. But I want you to say love
save my soul,"You got what you wanted. Didn't you?. Don't know where your heart is. But mine's bruised. You knew when you started. That I'd lose. The blood on the carpet. Is not you. I tried to wash the scars and marks from under my skin. But you're etched in me like stone. You can't save me (yeah, yeah). You call it love, but still you hate me? (yeah, yeah). Lord I try and I can't say no. You're the pain and the medicine. One taste and I'm numb again. You can't save me (yeah, yeah). Lord I try and I can't say no. Oh lord, na, na, na, na, na, yeah. Oh lord, na, na, na, na, na, yeah. Oh lord, na, na, na, na, na, yeah. Ain't nothing I can do to save my soul. Oh lord, na, na, na, na, na, yeah. Oh lord, na, na, na, na, na, yeah. Oh lord, na, na, na, na, na, yeah. A moth to a candle. That's me to you. I was never this fragile. Or consumed. I'm covered in shrapnel. Through and through. And I wish I knew how to. Hate you. I try to wash the scars and marks from under my skin. But you're etched in me like stone. You can't save me (yeah, yeah). You call it love, but still you hate me? (yeah, yeah). Lord I try and I can't say no. You're the pain and the medicine. One taste and I'm numb again. You can't save me (yeah, yeah). Lord I try and I can't say no. Oh lord, na, na, na, na, na, yeah. Oh lord, na, na, na, na, na, yeah. Oh lord, na, na, na, na, na, yeah. Ain't nothing I can do to save my soul. Oh lord, na, na, na, na, na, yeah. Oh lord, na, na, na, na, na, yeah. Oh lord, na, na, na, na, na, yeah. You've got your chains wrapped around me so tight. Give me enough just to keep me alive. I try to run but it hurts every time, I try. Lord I try and I can't say no. (Oh Lord). Lord I try and I can't say no. Oh lord, na, na, na, na, na, yeah. Oh lord, na, na, na, na, na, yeah. Oh lord, na, na, na, na, na, yeah. Ain't nothing I can do to save my soul. Oh lord, na, na, na, na, na, yeah. Oh lord, na, na, na, na, na, yeah. Oh lord, na, na, na, na, na, yeah. You got what you wanted. Didn't you?"
leave (get out),"I've been waiting all day for ya babe.. So won't ya come and sit and talk to me. And tell me how we're gonna be together always.. Hope you know when it's late at night.. I Hold on to my pillow tight.. And think of how you promised me forever.. (I never thought that anyone). Could make me feel this way. (Now that you're here boy all I want). Is just a chance to say. Get Out, (leave) right now,. It's the end of you and me. It's too late (now) and I can't wait for you to be gone. 'Cause I know about her (who) and I wonder (why) how I bought all the lies. You said that you would treat me right but you was just a waste of time (waste of time). Tell me why you're looking so confused. When I'm the one who didn't know the truth. How could you ever be so cold. To go behind my back and call my friend. Boy you must have gone and bumped your head. Because you left her number on your phone. (So now after all is said and done). Maybe I'm the one to blame but. (To think that you could be the one). Well it didn't work out that way. Get Out, (leave) right now,. It's the end of you and me. It's too late (now) and I can't wait for you to be gone. 'Cause I know about her (Who) and I wonder (why) how I bought all the lies. You said that you would treat me right but you was just a waste of time (waste of time). I wanted you right here with me but I have no choice you've gotta leave. Because my heart is breakin'. With every word I'm sayin'. I gave up everything I had. On something that just wouldn't last. But I refuse to cry. No tears will fall from these. Eyeee-eeee-eeees. Ooooh, ooooh. Get out. [Chorus 3X]. Get Out, (leave) right now,. It's the end of you and me. It's too late (now) and I can't wait for you to be gone. 'Cause I know about her (Who) and I wonder (why) how I bought all the lies. You said that you would treat me right but you was just a waste of time (waste of time)"
how to touch a girl,"I think I could like you, I already do.. Feelings can grow, but they can go away too.. You're taking my hand, looking into my eyes.. Don't be in a rush to get me tonight.. I feel something happening; could this be a spark?. To satisfy me baby, you got to satisfy my heart.. Do you know How to Touch a Girl?. If you want me so much, first I have to know:. Are you thoughtful and kind?. Do you care what's on my mind?. Or am I just for show?. You'll go far in this world if you know. How to Touch a Girl.. I think I could like you, but I keep holding back,. 'cause I can't seem to tell if you're fiction or fact.. Show me you can laugh, show me you can cry.. Show me who you really are, deep down inside.. Do you feel something happening? Could this be for real?. I don't know right now, but tonight we'll reveal:. Do you know How to Touch a Girl?. If you want me so much, first I have to know:. Are you thoughtful and kind?. Do you care what's on my mind?. Or am I just for show?. You'll go far in this world if you know. How to Touch a Girl.. Bring me some flowers,. Conversation for hours,. to see if we really connect,. and baby, if we do,. I'll be giving all my love to you!. Do you know How to Touch a Girl?. If you want me so much, first I have to know:. Are you thoughtful and kind?. Do you care what's on my mind?. Or am I just for show?. You'll go far in this world. if you know. How to Touch a Girl..."
high heels.,"Now you don't know, what you don't have. Until it's gone. Look through your phone. Like I should have all along. You've been a bad motherfucker. These pictures of these bitches I don't know. I'm going out and never ever coming home. I put my high heels on. Walk right out the door. Best believe, I'mma leave. Don't need you no more. Put my black dress on. Boy, you've done me wrong. Leave the keys, burn the sheets. And then move along. I'mma look damn good for all of your friends. Don't cry when you see me again. I put my high heels on. Now you don't know, what you don't have. Until it's walking in some red stilettos. Talking to some handsome devils. Jealous? Well you should be. It's a feeling that I known way too well. A chance at having shot to hell. You've been a bad motherfucker. These pictures of these bitches I don't know. Without me boy you'll always feel alone. I put my high heels on. Walk right out the door. Best believe, I'mma leave. Don't need you no more. Put my black dress on. Boy, you've done me wrong. Leave the keys, burn the sheets. And then move along. I'mma look damn good for all of your friends. Don't cry when you see me again. I put my high heels on. Walk right out the door. Best believe, I'mma leave. Don't need you no more. Now you don't know, what you don't have. Now you don't know, what you don't have. Until it's gone. I put my high heels on. Walk right out the door. Best believe, I'mma leave. Don't need you no more. Put my black dress on. Boy, you've done me wrong. Leave the keys, burn the sheets. And then move along. I'mma look damn good for all of your friends. Don't cry when you see me again. I put my high heels on"
disaster,"I'm trying not to pretend. That it won't happen again and again like that. Never thought it would end. Cause you got up in my head, in my head like that. And made me happy, baby. But love is crazy, so amazing. But it's changing, rearraging. I don't think I can take anymore. Cuz' the walls burned up and our love fell down. And it turned into whatever, now we're saying never. Feel the fire cuz' it's all around. And it's burning for forever and always. We gotta let it go, be on our way. And live for another day, cuz it ain't the same my baby. Watch it all falling to the ground. No happy ever after, just disaster. I didn't want it this way, I only wanted to say. I loved you right. But now you walking away, and leaving me here to stay. So foolish of me to wait for you to realize. All the things I gave you, made you, changed you. Your dreams came true. When I met you, now forget you. Don't want anymore. Cuz' the walls burned up and our love fell down. And it turned into whatever, now we're saying never. Feel the fire cuz it's all around. And it's burning for forever and always. We gotta let it go, be on our way. And live for another day, cuz' it ain't the same my baby. Watch it all falling to the ground. No happy ever after, just disaster. You shot the bullet. You shot the bullet that killed me. Not feeling my heartbeat, and I was dying. I I've been through it,. I I've been through all the agony. And now my eyes are, trying. Trying no more crying. Lying it's just a game. So disaster strikes and I'm alright. Because my love's on it's way. Burning for forever and always. Cuz' the walls burned up and our love fell down. And it turned into whatever, now we're saying never. Feel the fire cuz it's all around. And it's burning for forever and always. We gotta let it go, be on our way. And live for another day, cuz' it ain't the same my baby. Whatch it all falling to the ground. No happy ever after, just disaster. Cuz' the walls burned up and our love fell down. And it turned into whatever, now we're saying never. Feel the fire cuz it's all around. And it's burning for forever and always. We gotta let it go, be on our way. And live for another day, cuz' it ain't the same my baby. Whatch it all falling to the ground. No happy ever after, just disaster. Just disaster. Burning for forever and always"
fuck apologies. (feat. wiz khalifa),"[Wiz Khalifa]. I ain't apologizing for shit. I do what I want, and Jojo does too, uh. [Jojo]. Saw it in your eyes when you said goodbye. You didn't even try, so this time I don't care. And honestly I was just about to pick up the phone. And then I realized that I didn't do nothing wrong. You would even tell two lies. To prove that you were right. Usually I'd go on and take the blame. But not this time, not this time. What you want from me?. I would say I'm sorry if I really meant it. Fuck apologies. I would say I'm sorry if I really meant it. I'm not perfect, I got pride. That's not what it is this time. So fuck apologies. I would say I'm sorry if I really meant it. If I, if I, if I really meant it. I can't help that you, feel the way you do. Try not to get confused cause this time I don't care. And honestly I was just about to pick up the phone. And then I realized that I didn't do nothing wrong. Didn't do nothing wrong, ayy. What you want from me?. I would say I'm sorry if I really meant it. Fuck apologies. I would say I'm sorry if I really meant it. I'm not perfect, I got pride. That's not what it is this time. So fuck apologies. I would say I'm sorry if I really meant it. If I, if I, if I really meant it. [Wiz Khalifa]. Okay, uh, no apologizing. Ain't no way to take the things you did back or disguise it. Always wonder what I'm doing but that's Tmi. Don't know what you got until it's gone. Now you realize it. Wasn't playing smart now I'm being wise. Finally I'm moving on. I don't need your lies. And it wasn't even tough cause I could see the signs. Now you're stuck, call an uber up. If you need a ride. [Jojo]. What you want from me?. I would say I'm sorry if I really meant it. (I don't mean it baby). Fuck apologies. I would say I'm sorry if I really meant it. (I know). I'm not perfect, I got pride. That's not what it is this time. So fuck apologies. I would say I'm sorry if I really meant it. What you want from me?. (I'm not sorry). I would say I'm sorry if I really meant it. Fuck apologies. (Not saying it). I'm not perfect, I got pride. That's not what it is this time. So fuck apologies. I would say I'm sorry if I really meant it. I would have said sorry a long time ago. If I, if I, if I really meant it. If I, if I, if I really meant it"
exceptional,"Mmmm. You're beautiful but you don't know. Can't see whats there inside your soul. Always feelin like you're not good enough. You wish you could be someone else. Sometimes you just can't see yourself. But I can see just who you are, who you are. You're exceptional the way you are. Dont need to change for nobody. You're incredible, anyone can see that. When will you believe that?. You are nothing but exceptional. (Yeah). You never you think you measure up. Never smart or cool, or pretty enough. Always feeling different from all the rest, oh. You feel so out of place, you think you don't fit in. I think you're perfect in the skin you're in. You're just perfect just how you are, just how you are, yeah. (chorus). You're exceptional the way you are. Dont need to change for nobody. You're incredible, anyone can see that. When will you believe that?. You are nothing but exceptional. If you could see the one I see when I see you. You'd know how lucky you are to be you. I see through into you. And you are. You're exceptional the way you are. Dont need to change for nobody. You're incredible, anyone can see that. When will you believe that? (You are). You're exceptional the way you are. Dont need to change for nobody. You're incredible, anyone can see that. When will you believe that?. You are nothing but exceptional"
forever in my life,"Uhooh, yeah yeah.. The way you're a part of me. I would have to re-learn everything. If you were to leave. So fast you make me fall like I was, autumn leaves. And honestly... there's a perfect explanation. Why you feel so good to say that you're. (Chorus). My love, My love, My love. I'll give you all my love. If you, if you, if you don't change a thing. About the way you hold me every night. So right, I wanna man like you forever in my life. I'm locked inside a jar. Turn the lid and set me free. I love everything that you are. Has a million other reasons. But let's, not go too far. Stay, close to my heart. When I think about the future. I am right there where you are. (Chorus 2x). My love, My love, My love. I'll give you all my love. If you, if you, if you don't change a thing. About the way you hold me every night. So right, I wanna man like you forever in my life. I Know, that you would never leave me hanging. Haging out to dry in the wind. I know, that we haven't seen the worst of it. When we do, I promise you, we'll stick it out together. You're.... (Chorus 2x). My love, My love, My love. I'll give you all my love. If you, if you, if you don't change a thing. About the way you hold me every night. So right, I wanna man like you forever in my life"
