when you look me in the eyes,"If the heart is always searching. Can you ever find a home?. I've been looking for that someone. I'll never make it on my own. Dreams can't take the place of loving you. There's gotta be a million reasons why it's true. When you look me in the eyes. And tell me that you love me. Everything's alright. When you're right here by my side. When you look me in the eyes. I catch a glimpse of heaven. I find my paradise. When you look me in the eyes. How long will I be waiting. To be with you again. I'm gonna tell you that I love you. In the best way that I can. I can't take a day without you here. You're the light that makes my darkness disappear. When you look me in the eyes. And tell me that you love me. Everything's alright. When you're right here by my side. When you look me in the eyes. I catch a glimpse of heaven. I find my paradise. When you look me in the eyes. Moving on, I start to realize. I can reach my tomorrow. I can hold my head up high. And it's all because you're by my side. When you look me in the eyes. And tell me that you love me. Everything's alright. When you're right here by my side. When I hold you in my arms. I know that is forever. I just got let you know. I never wanna let you go. 'Cause when you look me in the eyes. And tell me that you love me. Everything's alright (it's alright). When you're right here by my side (by my side). When you look me in the eyes. I catch a glimpse of heaven. (Oh) I find my paradise. When you look me in the eyes"
what i go to school for,Her voice is echoed in my mind. I count the days 'til she is mine. Can't tell my friends 'cause they will laugh. I love a girl from senior class. I day dream through my freshman math. While she fills her college apps. I'll show her a world where we belong. But she'll have to drive us to the prom. (Chorus). That's what I go to school for. Even though it is a real bore. You can call me crazy. She is so amazing. That's what I go to school for. Even though it is a real bore. Girlfriends I've had plenty. She's the one that I need. That's what I go to school for. That's what I go to school for. Her boyfriend's just turning nineteen. But that doesn't bother me. He's back at college out of town. I find a reason to go round. I climb a tree outside her home. To make sure that she is alone. She looks up and sees me there. Still I cant help her but stop and stare. (Chorus). That's what I go to school for. Even though it is a real bore. You can call me crazy. She is so amazing. That's what I go to school for. Even though it is a real bore. Girlfriends I've had plenty. She's the one that I need. That's what I go to school for. That's what I go to school for. Everyone that you see all day knows. you're looking at me in a different way. I guess that's why my marks are getting so high. I can see those tell tale signs. telling me that I was on your mind. I could see that you want it more. When you told me that. I'm what you go to school for. I'm what you go to school for. She's made her choice. And I'm the one. At least until graduation comes. We drive past school to wave goodbye. My friends they can't believe their eyes. That's what I go to school for. Even though it is a real bore. You can call me crazy. She is so amazing. That's what I go to school for. Even though it is a real bore. Girlfriends I've had plenty. But she's the one that I need. That's what I go to school for. That's what I go to school for
fly with me,If time were still. The sun would never never find us. We could light up. The sky tonight. I could see the world through your eyes. Leave it all behind. If it's you and me forever. If it's you and me right now. That'd be alright. Be alright. We're chase stars to loose our shadow. Peter Pan and Wendy turned out fine. So won't you fly with me. Oh yeah. Gonna fly with me now. Now the past. Is coming alive. And given meaning. And a reason. To give all I can. To believe once again. If it's you and me forever. If it's you and me right now. That'd be alright. Be alright. We're chase stars to loose our shadow. Peter Pan and Wendy turned out fine. So won't you fly with me. Maybe you were just afraid. Knowing you were miles away. From the place where you needed to be. And that's right here with me. If it's you and me forever. You and me right now. That'd be alright. Be alright. We're chase stars to loose our shadow. Peter Pan and Wendy turned out fine. So won't you fly. Fly. Fly with me
s.o.s.,"I told you I made dinner plans. For you and me and no one else. That don't include your crazy friends. Well I'm done with awkward situations. Empty conversations. CHORUS. Oooo, this is an SOS. Don't wanna second guess. This is the bottom line. It’s true. I gave my all for you. Now my heart’s in two. And I can't find the other half. It’s like I’m walkin’ on broken glass. Better believe I bled. It’s a call I’ll never get. So this is where the story ends. A conversation on IM. Well I'm done with texting. Sorry for the miscommunication. CHORUS. Oooo, this is an SOS. Don't wanna second guess. This is the bottom line. It’s true. I gave my all for you. Now my heart’s in two. And I can't find the other half. It’s like I’m walkin’ on broken glass. Better believe I bled. It’s a call I’ll never get. Next time I see you. Giving you a high five. Cause hugs are overrated. Just FYI. Oooo, this is an SOS. Don't wanna second guess. This is the bottom line. It’s true. I gave my all for you. Now my heart’s in two. Yeah. CHORUS. Oooo, this is an SOS. Don't wanna second guess. This is the bottom line. It’s true. I gave my all for you. Now my heart’s in two. And I can't find the other half. It’s like I’m walkin’ on broken glass. Better believe I bled. It’s a call I’ll never get. Call I’ll never get. Call I’ll never get"
hello beautiful,"Hello Beautiful. How's it going?. I hear its wonderful. In California. I've been missin' you. It's true. But tonight, I'm gonna fly. Yeah tonight, I'm gonna fly!. Cause I can go across the world. And see everything, and never be satisfied. If I couldn't see those eyes.. Hello beautiful. It's been a long time. Since my phones rung. and you've been on that line. I've been missing you. It's true. But tonight i'm gonna fly. Yeah tonight i'm gonna fly. Cause i can go across the world. see everything and never be satisfied. If I couldn't see those eyes"
give love a try,"You, you like driving on a Sunday. You, you like takin' off on Monday. You, you're like a dream, a dream come true. I, was just a face you never noticed. And I, I'm just trying to be honest. with myself, with you, with the world. You might think that I'm a fool. For falling over you. So tell me what can I do to prove to you. That it's not so hard to do. Give love a try, one more time. Cause you know that I'm on your side. Give love a try, one more time. How, did it play out like a movie,. Now, every time its beat can moves me. And I can't get your smile, off my mind. And your eyes, when I saw them for the first time. Knew that I, was gonna love you for a long time. With a love, so real, so right. You might think that I'm a fool. For falling over you. And tell me what can I do to prove to you. That it's not so hard to do. Give love a try, one more time. Cause you know that I'm on your side. Give love a try, one more time. One more time"
burnin' up,"I'm Hot. You're Cold. You go Around. Like You Know. Who I Am. But You Don't. You Got Me On My Toes. I'm slipping into the lava. and I'm trying to keep from going under. Baby. You turned the temperature hotter. Cause I'm burnin' up, burnin' up. For you baby. Come on girl. I fell (I fell). So fast (so fast). I Can't hold myself back. High heels (high heels). Red dress (red dress). All by yourself. Gotta catch my breath. I'm slipping into the lava. And I'm trying to keep from going under. Baby. You turned the temperature hotter. Cause I'm burnin' up, burnin' up. For you baby. Walk in the room. All I can see is you. Oh. Starring me down. I know you feel it too. I'm slipping into the lava. And I'm trying to keep from going under. Baby. You turned the temperature hotter. Cause I'm burnin' up, burnin' up. For you baby. slipping into the lava. And I'm trying to keep from going under. Baby. You turned the temperature hotter. Cause I'm burnin' up, burnin' up. For you baby. (Big Rob's Rap). Burnin' up in the place tonight. And the brothers singing loud (and were feelin' right). Get up and dance (don't try to fight it). Big Robs for real (and that's no lie). Stop,drop and roll (and touch the floor, to keep from burnin' up). More and More. I got JB with me (playing it down). Come on boys bring the chorus around. I'm slipping into the lava (Burnin' up, Burnin' Up). And I'm trying to keep from going under (yeahhhh). Baby. You turned the temperature hotter. Cause I'm burnin up. Burnin' up you baby. Burnin' up, Burnin' up. For you Baby"
hold on,"We don't have time left to regret (hold on). It will take more than common sense (hold on). So stop your wondering take a stand (hold on). Cause there's more to life than just to live (hold on). Cause an empty room. Can be so loud. There's too many tears. To drown them out. So hold on (hold on). Hold on (hold on). One single smile, a helping hand (hold on). It's not that hard to be a friend (hold on). So don't give up, stand till the end (hold on). Cause there's more to life than just to live (hold on). Cause an empty room. Can be so loud. There's too many tears. To drown them out. So hold on (hold on). Hold on (hold on). When you love someone. And they break your heart. Don't give up on love. Have faith, restart. Just hold on (hold on). Hold on (hold on). When all falls apart. And you're feeling lost. All your hope is gone. Don't forget to. Hold on. Hold on. Cause an empty room. Can be so loud. There's too many tears. To drown them out. So hold on (hold on). Hold on (hold on). When you love some one. And they break your heart. Don't give up on love. Have faith, restart. Just hold on (hold on). Hold on (hold on). Cause an empty room. Can be so loud. There's too many tears. To drown them out. So hold on (hold on). Hold on (hold on). When you love someone. And they break your heart. Don't give up on love. Have faith, restart. Just hold on (hold on). Hold on. Hold on!"
introducing me,"I'm good at wasting time. I think lyrics need to rhyme. And you're not asking. But I'm tryna grow a mustache. I eat cheese. But only on pizza, please. And sometimes on a homemade quesadilla. Otherwise it smells like feet to me. And I, I really like it. When the moon looks like a toenail. And I love it when you say my name. If you wanna know, here it goes, gonna tell you this. A part of me that shows. If we're close gonna let you see. Everything. But remember that you asked for it. I'm tryna do my best to impress. But it's easier to let you. Take a guess at the rest. But you wanna hear what lives in my brain. My heart. Well you asked for it. For your perusing. At times confusing. Slightly amusing. Introducing me. Do-do do-do-do-do-do. Do-do do-do-do-do-do. La-da-da-da la-da-da-da-da-da-da-da-da. I never trust a dog to watch my food. And I like to use the word ""dude"". As a noun or an adverb or an adjective. And I, I've never been into cars. I like really cool guitars and superheros. And checks with lots of zeros on them. I love the sound of violins and making someone. Smi-i-i-ile. If you wanna know, here it goes, gonna tell you this. A part of me that shows. If we're close gonna let you see. Everything. But remember that you asked for it. I'm tryin' to do my best to impress. But it's easier to let you. Take a guess at the rest. But you wanna hear what lives in my brain. My heart. Well you asked for it. For your perusing. At times confusing. Possibly amusing. Introducing me. Well, you probably know more than you ever wanted to. So be careful when you ask next ti-i-i-ime. So, if you wanna know, here it goes, gonna tell you this. A part of me that shows. If we're close gonna let you see. Everything. But remember that you asked for it. I'm tryna do my best to impress. But its easier to let you. Take a guess at the rest. But you wanna hear what lives in my brain. My heart. Well you asked for it. For your perusing. At times confusing. hopefully amusing. Introducing me. Do-do do-do-do-do-do. Do-do do-do-do-do-do. Introducing me"
gotta find you (camp rock),"(Verse 1). Everytime I think I'm close to the heart. What it means to know just who I am. I think I've finally found a better place to start. Where no one ever seems to understand. (Pre-chorus). I need to try to get to where you are. Could it be you're not that far?. (Chorus). You're the voice I hear inside my head. The reason that I'm singing. I need to find you. I gotta find you. You're the missing piece I need. The song inside of me. I need to find you. I gotta find you. (Verse 2). You're the remedy I'm searching hard to find. To fix the puzzle that I see inside. Painting all my dreams are the color of your smile. When I find you it will be alright. (Pre-chorus). I need to try to get to where you are. Could it be you're not that far?. (Chorus). You're the voice I hear inside my head. The reason that I'm singing. I need to find you. I gotta find you. You're the missing piece I need. The song inside of me. I need to find you. I gotta find you. (Bridge). I been feeling lost. Cant find the words to say. Spendin all my time stuck in yesterday. Where you are is where I wanna be. Oh next to you, you next to me. Ohh. I need to find you YEAH. You're the voice I hear inside my head. The reason that I'm singing. I need to find you. I gotta find you. You're the missing piece I need. The song inside of me. I need to find you. I gotta find you (I gotta find you). You're the voice I hear inside my head. The reason that I'm singing. I need to find you (I need to find you). I gotta find you (I gotta find you). You're the missing piece I need. The song inside of me. I need to find you. I gotta find you. I gotta find you"
