give it to you,"You say it's been too long. Since you had some. Just say I turn you on. Light the fire that's burning inside. You think that I'm the one. You see in your dreams. You know what you mean. It's creepin' around in my head. Me holdin' you down in my bed. You don't have to say a word. I'm convinced you want this. Baby you know I can give it to you. You can't deny I'd do it right. Just let me know and I'll give it to you. Show me where I'll taste you there. Baby you know that I'll give it to you. Your body needs a man like me. Anything goes when I give it to you. Without a doubt I'll turn you out (and give it to you). The feeling is fine giving you everything of mine. I'm the place to be. And soon you'll see. I don't care who leads. As long as we move horizontally. Anyone can make you sweat. But I can keep you wet. It's creeping around in my head. Me holding you down in my bed. I can't wait to give you some. I'm convinced you need it. Baby you know I can give it to you. You can't deny I'd do it right. Just let me know and I'll give it to you. Show me where I'll taste you there. Baby you know that I'll give it to you. Your body needs a man like me. Anything goes when I give it to you. Without a doubt I'll turn you out. The feeling is fine giving you everything of mine. It's creeping around in my head. Me holding you down in my bed. You don't have to say a word. Just relax, I´ll do the work. I can't wait to give you some. I'm convinced you need one.... Baby you know I can give it to you. You can't deny I'd do it right. Just let me know and I'll give it to you. Show me where I'll taste you there. Baby you know that I'll give it to you. Your body needs a man like me. Anything goes when I give it to you. Without a doubt I'll turn you out. The feeling is fine giving you everything of mine"
i'll be your everything,"So long that I've waited for a girl. To come into my life and in my world. I can't explain my feelings for you. I guess you're just all my dreams come true. And I'll be your lover, your lover. And I'll be your best friend, oh I'll be your friend. I'll be there when you're needing me, when you need me. I'll be your everything, your everything. Chorus:. I'll be your everything. I'll be all that you want and all that you need. I'll be your everything. I'll give you all that I have, my love, my life, and me. I'll be your everything. Now that we're together at last. We shouldn't think about our problems in the past. 'Cause true love takes a miracle to find. I guess that I've been blessed 'cause I've got you by my side. And I'll be your lover, your lover. And I'll be your best friend, oh I'll be your friend. I'll be there when you're needing me, when you need me. I'll be your everything, your everything. When you're lost and you're down. And you're seeing darkness. And there's no one there that can be found. Just turn around. I'll be there holding out my arms for you. Just reach for me, I'll be the one to set you free. I'll lift you up when you're feeling down. I'll make your whole world turn around. I'll give my heart and soul to you. To let you know this love is true"
o-face,"Hey! Oh,Oh,Oh,Oh. Spoken:I think tonight's gonna be that night. You're body is smooth as a baby, baby. Your fire is cool to the touch. You're damn near drivin' me crazy, crazy. And Oo girl I love it so much. Take you to the line,. Keep you hangin' on. Let me take my time,. I know right where I'm goin'. You're showin' me them signs,. You're gettin' turned on. And I, And I, I know that you want it girl. It's ok, to show me that O-Face. Nobody needs to know it babe. What's between me and you, Stays between me and you. Baby show me that Oo, Oo, Oh. Show me that Oo, Oo, Oh. Baby show me that Oo, Oo, Oh. Show me that Oo, Oo, Oh. Ice cubes between your lips girl. Hot wax drippin' down(that's when I know that I gotcha). I'm gonna give you you're fix girl. When nobody else is around, nobody (I'm gonna). Take you to the line,. Keep you hangin' on. Let me take my time,. I know right when I'm goin'. You're showin' me them signs,. You're gettin' turned on. And I,(I know),And I,(I know)that you want it girl. It's ok,(Oh, it's ok) to show me that O-Face. (you can show me girl). Nobody needs to know it babe. Whats between me and you. Stays between me and you. Oh No shades, lights on(lights on). Look over your shoulder, I wanna see you lookin' at me. I wanna see , what's goin' on. While I'm takin' your body over (Oh!). Girl it's ok,(you know it's ok) to show me that O-Face. (I wanna see you're O-Face). Nobody needs to know it babe,(nobody,nobody,nobody). Whats between me and you. Stays between me and you,(I Know). Baby show me that Oo, Oo, Oh. Show me that Oo, Oo, Oh. Baby Show me that Oo, Oo, Oh. Show me that Oo, Oo, Oh. Girl,it's ok(to show me that O-Face. Nobody needs to know it babe. Whats between me and you. Stays between me and you"
finally finding out,"Verse 1:. I didn't wanna be silent. I had a lot to say. I didn't wanna make moves. Until I paved a way. I'm giving in to something. I never gave before. I'm taking on much less. Because I needed more. Chorus:. I'm learning everyday. I'm goin' all the way. I'm finally finding out. What love is all about. There will be no doubt. I'm finally finding out. Verse 2:. And my baby's so good for me. I can see my future in our family. If you believe in something. You gotta hold on tight. You can always feel it better. If you close your eyes. Chorus. (Repeat). Bridge:. Our love's what's supposed to be. It takes time. Grows out of trust and honesty. If you dive in, change your mind. 'Cause you don't know how to swim, baby. I turn the lights and go to sleep. Dream of all that we can be. And wake up knowing we can always try Chorus. (Repeat)."
careless whisper,"Time can never mend the careless whispers of a good friend. To the heart and mind, ignorance is kind. there's no comfort in the truth. pain is all you'll find. Should've known better. I feel so unsure. as I take your hand and lead you to the dance floor. as the music dies, something in your eyes. calls to mind the silver screen. and all its sad good-byes. I'm never gonna dance again. guilty feet have got no rhythm. though it's easy to pretend. I know you're not a fool. Should've known better than to cheat a friend. and waste the chance that I've been given. so I'm never gonna dance again. the way I danced with you. Time can never mend. the careless whispers of a good friend. to the heart and mind. ignorance is kind. there's no comfort in the truth. pain is all you'll find. I'm never gonna dance again. guilty feet have got no rhythm. though it's easy to pretend. I know you're not a fool. Should've known better than to cheat a friend. and waste this chance that I've been given. so I'm never gonna dance again. the way I danced with you. Never without your love. Tonight the music seems so loud. I wish that we could lose this crowd. Maybe it's better this way. We'd hurt each other with the things we'd want to say. We could have been so good together. We could have lived this dance forever. But noone's gonna dance with me. Please stay. And I'm never gonna dance again. guilty feet have got no rhythm. though it's easy to pretend. I know you're not a fool. Should've known better than to cheat a friend. and waste the chance that I've been given. so I'm never gonna dance again. the way I danced with you. (Now that you're gone) Now that you're gone. (Now that you're gone) What I did's so wrong. that you had to leave me alone"
a different party,"The words in the [ ]'s and are one's I had trouble with, so it's just the best guess as to what the words are.. uh ah, all right, yeah.... I don't know the way you want this to go. Baby, I'm so sick and tired of playin' your games. If you say the word, I'll be there, soon as it's heard. Maybe, I'm wasting my time working on you. I'll do my best to show you, that I'm the one to hold you. Sometimes you make me lose my mind. We can all go to a different party. Dancin' in the streets. with some girls from Maui. We can all rock at the Deja Vu. And you know how we do it. I just want you to start shaking your body. Times are gonna change, Do you know [you got it]. I know you'll go, I'll go, so go. [So many loves, so many loves do you know what you want in me]. You won't believe all of the tricks up my sleeve. Baby you so hypnotize me with you eyes. I'm in control long enough to let you know. I'm getting old wasting my time waiting on you. I'll do my best to show you, that I'm the one to hold you. Sometimes you make me lose my mind. We can all go to a different party. Dancin' in the street with some girls from Maui. We can all rock at the deja vu. And you know how we do it. I just want you to start shaking your body. Times are gonna change do you know [you got it]. I know you'll go, I'll go, so go. [So many loves, so many loves, do you know what you want in me]. It's a different party party. So shake your body body. It's a different party party. Cause you know I'm naughty naughty. It's a different party party. So shake your body body. It's a different party party. That's how we do it. Jimmy Jam.... Gonna get you in the grove, girl gonna get you in the mood. Up down, up down, girl get up, get up, get down. Gonna get you in the grove, girl gonna get you in the mood. Up down, up down, spinnin' around and around and around. We can all go to a different party. Dancin' in the street with some girls from Maui. We can all rock at the deja vu. And you know how we do it. I just want you to start shaking your body (shaking your body). Dancin' on the street do you know ?? (oh yea). I know you'll go, I'll go, so low. [So many loves so many loves do you know what you want in me]. We can all go to a different party. Dancin' in the streets just to lose our mind (different party). We can all rock at the deja vu. And we know how to do it. I just want you to start shaking your body (shaking your body). Dancin' on the street just to lose your mind (oooh a different party). I know you'll go, I'll go, so low. [So many loves, so many loves, do you know what you want in me]. It's a different party party. So shake your body body. It's a different party party. Cause you know I'm naughty naughty. It's a different party party. So shake your body body. It's a different party party. That's how we do it, do it.... Now all go home.."
believe,"Baby how can you win if you give up on love. For every tear that you cry I'll sacrifice enough. Just try it again, let me in. Just follow me, yeah. Open your heart, I can turn it around. Where will you go if in your heart. you forget how to find love. You'll never know if you don't give it a chance. You gotta prove your faith. Or you're stuck going nowhere, going nowhere. Or you're stuck going nowhere, going nowhere. If you don't believe. I don't understand why should I take his place. Tell me how can I help if you don't pass this pace. Do you pretend you don't feel how I feel inside. When I see the truth every time in your eyes. Where will you go if in your heart. you forget how to find love. You'll never know if you don't give it a chance. You gotta prove your faith. Or you're stuck going nowhere, going nowhere. Or you're stuck going nowhere, going nowhere. If you don't just believe. Just say you believe in me. Just like I believe in you. Baby don't be afraid. Be afraid of love. Tell me. Where will you go if in your heart. you forget how to find love. You'll never know if you don't give it a chance. You gotta prove your faith. Or you're stuck going nowhere, going nowhere. Or you're stuck going nowhere, going nowhere. If you don't just believe. Cos I wanna help you find love?. I can see that you're stuck?. Don't have to be stuck?. Please don't give up on love"
angel of love,"Girl I feel all I need is only you. And I know in your heart you feel this way too. Boy your love's everything I ever know. And I know with your love I can't go wrong. Let me give you this love. Oh boy and I'll give you my joys. I need you, I want you, I love you my dear. You're my angel of love. Oh boy yes you are. You're my angel of love. Ho ho ho ho. You're my angel,my angel of love. Girl I feel all I need is only you. And I know in your heart you feel this way too. Oh oh boy your love's captured me. Right from the start. From the start you became a part of my heart. Let me give you this love. Hoho yeah and I'll give you my trust. I need you, I want you, I love you my dear. You're my angel of love. Oh boy yes you are. You're my angel of love. Ho ho ho ho. You're my angel, my angel of love. I love you. Baby I need you. You're my angel girl. You're my angel. You you you know you are. You're my angel of love"
unfinished,"Baby I would still be standing here. No matter what you do. If I let you down, just tell me now. And I'll fix it like a man's supposed to. What part of I know we can work, don't you understand. Maybe I'm just making it worse, but I can't let go of your hand. Let's fix it, let's fix it all. Baby stop, right there, take a breath, no it's not too late. To wait, search yourself, before you steal, steal my life away. You don't want to try this time, I'm here to fight this crime. Don't you leave me empty hearted, girl don't leave this love of ours. Unfinished, unfinished, unfinished whoa oh oh. . How can you complicate what I see so clear. Maybe you're just scared. But if you run away in fear. That just won't be fair. So close your lips and don't say those words. I know you want to say. Just let me kiss you anywhere it hurts. Tell me where to start first. And stop, right there, take a breath, no it's not too late. To wait, search yourself, before you steal, steal my life away. You don't want to try this time, I'm here to fight this crime. Don't you leave me empty hearted, girl don't leave this love of ours. Unfinished, unfinished, unfinished whoa oh oh. Unfinished, unfinished, unfinished whoa oh oh. Just think it over, for a minute. We'd be losing so much, so much, so much. If you didn't stop, right there, take a breath, no it's not too late. To wait, search yourself, before you steal, steal my life away. You don't want to try this time, I'm here to fight this crime. Don't you leave me empty hearted, girl don't leave this love of ours. Unfinished, unfinished, unfinished whoa oh oh. Unfinished, unfinished, unfinished whoa oh oh"
a different party,"The words in the [ ]'s and are one's I had trouble with, so it's just the best guess as to what the words are.. uh ah, all right, yeah.... I don't know the way you want this to go. Baby, I'm so sick and tired of playin' your games. If you say the word, I'll be there, soon as it's heard. Maybe, I'm wasting my time working on you. I'll do my best to show you, that I'm the one to hold you. Sometimes you make me lose my mind. We can all go to a different party. Dancin' in the streets. with some girls from Maui. We can all rock at the Deja Vu. And you know how we do it. I just want you to start shaking your body. Times are gonna change, Do you know [you got it]. I know you'll go, I'll go, so go. [So many loves, so many loves do you know what you want in me]. You won't believe all of the tricks up my sleeve. Baby you so hypnotize me with you eyes. I'm in control long enough to let you know. I'm getting old wasting my time waiting on you. I'll do my best to show you, that I'm the one to hold you. Sometimes you make me lose my mind. We can all go to a different party. Dancin' in the street with some girls from Maui. We can all rock at the deja vu. And you know how we do it. I just want you to start shaking your body. Times are gonna change do you know [you got it]. I know you'll go, I'll go, so go. [So many loves, so many loves, do you know what you want in me]. It's a different party party. So shake your body body. It's a different party party. Cause you know I'm naughty naughty. It's a different party party. So shake your body body. It's a different party party. That's how we do it. Jimmy Jam.... Gonna get you in the grove, girl gonna get you in the mood. Up down, up down, girl get up, get up, get down. Gonna get you in the grove, girl gonna get you in the mood. Up down, up down, spinnin' around and around and around. We can all go to a different party. Dancin' in the street with some girls from Maui. We can all rock at the deja vu. And you know how we do it. I just want you to start shaking your body (shaking your body). Dancin' on the street do you know ?? (oh yea). I know you'll go, I'll go, so low. [So many loves so many loves do you know what you want in me]. We can all go to a different party. Dancin' in the streets just to lose our mind (different party). We can all rock at the deja vu. And we know how to do it. I just want you to start shaking your body (shaking your body). Dancin' on the street just to lose your mind (oooh a different party). I know you'll go, I'll go, so low. [So many loves, so many loves, do you know what you want in me]. It's a different party party. So shake your body body. It's a different party party. Cause you know I'm naughty naughty. It's a different party party. So shake your body body. It's a different party party. That's how we do it, do it.... Now all go home.."
