love yourself,"For all the times that you rained on my parade. And all the clubs you get in using my name. You think you broke my heart, oh girl for goodness sake. You think I'm crying on my own, well I ain't. And I didn't wanna write a song. 'Cause I didn't want anyone thinking I still care. I don't but, you still hit my phone up. And baby I been movin' on and I think you should be somethin'. I don't wanna hold back, maybe you should know that. My mama don't like you and she likes everyone. And I never like to admit that I was wrong. And I've been so caught up in my job. Didn't see what's going on. And now I know, I'm better sleeping on my own. Cause if you like the way you look that much. Oh baby you should go and love yourself. And if you think that I'm still holdin' on to somethin'. You should go and love yourself. But when you told me that you hated my friends. The only problem was with you and not them. And every time you told me my opinion was wrong. And tried to make me forget where I came from. And I didn't wanna write a song. 'Cause I didn't want anyone thinking I still care. I don't but, you still hit my phone up. And baby I been movin' on and I think you should be somethin'. I don't wanna hold back, maybe you should know that. My mama don't like you and she likes everyone. And I never like to admit that I was wrong. And I've been so caught up in my job. Didn't see what's going on. And now I know, I'm better sleeping on my own. Cause if you like the way you look that much. Oh baby you should go and love yourself. And if you think that I'm still holdin' on to somethin'. You should go and love yourself. For all the times that you made me feel small. I fell in love now I feel nothin' at all. I never felt so low when I was vulnerable. Was I a fool to let you break down my walls?. Cause if you like the way you look that much. Oh baby you should go and love yourself. And if you think that I'm still holdin' on to somethin'. You should go and love yourself. Cause if you like the way you look that much. Oh baby you should go and love yourself. And if you think that I'm still holdin' on to somethin'. You should go and love yourself"
sorry,"You gotta go and get angry. At all of my honesty. You know I try. But I don't do too well with apologies. I hope I don't run out of time. Could someone call a referee?. Cause I just need one more shot at forgiveness. I know you know that I made those mistakes. Maybe once or twice. By once or twice I mean maybe a couple a hundred times. So let me, oh let me redeem, oh redeem, oh myself tonight. Cause I just need one more shot. At second chances. Yeah, is it too late now to say sorry?. Cause I'm missing more than just your body. Is it too late now to say sorry?. Yeah I know that I let you down. Is it too late to say I'm sorry now?. I'm sorry, yeah. Sorry, yeah. Sorry. Yeah I know that I let you down. Is it too late to say sorry now?. I'll take every single piece of the blame if you want me to. But you know that there is no innocent one. In this game for two. I'll go, I'll go and then you go, you go out and spill the truth. Can we both say the words and forget this?. Is it too late now to say sorry?. Cause I'm missing more than just your body. Is it too late now to say sorry?. Yeah I know that I let you down. Is it too late to say I'm sorry now?. I'm not just trying to get you back on me. Cause I'm missing more than just your body. Is it too late now to say sorry?. Yeah I know that I let you down. Is it too late to say sorry now?. I'm sorry, yeah. Sorry, oh. Sorry. Yeah I know that I let you down. Is it too late to say sorry now?. I'm sorry, yeah. Sorry, oh. Sorry. Yeah I know that I let you down. Is it too late to say I'm sorry now?"
baby,"Ohh wooaah. You know you love me, I know you care. You shout whenever, And I'll be there. You want my love, You want my heart. And we will never ever ever be apart. Are we an item? Girl quit playing. We're just friends, What are you saying. So there's another one, Looks right in my eyes. My first love broke my heart. for the first time. And I was like. Baby, baby, baby ooh. My baby, baby, baby noo. My baby, baby, baby ooh. I thought you'd always be mine mine. Baby, baby, baby ooh. My baby, baby, baby noo. My baby, baby, baby ooh. I thought you'd always be mine, oh oh. For you, I would have done whatever. And now I just can't believe, We ain't together. And wanna play it cool, But I'm losin' you. I'll buy you anything. I'll buy you any ring. And now I am in pieces, baby fix me. Come and shake me til' you wake me from this bad dream. I'm going down, down, doown. (everybody!). Baby, baby, baby ooh. My baby, baby, baby noo. My baby, baby, baby ooh. I thought you'd always be mine. Baby, baby, baby ooh. My baby, baby, baby noo. My baby, baby, baby ooh. I thought you'd always be mine. You can give me all your love. But sometimes it won't be love. Never told me this day would come. Now I'm all gone. You can give all your love. But sometimes it won't be love. Never told me this day would come. And I was like. Baby, baby, baby ooh. My baby, baby, baby noo. My baby, baby, baby ooh. I thought you'd always be mine. Yeah Yeah. Now I'm all gone, gone, gone, ooh. I'm gone, oohh"
as long as you love me (feat. big sean),"As long as you love me. As long as you love me. As long as you love me. We're under pressure. Seven billion people in the world. Trying to fit in. Keep it together. Smile on your face. Even though your heart is frowning. But hey now,. You know girl. We both know it's a cruel world. But I will take my chances. As long as you love me. We could be starving. We could be homeless. We could be broke. As long as you love me. I'll be your platinum. I'll be your silver. I'll be your gold. As long as you love, love me, love me. As long as you love, love me, love me. I'll be your soldier. Fighting every second of the day. For your dreams, girl. I'll be your H.O.V.A.. You can be my Destiny's Child on scene, girl. So don't stress. Don't cry. We don't need no wings to fly. Just take my hand. As long as you love me. We could be starving. We could be homeless. We could be broke. As long as you love me. I'll be your platinum. I'll be your silver. I'll be your gold. As long as you love, love me, love me. As long as you love, love me, love me. [Big Sean]. I don't know if this makes sense but, you're my hallelujah. Give me a time and place, I'll rendezvous it. I'll fly you to it, I'll beat you there. Girl, you know I got you. Us, trust, a couple things I can't spell without U. Now we on top of the world, cause that's just how we do. Used to tell me sky's the limit,. Now the sky's our point of view. Man, we stepping out like woa (Oh God!),. Cameras point and shoot. Ask me 'what's my best side?',. I stand back and point at you. You the one that I argue with,. Feel like I need a new girl to be bothered with. But, the grass ain't always greener on the other side,. It's green where you water it. So I know, we got issues baby, true, true, true. But I'd rather work on this with you. Than to go ahead and start with someone new. As long as you love me. We could be starving. We could be homeless. We could be broke. As long as you love me. I'll be your platinum. I'll be your silver. I'll be your gold. As long as you love, love me, love me. As long as you love, love me, love me. As long as you love, love me, love me. As long as you love, love me, love me. As long as you love me"
what do you mean?,What do you mean?. Ohh ohh when you nod your head yes. But you wanna say no. What do you mean?. Hey yeah when you don't want me to move. But you tell me to go. What do you mean?. Ohh what do you mean?. Said we're running out of time. What do you mean?. Ohh ohh ohh what do you mean?. Better make up your mind. What do you mean?. You're so indecisive of what I'm saying. Trying to catch the beat make up your heart. Don't know if you're happy or complaining. Don't want us to end where do I start. First you wanna go to the left and you want to turn right. Wanna argue all day make love all night. First you up and you're down and then between. Ohh I really want to know. What do you mean?. Ohh ohh when you nod your head yes. But you wanna say no. What do you mean?. Hey yeah when you don't want me to move. But you tell me to go. What do you mean?. Ohh what do you mean?. Said we're running out of time. What do you mean?. Ohh ohh ohh what do you mean?. Better make up your mind. What do you mean?. You're overprotective when I'm leaving. Trying to compromise but I can't win. You wanna make a point but you keep preaching. You had me from the start won't let this end. First you wanna go to the left then you want to turn right. Wanna argue all day make love all night. First you up then you're down and then between. Ohh I really wanna know. What do you mean?. Ohh ohh when you nod your head yes. But you wanna say no. What do you mean?. Hey yeah when you don't want me to move. But you tell me to go. What do you mean?. (I want to know). Ohh what do you mean?. Said we're running out of time. What do you mean?. Ohh ohh ohh what do you mean?. Better make up your mind. What do you mean?. Ohh ohh when you nod your head yes. But you wanna say no. What do you mean?. Hey yeah when you don't want me to move. But you tell me to go. What do you mean?. Ohh what do you mean?. Said we're running out of time. What do you mean?. Ohh ohh ohh what do you mean?. Better make up your mind. What do you mean?
one time,"Me plus you, I'm a tell you one time. Me plus you, I'm a tell you one time. Me plus you, I'm a tell you one time. One time. One time. When I met you girl my heart went knock knock knock. Now them butterflies in my stomach won't stop stop. And even though it's a struggle love is all we got. So we gonna keep keep climbin' till the mountain top. Your world is my world. And my fight is your fight. My breath is your breath. And your heart(is my heart). Your my one love. My one heart. My one life for sure. Let me tell you one time (girl I love, girl I love you). I'm a tell you one time (girl I love, girl I love you). And I'm a be your one guy. You'll be my number one girl always makin' time for you. I'ma tell you one time (girl I love, girl I love you). I'ma tell you one time (girl I love, girl I love you). You look so deep. You know that it humbles me. Your by my side and what troubles them don't trouble me. Many have called but the chosen is you. Whatever you want shawty I'll give it to you. Your world is my world. And my fight is your fight. My breath is your breath. And your heart (is my heart). Your my one love. My one heart. My one life for sure. Let me tell you one time (girl I love, girl I love you). I'm a tell you one time (girl I love, girl I love you). And I'm a be your one guy. You'll be my number one girl always makin' time for you. I'ma tell you one time (girl I love, girl I love you). I'ma tell you one time (girl I love, girl I love you). Shawty right there. She's got everything I need and I'm a tell her one time. One time, one time. Give you everything you need down to my last dime. She makes me happy. I know where I'll be. Right by your side 'cause she is the one. For me. You're my one love. My one heart. My one life for sure. Let me tell you one time (girl I love, girl I love you). I'm a tell you one time (girl I love, girl I love you). And I'm a be your one guy. You'll be my number one girl always makin' time for you. I'm a me tell you one time (girl I love, girl I love you). I'm a tell you one time (girl I love, girl I love you). Me plus you, I'm a tell you one time. Me plus you, I'm a tell you one time. Me plus you, I'm a tell you one time. One time. One time"
never say never (feat. jaden smith),"See I never thought that I could walk through fire.. I never thought that I could take the burn.. I never had the strength to take it higher,. Until I reached the point of no return.. And there's just no turning back,. When your heart's under attack,. Gonna give everything I have,. It's my destiny.. I will never say never! (I will fight). I will fight till forever! (make it right). Whenever you knock me down,. I will not stay on the ground.. Pick it up,. Pick it up,. Pick it up,. Pick it up up up,. And never say never.. I never thought I could feel this power.. I never thought that I could feel this free.. I'm strong enough to climb the highest tower.. And I'm fast enough to run across the sea.. And there's just no turning back,. When your heart's under attack,. Gonna give everything I have,. Cause this is my destiny.. I will never say never! (I will fight). I will fight till forever! (make it right). Whenever you knock me down,. I will not stay on the ground.. Pick it up,. Pick it up,. Pick it up,. Pick it up, up, up,. And never say never.. Here we go!. Guess who?. JSmith and Jb!. I gotcha lil bro.. I can handle him.. Hold up, aight?. I can handle him.. Now he's bigger than me,. Taller than me.. And he's older than me,. And stronger than me.. And his arms a little bit longer than me.. But he ain't on a JB song with me!. I be trying a chill. They be trying to side with the thrill.. No pun intended, was raised by the power of Will.. Like Luke with the force, when push comes to shove.. Like Cobe with the 4th, ice water with blood.. I gotta be the best, and yes. We're the flyest.. Like David and Goliath,. I conquered the giant.. So now I got the world in my hand,. I was born from two stars. So the moon's where I land.. I will never say never! (I will fight). I will fight till forever! (make it right). Whenever you knock me down,. I will not stay on the ground.. Pick it up,. Pick it up,. Pick it up,. Pick it up, up, up,. And never say never.. I will never say never! (I will fight). I will fight till forever! (make it right). Whenever you knock me down,. I will not stay on the ground.. Pick it up,. Pick it up,. Pick it up,. Pick it up, up, up,. And never say never."
friends (with bloodpop),"I was wonderin' 'bout your mama. Did she get that job she wanted?. Sell that car that gave her problems?. I'm just curious 'bout her,. honest (ooh-ooh). Know you wonderin' why I've been callin'. Like I got ulterior motives. Know we didn't end this so good. But you know we had something so good. So I'm wondering, can we still be friends?. Can we still be friends?. Doesn't have to end. And if it ends, can we be friends?. Can we be friends?. Can we be friends?. Can we be friends?. Wondering if you got a body. To hold you tighter since I left. Wondering if you think about me. Actually, don't answer that. Know you wonderin' why I've been callin'. Like I got ulterior motives. Know we didn't end this so good. But you know we had something so good. . So I'm wondering, can we still be friends?. Can we still be friends?. Doesn't have to end. And if it ends, can we be friends?. Can we be friends?. Can we be friends?. Can we be friends?. And if it ends, can we be friends?. Know you wonderin' why I've been callin'. Like I got ulterior motives. Know we didn't end this so good. But you know we had something so good. So I'm wondering, can we still be friends?. Can we still be friends?. Doesn't have to end. And if it ends, can we be friends?"
company,"Can we, we keep, keep each other company. Maybe we, can be, be each other's company. Oh company. Let's end each other's lonely nights. Be each other's paradise. Need a picture for my frame. Someone to share my reign. Tell me what you wanna drink. I'll tell you what I got in mind. Oh I don't know your name. But I feel like that's gonna change. You ain't gotta be my lover for you to call me babe. Never been about no pressure, ain't that serious. Can we, we keep, keep each other company. Maybe we, can be, be each other's company. Oh company. It ain't about the complications. I'm all about the elevation. We can keep it goin' up. Oh, don't miss out on us. Just wanna have a conversation. Forget about the obligations. Maybe we can stay in touch. Oh that ain't doin' too much. You ain't gotta be my lover for me to call you babe. Never been about no pressure, ain't that serious no. Can we, we keep, keep each other company. Maybe we, can be, be each other's company. Oh company. Can we be, can we be, be each other's company. Be each other's company. Just be each other's company. Be each others company. Can we, we keep, keep each other company. Maybe we, can be, be each other's company. Oh company"
purpose,"Feeling like I'm breathing my last breath. Feeling like I'm walking my last steps. Look at all of these tears I've wept. Look at all the promises that I've kept. I put my heart into your hands. Here's my soul to keep. I let you in with all that I can. You're not hard to reach. And you bless me with the best gift. That I've ever known. You give me purpose. Yeah, you've given me purpose. Thinking my journey's come to an end. Sending out a farewell to my friends, for inner peace. Ask you to forgive me for my sins,. Oh would you please?. I'm more than grateful for the time we spent. My spirit's at ease. I put my heart into your hands. Learn the lessons you teach. No matter when, wherever I am. You're not hard to reach. And you've given me the best gift. That I've ever known. You give me purpose everyday. You give me purpose in every way. Oh, you are my everything. Oh, you are my everything. I don't know if this is wrong. Because someone else is telling me that it's wrong. But I feel this so let me just like. Try my best not to let this happen again. We weren't necessarily put in the best position. To make the best decisions. You can't be hard on yourself. For these were the cards that you were given. So you have to understand that these, like. That's not who you are. You know you're trying to be the best you can be. But that's all you can do. If you don't give it all you got, you're only cheating yourself. Give it all you got, but if it ends up happening. It ends up happening. That's what it's. That's what's happening with me. It's like God I'm giving it all I got. Sometimes I'm weak and I'm gonna do it. And it's like I'm not giving myself grace. I'm just like understanding, that's just how it is"
