put your graffiti on me,"Denim jean jacket, pink chucks. And a mini skirt. Be your bad habit. Throw me up against the wall first. I take advantage of you. You take advantage of me. Drink up this bottle of yeah. And paint your body on me. Put your graffiti on me. Put your graffiti on me. Put your graffiti on me. Tag me. Tag me. Put your name on it put you put your name on it. Put your name on it put you put your name on it. Put your name on it put you put your name on it. Put your name on it put you put your name on it. Cotton candy. Lollipop. Sticky like a post-it. You don't need to drum my heart. You already own it. I take advantage of you. You take advantage of me. Drink up this bottle of yeah. And paint your body on me. Put your graffiti on me. Put your graffiti on me. Put your graffiti on me. Tag me. Tag me. Put your name on it put you put your name on it. Put your name on it put you put your name on it. Put your name on it put you put your name on it. Put your name on it put you put your name on it. You treat me like concrete under your feet. I'll be your canvas incomplete. Your paper doll, your alley wall. Heart in Graffiti. Tag me. Tag me. Put your graffiti on me. Put your graffiti on me. Put your graffiti on me. Put your graffiti on me. Put your graffiti on me. Put your graffiti on me. Put your name on it put you put your name on it. Put your name on it put you put your name on it. Put your name on it put you put your name on it. Put your name on it put you put your name on it. Tag me. Tag me"
all your love,"Got me in love like a criminal. Blame me like a good time rock and roll. Roll up coasting high and low. Got me so out of control. Feeling like the kiss under your fingertips. Melting like sugar. I wanna kiss your lips. Desperate love bilingual risk. Have to have you, need all of it. Give me all your loving here tonight. Gonna make you feel all right. Come a little closer hit the lights. You'd be waiting for this all your life. I want your love. I want it. I need your love. I need it. I want your love. I want your love. I want your love. I want your love. I want your love. I want it. Give me all your love tonight. Give me all your love tonight. Smoke you cause I need a hit. Unwrap me a like a christmas gift. Tangled sheets and mocca ships. Gamble everything for the love of it. High for you like a fire lit. Call the police and the movement. Rated x ain't for the kids. Give me that back, give me all of it. Give me all your loving here tonight. Gonna make you feel all right. Come a little closer hit the lights. You'd be waiting for this all your life. I want your love. I want it. I need your love. I need it. I want your love. I want your love. I want your love. I want your love. I want your love. I want it. Give me all your love tonight. Give me all your love tonight. I want your love. I want your love. In here baby. I need your love. I need your love. In here baby. I want your love. I want your love. In here baby. I need your love. I need your love. In here baby. I want your love. I want it. I need your love. I need it. I want your love. I want your love. I want your love. I want your love. I want your love. I want it. Give me all your love tonight. Give me all your love tonight. Give me all your love tonight. Give me all your love tonight"
sassy,"Mirror mirror on the wall. who's the precious one of all,. I think that I am sassy,. I know that I am. Mirror mirror on the wall. Sassy girl that's what I'm called,. I think that I am sassy,. I know that I am. I'm sassy, sassy as I wanna,. Picture perfect poster girl. Yeah I'm off the wall. Raise your hands my sexy girls,. my classy girl,. independent flashy girl. Watch your own cash falls rocks and pearls?. Drive your rims with your sassy girl?. My lipgloss and my bently,. My rims they cost your bently.. I am a sassy girl, I am. I am a sassy girl, I am.. My gucci to my prada. My prada to mascara. I am a sassy girl, I am. I am a sassy girl,. Who me?. Mirror mirror on the wall. Who's the precious one of all,. I think that I am sassy,. I know that I am. Mirror mirror on the wall. Sassy girl that's what I'm called,. I think that I am sassy,. I know that I am. S-A-S-S-Y. Sassy as I wanna be,. Sassy as I wanna be,. Sassy as I wanna be. I'm sassy, sassy as I wanna,. Motion picture movie girl,. Mrs. don't you wanna. Raise your hands my sexy girls,. my classy girl,. independent flashy girl. Watch your own cash falls rocks and pearls?. Drive your rims with your sassy girl?. My lipgloss and my bently,. my rims they cost your bently. I am a sassy girl, I am. I am a sassy girl, I am. My gucci to my prada. My prada to mascara. I am a sassy girl, I am. I am a sassy girl,. Who me?. Mirror mirror on the wall. Who's the precious one of all,. I think that I am sassy,. I know that I am. Mirror mirror on the wall. Sassy girl that's what I'm called,. I think that I am sassy,. I know that I am. S-A-S-S-Y. Sassy as I wanna be,. Sassy as I wanna be,. Sassy as I wanna be. I am S-A-S-S-Y. Sassy as I wanna be,. Sassy as I wanna be,. Sassy as I wanna be.. All the boys that like my style,. six inch pumps, crocodile,. done right, jeans is tight. Boys all night (Damn she fine),. Dior juicy couture. Eyeshadow. coat is fur. I ain't no amateur,. I'm a cover girl. Mirror mirror on the wall. who's the precious one of all,. I think that I am sassy,. I know that I am. Mirror mirror on the wall. Sassy girl that's what I'm called,. I think that I am sassy,. I know that I am. I'm sexy, I'm classy,. It's so hard to wall pass me,. They call me sassy, that's right.. they call me sassy. Mirror mirror on the wall,. Haters wanna see me fall,. But I'm a cover girl. Mirror mirror on the wall. who's the precious one of all,. I think that I am sassy,. I know that I am. Mirror mirror on the wall. Sassy girl that's what I'm called,. I think that I am sassy,. I know that I am"
off,If you wanna get it. Take it off for me. Show me all the spots. That my hands can be. Don't be shy. Crank up the heat. Turn it up turn it up. Let's get it on. Tell me that you need. What I got for ya. Give it to me good. Wake the neighbors up. Don't be quiet. Let me hear you loud. Turn it up. Turn it up. Let's get it on. Let's get it on get it on. Got your clothes on. Take em off. Come on baby. Tell me what you want. Let's get it on. Get it on. Let's get it on get it on. Got your clothes on. Take em off. Come on baby. Tell me what you want. Let's get it on. Get it on. So whatcha wanna do. Let's get it on. Is what I wanna do. Let's get it on. So whatcha wanna do. Let's get it on. Is what I wanna do. Let's get it on. Why you wearing clothes. We don't need all that. Nothin on but the smile I have. Don't play nice. Wanna see you bad. Keep it up keep it up. Let's get it on. I'm work you out. Yeah we Go all night. Keep on going. Til the sun gone shine. I won't stop. Til tell me to. Keep it up. Keep it up. Let's get it on. Let's get it on get it on. Got your clothes on. Take em off. Come on baby. Tell me what you want. Let's get it on. Get it on. Let's get it on get it on. Got your clothes on. Take em off. Come on baby. Tell me what you want. Let's get it on. Get it on. So whatcha wanna do. Let's get it on. Is what I wanna do. Let's get it on. So whatcha wanna do. Let's get it on. Is what I wanna do. Let's get it on. Give me all you're lovin. And all your affection. Put a rubber on. Heart in need of protection. Tight dress on. cuz I want that attention. Give me all your love love. Gimme your love love. Give it to me now. Let's get it on get it on. Got your clothes on. Take em off. Come on baby. Tell me what you want. Let's get it on. Get it on. Give it to me now. Let's get it on get it on. Got your clothes on. Take em off. Come on baby. Tell me what you want. Let's get it on. Get it on. So whatcha wanna do. Let's get it on. Is what I wanna do. Let's get it on. So whatcha wanna do. Let's get it on. Is what I wanna do. Let's get it on. Get it on
wanna say,Tonight I'm gonna throw my past away. Tonight I'm gonna live like my last day. It makes me wanna say. When you're around. I can tell. I'm about to lose myself. (I'm about to lose myself). Caught up in. The moment again. Boy you take my breath away. (Boy you take my breath away). I don't care. If people wanna. Stop and stare. We'll just pretend. That no one's there. They'll fade away. Boy you make me wanna say. Wanna say. Tonight I'm gonna throw my past away. Tonight I'm gonna live like my last day. It makes me wanna say. Yeah yeah yeah. Yeah yeah yeah. It makes me wanna say. (Yeah yeah yeah). It makes me wanna say. (Yeah yeah yeah). (Yeah yeah yeah). It makes me wanna say. (Yeah yeah yeah). (Yeah yeah yeah). It makes me wanna say. From here on out. We'll live out loud. It's you and me against the world. (You and me against the world). Don't matter how. Things turn out. Baby we're together now. (Baby we're together now). I don't care. If people wanna. Stop and stare. We'll just pretend. That no one's there. They'll fade away. Boy you make me wanna say. Wanna say. Tonight I'm gonna throw my past away. Tonight I'm gonna live like my last day. It makes me wanna say. Yeah yeah yeah. Yeah yeah yeah. It makes me wanna say. (Yeah yeah yeah). (Yeah yeah yeah). It makes me wanna say. (Yeah yeah yeah). (Yeah yeah yeah). It makes me wanna say. (Yeah yeah yeah). (Yeah yeah yeah). It makes me wanna say.... It makes me wanna say. (Yeah yeah yeah). (Yeah yeah yeah). It makes me wanna say. (Yeah yeah yeah). (Yeah yeah yeah). It makes me wanna say. (Yeah yeah yeah). (Yeah yeah yeah). It makes me wanna say. (Yeah yeah yeah). (Yeah yeah yeah). It makes me wanna say. (Yeah yeah yeah). (Yeah yeah yeah). It makes me wanna say. (Yeah yeah yeah). (Yeah yeah yeah). It makes me wanna say. (Yeah yeah yeah). (Yeah yeah yeah). It makes me wanna say. (Yeah yeah yeah). (Yeah yeah yeah). Tonight I'm gonna throw my past away. Tonight I'm gonna live like my last day. It makes me wanna say
heartkiller,"Eighteen wheeler. Stone cold killer. Hit it and quit her. Baby. No heart stealer. Sex dealer. Don't pull the trigger. Bang bang. No you're never gonna. Take me out. Never never gonna. Take me out eh eh. Should know better. If you go get her. You'll end up in. Flames flames. Uh oh, there you go. Gun in your holster. Ready to blow. Uh oh, there you go. Hunting me down. Like an animal. Uh oh, there you go. Uh oh, t-t-there you go. Uh oh, there you go. There you go. There you go. I don't wanna be ya. See ya, hear ya. You're a heartkiller. I don't wanna feel ya. Can't be near ya. You're a heartkiller. A murderer, serial lover. I don't wanna be ya. See ya, hear ya. You're a heartkiller. You're a heartkiller. Big fat liar. Pants on fire. To you ain't nothing but a. Game game. Preaching to the choir. Bullets keep flying. Bet ya look good in. Red red. No you're never gonna. Take me out. Never never gonna. Take me out eh eh. Should know better. If you go get her. You'll end up in. Flames flames. Uh oh, there you go. Gun in your holster. Ready to blow. Uh oh, there you go. Hunting me down. Like an animal. Uh oh, there you go. Uh oh, t-t-there you go. Uh oh, there you go. There you go. There you go. I don't wanna be ya. See ya, hear ya. You're a heartkiller. I don't wanna feel ya. Can't be near ya. You're a heartkiller. A murderer, serial lover. I don't wanna be ya. See ya, hear ya. You're a heartkiller. You're a heartkiller. Caution tape the door. Chalk lines on the floor. If I let you in-in, no. I'll never become. Victim to your touch. Damaged by your love. Love love. I don't wanna be ya. See ya, hear ya. You're a heartkiller. I don't wanna feel ya. Can't be near ya. You're a heartkiller. A murderer, serial lover. I don't wanna be ya. See ya, hear ya. You're a heartkiller. You're a heartkiller. You're a heartkiller"
1991,"Yeah, oh. Yeah, oh. Yeah, oh. Yeah, oh. You love me when I'm wild. And even when I'm crazy. But isn't that the way. It's supposed to be. And even when you're mad. Or just a little cranky, yeah. Boy, you still. Get the best of me. If you want me to give it on up. And if you need me to give it on up. You have to have me to give it on up. Just say, give it to me baby. I can't give up. We'll never be over. Every breakup. Only brings us closer, boy. Old school pounding in my head. From 1991. Take it back so much, we're back. In 1991. I'll give you all my time. And even all my money. (All my money). As long as you stay. Good to me. (To me, to me, to me). Cause even when your boys. Are acting kinda funny, yeah. You know you can still. Come home to me. If you want me to give it on up. And if you need me to give it on up. You have to have me to give it on up. Just say, give it to me baby. I can't give up. We'll never be over. Every breakup. Only brings us closer, boy. Old school pounding in my head. From 1991. Take it back so much, we're back. In 1991. I give you all my loving. Yes I give it all the time. Everyone I know knows. That the boy is mine, yeah. Ain't no question. His heart's in my hands. If you can't tell. Take a look at his pants. Been around the block. Ain't no other life. His make-up sex so good. I go, yeah. Can't let go girls. He's the one. I take him back like. 1991. I can't give up. We'll never be over. Every breakup. Only brings us closer, boy. Old school pounding in my head. From 1991. Take it back so much, we're back. In 1991. I can't give up. We'll never be over. Every breakup. Only brings us closer, boy. Old school pounding in my head. From 1991. Take it back so much, we're back. In 1991. 1991. 1991"
1991 (cities at night remix),"You love me when I'm wild. And even when I'm crazy. But isn't that the way. It's supposed to be. And even when you're mad. And just a little cranky, yeah. Boy you still. Get the best of me. If you want it. If you need it. You got to have it. Just say, ""give it to me"". If you own it. If you need it. You got to have it. Just say, ""give it to me"". 1991. 1991. I'll give you all my time. And even all my money. As long as you stay. Good to me. 'cause even when your boys. Are acting kinda funny, yeah. You know you can still. Come home to me. Yeah-eh. If you want it. If you need it. You got to have it. Just say, ""give it to me"". If you own it. If you need it. You got to have it. Just say, ""give it to me"". 1991. 1991. I can't give up. We'll never be over. Every break up. Only brings us closer, boy. Old school lovin' like we're from. 1991. Take it back so much, we're back in. 1991. 1991. 1991. I can't give up. We'll never be over. Every break up. Only brings us closer, boy. Old school lovin' like we're from. 1991. Take it back so much, we're back in. 1991. I can't give up. We'll never be over. Every break up. Only brings us closer, boy. Old school lovin' like we're from. 1991. Take it back so much, we're back in. 1991. 1991. 1991"
all your love,"Got me in love like a criminal. Blame me like a good time rock and roll. Roll up coasting high and low. Got me so out of control. Feeling like the kiss under your fingertips. Melting like sugar. I wanna kiss your lips. Desperate love bilingual risk. Have to have you, need all of it. Give me all your loving here tonight. Gonna make you feel all right. Come a little closer hit the lights. You'd be waiting for this all your life. I want your love. I want it. I need your love. I need it. I want your love. I want your love. I want your love. I want your love. I want your love. I want it. Give me all your love tonight. Give me all your love tonight. Smoke you cause I need a hit. Unwrap me a like a christmas gift. Tangled sheets and mocca ships. Gamble everything for the love of it. High for you like a fire lit. Call the police and the movement. Rated x ain't for the kids. Give me that back, give me all of it. Give me all your loving here tonight. Gonna make you feel all right. Come a little closer hit the lights. You'd be waiting for this all your life. I want your love. I want it. I need your love. I need it. I want your love. I want your love. I want your love. I want your love. I want your love. I want it. Give me all your love tonight. Give me all your love tonight. I want your love. I want your love. In here baby. I need your love. I need your love. In here baby. I want your love. I want your love. In here baby. I need your love. I need your love. In here baby. I want your love. I want it. I need your love. I need it. I want your love. I want your love. I want your love. I want your love. I want your love. I want it. Give me all your love tonight. Give me all your love tonight. Give me all your love tonight. Give me all your love tonight"
baby,I'm just a little tongue tied. Just a little shy for you. Sink into your reflection. Cause I get weak for you. It's love until you break my heart. Give it all to me. It's love until we fall apart. Give it all to me. You give me that kind of love. That takes me beyond and above. and you know I can't get enough of you. Baby baby baby ooh. You get a little quiet. But I know you're feeling it too. No don't you fight this. I get to confide in you. I need to confide it in you. It's love until you break my heart. Give it all to me. It's love until we fall apart. Give it all to me. You give me that kind of love. That takes me beyond and above. and you know I can't get enough of you. Baby baby baby ooh. You've got all this love. Right where you want it. Whenever you want it. You've got my porcelain heart. Baby don't drop it. Baby don't drop it. OOh. You give me that kind of love. That takes me beyond and above. and you know I can't get enough of you. Baby baby baby ooh. Baby baby baby ooh
