breakaway,"Grew up in a small town. And when the rain would fall down. I'd just stare out my window. Dreamin' of what could be. And if I'd end up happy. I would pray. Trying hard to reach out. But, when I tried to speak out. Felt like no one could hear me. Wanted to belong here. But something felt so wrong here. So I'd pray. I could break away. I'll spread my wings and I'll learn how to fly. I'll do what it takes till I touch the sky. And I'll make a wish, take a chance, make a change. And break away. Out of the darkness and into the sun. But, I won't forget all the ones that I love. I'll take a risk, take a chance, make a change. And break away. Wanna feel the warm breeze. Sleep under a palm tree. Feel the rush of the ocean. Get onboard a fast train. Travel on a jetplane, far away. And break away. I'll spread my wings and I'll learn how to fly. I'll do what it takes till I touch the sky. And I'll make a wish, take a chance, make a change. And break away. Out of the darkness and into the sun. I won't forget all the ones that I love. I gotta take a risk, take a chance, make a change. And break away. Buildings with a hundred floors. Swinging round revolving doors. Maybe I don't know where they'll take me. But, gotta keep moving on, moving on. Fly away, break away. I'll spread my wings and I'll learn how to fly. Though it's not easy to tell you goodbye, gotta. Take a risk, take a chance, make a change. And break away. Out of the darkness and into the sun. But, I won't forget the place I come from. I gotta take a risk, take a chance, make a change. And break away"
because of you,"I will not make. The same mistakes that you did. I will not let myself. Cause my heart so much misery. I will not break. The way you did, you fell so hard. I've learned the hard way. To never let it get that far. Because of you. I never stray too far from the sidewalk. Because of you. I learned to play on the safe side so I don't get hurt. Because of you. I find it hard to trust not only me,. but everyone around me. Because of you I am afraid. I lose my way. And it's not too long before you point it out. I cannot cry. Because I know that's weakness in your eyes. I'm forced to fake. A smile, a laugh, every day of my life. My heart can't possibly break. When it wasn't even whole to start with. Because of you. I never stray too far from the sidewalk. Because of you. I learned to play on the safe side so I don't get hurt. Because of you. I find it hard to trust not only me,. but everyone around me. Because of you I am afraid. I watched you die. I heard you cry every night in your sleep. I was so young. You should have known better than to lean on me. You never thought of anyone else. You just saw your pain. And now I cry in the middle of the night. For the same damn thing. Because of you. I never stray too far from the sidewalk. Because of you. I learned to play on the safe side so I don't get hurt. Because of you. I try my hardest just to forget everything. Because of you. I don't know how to let anyone else in. Because of you. I'm ashamed of my life because it's empty. Because of you I am afraid. Because of you. Because of you"
stronger (what doesn't kill you),"You know the bed feels warmer. Sleeping here alone. You know I dream in color. And do the things I want. Think you got the best of me. Think you had the last laugh. Bet you think that everything good is gone. Think you left me broken down. Think that I'll come running back. Baby you don't know me, cause you're dead wrong. What doesn't kill you makes you stronger. Stand a little taller. Doesn't mean I'm lonely when I'm alone. What doesn't kill you makes a fighter. Footsteps even lighter. Doesn't mean I'm over cause you're gone. What doesn't kill you makes you stronger, stronger. Just me, myself and I. What doesn't kill you makes you stronger. Stand a little taller. Doesn't mean I'm lonely when I'm alone. You heard that I was starting over with someone new. But told you I was moving on over you. You didn't think that I'd come back. I'd come back swinging. You try to break me but you see. What doesn't kill you makes you stronger. Stand a little taller. Doesn't mean I'm lonely when I'm alone. What doesn't kill you makes a fighter. Footsteps even lighter. Doesn't mean I'm over cause you're gone. What doesn't kill you makes you stronger, stronger. Just me, myself and I. What doesn't kill you makes you stronger. Stand a little taller. Doesn't mean I'm lonely when I'm alone. Thanks to you I got a new thing started. Thanks to you I'm not a broken hearted. Thanks to you I'm finally thinking bout me. You know in the end the day you left was just my beginning. In the end.... What doesn't kill you makes you stronger. Stand a little taller. Doesn't mean I'm lonely when I'm alone. What doesn't kill you makes a fighter. Footsteps even lighter. Doesn't mean I'm over cause you're gone. What doesn't kill you makes you stronger, stronger. Just me, myself and I. What doesn't kill you makes you stronger. Stand a little taller. Doesn't mean I'm lonely when I'm alone. What doesn't kill you makes you stronger, stronger. Just me, myself and I. What doesn't kill you makes you stronger. Stand a little taller. Doesn't mean I'm lonely when I'm alone"
never enough,"I'm tryin' to hold my breath. Let it stay this way. Can't let this moment end. You set off a dream in me. Getting louder now. Can you hear it echoing?. Take my hand. Will you share this with me?. 'Cause darling, without you. All the shine of a thousand spotlights. All the stars we steal from the night sky. Will never be enough, never be enough. Towers of gold are still too little. These hands could hold the world, but it'll. Never be enough, never be enough for me. Never, never. Never, never. Never for me, for me. Never enough, never enough, never enough. For me, for me, for me. All the shine of a thousand spotlights. All the stars we steal from the night sky. Will never be enough, never be enough. Towers of gold are still too little. These hands could hold the world, but it'll. Never be enough, never be enough for me. Never, never. Never, never. Never for me, for me. Never enough, never, never. Never enough, never, never. Never enough. For me, for me, for me. For me"
since u been gone,"Here's the thing. We started out friends. It was cool, but it was all pretend. Yeah, yeah, since you been gone. You dedicated, you took the time. Wasn't long, till I called you mine. Yeah, yeah, since you been gone. And all you'd ever hear me say. Is how I pictured me with you. That's all you'd ever hear me say. But since you been gone. I can breathe for the first time. I'm so movin' on, yeah yeah. Thanks to you now I get what I want. Since you been gone. How can I put it, you put me on. I even fell for that stupid love song. Yeah, yeah, since you been gone. How come I'd never hear you say. I just wanna be with you. Guess you never felt that way. But since you been gone. I can breathe for the first time. I'm so movin' on, yeah yeah. Thanks to you now I get what I want. Since you been gone. You had your chance, you blew it. Out of sight, out of mind. Shut your mouth, I just can't take it. Again and again and again and again. Since you been gone (since you been gone). I can breathe for the first time. I'm so movin' on, yeah yeah. Thanks to you (thanks to you). Now I get, I get what I want. I can breathe for the first time. I'm so movin' on, yeah yeah. Thanks to you (thanks to you). Now I get (I get). You should know, that I get. I get what I want. Since you been gone"
piece by piece,"(Piece by piece). And all I remember is your back. Walking towards the airport leaving us all in your past. I traveled fifteen hundred miles to see you. Begged you to want me. But you didn't want to. But piece by piece, he collected me. Up off the ground, where you abandoned things. And piece by piece he filled the holes. That you burned in me. At six years old. And you know, he never walks away. He never asks for money. He takes care of me, cause he loves me. Piece by piece, he restored my faith. That a man can be kind and a father could stay. (Piece by piece). And all of your words fall flat. I made something of myself. And now you wanna come back. But your love it isn't free. It has to be earned. Back then I didn't have anything you needed. So I was worthless. But piece by piece, he collected me. Up off the ground, where you abandoned things. And piece by piece he filled the holes. That you burned in me. At six years old. And you know, he never walks away. He never asks for money. He takes care of me, he loves me. Piece by piece, he restored my faith. That a man can be kind and a father could stay. Piece by piece. Piece by piece I fell far from the tree. I will never leave her like you left me. And she will never have to wonder her worth. Because unlike you I? m going to put her first. And you know. He'll never walk away. He'll never break her heart. He'll take care of things, he'll love her. Piece by piece, he restored my faith. That a man can be kind and a father should be great. Piece by piece. Piece by piece. Piece by piece"
already gone,"Remember all the things we wanted. Now all our memories, they're haunted. We were always meant to say goodbye. Even without fists held high, yeah. Never would have worked out right, yeah. We were never meant for do or die. I didn't want us to burn out. I didn't come here to hurt you now. I can't stop. I want you to know. That it doesn't matter. Where we take this road. Someone's gotta go. And I want you to know. You couldn't have loved me better. But I want you to move on. So I'm already gone. Looking at you makes it harder. But I know that you'll find another. That doesn't always make you wanna cry. Started with a perfect kiss. Then we could feel the poison set in. Perfect couldn't keep this love alive. You know that I love you so. I love you enough to let you go. I want you to know. That it doesn't matter. Where we take this road. Someone's gotta go. And I want you to know. You couldn't have loved me better. But I want you to move on. So I'm already gone. I'm already gone. I'm already gone. You can't make it feel right. When you know that it's wrong ?. I'm already gone. Already gone. There's no moving on. So I'm already gone. Already gone. Already gone. Already gone. Oooo, oh. Already gone. Already gone. Already gone. Yeah. Remember all the things we wanted. Now all our memories, they're haunted. We were always meant to say goodbye. I want you to know. That it doesn't matter. Where we take this road. Someone's gotta go. And I want you to know. You couldn't have loved me better. But I want you to move on. So I'm already gone. I'm already gone. I'm already gone. You can't make it feel right. When you know that its wrong?. I'm already gone. Already gone. There's no moving on. So I'm already gone"
my life would suck without you,"Guess this means you're sorry. You're standing at my door. Guess this means you take back. All you said before. Like how much you wanted. Anyone but me. Said you'd never come back. But here you are again. Cause we belong together now, yeah. Forever united here somehow, yeah. You got a piece of me. And honestly. My life would suck without you. Maybe I was stupid for telling you goodbye. Maybe I was wrong for tryin' to pick a fight. I know that I've got issues. But you're pretty messed up too. Either way I found out I'm nothing without you. cause we belong together now, yeah. Forever united here somehow, yeah. You got a piece of me. And honestly. My life would suck without you. Being with you is so dysfunctional. I really shouldn't miss you, but I can't let you go. Oh yeah. cause we belong together now, yeah. Forever united here somehow, yeah. You got a piece of me. And honestly. My life would suck without you. Cause we belong together now, yeah. Forever united here somehow, yeah. You got a piece of me. And honestly. My life would suck without you"
meaning of life,"Baby, I've been living in the dark. The only friend I've got here is my broken heart. Feeling like I've finally had enough. Living like an animal can be so rough. I've been waiting so long for you to come my way. And now I, I can't wait another day. When you hold me, I finally see. When you say love, I know what it means. I was broke down so alone in the dark. Until you showed me the light. Cause when you kiss me, I know who I am. And when you let me feel it I understand. When I'm lost I just look in your eyes. You show me the meaning of life. Meaning of life, life, life, life. You show me the meaning of life. Meaning of life, life, life, life. You show me the meaning of life. Every time I spend a lonely night, yeah. Thinking I won't make it til the morning light. All I do is think of you and I. Suddenly the wrongs they start to feel so right. I've been waiting for so long for you to come my way, yeah. And now I, I can't wait another day. When you hold me, I finally see. When you say love, I know what it means. I was broke down so alone in the dark. Until you showed me the light. Cause when you kiss me, I know who I am. And when you let me feel it, I understand. When I'm lost I just look in your eyes. You show me the meaning of life. Meaning of life, life, life, life. You show me the meaning of life. Meaning of life, life, life, life. Show me the meaning of life. You show me love. You lift me up. You take me higher and higher. The truth is I'm in love. Can you feel us, we're flying higher. Oh, you show me love. You lift me up. You take me higher and higher. The truth is I'm in love. Can you feel us, we're flying higher. Meaning of life, life, life, life. You show me the meaning of life. Meaning of life, life, life, life. Show me the meaning of life. Show me the meaning of life. Show me the meaning of life"
invincible,"You know I was broke down, I had hit the ground. I was crying out, I couldn't make no sound. No one hears the silent tears collecting. You know I had lost hope. I was all alone. Never been so long till you came along. Teacher, I feel the dots connecting. Beat down on me, beat down like a waterfall. Cause I can take on so much more. Than I had ever dreamed. So beat down on me, beat down like a waterfall. Cause baby, I am ready to be free. Now I am invincible. No, I ain't a scared little girl no more. Yeah, I am invincible. What was I running for. I was hiding from the world. I was so afraid, I felt so unsure. Now I am invincible. Another perfect storm. Now I am a warrior, a shooting star. Know I got this far, had a broken heart. No one hears the silent tears collecting. Cause it's being weak, but strong in the truth I found. I have courage now, gonna shout it out. Teacher, I feel the dots connecting. Beat down on me, beat down like a waterfall. Cause I can take on so much more. Than I had ever dreamed. So beat down on me, beat down like a waterfall. Cause baby, I am ready to be free. Now I am invincible. No, I ain't a scared little girl no more. Yeah, I am invincible. What was I running for. I was hiding from the world. I was so afraid, I felt so unsure. Now I am invincible. Another perfect storm. I was running from an empty threat. Of emptiness. I was running from an empty threat. That didn't exist. I was running from an empty threat. Of abandonment. I was running from an empty threat. That didn't exist. Now I am invincible. No, I ain't a scared little girl no more. Yeah, I am invincible. What was I running for. I was hiding from the world. I was so afraid, I felt so unsure. Now I am invincible. Another perfect storm. Now I am invincible. No, I ain't a scared little girl no more. Yeah, I am invincible. What was I running for. I was hiding from the world. I was so afraid, I felt so unsure. Now I am invincible. Another perfect storm"
