don't give up,"I've been high,. I've been low,. Traveled down every single road,. I've loved,. I felt pain,. But it's all just a part of the game,. And those people out there get you down. Cause their crying the blues,. Yeah,. Just cause they never done. It's got nothing to do with you,. So don't give up. Don't look down. Cause your time is gonna come around,. Don't look back, you've come too far,. Baby, you were born to be a star,. Yeah,. I've had doubt,. I've had faith,. But I believe,. Everyday,. I've been right,. I've been wrong,. But you'll remember me when I'm gone,. And those people out there. They just doubt what they can't see,. Yeah,. Cause there's a shining star. That, baby, you we're born to be,. So don't give up. Don't look down. Cause your time is gonna come around,. Don't look back, you've come too far,. Baby, you were born to be a star,. Yeah,. So don't give up. Don't look down. Cause your time is gonna come around,. Don't look back, you've come too far,. Baby, you were born,. You were born to be a star,. Don't give up. Don't look down. Cause your time is gonna come around,. Don't look back, you've come too far,. Baby, you were born to be a star,. Yeah,. So don't give up,. Don't look down,. Cause your time is gonna come around,. Yeah,. Cause your time is gonna come around."
gimme a sign,"Time doesn't wait,. Wait for no man.. So get on with it.. There's no escape,. Try if you can.. And, oh, this world is crazy.. And, oh, it blows my mind.. Oh, it seems like everybody's rushing,. Just to get to the back of the line.. Well I walk through the valley of. The shadow of death.. And I dance with the Devil but I got no regrets.. He told me next time your in town drop me a line.. Oh, just gimmie a sign.. Let the world fall apart.. Just gimmie a sign. Don't leave me in the dark.. I couldn't shake that little voice. Ringing in my head.. Wanted to run away from myself.. So I asked for a wise man to make me wise. He said son the answer's contained inside. I choked on the fortune,. But I feel fine. Oh, just gimmie a sign,. Let the world fall apart. Just gimmie a sign,. Don't leave me in the dark.. Just gimmie a sign.. You know they're gonna aim at you.. You know they'll try to take from you. Just gimmie a sign cause I need it this time. Stand up (stand up). Stand up (stand up). Stand up (stand up). Stand up, Stand up. Stand up (stand up). Stand up (stand up). Stand up (stand up). Stand up (stand up). I got in some trouble way back in the day.. Spent a few years tryin' to find my way. I broke a few rules, I ain't payin' the fine.. Oh, just gimmie a sign.. Let the world fall apart.. Just gimmie a sign,. Don't leave me in the dark.. Just gimmie a sign.. Oh yea, just gimmie a sign.. Oh yea, just gimmie a sign.. Yea, oh, oh yea, oh. Just gimme a sign.. You know they're gonna aim at you.. You know they'll try to take from you. Just gimmie a sign cause I need it this time"
coffee and donuts,"I must have been dreaming. While somebody was scheming. I need some information. We got a situation. Oh. Were you drinking?. What are you smoking?. Now you better listen. Because the thing goes around comes around. I got my hands tied behind my back. My face pressed to the glass. I swear that all these robots. Live on coffee and donuts. Now do I fit your description?. Or is it just fiction. So what's all the action?. Am I the main attraction?. Cause I was just standing. Now you're askin' me questions. What about my freedom. They say you are bad but. You can't have it like that. I got my hands tied behind my back. My face pressed to the glass. I swear that all these robots. Live on coffee and donuts. I'm glad I got your attention. There's probably something I should mention. To spin you round like a whirlpool. It goes around. Round, Round, Round, Round, Round. I got my hands tied behind my back. My face pressed to the. I, I, I got my hands tied behind my back. My face pressed to the glass. I swear that all these robots. Live on coffee and donuts"
i made it,"[Birdman]. Yeah. Cash Money Heros. Private Jets. Polish, fly. [Kevin]. I look up to the sky. and now the world is mine. I've known it all my life. I made it, I made it!. I used to dream about, the life I'm living now. I know that there's no doubt.. I made it!. [Kevin Verse 1]. Known from the city where no one believed in me. But I never give up the fight.. Ya, but now on top.. I told you to let it rock. The money's fallin from the sky-y-y-y-y. I made it.. [Chorus]. I look up to the sky. and now the world is mine. I've known it all my life. I made it, I made it!. I used to dream about, the life I'm living now. I know that there's no doubt.. I made it!. [Birdman]. Yea. YM. CMB baby. Birdman. Swagged out. 100. Rooftop, hella choppa burning smoke. Louive bag stay strapped wit a priceless globe. High life, flippin and get some more.. Paradise the luxury marble floor. When I hit, hit me full of that cash. More money than I seen in a garbage can. Stunna island, money and the power. that's how we do it, make it rain make it shower. top floor, big tymer doing big things. over city views bought shawty new range. flip another 100, poppin throwing 100. in a new bently, uptown stunna.. [Chorus]. I look up to the sky (TO THE SKY). and now the world is mine (THE WORLD IS MINE). I've known it all my life (all my lifeeeeee). I made it, I made it!. I used to dream about, the life I'm living now. (ooooo). I know that there's no doubt.. I made it!. [Jay Sean]. Ooo I made it... I made it... I made It... I made it... Ay Ay ay listen. see I don't live for glammor,and I don't care for. fame. I'm in this for the love of the game. funny how things can change. they didn't believe in me. then they calling my name. now look who cashed in. they didn't wanna know me back then. but ever since I don gon platinum. everything turned around. and now the sky is falling downnnnnn. [Chorus}. I look up to the sky. and now the world is mine. I've known it all my life. I made it, I made it!. I used to dream about, the life I'm living now. I know that there's no doubt.. I made it!. [Wayne]. Came from the gutter, lookin like my motha. made it to the goal line, strait out the huddle. cash money goldmine, weezy stay loyal. boy we getting money like we just found oil. uh and that's word to my red flag. I live first and leave the bullshit dead last. I lay it down so hard I got a bedrash. And I just tell em to loaf it when the bread pass. Staring at you from the top of the game man. I might drop the world if I change hands. uh it feel good to be here, weezy in the building got. this bitch rebuilt. YOUNG MONEY. [Chorus]. I look up to the sky. and now the world is mine. I've known it all my life. I made it, I made it!. I used to dream about, the life I'm living now. I know that there's no doubt.. I made it! I made it. I look up the skyyy!!. I made it!. Ooo!. made it, I made it. yes I did. yes I did. yes I did. yes I did. yes I did. I made it"
"champion (feat lil wayne, fred durst & birdman)","[Chorus - Kevin Rudolf]. Here we are, we are the champions. We've come so far, they said it can't be done. And we right here, and we still number one. Still number one, still number one. So here we are, we are the champions. [Verse 1 - Fred Durst]. Check it, always had big hopes as a kid. Just a rotten tomato building shit out of Legos. Can't hit the ball if you ain't swingin' the bat. And like a home run, that boy is not coming back. Rise like creams, kid with a dream. Went from never seeing straight to the face on a magazine. Now my team got anthems. Y'all frozen, a cold hook from the champion. [Chorus - Kevin Rudolf & (Fred Durst)]. Here we are, we are the champions (YMCMB). We've come so far, they said it can't be done. And we right here, and we still number one. Still number one, still number one. So here we are, we are the champions. [Verse 2 - Kevin Rudolf]. You know you gotta be strong to survive. When everyone's trying to break you. So let ‘em hate, just go your own way. Don't ever let ‘em try and change you. I walk alone through the fire to the throne. I find myself in the dark, I close my eyes and there you are. [Chorus - Kevin Rudolf & (Birdman)]. Here we are, we are the champions. We've come so far, they said it can't be done. And we right here, and we still number one (yeah). Still number one, still number one (yeah). So here we are, we are the champions (Stunna, check me). [Verse 3 - Birdman]. Rich gang, from Forbes to fortune and fame. Spit game, from millions to billions to gain. Life, triple crown on them bright lights. Sunny days, rainy nights on them global flights. Yeah, the like father, like son struggle. Mo' muscle, gun bussa, we flip digits. TRUK fitted, go get it. Ship it cause it's bigger than life. [Chorus - Kevin Rudolf & (Lil Wayne)]. Here we are, we are the champions. We've come so far, they said it can't be done. And we right here, and we still number one. Still number one, still number one. So here we are, we are the champions (yeah). [Verse 4 - Lil Wayne]. Uh, number one in this motherfucker. Lil Weezy fuck the world with two dicks. But in the meantime I'mma have a nice time. Went from a con artist to an icon. Got the keys to success on my key ring. Used to dream about sugar, sweet dreams. But reality is a bitch and she my bitch. Sold my soul to the devil, made a profit. Tunechi. [Chorus - Kevin Rudolf & (Lil Wayne)]. Here we are, we are the champions (yeah, haha). We've come so far, they said it can't be done (pour some Gatorade on it). And we right here, and we still number one (ah, yeah, yeahh). Still number one, still number one (oh yeah). So here we are, we are the champions (I almost forgot). Young Money babyyy)"
coffee and donuts,"I must have been dreaming. While somebody was scheming. I need some information. We got a situation. Oh. Were you drinking?. What are you smoking?. Now you better listen. Because the thing goes around comes around. I got my hands tied behind my back. My face pressed to the glass. I swear that all these robots. Live on coffee and donuts. Now do I fit your description?. Or is it just fiction. So what's all the action?. Am I the main attraction?. Cause I was just standing. Now you're askin' me questions. What about my freedom. They say you are bad but. You can't have it like that. I got my hands tied behind my back. My face pressed to the glass. I swear that all these robots. Live on coffee and donuts. I'm glad I got your attention. There's probably something I should mention. To spin you round like a whirlpool. It goes around. Round, Round, Round, Round, Round. I got my hands tied behind my back. My face pressed to the. I, I, I got my hands tied behind my back. My face pressed to the glass. I swear that all these robots. Live on coffee and donuts"
crashing down,"You'll never know the life that I've been through. Your tears fall, I see you miss me too. But just know, its not the same. So don't say you feel my pain. Cause you don't know the first thing about it. And you don't know what it took to get this far. I had to go on without you. I don't need anyone. Remember when you had to leave me. You tell me your in love with me now. I'm sorry but I'm not gonna be there. When the world comes crashing down. When the world comes crashing down. When the world comes crashing down. (Comes crashing down). It's too late, theres nothing left to do. You moved on, forgot about you too. Should'a known. I turn around and you'd be back one day. But you don't know anything about me. And you don't know what I've done since you've been gone. I had to go on without you. Now I don't need anyone. Remember when you had to leave me. You tell me your in love with me now. I'm sorry but I'm not gonna be there. When the world comes crashing down. When the world comes crashing down. When the world comes crashing down. When the world comes crashing down. When the world comes crashing down. Now there's no more you and me. It's not what is supposed to be. You never should've let me go. Let me go. Remember when you had to leave me. You tell me your in love with me now. I'm sorry but I'm not gonna be there. When the world comes crashing down. Remember when you had to leave me. You tell me your in love with me now. I'm sorry but I'm not gonna be there. When the world comes crashing down. When the world comes crashing down. When the world comes crashing down. When the world comes crashing down. When the world comes crashing down. (Comes crashing down). World comes crashing down"
don't give up,"I've been high,. I've been low,. Traveled down every single road,. I've loved,. I felt pain,. But it's all just a part of the game,. And those people out there get you down. Cause their crying the blues,. Yeah,. Just cause they never done. It's got nothing to do with you,. So don't give up. Don't look down. Cause your time is gonna come around,. Don't look back, you've come too far,. Baby, you were born to be a star,. Yeah,. I've had doubt,. I've had faith,. But I believe,. Everyday,. I've been right,. I've been wrong,. But you'll remember me when I'm gone,. And those people out there. They just doubt what they can't see,. Yeah,. Cause there's a shining star. That, baby, you we're born to be,. So don't give up. Don't look down. Cause your time is gonna come around,. Don't look back, you've come too far,. Baby, you were born to be a star,. Yeah,. So don't give up. Don't look down. Cause your time is gonna come around,. Don't look back, you've come too far,. Baby, you were born,. You were born to be a star,. Don't give up. Don't look down. Cause your time is gonna come around,. Don't look back, you've come too far,. Baby, you were born to be a star,. Yeah,. So don't give up,. Don't look down,. Cause your time is gonna come around,. Yeah,. Cause your time is gonna come around."
gimme a sign,"Time doesn't wait,. Wait for no man.. So get on with it.. There's no escape,. Try if you can.. And, oh, this world is crazy.. And, oh, it blows my mind.. Oh, it seems like everybody's rushing,. Just to get to the back of the line.. Well I walk through the valley of. The shadow of death.. And I dance with the Devil but I got no regrets.. He told me next time your in town drop me a line.. Oh, just gimmie a sign.. Let the world fall apart.. Just gimmie a sign. Don't leave me in the dark.. I couldn't shake that little voice. Ringing in my head.. Wanted to run away from myself.. So I asked for a wise man to make me wise. He said son the answer's contained inside. I choked on the fortune,. But I feel fine. Oh, just gimmie a sign,. Let the world fall apart. Just gimmie a sign,. Don't leave me in the dark.. Just gimmie a sign.. You know they're gonna aim at you.. You know they'll try to take from you. Just gimmie a sign cause I need it this time. Stand up (stand up). Stand up (stand up). Stand up (stand up). Stand up, Stand up. Stand up (stand up). Stand up (stand up). Stand up (stand up). Stand up (stand up). I got in some trouble way back in the day.. Spent a few years tryin' to find my way. I broke a few rules, I ain't payin' the fine.. Oh, just gimmie a sign.. Let the world fall apart.. Just gimmie a sign,. Don't leave me in the dark.. Just gimmie a sign.. Oh yea, just gimmie a sign.. Oh yea, just gimmie a sign.. Yea, oh, oh yea, oh. Just gimme a sign.. You know they're gonna aim at you.. You know they'll try to take from you. Just gimmie a sign cause I need it this time"
great escape,"One night when I was asleep,. I had a dream I could fly,. I felt the cold on my skin then I opened my eyes,. So I jumped out of bed went down the fire escape,. Now I'm layed out on the street I wasn't running away,. From something I could control it was inside of me,. I didn't know where to go but I decided to leave,. I still remember that night I've never been the same,. Still wonder if I can fly, was it just a dream?. I wasn't happy for so long so many times I walked away,. Think I was searching for something. Not knowing what I had to face,. Until I found out the reason. That's when I made my great escape. But now it's to late to say, I'm sorry.. Turn around [x15]. One night when I couldn't sleep,. I heard a knock at the door,. She pulled her head on me slow then she opened my heart,. I asked myself is this real I've never felt this way,. She said I need to escape I said I know a place,. So she layed down on my bed I said confide in me,. She looked deep into my eyes and she invited me,. She must have left me asleep she never said goodbye. Her angels took her away I guess now she can fly.. I wasn't happy for so long so many times I walked away,. Think I was searching for something. Not knowing what I had to face,. Until I found out the reason. That's when I made my great escape. But now it's to late to say, I'm sorry.. Turn around [x15]. But I wasn't happy for so long so many times I walked away,. I think I was searching for something. Not knowing what I had to face,. Until I found out the reason. That's when I made my great escape. But now it's to late to say, I'm sorry.. And this is my song. These are my words. This is my story,. This is my song. These are my words.. And this is my song. And this is my story. These are my words.. And this is my song. These are my words. This is my story,. And this is my song. These are my words."
