all at once,"All at once,. I finally took a moment and I'm realizing that. You're not coming back. And it finally hit me. All at once. All at once. I started counting teardrops and at least a million fell. My eyes began to swell. And all my dreams were shattered. All at once. Ever since I met you. You're the only love I've known. And I can't forget you. So I must face it all alone. All at once. I'm drifting on a lonely sea. Wishing you'd come back to me. And that's all that matters now. All at once. I'm drifting on a lonely sea. Holding on to memories. And it hurts me more than you know. So much more than it shows. All at once. All at once,. I looked around and found that you were with another love. In someone else's arms. And all my dreams were shattered. All at once. All at once. The smile that used to greet me brightened someone else's day. She took your smile away. And left me with just memories. All at once. Ever since I met you. You're the only love I've known. And I can't forget you. So I must face it all alone. All at once. I'm drifting on a lonely sea. Wishing you'd come back to me. And that's all that matters now. All at once. I'm drifting on a lonely sea. Holding on to memories. And it hurts me more than you know. So much more than it shows. All at once"
do i dare,"Even now when I see you. I start to relieve you. Don't know how. I could ever begin to forgive you. I never thought about it. I learned to live without it. But nothing seem to feel the same. If I should try again and you should lie again. Don't know if I could stand the pain. Do I dare?. Let you in once again and surrender. Should I care?. Should I trust when my heart still remember?. How you lied how I cried. Now I see you wanna make it, try!. So I ask won't you hear my prayer?. Do I love you? Do I trust you?. Do I dare?. Oh Yeah. Tell me why did you play such a game at September?. Pretty lies. Were you real?. Were you just to pretend?. When I ain't back again. Saying it that was then. How are you gonna change your way?. I don't know what to do. Cause I am still feeling you. But will the story end the same?. Do I dare?. Let you in once again and surrender. Let you back in my life. Should I care?. Should I trust when my heart still remember?. And it cuts like a knife. How you lied how I cried. Now I say you wanna make it, try!. So I ask you to hear my prayer?. Do I love you? Do I trust you?. Do I dare?. Oh yeah. I never thought about it. I learned to live without it. But now sometimes I feel just like I am gonna die without it. I don't know what to do. Cause I am still feeling you. And I am still afraid that you'd break my heart in two. Don't know if I could stand the pain. But will the story end the same. Do I dare? Do I trust? Do I dare?. Let you in once again and surrender. Should I care?. Should I trust when my heart still remember?. When my heart still remember. How you lied how I cried. Now I see you wanna make it, try!. So I ask won't you to hear my prayer. Do I love? Do I trust? Do I dare?. I never thought about it. I learned to live without it. But now sometimes I feel just like I am gonna die without it. I don't know what to do. Cause I am still feeling you. I am still afraid that you'd break my heart in two. Do I dare?. How you lied how I cried. Let you in once again and surrender. Should I care?. I ask you to hear my prayer. Should I trust when my heart still remember. Do I dare?. let you in once again and surrender."
every little thing you do,When you listen to my heart. Oh I like it. When you touch me. I get so excited. And I never thought that I would say. I'm upon away and so into. Every little thing you do. When you look at me that way. Oh it moves me. When you take my hand the love goes right through me. And the reason that it feels so good. Is because you put your heart into. Every little thing you do. You're the rhythm in my song. You're the switch that turns me on. The only place where I belong or want to be. You're the half that makes me whole. The only one who seizes my soul. Baby it's so real but still I can't believe. Every little thing that you do to me. When you take my hands. I like it. Oh I Like it. When you listen to my heart. Oh I like it. I like it. Even in the night when you're not here with me. My sweetest dreams still take me to. Every little thing you do. You're the rhythm in my song. You're the switch that turns me on. The only place where I belong and or want to be. You're the heaven that makes me hope. The only one who seizes my soul. Baby it's so real but still I can't believe. You're the rhythm in my song. You're the switch that turns me on. The only place where I belong and want to be with you. You're the heaven that makes me hope. The only one who seizes my soul. Baby it's so real but still I can't believe. Every little thing you do to me. I Like it. I like it. Every little thing. I like it.
everyday is a monday,"Feels like I´ve been frozen in time. And I´m looking for an easy way. To get on with my life. But I know, you´re the one to tell. I´ve been putting on a masquerade. I ain´t doing that well. Everything has crashed. And I´m losing this game. Can´t help myself but wonder. Do you feel the same?. How could I ever say goodbye. Everyday is a Monday. Without you by my side. I must have been a fool to try. Everyday is a Monday. Without you in my life. Tell me, it´s a big mistake. ´Cause I kinda I learned my lesson. More than I can take. Freedom, had a price to pay. I don´t want to be the one. To throw it all away. Everything has crashed. And I´m losing this game. Can´t help myself but wonder. Do you feel the same?. (Chorus). We were the weekend always living to be free. Now I´m stuck here on Monday, when I need you every day of the week. Everything has crashed. And I´m losing this game. Can´t help myself but wonder. Do you feel the same?. (Chorus)"
feliz navidad,"Feliz navidad. Feliz navidad. Feliz navidad, prospero año y felicidad. Feliz navidad. Feliz navidad. Feliz navidad, prospero año y felicidad. I want to wish you a merry christmas. I want to wish you a merry christmas. I want to wish you a merry christmas. From the bottom of my heart. I want to wish you a merry christmas. I want to wish you a merry christmas. I want to wish you a merry christmas. From the bottom of my heart. Feliz navidad. Feliz navidad. Feliz navidad, prospero año y felicidad. Feliz navidad. Feliz navidad. Feliz navidad, prospero año y felicidad. I want to wish you a merry christmas. I want to wish you a merry christmas. I want to wish you a merry christmas. From the bottom of my heart. I want to wish you a merry christmas. I want to wish you a merry christmas. I want to wish you a merry christmas. From the bottom of my heart. Feliz navidad. Feliz (feliz navidad) feliz navidad. Feliz navidad, prospero año y felicidad. Feliz navidad. Feliz navidad. Feliz navidad, prospero año y felicidad. We want to wish you a merry christmas. We want to wish you a merry christmas. We want to wish you a merry christmas. From the bottom of our hearts. We want to wish you a merry christmas. We want to wish you a merry christmas. We want to wish you a merry christmas. From the bottom of our hearts. From the bottom of our hearts. Merry christmas"
happy xmas (war is over),So this is christmas. And what have you done. Another year over. And a new one just begun. And so this is christmas. I hope you have fun. The near and the dear ones. The old and the young. A very merry christmas. And a happy new year. Let's hope it's a good one. Without any fear. And so this is christmas. And what have you done. Another year over. And a new one just begun. And so happy christmas. We hope you have fun. The near and the dear ones. The old and the young. A very merry christmas. War is over. And a happy new year. If you want it. Let's hope it's a good one. Without any fear. And so this is christmas. For weak and for strong. For rich and the poor ones. The world is so so so wrong. And so happy happy christmas. For black and for white. For yellow and red ones. Let's stop all the fight. A very merry christmas. War is over. And a happy new year. If you want it. Let's hope it's a good one. Let's hope it's a good one. Without any fear. And so this is christmas. And what have we done. Another year over. A new one just begun
have yourself a merry little christmas,Have yourself a merry little christmas. Let your heart be light. From now on. Our troubles will be out of sight. Have yourself a merry little christmas. Make the yule-tide gay. From now on. Our troubles will be miles away. Here we are as in olden days. Happy golden days of yore. Faithful friends who are dear to us. Gather near to us once more. Through the years. We all will be together. If the fates allow. Hang a shining star upon the highest bough. And have yourself. A merry little christmas now. Faithful friends who are dear to us. Gather near to us once more. Through the years. We all will be together. If the fates allow. So hang a shining star. Upon the highest highest bough. And have yourself. A merry little christmas now now. Songwriters
heal the world (feat. tiziano ferro),"There's a place in your heart. And I know that it is love. And this place could be much. Brighter than tomorrow. And if you really try. You'll find there's no need to cry. In this place you'll feel. There's no hurt or sorrow. There are ways to get there. If you care enough for the living. Make a little space. Make a better place. Heal the world. Make it a better place. For you and for me. And the entire human race. There are people dying. If you care enough for the living. Make it a better place. For you and for me. If you want to know why. There's love that cannot lie. Love is strong. It only cares of joyful giving. If we try we shall see. In this bliss we cannot feel. Fear od dread. We stop existing and start living. The it feels that always. Love's enough for us growing. So make a better world. Make a better place. Heal the world. Make it a better place. For you and for me. And the entire human race. There are people dying. If you care enough for the living. Make a better place for you and for me. And the dream we were conceived in. Will reveal a joyful face. And the world we once believed in. Will shine again in grace. Then why do we keep strangling life. Wound this earth, crucify its soul. Though it's plain to see. This world is heavenly. Be god's glow. We could fly so high. Let our spirits never die. In my heart I feel you are all my brothers. Create a world with no fear. Together we cry happy tears. See the nations turn their swords into plowshares. We could really get there. If you cared enough for the living. Make a little space. To make a better place. Heal the world. Make it a better place. For you and for me. And the entire human race. There are people dying. If you care enough for the living. Make a better place for you and for me. There are people dying. If you care enough for the living. Make a better place for you and for me. You and for me"
i do to be,Everything I do I do to be. I do oh with you. I do. Everything I do I do to be. I do to be with you. I do to be with you. Take a look around. Take a look at me. And tell me what you see. I am just a friend. Cause if I am. I wanna be more it's true. Anything you want anything you need. I can give to you if you let me in yeah. My heart is opened wide. For you to come inside. And make yourself at home. No mountain be too high for me to climb. As long as you were on the other side. Everything I do I do to be. I do oh with you. And nothing in this world could ever be. More than you already are to me. Everything I do I do to be. I do oh with you. Wanna be your ghost. When I let you know. What you mean to me. I can show you love. And what it does. How you felt to be. My only one cause when I'm done. Baby you will feel more than you imagine. My heart is open wide. For you to come inside. And make yourself at home. No mountain be too high for me to climb. As long as you were on the other side. Everything I do I do to be. I do oh with you. And nothing in this world could ever be. More than you already are to me. Everything I do I do to be. I do oh with you. I do to be. I do to be with you. I do to be. I do to be with you boy. Everything I do. I do to be with you. Everything I do. Everything I do boy. Everything I do. Do to be with you. Do to be with you boy. No mountain be too high for me to climb. As long as you were on the other side. Everything I do I do to be. I do oh with you. And nothing in this world could ever be. More than you already are to me. Everything I do I do to be. I do to be with you. I do to be. I to do be with you boy.
i need love,"I'd cross the desert to be where you are. All the things I'd do to be close to you. A million miles wouldn´t seem that far. I'd go anywhere just to win your heart. But wherever this leads. There's something I need. I need love. The kind that makes you wanna live. The kind that makes you wanna breathe. The kind that makes you feel too much. And I need you. To help me find a better way. And I guess you never thought you'd hear me say. I need love. I need love. And when I see you I just lose my mind. You're the everything I thought I'd never find. Must be an angel watching over me. With a little luck we're gonna make you mine. 'Cause I wanna believe (I want to believe). In all we can be (all we can be). I need love. The kind that makes you wanna live. The kind that makes you wanna breathe. The kind that makes you feel too much. And I need you. To help me find a better way. And I guess you never thought you'd hear me say. I need love. I need love. And oh, I will catch you when you fall. Be the greatest love of all. I promise to be. If you give me what I need, I need. I need love. I need you. The kind that makes me feel. The one that makes you wanna live. The one that makes you wanna breathe. And I need you. To help me find a better way. And I guess you never throught you'd hear me say. I need love. I need love. I need love, baby. I need love. I'd cross the desert. I'd cross the desert to be where you are"
