heartstrings,"Doing fine all on my own. 'Cause I know now this was right for me. Now you're feeling all alone. I bet you're sorry now but that's what you wanted. You took me for granted all the time. Had to save my own self from all your evil games. And now it ain't the same. You will have no such luck to try to come inside. Heading to be denied. Tie my heartstrings. I tie my heartstrings off. Tie my heartstrings. I tie my heartstrings off. Now you know I'm doing well. You try to catch me when I'm finally free. You only did this to yourself. I bet you're sorry now but that's what you wanted. You took me for granted all the time. Had to save my own self from all your evil games. And now it ain't the same. You will have no such luck to try to come inside. Heading to be denied. Tie my heartstrings. I tie my heartstrings off. Tie my heartstrings. I tie my heartstrings off. Tie my heartstrings. I tie my heartstrings off. Tie my heartstrings. I tie my heartstrings off. I was fighting for you. Now I fight about you. Oh you, heaven knew"
dreaming,"A haunted soul. And yes, I know that it's all Immaterial. And that's not all. See I want more of. Something that I know is not real. Is this real life. Why can't I decide. I think I'll stay awhile cause. I'm only dreaming that the cobweb's gone. And the lights are on. You're just a call away. And nothing's wrong. And nothing's going away. It never ends. When my mind sends me into oblivion. The secret place that is laced. With a dose of what could've been. Is this real life. Why can't I decide. I think I'll stay awhile cause. I'm only dreaming that the cobweb's gone. And the lights are on. You're just a call away. And nothing's wrong. And nothing's going away. Leave me behind in peace, asleep. Slipping in the sweet scenes. Of my favorite dreams. Is this real life. Why can't I decide. I think I'll stay awhile cause. I'm only dreaming that the cobweb's gone. And the lights are on. You're just a call away. And nothing's wrong. And nothing's going away"
a little bit stronger,"I woke up late today and I still felt the sting of the pain. But I brushed my teeth anyway. Got dressed through the mess and put a smile on my face. I get a little bit stronger. Riding in the car to work and I'm trying to ignore the hurt. So I turned on the radio, stupid song made me think of you. I listened to it for minute but I then changed it. And I'm getting a little bit stronger, just a little bit stronger. And I'm done hoping that we could work it out. I'm done with how it feels, spinning my wheels. Letting you drag my heart around. And, oh, I'm done thinking that you could ever change. I know my heart will never be the same. But I'm telling myself I'll be okay. Even on my weakest days. I get a little bit stronger, I get a little bit stronger. Doesn't happen overnight but you turn around. And a month's gone by and you realize you haven't cried. I'm not giving you an hour or a second or another minute longer. I'm busy getting stronger. And I'm done hoping that we could work it out. I'm done with how it feels, spinning my wheels. Letting you drag my heart around. And, oh, I'm done thinking that you could ever change. I know my heart will never be the same. But I'm telling myself I'll be okay. Even on my weakest days, I get a little bit stronger. I get a little bit stronger, just a little bit stronger. I'm getting along without you, baby. I'm better off without you, baby. How does it feel without me, baby?. I'm getting stronger without you, baby. And I'm done hoping we could work it out. I'm done with how it feels, spinning my wheels. Letting you drag my heart around. And, oh, I'm done thinking that you could ever change. I know my heart will never be the same. But I'm telling myself I'll be okay. Even on my weakest days. I get a little bit stronger. I get a little bit stronger. Just a little bit stronger. A little bit, a little bit, a little bit stronger. I get a little bit stronger"
your love is a drug,"I like it, I want it. The way you make my body move. I think I'm addicted. I'm high off everything you do. I'm going to call you, baby. Don't you worry about a thing. Cause you're all I need. I become a slave to my habit. Feeding for your love. Gotta have it now. You're all I need. Your love's a drug, can't get enough. Your love's a drug. And I can't sleep. Can't get enough, your love's a drug. Your love's a drug. Your love's a. I believe it, I'm feeling. Rushing through my veins again. Whenever you're leaving. I feel withdrawal kicking in. I'm going to tell you how I feel. How I couldn't breathe. When you're not with me. I become a slave to my habit. Feeding for your love. Gotta have it now. You're all I need. Your love's a drug, can't get enough. Your love's a drug. And I can't sleep. Can't get enough, your love's a drug. Your love's a drug. Your love's a drug. Cause I miss you when you're gone. So why is that so wrong. That I need to have you all the time. You're all I need. Your love's a drug, can't get enough. Your love's a drug. And I can't sleep. Can't get enough, your love's a drug. Your love's a drug. You're all I need. Your love's a drug, can't get enough. Your love's a drug. And I can't sleep. Can't get enough, your love's a drug. Your love's a drug. Your love's a drug"
entitled,"I'm an amnesiac, forgot what it's like, to be happy.. Some kind of maniac, that'll follow you around when. I know you don't want me.. I was so blind, don't ask, don't care.. Open my eyes, now I see, there's.... (Chorus). Something that I've been entitled to,. for too long, too long, too long.. Something that I've been missing, uh-oh-ohhhhh.. Shame on you, but shame on me, too.. I liked it in the dark, feeling all around 'til. I fell and stumbled, but now I've got a spark,. gonna light a fire and watch it crumble.. I wasn't free, always in a cuff, no more asleep .... Now I woke up too. (Chorus). Something that I've been entitled to,. for too long, too long, too long.. Something that I've been missing, uh-oh-ohhhhh.. Shame on you, but shame on me too.. I've played, in love, and its got, to end.. I was, in love, but I won't, pretend.. That something that I've been entitled to, something that. I'll never find in you.. Shame on you, but shame on me, too."
good for one thing,"Talk over the radio, that way everyone can hear. Louder than the stereo, don't worry your head my dear. I think it's hilarious, the way you talk about yourself. But don't tell that story again.. You're good for one thing, I can't help but calling you out. You're so lovely, I can't behave myself. Look into the mirror, I know you're good at that. Don't be so insecure, as long as you shut your mouth. Take yourself so serious, like you're talking for your health. But don't tell that story again.. You're good for one thing, I can't help but calling you out. You're so lovely, I can't behave myself. Be slow. Anybody home?. You're good for one thing, I can't help but calling you out. And you're so lovely, I can not help myself. You're good for one thing, I can't help but calling you out. And you're so lovely, I can't behave myself"
somebody to love (feat. robin thicke),"Paris, France to Michigan. London town and through Berlin. Can't believe this place I'm in. Everywhere and back again. Porcelain and China dolls. Give me one and I've seen them all. Got my back against the wall. Wonder where I'll be tomorrow. But wait, now how long could this take?. It's hard to find a mate. When you're gone before he wakes. They say it's hard to achieve. But can a girl believe?. Is there somebody who still believes in love?. I know you're out there. There's gotta be somebody,. I searched around the world but. I can't seem to find somebody to love. Baby girl, there you at. Looking at me like a putty cat. Wondering where that thing is at. Wondering where your ring's at. Nobody ever did it quite like this. Nobody ever did it quite like you. Do your hair, I bought you shoes. We can hit the town like superstars do. You fall in love?. Then let me show if you love. Give me the key to your heart. I can give you what you want. When you're waiting for love. You're looking for someone. Imma turn you wild to a gossip girl to a woman. Is there somebody who still believes in love?. I know you're out there. There's gotta be somebody,. I searched around the world but. I can't seem to find somebody to love. Is there somebody who still believes in love?. I know you're out there. There's gotta be somebody,. I searched around the world but. I can't seem to find somebody to love. Je t'adore, je t'adore. Make a move, do the thing. Turn around, strike a pose. Je t'adore, je t'adore. Make a move, do the thing. Turn around, strike a pose. Ooh, I like it. Ooh, I need it. Ooh, I want it. Hey hey. I know it's hard to achieve but. Can a girl believe?. Is there somebody who still believes in love?. I know you're out there. There's gotta be somebody,. I searched around the world but. I can't seem to find somebody to love. Is there somebody who still believes in love?. I know you're out there. There's gotta be somebody,. I searched around the world but. I can't seem to find somebody to love. [You say hello, I say goodbye]"
good girls go bad,"I make them good girls go bad. I make them good girls go (good girls go). I know your type. Yeah, daddy's little girl. Just take a bite (one bite). Let me shake up your world. Cuz just one night. Couldn't be so wrong. I'm gonna make you lose control. She was so shy. 'til i drove her wild. I make them good girls go bad. I make them good girls go bad. You were hangin in the corner with your five best friends. You heard that i was trouble but you couldn't resist. I make them good girls go bad. I make them good girls go (good girls go). I know your type. Boy you're dangerous. Yeah you're that guy (that guy). I'd be stupid to trust. But just one night couldn't be so wrong. You make me wanna lose control. She was so shy. 'til i drove her wild. I make them good girls go bad. I make them good girls go bad. I was hanging in the corner with my five best friends. I heard that you were trouble but i couldn't resist. I make them good girls go bad. I make them good girls go (good girls go). (Good girls go). (Good girls go). Oh, she gotta way with the boys in the place. Treat 'em like they dont stand a chance. And he gotta way with the girls in the back. Actin' like they're too hot to dance. Yeah, she gotta way with the boys in the place. Treat 'em like they dont stand a chance. And he gotta way with the girls in the back. Actin' like they're too hot to dance. I make them good girls go bad. I make them good girls go. Good girls go bad. I was hangin in the corner with my five best friends. I heard that you were trouble but i couldn't resist. I make them good girls go bad. I make them good girls go bad. I make them good girls go (good girls go). (Good girls go). (Good girls go)"
bad girl,"Here we go!. Yeah!. Wooh!. They get it rough, don't matter, do it to ya. They meant you off, before you play the game. You're like a drug, you know how bad you are. Let's show among, the reason why we play. Giving what they want,. Show me what you got. They won't know if you don't party. Everything he needs. Is right there if you ask. So let it go. What you waiting for?. Tell them take step back. You can nasty like that. Damn thing, poor bad girl!. What you waiting for?. Show them how it's gonna be. They can take a freak-a-leek. Damn thing, poor bad girl!. Bad girl, bring it now. Bad, bad now. Bad girl, bad now. Bad girl!. You hear in top. And feel the cool attention. They can't ignore. What they don't understand. To shake it off (shake, shake). And paying no attention. You moving on. They wanna hold you back. Giving what they want,. Show me what you got. They won't know if you don't party. Everything he needs. Is right there if you ask. So let it go. What you waiting for?. Tell them take step back. You can nasty like that. Damn thing, poor bad girl!. What you waiting for?. Show them how it's gonna be. They can take a freak-a-leek. Damn thing, poor bad girl!. Can you feel the far. Dirty deep in your soul (deep in your soul). It is no surprise. Cause you don't. And I don't. How far we can go-oh!. [Rap]. For man what I see in West Hollywood. Don?t attract, stand my back, will screw them, cannot be good. I got beats so good I cannot be hood. But the hit sound like I?m mafia. The boys on the rise to show. Tries get girls hot like they as a slow. Pick it, hopes out like Meenie Miney Mo. So? Baby tell me what you waiting for? Oh!. What you waiting for?. Tell them take step back. You can nasty like that. Damn thing, poor bad girl!. What you waiting for?. Show them how it's gonna be. They can take a freak-a-leek. Damn thing poor bad girl! (2x)"
a little bit stronger,"I woke up late today and I still felt the sting of the pain. But I brushed my teeth anyway. Got dressed through the mess and put a smile on my face. I get a little bit stronger. Riding in the car to work and I'm trying to ignore the hurt. So I turned on the radio, stupid song made me think of you. I listened to it for minute but I then changed it. And I'm getting a little bit stronger, just a little bit stronger. And I'm done hoping that we could work it out. I'm done with how it feels, spinning my wheels. Letting you drag my heart around. And, oh, I'm done thinking that you could ever change. I know my heart will never be the same. But I'm telling myself I'll be okay. Even on my weakest days. I get a little bit stronger, I get a little bit stronger. Doesn't happen overnight but you turn around. And a month's gone by and you realize you haven't cried. I'm not giving you an hour or a second or another minute longer. I'm busy getting stronger. And I'm done hoping that we could work it out. I'm done with how it feels, spinning my wheels. Letting you drag my heart around. And, oh, I'm done thinking that you could ever change. I know my heart will never be the same. But I'm telling myself I'll be okay. Even on my weakest days, I get a little bit stronger. I get a little bit stronger, just a little bit stronger. I'm getting along without you, baby. I'm better off without you, baby. How does it feel without me, baby?. I'm getting stronger without you, baby. And I'm done hoping we could work it out. I'm done with how it feels, spinning my wheels. Letting you drag my heart around. And, oh, I'm done thinking that you could ever change. I know my heart will never be the same. But I'm telling myself I'll be okay. Even on my weakest days. I get a little bit stronger. I get a little bit stronger. Just a little bit stronger. A little bit, a little bit, a little bit stronger. I get a little bit stronger"
