bleeding love,"Closed off from love. I didn't need the pain. Once or twice was enough. And it was all in vain. Time starts to pass. Before you know it you're frozen. But something happened. For the very first time with you. My heart melts into the ground. Found something true. And everyone's looking round. Thinking I'm going crazy. But I don't care what they say. I'm in love with you. They try to pull me away. But they don't know the truth. My heart's crippled by the vein. That I keep on closing. You cut me open and I. Keep bleeding. Keep, keep bleeding love. I keep bleeding. I keep, keep bleeding love. Keep bleeding. Keep, keep bleeding love. You cut me open. Trying hard not to hear. But they talk so loud. Their piercing sounds fill my ears. Try to fill me with doubt. Yet I know that the goal. Is to keep me from falling. But nothing's greater. Than the rush that comes with your embrace. And in this world of loneliness. I see your face. Yet everyone around me. Thinks that I'm going crazy, maybe, maybe. But I don't care what they say. I'm in love with you. They try to pull me away. But they don't know the truth. My heart's crippled by the vein. That I keep on closing. You cut me open and I. Keep bleeding. Keep, keep bleeding love. I keep bleeding. I keep, keep bleeding love. Keep bleeding. Keep, keep bleeding love. You cut me open. And it's draining all of me. Oh they find it hard to believe. I'll be wearing these scars. For everyone to see. I don't care what they say. I'm in love with you. They try to pull me away. But they don't know the truth. My heart's crippled by the vein. That I keep on closing. You cut me open and I. Keep bleeding. Keep, keep bleeding love. I keep bleeding. I keep, keep bleeding love. Keep bleeding. Keep, keep bleeding love. You cut me open and I. Keep bleeding. Keep, keep bleeding love. I keep bleeding. I keep, keep bleeding love. Keep bleeding. Keep, keep bleeding love. You cut me open and I. Keep bleeding. Keep, keep bleeding love"
better in time,It's been the longest winter without you. I didn't know where to turn to. See somehow I can't forget you. After all that we've been through. Going coming thought I heard a knock. Who's there no one. Thinking that I deserve it. Now I realize that I really didn't know. If you didn't notice you mean everything. Quickly I'm learning to love again. All I know is I'm gon' be ok. [Chorus:]. Thought I couldn't live without you. It's gonna hurt when it heals too. It'll all get better in time. And even though I really love you. I'm gonna smile cause I deserve to. It'll all get better in time. I couldn't turn on the TV. Without something there to remind me. Was it all that easy. To just put aside your feelings. If I'm dreaming don't wanna laugh. Hurt my feelings but that's the path. I believe in. And I know that time will heal it. If you didn't notice boy you meant everything. Quickly I'm learning to love again. All I know is I'm gon' be ok. [Chorus:]. Thought I couldn't live without you. It's gonna hurt when it heals too. It'll all get better in time. And even though I really love you. I'm gonna smile cause I deserve to. It'll all get better in time. Since there's no more you and me. It's time I let you go. So I can be free. And live my life how it should be. No matter how hard it is I'll be fine without you. Yes I will. [Chorus: X2]. Thought I couldn't live without you. It's gonna hurt when it heals too. It'll all get better in time. And even though I really love you. I'm gonna smile cause I deserve to. It'll all get better in time
a moment like this,"What if I told you it was all meant to be?. Would you believe me, would you agree?. It's almost that feeling that we've met before. So tell me that you don't think I'm crazy. When I tell your love has come here and now. A moment like this, some people wait a lifetime. For a moment like this, some people search forever. For that one special kiss. Oh, I can't believe it's happening to me. Some people wait a lifetime for a moment like this. Everything changes but beauty remains. Something so tender I can't explain. Well, I may be dreaming but till I awake. Can we make this dream last forever?. And I'll cherish all the love that we share. A moment like this, some people wait a lifetime. For a moment like this, some people search forever. For that one special kiss. Oh, I can't believe it's happening to me. Some people wait a lifetime for a moment like this. Could this be the greatest love of all?. I wanna know that you will catch me when I fall. So let me tell you this. Some people wait a lifetime for a moment like this. Some people wait a lifetime for a moment like this. Some people search forever for that one special kiss. Oh, I can't believe it's happening to me. Some people wait a lifetime for a moment like this. I can't believe it's happening to me. Some people wait a lifetime for a moment like this. .. like this. . © BMG MUSIC PUBLISHING SCANDINAVIA AB;. SONY/ATV MUSIC PUBLISHING UK LTD;"
i see you,I see you. I see you. Walking through a dream. I see you. My light and darkness breathing hope of new life. Now I live through you and you through me. Enchanted. I pray in my heart that this dream never ends. I see me through your eyes. Breathing new life flying high. Your love shines the way into paradise. So I offer my life as a sacrifice. I live through your love. You teach me how to see. All that's beautiful. My senses touch your world I never pictured. Now I give my hope to you. I surrender. I pray in my heart that this world never ends. I see me through your eyes. Breathing new life flying high. Your love shines the way into paradise. So I offer my life. I offer my love for you. When my heart was never open. (and my spirit never free). To the world that you have show me. But my eyes could not division. All the colours of love and of life evermore. Evermore. (I see me through your eyes). I see me through your eyes. (Breathing new life flying high). Flying high. Your love shines the way into paradise. So I offer my life as a sacrifice. And live through your love. And live through your life. I see you. I see you
i got you,"Oooh. A place to crash,. I got you.. No need to ask,. I got you.. Just get on the phone,. I got you. Come and pick you up. If I have to. What's weird about it. Is we're right at the end. And mad about it. Just figured it out in my head. I'm proud to say. I got you. Go ahead and say goodbye. I'll be alright. Go ahead and make me cry. I'll be alright. And when you need a place. To run to. For better or worse. I got you. I got you. Ain't falling apart, or bitter. Let' be bigger than that and remember. The cooling outdoor when you're all alone. We'll go on surviving. No drama, no need for a show. Just wanna say. I got you. Go ahead and say goodbye. I'll be alright. Go ahead and make me cry. I'll be alright. And when you need a place to run to. For better for worse. I got you. Go ahead and say goodbye (go ahead). I'll be alright (say goodbye). Go ahead and make me cry. I'll be alright. And when you need a place to run to. For better for worse. I got you. Cause this is love and life. And nothing we can both control. And if it don't feel right. You're not losing me by letting me know. Go ahead and say goodbye (say goodbye). I'll be alright. Go ahead and make me cry. I'll be alright. And when you need a place to run to. For better for worse. I got you. Go ahead and say goodbye (go ahead). I'll be alright (say goodbye). Go ahead and make me cry. I'll be alright. And when you need a place to run to. For better for worse. I got you. A place to crash. I got you. No need to ask. I got you"
lost then found,"Staring at tears on the pages. Of letters that I never could've write. Now I know love isn't painless,. but it's worth the risk,. It's worth the fight. Playing it over and over. I wish that I could turn back time, baby. We were wrong, but we could be right. Why do we say things we can't take back. Why do we miss what we never had. Both of us fell to the ground. The love was so lost, it couldn't be found. Why do you tend to forget who's to blame. I'm tired of crying out at the sound of your name. Why don't we turn this around, love ain't the enemy. Don't you want to be lost then found. Lost then found, lost then found. Love ain't the enemy. We could be lost then found. Empty glasses on tables, echoes fill these rooms. The memories go where we go,. There like the suitcase that you never lose. If the good lords eyes upon me. I swear to make things right. Whatever we lost, i know we can find. Why do we say things we can't take back. Why do we miss what we never had. Both of us fell to the ground. The love was so lost, it couldn't be found. Why do you tend to forget who`s to blame. I'm tired of crying out at the sound of your name. Why don't we turn this around, love ain't the enemy. Don't you want to be lost then found. No words can come without. Can't stop the rain, I wish you could take it back. But it's too late, it's too late. Why do we say things we can't take back. Why do we miss what we never had. Both of us fell to the ground. The love was so lost, it couldn't be found. Why do you tend to forget who`s to blame. I'm tired of crying out at the sound of your name. Why don't we turn this around, love ain't the enemy. Don't you want to be lost then found. Lost then found, lost then found. Love ain't the enemy. We could be lost then found. No words can come without. Can't stop the rain, (Lost then found). I wish you could take it back (Lost then found). But it's too late, it's too late"
the best you never had,"I was so in love with you. There was nothing I could do. Wouldn't give me the time of day. Now you wanna be with me. You say you wanna be with me. You said I was the best. Gave your love out to the rest. There was nothing I could say. But it's going good for me. You say you wanna be with me .. now. Yeh you're telling me that. I am where its at. But I ain't havin none of that..... Because I told you, you would look to regret it,. Now I thought it would make it you feel bad,. But when it comes to me just forget it,. I'll be the best you never had,. You put me through so many emotions,. Now baby itsthe time for that. 'cause in your empty heart I have left a mark,. The best you never had.. No, no, no. Its only as a friend,. Baby I don't want revenge,. But if you must know the truth,. What you didn't see in me. Thats what you'll never be nooo,. When you're telling me I was always the one,. I feel your desperation.. Because I told you, you would look to regret it,. Now I thought it would make it you feel bad,. But when it comes to me just forget it,. I'll be the best you never had,. You put me through so many emotions,. Now baby it's the time for that,. Cos in your empty heart I have left a mark,. The best you never had.. Back rubs... good love....my stuff. Thats what you missed out on. My touch... show much we could have. You miss, my kiss, my lips,. The love I had for you. Also so long, baby don't it make you sad.... Because I told you, you would look to regret it,. Now I thought it would make it you feel bad,. But when it comes to me just forget it,. I'll be the best you never had,. You put me through so many emotions,. Now baby it's the time for that,. Cos in your empty heart I have left a mark,. The best you never had.. Because I told you, you would look to regret it,. Now I thought it would make it you feel bad,. But when it comes to me just forget it,. I'll be the best you never had,. You put me through so many emotions,. Now baby it's the time for that,. Cos in your empty heart I have left a mark,. The best you never had.. Well I will always be the best you never had. The best you never had"
angel,"I feel it, you feel it that this was meant to be. I know it, you know it that you were made for me. We can't deny this any longer, day by day it's getting stronger. I want it, you want it,. It's what the people want to see. We're like Romeo and Juliet. Fact leaves fate to find us. Like the tallest mountain on the widest sea. Nothing's big enough to hide us. When we make love it's overwhelming. I just touch the heavens. You're an angel, you're an angel. I said this world, this world could leave us any day. But my love for you, it will never go away. And I don't wanna go to sleep 'cause you were like a dream. For every night I say a prayer, well, I swear you are the answer. You're an angel, you're an angel, you're an angel. So we take it and each moment that I pause. I see it, you see it, what we have is made of gold. We're so filled with meaning, nothing can make us shallow. So I hold it, and you hold it,. The promise of tomorrow. When we make love it's overwhelming. I just touch the heavens. You're an angel, you're an angel. And I said this world, this world could leave us any day. But my love for you, it will never go away. And I don't wanna go to sleep 'cause you were like a dream. For every night I say a prayer, well, I swear you are the answer. You're an angel, you're an angel, you're an angel. I don't need three wishes, well, I just need one. For us to never be finished, for us to never be numb. When they say it's over, we'll just say I love you. And when they say it's finished, we'll just keep on building. This world, this world could leave us any day. But my love for you, it will never go away. And I don't wanna go to sleep 'cause you were like a dream. For every night I say a prayer, well, I swear you are the answer. And I said this world, this world could leave us any day. But my love for you, it will never go away. And I don't wanna go to sleep 'cause you were like a dream. For every night I say a prayer, well, I swear you are the answer. You're an angel, you're an angel, you're an angel. You're an angel, you're an angel, you're an angel. You're an angel, you're an angel, you're an angel"
hurt,"I hurt myself today. To see if I still feel. I focus on the pain. The only thing that's real. The needle tears a hole. The old familiar sting. Try to kill it all away. But I remember everything. What have I become. My sweetest friend. Everyone I know. Goes away in the end. And you could have it all. My empire of dirt. I will let you down. I will make you hurt. Beneath the stains of time,. The feelings disappear,. You are someone else,. I am still right here,. And you could have it all,. My empire of dirt. I will let you down. I will make you hurt. If I could start again. A million miles away. I will keep myself. I would find a way"
brave,"Angels lift you off the ground. I?ve got shadows weighing me down. Still you believe. You believe in me. I wish I could feel that way. You can trust so easily. I can?t give you all of me. Still you`re holding on. When you should be gone. I wish I was that brave. You go to fight for love like a soldier. I wanna run away. You?re never scared to walk through the fire. I wish I had your faith. I turn away. Knowing my heart could break. I?m so afraid to fall and surrender. I?m not brave. I?m not brave. Keep my guard up constantly. Stop this pain from piercing me. Now I don`t know how. How to put it down. I wish I was that brave. You go to fight for love like a soldier. I wanna run away. You?re never scared to walk through the fire. I wish I had your faith. I turn away. Knowing my heart could break. I?m so afraid to fall and surrender. I?m not brave. I?m not brave. Oh I?m not, Oh I?m not brave. Still you believe. You believe in me. I wish I was that brave. You go to fight for love like a soldier. I wanna run away. You?re never scared to walk through the fire. I wish I had your faith. I turn away. Knowing my heart could break. I?m so afraid to fall and surrender. I?m not brave. I?m not brave. I?m not brave. I?m not brave"
run,"I'll sing it. One last time for you. Then we really have to go. You've been the only thing. That's right. In all I've done. And I can barely look at you. But every single time I do. I know we'll make it anywhere. Away from here. Light up, light up. As if you have a choice. Even if you cannot hear my voice. I'll be right beside you dear. Louder, louder. And we'll run for our lives. I can hardly speak I understand. Why you. Can't raise your voice to say. To think. I might not see those eyes. Makes it so hard not to cry. And as we say. Our long goodbye. I nearly do. Light up, light up. As if you have a choice. Even if you cannot hear my voice. I'll be right beside you dear. Louder, louder. And we'll run for our lives. I can hardly speak I understand. Why you. Can't raise your voice to say. Light up, light up. As if you have a choice. Even if you cannot hear my voice. I'll be right beside you dear. Louder, louder. And we'll run for our lives. I can hardly speak I understand. Why you. Can't raise your voice to say"
the first time ever i saw your face,"The first time ever I saw your face. I thought the sun rose in your eyes. And the moon and stars were the gifts you gave. To the dark and the empty skies.. and the first time ever I kissed your mouth. I felt the earth move in my hands. Like the trembling heart of a captive bird. That was there at my command, my love.. . And the first time ever I lay with you. I felt your heart so close to mine. And I knew our joy would fill the earth. And last and last and last till the end of time. The first time ever I saw your face, your face,. your face, your face. By Jamun*"
naked,"You could've left me on a Friday. Would've loved to at least have the weekend. To go under and stay under to. To get better and to stay better. But you had to pick a Monday. Now I've gotta go to work and get. Through 5 days. And get throught it, if I can do it, no I can't do it. There's a heartbreaking chill running through my bones. Got my clothes but I can't really feel them on. Oh no whatever I do, I'm naked, I'm naked. Without you. Can't go out can't go home can't go anywhere. Covered up but I'm still watching people stare. Oh no now what can I do, I'm naked, I'm naked. Without you. Trying to focus. To go unnoticed. But the harder I try to stay dry it rains. And I can't do it, no, they see through it. Yeah they see through it. There's a heartbreaking chill running through my bones. Got my clothes but I can't really feel them on. Oh no whatever I do, I'm naked, I'm naked. Without you. Can't go out can't go home can't go anywhere. Covered up but I'm still watching people stare. Oh no now what can I do, I'm naked, I'm naked. Without you. Inside I'm still hiding. Outside I'm just too exposed. But I know that. I should let go. But I miss you. There's a heartbreaking chill running through my bones. Got my clothes but I can't really feel them on. Oh no whatever I do, I'm naked, I'm naked. Without you. Can't go out can't go home can't go anywhere. Covered up but I'm still watching people stare. Oh no now what can I do, I'm naked, I'm naked. Without you"
glassheart,"Baby. Staring at a piece of us. Shattered on the sidewalk. Tragic, broken like a china doll. Burning like a gun shot. My heart was beating. And so was yours. We threw each other. Down on the floor. My heart is breaking. It's made of glass. 'Cause anything that's good never ever lasts. So baby if you love me, let me know. 'Cause everything hurts just like before. You're about to tear this love apart. And break another glass heart. So baby if you love me just let me know. 'Cause everytime we touch, touch it's turning cold. Promise that we'll never fall apart. And I love you with my glass heart. And I love you with my glass heart. And I love you with my glass heart. Running round, staring at our empty room. Staring at the window. I hear music that we used to make. Boy play me that crescendo. My heart was beating. And so was yours. We threw each other. Down on the floor. My heart is breaking. It's made of glass. 'Cause anything that's good never ever lasts. So baby if you love me, let me know. 'Cause everything hurts just like before. You're about to tear this love apart. And break another glass heart. So baby if you love me just let me know. 'Cause everytime we touch, touch it's turning cold. Promise that we'll never fall apart. And I love you with my glass heart. And I love you with my glass heart. And I love you with my glass heart. And you promised not to let me fall apart. Fall apart. And I love you with my glass heart. So baby if you love me, let me know. 'Cause everything hurts just like before. You're about to tear this love apart. And break another glass heart. So baby if you love me, let me know. 'Cause everytime we touch, touch it's turning cold. Promise that we'll never fall apart. And I love you with my glass heart"
yesterday,"I just can't believe you're gone. Still waitin' for mornin' to come. When I see if the sun will rise. In the way that you're by my side. When we had so much in store. Tell me what is it I'm reaching for. When we're through building memories. I'll hold yesterday in my heart, in my heart. They can take tomorrow and the plans we made. They can take the music that we'll never play. All the broken dreams, take everything. Just take it away but they can never have yesterday. They can take the future that we'll never know. They can take the places that we said we will go. All the broken dreams take everything. Just take it away but they can never have yesterday. You always choose to stay. I should be thankful for everyday. Heaven knows what the future holds. Or least where the story goes. But I never believed until now. I know I'll see you again, I'm sure. No, it's not selfish to ask for more. One more night, one more day. One more smile on your face. But they cant take yesterday. They can take tomorrow and the plans we made. They can take the music that we'll never play. All the broken dreams, take everything. Just take it away but they can never have yesterday. They can take the future that we'll never know. They can take the places that we said we will go. All the broken dreams take everything. Just take it away but they can never have yesterday. I thought our days would last forever. But it wasn't our destiny. 'Cause in my mind we had so much time. But I was so wrong. No, I can, believe me. I can still find the strength in the moments we made. I'm lookin' back on yesterday. They can take tomorrow and the plans we made. They can take the music that we'll never play. All the broken dreams, take everything. Just take it away but they can never have yesterday. They can take the future that we'll never know. They can take the places that we said we will go. All the broken dreams take everything. Just take it away but they can never have yesterday. All the broken dreams take everything. They can never have yesterday. © JAM MUSIC; EMI APRIL MUSIC INC.;. BREAKTHROUGH CREATIONS;"
