fuck you,"Look inside, look inside your tiny mind. Then look a bit harder. 'Cause we're so uninspired, so sick and tired. Of all the hatred you harbor. So you say it's not okay to be gay. Well, I think you're just evil. You're just some racist who can't tie my laces. Your point of view is medieval. Fuck you, fuck you very, very much. 'Cause we hate what you do. And we hate your whole crew. So please don't stay in touch. Fuck you, fuck you very, very much. 'Cause your words don't translate. And it's getting quite late. So please don't stay in touch. Do you get, do you get a little kick. Out of being small minded?. You want to be like your father. It's approval you're after. Well, that's not how you find it. Do you, do you really enjoy. Living a life that's so hateful?. 'Cause there's a hole where your soul should be. You're losing control a bit. And it's really distasteful. Fuck you, fuck you very, very much. 'Cause we hate what you do. And we hate your whole crew. So please don't stay in touch. Fuck you, fuck you very, very much. 'Cause your words don't translate. And it's getting quite late. So please don't stay in touch. Fuck you, fuck you, fuck you. Fuck you, fuck you, fuck you. Fuck you. You say you think we need to go to war. Well, you're already in one. 'Cause it's people like you that need to get slew. No one wants your opinion. Fuck you, fuck you very, very much. 'Cause we hate what you do. And we hate your whole crew. So please don't stay in touch. Fuck you, fuck you very, very much. 'Cause your words don't translate. And it's getting quite late. So please don't stay in touch. Fuck you, fuck you very, very much. 'Cause your words don't translate. And it's getting quite late. So please don't stay in touch. Fuck you, fuck you, fuck you. Fuck you, fuck you, fuck you"
somewhere only we know,I walked across an empty land. I knew the pathway like the back of my hand. I felt the earth beneath my feet. Sat by the river and it made me complete. Oh simple thing where have you gone. I'm getting tired and I need someone to rely on. I came across a fallen tree. I felt the branches of it looking at me. Is this the place we used to love?. Is this the place that I've been dreaming of?. Oh simple thing where have you gone. I'm getting old and I need something to rely on. And if you have a minute why don't we go. Talk about it somewhere only we know?. This could be the end of everything. So why don't we go. Somewhere only we know?. Somewhere only we know?. Oh simple thing where have you gone. I'm getting old and I need someone to rely on. So tell me when you're gonna let me in. I'm getting tired and I need somewhere to begin. And if you have a minute why don't we go. Talk about it somewhere only we know?. Cause this could be the end of everything. So why don't we go. Somewhere only we know?. Somewhere only we know?
smile,When you first left me. I was wanting more. But you were fucking that girl next door. What'd you do that for. When you first left me. I didn't know what to say. I'd never been on my own that way. Just sat by myself all day. I was so lost back then. But with a little help from my friends. I found the light in the tunnel at the end. Now you're calling me up on the phone. So you can have a little whine and a moan. And its only because you're feeling alone. At first when I see you cry. Yeah it makes me smile. Yeah it makes me smile. At worst I feel bad for a while. But then I just smile. I go ahead and smile. Whenever you see me. You say that you want me back. And I tell you it don't mean jack. No it don't mean jack. I couldn't stop laughing. No I just couldnt help myself. See you messed up my mental health. I was quite unwell. I was so lost back then. But with a little help from my friends. I found the light in the tunnel at the end. Now you're calling me up on the phone. So you can have a little whine and a moan. And its only because you're feeling alone. At first when I see you cry. Yeah it makes me smile. Yeah it makes me smile. At worst I feel bad for a while. But then I just smile. I go ahead and smile
hard out here,"I suppose I should tell you what this bitch is thinking. You'll find me in the studio and not in the kitchen. I won't be bragging about my cars. Or talking 'bout my chains. Don't need to shake my ass for you. 'Cause I've got a brain. If I told you about my sex life. You call me a slut. Them boys be talking 'bout their bitches. No one's making a fuss. There's a glass ceiling to break. Uh hu, there's money to make. And now it's time to speed it up. 'Cause I can't move at this pace. Sometimes it's hard to find the words to say. I'll go ahead and say them anyway. Forget your balls and grow a pair of tits. It's hard, it's hard, it's hard out here. For a bitch it's hard. (for a bitch, for a bitch). For a bitch it's hard. It's hard out here. For a bitch it's hard. (for a bitch, for a bitch). For a bitch it's hard. It's hard out here. If you're not a size six. And you're not good looking. Well, you better be rich. Or be real good at cooking. You should probably lose some weight. 'Cause we can't see your bones. You should probably fix your face. Or you'll end up on your own. Don't you want to have somebody. Who objectifies you. Have you thought about you butt. Who's gonna tear in in two. We've never had it so good. Uh hu, we're out of the woods. And if you can't detect the sarcasm. You've misunderstood. Sometimes it's hard to find the words to say. I'll go ahead and say them anyway. Forget your balls and grow a pair of tits. It's hard, it's hard, it's hard out here. For a bitch it's hard. (for a bitch, for a bitch). For a bitch it's hard. It's hard out here. For a bitch it's hard. (for a bitch, for a bitch). For a bitch it's hard. It's hard out here. (bad bitch, bad bitch, bad bitch, bitch, bitch). (bad bitch, bad bitch, bad bitch, bitch, bitch). (bad bitch, bad bitch, bad bitch, bitch, bitch). Inequality promises. That it's here to stay. Always trust the injustice. 'Cause it's not going away. Inequality promises. That it's here to stay. Always trust the injustice. 'Cause it's not going away. Sometimes it's hard to find the words to say. I'll go ahead and say them anyway. Forget your balls and grow a pair of tits. It's hard, it's hard, it's hard out here. For a bitch it's hard. (for a bitch, for a bitch). For a bitch it's hard. It's hard out here. For a bitch it's hard. (for a bitch, for a bitch). For a bitch it's hard. It's hard out here. Bitch it's hard. (for a bitch, for a bitch). For a bitch it's hard. It's hard out here. For a bitch it's hard. (for a bitch, for a bitch). For a bitch it's hard. It's hard out here"
not fair,Oh he treats me with respect. He says he loves me all the time. He calls me 15 times a day. He likes to make sure that I'm fine. You know I've never met a man who's made me feel quite so secure. He's not like all them other boys. They're all so dumb and immature. There's just one thing that's getting in the way. When we go up to bed you're just no good. It's such a shame. I look into your eyes I want to get to know you. And then you make this noise and its apparent it's all over. It's not fair. And I think you're really mean. I think you're really mean. I think you're really mean. Oh you're supposed to care. But you never make me scream. You never make me scream. Oh it's not fair. And it's really not ok. It's really not ok. It's really not ok. Oh you're supposed to care. But all you do is take. Yeah all you do is take. Oh I lie here in the wet patch. In the middle of the bed. I'm feeling pretty damn hard done by. I spent ages giving head. Then I remember all the nice things that you ever said to me. Maybe I'm just overreacting maybe you're the one for me. There's just one thing that's getting in the way. When we go up to bed you're just no good. It's such a shame. I look into your eyes I want to get to know you. And then you make this noise and it's apparent it's all over. It's not fair. And I think you're really mean. I think you're really mean. I think you're really mean. Oh you're supposed to care. But you never make me scream. You never make me scream. Oh it's not fair. And it's really not ok. It's really not ok. It's really not ok. Oh you're supposed to care. But all you do is take. Yeah all you do is take. There's just one thing that's getting in the way. When we go up to bed you're just no good. It's such a shame. I look into your eyes I want to get to know you. And then you make this noise and its apparent it's all over. It's not fair. And I think you're really mean. I think you're really mean. I think you're really mean. Oh you're supposed to care. But you never make me scream. You never make me scream. Oh it's not fair. And it's really not ok. It's really not ok. It's really not ok. Oh you're supposed to care. But all you do is take. Yeah all you do is take
22,"When she was 22 the future looked bright. But she's nearly 30 now and she's out every night. I see that look in her face. She's got that look in her eye. She's thinking how did I get here. And wondering why. It's sad but it's true how society says. Her life is already over. There's nothing to do and there's nothing to say. Til the man of her dreams comes along. Picks her up and puts her over his shoulder. It seems so unlikely in this day and age. She's got an alright job but it's not a career. Whenever she thinks about it, it brings her to tears. Cause all she wants is a boyfriend. She gets one-night stands. She's thinking how did I get here. I'm doing all that I can. It's sad but it's true how society says. Her life is already over. There's nothing to do and there's nothing to say. Til the man of her dreams comes along. Picks her up and puts her over his shoulder. It seems so unlikely in this day and age. It's sad but it's true how society says. Her life is already over. There's nothing to do and there's nothing to say. Til the man of her dreams comes along. Picks her up and puts her over his shoulder. It seems so unlikely in this day and age"
the fear,I want to be rich and I want lots of money. I don't care about clever I don't care about funny. I want loads of clothes and fuckloads of diamonds. I heard people die while they are trying to find them. I'll take my clothes off and it will be shameless. 'Cause everyone knows thats how you get famous. I'll look at the sun and I'll look in the mirror. I'm on the right track yeah I'm on to a winner. I don't know what's right and what's real anymore. I don't know how I'm meant to feel anymore. When do you think it will all become clear. 'Cause I'm being taken over by The Fear. Lifes about film stars and less about mothers. It's all about fast cars and passing each other. But it doesnt matter cause I'm packing plastic. and that's what makes my life so fucking fantastic. And I am a weapon of massive consumption. and it''s not my fault its how I'm program to. function. I'll look at the sun and I'll look in the mirror. I'm on the right track yeah I'm on to a winner. I don't know what's right and what's real anymore. I don't know how I'm meant to feel anymore. When we think it will all become clear. 'Cause I'm being taken over by The Fear. Forget about guns and forget ammunition. 'Cause I'm killing them all on my own little mission. Now I'm not a saint but I'm not a sinner. Now everything is cool as long as I'm getting thinner. I don't know what's right and what's real anymore. I don't know how I'm meant to feel anymore. When do you think it will all become clear. 'Cause I'm being taken over by fear
what you waiting for,"Since we separated. I've been suffocated, ah yeah. All the empty space in my head. First I felt liberated by it. But solitude is overrated. The other day I swear someone said. Someone else is sharing your bed. Maybe you picked up where I left. Now my heart is sinking. I don't know what I've been thinking. I turned a strong man weak. I threw him down, brought him to his knees. I'm hoping somehow he'll forgive me. I think to myself, what you waiting for?. You'll never be sure. Swinging back and forth. Just leave him alone-o-one. What you waiting for?. You'll never be sure. Swinging back and forth. I just don't know, know, know. Now the dust has settled. I should probably level with you. Meant it when I said, ""I do"". Don't know why I was untrue. With everything I put you through. How'd it make you feel. If I said I still love you. If I could go back. Select all, press undo. Never thought we'd be this couple. I ran at the first sign of trouble. I turned a strong man weak. I threw him down, brought him to his knees. I'm hoping somehow he'll forgive me. I think to myself, what you waiting for?. You'll never be sure. Swinging back and forth. Just leave him alone-o-one. What you waiting for?. You'll never be sure. Swinging back and forth. I just don't know, know, know. Since we separated. I've been suffocated, ah yeah. All the empty space in my head. First I felt liberated by it. But solitude is overrated. The other day I swear someone said. Someone else is sharing your bed. Maybe you picked up where I left. Now my heart is sinking. I don't know what I've been thinking. I turned a strong man weak. I threw him down, brought him to his knees. I'm hoping somehow he'll forgive me. I think to myself, what you waiting for?. You'll never be sure. Swinging back and forth. Just leave him alone-o-one. What you waiting for?. You'll never be sure. Swinging back and forth. I just don't know, know, know"
lost my mind,"I caught some feelings, now I sense a change. Something beautiful has slipped away. I let you in and, then you disappear. Like the dying of another day. I was never planning on, any of this chaos. I wasn't being difficult, but you still betrayed us. Now I'm stuck, in a rut. Kicking stones, looking at my phone all night. Baby I've lost my mind. When I couldn't breathe, couldn't sleep. And you say it served me right. Maybe I've lost my mind. You're on the ceiling, I'm down here on the floor. Keeps me coming back, keeps me begging for more. I knew there'd be other girls, and I like the danger. Once or twice I've seen your soul. you weren't always a stranger. Stuck in a rut. Kicking stones, looking at my phone all night. Baby I've lost my mind. When I couldn't breathe, couldn't sleep. And you say it served me right. Maybe I've lost my mind. You wouldn't give me closure, let me get off the ride. And now I'm getting closer, to the other side. Now I'm stuck, in a rut. Kicking stones, looking at my phone all night. Baby I've lost my mind. When I couldn't breathe, couldn't sleep. And you say it, served me right. Maybe I've lost my mind. Stuck in a rut. Kicking stones, looking at my phone all night. Baby I've lost my mind. Stuck in a rut. Kicking stones, looking at my phone all night. Maybe I've lost my mind"
ldn,"Riding through the city on my bike all day. Cause the filth took away my license. It doesn't get me down and I feel ok. Cause the sights that I'm seeing are priceless. Everything seems to look as it should. But I wonder what goes on behind doors. A fella looking dapper, but he's sitting with a slapper. Then I see it's a pimp and his crack whore. You might laugh, you might frown. Walking round London town. Sun is in the sky, oh why, oh why. Would I wanna be anywhere else. Sun is in the sky, oh why, oh why. Would I wanna be anywhere else. When you look with your eyes. Everything seems nice. But if you look twice. You can see it's all lies. There was a little old lady who was walking down the road. She was struggling with bags from Tesco. There were people from the city having lunch in the park. I believe that it's called al fresco. When a kid came along to offer a hand. But before she had time to accept it. Hits her over the head, doesn't care if she's dead. Cause he's got all her jewellery and wallet. You might laugh, you might frown. Walking round London town. Sun is in the sky, oh why, oh why. Would I wanna be anywhere else. Sun is in the sky, oh why, oh why. Would I wanna be anywhere else. When you look with your eyes. Everything seems nice. But if you look twice. You can see it's all lies. Life, yeah, that's city life (3x). Life, yeah, that's city life (3x). Angel, Dalston, Stockwell, Clapton,. Soho, Ladbroke Grove. Camden, Brixton, Putney, Tottenham,. Chiswick, Old Kent Road.. Sun is in the sky, oh why, oh why. Would I wanna be anywhere else. Sun is in the sky, oh why, oh why. Would I wanna be anywhere else (2x). When you look with your eyes. Everything seems nice. But if you look twice. You can see it's all lies (2x)"
oh my god,"Time on your side that will never end. The most beautiful thing you can ever spend. But you work in a shirt with your name tag on it. Drifting apart like a plate tectonic. It don't matter to me. ‘Cos all I wanted to be. Was a million miles from here. Somewhere more familiar. Too much time spent dragging the past up. I didn't see you not looking when I messed up. Settling down in your early twenties. Sucked more blood than a backstreet dentist. It don't matter to me. ‘Cos all I wanted to be. Is a million miles from here. Somewhere more familiar. Oh my god I can't believe it. I've never been this far away from home. And oh my god I can't believe it. I've never been this far away from home. And oh my god I can't believe it. I've never been this far away from home. And oh my god I can't believe it. I've never been this far away from home. Great rulers make for greater glory. The only thing growing is our history. Knock me down I'll get right back up again. I'll come back stronger than a powered up pac-Man. It don't matter to me. ‘Cos all I wanted to be. Was a million miles from here. Somewhere more familiar. Oh my god, I can't believe it. I've never been this far away from home. And oh my god I can't believe it. I've never been this far away from home. And oh my god I can't believe it. I've never been this far away from home. And oh my god I can't believe it. I've never been this far away from home. Oh my, god I can't believe it. I've never been this far away from home. And oh my god I can't believe it. I've never been this far away from home. And oh my god I can't believe it. I've never been this far away from home. And oh my god I can't believe it. I've never been this far away from home"
