woman like me (feat. nicki minaj),"I always say what I'm feeling. I was born without a zip on my mouth. Sometimes I don't even mean it. It takes a little while to figure me out. I like my coffee with two sugars in it. High heels and my jewellery dripping. Drink and I get all fired up, hey, hey, hey. Insecure but I'm working with it. Many things that I could get rid of. Ain't about to give it up. I made a few mistakes I regret it nightly. I broke a couple hearts that I wear on my sleeve. My momma always said, “girl you're trouble” and. And now I wonder. Could you fall for a woman like me. And every time we touch boy you make me feel weak. I can tell you're shy and I think you're so sweet. Spending every night under covers and. Still I wonder. Could you fall for a woman like me. Woman like me, like a woman like me, la la la. Woman like me, like a woman like me, la la la. Woman like me, like a woman like me, la la la. Woman like me, like a woman like me. And baby just be mine for the weekend. We can get a takeaway and sit on the couch. Or we could just go out for the evening. Hopefully end up with you kissing my mouth. You got them blue jeans with a rip up in them. My hair with your fingers in it. Love it when you turn me on. Yoncé with a little bit of. Love drunk in the middle with it. Get down to our favourite song. I made a few mistakes I regret it nightly. I broke a couple hearts that I wear on my sleeve. My momma always said, “girl you're trouble” and. And now I wonder. Could you fall for a woman like me. And every time we touch boy you make me feel weak. I can tell you're shy and I think you're so sweet. Spending every night under covers and. Still I wonder. Could you fall for a woman like me. Woman like me, like a woman like me, la la la. Woman like me, like a woman like me, la la la. Woman like me, like a woman like me, la la la. Woman like me, like a woman like me. Woman like me. Yes a woman like me. Soon as I brush up on him. I could tell he like me. You know all the mandem a try to swipe me. Knotted up he could afford to ice me. Tell'em it's a bad trini bitch in ah ya area. But the more bad bitches then the more merrier. Baddies to my left and to the right a little scarier. Rude boy tell me can you handle all this derriere?. A million I'm getting my billy on. Greatest of all time cus I'm a chameleon. I switch it up for every era, I'm really bomb. These bitches really wanna be Nicki. I'm really mom. Apple cut the check I want all this money. Seven up go grip the tech. And leave all this bloody. It's the queen and Little Mix. Skated on them. Sorry. My daddy is Indian- swish. all this Curry. Woman like me, like a woman like me, la la la. Woman like me, like a woman like me. I made a few mistakes I regret it nightly. I broke a couple hearts that I wear on my sleeve. My Mumma always said, “girl you're trouble” and. And now I wonder. Could you fall for a woman like me. And every time we touch boy you make me feel weak. I can tell you're shy and I think you're so sweet. Spending every night under covers. Still I wonder. Could you fall for a woman like me. Woman like me, like a woman like me, la la la. Woman like me, like a woman like me, la la la. Woman like me, like a woman like me, la la la. I said a woman like me, like a woman like me. A woman like me"
think about us (ft. ty dolla $ign),"When you dancing in the club. And the nights are getting hard. Do you think about us?. Do you think about us?. When the music gets so loud. And the girls are all around. Do you think about us?. Do you think about us?. Cause I do, think about you. When I'm up here in my hotel room. Need your love, don't know what I'm gon' do. My body so hot, babe, I'm missin' you. One touch is all I want. I call my girls, we go down to the club. Walk through the crowd, 'til I find my love. I look in your eyes and the whole world stops. Woah, you put your hand on my waist. And then you pull me close. Boy, I promise I won't let go. Now we're dancing in the club. And it's fire when we touch. Do you think about us?. Do you think about us?. When we're deeper in the crowd. Can you feel my body now?. Do you think about us?. Oh-woah-oh-oh-oh. Do you think about us, us. Woah-oh-oh-oh, woah-oh-oh-oh. Do you think about us, us. Woah-oh-oh-oh, woah-oh-oh-oh. Do you think about us?. 'Cause I do, think about you. Can't shake you off, babe you're stuck like glue. Now we're alone, got my body on you. You don't even know all the things I want do. One touch, need your love. Me and my baby, we up in the club. Ain't nobody else, you know it's all about us. Ain't nobody else, you know it's all about us. Woah, you put your hand on my waist. And then you pull me close. Boy, I promise, I won't let go. Now we're dancing in the club. And it's fire when we touch. Do you think about us?. Do you think about us?. When we're deeper in the crowd. Can you feel my body now?. Do you think about us, whoa?. Do you think about us, us. Woah-oh-oh-oh, woah-oh-oh-oh. Do you think about us, us. Woah-oh-oh-oh, woah-oh-oh-oh. Do you think about us?. I've been thinking about us yeah. All the cities we met up in. Situations that we've been through. Have you been thinking about me too. I have some things on my mind I wanna tell you. Can we please spend some time. I'll clear the schedule for You. Can I put you on a jet tonight. Can I VVS your neck with diamonds. Just let me put some drip on you Vivienne Westwood. Let me put some Chanel on you. That New Balenciaga, YSL on you. Girl You A Goddess. Do you Think About US. Do you think about us, us?. Woah-oh-oh-oh (do you think about me, baby?). Woah-oh-oh-oh (do you think about me, baby?). Do you think about us, us. Woah-oh-oh-oh, woah-oh-oh-oh. Do you think about us?. Oh-na-na-na-na, do you think about us?. Oh-na-na-na-na, do you think about us?. Oh-na-na-na-na, do you think about us?. I wanna know, do you think about us?"
strip (ft. sharaya j),"Take off all my make-up. 'Cause I love what's under it. Rub off all your words. Don't give a 'huh, ' I'm over it. (Jiggle all this weight. Yeah, you know I love all of this). Finally love me naked. Sexiest when I'm confident. You say I ain't pretty. Well, I say 'I'm beautiful'. It's my committee. Say we 'too provocative'. Still look at me. Look at me, look at me (yeah). Come for my girls, you blocked. Be daily mail ratin', mañana a la noche. I don't owe you nothin'. Nah, I don't give a, no, not anymore. If you got little boobs, love it (ahh-ooh). If you got a big ass, grab it (ahh-ooh). If you got nothing wrong, rock it. It's your life, go get it, if you want it. Up in the mirror like ""ah, yeah"". Lovin' my figure like ""ah, yeah"". When I'm slim or I'm thick, I'm like ""ah, yeah"". Swear I'm a kill 'em like ah. Strip! Take off all my make-up. 'Cause I love what's under it. Rub off all your words. Don't give a 'uh, ' I'm over it. Strip! Jiggle all this weight. Yeah, you know I love all of this. Finally love me naked. Sexiest when I'm confident. I ain't scared anymore. My body outta control (strip). Baby, I know that you love dis, dis, dis, dis. I know I'ma hot. Gotta do what you want. If they love it or they don't (strip). I know you ain't ready for dis, dis, dis, dis. Baby, take it off (strip). Da-da-da, da-da-da-da-da. Da-da-da, da-da-da-da-da. Love who you wanna. Don't give a damn if it's a man or a woman. Wanna talk about colour?. It's the skin that I'm in. Yeah, I get from my mama. I'm a woman, don't test me. Baby, I'm growing, my stretch-marks are sexy. I don't owe you nothing. Nah, I don't give a, no, not anymore. If you got little boobs, love it (ahh-ooh, fact). If you got a big ass, grab it (ah-ooh, fact). If you got none, baby, rock it. It's your life, go get it if you want it. Strip! Take off all my make-up. 'Cause I love what's under it. Rub off all your words. Don't give a 'huh, ' I'm over it. Strip! Jiggle all this weight. Yeah, you know I love all of this. Finally love me naked. Sexiest when I'm confident. Strip! I ain't scared anymore. My body outta control (strip). Baby, I know that you love dis, dis, dis, dis. I know I'ma hot (strip, strip). Gotta do what you want (girl, yes). If they love it or they don't (that's right). I know you ain't ready for dis, dis, dis, dis. Baby, take it off. (Sharaya J!). First of all, you got to love who you are. Don't less social media tear you apart. Hb I see, I'm Benji in charge. I'm ready and I got a hundred bars. I don't care if you got a hundred cards. I don't care if you got a hundred mil'. 'Cause even if you had a hundred deals. That money won't buy you, a confidence will. Skrrt, pull up with a drip. Got juice, take a sip. I'm so serious. Lil' Mix in a mix period. Still a cover girl, even with no makeup. Live your best life, even with your A-cups. I don't gotta act, I just gotta be me. Put me on a track, I'ma ride like Kiki (ayy). Strip! Take off all my make-up. 'Cause I love what's under it. Rub off all your words. Don't give a 'huh, ' I'm over it. Strip! Jiggle all this weight. Yeah, you know I love all of this. Finally love me naked. Sexiest when I'm confident. Strip! Take off all my make-up. 'Cause I love what's under it. Rub off all your words. Don't give a 'huh, ' I'm over it. Strip! Jiggle all this weight. Yeah, you know I love all of this. Finally love me naked. Sexiest when I'm strip"
think about us,"When you're dancin' in the club. And the nights are getting hard. Do you think about us?. Do you think about us?. When the music gets so loud. And the girls are all around. Do you think about us?. Do you think about us?. 'Cause I do, think about you. When I'm up here in my hotel room. Need your love, don't know what I'm gon' do. My body so hot, babe, I'm missin' you. One touch is all I want. I call my girls, we go down to the club. Walk through the crowd 'til I find my love. I look in your eyes and the whole world stop. Woah, oh, you put your hand on my waist. And then you pull me close. Boy, I promise I won't let go. Now we're dancing in the club. And it's fire when we touch. Do you think about us?. Do you think about us?. When we're deeper in the crowd. Can you feel my body now?. Do you think about us?. Oh-woah-oh. Do you think about us, us?. (Think about us, are you thinkin' 'bout us?). (Are you-, thinkin' 'bout us, are you thinkin' 'bout us?). Woah-oh-oh-oh. (Are you-, thinkin' 'bout us, thinkin' 'bout us). Woah-oh-oh-oh. (Are you thinkin' 'bout us?). Do you think about us, us?. (Think about us, are you thinkin' 'bout us?). (Are you-, thinkin' 'bout us, are you thinkin' 'bout us?). Woah-oh-oh-oh. (Are you-, thinkin' 'bout us, thinkin' 'bout us). Woah-oh-oh-oh. Do you think about us?. 'Cause I do, think about you. Can't shake you off, baby, stuck like glue. Now we're alone, got my body on you. You don't even know all the things I wan' do. One touch, need your love. Me and my baby, we up in the club. Ain't nobody else, you know it's all about us. Ain't nobody else, you know it's all about us. Woah, oh, you put your hand on my waist. And then you pull me close. Boy, I promise, I won't let go. Now dancing in the club. And It's fire when we touch. Do you think about us?. Do you think about us?. We were deeper in the crowd. Can you feel my body now?. Do you think about us?. Oh-woah-oh. Do you think about us, us?. (Think about us, are you thinkin' 'bout us?). (Are you-, thinkin' 'bout us, are you thinkin' 'bout us?). Woah-oh-oh-oh. (Are you-, thinkin' 'bout us, thinkin' 'bout us). Woah-oh-oh-oh. (Are you thinkin' 'bout us?). Do you think about us, us?. (Think about us, are you thinkin' 'bout us?). (Are you-, thinkin' 'bout us, are you thinkin' 'bout us?). Woah-oh-oh-oh. (Are you-, thinkin' 'bout us, thinkin' 'bout us). Woah-oh-oh-oh. Do you think about us?. Oh-na-na-na-na, do you think about us?. Oh-na-na-na-na, do you think about us?. Oh-na-na-na-na, do you think about us?. I wanna know, I wanna know. Oh-na-na-na-na, do you think about us?. Oh-na-na-na-na, do you think about us?. Oh-na-na-na-na, do you think about us?. Do you think about us, us?. (Think about us, are you thinkin' 'bout us?). (Are you-, thinkin' 'bout us, are you thinkin' 'bout us?). Woah-oh-oh-oh. Do you think about me, baby?. Woah-oh-oh-oh. Do you think about me, baby?. Do you think about us, us?. (Think about us, are you thinkin' 'bout us, thinkin' 'bout us?). (Are you-, thinkin' 'bout us, are you thinkin' 'bout us?). Woah-oh-oh-oh. (Are you-, thinkin' 'bout us, thinkin' 'bout us). I really wanna know. Woah-oh-oh-oh. Do you think about us?. Oh-na-na-na-na, do you think about us?. Oh-na-na-na-na, do you think about us?. Oh-na-na-na-na, do you think about us?. I wanna know, do you think about us?"
secret love song (feat. jason derulo),"When you hold me in the street. And you kiss me on the dancefloor. I wish that it could be like that. Why can't it be like that. 'Cause I'm yours. We keep behind closed doors. Every time I see you I die a little more. Stolen moments that we steal as. The curtain falls. It'll never be enough. It's obvious you're meant for me. Every piece of you it just fits perfectly. Every second, every thought. I'm in so deep. But I'll never show it on my face. But we know this, we got a love that is. Hopeless. Why can't you hold me in the street. Why can't I kiss you on the dancefloor. I wish that it could be like that. Why can't we be like that. 'Cause I'm yours. When you're with him do you call. His name. Like you do when you're with me. Does it feel the same. Would you leave if I was ready to. Settle down. Or would you play it safe and stay. Girl you know this. We got a love that is hopeless. Why can't you hold me in the street. Why can't I kiss you on the dancefloor. I wish that it could be like that. Why can't we be like that. 'Cause I'm yours. And nobody knows. I'm in love with someone's baby. I don't wanna hide us away. Tell the world about the love we makin'. I'm living for that day, someday. Can I hold you in the street. Why can't I kiss you on the dancefloor. I wish that it could be like that. Why can't we be like that. 'Cause I'm yours, I'm yours. Why can't you hold me in the street. Why can't I kiss you on the dancefloor. I wish that it could be like that. Why can't we be like that. 'Cause I'm yours, 'Cause I'm yours. Why can't I say that I'm in love. I wanna shout it from the rooftops. I wish that it could be like that. Why can't we be like that. 'Cause I'm yours. Why can't we be like that. Wish we could be like that"
joan of arc,"Hey, hey. Damn. One foot in the club, everybody watch me. One pop of the booty, everybody love me. Ain't the reason I'm cocky. I make myself feel sexy. Fan of myself, I'm stanning myself. I love me so much I put my hands on myself. Fan of myself, I'm stanning myself. I love me so much I put my hands on myself. Man, I feel like Cleopatra, Joan of Arc. Queen of Hearts, yeah. Tonight it's only me that matters. Oh, you on that feminist tip?. Hell yeah, I am!. I don't need a man. If I'm loving you it's 'cause I can ('cause I can). I don't want your cash (uh). I put my own rock on my hand (woo). I put my own rock on my hand (woo). I put my own rock on my hand (what?). I don't need a man (uh, uh). If I'm loving you it's 'cause I can. Make way for the G-O, double D, E-S-S-S. I spare no enemies in this dress. Uh-huh, uh-huh. I make myself feel sexy. Fan of myself, I'm stanning myself. I love me so much I put my hands on myself. Fan of myself, I'm stanning myself. I love me so much, can't keep my hands off myself. Man, I feel like Cleopatra, Joan of Arc. Queen of Hearts, yeah. Tonight it's only me that matters. Oh, you on that feminist tip?. Hell yeah, I am!. I don't need a man (yeah, a man). If I'm loving you it's 'cause I can ('cause I can). I don't want your cash (uh, uh). I put my own rock on my hand (woo). I put my own rock on my hand (woo). I put my own rock on my hand. I don't need a man (uh-huh). If I'm loving you it's 'cause I can. Yeah one-one, take control. Drop your man down like you don't want him no more. Say two-two, freak the floor. Drop it so low that your thighs get sore. Say one-one, take control. Drop your man down like you don't want him no more. Say two-two, freak the floor. Drop it so low that your thighs get sore. I don't need a man (need a man). If I'm loving you it's 'cause I can ('cause I can). I don't want your cash (uh-huh). I put my own rock on my hand (woo). I put my own rock on my hand (woo). I put my own rock on my hand (woo). I don't need a man (uh uh). If I'm loving you it's 'cause I can (tell 'em). I don't need a man. If I'm loving you it's 'cause I can ('cause I can). I don't want your cash. I put my own rock on my hand (woo). I put my own rock on my hand (woo). I put my own rock on my hand. I don't need a man (uh-huh). If I'm loving you it's 'cause I can"
the cure,"I lost my faith. Made my mistakes. Gotta find a way to make it easy. I'll be better on my own, believe me. Pay no hope back. Can't live like that. Yeah, I made my peace with all the sorrow. And now I'm livin' for tomorrow. I'm a girl with a new face. And a life that's been changed. You know, you know, you know?. I was a little bit lost, but I'm not anymore. I was a little bit hurt, but I'm not anymore. I was a little left out, but I'm not anymore. 'Cause the tears fell down. But they don't anymore. I was a little messed up, but I'm not anymore. I was a little left out, but I'm not anymore. I was a little far gone, but I'm not anymore. It's alright now, baby. I've got the cure. Ooh, oh, oh, oh. Ooh, oh, oh, oh. Ooh, oh, oh, oh. Yeah it's alright now, baby. I've got the cure. Now it's me and myself. Don't need no one else. This happiness was always inside me. But Lord, it took a minute to find me. And this freedom I found. Is with the million you now. And I'm puttin' all my troubles behind me. I only need my heart to guide me. I'm a girl with a new face. And a life that's been changed. You know, you know, you know?. I was a little bit lost, but I'm not anymore. I was a little bit hurt, but I'm not anymore. I was a little left out, but I'm not anymore. 'Cause the tears fell down. But they don't anymore. I was a little messed up, but I'm not anymore. I was a little left out, but I'm not anymore. I was a little far gone, but I'm not anymore. It's alright now, baby I've got the cure. Ooh, oh, oh, oh. Ooh, oh, oh, oh. Ooh, oh, oh, oh. Yeah it's alright now, baby. I've got the cure. Ooh, oh, oh, oh. Ooh, oh, oh, oh. Ooh, oh, oh, oh. Yeah it's alright now, baby. I've got the cure. (And I) and I'll learn to love again. ('Cause I) 'cause I finally understand. I was a little bit lost, but I'm not anymore. I was a little bit hurt, but I'm not anymore. I was a little left out, but I'm not anymore. 'Cause the tears fell down. But they don't anymore. I was a little messed up, but I'm not anymore. I was a little left out, but I'm not anymore. I was a little far gone, but I'm not anymore. It's alright now, baby I've got the cure. I was a little bit lost, but I'm not anymore. I was a little bit hurt, but I'm not anymore. I was a little left out, but I'm not anymore. 'Cause the tears fell down. But they don't anymore. I was a little messed up, but I'm not anymore. I was a little left out, but I'm not anymore. I was a little far gone, but I'm not anymore. It's alright now, baby I've got the cure. Ooh, oh, oh, oh. Ooh, oh, oh, oh. Ooh, oh, oh, oh. Yeah, it's alright now, baby. I've got the cure. Ooh, oh, oh, oh. Ooh, oh, oh, oh. Ooh, oh, oh, oh. Yeah it's alright now, baby. I've got the cure"
black magic,"All the girls on the block knocking at my door. Wanna know what it is, make the boys want more. Is your lover playing on your side?. Said he loves you. But he ain't got time. Here's the answer. Come and get it. At a knocked down price. Full of honey. Just to make him sweet. Crystal balling. Just to help him see. What he's been missing. So come and get it. While you've still got time. Get your boy on his knees. And repeat after me, say. Take a sip of my secret potion. I'll make you fall in love. For a spell that can't be broken. One drop should be enough. Boy, you belong to me. I got the recipe and it's called Black Magic. (And it's called Black Magic). Take a sip of my secret potion. One taste and you'll be mine. It's a spell that can't be broken. And'll keep you up all night. Boy, you belong to me. I got the recipe and it's called Black Magic. (And it's called Black Magic). If you're lookin' for Mr. Right. Need that magic. To change him over night. Here's the answer. Come and get it. While you've still got time. Get your boy on his knees. And repeat after me, say. Take a sip of my secret potion. I'll make you fall in love. For a spell that can't be broken. One drop should be enough. Boy, you belong to me. I got the recipe and it's called Black Magic. (And it's called Black Magic). Take a sip of my secret potion. One taste and you'll be mine. It's a spell that can't be broken. And'll keep you up all night. Boy, you belong to me. I got the recipe and it's called Black Magic. (And it's called Black Magic). All the girls on the block knockin' at my door. (I got the recipe). Wanna know what it is make the boys want more. (Now you belong to me). All the girls on the block knockin' at my door. (I got the recipe). Wanna know what it is make the boys want more. (Now you belong to me). Take a sip from my secret potion. I'll make you fall in love. For a spell that can't be broken. One drop should be enough. Boy, you belong to me (Hey!). I got the recipe. And it's called, and it's called. And it's called Black Magic. Take a sip of my secret potion. One taste and you'll be mine. It's a spell that can't be broken. And'll keep you up all night. Boy, you belong to me. I got the recipe and it's called Black Magic. (And it's called Black Magic). Falling in love. Magic!"
only you (with cheat codes),"Dancing with your silhouette in the places. that we met. Ooh, tryna find you in the moon. Paris never feels the same. When the streets all call your name. Ooh, so I hide in crowded rooms. And I'll follow right down the river. Where the ocean meets the sky. To you, to you. Once upon a time we had it all. Somewhere down the line we went and lost it. One brick at a time we watched it fall. I'm broken here tonight and darling. no one else can fix me. Only you, only you. And no one else can fix me, only you. Only you, only you. And no one else can fix me. Only you, oh. Only you. Did I let go of your hand. for a castle made of sand. Ooh, that fell into the blue. I went following the sun to be alone with everyone. Ooh, looking 'round a crowded room. And I'll follow right down the river. Where the ocean meets the sky. To you, to you. Once upon a time we had it all. (we had it all) (MM). Somewhere down the line we went and lost it. (We went and lost it). One brick at a time we watched it fall (fall). I'm broken here tonight and darling. no one else can fix me. Only you, only you (yeah). And no one else can fix me, only you. (no one like you). Only you, (nobody else) , only you (oh). And no one else can fix me. Only you, (oh). Only you. (Falling, falling, falling, yeah). Only you, (only you) , only you, (only you). And no one else can fix me, only you (only you). Only you, (only you) , only you, (only you). And no one else can fix me. Only you"
monster in me,"Beautiful creatures, you and me. Every time that we touch it's dangerous. This spark is more than chemistry. Beautiful liars, drowning deep. Every night we fight and it's hot like hell. But it feels like heaven between the sheets. Every time we let go. I scream and I call for more. Touch me. Why don't we kill each other slowly?. What can I say, baby, what can I do?. The monster in me loves the monster in you. Hold me. Squeeze a little tighter til we can't breathe. What can I say, baby, what can I do?. The monster in me loves the monster in you. Monster in me, mm, mm, ay ay. Loves the monster in you, mm, mm, ay ay. Beautiful killer, cut me deep. Just a single kiss and I'm in your spell. But you?. Beautiful fire, love the heat. Every night we fight and it's hot like hell. But I love the way that you make me scream. And every time I let go. I cry and I beg for more, more. Touch me. Why don't we kill each other slowly?. What can I say, baby, what can I do?. The monster in me loves the monster in you. Hold me. Squeeze a little tighter til we can't breathe. What can I say, baby, what can I do?. The monster in me loves the monster in you. Monster in me, mm, mm, ay ay. Loves the monster in you, mm, mm, ay ay. Every moment we spend. Turning from friends to enemies. And fighting to hold on to each other. Every second we fall to fire below. It's so beautiful. The hell that we both made for each other. (But it's all love and war). Louder we roar. Crying for more. I know it's so wrong, but baby just. Touch me. Why don't we kill each other slowly?. What can I say, baby, what can I do?. The monster in me loves the monster in you. Hold me. Squeeze a little tighter til we can't breathe. What can I say, baby, what can I do?. The monster in me loves the monster in you. Monster in me. Wanting me, haunting you. Haunting me, haunting you. Oh, wanting me, haunting you. Haunting me, hauting you. Wanting me, haunting you. Haunting me, haunting you. Wanting me, haunting you. Haunting me"
