"party rock anthem (feat. lauren bennett, goonrock)",Who came to party?. Sorry for party rocking. Party rock!. Let's go!. Party rock is in the house tonight. Everybody just have a good time. And we gonna make you lose your mind. Everybody just have a good time. Party rock is in the house tonight. Everybody just have a good time. And we gonna make you lose your mind. We just wanna see yaa!. Shake That !. In the club party rock look up on your girl. She on my jock non stop when we in the spot. Booty move away like she own the block. What the track I gots to know. Top jeans tatto cause I'm rock and roll. Half black half white diamino. Gane the money out the door. Yoooo!!. I'm runnin through these hoes like drano. I got that devilish flow rock and roll no halo. We party rock yea! that's the crew that I'm reppin. On the rise to the top no led in our zeppelin. Hey!!!. Party rock is in the house tonight. Everybody just have a good time. And we gonna make you lose your mind. Everybody just have a good time. Party rock is in the house tonight. Everybody just have a good time. And we gonna make you lose your mind. We just wanna see yaa!. Shake that!. Everyday I'm shuffelin. Shuffelin shuffelin. Step up fast and be the first girl to make me throw this cash. We get money don't be mad now stop hatein is bad. One more shot for us. Another round. Please fill up my cup. Don't mess around. We just wanna see. You shake it now. Now you wanna be. Your naked now. Get up get down put your hands up to the sound [X3]. Put your hands up to the sound [X2]. Get up [X9]. Put your hands up to the sound. To the sound. Put your hands up !!!!!. Party rock is in the house tonight. Everybody just have a good time. And we gonna make you lose your mind. Everybody just have a good good good time. Ohhhhh!!. Ohhhhhh!!!. Ohhhhhh!!!. Ohhh!
sexy and i know it,"When I walk on by. Girls be looking like damn he fly. I pay to the beat. Walking on the street. With in my new lafreak, yeah. This is how I roll. Animal print. Pants out control,. It's RedFOO with the big afro. And like Bruce Leroy I got the glow. Girl look at that body. Girl look at that body. Girl look at that body. I work out. Girl look at that body. Girl look at that body. Girl look at that body. I work out. When I walk in the spot. This is what I see. Everybody stops. And they staring at me. I got passion in my pants. And I ain't afraid to show it. Show it, show it, show it. I'm sexy and I know it. I'm sexy and I know it. Yeah, when I'm at the moss. Purity just can't fight them up. When I'm at the beach. I'm in a speedo trying to tan my cheeks. This is how I roll. Come on ladies it's time to go. We hit it to the bar. Baby don't be nervous. No shoes, no shirt. And I still get serviced. Girl look at that body. Girl look at that body. Girl look at that body. I work out. Girl look at that body. Girl look at that body. Girl look at that body. I work out. When I walk in the spot. This is what I see. Everybody stops. And they staring at me. I got passion in my pants. And I ain't afraid to show it. Show it, show it, show it. I'm sexy and I know it. I'm sexy and I know it. Check it out, check it out. Wiggle, wiggle, wiggle, wiggle, yeah.... Do the wiggle man. I do the wiggle man. Yeah. I'm sexy and I know it. Girl look at that body. Girl look at that body. Girl look at that body. I work out. Girl look at that body. Girl look at that body. Girl look at that body. I work out. I'm sexy and I know it"
sorry for party rocking,"Sorry for party rockin'. I'll be up in a party, lookin' for a hottie to bone. I got a drink in my hand and a jazz car buffalo. Poppin' bottles in the house with models in the V.I.P. All the girls make out for the whole damn club to see. Let's go. People always say that my music's loud. Sorry for party rockin'. Neighbors complain, say ""turn it down""!. Sorry for party rockin'. Haters don't like we got the spotlight. Sorry for party rockin'. When they talk shit, it just be lies. Sorry for party rockin'. Baby, baby, baby, I'm awfully crazy. I'm so rocked on Patrón, shit, whatever's tasty. We don't got no manners, hangin' off the rafters. Let's go drink for drink, a hundred bucks she won't outlast us. Check my style, take a good look, I'm fresh, bitch. In my way with music so loud, I'm deaf, bitch. Gettin' brained at a red light with people watchin'. Sorry for party rockin'. If you show up already tow up, this is what you say. Sorry for party rockin'. And if you blacked out with your sack out, this is what you say. Sorry for party rockin'. And if you throw up in your ho's cup, this is what you say. Sorry for party rockin'. And if she has a hissy fit 'cause you have whiskey dick. This is what you say. Sorry for party rockin'. I'm here for whenever the club sippin' buzz. Really drunk and I see a fat booty. Gotta have it, I'ma grab it. It's a habbit, automatic like Uzi,. Uzi with the sick flow. Make a chick go crazy. And plastered tat-ta, it's Redfoo. The dude, a true party rocker. I'm true to the game too. This is called beer-pong and I can't lose. I got a bunch of bad bitches in the back. With some vodka on tap and a little bit of Grey Goose. Oh yeah, we killin' shit. With our money, we deal legit. So here's a sorry in advance. No hard feelings, bitch. Sorry for party rockin'. People always say that my music's loud. Sorry for party rockin'. Neighbors complain, say ""turn it down""!. Sorry for party rockin'. Haters don't like we got the spotlight. Sorry for party rockin'. When they talk shit, it just be lies. Sorry for party rockin'"
champagne showers (feat. natalia kills),"We're gonna get you wet. We're gonna make you sweat. A night you won't forget. Are you ready for.... Champagne showers. Champagne showers. Pop it in the club. We light it up 80 hour. I said. Champagne showers. Champagne showers. We pop pop pop it in the club. We light it up 80 hour, 80 hour. Let the party rock!. Put your hands up. Everybody just dance up. We came to party rock. Smash your titties like Molly Graw. They call me Redfoo. I walk in the club with a bottle or two. Shake it, spray it on a body or two. And walk out the party with a hottie or two. I'm gonna get you wet. I'm gonna make you sweat. A night you won't forget (won't forget). We're gonna get you wet. We're gonna make you sweat. A night you won't forget. Are you ready for.... Champagne showers. Champagne showers. Pop it in the club. We light it up 80 hour. I said. Champagne showers. Champagne showers. We pop pop pop it in the club. We light it up 80 hour, 80 hour. Let the party rock!. Boom!. Guess who stepped in the room. Sky blue, Redfoo and Q. She's a party rocker from night 'til noon. And it's about to be a champagne monsoon. Baby girl, you look legit. Come to my table and take a seat. Open wide 'cause we're spraying it. Fifty six bottles ain't payed for shit. I'm gonna get you wet. I'm gonna make you sweat. A night you won't forget (won't forget). We're gonna get you wet. We're gonna make you sweat. A night you won't forget. Are you ready for.... Champagne showers. Champagne showers. Pop it in the club. We light it up 80 hour. I said. Champagne showers. Champagne showers. We pop pop pop it in the club. We light it up 80 hour, 80 hour. Party people. Now I want you to grab your bottles. Put them up in the air. Now shake, shake, shake that bottle then make it. We're gonna get you wet. We're gonna make you sweat. A night you won't forget. Are you ready for..."
yes,"Everyday I see my dream. Everyday I see my-every day I see my dream. Everyday I see my dream. Ev-ev-every day I see my dream. I see my dream, son!. Everyday I see my, everyday I see my dream. everyday I see my dream. Every time I dive in my pool. It's hard to be humble. When I do the breaststroke through an underground tunnel. And come up on the other side in a Jacuzzi. Being greeted by two naked models. with suds on their booties. They give me hugs and lots of kisses. And they ask me what my wish is. I say go and call your bitches. cause there's gonna be a party. Then they wash my body as a team. And they say ""Foo, your royal penis is clean! "". And I'm like. [chorus]. Yes, it's on and poppin'. Yes, the party's rockin'. Yes, the cutie's shockin'. Yes and there ain't no stoppin'. [repeat]. Every day I see my dream. Every day I see my-every day I see my dream. Every day I see my dream. Ev-ev-every day I see my dream. Every day I see my every day I see my dream. Wakin' up next to a beautiful girl. Step outside and say hello to my beautiful world. Grandma's cooking breakfast. she makes pancakes It's best. I check my MySpace and I've got a lot of friend requests. Yes. I get to dancing as I. Walk through my mansion 'cause I. Own property from the California to Hamptons and I. Sip from my water fountain that spits soda. Look out the window. and wave at my next door neighbor Oprah. I check to see how my album's doing today. The group LMFAO goes double platinum HEY!. I got a party, man. That's how I live. So I take an elevator to the club in my crib. [chorus x4]. Every day I see my dream. Every day I see my-every day I see my dream. Every day I see my dream. Ev-ev-every day I see my dream. Every day I see my every day I see my dream. [repeat]"
all night long (featuring lisa),"I read your text sayin' whatchu wanna do to me.. All night long.. I think I might be able to fulfill your fantasy.. We can ride away, no time to waste tonight baby.. All night long.. We can ride away, no time to waste tonight baby.. Walkin' up dirty street, she was caught over the beat. Ooo the way she looked at me.. She's outta space like Anakin, body like a mannequin, sippin' on her girly drink.. Dancin' on the table, life of the party.. Got my tongue on her naval, takin' shots off her body.. Yeah, This little hottie, she's tryin' to get me sprung.. When she's suckin' on cherries, tying knots with her tongue.. Ooo girl. It's you girl.. I love the way you're teasin' me.. Ooo girl. The things you do girl.. I love it when you're pleasin' me.. [Chorus]. You want to get it shawty.. All night long.. Then keep actin' naughty.. All night long.. You got me thinkin' baby.. All night baby.. You need a spankin' baby.. All night long.. [x2]. Walking down dirty street, party rockin' to the beat. Ooo the way he looked at me.. He's outta space like Anakin, body like a mannequin, sippin' on some Hennessy. Dancin' on the table, life of the party.. He's got his tongue on my naval, takin' shots off my body.. Yeah, I'm feeling naughty. I'm tryin' to get him sprung.. While I'm suckin' on this lollipop. Come be my lollipop.. Ooo boy. I want you boy.. I love the way you're teasin' me.. Ooo boy. The things you do boy.. I love it when you're pleasin' me.. [Chorus]. You want to get it shawty.. All night long.. Then keep actin' naughty.. All night long.. You got me thinkin' baby.. All night baby.. You need a spankin' baby.. All night long.. [x2]. Everybody say ""Oh, o-oh, o-oh."". [x4]. I read your text sayin' whatchu wanna do to me.. All night long.. I think I might be able to fulfill your fantasy.. We can ride away, no time to waste tonight baby.. All night long.. We can ride away, no time to waste tonight baby."
"best night (featuring will.i.am, goonrock & eva simons)","She never been on a flight,. She never been in a limousine. And now she's living the life. Popping bottles in LA. She's dancing up on the table. Got everybody's attention. She broke my hands on her body. And now she's whispering in my ear. This is the best night of my life. And I wish this between you and I. Can last forever. Let's make it last forever. Let's make it last forever. Let's make it last forever. Let's make it last for.... I hope this ain't a dream. This better not be no dream. Please don't let this be a simulation. Cuz you're a pretty thing. I hope it's not my imagination. I'm dancing on the floor. I'm dancing with you, girl. We spin it round and round. You spin me round and round. I'm falling for you girl. I'm falling in love. I know you want it. You know I want you too. I know you like it. I know you like my mood. On saturday, on saturday. Tonight be for free. Now that I got you. I want never leave you alone, alone, alone. Call your guy phone. Baby let's party the night away. I'm dancing with you. I wanna party with you, girl. This is the best night of my life. And I wish this between you and I. Can last forever. Let's make it last forever. Let's make it last forever. Let's make it last forever. Let's make it last for.... You never know I was kinda go. When you bring a chick up in the limousine. Seeing things she's never seen. And you walk up in the club, straight holding her hand, like your the man. But deep you know, she's a fan. Cuz she's struck by the stars. And the stars find her striking. You try to play it off cuz you see a sign of frightening. Will.I.Am is spinning at her. T-pain is winking at her. Ludacris is with her chick but his homeboys giggle at her. What's the matter? Oh nothing. [?] bottles start to shot again. She grabbed my hand, throw me to the dancefloor. We dance closely, and then she pulls my hands low. Oh, I know where this is gonna go. I've seen it in a dream before. I love it when you hold me tight. And then we kiss til the morning light. This is the best night of my life. And I wish this between you and I. Cant last forever. Let's make it last forever. Let's make it last forever. Let's make it last forever. Let's make it last for.... Let's make it last for... [repeats]. Let's make it last forever"
i don't wanna be,"We don’t got (7x). When I walk in the club. The people show me love. They say what's up. I say what's up. We say what's up, what's up. I get looks from the ladies,. Gaps from the dudes. I’m dressed like it's the 80's. No lenses checkered shoes. I got a drink in my hand. You know my favorite one. Its red bull and vodka. And nigga, I’m faded as fuck. And then I get those call. From my favorite hizzo. She screaming \""Where the fuck you at?”. Baby girl I’m at the disco. I don't wanna be. What you want me to be. I don't wanna do. What you want me to do. Unless it's you baby. Cause that's all I want. So come back stop messin' with my head. She was my summer love. Then it got serious. She moved back to her momma’s. And got delirious. She went back with her ex. Kept me a secret. Then gets mad at me. When I go to the club and freak it. I don't know baby girl. What you talkin' 'bout. I’m dancing with her bud. You got his dick in your mouth. I ain’t no side dish. I’m the main course. I ain’t your side bitch. Better decide bitch. Before I find another. I’m a say this one more time. Before good-bye my lover. I don't wanna be. What you want me to be. And I don't wanna do. What you want me to do. Unless it's you baby. Cause that's all I want. So come back stop messing with my head (2x). Eh, uh oh, put your hands up, put your hands up. Put your hands up, put your hands up, Sky Blu. I got this girl. She be my baby. She is my world. And drives me crazy. This ain’t how it's supposed to be. I feel like you’re trying to take control of me. I’m a man, but I can't glance at these. I can't grow my trees, I can't smoke my weed. Hey, that's how I roll. To the show then off to the club I go. You act like (?) when I (?) my hoe. Girl, I’m trying to superman the ho. I do like I do baby, that's how I do, baby. Me and my nigger RedFoo, baby. She said, “you crazy”. Cause I don't wanna be. What you want me to be. I don't wanna do. What you want me to do. Unless it's you baby. Cause that's all want. So come back stop messing with my head (3x)"
bounce,"(Bounce) To my freakys x6. Got the flow whip. We the new thang, LMFAO came to make it bang. I'm a just be rip, dancing on my soul. I wanna see you grip that sofa then pop it slow. Pop that booty bitch, make it swang. Jiggle, jiggle, girl do yo thang. Now pop it up, on your tippy toes. Let me see that coochy for them hippy hoes. We got that, ..... I got my sippy, sippy. I'm feeling tippy, tippy. I got my bitches with me until, we getting dizzy. We dont stop till they turn on the lights or call the cops. Hey, oh I'm a jiggalo. Dancing on the floor , with a pocket of dough. Aye if you see walking, if you two stepping. If your cranking that, it don't matter pimping. (2x). (Bounce) To my freakys x6. Even on myspace they call my shit the bomb. If I keep it up, I'll have more friends then Tom. Sky Blu baby, I'm something new baby. How you decribe your style, call me the new 80s. Gold chains, just frames. The women all up on us cause We entertain. Stay fly no lie, my momma named me sky so high. I ain't your pusher man, but I got what you need. A double dose of Foo, a double dose of me. So if ya see walking and you two stepping. If your cranking that, it don't matter pimping. To my freakies (bounce). (3x). Now everybody say. Hey oh, I'm a jiggalo. Dancing on the floor , with a pocket of dough. Aye if you see walking, if you two stepping. If your cranking that, it don't matter pimping. (3x). Bounce, Bounce make it hot. Let me see that booty pop. (8x)"
la la la,"I feel like I just seen the sun for the first time. You make my life bright because you shine. It's me and you baby, it's our time. I'm living my dream, girl because you mine. You got me skipping down the street. And singin love songs all out of key. I didn't smoke nothin, but I feel so high. And I know why. It's a love thing, it's got to be. Your heart's all locked and I got the key. It feels like I just won the lottery. Cuz I got my girl and she got me. You my new obsession. All I want to do. You my new obsession, girl. I feel on top of the world with you baby. I want to dance and party tonight. I feel on top of the world with my lady. I'm gonna rock your body all night. She makes me wanna sing. La, la la la, la, la la la. La, la la la, la, la la la. La, la la la, la, la la la. La, la la la, la, la la la. Oh, I can't get you out my mind. Everything you do is feelin right. Remember that way you caught my eye?. I remember that way you was walkin by. Ooh girl, watch out now. You looked at me, turned around and smiled. Gave me eyes, my heart went wild. Hypnotized, this love starts now. And how do I know you're real?. It really doesn't matter, it's the way I feel. You make me feel super like the man of steel. Got me goin stupid, pickin daffodils. You my new obsession. All I want to do. You my new obsession, girl. I feel on top of the world with you baby. I want to dance and party tonight. I feel on top of the world with my lady. I'm gonna rock your body all night. She makes me wanna sing. La, la la la, la, la la la. La, la la la, la, la la la. La, la la la, la, la la la. La, la la la, la, la la la. La, la la la, la, la la la. La, la la la, la, la la la. You my new obsession. You my new obsession. You my new obsession. You my new obsession. You my new obsession. All I want to do. You my new obsession, girl. I feel on top of the world with you baby. I want to dance. Dance. I feel on top of the world with you baby. I want to dance and party tonight. I feel on top of the world with my lady. I'm gonna rock your body all night"
