just the way you are,"Oh his eyes, his eyes. Make the stars look like they're not shining. His hair, his hair. Falls perfectly without him trying. He's so wonderfull. And I tell him every day. Yeah I know, I know. When I compliment him. He won't believe me. And it's so, it's so. Sad to think he don't see what I see. But every time I ask him ""Do I look okay?"". I say. When I see your face. There's not a thing that I would change. Just cause you're amazing. Just the way you are. And when you smile,. The whole world stops and stares for a while. Cause boy you're amazing. Just the way you are. Oh you know, you know, you know. I'd never ask you to change. If perfect is what you're searching for. Then just stay the same. So don't even bother asking. If you look okay. You know I say. When I see your face. There's not a thing that I would change. Because you're amazing. Just the way you are. And when you smile,. The whole world stops and stares for a while. Cause boy you're amazing. Just the way you are. The way you are. The way you are. Cause boy you're amazing. Just the way you are. When I see your face. There's not a thing that I would change. Because you're amazing. Just the way you are. And when you smile,. The whole world stops and stares for awhile. Cause boy you're amazing. Just the way you are. Yeaahhh"
impossible,"I remember years ago. Someone told me I should take. Caution when it comes to love. I did, I did. And you were strong and I was not. My illusion, my mistake. I was careless, I forgot. I did. And now when all is done. There is nothing to say. You have gone and so effortlessly. You have won. You can go ahead tell them. Tell them all I know now. Shout it from the roof top. Write it on the sky line. All we had is gone now. Tell them I was happy. And my heart is broken. All my scars are open. Tell them what I hoped would be. Impossible, impossible. Impossible, impossible. Falling out of love is hard. Falling for betrayal is worst. Broken trust and broken hearts. I know, I know. Thinking all you need is there. Building faith on love is worst. Empty promises will wear. I know (I know). And now when all is gone. There is nothing to say. And if you're done with embarrassing me. On your own you can go ahead tell them. Tell them all I know now. Shout it from the roof top. Write it on the sky line. All we had is gone now. Tell them I was happy. And my heart is broken. All my scars are open. Tell them what I hoped would be. Impossible, impossible. Impossible, impossible. Impossible, impossible. Impossible, impossible. Impossible, impossible. Ooh impossible (yeah yeah). I remember years ago. Someone told me I should take. Caution when it comes to love. I did. Tell them all I know now. Shout it from the roof top. Write it on the sky line. All we had is gone now. Tell them I was happy (I was happy). And my heart is broken. All my scars are open. Tell them what I hoped would be. Impossible, impossible. Impossible, impossible. Impossible, impossible. Impossible, impossible. Impossible, impossible. I remember years ago. Someone told me I should take. Caution when it comes to love. I did"
price tag (cover jessie j),"Seems like everybody's got a price. I wonder how they sleep at night. When the sale comes first. And the truth comes second. Just stop, for a minute and. Smile. Why is everybody so serious!. Acting so damn mysterious. You got your shades on your eyes. And your heels so high. That you can't even have a good. Time. Everybody look to their left (yeah). Everybody look to their right (ha). Can you feel that (yeah). We're paying with love tonight.... It's not about the money, money, money. We don't need your money, money, money. We just wanna make the world dance. Forget about the price tag. Ain't about the (ha) Ka-Ching Ka-Ching. Aint about the (yeah) Ba-Bling Ba-Bling. Wanna make the world dance. Forget about the price tag.. (Okay). We need to take it back in time. When music made us all unite!. And it wasn't low blows and video hoes. Am I the only one gettin... tired?. Why is everybody so obsessed?. Money can't buy us happiness. If we all slow down and enjoy right now. Gurantee we'll be feelin. All right. Everybody look to their left (yeah). Everybody look to their right (ha). Can you feel that (yeah). We're paying with love tonight.... It's not about the money, money, money. We don't need your money, money, money. We just wanna make the world dance. Forget about the price tag. Ain't about the (ha) Ka-Ching Ka-Ching. Aint about the (yeah) Ba-Bling Ba-Bling. Wanna make the world dance. Forget about the price tag. Everybody look to their left (yeah). Everybody look to their right (ha). Can you feel that. Can you feel that. Oooh. Everybody look to their left (yeah). Everybody look to their right (ha). Can you feel that (yeah). We're paying with love tonight.... It's not about the money, money, money. We don't need your money, money, money. We just wanna make the world dance. Forget about the price tag. Ain't about the (ha) Ka-Ching Ka-Ching. Aint about the (yeah) Ba-Bling Ba-Bling. Wanna make the world dance. Forget about the price tag. Oooh.... Price tag"
that should be me,"Everybody's laughing in the world,. Rumors spreading 'bout this other girl,. Do you do what you did when you did with me?. Does she love you the way i can?. Did you forget all the plans that you made with me?. 'cause baby, i didn't. That should be me, holdin' your hand. That should be me, makin' you laugh. That should be me, this is so sad. That should be me, that should be me. That should be me, feelin' your kiss. That should be me, buyin' you gifts. This is so wrong, i can't go on. Till you believe, that that should be me. That should be me. You said you needed a little time for my mistakes. It's funny how you use that time to have me replaced. Did you think that. I wouldn't see you out at the movies?. What you're doin' to me. You're takin' her where we used to go. Now if you're trying to break my heart. It's working, 'cause you know. That should be me, holdin' your hand. That should be me, makin' you laugh. That should be me, this is so sad. That should be me, that should be me. That should be me, feelin' your kiss. That should be me, buyin' you gifts. This is so wrong, i can't go on. Till you believe, that that should be me. I need to know: should i fight for love or disarm?. It's getting harder to shield this pain in my heart.... That should be me, holdin' your hand. That should be me, makin' you laugh. That should be me, this is so sad. That should be me, that should be me. That should be me, feelin' your kiss. That should be me, buyin' you gifts. This is so wrong, i can't go on. Till you believe, that that should be me. Holding your hand,. Ooh, and makin' you laugh, ooh baby. That should be me, ooh. Giving you flowers. And talkin' by hours, yeah. That should be me!. I never should've let you go. I never should've let you go. I never should've let you go. That should be me..."
again,"I love the way that your heart breaks. With every injustice and deadly fate. Praying it all be new. And living like it all depends on you. Here you are down on your knees again. Trying to find air to breathe again. Only surrender will help you now. I love you please see and believe again. I love that you're never satisfied. With face value wisdom and happy lies. You take what they say and go back and cry. You're so close to me that you nearly died. Here you are down on your knees again. Trying to find air to breathe again. Only surrender will help you now. I love you please see and believe again. They don't have to understand you be still. Wait and know I understand you be still, be still. Here you are down on your knees again. Trying to find air to breathe again. Only surrender will help you now. The floodgates are breaking and pouring out. Here you are down on your knees again. Trying to find air to breathe again. Right where I want you to be again. I love you please see and believe again. Here you are down on your knees again. Trying to find air to breathe again. Right where I want you to be again. See and believe!"
all i want for christmas is you,All I Want For Christmas Is You. I don't want a lot for Christmas. There is just one thing I need. I don't care about the presents underneath the Christmas tree. I don't need to hang my stocking. There upon the fireplace. Santa Clause won't me happy. With a toy on Christmas day. I just want you for my own. More than you could ever know. Make my wish come true. baby all I want for Christmas is you. you…baby. ooh I won't ask for much this christmas. I won't even wish for snow. And I'm just gonna keep on waiting. Underneath the mistletoe. Cause I just want you for my own. More than you could eber know. Make my wish come true. Baby all I want for Christmas is you... You…baby. Oh all the lights are shining. So brightly everywhere. And the sounds of children's. Laughter fills the air. And everyone is singing. I hear those sleigh bells ringing. Santa won't you brint me the one I really need. Won't you please bring my baby to me. I won't ask for much this Christmas. This is all I'm asking for. I just want to see my baby. Standing right outside my door. I just want you for my own. More than you could ever know. Make my wish come true. Baby all I want for Christmas is you. All I want for Christmas is you. All I want for Christmas is you
barricade,"Verse. I know it's hard, I can feel it too. So don't bother faking. It doesn't matter what troubles you. I will help you take it. Here from the rain I shelter you. Till the storm is ended. Fired as arrows, words untrue. But I'll defend. Miss pitiful, you're so beautiful. I'm a light on, fall on me, fall on me. Chorus. Before the battle begins. and until it's through. I'm like a barricade. In between anything and you. So no matter how far. Whatever it takes. You will make it through the day. I'm your barricade. Verse. Love is too real for a fairy tale. Soon over after. Time is a healer but I won't fail. To be with you faster. Miss pitiful, you're so beautiful. I'm a light on, fall on me, fall on me. Chorus. Before the battle begins. and until it's through. I'm like a barricade. In between anything and you. So no matter how far. Whatever it takes. You will make it through the day. I'm your barricade. I'm your barricade. I'm your barricade, barricade. I will be your barricade. Your barricade. Bridge. As the bombs drop. You won't feel a thing. I will take it, You will make it. Through the day. I will be your barricade. I will be your barricade. I will be your barricade. Chorus. Before the battle begins. and until it's through. I'm like a barricade. In between anything and you. So no matter how far. Whatever it takes. You will make it through the day. I'm your barricade"
break even,"I'm still alive but I'm barely breathing. Just praying to a God that I don't believe in. Cuz I got time while he got freedom. Cuz when a heart breaks no it don't break even. His best days was some of my worst. He finally met a girl who's gonna put him first. While I'm wide awake he's no trouble sleeping. Cuz when a heart breaks no it don't break even. What am I gonna do. When the best part of me was always you. And what am suppose to say. When I'm all choked up and you're OK. I'm falling to pieces. I'm falling to pieces. They say bad things happen for a reason. But no wise words gonna stop the bleeding. Cuz he moved on while I'm still grieving. Cuz when a heart breaks no it don't break even. What am I gonna do. When the best part of me was always you. and what am I supposed to say. When I'm all choked up and you're ok, yeah. I'm falling to pieces. I'm falling to pieces. I'm falling to pieces. I'm falling to pieces. You got his heart and my heart and none of the pain. You took your suitcase and I took the blame. Now I'm tryna make sense of what little remains, oh. Cuz you left me with no love, with no love to my name. I'm still alive but I'm barely breathing. Just praying to a God that I don't believe in. Cuz I got time while he got freedom. Cuz when a heart breaks no it don't break even. no it don't break even, no. What am I gonna do. When the best part of me was always you. And what am I suppose to say. When i'm all choked up and you're OK, yeah. I'm falling to pieces. I'm falling to pieces, yeah yeah yeah. I'm falling to pieces. Oh, i'm falling to peaces. I'm falling to peaces"
if this was a movie,"Last night I heard my own heart beating. Sounded like footsteps on my stairs. Six months gone and I'm still reaching. Even though I know you're not there. I was playing back a thousand memories, baby. Thinking 'bout everything we've been through. Maybe I've been going back too much lately. When time stood still and I had you. Come back, come back, come back to me like. You would, you would if this was a movie. Stand in the rain outside 'til I came out. Come back, come back, come back to me like. You could, you could if you just said you're sorry. I know that we could work it out somehow. But if this was a movie you'd be here by now. I know people change and these things happen. But I remember how it was back then. Locked up in your arms and our friends are laughing. 'cause nothing like this ever happened to them,. Now I'm pacing up the hall, chasing down your street. Flashback to a night when you said to me,. ""Nothing's gonna change, not for me and you. Not before I knew how much I had to lose"". Come back, come back, come back to me like. You would, you would if this was a movie. Stand in the rain outside 'til I came out. Come back, come back, come back to me like. You could, you could if you just said you're sorry. I know that we could work it out somehow. But if this was a movie you'd be here by now. If you're out there. If you're somewhere. If you're moving on. I'll be waiting for you. Wary, since you've been gone. I just want it back the way it was before. And I just want to see you back at my front door. And I say. Come back, come back, come back to me like. You would before you say it's not that easy. Before the fight, before I left you out. But I take it all back now. Come back, come back, come back to me like. You would, you would if this was a movie. Stand in the rain outside 'til I came out. Come back, come back, come back to me like. You could, you could if you just said you're sorry. I know that we could work it out somehow. But if this was a movie you'd be here by now. You'd be here by now. It's not the kind of ending you wanna see now. Baby, I don't like the ending. Oh, I thought you'd be here now, whoa. Thought you'd be here by now."
impossible,"I remember years ago. Someone told me I should take. Caution when it comes to love. I did, I did. And you were strong and I was not. My illusion, my mistake. I was careless, I forgot. I did. And now when all is done. There is nothing to say. You have gone and so effortlessly. You have won. You can go ahead tell them. Tell them all I know now. Shout it from the roof top. Write it on the sky line. All we had is gone now. Tell them I was happy. And my heart is broken. All my scars are open. Tell them what I hoped would be. Impossible, impossible. Impossible, impossible. Falling out of love is hard. Falling for betrayal is worst. Broken trust and broken hearts. I know, I know. Thinking all you need is there. Building faith on love is worst. Empty promises will wear. I know (I know). And now when all is gone. There is nothing to say. And if you're done with embarrassing me. On your own you can go ahead tell them. Tell them all I know now. Shout it from the roof top. Write it on the sky line. All we had is gone now. Tell them I was happy. And my heart is broken. All my scars are open. Tell them what I hoped would be. Impossible, impossible. Impossible, impossible. Impossible, impossible. Impossible, impossible. Impossible, impossible. Ooh impossible (yeah yeah). I remember years ago. Someone told me I should take. Caution when it comes to love. I did. Tell them all I know now. Shout it from the roof top. Write it on the sky line. All we had is gone now. Tell them I was happy (I was happy). And my heart is broken. All my scars are open. Tell them what I hoped would be. Impossible, impossible. Impossible, impossible. Impossible, impossible. Impossible, impossible. Impossible, impossible. I remember years ago. Someone told me I should take. Caution when it comes to love. I did"
