please dont go,"Please don't go. I used to walk you home. Then walk back alone. As I remember. I just can't remember. I used to walk you home. Then walk back alone. As I remember. I just can't remember. I will admit that there were times. When I was rude and so unkind. But can't we kiss and make amends. Oh why oh why can't we be friends. When we were seen. It was like a dream. Always together. I thought forever. But now you seem. That it's time to end. But I say never. N-n-n-no never. But when we kissed and when we touched. It used to mean so very much. But now your cold and want to go. Before you do, I want you to know. Please don't go. Please don't go because I really know. That I love you I really love you. I used to walk you home, then walk back alone. As I remember, I just can't remember. But when we kissed and when we touched. It used to mean so very much. But now your cold and want to go. Before you do, I want you to know. Please don't go because I really know. That I love you I really love you. Please don't go because I really know. That I love you I really love you. Please don't go because I really know. That I love you I really love you. (Please don't go....love you)."
our house,"Father wears his Sunday best. Mother's tired she needs a rest. The kids are playing up downstairs. Sister's sighing in her sleep. Brother's got a date to keep. He can't hang around. Our house, in the middle of our street. Our house, in the middle of our .... Our house it has a crowd. There's always something happening. And it's usually quite loud. Our mum she's so house-proud. Nothing ever slows her down. And a mess is not allowed. Our house, in the middle of our street. Our house, in the middle of our .... Our house, in the middle of our street. Our house, in the middle of our .... Something tells you that you've got to get away from it. Father gets up late for work. Mother has to iron his shirt. Then she sends the kids to school. Sees them off with a small kiss. She's the one they're going to miss. In lots of ways. Our house, in the middle of our street. Our house, in the middle of our .... I remember way back then when everything was true and when. We would have such a very good time such a fine time. Such a happy time. And I remember how we'd play simply waste the day away. Then we'd say nothing would come between us two dreamers. Father wears his Sunday best. Mother's tired she needs a rest. The kids are playing up downstairs. Sister's sighing in her sleep. Brother's got a date to keep. He can't hang around. Our house, in the middle of our street. Our house, in the middle of our street. Our house, in the middle of our street. Our house, in the middle of our .... Our house, was our castle and our keep. Our house, in the middle of our street. Our house, that was where we used to sleep. Our house, in the middle of our street. Our house, in the middle of our street."
my girl,My girl's mad at me. I didn't wanna go see the film tonight. I found it hard to say. She thought I'd had enough of her. Why can't she see. She's lovely to me?. But I like to stay in. And watch t.v. on my own. Every now and then. My girl's mad at me. Been on the telephone for an hour. We hardly said a word. I tried and tried but I could not be heard. Why can't I explain?. Why do I feel this pain?. 'Cause everything I say. She doesn't understand. She doesn't realise. She takes it all the wrong way. My girl's mad at me. We argued just the other night. I thought we'd got it straight. We talked and talked until it was light. I thought we'd agreed. I thought we'd talked it out. Now when I try to speak. She says that I don't care. She says I'm unaware. And now she says I'm weak
land of hope and glory,"Urrrrh. What's the time?. I was trying to get some sleep. Attention, urrraaah, bridges. Sharkey, Nutley, Jackson, Thompson,Master. Well, as you can see we've got a new recruit to this land of hope and glory. Hands behind backs and legs apart and tell us all of your unfortunate story.. Who me sir?. Yes, you ssssir!. I was an innocent man till someone grassed me of a plan. Of earning some big a money. If I hadn't mouthed it about, I am sure without doubt. I'd 'ave missed this land of hope and glory. Well you poor poor sod, here you're up sharp at six thirty. Cold shower down to breakfast, can't have you looking dirty. I suggest you eat what's given you even if it doesn't agree with you. Cos It's all you're be getting up until twelve thirty. In between this time stay up in your room, you can dream of life. good things. Two years of my teen age life given to this stand to attention life. Of land of hope and glory. I get so bored as time goes by, I think I'll do something dirty. I pick at the floor for juicy butts and I'll make myself a smoke. A bog roll and envelope stick it, all this helps to pass my time. As the evening drags on, you can watch a little telly. Hot Gossip pans people with a little bit of belly. A hot drink served cold with the heat of yesterday's. Don't complain learn the game and I'll get through another day. I watch the second hand on the clock at long last is nine thirty. Off to bed straight to sleep as I leave this land of hope and glory. But only for a few seconds I'm in n ecstasy. Before the bell rings to let me know, sharp at six thirty. A the, a two, a six, a ta. Quiet, come on you lot, come on, lights out."
madness (is all in the mind),I've never had much cause for worry. And I've not got a lot to say. You'll never find me in a hurry. Because I live my life day by day. People say that I'm crazy. But I'm not that way inclined. I know what I know and I'll happily show. That madness is all in the mind. Twenty-four hours is all that I care for. I believe that's the only way. Twenty-four hours is all that is needed. Because I live my life day by day. People say that I'm crazy. But I'm not that way inclined. I know what I know and I'll happily show. That madness is all in the mind. I'm happy the way that I do things. Continually feeling okay. I've no worries on what tomorrow brings. Because I live my life day by day. People say that I'm crazy. But I'm not that way inclined. I know what I know and I'll happily show. That madness is all in the mind. Well some men seek answers in bottles. And others in degenerate ways. But I don't care much for the question. Madness is all in the mind. Madness is all in the mind. Madness is all in the mind. Madness is all in the mind.
madness,"Madness, madness, they call it madness. Madness, madness, they call it madness. It's plain to see. That is what they mean to me. Madness, madness, they call it gladness, ha-ha. Madness, madness, they call it madness. Madness, madness, they call it madness. I'm about to explain. That someone is losing their brain. Madness, madness, I call it gladness, yee-ha-ha-ha. Propaganda ministers. Propaganda ministers. I've a-got a heavy due. I'm gonna walk all over you. Cos. Madness, madness, they call it madness. Well if this is madness. Then I know I'm filled with gladness. It's gonna be rougher. It's gonna be tougher. And I won't be the one who's gonna suffer. Oh no, I won't be the one who's gonna suffer. You are gonna be the one, you."
one step beyond,Hey you. Don't watch that watch this. this is the heavy heavy monster sound. the nuttiest sound around. so if you've come in the off the street. and you're beginningto feel the heat. well listen buster you better start to move your feet. to the rockinest rock steady beat of madness. ONE STEP BEYOND!!!. one step beyond repeated..
the harder they come,"Well they tell me about the pie up in the sky.. Waiting for me when I die.. But between the day your born and when you die.. They never seem to hear even your cry.. So as soon as the sun will shine.. I'm gonna get my shine out what's mine.. And then the harder they come, the harder they fall.. One and all.. The harder they come, the harder they fall.. One and all.. Well the opus' are trying to keep me down.. Trying to drag me under-ground.. And they think that they have got the battle won.. OH! I say forgive them lord the do not what they've done.. So as soon as the sun will shine.. I'm gonna get my shine out what's mine.. And then the harder they come, the harder they fall.. One and all. (What I say, now what I say). The harder they come, the harder they fall.. One and all.. . (Yeah!). (Yeah!). Well I'll keep on fighting for the things I want. (For the things I want.). Though I know that when you dead you gone.. But I'd rather be a free man in my grave.. Then living as a puppet or a slave.. So as soon as the sun will shine.. I'm gonna get my shine out what's mine.. And then the harder they come, the harder they fall.. One and all. (It's true). Oh! The harder they come, the harder they fall.. One and all.. Oh! The harder they come, the harder they fall.. One and all. (What I say, now what I say). The harder they come, the harder they fall.. One and all.. [Instrumental]. The harder they come, the harder they fall.. One and all.. Oh! The harder they come, the harder they fall.. One and all. (Yes.). The harder they come, the harder they fall.. One and all. (What I say.). The harder they come, the harder they fall.. One and all.. Oh! The harder they come, the harder they fall.. One and all. (What I say.). The harder they come, the harder they fall.. One and all."
dont look back,You cant help the way you feel. But realise that this is real.... Look Back...... You cant help the way you feel. But realise that this is real.... Are you satisfied?.
never knew your name,"It was very late in the discotheque. I was feeling blue as i sometimes do. I turned around it was time to go. A face in the crowd a face i didn't know. We got to talking for a little while. You said it's not the sort of thing you usually do. Talking to strangers so late in the night. These days you never know. Well i thought you were nice i even told you so. But you smiled so shyly and said to me. I bet you say that to all the girls you meet. But it isn't so. Yes, the club was closing so we had to leave. We walked out together just a little ill at ease. I would have liked to have walked you home. But you said you'd catch the bus so i ended up alone. I never knew your name nor your telephone number. Will i ever see you again? i wonder?. It wasn't any longer than an hour or two. That lonely street i said goodbye to you. You glanced back at me as i turned the corner. Was the last i saw of you. Oh i wanted to call, call out your name. But stupid pride and idiot shame. Hesitated, scared of playing the fool. So you walked away, from mr cool. I never knew your name nor your telephone number. Will i ever see you again? i wonder?. No, i never knew your name nor your telephone number. Will i see you again? oh girl i wonder?. It was very late in the discotheque. I was feeling blue as i sometimes do. I thought you were nice i told you so. But i ended up alone. No, i never knew your name nor your telephone number. Will i ever see you again? girl, i wonder?. It's so very late in the discotheque and i'm feeling blue. As i always do. I turn around 'cause its time to go"
