i want to know what love is,"I gotta take a little time. A little time to think things over. I better read between the lines. In case I need it when I'm older. In my life there's been heartache and pain. I don't know if I can face it again. I can't stop now, I've traveled so far. To change this lonely life. I wanna know what love is. I want you to show me. I wanna feel what love is. I know you can show me. Gonna take a little time. A little time to look around me. I've got nowhere left to hide. It looks like love has finally found me. In my life there's been heartache and pain. I don't know if I can face it again. I can't stop now, I've traveled so far. To change this lonely life. I wanna know what love is. I want you to show me. I wanna feel what love is. I know you can show me. (I wanna know). I wanna know what love is. I want you to show me. I wanna feel what love is. I know you can show me. I wanna know what love is. I want you to show me. I wanna feel what love is"
hero,"There's a hero, if you look inside your heart.. You don't have to be afraid of what you are.. There's an answer, if you reach into your soul,. And the sorrow that you know will melt away.. And then a hero comes along, with the strength to carry on,. And you cast your fears aside, and you know you can survive.. So when you feel like hope is gone,. Look inside you and be strong,. And you'll finally see the truth, that a hero lies in you.. It's a long road, when you face the world alone.. No one reaches out a hand for you to hold.. You can find love, if you search within yourself,. And the emptiness you felt will disappear.. And then a hero comes along, with the strength to carry on,. And you cast your fears aside, and you know you can survive.. So when you feel like hope is gone,. Look inside you and be strong,. And you'll finally see the truth, that a hero lies in you.. Lord knows, dreams are hard to follow.. But don't let anyone, take them away- ay ay.. Hold on, there will be tomorrow.. In time, you'll find the way.. And then a hero comes along, with the strength to carry on,. And you cast your fears aside, because you know you can survive.. So when you feel like hope is gone,. Look inside you and be strong,. And you'll finally see the truth, that a hero lies in you .. That a hero lies in... you. That a hero lies in... you"
without you,"No I can't forget this evening. And your face as you were leaving,. But I guess that's just the way the story goes. You always smile but in your eyes your sorrow shows. Yes it shows.. No I can't forget tomorrow. When I think of all my sorrow,. When I had you there but then I let you go.. And now it's only fair that I should let you know. What you should know.. I can't live if living is without you.. I can't live, I can't give anymore.. I can't live if living is without you.. I can't give, I can't give anymore.. Well I can't forget this evening. Or your face as you were leaving,. But I guess that's just the way the story goes.. You always smile but in your eyes your sorrow shows.. Yes it shows.. I can't live if living is without you.. I can't live, I can't give anymore.. I can't live if living is without you.. I can't live I can't give anymore.. I can't live if living is without you.. I can't live I can't give anymore."
we belong together,"I didn't mean it when I said. I didn't love you so. I should have held on tight. I never should have let you go. I didn't know nothing,. I was stupid, I was foolish. I was lying to myself. I couldn't have fathomed. I would ever be without your love. Never imagined I'd be sitting. Here beside myself. Guess I didn't know you. You'd guess I didn't know me. But I thought I knew everything. I never felt. The feeling that I'm feeling. Now that I don't hear your voice. Or have your touch and kiss your lips. Cause I don't have a choice. Oh what I wouldn't give. To have you lying by my side. Right here cause baby. When you left I lost a part of me. It's still so hard to believe. Come back baby please cause. We belong together. Who else am I gonna lean on when times get rough. Who's gonna talk to me on the phone. Till the sun comes up. Who's gonna take your place. There ain't nobody better. Oh baby baby. We belong together. I can't sleep at night. When you are on my mind. Bobby Womack's on the radio. Singing to me ""If You Think You're Lonely Now"". Wait a minute this is too deep. I gotta change the station. So I turn the dial tryin' to catch a break. And then I hear Babyface. ""I Only Think Of You"" and it's breakin' my heart. I'm tryin' to keep it together but I'm falling apart. I'm feeling all out of my element. Throwing things, crying tryin'. To figure out where the hell I went wrong. The pain reflected in this song. Ain't even half of what I'm feeling inside. I need you, need you back in my life baby. When you left I lost a part of me. It's still so hard to believe. Come back baby please cause. We belong together. Who else am I gonna lean on when times get rough. Who's gonna talk to me on the phone. Till the sun comes up. Who's gonna take your place. There ain't nobody better. Oh baby baby. We belong together baby. When you left I lost a part of me. It's still so hard to believe. Come back baby please cause. We belong together. Who am I gonna lean on. When times get rough. Who's gonna talk to me. Till the sun comes up. Who's gonna take your place. There ain't nobody better. Oh baby baby. We belong together"
obsessed,"I was like, ""Why are you so obsessed with me?"". So oh oh oh oh. So oh oh oh oh. So oh oh oh oh. So oh oh oh oh. Will the real MC please, step to the mike?. So oh oh oh oh. So oh oh oh oh. So oh oh oh oh. So oh oh oh oh. All up in the blogs. Saying we met at the bar. When I don't even know who you are. Saying we up in your house. Saying I'm up in your car. But you in LA and I'm out at Jermaine's.. I'm up in the A. You so so lame. and no one here even mentions your name. It must be the weed. It must be the E. Cause you be popping hood. You get it popping, Oh. Why you're so obsessed with me. (Boy I wanna know). Lying that you're sexing me. (when everybody knows). It's clear that you're upset with me. Finally found a girl. that you couldn't impress. Last man on the earth. still couldn't hit this. You're delusional, you're delusional. Boy you're losing your mind. It's confusing yo, you're confused you know. Why you're wasting your time. Got you all fired up with your Napoleon complex. Seeing right through you like you're bathing in Windex. oh oh oh. Boy why you're so obsessed with me?. You on your job. You hating hard. Ain't gon' feed you. I'm gonna let you starve. Gasping for air. I'm ventilation. You out of breath. Hope you ain't waiting. Telling the world how much you miss me. But we never were. So why you're trippin'. You a mom and pop. I'm a corporation. I'm the press conference. and you a conversation. Why you're so obsessed with me. (Boy I wanna know). Lying that you're sexing me. (when everybody knows). It's clear that you're upset with me. Finally found a girl. that you couldn't impress. Last man on the earth. still couldn't hit this. You're delusional, you're delusional. Boy you're losing your mind. It's confusing yo, you're confused you know. Why you're wasting your time. Got you all fired up with your Napoleon complex. Seeing right through you like you're bathing in Windex. oh oh oh. Boy why you're so obsessed with me?. Why you're so obsessed with me. Lying that you're sexing me. It's clear that you're upset with me. Finally found a girl. that you couldn't impress. Last man on the earth. still couldn't hit this. You're delusional, you're delusional. Boy you're losing your mind. It's confusing yo, you're confused you know. Why you're wasting your time. Got you all fired up with y our napoleon complex. Seeing right through you. like you're bathing in windex. Boy why you're so obsessed with me?"
my all,"I am thinking of you. in my sleepless solitude tonight. If it's wrong to love you. then my heart just won't let me be right. Cause I'm drowned in you and. I won't pull through without you by my side.. I'd give my all to have. just one more night with you. I'd risk my life to feel. your body next to mine. Cause I can't go on. living in the memory of our song. I'd give my all for your love tonight. Baby can you feel me. imagining I'm looking in your eyes. I can see you clearly, vividly. Emblazoned in my mind. and yet you're so far, like a distant star. I'm wishing on tonight. I'd give my all to have. just one more night with you. I'd risk my life to feel your. body next to mine. Cause I can't go on. living in the memory of our song. I'd give my all for your love tonight.. I'd give my all to have. just one more night with you. I'd risk my life. to feel your body next to mine. Cause I can't go on. living in the memory of our song. I'd give my all for your love tonight. Oh, I'd give my all for your love tonight. I'd give my all for your love tonight"
with you,"Uh huh. Yeah, yeah, yeah, ooh. With you. With you, you, you. With you, you, you. With you, you, you. Mustard on that beat, ho. It was all so overwhelming. She was like ""I don't know, don't tell me"". He had eyes that said ""girl, I'll save you"". She had doubts, like they might not make it. So they both held tight to face it. They wrote vows, she was bound to take 'em. She was full of such trepidation. There in front of the whole damn nation. It was war, can't predict the comin' storm. Promise that you'll keep me warm. I don't wanna play this role. He said ""yo, I've been lovin' you so long. Ever since that Bone Thugs song. You ain't gotta break down, you're too strong"". Ooh, shots of Remy. Playing Confessions, and our bodies blendin'. Ooh, I'm in love, it's true. Yeah, damn I fucks with you. And we all make mistakes sometimes. But we muddle through. I don't know what I'm s'posed to do (boy). Oh baby, I'm in love, it's true. With you, you, you. With you, you, you. With you, you, you. Baby, I'm in love, it's true. Waves were breakin' on the shore. As we were sneakin' through that door. Had to leave by half past 4. Still I yearned to touch you more and more. It was war, can't predict the comin' storm. Promise that you'll keep me warm. I don't wanna play this role. He said ""yo, I've been lovin' you so long. Ever since that Bone Thugs song. You ain't gotta break down, you're too strong"". Ooh, shots of Remy. Playing Confessions, and our bodies blendin'. Ooh, I'm in love, it's true. Yeah, damn I fucks with you. And we all make mistakes sometimes. But we muddle through. I don't know what I'm s'posed to do boy. Oh baby, I'm in love, it's true. And ooh, shots of Remy. Playing Confessions, and our bodies blendin'. Ooh, I'm in love, it's true. Yeah, damn I fucks with you. And we all make mistakes sometimes. But we muddle through. I don't know what I'm supposed to do boy. Oh baby, I'm in love, it's true. With you, you, you (with you, with you, with you). With you, you, you (oh yeah). With you, you, you (oh yeah). Oh baby, I'm in love, it's true"
fantasy,"When you walk by every night. Talking sweet and looking fine. I get kind of hectic inside. Baby, I'm so into you. Darling if you only knew. All the things that flow through. My mind. But it's just a. Chorus:. Sweet sweet fantasy baby. When I close my eyes. You come and take me. On and on and on. It´s so deep in my daydreams. But it's just a sweet sweet fantasy baby. Images of rapture. Creep into me slowly. As you're going to my head. And my heart beats faster. When you take me over. Time and time and time again. But it's just a. (chorus). Bridge:. Im in heaven. With my boyfriend. My laughing boyfriend. There's no beginning and there is no end. Feels like I'm dreaming but I'm not sleeping. (chorus)"
all i want for christmas is you,"I don't want a lot for Christmas. There is just one thing I need. I don't care about the presents. Underneath the Christmas tree. I just want you for my own. More than you could ever know. Make my wish come true. All I want for Christmas is you. I don't want a lot for Christmas. There is just one thing I need, and I. Don't care about the presents. Underneath the Christmas tree. I don't need to hang my stocking. There upon the fireplace. Santa Claus won't make me happy. With a toy on Christmas day. I just want you for my own. More than you could ever know. Make my wish come true. All I want for Christmas is you, you, ooh ooh baby, oh oh. I won't ask for much this Christmas. I won't even wish for snow, and I. I just want to keep on waiting. Underneath the mistletoe. I won't make a list and send it. To the North Pole for Saint Nick. I won't even stay up late. To hear those magic reindeer click. 'Cause I just want you here tonight. Holding on to me so tight. What more can I do. Oh, Baby all I want for Christmas is you, you, ooh baby. All the lights are shining. So brightly everywhere. And the sound of childrens'. Laughter fills the air. And everyone is singing. I hear those sleigh bells ringing. Santa won't you bring me. The one I really need. Won't you please bring my baby to me quickly, yeah. Ohh ohh, I don't want a lot for Christmas. This is all I'm asking for. I just want to see my baby. Standing right outside my door. Ohh ohh, I just want you for my own. More than you could ever know. Make my wish come true. Oh, Baby all I want for Christmas is you, you ooh, baby. All I want for Christmas is you, ooh baby (repeat to fade)"
bye bye,"This is for my people's who just lost somebody. Your best friend, your baby. Your man or your lady. Put your hand way up high. We will never say bye. Mamas, daddys, sisters, brothers. Friends and cousins. This is for my peoples who lost their grandmothers. Lift your head to the sky. Cause we will never say goodbye. As a child there were the times. I didn't get it. But you kept me in line. I didn't know why. You didn't show up some times. On sunday mornings and I missed you. But I'm glad we talked through. All them grown folk things. Separation brings. You never let me know it. You never let it show. Because you loved me. And obviously. There's so much more left to say. If you were with me today. Face to face. I never knew I could hurt like this. And everyday life rolls on I wish. I could talk to you for a while. I miss you but I try not cry. As time goes by. And it's true that you've. Reached a better place. Still I'd give the world to see your face. And be right here next to you. But it's like you're gone too soon. And the hardest thing to do is say. Bye bye. You never got a chance to see. How good I've done. And you never got to. See me back at number one. I wish that you were here. So we could celebrate together. I wish that we could. Spend the holidays together. I remember when you used to. Tuck me in at night. With the teddy bear you gave me. That I held so tight. I thought you were so strong. You'd make it through whatever. It's so hard to accept. The fact you're gone forever. I never knew I could hurt like this. And everyday life rolls on I wish. I could talk to you for a while. I miss you but I try not cry. As time goes by. And it's true that you've. Reached a better place. Still I'd give the world to see your face. And be right here next to you. But it's like you're gone too soon. And the hardest thing to do is say. Bye bye. This is for my people's who just lost somebody. Your best friend, your baby. Your man or your lady. Put your hand way up high. We will never say bye. Mamas, daddys, sisters, brothers. Friends and cousins. This is for my peoples who lost their grandmothers. Lift your head to the sky. Cause we will never say bye. I never knew I could hurt like this. And everyday life rolls on I wish. I could talk to you for a while. I miss you but I try not cry. As time goes by. And it's true that you've. Reached a better place. Still I'd give the world to see your face. And be right here next to you. But it's like you're gone too soon. And the hardest thing to do is say. Bye bye. This is for my people's who just lost somebody. Put your hand way up high. We will never say bye"
