oh! darling,"(Cover dos Beatles). Oh! Darling,. Please believe me,. I'll never do you no harm,. Believe me when I tell you. I'll never do you no harm.. Oh! Darling,. If you leave me,. I'll never make it alone.. So believe me when I beg you,. Don't ever leave me alone, leave me alone. When you told me you didn't need me any more,. Well, you know I nearly broke down and cried.. When you told me you didn't need me any more,. Well, you know I nearly broke down and died.. Oh! Darling,. If you leave me,. I'll never make it alone.. So believe me when I tell you,. I'll never do you no harm. When you told me you didn't need me any more,. Well, you know, you know I nearly broke down and cried.. When you told me you didn't need me any more,. Well, you know, you know I nearly broke down and died.. Oh! Darling,. Please believe me,. I'll never let you down.. So believe me when I tell you,. I'll never do you no harm."
cherish,So tired of broken hearts and losing at this game.. Before I start this dance. I take a chance in telling you. I want more than just romance.. You are my destiny. I can't let go. Baby. Can't you see ?. Cupid. Please. Take your aim at me.. Cherisk the thought of always. Having you here by my side. Oh. Baby. I cherish dhe joy. You keep bringing it into my life.. I'm always singing it.. Cherish the strength. You got the power to make me feel good. And. Baby. I'll perish the throught of ever leaving. I never would.. I was never satisfied with casual encounters.. I can't hide my need for two hearts. That bleed with burning love. That's the way it's got to be.. Romeo and juliet. They never felt this way I bet. So don't underestimate my point of view.. Cherish the thought of always having you here by my side. .... Who ? you ! - can't get away. I won't let you.. Who ? you ! - I could never forget to.. Cherish is the world I use to remind me of your love.. Together. You're giving it to me. Boy.. Keep giving me all. All. All your joy.. Give me faith. I will always cherish you.. Romeo and juliet. They never felt this way I bet. So don't underestimate this point of view.. Who ? you ! - can't get away. I won't let you.. Who ? you ! - I could never forget to.. Cherish is the world I use to remind me of your love.. Cherish the thought of always having you here by my side. .... Cherish. Give me faith. Give me joy. My boy. I will always cherish you.. Give me faith. Give me joy. My boy. I will always cherish you.. Cherish your strength. Can't get away. I won't let you. Perish the thought. I could never forget to.. Cherish the thought. Can't get away. Can't get away. Cherish the joy. Can't get away. Can't get away.. Cherish your strength. Can't get away. I won't let you. Perish the thought. I could never forget to.. Cherish the thought. Can't get away. Can't get away. Cherish the joy. Can't get away. Can't get away.
carry that weight,"Boy, you're gonna carry that weight. Carry that weight for a long time. Boy, you're gonna carry that weight. Carry that weight for a long time. I never give you my pillow. I only send you my invitation. And in the middle of the celebrations. I break down. Boy, you're gonna carry that weight. Carry that weight for a long time. Boy, you're gonna carry that weight. Carry that weight for a long time. You never give me you number. You only give me your funnypapers. And in the middle of interogation. I break down. Boy, you're gonna carry that weight. Carry that weight for a long time. Boy, you're gonna carry that weight. Carry that weight for a long time"
cherish,So tired of broken hearts and losing at this game.. Before I start this dance. I take a chance in telling you. I want more than just romance.. You are my destiny. I can't let go. Baby. Can't you see ?. Cupid. Please. Take your aim at me.. Cherisk the thought of always. Having you here by my side. Oh. Baby. I cherish dhe joy. You keep bringing it into my life.. I'm always singing it.. Cherish the strength. You got the power to make me feel good. And. Baby. I'll perish the throught of ever leaving. I never would.. I was never satisfied with casual encounters.. I can't hide my need for two hearts. That bleed with burning love. That's the way it's got to be.. Romeo and juliet. They never felt this way I bet. So don't underestimate my point of view.. Cherish the thought of always having you here by my side. .... Who ? you ! - can't get away. I won't let you.. Who ? you ! - I could never forget to.. Cherish is the world I use to remind me of your love.. Together. You're giving it to me. Boy.. Keep giving me all. All. All your joy.. Give me faith. I will always cherish you.. Romeo and juliet. They never felt this way I bet. So don't underestimate this point of view.. Who ? you ! - can't get away. I won't let you.. Who ? you ! - I could never forget to.. Cherish is the world I use to remind me of your love.. Cherish the thought of always having you here by my side. .... Cherish. Give me faith. Give me joy. My boy. I will always cherish you.. Give me faith. Give me joy. My boy. I will always cherish you.. Cherish your strength. Can't get away. I won't let you. Perish the thought. I could never forget to.. Cherish the thought. Can't get away. Can't get away. Cherish the joy. Can't get away. Can't get away.. Cherish your strength. Can't get away. I won't let you. Perish the thought. I could never forget to.. Cherish the thought. Can't get away. Can't get away. Cherish the joy. Can't get away. Can't get away.
driving seat,"I don't wanna go home. Cause Where I am makes me feel so fine. I just wanna stay close. I wanna stay with my Mr. Right. And no one knows oh oh. Wherever way the wind may blow. Put up your show oh oh. The driving seat's your, let's go. Make me laugh, make me cry. All the way beneath this big blue sky. Full of love living free. Jus he road and time to hit it with me. let's go south, let's go down. there's no border, is just a thin line the draw. Sun is bright as can be. there's no place too far for you and for me"
golden slumbers,"Once there was a way, to get back homeward. Once there was a way, to get back home. Sleep pretty darling, do not cry. And I will sing a lullaby. Golden slumbers fill your eyes. Smiles awake you when you rise. Sleep pretty darling, do not cry. And I will sing a lullaby. Once there was a way, to get back homeward. Once there was a way, to get back home. Sleep pretty darling, do not cry. And I will sing a lullaby"
it's a fluke,Chance gave its light tonight. Stars are aligned. The sweetest thing to cross my eyes. Crossed my life. Hold me tonight. Night after night. What a bliss to be alive. Here by your side. From silence we rise. Arise. Chance gave a sign tonight. Stars are aligned. The sweetest thing to cross my mind. Crossed my life. Hold me tonight. Night after night. What a bliss to be alive. Here by your side. From silence we rise. What a bliss to be alive
my girl,"Ve got sunshine on a cloudy day. When it's cold outside. I've got the month of may. I guess you'll say. What can make me feel this way. My girl (my girl, my girl). Talking about my girl (my girl). I've got so much honey. The bees envy me. I've got a sweeter song. Than the birds in the trees. Well I guess you'll say. What can make me feel this way. My girl (my girl, my girl). Talking about my girl (my girl). OOh, hoo. Hey, hey, hey. Hey, hey, hey. OO yeah. I don't need no money fortune or fame. I've got all the riches baby. One man can claim. Well, I guess you'll say. What can make me feel this way. My girl (my girl, my girl). Talking about my girl (my girl). Talking about my girl. I've got sunshine on a cloudy day. With my girl. I've even got the month of may. With my girl"
oh! darling,"(Cover dos Beatles). Oh! Darling,. Please believe me,. I'll never do you no harm,. Believe me when I tell you. I'll never do you no harm.. Oh! Darling,. If you leave me,. I'll never make it alone.. So believe me when I beg you,. Don't ever leave me alone, leave me alone. When you told me you didn't need me any more,. Well, you know I nearly broke down and cried.. When you told me you didn't need me any more,. Well, you know I nearly broke down and died.. Oh! Darling,. If you leave me,. I'll never make it alone.. So believe me when I tell you,. I'll never do you no harm. When you told me you didn't need me any more,. Well, you know, you know I nearly broke down and cried.. When you told me you didn't need me any more,. Well, you know, you know I nearly broke down and died.. Oh! Darling,. Please believe me,. I'll never let you down.. So believe me when I tell you,. I'll never do you no harm."
she came in through the bathroom window,"Oh look out. She came in through the bathroom window. Protected by a silver spoon. But now she sucks her thumb and wonders. By the banks of her own lagoon. Didn't anybody tell her?. Didn't anybody see?. Sunday's on the phone to monday. Tuesday's on the phone to me. She said she'd always been a dancer. She worked at fifteen clubs a day. And though she thought I knew the answer. Well I knew but I could not say. And so I quit the police department. And got myself a steady job. And though she tried her best to help me. She could steal, but she could not rob. Didn't anybody tell her?. Didn't anybody see?. Sunday's on the phone to monday. Tuesday's on the phone to me"
sister miss celie´s blues,"Sister,. you've been on my mind. Sister, we're two of a kind. So sister,. I'm keepin' my eyes on you. I betcha think. I don't know nothin'. But singin' the blues. Oh sister, have I got news for you. I'm somethin'. I hope you think. that you're somethin' too. Oh, Scufflin',. I been up that lonesome road. And I seen a lot of suns goin' down. Oh, but trust me. No low life's gonna run me around. So let me tell you somethin' sister. Remember your name. No twister,. gonna steal your stuff away. My sister. Sho' ain't got a whole lot of time. So shake your shimmy,. Sister. 'Cause honey this 'shug. is feelin' fine"
