arms of a woman,"I am at ease in the arms of a woman. Although now. Most of my days I spend alone. A thousand miles. From the place I was born. But when she wakes me. She takes me back home. Now, most days. I spend like a child. Who? s afraid of ghosts in my mind. I know, there ain? t nothing out there. I? m still afraid to turn on the lights. I am at ease in the arms of a woman. Although now. Most of my days I spend alone. A thousand miles. The place I was born. When she wakes me. She takes me back home. A thousand miles. The place I was born. When she wakes me. She takes me back home. I am at ease in the arms of a woman. Although now. Most of my days I spend alone. A thousand miles. From the place I was born. When she wakes me. She takes me. Yeah, when she wakes me. She takes me back home. When she wakes me. She takes me back home"
somewhere over the rainbow (feat. gwyneth paltrow),"(Matthew Morrison). Somewhere over the rainbow way up high,. There's a land that I dreamed of once in a lullaby. (Gwyneth Paltrow). Somewhere over the rainbow skies are blue. And the dreams that you dare to dream really do come true. (Matthew Morrison & Gwyneth Paltrow). oooh someday I'll wish upon a star. And wake up where the clouds are far behind me. Where troubles melt like lemon drops. High above the chimney tops. That's where you'll find me.. Oh somewhere over the rainbow. Bluebirds fly. Birds fly over the rainbow.. Why then, oh why can't I?. (Matthew Morrison & Gwyneth Paltrow). oooh someday I'll wish upon a star. And wake up where the clouds are far behind me. Where troubles melt like lemon drops. High above the chimney tops. That's where you'll find me.. Oh somewhere over the rainbow. Bluebirds fly. Birds fly over the rainbow.. Why then, oh why can't I?"
don't stop dancing,"And it feels like an endless December that chills. Black mascara that runs down your pretty face. Your smile is outta place, days got you down. But things are lookin' up, up, up. Find yourself in a dream with the city of sky. And the sound that you hear's like a heart that beats. Moving you close to me, it's like a symphony. That's playin' for us. Two shadows under a streetlight. We're just dancin' in the rain. Bodies flowin' like water. We'll be alright. As long as we don't stop dancing, dancing. Don't stop dancing, dancing. Don't stop dancing, dancing. Don't stop dancing, dancing. Pray for time, tell tomorrow to wait for a while. Wanna take the moments and have always been. Back on our feet again, the world is sleeping. But we're wide awake. Two shadows under a streetlight. We're just dancin' in the rain. Bodies flowin' like water. We'll be alright. As long as we don't stop dancing, dancing. Don't stop dancing, dancing. Don't stop dancing, dancing. Don't stop dancing, dancing. I just wanna make you feel the music, music. Throw your hands up in the air. Yeah, yeah, yeah, yeah. Everything you're looking for. You'll keep findin' on the floor. Cause I know how to make you feel better, better. Two shadows under a streetlight. We're just dancin' in the rain. Bodies flowin' like water. We'll be alright. As long as we don't stop dancing, dancing. Don't stop dancing, dancing. Don't stop dancing, dancing. Don't stop dancing, dancing. Don't stop dancing, dancing"
it's over,I see her looking but what does she see. Just for this moment I wish I weren't me. Cause I'm not the future she thought I would be. It's over. I know this feeling I felt it before. All of the signs that she chose to ignore. Didn't she notice my eye on the door. It's over. I could have told her the night that we met. I'd be a love she would learn to regret. I know her soul is so simple and true. But she will forgive what I'm putting her through. Forgiving myself will be harder to do. When it's over. When it's over. It's over
summer rain,"On the rooftop thinkin' it's about to pour. People run for shelter,. Tryin' to get out that storm. But I got you with me, the sun behind me. So what are we leavin' for? Let's stay.. Let's get carried away. Your eyes are beggin' me to touch you there. Could be a thousand people watchin' but we don't care. [Chorus]. But look at you tonight,. So beautiful under these neon lights, yeah. Who needs lovers' lane?. Right up on this rooftop,. Let's make love in the summer rain. Oh, oh, in the summer rain. Oh, oh. Nothin' better than givin' this all to you. And the weather's only adding to the mood. See the wind's blowin', fire's growin', both of us soakin'. wet. But let's stay, yeah.. Let's get carried away. Your eyes are beggin' me to touch you there. Could be a thousand people watchin' but we don't care. [Chorus]. But look at you tonight,. So beautiful under these neon lights, yeah. Who needs lovers' lane?. Right up on this rooftop,. Let's make love in the summer rain. Oh, oh, in the summer rain. Oh, oh. There's no place that I'd rather make love to you. Right here on this roof, yeah. Look at you tonight,. So beautiful under these neon lights, yeah. Who needs lovers' lane?. Right up on this rooftop,. Let's make love (let's make love). In the summer rain. But look at you tonight,. So beautiful under these neon lights, yeah. Who needs lovers' lane?. Right up on this rooftop,. Let's make love (let's make love). In the summer rain. Oh, oh, in the summer rain (4x)"
let your soul be your pilot,Let your soul be your pilot. Let your soul guide you. He'll guide you well. When you're down and they're counting. When your secrets all found out. When your troubles take to mounting. When the map you have leads you to doubt. When there's no information. And the compass turns to nowhere that you know well. Let your soul be your pilot. Let your soul guide you. He'll guide you well. When the doctors failed to heal you. When no medicine chest can make you well. When no counsel leads to comfort. When there are no more lies they can tell. No more useless information. And the compass spins. The compass spins between heaven and hell. Let your soul be your pilot. Let your soul guide you. He'll guide you well. And your eyes turn towards the window pane. To the lights upon the hill. The distance seems so strange to you now. And the dark room seems so still. Let your pain be my sorrow. Let your tears be my tears too. Let your courage be my model. That the north you find will be true. When there's no information. And the compass turns to nowhere that you know well. Let your soul be your pilot. Let your soul guide you. Let your soul guide you. Let your soul guide you upon your way...
my name,"My Name. Matthew Morrison. It's always early. It's always dark when I leave. I check myself in the mirror. And he looks a lot like me. It could be London. But he's followed me back home. I'm not complainin'. But I wish he'd just stay in Rome. He isn't always right, you know.... They smile, they came. But they don't know my name. We only look the same. And they don't know my name.. Oh, turn the lights off. Turn all the lights off. All this love surrounds me. But I'm still alone. Your expectations,. I'm never gonna measure up.. I'm not a hero,. I know I never was taught enough.. They're screaming at me,. And I just wanna scream right back. They wouldn't believe it. I know he'd never do a thing like that.. It's taken all I've got not to crack.. They smile, they came. But they don't know my name. We only look the same. And they don't know my name.. Oh, turn the lights off. Turn all the lights off. All this love surrounds me. But I'm still alone. I only have to play the part.. But that part is only part of me. Once in a while, let down my guard. But it's hard, afraid of what you'll see.. I didn't mean to disappoint. But I'm not, who you think I am.... I'm maybe not, who you think I am. They smile, they came. But they don't know my name. We only look the same. But they don't know my name.. They smile, they came. But they don't know my name. We only look the same. And they don't know my name.. Oh, turn the lights off. Turn all the lights off. Oh, turn the lights off. Turn all the lights off. Oh, turn the lights off. Turn all the lights off. All this love surrounds me,. But I'm still alone..."
hey,"I wonder if she's here with someone. A girl like that can get attention I could just go walking her way. All I've got to do is figure out the words I need to say. [Chorus]. Woo ooh, woo ooh I just need an introduction. Woo ooh, woo ooh I keep coming up with nothing. Woo ooh, woo ooh. Why do I lose my voice and choke. When all I wanna say is. Hey hey I gotta be with you,. Hey hey. You're beautiful in every. Way way. So what I need to say is. Hey hey. And change the world in a day. In your eyes I see you're lonely. Look at me,I want you only. We belong together, this I know. Just gotta find the words to tell you so. [Chorus]. I have my lines and story set. You look at me and I forget. Thoughts are running through my head. Jumbled up and left unsaid. Woo ooh, woo ooh I just need an introduction. Woo ooh, woo ooh I keep coming up with nothing. Woo ooh, woo ooh. Why do I lose my voice and choke. When all I wanna say is. Hey hey I gotta be with you,. Hey hey. Woo ooh, woo ooh I just need an introduction. Woo ooh, woo ooh I keep coming up with nothing. Woo ooh, woo ooh. Why do I lose my voice and choke. When all I wanna say is. Hey hey. So what I need to say is. Hey hey. And change the world in a day. Créditos: UlissesPette"
the lady is a tramp,"She gets too hungry, for dinner at eight. She adores the theater, but never comes late. She will never argue, with the cat she'd hate. And that is why the lady is a tramp. Won? t got to Coney, Malibu is fine. She adores the ballgame, thinks the Mets are divine. She refuses to believe that Phil Ramone? s a friend of mine. That's why the lady is a tramp. She likes that green grass growing under her shoes. She even digs the birth of the blues. Man she? s a swinger, a humdinger. She? s all alone when she lowers the lamp. That's why my lady is a tramp. She likes that free fresh wind in her hair. Life without care. She? s grown, but it? s old. She hates California, it? s cold and it? s damp. That's why my lady is a tramp. That is why the lady is a tramp"
luck be a lady,"They call you Lady Luck. But there is room for doubt. At times you have a very unladylike way of running out. You're on this date with me. The pickings have been lush. And yet before this evening is over you might give me the brush. You might forget your manners. You might refuse to stay and So the best that I can to is pray. Luck be a lady tonight. Luck be a lady tonight. Luck if you've ever been a lady to begin with. Luck be a lady tonight. Luck let a gentleman see. How nice a dame you can be. I've seen the way you've treated other guys you've been with. Luck be a lady with me. A lady doesn't leave her escort. It isn't fair, it isn't nice. A lady doesn't wander all over the room. And blow on some other guy's dice. So let's keep the party polite. Never get out of my sight. Stick with me baby, I'm the fellow you came in with. Luck be a lady tonight. A Lady wouldn't flirt with strangers. It isn't fair, it isn't nice. A lady doesn't wander all over the room. And blow on some other guy's dice. So let's keep the party polite. Never get out of my sight. Stick with me baby, I'm the fellow you came in with. Luck be a lady. Luck be a lady. Luck be a lady tonight"
